ชุดข้อมูลเดือน,ชุดข้อมูลปี,รายการ,ค่าข้อมูล
ธันวาคม,2560,ยอดคงค้างสินเชื่อรวม (Gross),5240260.319
มีนาคม,2561,ยอดคงค้างสินเชื่อรวม (Gross),5273023.195
มิถุนายน,2561,ยอดคงค้างสินเชื่อรวม (Gross),5360486.915
กันยายน,2561,ยอดคงค้างสินเชื่อรวม (Gross),5317164.163
ธันวาคม,2561,ยอดคงค้างสินเชื่อรวม (Gross),5492420.39
มีนาคม,2562,ยอดคงค้างสินเชื่อรวม (Gross),5596420.515
มิถุนายน,2562,ยอดคงค้างสินเชื่อรวม (Gross),5508212.731
กันยายน,2562,ยอดคงค้างสินเชื่อรวม (Gross),5583301.772
ธันวาคม,2562,ยอดคงค้างสินเชื่อรวม (Gross),5689663.33
มีนาคม,2563,ยอดคงค้างสินเชื่อรวม (Gross),5793434.989
มิถุนายน,2563,ยอดคงค้างสินเชื่อรวม (Gross),6014088.035
กันยายน,2563,ยอดคงค้างสินเชื่อรวม (Gross),5915940.172
ธันวาคม,2563,ยอดคงค้างสินเชื่อรวม (Gross),5971448.231
มีนาคม,2564,ยอดคงค้างสินเชื่อรวม (Gross),6057208.157
มิถุนายน,2564,ยอดคงค้างสินเชื่อรวม (Gross),5999419.332
กันยายน,2564,ยอดคงค้างสินเชื่อรวม (Gross),6088639.258
ธันวาคม,2564,ยอดคงค้างสินเชื่อรวม (Gross),6264312.378
มีนาคม,2565,ยอดคงค้างสินเชื่อรวม (Gross),6217080.983
มิถุนายน,2565,ยอดคงค้างสินเชื่อรวม (Gross),6247549.638
กันยายน,2565,ยอดคงค้างสินเชื่อรวม (Gross),6264298.891
ธันวาคม,2565,ยอดคงค้างสินเชื่อรวม (Gross),6514074.526
มีนาคม,2566,ยอดคงค้างสินเชื่อรวม (Gross),6632684.026
มิถุนายน,2566,ยอดคงค้างสินเชื่อรวม (Gross),6600871.036
กันยายน,2566,ยอดคงค้างสินเชื่อรวม (Gross),6578939.594
ธันวาคม,2566,ยอดคงค้างสินเชื่อรวม (Gross),6843988.126
มีนาคม,2567,ยอดคงค้างสินเชื่อรวม (Gross),6850719.368
มิถุนายน,2567,ยอดคงค้างสินเชื่อรวม (Gross),6851088.967
กันยายน,2567,ยอดคงค้างสินเชื่อรวม (Gross),6849764.12
ธันวาคม,2567,ยอดคงค้างสินเชื่อรวม (Gross),7106148.912
มีนาคม,2568,ยอดคงค้างสินเชื่อรวม (Gross),7231117.764
มิถุนายน,2568,ยอดคงค้างสินเชื่อรวม (Gross),7137434.75
กันยายน,2568,ยอดคงค้างสินเชื่อรวม (Gross),7070908.863
ธันวาคม,2568,ยอดคงค้างสินเชื่อรวม (Gross),7356920.144
มีนาคม,2569,ยอดคงค้างสินเชื่อรวม (Gross),7426022.119
มีนาคม,2551,ยอดคงค้างสินเชื่อสุทธิ (Net),1654397.512
มิถุนายน,2551,ยอดคงค้างสินเชื่อสุทธิ (Net),1692741.025
กันยายน,2551,ยอดคงค้างสินเชื่อสุทธิ (Net),1703755.675
ธันวาคม,2551,ยอดคงค้างสินเชื่อสุทธิ (Net),1798994.777
มีนาคม,2552,ยอดคงค้างสินเชื่อสุทธิ (Net),1934021.176
มิถุนายน,2552,ยอดคงค้างสินเชื่อสุทธิ (Net),1987633.583
กันยายน,2552,ยอดคงค้างสินเชื่อสุทธิ (Net),1982140.706
ธันวาคม,2552,ยอดคงค้างสินเชื่อสุทธิ (Net),2176900.392
มีนาคม,2553,ยอดคงค้างสินเชื่อสุทธิ (Net),2307935.753
มิถุนายน,2553,ยอดคงค้างสินเชื่อสุทธิ (Net),2294722.509
กันยายน,2553,ยอดคงค้างสินเชื่อสุทธิ (Net),2446657.521
ธันวาคม,2553,ยอดคงค้างสินเชื่อสุทธิ (Net),2649207.941
มีนาคม,2554,ยอดคงค้างสินเชื่อสุทธิ (Net),2842762.215
มิถุนายน,2554,ยอดคงค้างสินเชื่อสุทธิ (Net),2902918.909
กันยายน,2554,ยอดคงค้างสินเชื่อสุทธิ (Net),2966199.527
ธันวาคม,2554,ยอดคงค้างสินเชื่อสุทธิ (Net),3193318.033
มีนาคม,2555,ยอดคงค้างสินเชื่อสุทธิ (Net),3311675.429
มิถุนายน,2555,ยอดคงค้างสินเชื่อสุทธิ (Net),3199444.679
กันยายน,2555,ยอดคงค้างสินเชื่อสุทธิ (Net),3306647.844
ธันวาคม,2555,ยอดคงค้างสินเชื่อสุทธิ (Net),3403343.086
มีนาคม,2556,ยอดคงค้างสินเชื่อสุทธิ (Net),3536197.169
มิถุนายน,2556,ยอดคงค้างสินเชื่อสุทธิ (Net),3475946.982
กันยายน,2556,ยอดคงค้างสินเชื่อสุทธิ (Net),3537399.85
ธันวาคม,2556,ยอดคงค้างสินเชื่อสุทธิ (Net),3735778.768
มีนาคม,2557,ยอดคงค้างสินเชื่อสุทธิ (Net),3764704.188
มิถุนายน,2557,ยอดคงค้างสินเชื่อสุทธิ (Net),3851212.762
กันยายน,2557,ยอดคงค้างสินเชื่อสุทธิ (Net),3808231.187
ธันวาคม,2557,ยอดคงค้างสินเชื่อสุทธิ (Net),3835616.949
มีนาคม,2558,ยอดคงค้างสินเชื่อสุทธิ (Net),4211819.754
มิถุนายน,2558,ยอดคงค้างสินเชื่อสุทธิ (Net),3992570.147
กันยายน,2558,ยอดคงค้างสินเชื่อสุทธิ (Net),3990496.629
ธันวาคม,2558,ยอดคงค้างสินเชื่อสุทธิ (Net),4237501.417
มีนาคม,2559,ยอดคงค้างสินเชื่อสุทธิ (Net),4334967.973
มิถุนายน,2559,ยอดคงค้างสินเชื่อสุทธิ (Net),4403880.055
กันยายน,2559,ยอดคงค้างสินเชื่อสุทธิ (Net),4368230.442
ธันวาคม,2559,ยอดคงค้างสินเชื่อสุทธิ (Net),4520505.419
มีนาคม,2560,ยอดคงค้างสินเชื่อสุทธิ (Net),4526696.183
มิถุนายน,2560,ยอดคงค้างสินเชื่อสุทธิ (Net),4652092.987
กันยายน,2560,ยอดคงค้างสินเชื่อสุทธิ (Net),4603714.489
ธันวาคม,2560,ยอดคงค้างสินเชื่อสุทธิ (Net),4825118.028
มีนาคม,2561,ยอดคงค้างสินเชื่อสุทธิ (Net),4844930.156
มิถุนายน,2561,ยอดคงค้างสินเชื่อสุทธิ (Net),4919043.719
กันยายน,2561,ยอดคงค้างสินเชื่อสุทธิ (Net),4862071.391
ธันวาคม,2561,ยอดคงค้างสินเชื่อสุทธิ (Net),5030517.237
มีนาคม,2562,ยอดคงค้างสินเชื่อสุทธิ (Net),5115364.668
มิถุนายน,2562,ยอดคงค้างสินเชื่อสุทธิ (Net),5015579.571
กันยายน,2562,ยอดคงค้างสินเชื่อสุทธิ (Net),5081467.805
ธันวาคม,2562,ยอดคงค้างสินเชื่อสุทธิ (Net),5182709.323
มีนาคม,2563,ยอดคงค้างสินเชื่อสุทธิ (Net),5265520.767
มิถุนายน,2563,ยอดคงค้างสินเชื่อสุทธิ (Net),5473330.91
กันยายน,2563,ยอดคงค้างสินเชื่อสุทธิ (Net),5365667.988
ธันวาคม,2563,ยอดคงค้างสินเชื่อสุทธิ (Net),5402025.244
มีนาคม,2564,ยอดคงค้างสินเชื่อสุทธิ (Net),5463567.395
มิถุนายน,2564,ยอดคงค้างสินเชื่อสุทธิ (Net),5397024.147
กันยายน,2564,ยอดคงค้างสินเชื่อสุทธิ (Net),5473046.618
ธันวาคม,2564,ยอดคงค้างสินเชื่อสุทธิ (Net),5632631.036
มีนาคม,2565,ยอดคงค้างสินเชื่อสุทธิ (Net),5567781.67
มิถุนายน,2565,ยอดคงค้างสินเชื่อสุทธิ (Net),5581039.682
กันยายน,2565,ยอดคงค้างสินเชื่อสุทธิ (Net),5582260.308
ธันวาคม,2565,ยอดคงค้างสินเชื่อสุทธิ (Net),5813357.022
มีนาคม,2566,ยอดคงค้างสินเชื่อสุทธิ (Net),5917078.054
มิถุนายน,2566,ยอดคงค้างสินเชื่อสุทธิ (Net),5865441.272
กันยายน,2566,ยอดคงค้างสินเชื่อสุทธิ (Net),5824968.246
ธันวาคม,2566,ยอดคงค้างสินเชื่อสุทธิ (Net),6068288.467
มีนาคม,2567,ยอดคงค้างสินเชื่อสุทธิ (Net),6055597.847
มิถุนายน,2567,ยอดคงค้างสินเชื่อสุทธิ (Net),6037520.293
กันยายน,2567,ยอดคงค้างสินเชื่อสุทธิ (Net),6017711.239
ธันวาคม,2567,ยอดคงค้างสินเชื่อสุทธิ (Net),6265529.522
มีนาคม,2568,ยอดคงค้างสินเชื่อสุทธิ (Net),6375499.388
มิถุนายน,2568,ยอดคงค้างสินเชื่อสุทธิ (Net),6272216.197
กันยายน,2568,ยอดคงค้างสินเชื่อสุทธิ (Net),6194459.344
ธันวาคม,2568,ยอดคงค้างสินเชื่อสุทธิ (Net),6468470.546
มีนาคม,2569,ยอดคงค้างสินเชื่อสุทธิ (Net),6519776.196
