ประกอบกิจการ,อำเภอ,รหัสประเภท,ถนน,ซอย,เงินทุนรวม (ล้านบาท),FID,คนงานรวม,จังหวัด,หมู่,เลขที่,แรงม้า,เลขทะเบียนโรงงาน,ปีที่อนุญาต,ตำบล,ผู้ประกอบการ,_id,ชื่อโรงงาน,จำพวก,รหัสไปรษณีย์
ทำวงกบ ประตู-หน้าต่างไม้,คลองเตย,3402,พระรามที่ 4,, 7.00 ,10100003725153, 5 ,กรุงเทพมหานคร,,"4086-4096,4032-4036", 56.02 ,3-34(2)-37/15,15,พระโขนง,เซ้งฮวด,11,เซ้งฮวด,3,10110
ทำกล่องกระดาษ และพิมพ์สิ่งพิมพ์ต่าง ๆ,คลองเตย,3900,     สุขุมวิท 50,สถานีสูบน้ำพระโขนง, 52.00 ,10100200625438, 21 ,กรุงเทพมหานคร,0,416, 100.00 ,3-39-6/43,43,พระโขนง,บริษัท ทวีผลอินเตอร์พริ้นท์ จำกัด,12,บริษัท ทวีผลอินเตอร์พริ้นท์ จำกัด,3,10110
ทำซองจดหมาย,คลองเตย,4101,สุขุมวิท,สายน้ำทิพย์, -   ,10100001825526, -   ,กรุงเทพมหานคร,,545/1, 195.83 ,3-41(1)-18/52,52,คลองตัน,ห้างหุ้นส่วนจำกัด เอ็ม.ซี.ซี.,13,ห้างหุ้นส่วนจำกัด เอ็ม.ซี.ซี.,3,10110
พิมพ์สิ่งพิมพ์ต่าง ๆ และทำกล่องกระดาษ,คลองเตย,4101,พระรามที่ 4,แสนสบาย 2, 41.40 ,10100001425152, 60 ,กรุงเทพมหานคร,,84, 330.57 ,3-41(1)-14/15,15,พระโขนง,บริษัท สาฮะอินเตอร์เนชั่นแนลพริ้นติ้ง จำกัด,14,บริษัท สาฮะอินเตอร์เนชั่นแนลพริ้นติ้ง จำกัด,3,10110
พิมพ์สิ่งพิมพ์ต่าง ๆ ,คลองเตย,4101,ริมทางรถไฟสายปากน้ำ,, 5.90 ,10100600125245, 31 ,กรุงเทพมหานคร,,3141, 217.32 ,3-41(1)-1/24,24,พระโขนง,บริษัท โรงพิมพ์หยี่เฮง จำกัด,15,บริษัท โรงพิมพ์หยี่เฮง จำกัด,3,10110
พิมพ์ถุงกระดาษและพิมพ์ถุงพลาสติก,คลองเตย,4101,สุขุมวิท,สุขุมวิท 22, 15.00 ,10100000825204, 47 ,กรุงเทพมหานคร,,220-220/1-4, 399.77 ,3-41(1)-8/20,20,คลองตัน,ห้างหุ้นส่วนจำกัด ก.นำกิจการพิมพ์,16,ห้างหุ้นส่วนจำกัด ก.นำกิจการพิมพ์,3,10110
พิมพ์สิ่งพิมพ์ต่าง ๆ,คลองเตย,4101,พระราม 4,แสนสบาย, 21.00 ,10100001025424, 30 ,กรุงเทพมหานคร,,45/1, 378.60 ,3-41(1)-10/42,42,คลองตัน,บริษัท เชอรี่ กราฟฟิค 1991 จำกัด,17,บริษัท เชอรี่ กราฟฟิค 1991 จำกัด,3,10110
พิมพ์สิ่งพิมพ์ต่าง ๆ เช่น หนังสือกีฬา,คลองเตย,4101,เกษมราษฎร์,, 43.00 ,10100003325350, 10 ,กรุงเทพมหานคร,,1866-1868, 103.28 ,3-41(1)-33/35,35,คลองเตย,บริษัท กิเลนการพิมพ์ จำกัด,18,บริษัท กิเลนการพิมพ์ จำกัด,3,10110
พิมพ์สิ่งพิมพ์ต่างๆ,คลองเตย,4101,,สุขุมวิท 36 (ซอยนภาศัพท์), 124.31 ,10100123525624, 16 ,กรุงเทพมหานคร,,58, 202.32 ,3-41(1)-8/62,62,คลองตัน,บริษัท อักษรโสภณ จำกัด,19,บริษัท อักษรโสภณ จำกัด,3,10110
รับพิมพ์สิ่งพิมพ์,คลองเตย,4101,สุขุมวิท,สุขุมวิท 50 (เกษมสุวรรณ), 31.20 ,10100001225446, 32 ,กรุงเทพมหานคร,,605/21, 164.69 ,3-41(1)-12/44,44,พระโขนง,ห้างหุ้นส่วนจำกัด โรงพิมพ์คุณรัตน์,20,ห้างหุ้นส่วนจำกัด โรงพิมพ์คุณรัตน์,3,10110
ผลิตยารักษาโรคแผนปัจจุบัน เช่น ยาขี้ผึ้ง ยาน้ำ,คลองเตย,4601,สุขุมวิท,สุขุมวิท 34, 2.00 ,10100200325187, 55 ,กรุงเทพมหานคร,,11, 13.10 ,3-46(1)-3/18,18,คลองตัน,ห้างหุ้นส่วนจำกัด โรงงานยาตราพระ,21,ห้างหุ้นส่วนจำกัด โรงงานยาตราพระ,3,10110
ผลิตยาน้ำ ยาเม็ด ยาแคปซูล และยาขี้ผึ้ง,คลองเตย,4601,สุขุมวิท,สุขุมวิท 50 , 5.00 ,10100001525159, 58 ,กรุงเทพมหานคร,,922," 1,935.30 ",3-46(1)-15/15,15,พระโขนง,ห้างหุ้นส่วนจำกัด โรงงานเลิศสิงห์เภสัชกรรม,22,ห้างหุ้นส่วนจำกัด โรงงานเลิศสิงห์เภสัชกรรม,3,10110
ผลิตคอมโปสิต (ฟลิ้นโคท) ยางมะตอยน้ำ และยางมะตอยเหลว,คลองเตย,5001,ณ ระนอง,, 86.44 ,10100100225172, 28 ,กรุงเทพมหานคร,,10/1," 11,149.00 ",3-50(1)-2/17,17,คลองเตย,บริษัท เชลล์แห่งประเทศไทย จำกัด,23,บริษัท เชลล์แห่งประเทศไทย จำกัด,3,10110
ผลิตและบรรจุน้ำมันหล่อลื่น และน้ำมันเบรค,คลองเตย,5004,ณ ระนอง,, 8.55 ,10100900125184, 130 ,กรุงเทพมหานคร,,10/1," 5,921.78 ",3-50(4)-1/18,18,คลองเตย,บริษัท เชลล์แห่งประเทศไทย จำกัด,24,บริษัท เชลล์แห่งประเทศไทย จำกัด,3,10110
ผลิตจาระบี,คลองเตย,5004,ณ ระนอง,, 25.62 ,10100700125178, 2 ,กรุงเทพมหานคร,,10/1," 1,591.01 ",3-50(4)-1/17,17,คลองเตย,บริษัท เชลล์แห่งประเทศไทย จำกัด,25,บริษัท เชลล์แห่งประเทศไทย จำกัด,3,10110
ทำขวดพลาสติก,คลองเตย,5304,สุนทรโกษา,, 2.78 ,10100200625206, 6 ,กรุงเทพมหานคร,,61/56-59, 189.14 ,3-53(4)-6/20,20,คลองเตย,นางมุ้ยลั้ง แซ่ไหล,26,,3,10110
ทำท่ออากาศและรางน้ำ,คลองเตย,6302,พระรามที่ 4,-, 0.90 ,10100201325384, 42 ,กรุงเทพมหานคร,,4095-4097, 132.50 ,3-63(2)-13/38,38,พระโขนง,บริษัท ส.นำศิริก่อสร้าง จำกัด,27,บริษัท ส.นำศิริก่อสร้าง จำกัด,3,10110
ทำเครื่องใช้ด้วยสังกะสี เช่น กระป๋อง,คลองเตย,6401,สุขุมวิท,สายน้ำทิพย์, -   ,10100101425524, 8 ,กรุงเทพมหานคร,,655-657-659, 68.39 ,3-64(1)-14/52,52,คลองตัน,เตียง้วนเส็ง,28,เตียง้วนเส็ง,3,10110
ทำถังพ่นน้ำยาและทำกระบอกฉีดน้ำยา,คลองเตย,6401,ระนอง,, 0.90 ,10100110425150, 13 ,กรุงเทพมหานคร,,81-83, 331.45 ,3-64(1)-104/15,15,คลองเตย,เฮ้งง่วนเส่ง,29,เฮ้งง่วนเส่ง,3,10110
ทำของใช้จากโลหะ เช่น ฟันเลื่อย บูช สกูร,คลองเตย,6406,พระรามที่ 4,แสนสบาย, 7.50 ,10100101125488, 10 ,กรุงเทพมหานคร,,218-220, 73.05 ,3-64(6)-11/48,48,พระโขนง,กล้วยน้ำไททังเสตน,30,กล้วยน้ำไททังเสตน,3,10110
กลึง เชื่อมโลหะ,คลองเตย,6413,ริมทางรถไฟช่องนนทรี,, 7.20 ,10100009725348, 9 ,กรุงเทพมหานคร,,603, 174.50 ,3-64(13)-97/34,34,คลองเตย,ห้างหุ้นส่วนสามัญ ฉั่วฮกเฮง,31,ห้างหุ้นส่วนสามัญ ฉั่วฮกเฮง,3,10110
ทำเตาอบ เครื่องรีดและผสมแป้ง เครื่องตีไข่,คลองเตย,6800,พระรามที่ 4,ไผ่สิงห์โต, 6.50 ,10101100425325, 14 ,กรุงเทพมหานคร,,464, 224.00 ,3-68-4/32,32,คลองเตย,กล้วยน้ำไทเตาอบ,32,กล้วยน้ำไทเตาอบ,3,10110
ซ่อมรถแทรคเตอร์ ดัดแปลงรถแทรคเตอร์ ผลิต ประกอบ ดัดแปลง ซ่อมแซมและจำหน่อยอุปรกณ์สำหรับเครื่องจักร ยานพาหนะ ทางบก ทางน้ำ เรือ ,คลองเตย,7000,พระรามที่ 4,, 2.60 ,10100106825280, 42 ,กรุงเทพมหานคร,,5/1, 75.18 ,3-70-68/28,28,พระโขนง,บริษัท กรุงไทยแทรคเตอร์ จำกัด,33,บริษัท กรุงไทยแทรคเตอร์ จำกัด,3,10110
ทำสายไฟทองแดง อลูมิเนียมและลวดสลิง,คลองเตย,7402,,สุขุมวิท 50, 4.80 ,10100900225190, 6 ,กรุงเทพมหานคร,,1182, 289.63 ,3-74(2)-2/19,19,พระโขนง,บริษัท พรพูนอนันต์ จำกัด,34,บริษัท พรพูนอนันต์ จำกัด,3,10110
ผลิตหม้อน้ำรถยนต์ รังผึ้ง และหม้อน้ำสำเร็จรูปของรถยนต์,คลองเตย,7702,ริมทางรถไฟช่องนนทรี,, 6.30 ,10100200725139, 77 ,กรุงเทพมหานคร,,593," 1,035.79 ",3-77(2)-7/13,13,คลองเตย,บริษัท ช.วัฒนายนต์ (1966) จำกัด,35,บริษัท ช.วัฒนายนต์ (1966) จำกัด,3,10110
ทำเครื่องประดับจาก เงิน ทอง ทองคำขาวและอัญมณี,คลองเตย,8401,สุขุมวิท,-, 3.50 ,10100101025324, 90 ,กรุงเทพมหานคร,,"392/4-5, 392/17-19", 96.20 ,3-84(1)-10/32,32,คลองเตย,บริษัท ทอมสัน บราเดอร์ส จำกัด,36,บริษัท ทอมสัน บราเดอร์ส จำกัด,3,10110
ผลิตน้ำประปา เพื่อใช้ในกิจการของการท่าเรือ,คลองเตย,9000,ท่าเรือ,, 7.37 ,10101600125219, 6 ,กรุงเทพมหานคร,,การท่าเรือ, 387.50 ,3-90-1/21,21,คลองเตย,การท่าเรือแห่งประเทศไทย,37,การท่าเรือแห่งประเทศไทย,3,10110
บรรจุผลิตภัณฑ์น้ำมันหล่อลื่น และน้ำมันเบรค,คลองเตย,9101,อาจณรงค์,-, 160.00 ,10101800125340, 41 ,กรุงเทพมหานคร,,555, 403.80 ,3-91(1)-1/34,34,คลองเตย,บริษัท ปตท.น้ำมันและการค้าปลีก จำกัด (มหาชน),38,บริษัท ปตท.น้ำมันและการค้าปลีก จำกัด (มหาชน),3,10110
ผลิตอาหารสำเร็จรูปด้วยการทำสัตว์น้ำให้เยือกแข็งโดยฉับพลัน,คลองเตย,9200,พระราม 4,กล้วยน้ำไท, 8.24 ,10101700125218, 868 ,กรุงเทพมหานคร,,1," 1,757.00 ",3-92-1/21,21,คลองเตย,บริษัท ห้องเย็นเอเชี่ยน ซีฟู้ด จำกัด(มหาชน),39,บริษัท ห้องเย็นเอเชี่ยน ซีฟู้ด จำกัด(มหาชน),3,10110
ห้องเย็น,คลองเตย,9200,อาจณรงค์,กล้วยน้ำไท, 20.13 ,100200625331, 20 ,กรุงเทพมหานคร,,742, 794.00 ,ศ3-92-6/33,33,คลองเตย,บริษัท ห้องเย็นเอเซี่ยนซีฟู้ด จำกัด (มหาชน),40,บริษัท ห้องเย็นเอเซี่ยนซีฟู้ด จำกัด (มหาชน),3,10110
ห้องเย็นเก็บรักษาสัตว์น้ำ เช่น ปลา กุ้ง,คลองเตย,9200,พระรามที่ 4,, 3.80 ,10101800125183, 11 ,กรุงเทพมหานคร,,1717, 131.00 ,3-92-1/18,18,คลองตัน,บริษัท ฮกห้องเย็น จำกัด,41,บริษัท ฮกห้องเย็น จำกัด,3,10110
ศูนย์กระจายสินค้า(ห้องเย็น),คลองเตย,9200,เกษมราษฎร์,, 60.00 ,10100300425580, 18 ,กรุงเทพมหานคร,,5," 1,359.60 ",3-92-4/58,58,คลองเตย,การท่าเรือแห่งประเทศไทย,42,การท่าเรือแห่งประเทศไทย,3,10110
ค้าเนื้อชำแหละแช่เย็น,คลองเตย,9200,อาจณรงค์,กล้วยน้ำไท, -   ,10100300725419, 40 ,กรุงเทพมหานคร,,742, 117.50 ,3-92-7/41,41,คลองเตย,บริษัท อุดมซัพพลาย อิมเมกซ์ จำกัด,43,บริษัท อุดมซัพพลาย อิมเมกซ์ จำกัด,3,10110
ซ่อมและพ่นสีรถยนต์,คลองเตย,9501,สุนทรโกษา,, 18.60 ,10100133725628, 30 ,กรุงเทพมหานคร,,369, 206.60 ,3-95(1)-82/62,62,คลองเตย,บริษัท ไพรินทร์ ออโต้ เซอร์วิส จำกัด,44,บริษัท ไพรินทร์ ออโต้ เซอร์วิส จำกัด,3,10110
ซ่อมและพ่นสีรถยนต์,คลองเตย,9501,พระราม 4,, 0.35 ,10100103225278, 24 ,กรุงเทพมหานคร,,4069, 153.25 ,3-95(1)-32/27,27,พระโขนง,บริษัท ฉัตรเมือง จำกัด,45,บริษัท ฉัตรเมือง จำกัด,3,10110
ซ่อมรถยนต์,คลองเตย,9501,พระราม 4,       -, 170.00 ,10100100625454, 23 ,กรุงเทพมหานคร,,3814, 122.80 ,3-95(1)-6/45,45,คลองตัน,บริษัท โตโยต้า กาญจนเทพ จำกัด,46,บริษัท โตโยต้า กาญจนเทพ จำกัด,3,10110
บริการซ่อมและพ่นสีถยนต์,คลองเตย,9501,พระรามที่ 4,, 14.00 ,10100012225401, 69 ,กรุงเทพมหานคร,,1658/1, 179.60 ,3-95(1)-122/40,40,คลองเตย,บริษัท พระราม 4 ฮอนด้า คาร์ส์ กรุ๊ป จำกัด,47,บริษัท พระราม 4 ฮอนด้า คาร์ส์ กรุ๊ป จำกัด,3,10110
ซ่อมบำรุงรักษาและตรวจสภาพเครื่องยนต์ซ่อมพ่นสีรถยนต์,คลองเตย,9501,พระรามที่ 4,, 15.00 ,10100017925591, 15 ,กรุงเทพมหานคร,,2929/9, 99.50 ,3-95(1)-179/59,59,คลองเตย,บริษัท มิลเลนเนียม ออโต้ จำกัด,48,บริษัท มิลเลนเนียม ออโต้ จำกัด,3,10110
บริการซ่อมบำรุงรักษารถยนต์และพ่นสีรถยนต์,คลองเตย,9501,พระรามที่ 4,, 18.00 ,10100019625561, 15 ,กรุงเทพมหานคร,,4332 ชั้น 2, 114.00 ,3-95(1)-196/56,56,พระโขนง,บริษัท อินช์เคป (ประเทศไทย) จำกัด,49,บริษัท อินช์เคป (ประเทศไทย) จำกัด,3,10110
บริการซ่อมบำรุงรักษารถยนต์และพ่นสีรถยนต์,คลองเตย,9501,พระราม4,ฟาร์มวัฒนา, 18.00 ,10100019925565, 15 ,กรุงเทพมหานคร,,4332 ชั้น 1 , 123.00 ,3-95(1)-199/56,56,พระโขนง,บริษัท อาร์เอ็มเอ ซิตี้ มอเตอร์ส จำกัด,50,บริษัท อาร์เอ็มเอ ซิตี้ มอเตอร์ส จำกัด,3,10110
เคาะพ่นสีรถยนต์,คลองเตย,9501,พระรามที่ 4,ริมคลองไผ่สิงห์โต, 0.48 ,10100103325383, 15 ,กรุงเทพมหานคร,,592, 96.27 ,3-95(1)-33/38,38,คลองเตย,อู่สามมิตรการาจ,51,อู่สามมิตรการาจ,3,10110
คัดแยกวัสดุที่ไม่ใช้แล้ว เฉพาะที่กำหนดไว้ในหมวด 1 ข้อ 1ของภาคผนวกที่ 1 บัญชีสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้วท้ายประกาศกระทรวงอุตสาหกรรม ฉบับที่ 1 (พ.ศ.2541) อัดเศษกระดาษ อัดเศษพลาสติก และตัดเศษโลหะ,คลองเตย,10500,-,แสนสบาย, 13.20 ,10100211925488, 20 ,กรุงเทพมหานคร,,51, 130.00 ,3-105-119/48,48,คลองตัน,บริษัท ศิวลัยรียูสเอเบิ้ล จำกัด,52,บริษัท ศิวลัยรียูสเอเบิ้ล จำกัด,3,10110
"ผลิตแผ่นบันทึกภาพและเสียง, เทปบันทึกเสียง",คลองเตย,10700,พระราม 4,ภูมิจิตร, 25.42 ,10100600525469, 29 ,กรุงเทพมหานคร,,79/170-171, 173.85 ,3-107-5/46,46,พระโขนง,บริษัท ที.แอล. (1992) จำกัด,53,บริษัท ที.แอล. (1992) จำกัด,3,10110
ถักผ้ายืด ถักปกเสื้อ และตัดเย็บเสื้อผ้าสำเร็จรูป,คลองสาน,2400,เจริญนคร,เจริญนคร 13, 49.50 ,10100101125538, 114 ,กรุงเทพมหานคร,,65-81, 700.65 ,3-24-11/53,53,คลองต้นไทร,บริษัท นำสินการทอ จำกัด,54,บริษัท นำสินการทอ จำกัด,3,10600
ตัดเย็บเสื้อผ้าสำเร็จรูป (จำนวนจักรเย็บผ้า 140 เครื่อง),คลองสาน,2801,เจริญนคร,นฤมิตร, 1.10 ,10100011225287, 95 ,กรุงเทพมหานคร,,53-63, 49.84 ,3-28(1)-112/28,28,บางลำภูล่าง,บริษัท สุธานี จำกัด,55,บริษัท สุธานี จำกัด,3,10600
ตัดเย็บเสื้อผ้าสำเร็จรูป (จำนวนจักรเย็บผ้า 114 เครื่อง),คลองสาน,2801,เจริญนคร,รวมโชค, 2.60 ,10100022825232, 180 ,กรุงเทพมหานคร,,"68,70,72,74", 52.58 ,3-28(1)-228/23,23,บางลำภูล่าง,บริษัท ชนะกิจการ์เม้นท์ จำกัด,56,บริษัท ชนะกิจการ์เม้นท์ จำกัด,3,10600
ตัดเย็บเสื้อผ้าสำเร็จรูป (จำนวนจักรเย็บผ้า 144 เครื่อง) ตัดเย็บผ้าปูที่นอน ปลอกหมอน มุ้งและอุปกรณ์เครื่องนอนอื่น ๆ,คลองสาน,2801,เจริญนคร,ดูเม็กซ์, 27.50 ,10100004925323, 69 ,กรุงเทพมหานคร,,753/15-17, 139.54 ,3-28(1)-49/32,32,คลองต้นไทร,บริษัท วรพรการ์เม้นท์ จำกัด,57,บริษัท วรพรการ์เม้นท์ จำกัด,3,10600
ตัดเย็บเสื้อผ้าสำเร็จรูป,คลองสาน,2801,เจริญนคร,เจริญนคร 35, 19.06 ,10100000725461, 60 ,กรุงเทพมหานคร,,"60,62,64,66,68", 94.11 ,3-28(1)-7/46,46,บางลำภูล่าง,บริษัท อี บี ไอ การ์เมนท์ จำกัด,58,บริษัท อี บี ไอ การ์เมนท์ จำกัด,3,10600
ตัดเย็บเสื้อผ้าสำเร็จรูป และทำหมวก,คลองสาน,2801,เจริญนคร,จริญนคร  40, 116.00 ,10100005425489, 190 ,กรุงเทพมหานคร,,"547,549,551,553,555,557", 52.46 ,3-28(1)-54/48,48,บางลำภูล่าง,บริษัท แอนไทซ์ จำกัด,59,บริษัท แอนไทซ์ จำกัด,3,10600
ตัดเย็บเสื้อผ้าสำเร็จรูป (จำนวนจักรเย็บผ้า 135 เครื่อง),คลองสาน,2801,เจริญนคร,นฤมิตร, 12.00 ,10100007425347, 232 ,กรุงเทพมหานคร,,40-60, 235.65 ,3-28(1)-74/34,34,บางลำภูล่าง,บริษัท สุธานี จำกัด,60,บริษัท สุธานี จำกัด,3,10600
ตัดเย็บเสื้อผ้าสำเร็จรูป (จำนวนจักรเย็บผ้า 85 เครื่อง),คลองสาน,2801,เจริญนคร,เจริญนคร 10, 5.00 ,10100001225339, 100 ,กรุงเทพมหานคร,,"145, 147, 149", 30.04 ,3-28(1)-12/33,33,คลองต้นไทร,บริษัท นิโอ แอพพาเรจ จำกัด,61,บริษัท นิโอ แอพพาเรจ จำกัด,3,10600
ตัดเย็บเสื้อผ้าสำเร็จรูป (จำนวนจักรเย็บผ้า 60 เครื่อง),คลองสาน,2801,เจริญนคร,เยาวพันธุ์(เจริญนคร 28), 0.70 ,10100002525299, 120 ,กรุงเทพมหานคร,,"31,33,35,37,39", 101.34 ,3-28(1)-25/29,29,บางลำภูล่าง,บริษัท มณฑล จำกัด,62,บริษัท มณฑล จำกัด,3,10600
ตัดเย็บเสื้อผ้าสำเร็จรูป (จำนวนจักรเย็บผ้า 50 เครื่อง) และทำหมวก ทำที่ผูกผม โบว์ผูกผม และเครื่องประดับผม,คลองสาน,2801,เจริญนคร,เจริญนคร 53, 3.20 ,10100005025354, 80 ,กรุงเทพมหานคร,,63/6, 44.59 ,3-28(1)-50/35,35,บางลำภูล่าง,บริษัท อาซาว่า จำกัด,63,บริษัท อาซาว่า จำกัด,3,10600
ตัดเย็บเสื้อผ้าสำเร็จรูป (จำนวนจักรเย็บผ้า 207 เครื่อง) ตัดเย็บผ้าปูที่นอน ปลอกหมอน มุ้งและอุปกรณ์เครื่องนอนอื่น ๆ,คลองสาน,2801,เจริญนคร,เจริญนคร 13, 31.00 ,10100009525292, 242 ,กรุงเทพมหานคร,,45, 92.68 ,3-28(1)-95/29,29,คลองต้นไทร,บริษัท วรพรการ์เม้นท์ จำกัด,64,บริษัท วรพรการ์เม้นท์ จำกัด,3,10600
ทำแบบฟอร์ม แผ่นการ์ด พิมพ์สอดสี,คลองสาน,4101,เจริญนคร,เจริญนคร 40, 13.10 ,10100000625372, 33 ,กรุงเทพมหานคร,,179-189, 85.93 ,3-41(1)-6/37,37,บางลำภูล่าง,บริษัท แท่นทอง ปริ้นติ้งเซอร์วิส จำกัด,65,บริษัท แท่นทอง ปริ้นติ้งเซอร์วิส จำกัด,3,10600
พิมพ์สิ่งพิมพ์ต่าง ๆ,คลองสาน,4101,เจริญนคร,วนาวรรณ 2 ซอย เจริญนคร 14, 86.00 ,10100002525521, 40 ,กรุงเทพมหานคร,,16/2, 491.00 ,3-41(1)-25/52,52,คลองต้นไทร,บริษัท เอส.เอ็ม.เค.พริ้นติ้ง จำกัด,66,บริษัท เอส.เอ็ม.เค.พริ้นติ้ง จำกัด,3,10600
ผลิตยารักษาโรคแผนปัจจุบัน เช่น ยาเม็ด ยาแคปซูล และยาน้ำ,คลองสาน,4602,เจริญรัถ,, 8.00 ,10100300725195, 52 ,กรุงเทพมหานคร,,"617, 619", 535.14 ,3-46(2)-7/19,19,คลองสาน,บริษัท เภสัชกรรมศรีประสิทธิ์ จำกัด,67,บริษัท เภสัชกรรมศรีประสิทธิ์ จำกัด,3,10600
ผลิตยาแผนปัจจุบัน,คลองสาน,4602,สมเด็จเจ้าพระยา,สิทธิเกษม, 632.40 ,10100200225130, 210 ,กรุงเทพมหานคร,,4, 493.31 ,3-46(2)-2/13,13,สมเด็จเจ้าพระยา,บริษัท บี เอ็ล ฮั้ว จำกัด,68,บริษัท บี เอ็ล ฮั้ว จำกัด,3,10600
ทำเครื่องสำอาง เช่น แป้ง ลิปสติก,คลองสาน,4703,เจริญนคร,เจริญนคร 40, 0.60 ,100400125371, 32 ,กรุงเทพมหานคร,,275, 84.02 ,ศ3-47(3)-1/37,37,บางลำภูล่าง,หงษ์ทองคอสเมติคส์,69,หงษ์ทองคอสเมติคส์,3,10600
ทำกระดุม และลูกปัดพลาสติก,คลองสาน,5301,เจริญนคร,ราษฎร์ร่วมเจริญ, 1.00 ,10100200825145, 9 ,กรุงเทพมหานคร,,596, 237.14 ,3-53(1)-8/14,14,คลองต้นไทร,บริษัท ทิพย์เสรี จำกัด,70,บริษัท ทิพย์เสรี จำกัด,3,10600
