_id,ปี,ที่มา,ไม่ประจำทาง,อันดับ,เดือน,ส่วนบุคคล,หน่วย,ลักษณะรถ
38,2566,สำนักงานขนส่งจังหวัดสมุทรปราการ,13,5,พฤษภาคม,1,คัน,รถพ่วง
39,2566,สำนักงานขนส่งจังหวัดสมุทรปราการ,91,5,พฤษภาคม,7,คัน,รถกึ่งพ่วง
40,2566,สำนักงานขนส่งจังหวัดสมุทรปราการ,98,5,พฤษภาคม,3,คัน,ลากจูง
41,2566,สำนักงานขนส่งจังหวัดสมุทรปราการ,39,6,มิถุนายน,9,คัน,กระบะบรรทุก
42,2566,สำนักงานขนส่งจังหวัดสมุทรปราการ,44,6,มิถุนายน,13,คัน,ตู้บรรทุก
43,2566,สำนักงานขนส่งจังหวัดสมุทรปราการ,1,6,มิถุนายน,0,คัน,บรรทุกของเหลว
44,2566,สำนักงานขนส่งจังหวัดสมุทรปราการ,0,6,มิถุนายน,0,คัน,บรรทุกวัตถุอันตราย
45,2566,สำนักงานขนส่งจังหวัดสมุทรปราการ,9,6,มิถุนายน,7,คัน,บรรทุกเฉพาะกิจ
46,2566,สำนักงานขนส่งจังหวัดสมุทรปราการ,8,6,มิถุนายน,2,คัน,รถพ่วง
47,2566,สำนักงานขนส่งจังหวัดสมุทรปราการ,38,6,มิถุนายน,5,คัน,รถกึ่งพ่วง
48,2566,สำนักงานขนส่งจังหวัดสมุทรปราการ,73,6,มิถุนายน,2,คัน,ลากจูง
49,2566,สำนักงานขนส่งจังหวัดสมุทรปราการ,22,7,กรกฎาคม,19,คัน,กระบะบรรทุก
50,2566,สำนักงานขนส่งจังหวัดสมุทรปราการ,87,7,กรกฎาคม,6,คัน,ตู้บรรทุก
51,2566,สำนักงานขนส่งจังหวัดสมุทรปราการ,0,7,กรกฎาคม,0,คัน,บรรทุกของเหลว
52,2566,สำนักงานขนส่งจังหวัดสมุทรปราการ,0,7,กรกฎาคม,0,คัน,บรรทุกวัตถุอันตราย
53,2566,สำนักงานขนส่งจังหวัดสมุทรปราการ,12,7,กรกฎาคม,8,คัน,บรรทุกเฉพาะกิจ
54,2566,สำนักงานขนส่งจังหวัดสมุทรปราการ,5,7,กรกฎาคม,3,คัน,รถพ่วง
55,2566,สำนักงานขนส่งจังหวัดสมุทรปราการ,60,7,กรกฎาคม,6,คัน,รถกึ่งพ่วง
56,2566,สำนักงานขนส่งจังหวัดสมุทรปราการ,83,7,กรกฎาคม,7,คัน,ลากจูง
57,2566,สำนักงานขนส่งจังหวัดสมุทรปราการ,32,8,สิงหาคม,18,คัน,กระบะบรรทุก
58,2566,สำนักงานขนส่งจังหวัดสมุทรปราการ,78,8,สิงหาคม,15,คัน,ตู้บรรทุก
59,2566,สำนักงานขนส่งจังหวัดสมุทรปราการ,0,8,สิงหาคม,0,คัน,บรรทุกของเหลว
60,2566,สำนักงานขนส่งจังหวัดสมุทรปราการ,0,8,สิงหาคม,0,คัน,บรรทุกวัตถุอันตราย
61,2566,สำนักงานขนส่งจังหวัดสมุทรปราการ,13,8,สิงหาคม,3,คัน,บรรทุกเฉพาะกิจ
62,2566,สำนักงานขนส่งจังหวัดสมุทรปราการ,2,8,สิงหาคม,1,คัน,รถพ่วง
63,2566,สำนักงานขนส่งจังหวัดสมุทรปราการ,56,8,สิงหาคม,3,คัน,รถกึ่งพ่วง
64,2566,สำนักงานขนส่งจังหวัดสมุทรปราการ,98,8,สิงหาคม,1,คัน,ลากจูง
65,2566,สำนักงานขนส่งจังหวัดสมุทรปราการ,34,9,กันยายน,10,คัน,กระบะบรรทุก
66,2566,สำนักงานขนส่งจังหวัดสมุทรปราการ,49,9,กันยายน,2,คัน,ตู้บรรทุก
67,2566,สำนักงานขนส่งจังหวัดสมุทรปราการ,0,9,กันยายน,1,คัน,บรรทุกของเหลว
68,2566,สำนักงานขนส่งจังหวัดสมุทรปราการ,0,9,กันยายน,0,คัน,บรรทุกวัตถุอันตราย
69,2566,สำนักงานขนส่งจังหวัดสมุทรปราการ,19,9,กันยายน,3,คัน,บรรทุกเฉพาะกิจ
70,2566,สำนักงานขนส่งจังหวัดสมุทรปราการ,9,9,กันยายน,2,คัน,รถพ่วง
71,2566,สำนักงานขนส่งจังหวัดสมุทรปราการ,124,9,กันยายน,3,คัน,รถกึ่งพ่วง
72,2566,สำนักงานขนส่งจังหวัดสมุทรปราการ,83,9,กันยายน,5,คัน,ลากจูง
73,2566,สำนักงานขนส่งจังหวัดสมุทรปราการ,53,10,ตุลาคม,15,คัน,กระบะบรรทุก
74,2566,สำนักงานขนส่งจังหวัดสมุทรปราการ,35,10,ตุลาคม,7,คัน,ตู้บรรทุก
75,2566,สำนักงานขนส่งจังหวัดสมุทรปราการ,0,10,ตุลาคม,1,คัน,บรรทุกของเหลว
76,2566,สำนักงานขนส่งจังหวัดสมุทรปราการ,2,10,ตุลาคม,0,คัน,บรรทุกวัตถุอันตราย
77,2566,สำนักงานขนส่งจังหวัดสมุทรปราการ,16,10,ตุลาคม,5,คัน,บรรทุกเฉพาะกิจ
78,2566,สำนักงานขนส่งจังหวัดสมุทรปราการ,13,10,ตุลาคม,1,คัน,รถพ่วง
79,2566,สำนักงานขนส่งจังหวัดสมุทรปราการ,93,10,ตุลาคม,2,คัน,รถกึ่งพ่วง
80,2566,สำนักงานขนส่งจังหวัดสมุทรปราการ,85,10,ตุลาคม,0,คัน,ลากจูง
81,2566,สำนักงานขนส่งจังหวัดสมุทรปราการ,30,11,พฤศจิกายน ,11,คัน,กระบะบรรทุก
82,2566,สำนักงานขนส่งจังหวัดสมุทรปราการ,68,11,พฤศจิกายน ,5,คัน,ตู้บรรทุก
83,2566,สำนักงานขนส่งจังหวัดสมุทรปราการ,2,11,พฤศจิกายน ,1,คัน,บรรทุกของเหลว
84,2566,สำนักงานขนส่งจังหวัดสมุทรปราการ,1,11,พฤศจิกายน ,2,คัน,บรรทุกวัตถุอันตราย
85,2566,สำนักงานขนส่งจังหวัดสมุทรปราการ,16,11,พฤศจิกายน ,6,คัน,บรรทุกเฉพาะกิจ
86,2566,สำนักงานขนส่งจังหวัดสมุทรปราการ,7,11,พฤศจิกายน ,2,คัน,รถพ่วง
87,2566,สำนักงานขนส่งจังหวัดสมุทรปราการ,72,11,พฤศจิกายน ,4,คัน,รถกึ่งพ่วง
88,2566,สำนักงานขนส่งจังหวัดสมุทรปราการ,57,11,พฤศจิกายน ,2,คัน,ลากจูง
89,2566,สำนักงานขนส่งจังหวัดสมุทรปราการ,24,12,ธันวาคม,12,คัน,กระบะบรรทุก
90,2566,สำนักงานขนส่งจังหวัดสมุทรปราการ,39,12,ธันวาคม,4,คัน,ตู้บรรทุก
91,2566,สำนักงานขนส่งจังหวัดสมุทรปราการ,0,12,ธันวาคม,1,คัน,บรรทุกของเหลว
92,2566,สำนักงานขนส่งจังหวัดสมุทรปราการ,0,12,ธันวาคม,0,คัน,บรรทุกวัตถุอันตราย
93,2566,สำนักงานขนส่งจังหวัดสมุทรปราการ,7,12,ธันวาคม,7,คัน,บรรทุกเฉพาะกิจ
94,2566,สำนักงานขนส่งจังหวัดสมุทรปราการ,8,12,ธันวาคม,0,คัน,รถพ่วง
95,2566,สำนักงานขนส่งจังหวัดสมุทรปราการ,18,12,ธันวาคม,3,คัน,รถกึ่งพ่วง
96,2566,สำนักงานขนส่งจังหวัดสมุทรปราการ,29,12,ธันวาคม,3,คัน,ลากจูง
97,2567,สำนักงานขนส่งจังหวัดสมุทรปราการ,31,1,มกราคม,4,คัน,กระบะบรรทุก
98,2567,สำนักงานขนส่งจังหวัดสมุทรปราการ,52,1,มกราคม,8,คัน,ตู้บรรทุก
99,2567,สำนักงานขนส่งจังหวัดสมุทรปราการ,0,1,มกราคม,1,คัน,บรรทุกของเหลว
100,2567,สำนักงานขนส่งจังหวัดสมุทรปราการ,0,1,มกราคม,0,คัน,บรรทุกวัตถุอันตราย
101,2567,สำนักงานขนส่งจังหวัดสมุทรปราการ,17,1,มกราคม,14,คัน,บรรทุกเฉพาะกิจ
102,2567,สำนักงานขนส่งจังหวัดสมุทรปราการ,15,1,มกราคม,2,คัน,รถพ่วง
103,2567,สำนักงานขนส่งจังหวัดสมุทรปราการ,32,1,มกราคม,2,คัน,รถกึ่งพ่วง
104,2567,สำนักงานขนส่งจังหวัดสมุทรปราการ,54,1,มกราคม,1,คัน,ลากจูง
105,2567,สำนักงานขนส่งจังหวัดสมุทรปราการ,44,2,กุมภาพันธ์ ,6,คัน,กระบะบรรทุก
106,2567,สำนักงานขนส่งจังหวัดสมุทรปราการ,72,2,กุมภาพันธ์ ,13,คัน,ตู้บรรทุก
107,2567,สำนักงานขนส่งจังหวัดสมุทรปราการ,1,2,กุมภาพันธ์ ,1,คัน,บรรทุกของเหลว
108,2567,สำนักงานขนส่งจังหวัดสมุทรปราการ,0,2,กุมภาพันธ์ ,0,คัน,บรรทุกวัตถุอันตราย
109,2567,สำนักงานขนส่งจังหวัดสมุทรปราการ,8,2,กุมภาพันธ์ ,2,คัน,บรรทุกเฉพาะกิจ
110,2567,สำนักงานขนส่งจังหวัดสมุทรปราการ,11,2,กุมภาพันธ์ ,1,คัน,รถพ่วง
111,2567,สำนักงานขนส่งจังหวัดสมุทรปราการ,47,2,กุมภาพันธ์ ,0,คัน,รถกึ่งพ่วง
112,2567,สำนักงานขนส่งจังหวัดสมุทรปราการ,72,2,กุมภาพันธ์ ,1,คัน,ลากจูง
113,2567,สำนักงานขนส่งจังหวัดสมุทรปราการ,31,3,มีนาคม,9,คัน,กระบะบรรทุก
114,2567,สำนักงานขนส่งจังหวัดสมุทรปราการ,36,3,มีนาคม,8,คัน,ตู้บรรทุก
115,2567,สำนักงานขนส่งจังหวัดสมุทรปราการ,0,3,มีนาคม,1,คัน,บรรทุกของเหลว
116,2567,สำนักงานขนส่งจังหวัดสมุทรปราการ,0,3,มีนาคม,0,คัน,บรรทุกวัตถุอันตราย
117,2567,สำนักงานขนส่งจังหวัดสมุทรปราการ,12,3,มีนาคม,3,คัน,บรรทุกเฉพาะกิจ
118,2567,สำนักงานขนส่งจังหวัดสมุทรปราการ,4,3,มีนาคม,2,คัน,รถพ่วง
119,2567,สำนักงานขนส่งจังหวัดสมุทรปราการ,55,3,มีนาคม,0,คัน,รถกึ่งพ่วง
120,2567,สำนักงานขนส่งจังหวัดสมุทรปราการ,55,3,มีนาคม,0,คัน,ลากจูง
121,2567,สำนักงานขนส่งจังหวัดสมุทรปราการ,31,4,เมษายน,14,คัน,กระบะบรรทุก
122,2567,สำนักงานขนส่งจังหวัดสมุทรปราการ,35,4,เมษายน,5,คัน,ตู้บรรทุก
123,2567,สำนักงานขนส่งจังหวัดสมุทรปราการ,1,4,เมษายน,0,คัน,บรรทุกของเหลว
124,2567,สำนักงานขนส่งจังหวัดสมุทรปราการ,0,4,เมษายน,0,คัน,บรรทุกวัตถุอันตราย
125,2567,สำนักงานขนส่งจังหวัดสมุทรปราการ,11,4,เมษายน,3,คัน,บรรทุกเฉพาะกิจ
126,2567,สำนักงานขนส่งจังหวัดสมุทรปราการ,7,4,เมษายน,2,คัน,รถพ่วง
127,2567,สำนักงานขนส่งจังหวัดสมุทรปราการ,50,4,เมษายน,2,คัน,รถกึ่งพ่วง
128,2567,สำนักงานขนส่งจังหวัดสมุทรปราการ,59,4,เมษายน,3,คัน,ลากจูง
129,2567,สำนักงานขนส่งจังหวัดสมุทรปราการ,36,5,พฤษภาคม,12,คัน,กระบะบรรทุก
130,2567,สำนักงานขนส่งจังหวัดสมุทรปราการ,48,5,พฤษภาคม,11,คัน,ตู้บรรทุก
131,2567,สำนักงานขนส่งจังหวัดสมุทรปราการ,0,5,พฤษภาคม,3,คัน,บรรทุกของเหลว
132,2567,สำนักงานขนส่งจังหวัดสมุทรปราการ,1,5,พฤษภาคม,0,คัน,บรรทุกวัตถุอันตราย
133,2567,สำนักงานขนส่งจังหวัดสมุทรปราการ,19,5,พฤษภาคม,5,คัน,บรรทุกเฉพาะกิจ
134,2567,สำนักงานขนส่งจังหวัดสมุทรปราการ,12,5,พฤษภาคม,1,คัน,รถพ่วง
135,2567,สำนักงานขนส่งจังหวัดสมุทรปราการ,52,5,พฤษภาคม,3,คัน,รถกึ่งพ่วง
136,2567,สำนักงานขนส่งจังหวัดสมุทรปราการ,67,5,พฤษภาคม,8,คัน,ลากจูง
137,2567,สำนักงานขนส่งจังหวัดสมุทรปราการ,22,6,มิถุนายน,9,คัน,กระบะบรรทุก
138,2567,สำนักงานขนส่งจังหวัดสมุทรปราการ,58,6,มิถุนายน,10,คัน,ตู้บรรทุก
139,2567,สำนักงานขนส่งจังหวัดสมุทรปราการ,1,6,มิถุนายน,2,คัน,บรรทุกของเหลว
140,2567,สำนักงานขนส่งจังหวัดสมุทรปราการ,2,6,มิถุนายน,0,คัน,บรรทุกวัตถุอันตราย
141,2567,สำนักงานขนส่งจังหวัดสมุทรปราการ,2,6,มิถุนายน,5,คัน,บรรทุกเฉพาะกิจ
142,2567,สำนักงานขนส่งจังหวัดสมุทรปราการ,10,6,มิถุนายน,1,คัน,รถพ่วง
143,2567,สำนักงานขนส่งจังหวัดสมุทรปราการ,72,6,มิถุนายน,4,คัน,รถกึ่งพ่วง
144,2567,สำนักงานขนส่งจังหวัดสมุทรปราการ,73,6,มิถุนายน,5,คัน,ลากจูง
145,2567,สำนักงานขนส่งจังหวัดสมุทรปราการ,29,7,กรกฎาคม,11,คัน,กระบะบรรทุก
146,2567,สำนักงานขนส่งจังหวัดสมุทรปราการ,71,7,กรกฎาคม,7,คัน,ตู้บรรทุก
147,2567,สำนักงานขนส่งจังหวัดสมุทรปราการ,0,7,กรกฎาคม,1,คัน,บรรทุกของเหลว
148,2567,สำนักงานขนส่งจังหวัดสมุทรปราการ,1,7,กรกฎาคม,0,คัน,บรรทุกวัตถุอันตราย
149,2567,สำนักงานขนส่งจังหวัดสมุทรปราการ,12,7,กรกฎาคม,4,คัน,บรรทุกเฉพาะกิจ
150,2567,สำนักงานขนส่งจังหวัดสมุทรปราการ,11,7,กรกฎาคม,0,คัน,รถพ่วง
151,2567,สำนักงานขนส่งจังหวัดสมุทรปราการ,64,7,กรกฎาคม,2,คัน,รถกึ่งพ่วง
152,2567,สำนักงานขนส่งจังหวัดสมุทรปราการ,73,7,กรกฎาคม,0,คัน,ลากจูง
153,2567,สำนักงานขนส่งจังหวัดสมุทรปราการ,19,8,สิงหาคม,9,คัน,กระบะบรรทุก
154,2567,สำนักงานขนส่งจังหวัดสมุทรปราการ,73,8,สิงหาคม,15,คัน,ตู้บรรทุก
155,2567,สำนักงานขนส่งจังหวัดสมุทรปราการ,1,8,สิงหาคม,0,คัน,บรรทุกของเหลว
156,2567,สำนักงานขนส่งจังหวัดสมุทรปราการ,1,8,สิงหาคม,0,คัน,บรรทุกวัตถุอันตราย
157,2567,สำนักงานขนส่งจังหวัดสมุทรปราการ,10,8,สิงหาคม,11,คัน,บรรทุกเฉพาะกิจ
158,2567,สำนักงานขนส่งจังหวัดสมุทรปราการ,9,8,สิงหาคม,1,คัน,รถพ่วง
159,2567,สำนักงานขนส่งจังหวัดสมุทรปราการ,32,8,สิงหาคม,5,คัน,รถกึ่งพ่วง
160,2567,สำนักงานขนส่งจังหวัดสมุทรปราการ,54,8,สิงหาคม,1,คัน,ลากจูง
161,2567,สำนักงานขนส่งจังหวัดสมุทรปราการ,19,9,กันยายน,7,คัน,กระบะบรรทุก
162,2567,สำนักงานขนส่งจังหวัดสมุทรปราการ,38,9,กันยายน,8,คัน,ตู้บรรทุก
163,2567,สำนักงานขนส่งจังหวัดสมุทรปราการ,0,9,กันยายน,0,คัน,บรรทุกของเหลว
164,2567,สำนักงานขนส่งจังหวัดสมุทรปราการ,1,9,กันยายน,1,คัน,บรรทุกวัตถุอันตราย
165,2567,สำนักงานขนส่งจังหวัดสมุทรปราการ,19,9,กันยายน,4,คัน,บรรทุกเฉพาะกิจ
166,2567,สำนักงานขนส่งจังหวัดสมุทรปราการ,13,9,กันยายน,2,คัน,รถพ่วง
167,2567,สำนักงานขนส่งจังหวัดสมุทรปราการ,35,9,กันยายน,0,คัน,รถกึ่งพ่วง
168,2567,สำนักงานขนส่งจังหวัดสมุทรปราการ,43,9,กันยายน,3,คัน,ลากจูง
169,2567,สำนักงานขนส่งจังหวัดสมุทรปราการ,20,10,ตุลาคม,15,คัน,กระบะบรรทุก
170,2567,สำนักงานขนส่งจังหวัดสมุทรปราการ,74,10,ตุลาคม,16,คัน,ตู้บรรทุก
171,2567,สำนักงานขนส่งจังหวัดสมุทรปราการ,1,10,ตุลาคม,0,คัน,บรรทุกของเหลว
172,2567,สำนักงานขนส่งจังหวัดสมุทรปราการ,1,10,ตุลาคม,0,คัน,บรรทุกวัตถุอันตราย
173,2567,สำนักงานขนส่งจังหวัดสมุทรปราการ,13,10,ตุลาคม,15,คัน,บรรทุกเฉพาะกิจ
174,2567,สำนักงานขนส่งจังหวัดสมุทรปราการ,13,10,ตุลาคม,3,คัน,รถพ่วง
175,2567,สำนักงานขนส่งจังหวัดสมุทรปราการ,54,10,ตุลาคม,1,คัน,รถกึ่งพ่วง
176,2567,สำนักงานขนส่งจังหวัดสมุทรปราการ,50,10,ตุลาคม,1,คัน,ลากจูง
177,2567,สำนักงานขนส่งจังหวัดสมุทรปราการ,26,11,พฤศจิกายน ,4,คัน,กระบะบรรทุก
178,2567,สำนักงานขนส่งจังหวัดสมุทรปราการ,43,11,พฤศจิกายน ,13,คัน,ตู้บรรทุก
179,2567,สำนักงานขนส่งจังหวัดสมุทรปราการ,6,11,พฤศจิกายน ,1,คัน,บรรทุกของเหลว
180,2567,สำนักงานขนส่งจังหวัดสมุทรปราการ,2,11,พฤศจิกายน ,0,คัน,บรรทุกวัตถุอันตราย
181,2567,สำนักงานขนส่งจังหวัดสมุทรปราการ,24,11,พฤศจิกายน ,6,คัน,บรรทุกเฉพาะกิจ
182,2567,สำนักงานขนส่งจังหวัดสมุทรปราการ,12,11,พฤศจิกายน ,0,คัน,รถพ่วง
183,2567,สำนักงานขนส่งจังหวัดสมุทรปราการ,32,11,พฤศจิกายน ,0,คัน,รถกึ่งพ่วง
184,2567,สำนักงานขนส่งจังหวัดสมุทรปราการ,55,11,พฤศจิกายน ,0,คัน,ลากจูง
185,2567,สำนักงานขนส่งจังหวัดสมุทรปราการ,29,12,ธันวาคม,1,คัน,กระบะบรรทุก
186,2567,สำนักงานขนส่งจังหวัดสมุทรปราการ,35,12,ธันวาคม,20,คัน,ตู้บรรทุก
187,2567,สำนักงานขนส่งจังหวัดสมุทรปราการ,7,12,ธันวาคม,0,คัน,บรรทุกของเหลว
188,2567,สำนักงานขนส่งจังหวัดสมุทรปราการ,3,12,ธันวาคม,0,คัน,บรรทุกวัตถุอันตราย
189,2567,สำนักงานขนส่งจังหวัดสมุทรปราการ,13,12,ธันวาคม,2,คัน,บรรทุกเฉพาะกิจ
190,2567,สำนักงานขนส่งจังหวัดสมุทรปราการ,10,12,ธันวาคม,6,คัน,รถพ่วง
191,2567,สำนักงานขนส่งจังหวัดสมุทรปราการ,23,12,ธันวาคม,2,คัน,รถกึ่งพ่วง
192,2567,สำนักงานขนส่งจังหวัดสมุทรปราการ,35,12,ธันวาคม,1,คัน,ลากจูง
193,2568,สำนักงานขนส่งจังหวัดสมุทรปราการ,30,1,มกราคม,7,คัน,กระบะบรรทุก
194,2568,สำนักงานขนส่งจังหวัดสมุทรปราการ,55,1,มกราคม,3,คัน,ตู้บรรทุก
195,2568,สำนักงานขนส่งจังหวัดสมุทรปราการ,3,1,มกราคม,0,คัน,บรรทุกของเหลว
196,2568,สำนักงานขนส่งจังหวัดสมุทรปราการ,0,1,มกราคม,0,คัน,บรรทุกวัตถุอันตราย
197,2568,สำนักงานขนส่งจังหวัดสมุทรปราการ,8,1,มกราคม,6,คัน,บรรทุกเฉพาะกิจ
198,2568,สำนักงานขนส่งจังหวัดสมุทรปราการ,11,1,มกราคม,2,คัน,รถพ่วง
199,2568,สำนักงานขนส่งจังหวัดสมุทรปราการ,30,1,มกราคม,1,คัน,รถกึ่งพ่วง
200,2568,สำนักงานขนส่งจังหวัดสมุทรปราการ,48,1,มกราคม,1,คัน,ลากจูง
201,2568,สำนักงานขนส่งจังหวัดสมุทรปราการ,26,2,กุมภาพันธ์ ,13,คัน,กระบะบรรทุก
202,2568,สำนักงานขนส่งจังหวัดสมุทรปราการ,44,2,กุมภาพันธ์ ,3,คัน,ตู้บรรทุก
203,2568,สำนักงานขนส่งจังหวัดสมุทรปราการ,2,2,กุมภาพันธ์ ,2,คัน,บรรทุกของเหลว
204,2568,สำนักงานขนส่งจังหวัดสมุทรปราการ,0,2,กุมภาพันธ์ ,0,คัน,บรรทุกวัตถุอันตราย
205,2568,สำนักงานขนส่งจังหวัดสมุทรปราการ,10,2,กุมภาพันธ์ ,8,คัน,บรรทุกเฉพาะกิจ
206,2568,สำนักงานขนส่งจังหวัดสมุทรปราการ,10,2,กุมภาพันธ์ ,1,คัน,รถพ่วง
207,2568,สำนักงานขนส่งจังหวัดสมุทรปราการ,57,2,กุมภาพันธ์ ,0,คัน,รถกึ่งพ่วง
208,2568,สำนักงานขนส่งจังหวัดสมุทรปราการ,60,2,กุมภาพันธ์ ,2,คัน,ลากจูง
209,2568,สำนักงานขนส่งจังหวัดสมุทรปราการ,30,3,มีนาคม,14,คัน,กระบะบรรทุก
210,2568,สำนักงานขนส่งจังหวัดสมุทรปราการ,52,3,มีนาคม,5,คัน,ตู้บรรทุก
211,2568,สำนักงานขนส่งจังหวัดสมุทรปราการ,3,3,มีนาคม,0,คัน,บรรทุกของเหลว
212,2568,สำนักงานขนส่งจังหวัดสมุทรปราการ,1,3,มีนาคม,0,คัน,บรรทุกวัตถุอันตราย
213,2568,สำนักงานขนส่งจังหวัดสมุทรปราการ,19,3,มีนาคม,13,คัน,บรรทุกเฉพาะกิจ
214,2568,สำนักงานขนส่งจังหวัดสมุทรปราการ,6,3,มีนาคม,1,คัน,รถพ่วง
215,2568,สำนักงานขนส่งจังหวัดสมุทรปราการ,56,3,มีนาคม,0,คัน,รถกึ่งพ่วง
216,2568,สำนักงานขนส่งจังหวัดสมุทรปราการ,69,3,มีนาคม,2,คัน,ลากจูง
217,2568,สำนักงานขนส่งจังหวัดสมุทรปราการ,32,4,เมษายน,10,คัน,กระบะบรรทุก
218,2568,สำนักงานขนส่งจังหวัดสมุทรปราการ,87,4,เมษายน,105,คัน,ตู้บรรทุก
219,2568,สำนักงานขนส่งจังหวัดสมุทรปราการ,1,4,เมษายน,0,คัน,บรรทุกของเหลว
220,2568,สำนักงานขนส่งจังหวัดสมุทรปราการ,0,4,เมษายน,0,คัน,บรรทุกวัตถุอันตราย
221,2568,สำนักงานขนส่งจังหวัดสมุทรปราการ,5,4,เมษายน,1,คัน,บรรทุกเฉพาะกิจ
222,2568,สำนักงานขนส่งจังหวัดสมุทรปราการ,17,4,เมษายน,1,คัน,รถพ่วง
