province,Quarter,item,_id,item_2,year,value,item_1,unit,source
สิงห์บุรี,ไตรมาส 2,จำนวนผู้ประกันตน อายุ 61 ปีขึ้นไป,19,เพศหญิง,2568,4428,จำนวนผู้ประกันตนตามเพศ,คน,สำนักงานประกันสังคม
สิงห์บุรี,ไตรมาส 2,จำนวนผู้ประกันตน อายุ 61 ปีขึ้นไป,20,ไม่ระบุรายได้,2568,1494,จำนวนผู้ประกันตนตามช่วงรายได้,คน,สำนักงานประกันสังคม
สิงห์บุรี,ไตรมาส 2,จำนวนผู้ประกันตน อายุ 61 ปีขึ้นไป,21,"มีรายได้น้อยกว่า 5,000 บาท",2568,2294,จำนวนผู้ประกันตนตามช่วงรายได้,คน,สำนักงานประกันสังคม
สิงห์บุรี,ไตรมาส 2,จำนวนผู้ประกันตน อายุ 61 ปีขึ้นไป,22,"มีรายได้ระหว่าง 5,001-7,500 บาท",2568,3426,จำนวนผู้ประกันตนตามช่วงรายได้,คน,สำนักงานประกันสังคม
สิงห์บุรี,ไตรมาส 2,จำนวนผู้ประกันตน อายุ 61 ปีขึ้นไป,23,อาชีพรับจ้างทั่วไป,2568,1901,จำนวนผู้ประกันตนตามอาชีพ,คน,สำนักงานประกันสังคม
สิงห์บุรี,ไตรมาส 2,จำนวนผู้ประกันตน อายุ 61 ปีขึ้นไป,24,ไม่ระบุอาชีพ,2568,1506,จำนวนผู้ประกันตนตามอาชีพ,คน,สำนักงานประกันสังคม
สิงห์บุรี,ไตรมาส 2,จำนวนผู้ประกันตน อายุ 61 ปีขึ้นไป,25,อาชีพอิสระอื่น ๆ ,2568,1187,จำนวนผู้ประกันตนตามอาชีพ,คน,สำนักงานประกันสังคม
สิงห์บุรี,ไตรมาส 2,จำนวนผู้ประกันตน อายุ 61 ปีขึ้นไป,26,ทำนา,2568,886,จำนวนผู้ประกันตนตามอาชีพ,คน,สำนักงานประกันสังคม
สิงห์บุรี,ไตรมาส 2,จำนวนผู้ประกันตน อายุ 61 ปีขึ้นไป,27,ค้าขายอื่น ๆ (รวมหาบเร่/แผงลอย),2568,488,จำนวนผู้ประกันตนตามอาชีพ,คน,สำนักงานประกันสังคม
สิงห์บุรี,ไตรมาส 2,จำนวนผู้ประกันตน อายุ 61 ปีขึ้นไป,28,ขายอาหาร,2568,267,จำนวนผู้ประกันตนตามอาชีพ,คน,สำนักงานประกันสังคม
สิงห์บุรี,ไตรมาส 2,จำนวนผู้ประกันตน อายุ 61 ปีขึ้นไป,29,อื่น ๆ ,2568,979,จำนวนผู้ประกันตนตามอาชีพ,คน,สำนักงานประกันสังคม
สิงห์บุรี,ไตรมาส 2,จำนวนผู้ประกันตน อายุ 61 ปีขึ้นไป,30,ทางเลือกที่ 1,2568,1034,จำนวนผู้ประกันตนตามทางเลือก,คน,สำนักงานประกันสังคม
สิงห์บุรี,ไตรมาส 3,จำนวนผู้ประกันตน อายุ 61 ปีขึ้นไป,31,ทางเลือกที่ 2,2568,5665,จำนวนผู้ประกันตนตามทางเลือก,คน,สำนักงานประกันสังคม
สิงห์บุรี,ไตรมาส 4,จำนวนผู้ประกันตน อายุ 61 ปีขึ้นไป,32,ทางเลือกที่ 3,2568,515,จำนวนผู้ประกันตนตามทางเลือก,คน,สำนักงานประกันสังคม
