ค่าข้อมูล,ที่มา,_id,ปี,ชนิดพืช,อำเภอ,รายการ,หน่วย
-,สำนักงานเกษตรจังหวัดนครราชสีมา,28,2566,อ้อยโรงงาน,แก้งสนามนาง,ต้นทุนการผลิตอ้อยโรงงาน,บาท
6831.0,สำนักงานเกษตรจังหวัดนครราชสีมา,29,2566,อ้อยโรงงาน,โชคชัย,ต้นทุนการผลิตอ้อยโรงงาน,บาท
11855.0,สำนักงานเกษตรจังหวัดนครราชสีมา,30,2566,อ้อยโรงงาน,โนนสูง,ต้นทุนการผลิตอ้อยโรงงาน,บาท
-,สำนักงานเกษตรจังหวัดนครราชสีมา,31,2566,อ้อยโรงงาน,โนนแดง,ต้นทุนการผลิตอ้อยโรงงาน,บาท
-,สำนักงานเกษตรจังหวัดนครราชสีมา,32,2566,อ้อยโรงงาน,โนนไทย,ต้นทุนการผลิตอ้อยโรงงาน,บาท
-,สำนักงานเกษตรจังหวัดนครราชสีมา,33,2565,อ้อยโรงงาน,ขามทะเลสอ,ต้นทุนการผลิตอ้อยโรงงาน,บาท
-,สำนักงานเกษตรจังหวัดนครราชสีมา,34,2565,อ้อยโรงงาน,ขามสะแกแสง,ต้นทุนการผลิตอ้อยโรงงาน,บาท
-,สำนักงานเกษตรจังหวัดนครราชสีมา,35,2565,อ้อยโรงงาน,คง,ต้นทุนการผลิตอ้อยโรงงาน,บาท
-,สำนักงานเกษตรจังหวัดนครราชสีมา,36,2565,อ้อยโรงงาน,ครบุรี,ต้นทุนการผลิตอ้อยโรงงาน,บาท
-,สำนักงานเกษตรจังหวัดนครราชสีมา,37,2565,อ้อยโรงงาน,จักราช,ต้นทุนการผลิตอ้อยโรงงาน,บาท
-,สำนักงานเกษตรจังหวัดนครราชสีมา,38,2565,อ้อยโรงงาน,ชุมพวง,ต้นทุนการผลิตอ้อยโรงงาน,บาท
-,สำนักงานเกษตรจังหวัดนครราชสีมา,39,2565,อ้อยโรงงาน,ด่านขุนทด,ต้นทุนการผลิตอ้อยโรงงาน,บาท
-,สำนักงานเกษตรจังหวัดนครราชสีมา,40,2565,อ้อยโรงงาน,บัวลาย,ต้นทุนการผลิตอ้อยโรงงาน,บาท
-,สำนักงานเกษตรจังหวัดนครราชสีมา,41,2565,อ้อยโรงงาน,บัวใหญ่,ต้นทุนการผลิตอ้อยโรงงาน,บาท
8150.0,สำนักงานเกษตรจังหวัดนครราชสีมา,42,2565,อ้อยโรงงาน,บ้านเหลื่อม,ต้นทุนการผลิตอ้อยโรงงาน,บาท
-,สำนักงานเกษตรจังหวัดนครราชสีมา,43,2565,อ้อยโรงงาน,ประทาย,ต้นทุนการผลิตอ้อยโรงงาน,บาท
-,สำนักงานเกษตรจังหวัดนครราชสีมา,44,2565,อ้อยโรงงาน,ปักธงชัย,ต้นทุนการผลิตอ้อยโรงงาน,บาท
7230.0,สำนักงานเกษตรจังหวัดนครราชสีมา,45,2565,อ้อยโรงงาน,ปากช่อง,ต้นทุนการผลิตอ้อยโรงงาน,บาท
6831.0,สำนักงานเกษตรจังหวัดนครราชสีมา,46,2565,อ้อยโรงงาน,พระทองคำ,ต้นทุนการผลิตอ้อยโรงงาน,บาท
8700.0,สำนักงานเกษตรจังหวัดนครราชสีมา,47,2565,อ้อยโรงงาน,พิมาย,ต้นทุนการผลิตอ้อยโรงงาน,บาท
11270.0,สำนักงานเกษตรจังหวัดนครราชสีมา,48,2565,อ้อยโรงงาน,ลำทะเมนชัย,ต้นทุนการผลิตอ้อยโรงงาน,บาท
-,สำนักงานเกษตรจังหวัดนครราชสีมา,49,2565,อ้อยโรงงาน,วังน้ำเขียว,ต้นทุนการผลิตอ้อยโรงงาน,บาท
-,สำนักงานเกษตรจังหวัดนครราชสีมา,50,2565,อ้อยโรงงาน,สีคิ้ว,ต้นทุนการผลิตอ้อยโรงงาน,บาท
-,สำนักงานเกษตรจังหวัดนครราชสีมา,51,2565,อ้อยโรงงาน,สีดา,ต้นทุนการผลิตอ้อยโรงงาน,บาท
-,สำนักงานเกษตรจังหวัดนครราชสีมา,52,2565,อ้อยโรงงาน,สูงเนิน,ต้นทุนการผลิตอ้อยโรงงาน,บาท
-,สำนักงานเกษตรจังหวัดนครราชสีมา,53,2565,อ้อยโรงงาน,หนองบุญมาก,ต้นทุนการผลิตอ้อยโรงงาน,บาท
7750.0,สำนักงานเกษตรจังหวัดนครราชสีมา,54,2565,อ้อยโรงงาน,ห้วยแถลง,ต้นทุนการผลิตอ้อยโรงงาน,บาท
8495.0,สำนักงานเกษตรจังหวัดนครราชสีมา,55,2565,อ้อยโรงงาน,เฉลิมพระเกียรติ,ต้นทุนการผลิตอ้อยโรงงาน,บาท
-,สำนักงานเกษตรจังหวัดนครราชสีมา,56,2565,อ้อยโรงงาน,เทพารักษ์,ต้นทุนการผลิตอ้อยโรงงาน,บาท
-,สำนักงานเกษตรจังหวัดนครราชสีมา,57,2565,อ้อยโรงงาน,เมืองนครราชสีมา,ต้นทุนการผลิตอ้อยโรงงาน,บาท
-,สำนักงานเกษตรจังหวัดนครราชสีมา,58,2565,อ้อยโรงงาน,เมืองยาง,ต้นทุนการผลิตอ้อยโรงงาน,บาท
-,สำนักงานเกษตรจังหวัดนครราชสีมา,59,2565,อ้อยโรงงาน,เสิงสาง,ต้นทุนการผลิตอ้อยโรงงาน,บาท
5600.0,สำนักงานเกษตรจังหวัดนครราชสีมา,60,2565,อ้อยโรงงาน,แก้งสนามนาง,ต้นทุนการผลิตอ้อยโรงงาน,บาท
-,สำนักงานเกษตรจังหวัดนครราชสีมา,61,2565,อ้อยโรงงาน,โชคชัย,ต้นทุนการผลิตอ้อยโรงงาน,บาท
-,สำนักงานเกษตรจังหวัดนครราชสีมา,62,2565,อ้อยโรงงาน,โนนสูง,ต้นทุนการผลิตอ้อยโรงงาน,บาท
-,สำนักงานเกษตรจังหวัดนครราชสีมา,63,2565,อ้อยโรงงาน,โนนแดง,ต้นทุนการผลิตอ้อยโรงงาน,บาท
-,สำนักงานเกษตรจังหวัดนครราชสีมา,64,2565,อ้อยโรงงาน,โนนไทย,ต้นทุนการผลิตอ้อยโรงงาน,บาท
