จำนวน,ที่มา,_id,ปี,ไตรมาส,จังหวัด,หน่วย
2.74,สำนักงานสถิติจังหวัดนราธิวาส,20,2568,4/2568,นราธิวาส,ร้อยละ
3.76,สำนักงานสถิติจังหวัดนราธิวาส,21,2564,1/2564,ปัตตานี,ร้อยละ
3.14,สำนักงานสถิติจังหวัดนราธิวาส,22,2564,2/2564,ปัตตานี,ร้อยละ
5.47,สำนักงานสถิติจังหวัดนราธิวาส,23,2564,3/2564,ปัตตานี,ร้อยละ
2.74,สำนักงานสถิติจังหวัดนราธิวาส,24,2564,4/2564,ปัตตานี,ร้อยละ
3.38,สำนักงานสถิติจังหวัดนราธิวาส,25,2565,1/2565,ปัตตานี,ร้อยละ
2.0,สำนักงานสถิติจังหวัดนราธิวาส,26,2565,2/2565,ปัตตานี,ร้อยละ
2.35,สำนักงานสถิติจังหวัดนราธิวาส,27,2565,3/2565,ปัตตานี,ร้อยละ
1.44,สำนักงานสถิติจังหวัดนราธิวาส,28,2565,4/2565,ปัตตานี,ร้อยละ
2.52,สำนักงานสถิติจังหวัดนราธิวาส,29,2566,1/2566,ปัตตานี,ร้อยละ
1.92,สำนักงานสถิติจังหวัดนราธิวาส,30,2566,2/2566,ปัตตานี,ร้อยละ
1.68,สำนักงานสถิติจังหวัดนราธิวาส,31,2566,3/2566,ปัตตานี,ร้อยละ
0.84,สำนักงานสถิติจังหวัดนราธิวาส,32,2566,4/2566,ปัตตานี,ร้อยละ
1.7,สำนักงานสถิติจังหวัดนราธิวาส,33,2567,1/2567,ปัตตานี,ร้อยละ
1.93,สำนักงานสถิติจังหวัดนราธิวาส,34,2567,2/2567,ปัตตานี,ร้อยละ
1.4,สำนักงานสถิติจังหวัดนราธิวาส,35,2567,3/2567,ปัตตานี,ร้อยละ
3.34,สำนักงานสถิติจังหวัดนราธิวาส,36,2567,4/2567,ปัตตานี,ร้อยละ
4.11,สำนักงานสถิติจังหวัดนราธิวาส,37,2568,1/2568,ปัตตานี,ร้อยละ
2.4,สำนักงานสถิติจังหวัดนราธิวาส,38,2568,2/2568,ปัตตานี,ร้อยละ
1.93,สำนักงานสถิติจังหวัดนราธิวาส,39,2568,3/2568,ปัตตานี,ร้อยละ
0.39,สำนักงานสถิติจังหวัดนราธิวาส,40,2568,4/2568,ปัตตานี,ร้อยละ
1.88,สำนักงานสถิติจังหวัดนราธิวาส,41,2564,1/2564,ยะลา,ร้อยละ
1.77,สำนักงานสถิติจังหวัดนราธิวาส,42,2564,2/2564,ยะลา,ร้อยละ
1.5,สำนักงานสถิติจังหวัดนราธิวาส,43,2564,3/2564,ยะลา,ร้อยละ
0.82,สำนักงานสถิติจังหวัดนราธิวาส,44,2564,4/2564,ยะลา,ร้อยละ
2.06,สำนักงานสถิติจังหวัดนราธิวาส,45,2565,1/2565,ยะลา,ร้อยละ
1.73,สำนักงานสถิติจังหวัดนราธิวาส,46,2565,2/2565,ยะลา,ร้อยละ
1.14,สำนักงานสถิติจังหวัดนราธิวาส,47,2565,3/2565,ยะลา,ร้อยละ
1.25,สำนักงานสถิติจังหวัดนราธิวาส,48,2565,4/2565,ยะลา,ร้อยละ
0.83,สำนักงานสถิติจังหวัดนราธิวาส,49,2566,1/2566,ยะลา,ร้อยละ
1.2,สำนักงานสถิติจังหวัดนราธิวาส,50,2566,2/2566,ยะลา,ร้อยละ
0.88,สำนักงานสถิติจังหวัดนราธิวาส,51,2566,3/2566,ยะลา,ร้อยละ
0.68,สำนักงานสถิติจังหวัดนราธิวาส,52,2566,4/2566,ยะลา,ร้อยละ
0.41,สำนักงานสถิติจังหวัดนราธิวาส,53,2567,1/2567,ยะลา,ร้อยละ
0.75,สำนักงานสถิติจังหวัดนราธิวาส,54,2567,2/2567,ยะลา,ร้อยละ
0.43,สำนักงานสถิติจังหวัดนราธิวาส,55,2567,3/2567,ยะลา,ร้อยละ
0.69,สำนักงานสถิติจังหวัดนราธิวาส,56,2567,4/2567,ยะลา,ร้อยละ
1.04,สำนักงานสถิติจังหวัดนราธิวาส,57,2568,1/2568,ยะลา,ร้อยละ
0.75,สำนักงานสถิติจังหวัดนราธิวาส,58,2568,2/2568,ยะลา,ร้อยละ
1.08,สำนักงานสถิติจังหวัดนราธิวาส,59,2568,3/2568,ยะลา,ร้อยละ
1.01,สำนักงานสถิติจังหวัดนราธิวาส,60,2568,4/2568,ยะลา,ร้อยละ
