สาขา,จำนวน,กิจกรรมทางเศรษฐกิจ,_id,ปี พ.ศ.,เพศ,ไตรมาส,หน่วย
กิจการอสังหาริมทรัพย์,554,ภาคเกษตรกรรม,24,2566,หญิง,1,คน
กิจกรรมทางวิชาชีพ วิทยาศาสตร์ และเทคนิค,309,นอกภาคเกษตรกรรม,25,2566,ชาย,1,คน
กิจกรรมทางวิชาชีพ วิทยาศาสตร์ และเทคนิค,99,นอกภาคเกษตรกรรม,26,2566,หญิง,1,คน
กิจกรรมการบริหารและการบริการสนับสนุน,236,นอกภาคเกษตรกรรม,27,2566,ชาย,1,คน
กิจกรรมการบริหารและการบริการสนับสนุน,404,นอกภาคเกษตรกรรม,28,2566,หญิง,1,คน
การบริหารราชการ การป้องกันประเทศ และการประกันสังคม,"5,853",นอกภาคเกษตรกรรม,29,2566,ชาย,1,คน
การบริหารราชการ การป้องกันประเทศ และการประกันสังคม,"4,231",นอกภาคเกษตรกรรม,30,2566,หญิง,1,คน
การศึกษา,"2,870",นอกภาคเกษตรกรรม,31,2566,ชาย,1,คน
การศึกษา,"3,803",นอกภาคเกษตรกรรม,32,2566,หญิง,1,คน
กิจกรรมด้านสุขภาพ และงานสังคมสงเคราะห์,"1,196",นอกภาคเกษตรกรรม,33,2566,ชาย,1,คน
กิจกรรมด้านสุขภาพ และงานสังคมสงเคราะห์,"3,229",นอกภาคเกษตรกรรม,34,2566,หญิง,1,คน
ศิลปะ ความบันเทิง และนันทนาการ,226,นอกภาคเกษตรกรรม,35,2566,ชาย,1,คน
ศิลปะ ความบันเทิง และนันทนาการ,124,นอกภาคเกษตรกรรม,36,2566,หญิง,1,คน
กิจกรรมบริการด้านอื่น ๆ,949,นอกภาคเกษตรกรรม,37,2566,ชาย,1,คน
กิจกรรมบริการด้านอื่น ๆ,"1,253",นอกภาคเกษตรกรรม,38,2566,หญิง,1,คน
กิจกรรมการจ้างงานในครัวเรือนส่วนบุคคล การผลิตสินค้าและบริการที่ทำขึ้นเองเพื่อใช้ในครัวเรือน,-,นอกภาคเกษตรกรรม,39,2566,ชาย,1,คน
กิจกรรมการจ้างงานในครัวเรือนส่วนบุคคล การผลิตสินค้าและบริการที่ทำขึ้นเองเพื่อใช้ในครัวเรือน,200,นอกภาคเกษตรกรรม,40,2566,หญิง,1,คน
กิจกรรมขององค์การระหว่างประเทศและภาคีสมาชิก,-,นอกภาคเกษตรกรรม,41,2566,ชาย,1,คน
กิจกรรมขององค์การระหว่างประเทศและภาคีสมาชิก,-,นอกภาคเกษตรกรรม,42,2566,หญิง,1,คน
ไม่ทราบ,-,นอกภาคเกษตรกรรม,43,2566,ชาย,1,คน
ไม่ทราบ,-,นอกภาคเกษตรกรรม,44,2566,หญิง,1,คน
เกษตรกรรม การป่าไม้ และการประมง,"59,976",ภาคเกษตรกรรม,45,2566,ชาย,2,คน
เกษตรกรรม การป่าไม้ และการประมง,"32,793",นอกภาคเกษตรกรรม,46,2566,หญิง,2,คน
การทำเหมืองแร่และเหมืองหิน,379,นอกภาคเกษตรกรรม,47,2566,ชาย,2,คน
การทำเหมืองแร่และเหมืองหิน,-,นอกภาคเกษตรกรรม,48,2566,หญิง,2,คน
การผลิต,"20,128",นอกภาคเกษตรกรรม,49,2566,ชาย,2,คน
การผลิต,"36,430",นอกภาคเกษตรกรรม,50,2566,หญิง,2,คน
ไฟฟ้า ก๊าซ ไอน้ำ และระบบปรับอากาศ ,544,นอกภาคเกษตรกรรม,51,2566,ชาย,2,คน
ไฟฟ้า ก๊าซ ไอน้ำ และระบบปรับอากาศ ,-,นอกภาคเกษตรกรรม,52,2566,หญิง,2,คน
การจัดหาน้ำ การจัดการ และการบำบัดน้ำเสียของเสียและสิ่งปฏิกูล,-,นอกภาคเกษตรกรรม,53,2566,ชาย,2,คน
การจัดหาน้ำ การจัดการ และการบำบัดน้ำเสียของเสียและสิ่งปฏิกูล,-,นอกภาคเกษตรกรรม,54,2566,หญิง,2,คน
การก่อสร้าง,"11,481",นอกภาคเกษตรกรรม,55,2566,ชาย,2,คน
การก่อสร้าง,807,นอกภาคเกษตรกรรม,56,2566,หญิง,2,คน
การขายส่ง และการขายปลีก การซ่อมแซมยานยนต์และจักรยานยนต์,"9,677",นอกภาคเกษตรกรรม,57,2566,ชาย,2,คน
การขายส่ง และการขายปลีก การซ่อมแซมยานยนต์และจักรยานยนต์,"16,862",นอกภาคเกษตรกรรม,58,2566,หญิง,2,คน
การขนส่ง และสถานที่เก็บสินค้า,"4,667",นอกภาคเกษตรกรรม,59,2566,ชาย,2,คน
การขนส่ง และสถานที่เก็บสินค้า,"1,488",นอกภาคเกษตรกรรม,60,2566,หญิง,2,คน
ที่พักแรม และบริการด้านอาหาร,"4,143",นอกภาคเกษตรกรรม,61,2566,ชาย,2,คน
ที่พักแรม และบริการด้านอาหาร,"6,728",นอกภาคเกษตรกรรม,62,2566,หญิง,2,คน
ข้อมูลข่าวสารและการสื่อสาร,167,นอกภาคเกษตรกรรม,63,2566,ชาย,2,คน
ข้อมูลข่าวสารและการสื่อสาร,203,นอกภาคเกษตรกรรม,64,2566,หญิง,2,คน
กิจการทางการเงินและการประกันภัย,"1,867",นอกภาคเกษตรกรรม,65,2566,ชาย,2,คน
กิจการทางการเงินและการประกันภัย,961,ภาคเกษตรกรรม,66,2566,หญิง,2,คน
กิจการอสังหาริมทรัพย์,309,นอกภาคเกษตรกรรม,67,2566,ชาย,2,คน
กิจการอสังหาริมทรัพย์,315,นอกภาคเกษตรกรรม,68,2566,หญิง,2,คน
กิจกรรมทางวิชาชีพ วิทยาศาสตร์ และเทคนิค,410,นอกภาคเกษตรกรรม,69,2566,ชาย,2,คน
กิจกรรมทางวิชาชีพ วิทยาศาสตร์ และเทคนิค,-,นอกภาคเกษตรกรรม,70,2566,หญิง,2,คน
กิจกรรมการบริหารและการบริการสนับสนุน,935,นอกภาคเกษตรกรรม,71,2566,ชาย,2,คน
กิจกรรมการบริหารและการบริการสนับสนุน,408,นอกภาคเกษตรกรรม,72,2566,หญิง,2,คน
การบริหารราชการ การป้องกันประเทศ และการประกันสังคม,"5,987",นอกภาคเกษตรกรรม,73,2566,ชาย,2,คน
การบริหารราชการ การป้องกันประเทศ และการประกันสังคม,"2,587",นอกภาคเกษตรกรรม,74,2566,หญิง,2,คน
การศึกษา,"1,830",นอกภาคเกษตรกรรม,75,2566,ชาย,2,คน
การศึกษา,"3,093",นอกภาคเกษตรกรรม,76,2566,หญิง,2,คน
กิจกรรมด้านสุขภาพ และงานสังคมสงเคราะห์,419,นอกภาคเกษตรกรรม,77,2566,ชาย,2,คน
กิจกรรมด้านสุขภาพ และงานสังคมสงเคราะห์,"3,536",นอกภาคเกษตรกรรม,78,2566,หญิง,2,คน
ศิลปะ ความบันเทิง และนันทนาการ,441,นอกภาคเกษตรกรรม,79,2566,ชาย,2,คน
ศิลปะ ความบันเทิง และนันทนาการ,726,นอกภาคเกษตรกรรม,80,2566,หญิง,2,คน
กิจกรรมบริการด้านอื่น ๆ,420,นอกภาคเกษตรกรรม,81,2566,ชาย,2,คน
กิจกรรมบริการด้านอื่น ๆ,"1,345",นอกภาคเกษตรกรรม,82,2566,หญิง,2,คน
กิจกรรมการจ้างงานในครัวเรือนส่วนบุคคล การผลิตสินค้าและบริการที่ทำขึ้นเองเพื่อใช้ในครัวเรือน,-,นอกภาคเกษตรกรรม,83,2566,ชาย,2,คน
กิจกรรมการจ้างงานในครัวเรือนส่วนบุคคล การผลิตสินค้าและบริการที่ทำขึ้นเองเพื่อใช้ในครัวเรือน,96,นอกภาคเกษตรกรรม,84,2566,หญิง,2,คน
กิจกรรมขององค์การระหว่างประเทศและภาคีสมาชิก,-,นอกภาคเกษตรกรรม,85,2566,ชาย,2,คน
กิจกรรมขององค์การระหว่างประเทศและภาคีสมาชิก,-,นอกภาคเกษตรกรรม,86,2566,หญิง,2,คน
ไม่ทราบ,-,นอกภาคเกษตรกรรม,87,2566,ชาย,2,คน
ไม่ทราบ,-,นอกภาคเกษตรกรรม,88,2566,หญิง,2,คน
เกษตรกรรม การป่าไม้ และการประมง,"60,985",ภาคเกษตรกรรม,89,2566,ชาย,3,คน
เกษตรกรรม การป่าไม้ และการประมง,"33,071",นอกภาคเกษตรกรรม,90,2566,หญิง,3,คน
การทำเหมืองแร่และเหมืองหิน,-,นอกภาคเกษตรกรรม,91,2566,ชาย,3,คน
การทำเหมืองแร่และเหมืองหิน,-,นอกภาคเกษตรกรรม,92,2566,หญิง,3,คน
การผลิต,"21,191",นอกภาคเกษตรกรรม,93,2566,ชาย,3,คน
การผลิต,"38,253",นอกภาคเกษตรกรรม,94,2566,หญิง,3,คน
ไฟฟ้า ก๊าซ ไอน้ำ และระบบปรับอากาศ ,541,นอกภาคเกษตรกรรม,95,2566,ชาย,3,คน
ไฟฟ้า ก๊าซ ไอน้ำ และระบบปรับอากาศ ,-,นอกภาคเกษตรกรรม,96,2566,หญิง,3,คน
การจัดหาน้ำ การจัดการ และการบำบัดน้ำเสียของเสียและสิ่งปฏิกูล,422,นอกภาคเกษตรกรรม,97,2566,ชาย,3,คน
การจัดหาน้ำ การจัดการ และการบำบัดน้ำเสียของเสียและสิ่งปฏิกูล,146,นอกภาคเกษตรกรรม,98,2566,หญิง,3,คน
การก่อสร้าง,"8,254",นอกภาคเกษตรกรรม,99,2566,ชาย,3,คน
การก่อสร้าง,"1,227",นอกภาคเกษตรกรรม,100,2566,หญิง,3,คน
การขายส่ง และการขายปลีก การซ่อมแซมยานยนต์และจักรยานยนต์,"11,044",นอกภาคเกษตรกรรม,101,2566,ชาย,3,คน
การขายส่ง และการขายปลีก การซ่อมแซมยานยนต์และจักรยานยนต์,"17,209",นอกภาคเกษตรกรรม,102,2566,หญิง,3,คน
การขนส่ง และสถานที่เก็บสินค้า,"3,058",นอกภาคเกษตรกรรม,103,2566,ชาย,3,คน
การขนส่ง และสถานที่เก็บสินค้า,684,นอกภาคเกษตรกรรม,104,2566,หญิง,3,คน
ที่พักแรม และบริการด้านอาหาร,"2,933",นอกภาคเกษตรกรรม,105,2566,ชาย,3,คน
ที่พักแรม และบริการด้านอาหาร,"7,562",นอกภาคเกษตรกรรม,106,2566,หญิง,3,คน
ข้อมูลข่าวสารและการสื่อสาร,169,นอกภาคเกษตรกรรม,107,2566,ชาย,3,คน
ข้อมูลข่าวสารและการสื่อสาร,-,ภาคเกษตรกรรม,108,2566,หญิง,3,คน
กิจการทางการเงินและการประกันภัย,773,นอกภาคเกษตรกรรม,109,2566,ชาย,3,คน
กิจการทางการเงินและการประกันภัย,998,นอกภาคเกษตรกรรม,110,2566,หญิง,3,คน
กิจการอสังหาริมทรัพย์,223,นอกภาคเกษตรกรรม,111,2566,ชาย,3,คน
กิจการอสังหาริมทรัพย์,-,นอกภาคเกษตรกรรม,112,2566,หญิง,3,คน
กิจกรรมทางวิชาชีพ วิทยาศาสตร์ และเทคนิค,-,นอกภาคเกษตรกรรม,113,2566,ชาย,3,คน
กิจกรรมทางวิชาชีพ วิทยาศาสตร์ และเทคนิค,174,นอกภาคเกษตรกรรม,114,2566,หญิง,3,คน
กิจกรรมการบริหารและการบริการสนับสนุน,"1,465",นอกภาคเกษตรกรรม,115,2566,ชาย,3,คน
กิจกรรมการบริหารและการบริการสนับสนุน,662,นอกภาคเกษตรกรรม,116,2566,หญิง,3,คน
การบริหารราชการ การป้องกันประเทศ และการประกันสังคม,"4,630",นอกภาคเกษตรกรรม,117,2566,ชาย,3,คน
การบริหารราชการ การป้องกันประเทศ และการประกันสังคม,"3,553",นอกภาคเกษตรกรรม,118,2566,หญิง,3,คน
การศึกษา,940,นอกภาคเกษตรกรรม,119,2566,ชาย,3,คน
การศึกษา,"2,949",นอกภาคเกษตรกรรม,120,2566,หญิง,3,คน
กิจกรรมด้านสุขภาพ และงานสังคมสงเคราะห์,513,นอกภาคเกษตรกรรม,121,2566,ชาย,3,คน
กิจกรรมด้านสุขภาพ และงานสังคมสงเคราะห์,"3,154",นอกภาคเกษตรกรรม,122,2566,หญิง,3,คน
ศิลปะ ความบันเทิง และนันทนาการ,538,นอกภาคเกษตรกรรม,123,2566,ชาย,3,คน
ศิลปะ ความบันเทิง และนันทนาการ,"1,017",นอกภาคเกษตรกรรม,124,2566,หญิง,3,คน
กิจกรรมบริการด้านอื่น ๆ,"1,052",นอกภาคเกษตรกรรม,125,2566,ชาย,3,คน
กิจกรรมบริการด้านอื่น ๆ,"2,515",นอกภาคเกษตรกรรม,126,2566,หญิง,3,คน
กิจกรรมการจ้างงานในครัวเรือนส่วนบุคคล การผลิตสินค้าและบริการที่ทำขึ้นเองเพื่อใช้ในครัวเรือน,-,นอกภาคเกษตรกรรม,127,2566,ชาย,3,คน
กิจกรรมการจ้างงานในครัวเรือนส่วนบุคคล การผลิตสินค้าและบริการที่ทำขึ้นเองเพื่อใช้ในครัวเรือน,107,นอกภาคเกษตรกรรม,128,2566,หญิง,3,คน
กิจกรรมขององค์การระหว่างประเทศและภาคีสมาชิก,-,ภาคเกษตรกรรม,129,2566,ชาย,3,คน
กิจกรรมขององค์การระหว่างประเทศและภาคีสมาชิก,-,นอกภาคเกษตรกรรม,130,2566,หญิง,3,คน
ไม่ทราบ,-,นอกภาคเกษตรกรรม,131,2566,ชาย,3,คน
ไม่ทราบ,-,นอกภาคเกษตรกรรม,132,2566,หญิง,3,คน
เกษตรกรรม การป่าไม้ และการประมง,"57,085",ภาคเกษตรกรรม,133,2566,ชาย,4,คน
เกษตรกรรม การป่าไม้ และการประมง,"36,127",นอกภาคเกษตรกรรม,134,2566,หญิง,4,คน
การทำเหมืองแร่และเหมืองหิน,296,นอกภาคเกษตรกรรม,135,2566,ชาย,4,คน
การทำเหมืองแร่และเหมืองหิน,-,นอกภาคเกษตรกรรม,136,2566,หญิง,4,คน
การผลิต,"20,802",นอกภาคเกษตรกรรม,137,2566,ชาย,4,คน
การผลิต,"32,333",นอกภาคเกษตรกรรม,138,2566,หญิง,4,คน
ไฟฟ้า ก๊าซ ไอน้ำ และระบบปรับอากาศ ,305,นอกภาคเกษตรกรรม,139,2566,ชาย,4,คน
ไฟฟ้า ก๊าซ ไอน้ำ และระบบปรับอากาศ ,-,นอกภาคเกษตรกรรม,140,2566,หญิง,4,คน
การจัดหาน้ำ การจัดการ และการบำบัดน้ำเสียของเสียและสิ่งปฏิกูล,424,นอกภาคเกษตรกรรม,141,2566,ชาย,4,คน
การจัดหาน้ำ การจัดการ และการบำบัดน้ำเสียของเสียและสิ่งปฏิกูล,156,นอกภาคเกษตรกรรม,142,2566,หญิง,4,คน
การก่อสร้าง,"7,532",นอกภาคเกษตรกรรม,143,2566,ชาย,4,คน
การก่อสร้าง,789,นอกภาคเกษตรกรรม,144,2566,หญิง,4,คน
การขายส่ง และการขายปลีก การซ่อมแซมยานยนต์และจักรยานยนต์,"12,509",นอกภาคเกษตรกรรม,145,2566,ชาย,4,คน
การขายส่ง และการขายปลีก การซ่อมแซมยานยนต์และจักรยานยนต์,"17,525",นอกภาคเกษตรกรรม,146,2566,หญิง,4,คน
การขนส่ง และสถานที่เก็บสินค้า,"1,999",นอกภาคเกษตรกรรม,147,2566,ชาย,4,คน
การขนส่ง และสถานที่เก็บสินค้า,464,นอกภาคเกษตรกรรม,148,2566,หญิง,4,คน
ที่พักแรม และบริการด้านอาหาร,"2,416",นอกภาคเกษตรกรรม,149,2566,ชาย,4,คน
ที่พักแรม และบริการด้านอาหาร,"7,214",ภาคเกษตรกรรม,150,2566,หญิง,4,คน
ข้อมูลข่าวสารและการสื่อสาร,182,นอกภาคเกษตรกรรม,151,2566,ชาย,4,คน
ข้อมูลข่าวสารและการสื่อสาร,134,นอกภาคเกษตรกรรม,152,2566,หญิง,4,คน
กิจการทางการเงินและการประกันภัย,480,นอกภาคเกษตรกรรม,153,2566,ชาย,4,คน
กิจการทางการเงินและการประกันภัย,"1,174",นอกภาคเกษตรกรรม,154,2566,หญิง,4,คน
กิจการอสังหาริมทรัพย์,710,นอกภาคเกษตรกรรม,155,2566,ชาย,4,คน
กิจการอสังหาริมทรัพย์,355,นอกภาคเกษตรกรรม,156,2566,หญิง,4,คน
กิจกรรมทางวิชาชีพ วิทยาศาสตร์ และเทคนิค,203,นอกภาคเกษตรกรรม,157,2566,ชาย,4,คน
กิจกรรมทางวิชาชีพ วิทยาศาสตร์ และเทคนิค,950,นอกภาคเกษตรกรรม,158,2566,หญิง,4,คน
กิจกรรมการบริหารและการบริการสนับสนุน,"1,082",นอกภาคเกษตรกรรม,159,2566,ชาย,4,คน
กิจกรรมการบริหารและการบริการสนับสนุน,"1,426",นอกภาคเกษตรกรรม,160,2566,หญิง,4,คน
การบริหารราชการ การป้องกันประเทศ และการประกันสังคม,"7,421",นอกภาคเกษตรกรรม,161,2566,ชาย,4,คน
การบริหารราชการ การป้องกันประเทศ และการประกันสังคม,"5,417",นอกภาคเกษตรกรรม,162,2566,หญิง,4,คน
การศึกษา,"2,167",นอกภาคเกษตรกรรม,163,2566,ชาย,4,คน
การศึกษา,"3,094",นอกภาคเกษตรกรรม,164,2566,หญิง,4,คน
กิจกรรมด้านสุขภาพ และงานสังคมสงเคราะห์,"1,196",นอกภาคเกษตรกรรม,165,2566,ชาย,4,คน
กิจกรรมด้านสุขภาพ และงานสังคมสงเคราะห์,"5,192",นอกภาคเกษตรกรรม,166,2566,หญิง,4,คน
ศิลปะ ความบันเทิง และนันทนาการ,-,นอกภาคเกษตรกรรม,167,2566,ชาย,4,คน
ศิลปะ ความบันเทิง และนันทนาการ,303,นอกภาคเกษตรกรรม,168,2566,หญิง,4,คน
กิจกรรมบริการด้านอื่น ๆ,"1,348",นอกภาคเกษตรกรรม,169,2566,ชาย,4,คน
กิจกรรมบริการด้านอื่น ๆ,622,นอกภาคเกษตรกรรม,170,2566,หญิง,4,คน
กิจกรรมการจ้างงานในครัวเรือนส่วนบุคคล การผลิตสินค้าและบริการที่ทำขึ้นเองเพื่อใช้ในครัวเรือน,191,นอกภาคเกษตรกรรม,171,2566,ชาย,4,คน
กิจกรรมการจ้างงานในครัวเรือนส่วนบุคคล การผลิตสินค้าและบริการที่ทำขึ้นเองเพื่อใช้ในครัวเรือน,312,นอกภาคเกษตรกรรม,172,2566,หญิง,4,คน
กิจกรรมขององค์การระหว่างประเทศและภาคีสมาชิก,-,นอกภาคเกษตรกรรม,173,2566,ชาย,4,คน
กิจกรรมขององค์การระหว่างประเทศและภาคีสมาชิก,-,นอกภาคเกษตรกรรม,174,2566,หญิง,4,คน
ไม่ทราบ,-,นอกภาคเกษตรกรรม,175,2566,ชาย,4,คน
ไม่ทราบ,-,นอกภาคเกษตรกรรม,176,2566,หญิง,4,คน
เกษตรกรรม การป่าไม้ และการประมง,"50,884",ภาคเกษตรกรรม,177,2567,ชาย,1,คน
เกษตรกรรม การป่าไม้ และการประมง,"30,882",นอกภาคเกษตรกรรม,178,2567,หญิง,1,คน
การทำเหมืองแร่และเหมืองหิน,89,นอกภาคเกษตรกรรม,179,2567,ชาย,1,คน
การทำเหมืองแร่และเหมืองหิน,-,นอกภาคเกษตรกรรม,180,2567,หญิง,1,คน
การผลิต,"20,228",นอกภาคเกษตรกรรม,181,2567,ชาย,1,คน
การผลิต,"35,836",นอกภาคเกษตรกรรม,182,2567,หญิง,1,คน
ไฟฟ้า ก๊าซ ไอน้ำ และระบบปรับอากาศ ,116,นอกภาคเกษตรกรรม,183,2567,ชาย,1,คน
ไฟฟ้า ก๊าซ ไอน้ำ และระบบปรับอากาศ ,-,นอกภาคเกษตรกรรม,184,2567,หญิง,1,คน
การจัดหาน้ำ การจัดการ และการบำบัดน้ำเสียของเสียและสิ่งปฏิกูล,-,นอกภาคเกษตรกรรม,185,2567,ชาย,1,คน
การจัดหาน้ำ การจัดการ และการบำบัดน้ำเสียของเสียและสิ่งปฏิกูล,-,นอกภาคเกษตรกรรม,186,2567,หญิง,1,คน
การก่อสร้าง,"11,849",นอกภาคเกษตรกรรม,187,2567,ชาย,1,คน
การก่อสร้าง,167,นอกภาคเกษตรกรรม,188,2567,หญิง,1,คน
การขายส่ง และการขายปลีก การซ่อมแซมยานยนต์และจักรยานยนต์,"13,337",นอกภาคเกษตรกรรม,189,2567,ชาย,1,คน
การขายส่ง และการขายปลีก การซ่อมแซมยานยนต์และจักรยานยนต์,"17,114",นอกภาคเกษตรกรรม,190,2567,หญิง,1,คน
การขนส่ง และสถานที่เก็บสินค้า,"4,344",นอกภาคเกษตรกรรม,191,2567,ชาย,1,คน
การขนส่ง และสถานที่เก็บสินค้า,935,ภาคเกษตรกรรม,192,2567,หญิง,1,คน
ที่พักแรม และบริการด้านอาหาร,"4,407",นอกภาคเกษตรกรรม,193,2567,ชาย,1,คน
ที่พักแรม และบริการด้านอาหาร,"9,081",นอกภาคเกษตรกรรม,194,2567,หญิง,1,คน
ข้อมูลข่าวสารและการสื่อสาร,210,นอกภาคเกษตรกรรม,195,2567,ชาย,1,คน
ข้อมูลข่าวสารและการสื่อสาร,154,นอกภาคเกษตรกรรม,196,2567,หญิง,1,คน
กิจการทางการเงินและการประกันภัย,"2,017",นอกภาคเกษตรกรรม,197,2567,ชาย,1,คน
กิจการทางการเงินและการประกันภัย,"1,080",นอกภาคเกษตรกรรม,198,2567,หญิง,1,คน
กิจการอสังหาริมทรัพย์,478,นอกภาคเกษตรกรรม,199,2567,ชาย,1,คน
กิจการอสังหาริมทรัพย์,787,นอกภาคเกษตรกรรม,200,2567,หญิง,1,คน
กิจกรรมทางวิชาชีพ วิทยาศาสตร์ และเทคนิค,485,นอกภาคเกษตรกรรม,201,2567,ชาย,1,คน
กิจกรรมทางวิชาชีพ วิทยาศาสตร์ และเทคนิค,272,นอกภาคเกษตรกรรม,202,2567,หญิง,1,คน
กิจกรรมการบริหารและการบริการสนับสนุน,402,นอกภาคเกษตรกรรม,203,2567,ชาย,1,คน
กิจกรรมการบริหารและการบริการสนับสนุน,"1,470",นอกภาคเกษตรกรรม,204,2567,หญิง,1,คน
การบริหารราชการ การป้องกันประเทศ และการประกันสังคม,"7,874",นอกภาคเกษตรกรรม,205,2567,ชาย,1,คน
การบริหารราชการ การป้องกันประเทศ และการประกันสังคม,"4,618",นอกภาคเกษตรกรรม,206,2567,หญิง,1,คน
การศึกษา,949,นอกภาคเกษตรกรรม,207,2567,ชาย,1,คน
การศึกษา,"5,751",นอกภาคเกษตรกรรม,208,2567,หญิง,1,คน
กิจกรรมด้านสุขภาพ และงานสังคมสงเคราะห์,"1,809",นอกภาคเกษตรกรรม,209,2567,ชาย,1,คน
กิจกรรมด้านสุขภาพ และงานสังคมสงเคราะห์,"5,682",นอกภาคเกษตรกรรม,210,2567,หญิง,1,คน
ศิลปะ ความบันเทิง และนันทนาการ,362,นอกภาคเกษตรกรรม,211,2567,ชาย,1,คน
ศิลปะ ความบันเทิง และนันทนาการ,-,นอกภาคเกษตรกรรม,212,2567,หญิง,1,คน
กิจกรรมบริการด้านอื่น ๆ,606,นอกภาคเกษตรกรรม,213,2567,ชาย,1,คน
กิจกรรมบริการด้านอื่น ๆ,478,นอกภาคเกษตรกรรม,214,2567,หญิง,1,คน
กิจกรรมการจ้างงานในครัวเรือนส่วนบุคคล การผลิตสินค้าและบริการที่ทำขึ้นเองเพื่อใช้ในครัวเรือน,-,นอกภาคเกษตรกรรม,215,2567,ชาย,1,คน
กิจกรรมการจ้างงานในครัวเรือนส่วนบุคคล การผลิตสินค้าและบริการที่ทำขึ้นเองเพื่อใช้ในครัวเรือน,944,นอกภาคเกษตรกรรม,216,2567,หญิง,1,คน
กิจกรรมขององค์การระหว่างประเทศและภาคีสมาชิก,-,นอกภาคเกษตรกรรม,217,2567,ชาย,1,คน
กิจกรรมขององค์การระหว่างประเทศและภาคีสมาชิก,-,นอกภาคเกษตรกรรม,218,2567,หญิง,1,คน
ไม่ทราบ,-,นอกภาคเกษตรกรรม,219,2567,ชาย,1,คน
ไม่ทราบ,-,นอกภาคเกษตรกรรม,220,2567,หญิง,1,คน
