จำนวน,ที่มา,หน่วย1,_id,ปี,ร้อยละ,เพศ,อุตสาหกรรม,หน่วย2
2990,สำนักงานสถิติจังหวัดอุทัยธานี,คน,77,2564,4.4,หญิง,กิจกรรมด้านสุขภาพและงานสังคมสงเคราะห์,เปอร์เซ็นต์
125,สำนักงานสถิติจังหวัดอุทัยธานี,คน,78,2564,0.2,หญิง,ศิลปะ ความบันเทิง และนันทนาการ,เปอร์เซ็นต์
1134,สำนักงานสถิติจังหวัดอุทัยธานี,คน,79,2564,1.7,หญิง,กิจกรรมการบริการด้านอื่น ๆ,เปอร์เซ็นต์
611,สำนักงานสถิติจังหวัดอุทัยธานี,คน,80,2564,0.9,หญิง,ลูกจ้างครัวเรือนส่วนบุคคล,เปอร์เซ็นต์
43935,สำนักงานสถิติจังหวัดอุทัยธานี,คน,81,2563,54.3,ชาย,"เกษตรกรรม,การป่าไม้ และการประมง",เปอร์เซ็นต์
30,สำนักงานสถิติจังหวัดอุทัยธานี,คน,82,2563,0,ชาย,การทำเหมืองแร่และเหมืองหิน,เปอร์เซ็นต์
4969,สำนักงานสถิติจังหวัดอุทัยธานี,คน,83,2563,6.1,ชาย,การผลิตอุตสาหกรรม,เปอร์เซ็นต์
610,สำนักงานสถิติจังหวัดอุทัยธานี,คน,84,2563,0.8,ชาย,ไฟฟ้า ก๊าซ และระบบปรับอากาศ,เปอร์เซ็นต์
289,สำนักงานสถิติจังหวัดอุทัยธานี,คน,85,2563,0.4,ชาย,การประปาและการจัดการของเสีย,เปอร์เซ็นต์
7334,สำนักงานสถิติจังหวัดอุทัยธานี,คน,86,2563,9.1,ชาย,การก่อสร้าง,เปอร์เซ็นต์
9095,สำนักงานสถิติจังหวัดอุทัยธานี,คน,87,2563,11.2,ชาย,การขายส่ง การขายปลีก การซ่อมแซ่มยานยนต์ และจักรยานยนต์,เปอร์เซ็นต์
1154,สำนักงานสถิติจังหวัดอุทัยธานี,คน,88,2563,1.4,ชาย,การขนส่ง และสถานที่เก็บสินค้า,เปอร์เซ็นต์
2531,สำนักงานสถิติจังหวัดอุทัยธานี,คน,89,2563,3.1,ชาย,ที่พักแรมและบริการด้านอาหาร,เปอร์เซ็นต์
72,สำนักงานสถิติจังหวัดอุทัยธานี,คน,90,2563,0.1,ชาย,ข้อมูลข่าวสารและการสื่อสาร,เปอร์เซ็นต์
420,สำนักงานสถิติจังหวัดอุทัยธานี,คน,91,2563,0.5,ชาย,การเงินและการประกันภัย,เปอร์เซ็นต์
