ที่มา,_id,ปี,ค่า,อำเภอ,รายการ,จังหวัด,หน่วย
สำนักงานอุตสาหกรรมจังหวัดกาฬสินธุ์,27,2562,94.6,สหัสขันธ์,จำนวนเงินทุนสถานประกอบการอุตสาหกรรม,กาฬสินธุ์,ล้านบาท
สำนักงานอุตสาหกรรมจังหวัดกาฬสินธุ์,28,2562,93.6,คำม่วง,จำนวนเงินทุนสถานประกอบการอุตสาหกรรม,กาฬสินธุ์,ล้านบาท
สำนักงานอุตสาหกรรมจังหวัดกาฬสินธุ์,29,2562,432.1,ท่าคันโท,จำนวนเงินทุนสถานประกอบการอุตสาหกรรม,กาฬสินธุ์,ล้านบาท
สำนักงานอุตสาหกรรมจังหวัดกาฬสินธุ์,30,2562,87.2,หนองกุงศรี,จำนวนเงินทุนสถานประกอบการอุตสาหกรรม,กาฬสินธุ์,ล้านบาท
สำนักงานอุตสาหกรรมจังหวัดกาฬสินธุ์,31,2562,467.1,สมเด็จ,จำนวนเงินทุนสถานประกอบการอุตสาหกรรม,กาฬสินธุ์,ล้านบาท
สำนักงานอุตสาหกรรมจังหวัดกาฬสินธุ์,32,2562,796.7,ห้วยผึ้ง,จำนวนเงินทุนสถานประกอบการอุตสาหกรรม,กาฬสินธุ์,ล้านบาท
สำนักงานอุตสาหกรรมจังหวัดกาฬสินธุ์,33,2562,971.5,สามชัย,จำนวนเงินทุนสถานประกอบการอุตสาหกรรม,กาฬสินธุ์,ล้านบาท
สำนักงานอุตสาหกรรมจังหวัดกาฬสินธุ์,34,2562,15.1,นาคู,จำนวนเงินทุนสถานประกอบการอุตสาหกรรม,กาฬสินธุ์,ล้านบาท
สำนักงานอุตสาหกรรมจังหวัดกาฬสินธุ์,35,2562,33.0,ดอนจาน,จำนวนเงินทุนสถานประกอบการอุตสาหกรรม,กาฬสินธุ์,ล้านบาท
สำนักงานอุตสาหกรรมจังหวัดกาฬสินธุ์,36,2562,114.9,ฆ้องชัย,จำนวนเงินทุนสถานประกอบการอุตสาหกรรม,กาฬสินธุ์,ล้านบาท
สำนักงานอุตสาหกรรมจังหวัดกาฬสินธุ์,37,2563,4229.1,เมืองกาฬสินธุ์,จำนวนเงินทุนสถานประกอบการอุตสาหกรรม,กาฬสินธุ์,ล้านบาท
สำนักงานอุตสาหกรรมจังหวัดกาฬสินธุ์,38,2563,31.2,นามน,จำนวนเงินทุนสถานประกอบการอุตสาหกรรม,กาฬสินธุ์,ล้านบาท
สำนักงานอุตสาหกรรมจังหวัดกาฬสินธุ์,39,2563,861.7,กมลาไสย,จำนวนเงินทุนสถานประกอบการอุตสาหกรรม,กาฬสินธุ์,ล้านบาท
สำนักงานอุตสาหกรรมจังหวัดกาฬสินธุ์,40,2563,25.2,ร่องคำ,จำนวนเงินทุนสถานประกอบการอุตสาหกรรม,กาฬสินธุ์,ล้านบาท
สำนักงานอุตสาหกรรมจังหวัดกาฬสินธุ์,41,2563,10082.4,กุฉินารายณ์,จำนวนเงินทุนสถานประกอบการอุตสาหกรรม,กาฬสินธุ์,ล้านบาท
สำนักงานอุตสาหกรรมจังหวัดกาฬสินธุ์,42,2563,35.7,เขาวง,จำนวนเงินทุนสถานประกอบการอุตสาหกรรม,กาฬสินธุ์,ล้านบาท
สำนักงานอุตสาหกรรมจังหวัดกาฬสินธุ์,43,2563,1331.3,ยางตลาด,จำนวนเงินทุนสถานประกอบการอุตสาหกรรม,กาฬสินธุ์,ล้านบาท
สำนักงานอุตสาหกรรมจังหวัดกาฬสินธุ์,44,2563,103.8,ห้วยเม็ก,จำนวนเงินทุนสถานประกอบการอุตสาหกรรม,กาฬสินธุ์,ล้านบาท
สำนักงานอุตสาหกรรมจังหวัดกาฬสินธุ์,45,2563,266.4,สหัสขันธ์,จำนวนเงินทุนสถานประกอบการอุตสาหกรรม,กาฬสินธุ์,ล้านบาท
สำนักงานอุตสาหกรรมจังหวัดกาฬสินธุ์,46,2563,92.5,คำม่วง,จำนวนเงินทุนสถานประกอบการอุตสาหกรรม,กาฬสินธุ์,ล้านบาท
สำนักงานอุตสาหกรรมจังหวัดกาฬสินธุ์,47,2563,432.1,ท่าคันโท,จำนวนเงินทุนสถานประกอบการอุตสาหกรรม,กาฬสินธุ์,ล้านบาท
สำนักงานอุตสาหกรรมจังหวัดกาฬสินธุ์,48,2563,87.2,หนองกุงศรี,จำนวนเงินทุนสถานประกอบการอุตสาหกรรม,กาฬสินธุ์,ล้านบาท
สำนักงานอุตสาหกรรมจังหวัดกาฬสินธุ์,49,2563,478.5,สมเด็จ,จำนวนเงินทุนสถานประกอบการอุตสาหกรรม,กาฬสินธุ์,ล้านบาท
สำนักงานอุตสาหกรรมจังหวัดกาฬสินธุ์,50,2563,832.8,ห้วยผึ้ง,จำนวนเงินทุนสถานประกอบการอุตสาหกรรม,กาฬสินธุ์,ล้านบาท
สำนักงานอุตสาหกรรมจังหวัดกาฬสินธุ์,51,2563,971.5,สามชัย,จำนวนเงินทุนสถานประกอบการอุตสาหกรรม,กาฬสินธุ์,ล้านบาท
สำนักงานอุตสาหกรรมจังหวัดกาฬสินธุ์,52,2563,15.1,นาคู,จำนวนเงินทุนสถานประกอบการอุตสาหกรรม,กาฬสินธุ์,ล้านบาท
สำนักงานอุตสาหกรรมจังหวัดกาฬสินธุ์,53,2563,57.6,ดอนจาน,จำนวนเงินทุนสถานประกอบการอุตสาหกรรม,กาฬสินธุ์,ล้านบาท
สำนักงานอุตสาหกรรมจังหวัดกาฬสินธุ์,54,2563,161.8,ฆ้องชัย,จำนวนเงินทุนสถานประกอบการอุตสาหกรรม,กาฬสินธุ์,ล้านบาท
สำนักงานอุตสาหกรรมจังหวัดกาฬสินธุ์,55,2564,4351.0,เมืองกาฬสินธุ์,จำนวนเงินทุนสถานประกอบการอุตสาหกรรม,กาฬสินธุ์,ล้านบาท
สำนักงานอุตสาหกรรมจังหวัดกาฬสินธุ์,56,2564,39.0,นามน,จำนวนเงินทุนสถานประกอบการอุตสาหกรรม,กาฬสินธุ์,ล้านบาท
สำนักงานอุตสาหกรรมจังหวัดกาฬสินธุ์,57,2564,938.0,กมลาไสย,จำนวนเงินทุนสถานประกอบการอุตสาหกรรม,กาฬสินธุ์,ล้านบาท
สำนักงานอุตสาหกรรมจังหวัดกาฬสินธุ์,58,2564,25.0,ร่องคำ,จำนวนเงินทุนสถานประกอบการอุตสาหกรรม,กาฬสินธุ์,ล้านบาท
สำนักงานอุตสาหกรรมจังหวัดกาฬสินธุ์,59,2564,10355.0,กุฉินารายณ์,จำนวนเงินทุนสถานประกอบการอุตสาหกรรม,กาฬสินธุ์,ล้านบาท
สำนักงานอุตสาหกรรมจังหวัดกาฬสินธุ์,60,2564,36.0,เขาวง,จำนวนเงินทุนสถานประกอบการอุตสาหกรรม,กาฬสินธุ์,ล้านบาท
สำนักงานอุตสาหกรรมจังหวัดกาฬสินธุ์,61,2564,1407.0,ยางตลาด,จำนวนเงินทุนสถานประกอบการอุตสาหกรรม,กาฬสินธุ์,ล้านบาท
สำนักงานอุตสาหกรรมจังหวัดกาฬสินธุ์,62,2564,131.0,ห้วยเม็ก,จำนวนเงินทุนสถานประกอบการอุตสาหกรรม,กาฬสินธุ์,ล้านบาท
สำนักงานอุตสาหกรรมจังหวัดกาฬสินธุ์,63,2564,286.0,สหัสขันธ์,จำนวนเงินทุนสถานประกอบการอุตสาหกรรม,กาฬสินธุ์,ล้านบาท
สำนักงานอุตสาหกรรมจังหวัดกาฬสินธุ์,64,2564,93.0,คำม่วง,จำนวนเงินทุนสถานประกอบการอุตสาหกรรม,กาฬสินธุ์,ล้านบาท
สำนักงานอุตสาหกรรมจังหวัดกาฬสินธุ์,65,2564,439.0,ท่าคันโท,จำนวนเงินทุนสถานประกอบการอุตสาหกรรม,กาฬสินธุ์,ล้านบาท
สำนักงานอุตสาหกรรมจังหวัดกาฬสินธุ์,66,2564,88.0,หนองกุงศรี,จำนวนเงินทุนสถานประกอบการอุตสาหกรรม,กาฬสินธุ์,ล้านบาท
สำนักงานอุตสาหกรรมจังหวัดกาฬสินธุ์,67,2564,499.0,สมเด็จ,จำนวนเงินทุนสถานประกอบการอุตสาหกรรม,กาฬสินธุ์,ล้านบาท
สำนักงานอุตสาหกรรมจังหวัดกาฬสินธุ์,68,2564,874.0,ห้วยผึ้ง,จำนวนเงินทุนสถานประกอบการอุตสาหกรรม,กาฬสินธุ์,ล้านบาท
สำนักงานอุตสาหกรรมจังหวัดกาฬสินธุ์,69,2564,970.0,สามชัย,จำนวนเงินทุนสถานประกอบการอุตสาหกรรม,กาฬสินธุ์,ล้านบาท
สำนักงานอุตสาหกรรมจังหวัดกาฬสินธุ์,70,2564,15.0,นาคู,จำนวนเงินทุนสถานประกอบการอุตสาหกรรม,กาฬสินธุ์,ล้านบาท
สำนักงานอุตสาหกรรมจังหวัดกาฬสินธุ์,71,2564,58.0,ดอนจาน,จำนวนเงินทุนสถานประกอบการอุตสาหกรรม,กาฬสินธุ์,ล้านบาท
สำนักงานอุตสาหกรรมจังหวัดกาฬสินธุ์,72,2564,163.0,ฆ้องชัย,จำนวนเงินทุนสถานประกอบการอุตสาหกรรม,กาฬสินธุ์,ล้านบาท
สำนักงานอุตสาหกรรมจังหวัดกาฬสินธุ์,73,2565,6056.0,เมืองกาฬสินธุ์,จำนวนเงินทุนสถานประกอบการอุตสาหกรรม,กาฬสินธุ์,ล้านบาท
สำนักงานอุตสาหกรรมจังหวัดกาฬสินธุ์,74,2565,33.0,นามน,จำนวนเงินทุนสถานประกอบการอุตสาหกรรม,กาฬสินธุ์,ล้านบาท
สำนักงานอุตสาหกรรมจังหวัดกาฬสินธุ์,75,2565,981.0,กมลาไสย,จำนวนเงินทุนสถานประกอบการอุตสาหกรรม,กาฬสินธุ์,ล้านบาท
สำนักงานอุตสาหกรรมจังหวัดกาฬสินธุ์,76,2565,25.0,ร่องคำ,จำนวนเงินทุนสถานประกอบการอุตสาหกรรม,กาฬสินธุ์,ล้านบาท
สำนักงานอุตสาหกรรมจังหวัดกาฬสินธุ์,77,2565,10524.0,กุฉินารายณ์,จำนวนเงินทุนสถานประกอบการอุตสาหกรรม,กาฬสินธุ์,ล้านบาท
สำนักงานอุตสาหกรรมจังหวัดกาฬสินธุ์,78,2565,38.0,เขาวง,จำนวนเงินทุนสถานประกอบการอุตสาหกรรม,กาฬสินธุ์,ล้านบาท
สำนักงานอุตสาหกรรมจังหวัดกาฬสินธุ์,79,2565,1460.0,ยางตลาด,จำนวนเงินทุนสถานประกอบการอุตสาหกรรม,กาฬสินธุ์,ล้านบาท
สำนักงานอุตสาหกรรมจังหวัดกาฬสินธุ์,80,2565,131.0,ห้วยเม็ก,จำนวนเงินทุนสถานประกอบการอุตสาหกรรม,กาฬสินธุ์,ล้านบาท
สำนักงานอุตสาหกรรมจังหวัดกาฬสินธุ์,81,2565,299.0,สหัสขันธ์,จำนวนเงินทุนสถานประกอบการอุตสาหกรรม,กาฬสินธุ์,ล้านบาท
สำนักงานอุตสาหกรรมจังหวัดกาฬสินธุ์,82,2565,132.0,คำม่วง,จำนวนเงินทุนสถานประกอบการอุตสาหกรรม,กาฬสินธุ์,ล้านบาท
สำนักงานอุตสาหกรรมจังหวัดกาฬสินธุ์,83,2565,439.0,ท่าคันโท,จำนวนเงินทุนสถานประกอบการอุตสาหกรรม,กาฬสินธุ์,ล้านบาท
สำนักงานอุตสาหกรรมจังหวัดกาฬสินธุ์,84,2565,408.0,หนองกุงศรี,จำนวนเงินทุนสถานประกอบการอุตสาหกรรม,กาฬสินธุ์,ล้านบาท
สำนักงานอุตสาหกรรมจังหวัดกาฬสินธุ์,85,2565,559.0,สมเด็จ,จำนวนเงินทุนสถานประกอบการอุตสาหกรรม,กาฬสินธุ์,ล้านบาท
สำนักงานอุตสาหกรรมจังหวัดกาฬสินธุ์,86,2565,874.0,ห้วยผึ้ง,จำนวนเงินทุนสถานประกอบการอุตสาหกรรม,กาฬสินธุ์,ล้านบาท
สำนักงานอุตสาหกรรมจังหวัดกาฬสินธุ์,87,2565,976.0,สามชัย,จำนวนเงินทุนสถานประกอบการอุตสาหกรรม,กาฬสินธุ์,ล้านบาท
สำนักงานอุตสาหกรรมจังหวัดกาฬสินธุ์,88,2565,15.1,นาคู,จำนวนเงินทุนสถานประกอบการอุตสาหกรรม,กาฬสินธุ์,ล้านบาท
สำนักงานอุตสาหกรรมจังหวัดกาฬสินธุ์,89,2565,69.0,ดอนจาน,จำนวนเงินทุนสถานประกอบการอุตสาหกรรม,กาฬสินธุ์,ล้านบาท
สำนักงานอุตสาหกรรมจังหวัดกาฬสินธุ์,90,2565,163.0,ฆ้องชัย,จำนวนเงินทุนสถานประกอบการอุตสาหกรรม,กาฬสินธุ์,ล้านบาท
สำนักงานอุตสาหกรรมจังหวัดกาฬสินธุ์,91,2566,6056.74,เมืองกาฬสินธุ์,จำนวนเงินทุนสถานประกอบการอุตสาหกรรม,กาฬสินธุ์,ล้านบาท
สำนักงานอุตสาหกรรมจังหวัดกาฬสินธุ์,92,2566,32.61,นามน,จำนวนเงินทุนสถานประกอบการอุตสาหกรรม,กาฬสินธุ์,ล้านบาท
สำนักงานอุตสาหกรรมจังหวัดกาฬสินธุ์,93,2566,1065.45,กมลาไสย,จำนวนเงินทุนสถานประกอบการอุตสาหกรรม,กาฬสินธุ์,ล้านบาท
สำนักงานอุตสาหกรรมจังหวัดกาฬสินธุ์,94,2566,25.17,ร่องคำ,จำนวนเงินทุนสถานประกอบการอุตสาหกรรม,กาฬสินธุ์,ล้านบาท
สำนักงานอุตสาหกรรมจังหวัดกาฬสินธุ์,95,2566,10514.16,กุฉินารายณ์,จำนวนเงินทุนสถานประกอบการอุตสาหกรรม,กาฬสินธุ์,ล้านบาท
สำนักงานอุตสาหกรรมจังหวัดกาฬสินธุ์,96,2566,37.5,เขาวง,จำนวนเงินทุนสถานประกอบการอุตสาหกรรม,กาฬสินธุ์,ล้านบาท
สำนักงานอุตสาหกรรมจังหวัดกาฬสินธุ์,97,2566,1573.85,ยางตลาด,จำนวนเงินทุนสถานประกอบการอุตสาหกรรม,กาฬสินธุ์,ล้านบาท
สำนักงานอุตสาหกรรมจังหวัดกาฬสินธุ์,98,2566,588.05,ห้วยเม็ก,จำนวนเงินทุนสถานประกอบการอุตสาหกรรม,กาฬสินธุ์,ล้านบาท
สำนักงานอุตสาหกรรมจังหวัดกาฬสินธุ์,99,2566,299.4,สหัสขันธ์,จำนวนเงินทุนสถานประกอบการอุตสาหกรรม,กาฬสินธุ์,ล้านบาท
สำนักงานอุตสาหกรรมจังหวัดกาฬสินธุ์,100,2566,138.54,คำม่วง,จำนวนเงินทุนสถานประกอบการอุตสาหกรรม,กาฬสินธุ์,ล้านบาท
สำนักงานอุตสาหกรรมจังหวัดกาฬสินธุ์,101,2566,465.6,ท่าคันโท,จำนวนเงินทุนสถานประกอบการอุตสาหกรรม,กาฬสินธุ์,ล้านบาท
สำนักงานอุตสาหกรรมจังหวัดกาฬสินธุ์,102,2566,407.55,หนองกุงศรี,จำนวนเงินทุนสถานประกอบการอุตสาหกรรม,กาฬสินธุ์,ล้านบาท
สำนักงานอุตสาหกรรมจังหวัดกาฬสินธุ์,103,2566,661.15,สมเด็จ,จำนวนเงินทุนสถานประกอบการอุตสาหกรรม,กาฬสินธุ์,ล้านบาท
สำนักงานอุตสาหกรรมจังหวัดกาฬสินธุ์,104,2566,873.77,ห้วยผึ้ง,จำนวนเงินทุนสถานประกอบการอุตสาหกรรม,กาฬสินธุ์,ล้านบาท
สำนักงานอุตสาหกรรมจังหวัดกาฬสินธุ์,105,2566,975.57,สามชัย,จำนวนเงินทุนสถานประกอบการอุตสาหกรรม,กาฬสินธุ์,ล้านบาท
สำนักงานอุตสาหกรรมจังหวัดกาฬสินธุ์,106,2566,15.1,นาคู,จำนวนเงินทุนสถานประกอบการอุตสาหกรรม,กาฬสินธุ์,ล้านบาท
สำนักงานอุตสาหกรรมจังหวัดกาฬสินธุ์,107,2566,69.08,ดอนจาน,จำนวนเงินทุนสถานประกอบการอุตสาหกรรม,กาฬสินธุ์,ล้านบาท
สำนักงานอุตสาหกรรมจังหวัดกาฬสินธุ์,108,2566,162.65,ฆ้องชัย,จำนวนเงินทุนสถานประกอบการอุตสาหกรรม,กาฬสินธุ์,ล้านบาท
