ประเภท,_id,ปี,ผู้สูงวัยในระบบ,จังหวัด
ผู้สูงอายุที่เป็นผู้ประกันตนในระบบประกันสังคมในมาตรา 40,116,2565,141,ประจวบคีรีขันธ์
จำนวนผู้สูงอายุที่เป็นผู้ประกันตนในระบบประกันสังคม,117,2565,153,ประจวบคีรีขันธ์
ผู้สูงอายุที่เป็นผู้ประกันตนในระบบประกันสังคมมาตรา 33,118,2565,11,ปราจีนบุรี
ผู้สูงอายุที่เป็นผู้ประกันตนในระบบประกันสังคมมาตรา 39,119,2565,14,ปราจีนบุรี
ผู้สูงอายุที่เป็นผู้ประกันตนในระบบประกันสังคมในมาตรา 40,120,2565,116,ปราจีนบุรี
จำนวนผู้สูงอายุที่เป็นผู้ประกันตนในระบบประกันสังคม,121,2565,141,ปราจีนบุรี
ผู้สูงอายุที่เป็นผู้ประกันตนในระบบประกันสังคมมาตรา 33,122,2565,6,ปัตตานี
ผู้สูงอายุที่เป็นผู้ประกันตนในระบบประกันสังคมมาตรา 39,123,2565,3,ปัตตานี
ผู้สูงอายุที่เป็นผู้ประกันตนในระบบประกันสังคมในมาตรา 40,124,2565,116,ปัตตานี
จำนวนผู้สูงอายุที่เป็นผู้ประกันตนในระบบประกันสังคม,125,2565,125,ปัตตานี
ผู้สูงอายุที่เป็นผู้ประกันตนในระบบประกันสังคมมาตรา 39,126,2565,77,พระนครศรีอยุธยา
ผู้สูงอายุที่เป็นผู้ประกันตนในระบบประกันสังคมในมาตรา 40,127,2565,201,พระนครศรีอยุธยา
จำนวนผู้สูงอายุที่เป็นผู้ประกันตนในระบบประกันสังคม,128,2565,278,พระนครศรีอยุธยา
ผู้สูงอายุที่เป็นผู้ประกันตนในระบบประกันสังคมมาตรา 33,129,2565,3,พะเยา
ผู้สูงอายุที่เป็นผู้ประกันตนในระบบประกันสังคมมาตรา 39,130,2565,6,พะเยา
ผู้สูงอายุที่เป็นผู้ประกันตนในระบบประกันสังคมในมาตรา 40,131,2565,1463,พะเยา
จำนวนผู้สูงอายุที่เป็นผู้ประกันตนในระบบประกันสังคม,132,2565,1472,พะเยา
ผู้สูงอายุที่เป็นผู้ประกันตนในระบบประกันสังคมมาตรา 33,133,2565,3,พังงา
ผู้สูงอายุที่เป็นผู้ประกันตนในระบบประกันสังคมมาตรา 39,134,2565,3,พังงา
ผู้สูงอายุที่เป็นผู้ประกันตนในระบบประกันสังคมในมาตรา 40,135,2565,247,พังงา
จำนวนผู้สูงอายุที่เป็นผู้ประกันตนในระบบประกันสังคม,136,2565,253,พังงา
ผู้สูงอายุที่เป็นผู้ประกันตนในระบบประกันสังคมมาตรา 33,137,2565,1,พัทลุง
ผู้สูงอายุที่เป็นผู้ประกันตนในระบบประกันสังคมมาตรา 39,138,2565,1,พัทลุง
ผู้สูงอายุที่เป็นผู้ประกันตนในระบบประกันสังคมในมาตรา 40,139,2565,325,พัทลุง
จำนวนผู้สูงอายุที่เป็นผู้ประกันตนในระบบประกันสังคม,140,2565,327,พัทลุง
ผู้สูงอายุที่เป็นผู้ประกันตนในระบบประกันสังคมมาตรา 33,141,2565,2,พิจิตร
ผู้สูงอายุที่เป็นผู้ประกันตนในระบบประกันสังคมมาตรา 39,142,2565,10,พิจิตร
ผู้สูงอายุที่เป็นผู้ประกันตนในระบบประกันสังคมในมาตรา 40,143,2565,259,พิจิตร
จำนวนผู้สูงอายุที่เป็นผู้ประกันตนในระบบประกันสังคม,144,2565,271,พิจิตร
ผู้สูงอายุที่เป็นผู้ประกันตนในระบบประกันสังคมมาตรา 33,145,2565,7,พิษณุโลก
ผู้สูงอายุที่เป็นผู้ประกันตนในระบบประกันสังคมมาตรา 39,146,2565,16,พิษณุโลก
ผู้สูงอายุที่เป็นผู้ประกันตนในระบบประกันสังคมในมาตรา 40,147,2565,453,พิษณุโลก
จำนวนผู้สูงอายุที่เป็นผู้ประกันตนในระบบประกันสังคม,148,2565,476,พิษณุโลก
ผู้สูงอายุที่เป็นผู้ประกันตนในระบบประกันสังคมมาตรา 33,149,2565,6,เพชรบุรี
ผู้สูงอายุที่เป็นผู้ประกันตนในระบบประกันสังคมมาตรา 39,150,2565,12,เพชรบุรี
ผู้สูงอายุที่เป็นผู้ประกันตนในระบบประกันสังคมในมาตรา 40,151,2565,136,เพชรบุรี
จำนวนผู้สูงอายุที่เป็นผู้ประกันตนในระบบประกันสังคม,152,2565,154,เพชรบุรี
ผู้สูงอายุที่เป็นผู้ประกันตนในระบบประกันสังคมมาตรา 33,153,2565,10,เพชรบูรณ์
ผู้สูงอายุที่เป็นผู้ประกันตนในระบบประกันสังคมมาตรา 39,154,2565,12,เพชรบูรณ์
ผู้สูงอายุที่เป็นผู้ประกันตนในระบบประกันสังคมในมาตรา 40,155,2565,252,เพชรบูรณ์
จำนวนผู้สูงอายุที่เป็นผู้ประกันตนในระบบประกันสังคม,156,2565,274,เพชรบูรณ์
ผู้สูงอายุที่เป็นผู้ประกันตนในระบบประกันสังคมมาตรา 33,157,2565,4,แพร่
ผู้สูงอายุที่เป็นผู้ประกันตนในระบบประกันสังคมมาตรา 39,158,2565,8,แพร่
ผู้สูงอายุที่เป็นผู้ประกันตนในระบบประกันสังคมในมาตรา 40,159,2565,364,แพร่
จำนวนผู้สูงอายุที่เป็นผู้ประกันตนในระบบประกันสังคม,160,2565,376,แพร่
ผู้สูงอายุที่เป็นผู้ประกันตนในระบบประกันสังคมมาตรา 33,161,2565,28,ภูเก็ต
ผู้สูงอายุที่เป็นผู้ประกันตนในระบบประกันสังคมมาตรา 39,162,2565,40,ภูเก็ต
ผู้สูงอายุที่เป็นผู้ประกันตนในระบบประกันสังคมในมาตรา 40,163,2565,217,ภูเก็ต
จำนวนผู้สูงอายุที่เป็นผู้ประกันตนในระบบประกันสังคม,164,2565,285,ภูเก็ต
ผู้สูงอายุที่เป็นผู้ประกันตนในระบบประกันสังคมมาตรา 33,165,2565,2,มหาสารคาม
ผู้สูงอายุที่เป็นผู้ประกันตนในระบบประกันสังคมมาตรา 39,166,2565,7,มหาสารคาม
ผู้สูงอายุที่เป็นผู้ประกันตนในระบบประกันสังคมในมาตรา 40,167,2565,210,มหาสารคาม
จำนวนผู้สูงอายุที่เป็นผู้ประกันตนในระบบประกันสังคม,168,2565,219,มหาสารคาม
ผู้สูงอายุที่เป็นผู้ประกันตนในระบบประกันสังคมมาตรา 33,169,2565,5,มุกดาหาร
ผู้สูงอายุที่เป็นผู้ประกันตนในระบบประกันสังคมมาตรา 39,170,2565,2,มุกดาหาร
ผู้สูงอายุที่เป็นผู้ประกันตนในระบบประกันสังคมในมาตรา 40,171,2565,234,มุกดาหาร
จำนวนผู้สูงอายุที่เป็นผู้ประกันตนในระบบประกันสังคม,172,2565,241,มุกดาหาร
ผู้สูงอายุที่เป็นผู้ประกันตนในระบบประกันสังคมมาตรา 33,173,2565,0,แม่ฮ่องสอน
ผู้สูงอายุที่เป็นผู้ประกันตนในระบบประกันสังคมมาตรา 39,174,2565,4,แม่ฮ่องสอน
ผู้สูงอายุที่เป็นผู้ประกันตนในระบบประกันสังคมในมาตรา 40,175,2565,167,แม่ฮ่องสอน
จำนวนผู้สูงอายุที่เป็นผู้ประกันตนในระบบประกันสังคม,176,2565,171,แม่ฮ่องสอน
ผู้สูงอายุที่เป็นผู้ประกันตนในระบบประกันสังคมมาตรา 33,177,2565,0,ยโสธร
ผู้สูงอายุที่เป็นผู้ประกันตนในระบบประกันสังคมมาตรา 39,178,2565,3,ยโสธร
ผู้สูงอายุที่เป็นผู้ประกันตนในระบบประกันสังคมในมาตรา 40,179,2565,353,ยโสธร
จำนวนผู้สูงอายุที่เป็นผู้ประกันตนในระบบประกันสังคม,180,2565,356,ยโสธร
ผู้สูงอายุที่เป็นผู้ประกันตนในระบบประกันสังคมมาตรา 33,181,2565,2,ยะลา
ผู้สูงอายุที่เป็นผู้ประกันตนในระบบประกันสังคมมาตรา 39,182,2565,3,ยะลา
ผู้สูงอายุที่เป็นผู้ประกันตนในระบบประกันสังคมในมาตรา 40,183,2565,93,ยะลา
จำนวนผู้สูงอายุที่เป็นผู้ประกันตนในระบบประกันสังคม,184,2565,98,ยะลา
ผู้สูงอายุที่เป็นผู้ประกันตนในระบบประกันสังคมมาตรา 33,185,2565,6,ร้อยเอ็ด
ผู้สูงอายุที่เป็นผู้ประกันตนในระบบประกันสังคมมาตรา 39,186,2565,13,ร้อยเอ็ด
ผู้สูงอายุที่เป็นผู้ประกันตนในระบบประกันสังคมในมาตรา 40,187,2565,248,ร้อยเอ็ด
จำนวนผู้สูงอายุที่เป็นผู้ประกันตนในระบบประกันสังคม,188,2565,267,ร้อยเอ็ด
ผู้สูงอายุที่เป็นผู้ประกันตนในระบบประกันสังคมมาตรา 33,189,2565,1,ระนอง
ผู้สูงอายุที่เป็นผู้ประกันตนในระบบประกันสังคมมาตรา 39,190,2565,1,ระนอง
ผู้สูงอายุที่เป็นผู้ประกันตนในระบบประกันสังคมในมาตรา 40,191,2565,170,ระนอง
จำนวนผู้สูงอายุที่เป็นผู้ประกันตนในระบบประกันสังคม,192,2565,172,ระนอง
ผู้สูงอายุที่เป็นผู้ประกันตนในระบบประกันสังคมมาตรา 33,193,2565,58,ระยอง
ผู้สูงอายุที่เป็นผู้ประกันตนในระบบประกันสังคมมาตรา 39,194,2565,72,ระยอง
