ประกอบกิจการ,รหัสจังหวัด,อำเภอ,TSIC,รหัสประเภท,ถนน,ซอย,คนงานรวม,หญิง,ชาย,จังหวัด,หมู่,ประเภท,ปี,เลขทะเบียนโรงงาน,แรงม้ารวม,ระดับ,ตำบล,_id,รหัสทะเบียนโรงงาน FID,ชื่อโรงงาน,ชื่อเจ้าของ,จำพวก,ปีที่ได้รับอนุญาต,รหัสไปรษณีย์,พื้นที่โรงงาน(ตร.ม.)
"ตัดเย็บเสื้อผ้าสำเร็จรูป , กระเป๋า",63,แม่สอด,14111,2801,,,140,70,70,ตาก,7,28(1),2566,จ3-28(1)-20/55ตก,49.5,ต่ำ,แม่ปะ,726,20630000000000,บริษัท ดีมาก (แม่สอด) จำกัด,บริษัท ดีมาก (แม่สอด) จำกัด,3,55,63110,"7,284.00"
ตัดเย็บเสื้อผ้าสำเร็จรูป,63,แม่สอด,14111,2801,,,260,130,130,ตาก,8,28(1),2566,จ3-28(1)-28/54ตก,90.5,ต่ำ,แม่กุ,727,20630000000000,บริษัท ลีลิน แอ็พพาเรล จำกัด,บริษัท ลีลิน แอ็พพาเรล จำกัด,3,54,63110,"4,800.00"
ตัดเย็บเสื้อผ้าสำเร็จรูป,63,แม่สอด,14111,2801,-,-,110,63,47,ตาก,10,28(1),2566,จ3-28(1)-14/61ตก,88,ต่ำ,แม่ปะ,728,20630000000000,บริษัท ไทยซัน หัตถกรรม จำกัด,บริษัท ไทยซัน หัตถกรรม จำกัด,3,61,63110,"10,000.00"
ตัดเย็บเสื้อผ้าสำเร็จรูป,63,แม่สอด,14111,2801,แม่สอด-แม่ตาว,,150,130,20,ตาก,,28(1),2566,จ3-28(1)-43/47ตก,30.05,ต่ำ,แม่สอด,729,20630000000000,ห้างหุ้นส่วนจำกัด ไพรม์ บอส,ห้างหุ้นส่วนจำกัด ไพรม์ บอส,3,47,63110,490
ตัดเย็บเสื้อผ้าสำเร็จรูป,63,แม่สอด,14111,2801,แม่สอด-แม่ระมาด,,275,220,55,ตาก,3,28(1),2566,จ3-28(1)-12/58ตก,418.6,ต่ำ,แม่กาษา,730,20630000000000,บริษัท รอซโซ่ จำกัด,บริษัท รอซโซ่ จำกัด,3,58,63110,"42,086.00"
ตัดเย็บเสื้อผ้าสำเร็จรูป,63,แม่สอด,14111,2801,,,80,48,32,ตาก,3,28(1),2566,จ3-28(1)-26/61ตก,48.75,ต่ำ,พระธาตุผาแดง,731,20630000000000,บริษัท เทอ เทียม การ์เม้นท์ แอนด์ เทรดดิ้ง จำกัด,บริษัท เทอ เทียม การ์เม้นท์ แอนด์ เทรดดิ้ง จำกัด,3,61,63110,672
ตัดเย็บเสื้อผ้าสำเร็จรูป,63,แม่สอด,14111,2801,,,251,150,101,ตาก,7,28(1),2566,จ3-28(1)-2/60ตก,60.84,ต่ำ,แม่กุ,732,20630000000000,บริษัท วี เค การ์เม้นท์ จำกัด,บริษัท วี เค การ์เม้นท์ จำกัด,3,60,63110,"2,000.00"
ตัดเย็บเสื้อผ้าสำเร็จรูป,63,แม่สอด,14111,2801,,,53,43,10,ตาก,3,28(1),2566,อ2-28(1)-66/64ตก,16.5,ต่ำ,แม่ตาว,733,60630200000000,ห้างหุ้นส่วนจำกัด เจ.ที.สปอร์ต แอพพาเรล,ห้างหุ้นส่วนจำกัด เจ.ที.สปอร์ต แอพพาเรล,2,64,63110,"1,600.00"
ตัดเย็บเสื้อผ้า,63,แม่สอด,14111,2801,แม่สอด-แม่ดาว,,470,345,125,ตาก,2,28(1),2566,จ3-28(1)-1/39ตก,266.73,ต่ำ,แม่ตาว,734,20630000000000,บริษัท นอร์ทสตาร์แมนูแฟคเจอริ่ง จำกัด,บริษัท นอร์ทสตาร์แมนูแฟคเจอริ่ง จำกัด,3,39,63110,"8,000.00"
ตัดเย็บเสื้อผ้าสำเร็จรูป,63,แม่สอด,14111,2801,แม่สอด-แม่ตาว ,,80,75,5,ตาก,,28(1),2566,จ3-28(1)-10/51ตก,27.94,ต่ำ,แม่สอด,735,20630000000000,,นายสุกิตต์ ดนัยนารีกุล,3,51,63110,
ตัดเย็บเสื้อผ้าสำเร็จรูป,63,แม่สอด,14111,2801,,,296,274,22,ตาก,3,28(1),2566,จ3-28(1)-15/51ตก,147.31,ต่ำ,พระธาตุผาแดง,736,20630000000000,บริษัท ไทย ฟู การ์เมนท์ จำกัด,บริษัท ไทย ฟู การ์เมนท์ จำกัด,3,51,63110,"3,825.00"
ตัดเย็บเสื้อผ้าสำเร็จรูป,63,แม่สอด,14111,2801,,,220,180,40,ตาก,10,28(1),2566,จ3-28(1)-32/48ตก,75.5,ต่ำ,แม่ปะ,737,20630000000000,เอฟ.ซี.การ์เม้นท์,เอฟ.ซี.การ์เม้นท์,3,48,63110,"13,600.00"
ตัดเย็บเสื้อผ้าสำเร็จรูป,63,แม่สอด,14111,2801,สายแม่สอด-แม่ตาว,สาธารณประโยชน์,272,230,42,ตาก,2,28(1),2566,จ3-28(1)-71/48ตก,109,ต่ำ,แม่ตาว,738,20630000000000,บริษัท วินนิ่ง เทค แมนูแฟคเจอร์ริ่ง จำกัด,บริษัท วินนิ่ง เทค แมนูแฟคเจอร์ริ่ง จำกัด,3,48,63110,"1,600.00"
ตัดเย็บเสื้อสำเร็จรูป,63,แม่สอด,14111,2801,,,450,350,100,ตาก,2,28(1),2566,จ3-28(1)-1/43ตก,304.24,ต่ำ,พระธาตุผาแดง,739,20630300000000,บริษัท เฟรนด์ชิพ แฟชั่น จำกัด,บริษัท เฟรนด์ชิพ แฟชั่น จำกัด,3,43,63110,"4,800.00"
ตัดเย็บเสื้อผ้าสำเร็จรูป,63,แม่สอด,14111,2801,,,750,650,100,ตาก,4,28(1),2566,จ3-28(1)-2/42ตก,172.3,ต่ำ,แม่ปะ,740,20630000000000,บริษัท ยูนิโอเชี่ยน โคออเปอเรชั่น จำกัด,บริษัท ยูนิโอเชี่ยน โคออเปอเรชั่น จำกัด,3,42,63110,"15,000.00"
ตัดเย็บเสื้อผ้าสำเร็จรูป,63,แม่สอด,14111,2801,สมัครสรรพการ,,90,75,15,ตาก,,28(1),2566,จ3-28(1)-2/46ตก,47.5,ต่ำ,ท่าสายลวด,741,20630200000000,ห้างหุ้นส่วนจำกัด เอที.ถิระการ์เม้นท์,ห้างหุ้นส่วนจำกัด เอที.ถิระการ์เม้นท์,3,46,63110, -   
ตัดเย็บเสื้อผ้าสำเร็จรูป,63,แม่สอด,14111,2801,,,100,80,20,ตาก,2,28(1),2566,จ3-28(1)-9/51ตก,33.88,ต่ำ,พระธาตุผาแดง,742,20630000000000,ซี แอล เค แอพพาเรล,ซี แอล เค แอพพาเรล,3,51,63110,"3,000.00"
ตัดเย็บเสื้อผ้าสำเร็จรูป,63,แม่สอด,14111,2801,,,280,250,30,ตาก,2,28(1),2566,จ3-28(1)-12/54ตก,94.47,ต่ำ,แม่กุ,743,20630000000000,บริษัท ท็อป ฟอร์ม บราเซีย (แม่สอด) จำกัด,บริษัท ท็อป ฟอร์ม บราเซีย (แม่สอด) จำกัด,3,54,63110,"2,049.00"
ตัดเย็บเสื้อผ้าสำเร็จรูป,63,แม่สอด,14111,2801,บัวคูณ,,300,260,40,ตาก,,28(1),2566,จ3-28(1)-26/50ตก,114.9,ต่ำ,แม่สอด,744,20630100000000,บริษัท เอส ดี แฟชั่น จำกัด,บริษัท เอส ดี แฟชั่น จำกัด,3,50,63110,"2,500.00"
ตัดเย็บเสื้อผ้าสำเร็จรูป,63,แม่สอด,14120,2801,,,98,87,11,ตาก,3,28(1),2566,จ3-28(1)-27/50ตก,179.88,ต่ำ,ท่าสายลวด,745,20630000000000,บริษัท ท็อป ฟอร์ม บราเซีย (แม่สอด) จำกัด,บริษัท ท็อป ฟอร์ม บราเซีย (แม่สอด) จำกัด,3,50,63110,"12,800.00"
ตัดเย็บเสื้อผ้าสำเร็จรูป,63,แม่สอด,14111,2801,สองแคว,,100,90,10,ตาก,,28(1),2566,จ3-28(1)-1/63ตก,49.5,ต่ำ,แม่สอด,746,20630000000000,บริษัท บุญช่วยทวีทรัพย์ จำกัด,บริษัท บุญช่วยทวีทรัพย์ จำกัด,3,63,63110,"8,800.00"
ตัดเย็บเสื้อผ้าสำเร็จรูป,63,แม่สอด,14111,2801,,,298,200,98,ตาก,2,28(1),2566,จ3-28(1)-9/54ตก,186.47,ต่ำ,แม่ปะ,747,20630000000000,บริษัท ซี.แอล.แม่สอด การ์เม้นท์ จำกัด,บริษัท ซี.แอล.แม่สอด การ์เม้นท์ จำกัด,3,54,63110,"15,100.00"
ตัดเย็บเสื้อผ้าสำเร็จรูป,63,แม่สอด,14111,2801,,,150,145,5,ตาก,15,28(1),2566,จ3-28(1)-13/53ตก,110.27,ต่ำ,แม่กาษา,748,20630000000000,บริษัท เอ็ม เอส บี แอพพาเรล จำกัด,บริษัท เอ็ม เอส บี แอพพาเรล จำกัด,3,53,63110, -   
ผลิตเสื้อผ้าสำเร็จรูป,63,แม่สอด,14111,2801,,,150,140,10,ตาก,15,28(1),2566,จ3-28(1)-13/54ตก,271.93,ต่ำ,แม่กาษา,749,20630000000000,บริษัท พีแม่สอด จำกัด,บริษัท พีแม่สอด จำกัด,3,54,63110,936
ผลิตผลิตภัณฑ์จากหนังสัตว์และหนังเทียม,63,แม่สอด,14200,3201,,,202,150,52,ตาก,15,32(1),2566,จ3-32(1)-2/61ตก,105.22,ต่ำ,แม่กาษา,750,20630100000000,บริษัท ทีเอ็นแอลเอ็กซ์ จำกัด,บริษัท ทีเอ็นแอลเอ็กซ์ จำกัด,3,61,63110,"3,744.00"
ผลิตถุงมือเบสบอลล์,63,แม่สอด,14200,3201,,,52,40,12,ตาก,1,32(1),2566,จ3-32(1)-2/57ตก,314.25,ต่ำ,พระธาตุผาแดง,751,20630000000000,บริษัท นาโมซ่า อินดัสเตรียล จำกัด,บริษัท นาโมซ่า อินดัสเตรียล จำกัด,3,57,63110,"23,700.00"
เย็บรองเท้าหรือชิ้นส่วนของรองเท้า,63,แม่สอด,15202,3300,สายเอเชีย,,50,30,20,ตาก,,33,2566,จ2-33-2/45ตก,22,ต่ำ,แม่สอด,752,20630200000000,,นายวิโรจน์ ศรีศักดิ์สรชาติ,2,45,63110, -   
แปรรูปไม้ด้วยเครื่องจักรเพื่อประดิษฐกรรม,63,บ้านตาก,16101,3401,,,10, -   ,10,ตาก,1,34(1),2566,จ3-34(1)-32/61ตก,103.5,ปานกลาง,ตากออก,753,20630100000000,,นายพิสิฐ พงษ์สานต์คีรี,3,61,63120,1
แปรรูปไม้,63,บ้านตาก,16101,3401,พหลโยธิน ,,16, -   ,16,ตาก,5,34(1),2566,จ3-34(1)-20/60ตก,422,ปานกลาง,ตากออก,754,20630000000000,บริษัท โรงเลื่อยบ้านตาก จำกัด,บริษัท โรงเลื่อยบ้านตาก จำกัด,3,60,63120, -   
เลื่อย ไส ซอย แซะร่องไม้ และ แปรรูปไม้ด้วยเครื่องจักรเพื่อประดิษฐกรรม,63,เมืองตาก,16101,3401,,,40,15,25,ตาก,6,34(1),2566,จ3-34(1)-69/51ตก,157.5,ปานกลาง,วังหิน,755,20630000000000,ไม้ ไม้ ไม้,ไม้ ไม้ ไม้,3,51,63000,"6,152.00"
แปรรูปไม้เพื่อประดิษฐกรรม,63,แม่สอด,16101,3401,,,12, -   ,12,ตาก,1,34(1),2566,จ3-34(1)-54/55ตก,103.5,ปานกลาง,แม่กุ,756,20630000000000,,นายลพ วังสิงห์,3,55,63110,"1,624.00"
ตั้งโรงงานแปรรูปไม้โดยใช้เครื่องจักรเพื่อแปรรูปไม้จำหน่ายอบ-อาบน้ำยาไม้โดยใช้ไม้ยางพาราและไม้ที่ปลูกขึ้นโดยเฉพาะ 13 ชนิด ตามมติคณะรัฐมนตรี เมื่อวันที่ 25 มกราคม 2537,63,แม่สอด,16101,3401,,,30,10,20,ตาก,15,34(1),2566,3-34(1)-66/61ตก,"1,255.00",ปานกลาง,แม่กาษา,757,10630000000000,บริษัท บางกอกราชา อุตสาหกรรมไม้ (ประเทศไทย) จำกัด,บริษัท บางกอกราชา อุตสาหกรรมไม้ (ประเทศไทย) จำกัด,3,61,63110,"7,092.00"
แปรรูปไม้,63,แม่สอด,16101,3401,,,60,5,55,ตาก,4,34(1),2566,จ3-34(1)-1/46ตก,"1,017.95",ปานกลาง,ท่าสายลวด,758,20630200000000,บริษัท เอ็ม.เอสทิมเบอร์ จำกัด,บริษัท เอ็ม.เอสทิมเบอร์ จำกัด,3,46,63110,"48,000.00"
แปรรูปไม้โดยใช้เครื่องจักรเพื่อประดิษฐกรรม,63,แม่สอด,16101,3401,,,16,4,12,ตาก,1,34(1),2566,จ3-34(1)-40/59ตก,103.5,ปานกลาง,ท่าสายลวด,759,20630100000000,มณีมงคลการค้า,มณีมงคลการค้า,3,59,63110,"4,000.00"
แปรรูปไม้โดยใช้เครื่องจักรเพื่อประดิษฐกรรม,63,แม่สอด,16101,3401,,,12,2,10,ตาก,1,34(1),2566,จ3-34(1)-56/54ตก,103.5,ปานกลาง,แม่กุ,760,20630000000000,,นายสงกรานต์ วงค์ประสิทธิ์,3,54,63110,860
แปรรูปไม้เพื่อประดิษฐกรรม,63,แม่สอด,16101,3401,,,12, -   ,12,ตาก,1,34(1),2566,จ3-34(1)-55/55ตก,103.5,ปานกลาง,แม่กุ,761,20630000000000,นางนงคราญ มั่งตั๋น,นางนงคราญ มั่งตั๋น,3,55,63110,"10,805.00"
แปรรูปไม้โดยใช้เครื่องจักรเพื่อประดิษฐกรรม การทำเครื่องเรือน เครื่องใช้ และเครื่องตบแต่งในอาคารจากไม้ ,63,แม่สอด,2200,3401,,,12,2,10,ตาก,1,34(1),2566,จ3-34(1)-20/62ตก,103.5,ปานกลาง,แม่กุ,762,20630100000000, ห้างหุ้นส่วนจำกัด แม่สอดวู๊ดชิพ 2017 , ห้างหุ้นส่วนจำกัด แม่สอดวู๊ดชิพ 2017 ,3,62,63110,"13,284.00"
"แปรรูปไม้ด้วยเครื่องจักรเพื่อประดิษฐกรรม เช่น วงกบประตู,หน้าต่าง,ตู้,โต๊ะ,เก้าอี้",63,ท่าสองยาง,16220,3402,,,30,2,28,ตาก,2,34(2),2566,จ3-34(2)-89/51ตก,237.88,ปานกลาง,แม่ต้าน,763,20630000000000,บริษัท เจริญสมประสงค์ จำกัด,บริษัท เจริญสมประสงค์ จำกัด,3,51,63150,"1,600.00"
ผลิตไม้ปาเก้ ทำโมเสด ไม้ประสาน ไม้คิ้ว ไม้บัวผนัง วงกบประตู-หน้าต่าง เครื่องเรือนเครื่องใช้ในบ้าน ปอกไม้วีเนียร์ กลึง อบ ไส เซาะร่องรางลิ้น ,63,บ้านตาก,16220,3402,พหลโยธิน,,56,10,46,ตาก,5,34(2),2566,3-34(2)-1/24ตก,"1,004.40",ต่ำ,ตากออก,764,10630000000000,บริษัท เอเชีย ทีค วู้ด จำกัด,บริษัท เอเชีย ทีค วู้ด จำกัด,3,24,63120,"5,462.00"
แปรรูปไม้โดยใช้เครื่องจักรเพื่อประดิษฐกรรม,63,แม่สอด,16220,3402,,,6,2,4,ตาก,9,34(2),2566,จ3-34(2)-124/53ตก,85,ปานกลาง,แม่ปะ,765,20630000000000,เก้าก้องเทรดดิ้ง,เก้าก้องเทรดดิ้ง,3,53,63110,"3,652.00"
"การแปรรูปไม้ โดยใช้เครื่องจักรเพื่อประดิษฐกรรม เช่น วงกบประตู-หน้าต่าง,ตู้,โต๊ะ,เก้าอี้ ฯลฯ",63,แม่สอด,16220,3402,,,8,1,7,ตาก,3,34(2),2566,จ3-34(2)-63/50ตก,58.5,ปานกลาง,แม่ปะ,766,20630000000000,,นางสาวอภิสรา เสาแก้ว,3,50,63110,356
แปรรูปไม้ด้วยเครื่องจักรเพื่อประดิษฐกรรม อุปกรณ์ ส่วนประกอบของอาคารจากไม้ เฟอร์นิเจอร์จากไม้ แกะสลักไม้ กรอบรูป หรือกรอบกระจกจากไม้,63,แม่สอด,16220,3402,,,25, -   ,25,ตาก,6,34(2),2566,จ3-34(2)-39/54ตก,233.16,ปานกลาง,ท่าสายลวด,767,20630000000000,ห้างหุ้นส่วนจำกัด ท็อปวู๊ด (2009),ห้างหุ้นส่วนจำกัด ท็อปวู๊ด (2009),3,54,63110,"2,176.00"
"การอบไม้,การอบพืชหรือเมล็ดพืช",63,แม่สอด,16102,3405,,,12,2,10,ตาก,9,34(5),2566,จ3-34(5)-1/50ตก,472.6,สูง,แม่กาษา,768,20630000000000,บริษัท เค.พี. อะโกร อินดัสทรี้ จำกัด,บริษัท เค.พี. อะโกร อินดัสทรี้ จำกัด,3,50,63110,"17,816.00"
แกะสลักไม้ การทำเครื่องเรือน เครื่องใช้ หรือส่วนประกอบที่ทำด้วยไม้ของอาคาร,63,แม่สอด,16291,3603,,,30, -   ,30,ตาก,2,36(3),2566,จ3-36(3)-1/57ตก,98.7,ต่ำ,ท่าสายลวด,769,20630200000000,โรงงานไม้ไทย แกะสลักและเฟอร์นิเจอร์,โรงงานไม้ไทย แกะสลักและเฟอร์นิเจอร์,3,57,63110,"2,005.00"
ทำเครื่องเรือนเครื่องใช้จากไม้,63,ท่าสองยาง,31001,3700,,,16,1,15,ตาก,2,37,2566,จ3-37-171/54ตก,443.76,ต่ำ,แม่ต้าน,770,20630000000000,,นายสายชล เชื้อทหาร,3,54,63150,"20,664.00"
แปรรูปไม้เพื่อสิ่งประดิษฐ์,63,พบพระ,31001,3700,,,12, -   ,12,ตาก,8,37,2566,จ3-37-21/51ตก,155.7,ปานกลาง,พบพระ,771,20630000000000,ห้างหุ้นส่วนจำกัด ช รัตนบุญโชคชัย,ห้างหุ้นส่วนจำกัด ช รัตนบุญโชคชัย,3,51,63160,"35,200.00"
ทำเครื่องเรือน เครื่องใช้ จากไม้ และแปรรูปไม้เพื่อประดิษฐกรรม,63,เมืองตาก,31001,3700,-,-,30,8,22,ตาก,8,37,2566,จ3-37-19/65ตก,298.8,ปานกลาง,วังหิน,772,20630200000000,ปราณีเฟอร์นิเจอร์,ปราณีเฟอร์นิเจอร์,3,65,63000,"11,516.00"
ทำเครื่องเรือนหรือเครื่องตกแต่งภายในอาคารจากไม้ ทำกิจการเกี่ยวกับไม้ เช่น ประตู หน้าต่าง วงกบ กระเช้ากล้วยไม้ โดยใช้ไม้แปรรูปเป็นวัตถุดิบป้อนโรงงาน,63,เมืองตาก,31001,3700,พหลโยธิน,,146, -   ,146,ตาก,9,37,2566,จ3-37-1/36ตก,79,ต่ำ,วังหิน,773,20630000000000,เรือนจำจังหวัดตาก,เรือนจำจังหวัดตาก,3,36,63000,"17,824.00"
"ทำเครื่องเรือนหรือเครื่องตกแต่งภายในอาคารจากไม้,ทำภาชนะบรรจุเครื่องมือ หรือเครื่องใช้จากไม้ และการทำไม้ปาร์เก้",63,เมืองตาก,31001,3700,-,-,5, -   ,5,ตาก,10,37,2566,จ3-37-2/46ตก,54,ต่ำ,น้ำรึม,774,20630300000000,,นายสุวิทย์ สายวงศ์ดำ,3,46,63000,"1,600.00"
ทำเครื่องเรือน เครื่องใช้ และส่วนประกอบของอาคารจากไม้ ,63,แม่ระมาด,31001,3700,,,15, -   ,15,ตาก,6,37,2566,จ3-37-202/56ตก,66.72,ต่ำ,แม่ระมาด,775,20630000000000,,นางพิมพ์นิศา สินใหม่วงษ์,3,56,63140,"1,564.00"
ทำเครื่องเรือนจากไม้,63,แม่สอด,31001,3700,ราชทัณฑ์,,70, -   ,70,ตาก,,37,2566,ศ3-37-2/33ตก,74.5,ต่ำ,แม่สอด,776,630000000000,เรือนจำแม่สอด,เรือนจำแม่สอด,3,33,63110,"9,600.00"
ทำเครื่องเรือน เครื่องใช้ ส่วนประกอบที่ทำจากไม้ของอาคาร และการแปรรูปด้วยวิธีคล้ายคลึงกัน ,63,แม่สอด,31001,3700,,,20,2,18,ตาก,6,37,2566,จ3-37-227/52ตก,125,ต่ำ,ท่าสายลวด,777,20630000000000,,นายทศพร เลขะสุวรรณ,3,52,63110,
ทำเครื่องเรือนเครื่องใช้จากไม้ ส่วนประกอบของอาคารที่ทำจากไม้,63,แม่สอด,31001,3700,,,20,5,15,ตาก,4,37,2566,จ3-37-55/59ตก,110,ต่ำ,ท่าสายลวด,778,20630000000000,บริษัท พี.อาร์.รุ่งเรือง จำกัด,บริษัท พี.อาร์.รุ่งเรือง จำกัด,3,59,63110,"5,200.00"
"ทำเครื่องเรือนจากไม้และโลหะ,ทำภาชนะบรรจุ และเครื่องใช้ดอกไม้และหวาย,แกะสลักไม้,กรอบรูปและกรอบกระจกไม้",63,แม่สอด,31001,3700,,,32,2,30,ตาก,1,37,2566,จ3-37-44/53ตก,66.02,ต่ำ,ท่าสายลวด,779,20630000000000,บริษัท เฟอร์นิช บาย วณิส จำกัด,บริษัท เฟอร์นิช บาย วณิส จำกัด,3,53,63110,"9,964.00"
ทำเครื่องเรือนและแกะสลักไม้,63,วังเจ้า,31001,3700,,,18,9,9,ตาก,7,37,2566,จ3-37-260/54ตก,90.19,ต่ำ,นาโบสถ์,780,20630000000000,วิสาหกิจชุมชนแกะสลักไม้บ้านท่าทองแดง,วิสาหกิจชุมชนแกะสลักไม้บ้านท่าทองแดง,3,54,63000,"11,552.00"
ทำเครื่องเรือน เครื่องใช้จากไม้ แกะสลักไม้ ,63,วังเจ้า,31001,3700,,,87,29,58,ตาก,1,37,2566,จ3-37-260/56ตก,327.5,ต่ำ,เชียงทอง,781,20630000000000,,นายวิระ ธงชัย,3,56,63000,"12,232.00"
ทำเครื่องเรือนหรือเครื่องตบแต่งในอาคารจากไม้ การแกะสลักไม้ ทำกรอบรูปหรือกรอบกระจกจากไม้,63,สามเงา,31001,3700,-,-,6, -   ,6,ตาก,4,37,2566,จ3-37-7/56ตก,58.61,ต่ำ,สามเงา,782,20630000000000,นายเฉลิมพล ชัยมณีโรจน์,นายเฉลิมพล ชัยมณีโรจน์,3,56,63130,"7,600.00"
ทำกระดาษ กระดาษแข็ง กระดาษอื่น ๆ,63,บ้านตาก,17012,3802,พหลโยธิน,-,42,13,29,ตาก,8,38(2),2566,3-38(2)-1/46ตก,"5,796.60",ต่ำ,ตากออก,783,10630100000000,บริษัท โรจน เปเปอร์ จำกัด,บริษัท โรจน เปเปอร์ จำกัด,3,46,63120,
ผลิตภาชนะบรรจุจากกระดาษทุกชนิด,63,แม่สอด,17020,3900,,,25, -   ,25,ตาก,7,39,2566,จ3-39-24/47ตก,77.65,ต่ำ,แม่ปะ,784,20630000000000,บริษัท แม่สอดบรรจุภัณฑ์ จำกัด,บริษัท แม่สอดบรรจุภัณฑ์ จำกัด,3,47,63110,"1,400.00"
อัดกระดาษ อัด เชื่อม และอัดเศษโลหะ,63,เมืองตาก,23991,4001,,,15, -   ,15,ตาก,5,40(1),2566,จ3-40(1)-6/61ตก,363,ต่ำ,ไม้งาม,785,20630000000000,,นางสาววราพร นุชเนื่อง,3,61,63000,"9,772.00"
ทำปุ๋ยชีวภาพ,63,แม่สอด,20121,4301,,,10, -   ,10,ตาก,3,43(1),2566,จ3-43(1)-28/58ตก,80.97,ต่ำ,แม่กุ,786,20630000000000,ห้างหุ้นส่วนจำกัด เกษตรศรีแผ่นดิน,ห้างหุ้นส่วนจำกัด เกษตรศรีแผ่นดิน,3,58,63110,750
ผลิตปุ๋ยเคมีเพื่อการค้า ,63,แม่สอด,20121,4301,,,6,2,4,ตาก,9,43(1),2566,จ3-43(1)-24/61ตก,76.71,ต่ำ,แม่กาษา,787,20630000000000,บริษัท เค.พี.อะโกร อินดัสทรี้ จำกัด,บริษัท เค.พี.อะโกร อินดัสทรี้ จำกัด,3,61,63110,180
ทำปุ๋ยอินทรีย์,63,สามเงา,20121,4301,,,3,1,2,ตาก,1,43(1),2566,จ3-43(1)-13/61ตก,62,ต่ำ,วังหมัน,788,20630000000000,ห้างหุ้นส่วนจำกัด ชัยสุภาฟาร์ม,ห้างหุ้นส่วนจำกัด ชัยสุภาฟาร์ม,3,61,63130,"15,992.00"
แปรรูปสารส้ม เพื่อใช้เป็นยาดับกลิ่นตัว,63,เมืองตาก,20299,4802,,,52,42,10,ตาก,5,48(2),2566,จ3-48(2)-1/36ตก,21.08,ต่ำ,โป่งแดง,789,20630100000000,บริษัท โอ อี แอล กรุ๊ป จำกัด,บริษัท โอ อี แอล กรุ๊ป จำกัด,3,36,63000,"3,200.00"
ผสมแอสฟัลต์ติกคอนกรีต,63,ท่าสองยาง,19209,5004,-,-,5, -   ,5,ตาก,9,50(4),2566,จ3-50(4)-28/66ตก,491.68,ปานกลาง,ท่าสองยาง,790,20630100000000,บริษัท แม่สอดโชควิสูตร จำกัด,บริษัท แม่สอดโชควิสูตร จำกัด,3,66,63150,"16,000.00"
ผลิตแอสฟัลท์ติกคอนกรีต,63,บ้านตาก,19209,5004,พหลโยธิน,,5, -   ,5,ตาก,11,50(4),2566,จ3-50(4)-59/59ตก,469.07,ต่ำ,ตากออก,791,20630000000000,บริษัท พิรมย์ก่อสร้าง (1979) จำกัด,บริษัท พิรมย์ก่อสร้าง (1979) จำกัด,3,59,63120,"9,281.00"
ผลิตแอสฟัลต์ติกคอนกรีต,63,บ้านตาก,19209,5004,-,-,12, -   ,12,ตาก,9,50(4),2566,จ3-50(4)-32/65ตก,465.34,ปานกลาง,ทุ่งกระเชาะ,792,20630100000000,บริษัท ชนะวัตร ก่อสร้าง จำกัด,บริษัท ชนะวัตร ก่อสร้าง จำกัด,3,65,63120,"33,045.00"
ผลิตแอสฟัลท์ติกคอนกรีต,63,บ้านตาก,19201,5004,,,4, -   ,4,ตาก,6,50(4),2566,จ3-50(4)-17/66ตก,411.87,ต่ำ,แม่สลิด,793,20630100000000,ห้างหุ้นส่วนจำกัด ลำปาง-เกาะคาขนส่ง,ห้างหุ้นส่วนจำกัด ลำปาง-เกาะคาขนส่ง,3,66,63120,"54,800.00"
ผสมแอสฟัลท์ติกคอนกรีต,63,เมืองตาก,19209,5004,,,25,8,17,ตาก,5,50(4),2566,จ3-50(4)-40/57ตก,472.66,ต่ำ,ไม้งาม,794,20630000000000,ห้างหุ้นส่วนจำกัด ตากแอสฟัลท์,ห้างหุ้นส่วนจำกัด ตากแอสฟัลท์,3,57,63000,"99,633.00"
ผสมแอสฟัลติกคอนกรีต,63,เมืองตาก,19209,5004,,,10, -   ,10,ตาก,4,50(4),2566,จ3-50(4)-1/41ตก,196.8,ต่ำ,ป่ามะม่วง,795,20630100000000,บริษัท กษิดิศ เอ็นจิเนียริ่ง จำกัด,บริษัท กษิดิศ เอ็นจิเนียริ่ง จำกัด,3,41,63000,"3,200.00"
ผสมแอสฟัลติกคอนกรีต,63,แม่ระมาด,19209,5004,,,5,1,4,ตาก,8,50(4),2566,จ3-50(4)-3/59ตก,396,ต่ำ,แม่จะเรา,796,20630100000000,บริษัท กษิดิศ เอ็นจิเนียริ่ง จำกัด,บริษัท กษิดิศ เอ็นจิเนียริ่ง จำกัด,3,59,63140,"2,485.00"
ผสมแอสฟัลท์ติกคอนกรีต,63,แม่สอด,19209,5004,,,4, -   ,4,ตาก,2,50(4),2566,จ3-50(4)-11/57ตก,458.78,ต่ำ,แม่ปะ,797,20630000000000,บริษัท แม่สอดโชควิสูตร จำกัด ,บริษัท แม่สอดโชควิสูตร จำกัด ,3,57,63110,"70,520.00"
ผสมแอสฟัลต์ติกคอนกรีต,63,แม่สอด,19209,5004,,,6, -   ,6,ตาก,7,50(4),2566,จ3-50(4)-9/63ตก,474.6,ปานกลาง,ท่าสายลวด,798,20630000000000,บริษัท พิรมย์ก่อสร้าง (1979) จำกัด,บริษัท พิรมย์ก่อสร้าง (1979) จำกัด,3,63,63110,"8,000.00"
