ประกอบกิจการ,รหัสจังหวัด,อำเภอ,TSIC,รหัสประเภท,ถนน,ซอย,คนงานรวม,หญิง,ชาย,จังหวัด,หมู่,ประเภท,ปี,เลขทะเบียนโรงงาน,แรงม้ารวม,ระดับ,ตำบล,_id,รหัสทะเบียนโรงงาน FID,ชื่อโรงงาน,ชื่อเจ้าของ,จำพวก,ปีที่ได้รับอนุญาต,รหัสไปรษณีย์,พื้นที่โรงงาน(ตร.ม.)
ผลิตสิ่งทอ,63,แม่สอด,13999,2400,,,76,54,22,ตาก,15,24,2565,จ3-24-2/59ตก,202.27,ต่ำ,แม่กาษา,25,20630000000000,บริษัท แม่สอด ซาคาเอะเลซ จำกัด,บริษัท แม่สอด ซาคาเอะเลซ จำกัด,3,59,63110,"7,884"
ทอถุงเท้า ,63,แม่สอด,13999,2400,,,50,35,15,ตาก,10,24,2565,จ2-24-18/64ตก,59.69,ต่ำ,แม่ปะ,26,20630200000000,ศิริชัยการทอ,ศิริชัยการทอ,2,64,63110,"4,400"
ทอเสื้อไหมพรม,63,แม่สอด,13999,2400,แม่สอด-อุ้มผาง ,,38,16,22,ตาก,2,24,2565,จ3-24-4/57ตก,245.5,ต่ำ,พระธาตุผาแดง,27,20630000000000,บริษัท ดับบลิว.พี. นิตติ้ง จำกัด,บริษัท ดับบลิว.พี. นิตติ้ง จำกัด,3,57,63110,800
ทอเสื้อไหมพรม,63,แม่สอด,13999,2400,,,100,70,30,ตาก,4,24,2565,จ3-24-6/57ตก,34.12,ต่ำ,ท่าสายลวด,28,20630000000000,บริษัท แม่สอด หย่องเชียง จำกัด,บริษัท แม่สอด หย่องเชียง จำกัด,3,57,63110,"1,344"
ผลิตเสื้อไหมพรม,63,แม่สอด,13999,2400,,,295,265,30,ตาก,6,24,2565,จ3-24-9/58ตก,315.1,ต่ำ,ท่าสายลวด,29,20630000000000,บริษัท ฟูลลิ้งค์ จำกัด,บริษัท ฟูลลิ้งค์ จำกัด,3,58,63110, -   
ผลิตถุงเท้า ,63,แม่สอด,13999,2400,,,52,26,26,ตาก,10,24,2565,จ2-24-19/64ตก,48.81,ต่ำ,แม่ปะ,30,20630200000000,นายอนันต์ แซ่ลิ่ว,นายอนันต์ แซ่ลิ่ว,2,64,63110,"2,800"
ผลิตเสื้อถักไหมพรม และเสื้อผ้าสำเร็จรูป,63,แม่สอด,13999,2400,,,290,186,104,ตาก,6,24,2565,จ3-24-5/53ตก,253.85,ต่ำ,ท่าสายลวด,31,20630000000000,บริษัท ซีบีเจ ธารา เอนเตอร์ไพรส์ จำกัด,บริษัท ซีบีเจ ธารา เอนเตอร์ไพรส์ จำกัด,3,53,63110, -   
ทอเสื้อไหมพรมและตัดเย็บเสื้อผ้าสำเร็จรูป,63,แม่สอด,13999,2400,มิตรไมตรี,,"1,200",300,900,ตาก,1,24,2565,จ3-24-11/43ตก,144.25,ต่ำ,ท่าสายลวด,32,20630000000000,บริษัท ไทอัน นิตติ้ง การ์เม้นท์ จำกัด,บริษัท ไทอัน นิตติ้ง การ์เม้นท์ จำกัด,3,43,63110,"1,578"
"ทอผ้าไหมพรม,ทอเสื้อกันหนาว",63,แม่สอด,13999,2400,ทางสาธารณประโยชน์,,590,290,300,ตาก,1,24,2565,จ3-24-1/41ตก,526.64,ต่ำ,ท่าสายลวด,33,20630000000000,บริษัท ไทยซ่งเฮง จำกัด,บริษัท ไทยซ่งเฮง จำกัด,3,41,63110,"33,600"
ทอเสื้อไหมพรม,63,แม่สอด,13999,2400,แม่สอด-อุ้มผาง,สาธารณะประโยชน์,600,450,150,ตาก,3,24,2565,จ3-24-1/42ตก,"1,814.40",ต่ำ,พระธาตุผาแดง,34,20630000000000,บริษัท ตงไท่ เอ็นเตอร์ไพรส์ (ประเทศไทย) จำกัด,บริษัท ตงไท่ เอ็นเตอร์ไพรส์ (ประเทศไทย) จำกัด,3,42,63110,"18,347"
ทอเสื้อไหมพรม,63,แม่สอด,13999,2400,,,200,130,70,ตาก,6,24,2565,จ3-24-2/45ตก,5,ต่ำ,ท่าสายลวด,35,20630000000000,ห้างหุ้นส่วนจำกัด โซ่งฮอก,ห้างหุ้นส่วนจำกัด โซ่งฮอก,3,45,63110,800
ทอเสื้อไหมพรม ตัดเย็บเสื้อผ้าสำเร็จรูป,63,แม่สอด,13999,2400,,,298,210,88,ตาก,3,24,2565,จ3-24-3/63ตก,275.85,ต่ำ,แม่ตาว,36,20630000000000,บริษัท โบด้า จำกัด,บริษัท โบด้า จำกัด,3,63,63110,"37,712"
ทอเสื้อไหมพรม,63,แม่สอด,13999,2400,,,120,75,45,ตาก,6,24,2565,จ3-24-8/55ตก,6.66,ต่ำ,ท่าสายลวด,37,20630000000000,บริษัท มหากิจ นิตติ้ง จำกัด,บริษัท มหากิจ นิตติ้ง จำกัด,3,55,63110,"1,600"
ผลิตเสื้อไหมพรม,63,แม่สอด,13999,2400,,,295,265,30,ตาก,6,24,2565,จ3-24-8/58ตก,53.5,ต่ำ,ท่าสายลวด,38,20630000000000,บริษัท ฟูลลิ้งค์ จำกัด,บริษัท ฟูลลิ้งค์ จำกัด,3,58,63110,"3,795"
ทอเสื้อไหมพรม,63,แม่สอด,13999,2400,ราชการราษฎรดำหริ 1,,776,539,237,ตาก,,24,2565,จ3-24-20/52ตก,63,ต่ำ,แม่สอด,39,20630100000000,บริษัท โรแยล นิตติ้ง จำกัด (สาขา 2),บริษัท โรแยล นิตติ้ง จำกัด (สาขา 2),3,52,63110, -   
ทอเสื้อไหมพรม,63,แม่สอด,13999,2400,,,300,125,175,ตาก,6,24,2565,จ3-24-4/51ตก,80.66,ต่ำ,ท่าสายลวด,40,20630000000000,บริษัท ฟูลลิ้งค์ จำกัด,บริษัท ฟูลลิ้งค์ จำกัด,3,51,63110, -   
ทอเสื้อไหมพรม,63,แม่สอด,13999,2400,ทางสาธารณประโชน์,,250,60,190,ตาก,1,24,2565,จ3-24-9/42ตก,9.5,ต่ำ,แม่ตาว,41,20630000000000,-,นายสมเกียรติ อำนวยพรสกุล,3,42,63110,"14,400"
ทอถุงเท้า,63,แม่สอด,13999,2400,,,90,60,30,ตาก,2,24,2565,จ3-24-17/48ตก,37.2,ต่ำ,แม่ปะ,42,20630000000000,บริษัท จินฟง นิตติ้ง จำกัด,บริษัท จินฟง นิตติ้ง จำกัด,3,48,63110,"12,000"
ทอเสื้อไหมพรม,63,แม่สอด,13999,2400,สองแคว,,80,60,20,ตาก,,24,2565,จ3-24-3/61ตก,127.31,ต่ำ,แม่สอด,43,20630000000000,นางสาววิภาศิริ สังข์แดง,นางสาววิภาศิริ สังข์แดง,3,61,63110,1
ทอถุงเท้า ,63,แม่สอด,14302,2400,-,-,46,29,17,ตาก,15,24,2565,จ3-24-1/65ตก,493.75,ต่ำ,แม่กาษา,44,20630100000000,บริษัท บีเอ็นซี แม่สอด จำกัด,บริษัท บีเอ็นซี แม่สอด จำกัด,3,65,63110,"6,591"
ทอเสื้อไหมพรม,63,แม่สอด,13999,2400,,,10,5,5,ตาก,1,24,2565,อ2-24-21/64ตก,56.4,ต่ำ,แม่ตาว,45,60630200000000,-,นางเสาวนีย์ จ้าว,2,64,63110,480
ทอเสื้อไหมพรม,63,แม่สอด,13999,2400,แม่สอด-อุ้มผาง,,292,202,90,ตาก,2,24,2565,จ3-24-6/42ตก,452.25,ต่ำ,พระธาตุผาแดง,46,20630000000000,บริษัท อินเตอร์ นิติติ้ง จำกัด,บริษัท อินเตอร์ นิติติ้ง จำกัด,3,42,63110,"10,722"
ทอเสื้อไหมพรม,63,แม่สอด,13999,2400,,, -   , -   , -   ,ตาก,7,24,2565,จ3-24-5/58ตก,874.22,ต่ำ,แม่กุ,47,20630000000000,บริษัท ลิ้งค์มาร์ค จำกัด,บริษัท ลิ้งค์มาร์ค จำกัด,3,58,63110,"7,632"
ถัก ทอ เสื้อไหมพรมเพื่อการส่งออกต่างประเทศ,63,แม่สอด,13999,2400,,,"1,000",300,700,ตาก,7,24,2565,จ3-24-3/42ตก,54.7,ต่ำ,แม่กุ,48,20630000000000,บริษัท ไท หลิน แฟชั่น จำกัด,บริษัท ไท หลิน แฟชั่น จำกัด,3,42,63110,"28,800"
เย็บรองเท้าหรือชิ้นส่วนของรองเท้า,63,แม่สอด,15202,3300,สายเอเชีย,,50,30,20,ตาก,,33,2565,จ2-33-2/45ตก,22,ต่ำ,แม่สอด,49,20630200000000,,นายวิโรจน์ ศรีศักดิ์สรชาติ,2,45,63110, -   
ทำเครื่องเรือนเครื่องใช้จากไม้,63,ท่าสองยาง,31001,3700,,,16,1,15,ตาก,2,37,2565,จ3-37-171/54ตก,443.76,ต่ำ,แม่ต้าน,50,20630000000000,,นายสายชล เชื้อทหาร,3,54,63150,"20,664"
แปรรูปไม้เพื่อสิ่งประดิษฐ์,63,พบพระ,31001,3700,,,12, -   ,12,ตาก,8,37,2565,จ3-37-21/51ตก,155.7,ปานกลาง,พบพระ,51,20630000000000,ห้างหุ้นส่วนจำกัด ช รัตนบุญโชคชัย,ห้างหุ้นส่วนจำกัด ช รัตนบุญโชคชัย,3,51,63160,"35,200"
ทำเครื่องเรือน เครื่องใช้ จากไม้ และแปรรูปไม้เพื่อประดิษฐกรรม,63,เมืองตาก,31001,3700,-,-,30,8,22,ตาก,8,37,2565,จ3-37-19/65ตก,298.8,ปานกลาง,วังหิน,52,20630200000000,ปราณีเฟอร์นิเจอร์,ปราณีเฟอร์นิเจอร์,3,65,63000,"11,516"
"ทำเครื่องเรือนหรือเครื่องตกแต่งภายในอาคารจากไม้,ทำภาชนะบรรจุเครื่องมือ หรือเครื่องใช้จากไม้ และการทำไม้ปาร์เก้",63,เมืองตาก,31001,3700,-,-,5, -   ,5,ตาก,10,37,2565,จ3-37-2/46ตก,54,ต่ำ,น้ำรึม,53,20630300000000,,นายสุวิทย์ สายวงศ์ดำ,3,46,63000,"1,600"
ทำเครื่องเรือนหรือเครื่องตกแต่งภายในอาคารจากไม้ ทำกิจการเกี่ยวกับไม้ เช่น ประตู หน้าต่าง วงกบ กระเช้ากล้วยไม้ โดยใช้ไม้แปรรูปเป็นวัตถุดิบป้อนโรงงาน,63,เมืองตาก,31001,3700,พหลโยธิน,,146, -   ,146,ตาก,9,37,2565,จ3-37-1/36ตก,79,ต่ำ,วังหิน,54,20630000000000,เรือนจำจังหวัดตาก,เรือนจำจังหวัดตาก,3,36,63000,"17,824"
ทำเครื่องเรือน เครื่องใช้ และส่วนประกอบของอาคารจากไม้ ,63,แม่ระมาด,31001,3700,,,15, -   ,15,ตาก,6,37,2565,จ3-37-202/56ตก,66.72,ต่ำ,แม่ระมาด,55,20630000000000,,นางพิมพ์นิศา สินใหม่วงษ์,3,56,63140,"1,564"
ทำเครื่องเรือนเครื่องใช้จากไม้ ส่วนประกอบของอาคารที่ทำจากไม้,63,แม่สอด,31001,3700,,,20,5,15,ตาก,4,37,2565,จ3-37-55/59ตก,110,ต่ำ,ท่าสายลวด,56,20630000000000,บริษัท พี.อาร์.รุ่งเรือง จำกัด,บริษัท พี.อาร์.รุ่งเรือง จำกัด,3,59,63110,"5,200"
ทำเครื่องเรือนจากไม้,63,แม่สอด,31001,3700,ราชทัณฑ์,,70, -   ,70,ตาก,,37,2565,ศ3-37-2/33ตก,74.5,ต่ำ,แม่สอด,57,630000000000,เรือนจำแม่สอด,เรือนจำแม่สอด,3,33,63110,"9,600"
"ทำเครื่องเรือนจากไม้และโลหะ,ทำภาชนะบรรจุ และเครื่องใช้ดอกไม้และหวาย,แกะสลักไม้,กรอบรูปและกรอบกระจกไม้",63,แม่สอด,31001,3700,,,32,2,30,ตาก,1,37,2565,จ3-37-44/53ตก,66.02,ต่ำ,ท่าสายลวด,58,20630000000000,บริษัท เฟอร์นิช บาย วณิส จำกัด,บริษัท เฟอร์นิช บาย วณิส จำกัด,3,53,63110,"9,964"
