VALUE,SOURCE,SUBJECT,_id,UNIT,YEAR
1111958,สำนักงานสถิติแห่งชาติ,วิศวกรรมศาสตร์ (Engineering),56,คน,2562
250077,สำนักงานสถิติแห่งชาติ,สุขภาพ (Health),57,คน,2562
176681,สำนักงานสถิติแห่งชาติ,คอมพิวเตอร์ (Computer),58,คน,2562
134221,สำนักงานสถิติแห่งชาติ,สถาปัตยกรรมและการสร้างอาคาร (Architecture and construction),59,คน,2562
94364,สำนักงานสถิติแห่งชาติ,การเกษตร การป่าไม้ และการประมง (Agriculture  forest and fishery),60,คน,2562
38961,สำนักงานสถิติแห่งชาติ,วิทยาศาสตร์กายภาพ (Physical science),61,คน,2562
14265,สำนักงานสถิติแห่งชาติ,การผลิตและกระบวนการผลิต (Production and processing),62,คน,2562
16419,สำนักงานสถิติแห่งชาติ,วิทยาศาสตร์ชีวภาพ (Biological science),63,คน,2562
10161,สำนักงานสถิติแห่งชาติ,สัตวแพทย์ (Veterinary medicine),64,คน,2562
3763,สำนักงานสถิติแห่งชาติ,คณิตศาสตร์และสถิติ (Mathematics & statistics),65,คน,2562
1850870,สำนักงานสถิติแห่งชาติ,รวม (Total),66,คน,2562
1224234,สำนักงานสถิติแห่งชาติ,วิศวกรรมศาสตร์ (Engineering),67,คน,2563
283368,สำนักงานสถิติแห่งชาติ,สุขภาพ (Health),68,คน,2563
184895,สำนักงานสถิติแห่งชาติ,คอมพิวเตอร์ (Computer),69,คน,2563
139502,สำนักงานสถิติแห่งชาติ,สถาปัตยกรรมและการสร้างอาคาร (Architecture and construction),70,คน,2563
94509,สำนักงานสถิติแห่งชาติ,การเกษตร การป่าไม้ และการประมง (Agriculture  forest and fishery),71,คน,2563
39719,สำนักงานสถิติแห่งชาติ,วิทยาศาสตร์กายภาพ (Physical science),72,คน,2563
12820,สำนักงานสถิติแห่งชาติ,การผลิตและกระบวนการผลิต (Production and processing),73,คน,2563
18339,สำนักงานสถิติแห่งชาติ,วิทยาศาสตร์ชีวภาพ (Biological science),74,คน,2563
11842,สำนักงานสถิติแห่งชาติ,สัตวแพทย์ (Veterinary medicine),75,คน,2563
2088,สำนักงานสถิติแห่งชาติ,คณิตศาสตร์และสถิติ (Mathematics & statistics),76,คน,2563
2011316,สำนักงานสถิติแห่งชาติ,รวม (Total),77,คน,2563
1263862,สำนักงานสถิติแห่งชาติ,วิศวกรรมศาสตร์ (Engineering),78,คน,2564
291706,สำนักงานสถิติแห่งชาติ,สุขภาพ (Health),79,คน,2564
169599,สำนักงานสถิติแห่งชาติ,คอมพิวเตอร์ (Computer),80,คน,2564
143120,สำนักงานสถิติแห่งชาติ,สถาปัตยกรรมและการสร้างอาคาร (Architecture and construction),81,คน,2564
98205,สำนักงานสถิติแห่งชาติ,การเกษตร การป่าไม้ และการประมง (Agriculture  forest and fishery),82,คน,2564
41860,สำนักงานสถิติแห่งชาติ,วิทยาศาสตร์กายภาพ (Physical science),83,คน,2564
12417,สำนักงานสถิติแห่งชาติ,การผลิตและกระบวนการผลิต (Production and processing),84,คน,2564
18822,สำนักงานสถิติแห่งชาติ,วิทยาศาสตร์ชีวภาพ (Biological science),85,คน,2564
25788,สำนักงานสถิติแห่งชาติ,สัตวแพทย์ (Veterinary medicine),86,คน,2564
2279,สำนักงานสถิติแห่งชาติ,คณิตศาสตร์และสถิติ (Mathematics & statistics),87,คน,2564
2067658,สำนักงานสถิติแห่งชาติ,รวม (Total),88,คน,2564
1405728,สำนักงานสถิติแห่งชาติ,วิศวกรรมศาสตร์ (Engineering),89,คน,2565
332186,สำนักงานสถิติแห่งชาติ,สุขภาพ (Health),90,คน,2565
212136,สำนักงานสถิติแห่งชาติ,คอมพิวเตอร์ (Computer),91,คน,2565
155096,สำนักงานสถิติแห่งชาติ,สถาปัตยกรรมและการสร้างอาคาร (Architecture and construction),92,คน,2565
96025,สำนักงานสถิติแห่งชาติ,การเกษตร การป่าไม้ และการประมง (Agriculture  forest and fishery),93,คน,2565
39845,สำนักงานสถิติแห่งชาติ,วิทยาศาสตร์กายภาพ (Physical science),94,คน,2565
19593,สำนักงานสถิติแห่งชาติ,การผลิตและกระบวนการผลิต (Production and processing),95,คน,2565
22707,สำนักงานสถิติแห่งชาติ,วิทยาศาสตร์ชีวภาพ (Biological science),96,คน,2565
24003,สำนักงานสถิติแห่งชาติ,สัตวแพทย์ (Veterinary medicine),97,คน,2565
3731,สำนักงานสถิติแห่งชาติ,คณิตศาสตร์และสถิติ (Mathematics & statistics),98,คน,2565
2311050,สำนักงานสถิติแห่งชาติ,รวม (Total),99,คน,2565
1421911,สำนักงานสถิติแห่งชาติ,วิศวกรรมศาสตร์ (Engineering),100,คน,2566
307202,สำนักงานสถิติแห่งชาติ,สุขภาพ (Health),101,คน,2566
214387,สำนักงานสถิติแห่งชาติ,คอมพิวเตอร์ (Computer),102,คน,2566
154660,สำนักงานสถิติแห่งชาติ,สถาปัตยกรรมและการสร้างอาคาร (Architecture and construction),103,คน,2566
104319,สำนักงานสถิติแห่งชาติ,การเกษตร การป่าไม้ และการประมง (Agriculture  forest and fishery),104,คน,2566
39159,สำนักงานสถิติแห่งชาติ,วิทยาศาสตร์กายภาพ (Physical science),105,คน,2566
16122,สำนักงานสถิติแห่งชาติ,การผลิตและกระบวนการผลิต (Production and processing),106,คน,2566
22858,สำนักงานสถิติแห่งชาติ,วิทยาศาสตร์ชีวภาพ (Biological science),107,คน,2566
26591,สำนักงานสถิติแห่งชาติ,สัตวแพทย์ (Veterinary medicine),108,คน,2566
3664,สำนักงานสถิติแห่งชาติ,คณิตศาสตร์และสถิติ (Mathematics & statistics),109,คน,2566
2310873,สำนักงานสถิติแห่งชาติ,รวม (Total),110,คน,2566
1400784,สำนักงานสถิติแห่งชาติ,วิศวกรรมศาสตร์ (Engineering),111,คน,2567
289760,สำนักงานสถิติแห่งชาติ,สุขภาพ (Health),112,คน,2567
216673,สำนักงานสถิติแห่งชาติ,คอมพิวเตอร์ (Computer),113,คน,2567
164934,สำนักงานสถิติแห่งชาติ,สถาปัตยกรรมและการสร้างอาคาร (Architecture and construction),114,คน,2567
101932,สำนักงานสถิติแห่งชาติ,การเกษตร การป่าไม้ และการประมง (Agriculture  forest and fishery),115,คน,2567
43890,สำนักงานสถิติแห่งชาติ,วิทยาศาสตร์กายภาพ (Physical science),116,คน,2567
17411,สำนักงานสถิติแห่งชาติ,การผลิตและกระบวนการผลิต (Production and processing),117,คน,2567
18576,สำนักงานสถิติแห่งชาติ,วิทยาศาสตร์ชีวภาพ (Biological science),118,คน,2567
24412,สำนักงานสถิติแห่งชาติ,สัตวแพทย์ (Veterinary medicine),119,คน,2567
3163,สำนักงานสถิติแห่งชาติ,คณิตศาสตร์และสถิติ (Mathematics & statistics),120,คน,2567
2281535,สำนักงานสถิติแห่งชาติ,รวม (Total),121,คน,2567
1392421,สำนักงานสถิติแห่งชาติ,วิศวกรรมศาสตร์ (Engineering),122,คน,2568
280503,สำนักงานสถิติแห่งชาติ,สุขภาพ (Health),123,คน,2568
203914,สำนักงานสถิติแห่งชาติ,คอมพิวเตอร์ (Computer),124,คน,2568
153436,สำนักงานสถิติแห่งชาติ,สถาปัตยกรรมและการสร้างอาคาร (Architecture and construction),125,คน,2568
111151,สำนักงานสถิติแห่งชาติ,การเกษตร การป่าไม้ และการประมง (Agriculture  forest and fishery),126,คน,2568
41805,สำนักงานสถิติแห่งชาติ,วิทยาศาสตร์กายภาพ (Physical science),127,คน,2568
21017,สำนักงานสถิติแห่งชาติ,การผลิตและกระบวนการผลิต (Production and processing),128,คน,2568
15185,สำนักงานสถิติแห่งชาติ,วิทยาศาสตร์ชีวภาพ (Biological science),129,คน,2568
24089,สำนักงานสถิติแห่งชาติ,สัตวแพทย์ (Veterinary medicine),130,คน,2568
1899,สำนักงานสถิติแห่งชาติ,คณิตศาสตร์และสถิติ (Mathematics & statistics),131,คน,2568
2245420,สำนักงานสถิติแห่งชาติ,รวม (Total),132,คน,2568
