ค่าข้อมูล,ที่มา,_id,ปี,หน่วยนับ,อำเภอ,รายการ
-,สำนักงานเกษตรจังหวัดนครพนม,37,2564,กิโลกรัมต่อไร่,อำเภอเมืองนครพนม,ปริมาณผลผลิตลิ้นจี่ นพ.1 เฉลี่ยต่อไร่/ปี/เนื้อที่เพาะปลูก
-,สำนักงานเกษตรจังหวัดนครพนม,38,2564,กิโลกรัมต่อไร่,อำเภอปลาปาก,ปริมาณผลผลิตลิ้นจี่ นพ.1 เฉลี่ยต่อไร่/ปี/เนื้อที่เพาะปลูก
-,สำนักงานเกษตรจังหวัดนครพนม,39,2564,กิโลกรัมต่อไร่,อำเภอท่าอุเทน,ปริมาณผลผลิตลิ้นจี่ นพ.1 เฉลี่ยต่อไร่/ปี/เนื้อที่เพาะปลูก
-,สำนักงานเกษตรจังหวัดนครพนม,40,2564,กิโลกรัมต่อไร่,อำเภอบ้านแพง,ปริมาณผลผลิตลิ้นจี่ นพ.1 เฉลี่ยต่อไร่/ปี/เนื้อที่เพาะปลูก
-,สำนักงานเกษตรจังหวัดนครพนม,41,2564,กิโลกรัมต่อไร่,อำเภอธาตุพนม,ปริมาณผลผลิตลิ้นจี่ นพ.1 เฉลี่ยต่อไร่/ปี/เนื้อที่เพาะปลูก
-,สำนักงานเกษตรจังหวัดนครพนม,42,2564,กิโลกรัมต่อไร่,อำเภอเรณูนคร,ปริมาณผลผลิตลิ้นจี่ นพ.1 เฉลี่ยต่อไร่/ปี/เนื้อที่เพาะปลูก
-,สำนักงานเกษตรจังหวัดนครพนม,43,2564,กิโลกรัมต่อไร่,อำเภอนาแก,ปริมาณผลผลิตลิ้นจี่ นพ.1 เฉลี่ยต่อไร่/ปี/เนื้อที่เพาะปลูก
-,สำนักงานเกษตรจังหวัดนครพนม,44,2564,กิโลกรัมต่อไร่,อำเภอศรีสงคราม,ปริมาณผลผลิตลิ้นจี่ นพ.1 เฉลี่ยต่อไร่/ปี/เนื้อที่เพาะปลูก
-,สำนักงานเกษตรจังหวัดนครพนม,45,2564,กิโลกรัมต่อไร่,อำเภอนาหว้า,ปริมาณผลผลิตลิ้นจี่ นพ.1 เฉลี่ยต่อไร่/ปี/เนื้อที่เพาะปลูก
-,สำนักงานเกษตรจังหวัดนครพนม,46,2564,กิโลกรัมต่อไร่,อำเภอโพนสวรรค์,ปริมาณผลผลิตลิ้นจี่ นพ.1 เฉลี่ยต่อไร่/ปี/เนื้อที่เพาะปลูก
-,สำนักงานเกษตรจังหวัดนครพนม,47,2564,กิโลกรัมต่อไร่,อำเภอนาทม,ปริมาณผลผลิตลิ้นจี่ นพ.1 เฉลี่ยต่อไร่/ปี/เนื้อที่เพาะปลูก
-,สำนักงานเกษตรจังหวัดนครพนม,48,2564,กิโลกรัมต่อไร่,อำเภอวังยาง,ปริมาณผลผลิตลิ้นจี่ นพ.1 เฉลี่ยต่อไร่/ปี/เนื้อที่เพาะปลูก
972,สำนักงานเกษตรจังหวัดนครพนม,49,2565,กิโลกรัมต่อไร่,อำเภอเมืองนครพนม,ปริมาณผลผลิตลิ้นจี่ นพ.1 เฉลี่ยต่อไร่/ปี/เนื้อที่เพาะปลูก
209,สำนักงานเกษตรจังหวัดนครพนม,50,2565,กิโลกรัมต่อไร่,อำเภอปลาปาก,ปริมาณผลผลิตลิ้นจี่ นพ.1 เฉลี่ยต่อไร่/ปี/เนื้อที่เพาะปลูก
306,สำนักงานเกษตรจังหวัดนครพนม,51,2565,กิโลกรัมต่อไร่,อำเภอท่าอุเทน,ปริมาณผลผลิตลิ้นจี่ นพ.1 เฉลี่ยต่อไร่/ปี/เนื้อที่เพาะปลูก
264,สำนักงานเกษตรจังหวัดนครพนม,52,2565,กิโลกรัมต่อไร่,อำเภอบ้านแพง,ปริมาณผลผลิตลิ้นจี่ นพ.1 เฉลี่ยต่อไร่/ปี/เนื้อที่เพาะปลูก
