วันที่หมดอายุ,_id,เลขที่การรับรอง,บริษัท,ประเภทโรงงาน,หมายเลขผู้เสียภาษี,ลำดับ,เลขทะเบียนโรงงาน,วันที่รับรอง,จังหวัด
10/6/2570,19,GI(E) 4-024,บริษัท เอฟ จี เอ (ประเทศไทย) จำกัด,7100,205541000000,19,72060100000000,2567-11-06T00:00:00,ชลบุรี
10/6/2570,20,GI(E) 4-061,บริษัท ไวซ์เทค โซลูชั่นส์ (ประเทศไทย) จำกัด,6900,205554000000,20,72060000000000,2567-11-06T00:00:00,ชลบุรี
10/6/2570,21,GI(E) 4-154,บริษัท ศารายา เอ็มเอฟจี. (ไทยแลนด์) จำกัด,4701,105547000000,21,72110200000000,2567-11-06T00:00:00,ชลบุรี
15/8/2570,22,GI(E) 4-208,บริษัท เอส.เอ็ม.ซี. (ประเทศไทย) จำกัด,6413,105537000000,22,72300000000000,2567-08-16T00:00:00,ชลบุรี
15/8/2570,23,GI(E) 4-210,บริษัท ฟูจิลอย (ประเทศไทย) จำกัด,6707,245546000000,23,72110700000000,2567-08-16T00:00:00,ชลบุรี
15/8/2570,24,GI(E) 4-212,บริษัท ซิก้า (ประเทศไทย) จำกัด โรงงานชลบุรี,4201,205562000000,24,72110000000000,2567-08-16T00:00:00,ชลบุรี
เพิกถอน 16/7/2568,25,GI(E) 4-215,บริษัท ปริ๊งซ์ เฉิงซาน ไทร์ (ประเทศไทย) จำกัด,5100,205561000000,25,72500000000000,2567-08-16T00:00:00,ชลบุรี
11/9/2570,26,GI(E) 4-240,บริษัท สยาม ฮิตาชิ เอลลิเวเตอร์ จำกัด,7100,105531000000,26,82110400000000,2567-12-09T00:00:00,ชลบุรี
11/9/2570,27,GI(E) 4-242,บริษัท โซนี่ เทคโนโลยี (ประเทศไทย) จำกัด,7200,145546000000,27,72110500000000,2567-12-09T00:00:00,ชลบุรี
11/9/2570,28,GI(E) 4-243,บริษัท อมตะ บี.กริม เพาเวอร์ 2 จำกัด,8802,105542000000,28,82110000000000,2567-12-09T00:00:00,ชลบุรี
11/9/2570,29,GI(E) 4-244,บริษัท อมตะ บี.กริม เพาเวอร์ 4 จำกัด,8802,105553000000,29,82112300000000,2567-12-09T00:00:00,ชลบุรี
11/9/2570,30,GI(E) 4-252,บริษัท รีไซเคิล เอ็นจิเนียริ่ง จำกัด,10100,205540000000,30,10200700000000,2567-12-09T00:00:00,ชลบุรี
11/9/2570,31,GI(E) 4-257,บริษัท อาจีกาว่า แอนด์ เอสซีไอ เมทัล เทค จำกัด,6302,205556000000,31,20201500000000,2567-12-09T00:00:00,ชลบุรี
11/9/2570,32,GI(E) 4-263,บริษัท อมตะ บี.กริม เพาเวอร์ 1 จำกัด,8802,105538000000,32,82110000000000,2567-12-09T00:00:00,ชลบุรี
11/9/2570,33,GI(E) 4-264,บริษัท โกลบอลกรีนเคมิคอล จำกัด (มหาชน),4201,107559000000,33,91650100000000,2567-12-09T00:00:00,ชลบุรี
11/9/2570,34,GI(E) 4-269,บริษัท ไลอ้อน (ประเทศไทย) จำกัด,4701,105510000000,34,10200000000000,2567-12-09T00:00:00,ชลบุรี
11/9/2570,35,GI(E) 4-276,บริษัท อมตะ บี.กริม เพาเวอร์ 5 จำกัด,8802,105553000000,35,82110800000000,2567-12-09T00:00:00,ชลบุรี
11/9/2570,36,GI(E) 4-280,บริษัท ตั้งเซียะปิง โลหะกิจ จำกัด,6600,115536000000,36,10200000000000,2567-12-09T00:00:00,ชลบุรี
11/9/2570,37,GI(E) 4-287,บริษัท อมตะ บี.กริม เพาเวอร์ 3 จำกัด,8802,105553000000,37,82110100000000,2567-12-09T00:00:00,ชลบุรี
17/12/2570,38,GI(E) 4-006,บริษัท วอล์คเกอร์ เอ็กซอสท์ (ประเทศไทย) จำกัด,7702,105544000000,38,72110300000000,2567-12-18T00:00:00,ชลบุรี
17/12/2570,39,GI(E) 4-008,บริษัท แชฟฟ์เลอร์ แมนูแฟคเจอริ่ง (ประเทศไทย) จำกัด,7702,215554000000,39,72410000000000,2567-12-18T00:00:00,ชลบุรี
17/12/2570,40,GI(E) 4-011,บริษัท คอบร้า อินเตอร์เนชั่นแนล จำกัด,8600,105528000000,40,72110500000000,2567-12-18T00:00:00,ชลบุรี
17/12/2570,41,GI(E) 4-016,บริษัท มิตซูบิชิ เอลเลเวเตอร์ เอเซีย จำกัด,7000,105534000000,41,72110200000000,2567-12-18T00:00:00,ชลบุรี
27/4/2571,42,GI(E) 4-033,บริษัท อูซูอิ อินเตอร์เนชั่นแนล คอร์ปอเรชั่น (ไทยแลนด์) จำกัด,7702,105543000000,42,82110100000000,2568-04-28T00:00:00,ชลบุรี
27/4/2571,43,GI(E) 4-036,บริษัท กรีน เมทัลส์ (ประเทศไทย) จำกัด,10500,245548000000,43,72370000000000,2568-04-28T00:00:00,ชลบุรี
27/4/2571,44,GI(E) 4-037,บริษัท ไทยผลิตภัณฑ์ยิบซั่ม จำกัด (มหาชน),5801,107537000000,44,82060000000000,2568-04-28T00:00:00,ชลบุรี
27/4/2571,45,GI(E) 4-044,บริษัท สยามคูโบต้าคอร์ปอเรชั่น จำกัด,7000,135553000000,45,72110100000000,2568-04-28T00:00:00,ชลบุรี
27/4/2571,46,GI(E) 4-046,บริษัท ฮีดากา ซูซูโทกุ (ประเทศไทย) จำกัด,6411,205557000000,46,10200100000000,2568-04-28T00:00:00,ชลบุรี
27/4/2571,47,GI(E) 4-047,บริษัท มิตซูบิชิ มอเตอร์ส (ประเทศไทย) จำกัด,7701,105530000000,47,72060200000000,2568-04-28T00:00:00,ชลบุรี
27/4/2571,48,GI(E) 4-048,บริษัท มิตซูบิชิ มอเตอร์ส (ประเทศไทย) จำกัด,7701,105530000000,48,82060300000000,2568-04-28T00:00:00,ชลบุรี
27/4/2571,49,GI(E) 4-049,บริษัท มิตซูบิชิ มอเตอร์ส (ประเทศไทย) จำกัด,9501,105530000000,49,20200000000000,2568-04-28T00:00:00,ชลบุรี
27/4/2571,50,GI(E) 4-050,บริษัท อูซูอิ อินเตอร์เนชั่นแนล คอร์ปอเรชั่น (ไทยแลนด์) จำกัด,7702,105543000000,50,72110700000000,2568-04-28T00:00:00,ชลบุรี
27/4/2571,51,GI(E) 4-051,บริษัท เอ็มเอ็มทีเอช เอ็นจิ้น จำกัด,6500,105531000000,51,72060000000000,2568-04-28T00:00:00,ชลบุรี
27/4/2571,52,GI(E) 4-052,บริษัท เอ็มเอ็มทีเอช เอ็นจิ้น จำกัด,7702,105531000000,52,82060000000000,2568-04-28T00:00:00,ชลบุรี
27/4/2571,53,GI(E) 4-053,บริษัท เอ็มเอ็มทีเอช เอ็นจิ้น จำกัด,7702,105531000000,53,82060700000000,2568-04-28T00:00:00,ชลบุรี
27/4/2571,54,GI(E) 4-055,บริษัท ฮีดากา ซูซูโทกุ (ประเทศไทย) จำกัด,10500,205557000000,54,10200000000000,2568-04-28T00:00:00,ชลบุรี
27/4/2571,55,GI(E) 4-058,บริษัท มิตซูบิชิ อีเล็คทริค คอนซูมเมอร์ โปรดักส์ (ประเทศไทย) จำกัด,7100,115532000000,55,72110000000000,2568-04-28T00:00:00,ชลบุรี
27/4/2571,56,GI(E) 4-067,บริษัท มิตซูบิชิ อีเล็คทริค คอนซูมเมอร์ โปรดักส์ (ประเทศไทย) จำกัด,7100,115532000000,56,82110400000000,2568-04-28T00:00:00,ชลบุรี
27/4/2571,57,GI(E) 4-077,บริษัท ฮิตาชิ แอสเตโม ชลบุรี พาวเวอร์เทรน จำกัด,7702,115537000000,57,72110000000000,2568-04-28T00:00:00,ชลบุรี
25/5/2571,58,GI(E) 4-085,บริษัท สยาม สตีล มิลล์ เซอร์วิสเซส จำกัด,10600,105538000000,58,72080000000000,2568-05-26T00:00:00,ชลบุรี
25/5/2571,59,GI(E) 4-088,บริษัท ไทยอีสเทิร์น ไบโอ พาวเวอร์ จำกัด (มหาชน),8900,107568000000,59,20200300000000,2568-05-26T00:00:00,ชลบุรี
25/5/2571,60,GI(E) 4-089,บริษัท ไลอ้อน (ประเทศไทย) จำกัด,4703,105510000000,60,10200000000000,2568-05-26T00:00:00,ชลบุรี
4/8/2571,61,GI(E) 4-110,บริษัท ส.กนกการจัดการสิ่งแวดล้อม จำกัด,10600,115553000000,61,10200100000000,2568-05-08T00:00:00,ชลบุรี
4/8/2571,62,GI(E) 4-111,บริษัท นิเทระ (ประเทศไทย) จำกัด,7802,105548000000,62,72110600000000,2568-05-08T00:00:00,ชลบุรี
4/8/2571,63,GI(E) 4-120,บริษัท จี เจ สตีล จำกัด (มหาชน),5900,107538000000,63,72080200000000,2568-05-08T00:00:00,ชลบุรี
26/1/2572,64,อยู่ระหว่างดำเนินการ,บริษัท ยูนิไทย ชิปยาร์ด แอนด์ เอนจิเนียริ่ง จำกัด,7501,105533000000,64,10200900000000,2569-01-27T00:00:00,ชลบุรี
26/1/2572,65,อยู่ระหว่างดำเนินการ,บริษัท คาโอ อินดัสเตรียล (ประเทศไทย) จำกัด,4701,105507000000,65,72110100000000,2569-01-27T00:00:00,ชลบุรี
