จำนวน,_id,ปี,หัวข้อ,เพศ,ไตรมาส,จังหวัด
70115,321,2562,อุดมศึกษา - สายวิชาชีพ,ชาย,2,ชลบุรี
2642,322,2562,อุดมศึกษา - สายวิชาการศึกษา,ชาย,2,ชลบุรี
950,323,2562,อื่น ๆ,ชาย,2,ชลบุรี
20490,324,2562,ไม่ทราบ,ชาย,2,ชลบุรี
13460,325,2562,ไม่มีการศึกษา,หญิง,2,ชลบุรี
42894,326,2562,ต่ำกว่าประถมศึกษา,หญิง,2,ชลบุรี
64114,327,2562,ประถมศึกษา,หญิง,2,ชลบุรี
115533,328,2562,มัธยมศึกษาตอนต้น,หญิง,2,ชลบุรี
95835,329,2562,มัธยมศึกษาตอนปลาย - สายสามัญ,หญิง,2,ชลบุรี
20693,330,2562,มัธยมศึกษาตอนปลาย - สายอาชีวศึกษา,หญิง,2,ชลบุรี
0,331,2562,มัธยมศึกษาตอนปลาย - สายวิชาการศึกษา,หญิง,2,ชลบุรี
