สถานภาพการทางาน,ค่าข้อมูล,ที่มา,_id,ปี,เพศ,ไตรมาส,รายการ,จังหวัด,หน่วย
ลูกจ้างเอกชน,34295,สำนักงานสถิติจังหวัดมหาสารคาม,74,2565,ชาย,ไตรมาส 4,จำนวนผู้มีงานทำ,มหาสารคาม,คน
ลูกจ้างเอกชน,26736,สำนักงานสถิติจังหวัดมหาสารคาม,75,2565,หญิง,ไตรมาส 4,จำนวนผู้มีงานทำ,มหาสารคาม,คน
ทำงานส่วนตัว,189745,สำนักงานสถิติจังหวัดมหาสารคาม,76,2565,รวม,ไตรมาส 4,จำนวนผู้มีงานทำ,มหาสารคาม,คน
ทำงานส่วนตัว,118872,สำนักงานสถิติจังหวัดมหาสารคาม,77,2565,ชาย,ไตรมาส 4,จำนวนผู้มีงานทำ,มหาสารคาม,คน
ทำงานส่วนตัว,70873,สำนักงานสถิติจังหวัดมหาสารคาม,78,2565,หญิง,ไตรมาส 4,จำนวนผู้มีงานทำ,มหาสารคาม,คน
ช่วยธุรกิจครัวเรือน,91583,สำนักงานสถิติจังหวัดมหาสารคาม,79,2565,รวม,ไตรมาส 4,จำนวนผู้มีงานทำ,มหาสารคาม,คน
ช่วยธุรกิจครัวเรือน,35978,สำนักงานสถิติจังหวัดมหาสารคาม,80,2565,ชาย,ไตรมาส 4,จำนวนผู้มีงานทำ,มหาสารคาม,คน
ช่วยธุรกิจครัวเรือน,55605,สำนักงานสถิติจังหวัดมหาสารคาม,81,2565,หญิง,ไตรมาส 4,จำนวนผู้มีงานทำ,มหาสารคาม,คน
การรวมกลุ่ม,,สำนักงานสถิติจังหวัดมหาสารคาม,82,2565,รวม,ไตรมาส 4,จำนวนผู้มีงานทำ,มหาสารคาม,คน
การรวมกลุ่ม,,สำนักงานสถิติจังหวัดมหาสารคาม,83,2565,ชาย,ไตรมาส 4,จำนวนผู้มีงานทำ,มหาสารคาม,คน
การรวมกลุ่ม,,สำนักงานสถิติจังหวัดมหาสารคาม,84,2565,หญิง,ไตรมาส 4,จำนวนผู้มีงานทำ,มหาสารคาม,คน
รวมยอด,388539,สำนักงานสถิติจังหวัดมหาสารคาม,85,2566,รวม,ไตรมาส 1,จำนวนผู้มีงานทำ,มหาสารคาม,คน
รวมยอด,207583,สำนักงานสถิติจังหวัดมหาสารคาม,86,2566,ชาย,ไตรมาส 1,จำนวนผู้มีงานทำ,มหาสารคาม,คน
รวมยอด,180957,สำนักงานสถิติจังหวัดมหาสารคาม,87,2566,หญิง,ไตรมาส 1,จำนวนผู้มีงานทำ,มหาสารคาม,คน
นายจ้าง,5488,สำนักงานสถิติจังหวัดมหาสารคาม,88,2566,รวม,ไตรมาส 1,จำนวนผู้มีงานทำ,มหาสารคาม,คน
นายจ้าง,4990,สำนักงานสถิติจังหวัดมหาสารคาม,89,2566,ชาย,ไตรมาส 1,จำนวนผู้มีงานทำ,มหาสารคาม,คน
นายจ้าง,498,สำนักงานสถิติจังหวัดมหาสารคาม,90,2566,หญิง,ไตรมาส 1,จำนวนผู้มีงานทำ,มหาสารคาม,คน
ลูกจ้างรัฐบาล,41915,สำนักงานสถิติจังหวัดมหาสารคาม,91,2566,รวม,ไตรมาส 1,จำนวนผู้มีงานทำ,มหาสารคาม,คน
ลูกจ้างรัฐบาล,20827,สำนักงานสถิติจังหวัดมหาสารคาม,92,2566,ชาย,ไตรมาส 1,จำนวนผู้มีงานทำ,มหาสารคาม,คน
