PROVINCE,VALUE,QUARTER,SOURCE,_id,SEX,UNIT,LABOR_FORCE_STATUS,REGION,YEAR
เพชรบุรี,132.9,ไตรมาส 1,สำนักงานสถิติแห่งชาติ,73,หญิง,พันคน,1.1 มีงานทำ,ภาคกลาง,2563
เพชรบุรี,1.6,ไตรมาส 1,สำนักงานสถิติแห่งชาติ,74,หญิง,พันคน,1.2 ผู้ว่างงาน,ภาคกลาง,2563
ระยอง,324.9,ไตรมาส 1,สำนักงานสถิติแห่งชาติ,75,ชาย,พันคน,1.1 มีงานทำ,ภาคกลาง,2563
ระยอง,1.6,ไตรมาส 1,สำนักงานสถิติแห่งชาติ,76,ชาย,พันคน,1.2 ผู้ว่างงาน,ภาคกลาง,2563
ระยอง,0.5,ไตรมาส 1,สำนักงานสถิติแห่งชาติ,77,ชาย,พันคน,2. กำลังแรงงานที่รอฤดูกาล,ภาคกลาง,2563
ระยอง,257.6,ไตรมาส 1,สำนักงานสถิติแห่งชาติ,78,หญิง,พันคน,1.1 มีงานทำ,ภาคกลาง,2563
ระยอง,1.8,ไตรมาส 1,สำนักงานสถิติแห่งชาติ,79,หญิง,พันคน,1.2 ผู้ว่างงาน,ภาคกลาง,2563
ราชบุรี,249.0,ไตรมาส 1,สำนักงานสถิติแห่งชาติ,80,ชาย,พันคน,1.1 มีงานทำ,ภาคกลาง,2563
ราชบุรี,2.7,ไตรมาส 1,สำนักงานสถิติแห่งชาติ,81,ชาย,พันคน,1.2 ผู้ว่างงาน,ภาคกลาง,2563
ราชบุรี,0.7,ไตรมาส 1,สำนักงานสถิติแห่งชาติ,82,ชาย,พันคน,2. กำลังแรงงานที่รอฤดูกาล,ภาคกลาง,2563
ราชบุรี,215.0,ไตรมาส 1,สำนักงานสถิติแห่งชาติ,83,หญิง,พันคน,1.1 มีงานทำ,ภาคกลาง,2563
ราชบุรี,1.1,ไตรมาส 1,สำนักงานสถิติแห่งชาติ,84,หญิง,พันคน,1.2 ผู้ว่างงาน,ภาคกลาง,2563
ราชบุรี,0.4,ไตรมาส 1,สำนักงานสถิติแห่งชาติ,85,หญิง,พันคน,2. กำลังแรงงานที่รอฤดูกาล,ภาคกลาง,2563
ลพบุรี,225.0,ไตรมาส 1,สำนักงานสถิติแห่งชาติ,86,ชาย,พันคน,1.1 มีงานทำ,ภาคกลาง,2563
ลพบุรี,3.9,ไตรมาส 1,สำนักงานสถิติแห่งชาติ,87,ชาย,พันคน,1.2 ผู้ว่างงาน,ภาคกลาง,2563
ลพบุรี,6.9,ไตรมาส 1,สำนักงานสถิติแห่งชาติ,88,ชาย,พันคน,2. กำลังแรงงานที่รอฤดูกาล,ภาคกลาง,2563
ลพบุรี,185.8,ไตรมาส 1,สำนักงานสถิติแห่งชาติ,89,หญิง,พันคน,1.1 มีงานทำ,ภาคกลาง,2563
ลพบุรี,2.5,ไตรมาส 1,สำนักงานสถิติแห่งชาติ,90,หญิง,พันคน,1.2 ผู้ว่างงาน,ภาคกลาง,2563
ลพบุรี,5.4,ไตรมาส 1,สำนักงานสถิติแห่งชาติ,91,หญิง,พันคน,2. กำลังแรงงานที่รอฤดูกาล,ภาคกลาง,2563
สมุทรปราการ,728.7,ไตรมาส 1,สำนักงานสถิติแห่งชาติ,92,ชาย,พันคน,1.1 มีงานทำ,ภาคกลาง,2563
