ประเภท,_id,ปี,พื้นที่ปลูก,หน่วยนับ,หน่วยงานเจ้าของข้อมูล,อำเภอ,รายการข้อมูล,จังหวัด
ข้าวนาปี,11,2566,"186,574.00",ไร่,สำนักงานเกษตรจังหวัดสกลนคร,อากาศอำนวย,ข้อมูลพื้นที่ปลูกข้าวนาปี (ไร่) จังหวัดสกลนคร,สกลนคร
ข้าวนาปี,12,2566,"296,321.03",ไร่,สำนักงานเกษตรจังหวัดสกลนคร,สว่างแดนดิน,ข้อมูลพื้นที่ปลูกข้าวนาปี (ไร่) จังหวัดสกลนคร,สกลนคร
ข้าวนาปี,13,2566,"48,346.75",ไร่,สำนักงานเกษตรจังหวัดสกลนคร,ส่องดาว,ข้อมูลพื้นที่ปลูกข้าวนาปี (ไร่) จังหวัดสกลนคร,สกลนคร
ข้าวนาปี,14,2566,"36,179.00",ไร่,สำนักงานเกษตรจังหวัดสกลนคร,เต่างอย,ข้อมูลพื้นที่ปลูกข้าวนาปี (ไร่) จังหวัดสกลนคร,สกลนคร
ข้าวนาปี,15,2566,"59,875.00",ไร่,สำนักงานเกษตรจังหวัดสกลนคร,โคกศรีสุพรรณ,ข้อมูลพื้นที่ปลูกข้าวนาปี (ไร่) จังหวัดสกลนคร,สกลนคร
ข้าวนาปี,16,2566,"97,790.00",ไร่,สำนักงานเกษตรจังหวัดสกลนคร,เจริญศิลป์,ข้อมูลพื้นที่ปลูกข้าวนาปี (ไร่) จังหวัดสกลนคร,สกลนคร
ข้าวนาปี,17,2566,"106,054.00",ไร่,สำนักงานเกษตรจังหวัดสกลนคร,โพนนาแก้ว,ข้อมูลพื้นที่ปลูกข้าวนาปี (ไร่) จังหวัดสกลนคร,สกลนคร
ข้าวนาปี,18,2566,"37,261.00",ไร่,สำนักงานเกษตรจังหวัดสกลนคร,ภูพาน,ข้อมูลพื้นที่ปลูกข้าวนาปี (ไร่) จังหวัดสกลนคร,สกลนคร
ข้าวนาปี,19,2567,175472.81,ไร่,สำนักงานเกษตรจังหวัดสกลนคร,เมืองสกลนคร,ข้อมูลพื้นที่ปลูกข้าวนาปี (ไร่) จังหวัดสกลนคร,สกลนคร
ข้าวนาปี,20,2567,151700.79,ไร่,สำนักงานเกษตรจังหวัดสกลนคร,กุสุมาลย์,ข้อมูลพื้นที่ปลูกข้าวนาปี (ไร่) จังหวัดสกลนคร,สกลนคร
ข้าวนาปี,21,2567,60066.75,ไร่,สำนักงานเกษตรจังหวัดสกลนคร,กุดบาก,ข้อมูลพื้นที่ปลูกข้าวนาปี (ไร่) จังหวัดสกลนคร,สกลนคร
ข้าวนาปี,22,2567,153226.92,ไร่,สำนักงานเกษตรจังหวัดสกลนคร,พรรณานิคม,ข้อมูลพื้นที่ปลูกข้าวนาปี (ไร่) จังหวัดสกลนคร,สกลนคร
ข้าวนาปี,23,2567,70120.59,ไร่,สำนักงานเกษตรจังหวัดสกลนคร,พังโคน,ข้อมูลพื้นที่ปลูกข้าวนาปี (ไร่) จังหวัดสกลนคร,สกลนคร
ข้าวนาปี,24,2567,77370.41,ไร่,สำนักงานเกษตรจังหวัดสกลนคร,วาริชภูมิ,ข้อมูลพื้นที่ปลูกข้าวนาปี (ไร่) จังหวัดสกลนคร,สกลนคร
ข้าวนาปี,25,2567,17109.93,ไร่,สำนักงานเกษตรจังหวัดสกลนคร,นิคมน้ำอูน,ข้อมูลพื้นที่ปลูกข้าวนาปี (ไร่) จังหวัดสกลนคร,สกลนคร
ข้าวนาปี,26,2567,300382.33,ไร่,สำนักงานเกษตรจังหวัดสกลนคร,วานรนิวาส,ข้อมูลพื้นที่ปลูกข้าวนาปี (ไร่) จังหวัดสกลนคร,สกลนคร
ข้าวนาปี,27,2567,84178,ไร่,สำนักงานเกษตรจังหวัดสกลนคร,คำตากล้า,ข้อมูลพื้นที่ปลูกข้าวนาปี (ไร่) จังหวัดสกลนคร,สกลนคร
ข้าวนาปี,28,2567,141660.89,ไร่,สำนักงานเกษตรจังหวัดสกลนคร,บ้านม่วง,ข้อมูลพื้นที่ปลูกข้าวนาปี (ไร่) จังหวัดสกลนคร,สกลนคร
ข้าวนาปี,29,2567,184595.37,ไร่,สำนักงานเกษตรจังหวัดสกลนคร,อากาศอำนวย,ข้อมูลพื้นที่ปลูกข้าวนาปี (ไร่) จังหวัดสกลนคร,สกลนคร
ข้าวนาปี,30,2567,286768.45,ไร่,สำนักงานเกษตรจังหวัดสกลนคร,สว่างแดนดิน,ข้อมูลพื้นที่ปลูกข้าวนาปี (ไร่) จังหวัดสกลนคร,สกลนคร
ข้าวนาปี,31,2567,48544.25,ไร่,สำนักงานเกษตรจังหวัดสกลนคร,ส่องดาว,ข้อมูลพื้นที่ปลูกข้าวนาปี (ไร่) จังหวัดสกลนคร,สกลนคร
ข้าวนาปี,32,2567,35055.91,ไร่,สำนักงานเกษตรจังหวัดสกลนคร,เต่างอย,ข้อมูลพื้นที่ปลูกข้าวนาปี (ไร่) จังหวัดสกลนคร,สกลนคร
ข้าวนาปี,33,2567,58614.89,ไร่,สำนักงานเกษตรจังหวัดสกลนคร,โคกศรีสุพรรณ,ข้อมูลพื้นที่ปลูกข้าวนาปี (ไร่) จังหวัดสกลนคร,สกลนคร
ข้าวนาปี,34,2567,94201.91,ไร่,สำนักงานเกษตรจังหวัดสกลนคร,เจริญศิลป์,ข้อมูลพื้นที่ปลูกข้าวนาปี (ไร่) จังหวัดสกลนคร,สกลนคร
ข้าวนาปี,35,2567,105920.63,ไร่,สำนักงานเกษตรจังหวัดสกลนคร,โพนนาแก้ว,ข้อมูลพื้นที่ปลูกข้าวนาปี (ไร่) จังหวัดสกลนคร,สกลนคร
ข้าวนาปี,36,2567,33451.64,ไร่,สำนักงานเกษตรจังหวัดสกลนคร,ภูพาน,ข้อมูลพื้นที่ปลูกข้าวนาปี (ไร่) จังหวัดสกลนคร,สกลนคร
ข้าวนาปี,37,2568,174821.88,ไร่,สำนักงานเกษตรจังหวัดสกลนคร,เมืองสกลนคร,ข้อมูลพื้นที่ปลูกข้าวนาปี (ไร่) จังหวัดสกลนคร,สกลนคร
ข้าวนาปี,38,2568,150984.84,ไร่,สำนักงานเกษตรจังหวัดสกลนคร,กุสุมาลย์,ข้อมูลพื้นที่ปลูกข้าวนาปี (ไร่) จังหวัดสกลนคร,สกลนคร
ข้าวนาปี,39,2568,59804.66,ไร่,สำนักงานเกษตรจังหวัดสกลนคร,กุดบาก,ข้อมูลพื้นที่ปลูกข้าวนาปี (ไร่) จังหวัดสกลนคร,สกลนคร
ข้าวนาปี,40,2568,150199.76,ไร่,สำนักงานเกษตรจังหวัดสกลนคร,พรรณานิคม,ข้อมูลพื้นที่ปลูกข้าวนาปี (ไร่) จังหวัดสกลนคร,สกลนคร
ข้าวนาปี,41,2568,67603.48,ไร่,สำนักงานเกษตรจังหวัดสกลนคร,พังโคน,ข้อมูลพื้นที่ปลูกข้าวนาปี (ไร่) จังหวัดสกลนคร,สกลนคร
ข้าวนาปี,42,2568,77209.64,ไร่,สำนักงานเกษตรจังหวัดสกลนคร,วาริชภูมิ,ข้อมูลพื้นที่ปลูกข้าวนาปี (ไร่) จังหวัดสกลนคร,สกลนคร
ข้าวนาปี,43,2568,17213.01,ไร่,สำนักงานเกษตรจังหวัดสกลนคร,นิคมน้ำอูน,ข้อมูลพื้นที่ปลูกข้าวนาปี (ไร่) จังหวัดสกลนคร,สกลนคร
ข้าวนาปี,44,2568,297803.69,ไร่,สำนักงานเกษตรจังหวัดสกลนคร,วานรนิวาส,ข้อมูลพื้นที่ปลูกข้าวนาปี (ไร่) จังหวัดสกลนคร,สกลนคร
ข้าวนาปี,45,2568,81744.11,ไร่,สำนักงานเกษตรจังหวัดสกลนคร,คำตากล้า,ข้อมูลพื้นที่ปลูกข้าวนาปี (ไร่) จังหวัดสกลนคร,สกลนคร
ข้าวนาปี,46,2568,136491.34,ไร่,สำนักงานเกษตรจังหวัดสกลนคร,บ้านม่วง,ข้อมูลพื้นที่ปลูกข้าวนาปี (ไร่) จังหวัดสกลนคร,สกลนคร
ข้าวนาปี,47,2568,179251.91,ไร่,สำนักงานเกษตรจังหวัดสกลนคร,อากาศอำนวย,ข้อมูลพื้นที่ปลูกข้าวนาปี (ไร่) จังหวัดสกลนคร,สกลนคร
ข้าวนาปี,48,2568,283811.37,ไร่,สำนักงานเกษตรจังหวัดสกลนคร,สว่างแดนดิน,ข้อมูลพื้นที่ปลูกข้าวนาปี (ไร่) จังหวัดสกลนคร,สกลนคร
ข้าวนาปี,49,2568,46137.13,ไร่,สำนักงานเกษตรจังหวัดสกลนคร,ส่องดาว,ข้อมูลพื้นที่ปลูกข้าวนาปี (ไร่) จังหวัดสกลนคร,สกลนคร
ข้าวนาปี,50,2568,35347.67,ไร่,สำนักงานเกษตรจังหวัดสกลนคร,เต่างอย,ข้อมูลพื้นที่ปลูกข้าวนาปี (ไร่) จังหวัดสกลนคร,สกลนคร
ข้าวนาปี,51,2568,57605.07,ไร่,สำนักงานเกษตรจังหวัดสกลนคร,โคกศรีสุพรรณ,ข้อมูลพื้นที่ปลูกข้าวนาปี (ไร่) จังหวัดสกลนคร,สกลนคร
ข้าวนาปี,52,2568,94809.3,ไร่,สำนักงานเกษตรจังหวัดสกลนคร,เจริญศิลป์,ข้อมูลพื้นที่ปลูกข้าวนาปี (ไร่) จังหวัดสกลนคร,สกลนคร
ข้าวนาปี,53,2568,103818.48,ไร่,สำนักงานเกษตรจังหวัดสกลนคร,โพนนาแก้ว,ข้อมูลพื้นที่ปลูกข้าวนาปี (ไร่) จังหวัดสกลนคร,สกลนคร
ข้าวนาปี,54,2568,30717.13,ไร่,สำนักงานเกษตรจังหวัดสกลนคร,ภูพาน,ข้อมูลพื้นที่ปลูกข้าวนาปี (ไร่) จังหวัดสกลนคร,สกลนคร
