OCCUPATION,VALUE,SOURCE,_id,UNIT,REGION,YEAR
03) เจ้าหน้าที่เทคนิคและผู้ประกอบวิชาชีพที่เกี่ยวข้องกับด้านต่าง ๆ,11.3,สำนักงานสถิติแห่งชาติ,13,พันคน,2) ภาคกลาง,2563
04) เสมียน,4.27,สำนักงานสถิติแห่งชาติ,14,พันคน,2) ภาคกลาง,2563
05) พนักงานบริการ  และผู้จำหน่ายสินค้า,296.95,สำนักงานสถิติแห่งชาติ,15,พันคน,2) ภาคกลาง,2563
06) ผู้ปฏิบัติงานที่มีฝีมือในด้านการเกษตร ป่าไม้ และประมง,416.16,สำนักงานสถิติแห่งชาติ,16,พันคน,2) ภาคกลาง,2563
07) ช่างฝีมือและผู้ปฏิบัติงานที่เกี่ยวข้อง,110.93,สำนักงานสถิติแห่งชาติ,17,พันคน,2) ภาคกลาง,2563
08) ผู้ปฏิบัติการเครื่องจักรโรงงานและเครื่องจักร  และผู้ปฏิบัติงานด้านการประกอบ,57.59,สำนักงานสถิติแห่งชาติ,18,พันคน,2) ภาคกลาง,2563
09) ผู้ประกอบอาชีพงานพื้นฐาน,119.95,สำนักงานสถิติแห่งชาติ,19,พันคน,2) ภาคกลาง,2563
10) คนงานซึ่งมิได้จำแนกไว้ในหมวดอื่น,0.69,สำนักงานสถิติแห่งชาติ,20,พันคน,2) ภาคกลาง,2563
01) ผู้จัดการ ข้าราชการระดับอาวุโส และผู้บัญญัติกฎหมาย,14.11,สำนักงานสถิติแห่งชาติ,21,พันคน,3) ภาคเหนือ,2563
02) ผู้ประกอบวิชาชีพด้านต่างๆ,8.11,สำนักงานสถิติแห่งชาติ,22,พันคน,3) ภาคเหนือ,2563
03) เจ้าหน้าที่เทคนิคและผู้ประกอบวิชาชีพที่เกี่ยวข้องกับด้านต่าง ๆ,5.74,สำนักงานสถิติแห่งชาติ,23,พันคน,3) ภาคเหนือ,2563
04) เสมียน,0.79,สำนักงานสถิติแห่งชาติ,24,พันคน,3) ภาคเหนือ,2563
05) พนักงานบริการ  และผู้จำหน่ายสินค้า,172.6,สำนักงานสถิติแห่งชาติ,25,พันคน,3) ภาคเหนือ,2563
06) ผู้ปฏิบัติงานที่มีฝีมือในด้านการเกษตร ป่าไม้ และประมง,693.36,สำนักงานสถิติแห่งชาติ,26,พันคน,3) ภาคเหนือ,2563
07) ช่างฝีมือและผู้ปฏิบัติงานที่เกี่ยวข้อง,115.29,สำนักงานสถิติแห่งชาติ,27,พันคน,3) ภาคเหนือ,2563
08) ผู้ปฏิบัติการเครื่องจักรโรงงานและเครื่องจักร  และผู้ปฏิบัติงานด้านการประกอบ,18.85,สำนักงานสถิติแห่งชาติ,28,พันคน,3) ภาคเหนือ,2563
09) ผู้ประกอบอาชีพงานพื้นฐาน,99.46,สำนักงานสถิติแห่งชาติ,29,พันคน,3) ภาคเหนือ,2563
01) ผู้จัดการ ข้าราชการระดับอาวุโส และผู้บัญญัติกฎหมาย,36.93,สำนักงานสถิติแห่งชาติ,30,พันคน,4) ภาคตะวันออกเฉียงเหนือ,2563
02) ผู้ประกอบวิชาชีพด้านต่างๆ,9.67,สำนักงานสถิติแห่งชาติ,31,พันคน,4) ภาคตะวันออกเฉียงเหนือ,2563
03) เจ้าหน้าที่เทคนิคและผู้ประกอบวิชาชีพที่เกี่ยวข้องกับด้านต่าง ๆ,3.31,สำนักงานสถิติแห่งชาติ,32,พันคน,4) ภาคตะวันออกเฉียงเหนือ,2563
04) เสมียน,2.18,สำนักงานสถิติแห่งชาติ,33,พันคน,4) ภาคตะวันออกเฉียงเหนือ,2563
05) พนักงานบริการ  และผู้จำหน่ายสินค้า,155.43,สำนักงานสถิติแห่งชาติ,34,พันคน,4) ภาคตะวันออกเฉียงเหนือ,2563
06) ผู้ปฏิบัติงานที่มีฝีมือในด้านการเกษตร ป่าไม้ และประมง,1266.35,สำนักงานสถิติแห่งชาติ,35,พันคน,4) ภาคตะวันออกเฉียงเหนือ,2563
07) ช่างฝีมือและผู้ปฏิบัติงานที่เกี่ยวข้อง,80.84,สำนักงานสถิติแห่งชาติ,36,พันคน,4) ภาคตะวันออกเฉียงเหนือ,2563
08) ผู้ปฏิบัติการเครื่องจักรโรงงานและเครื่องจักร  และผู้ปฏิบัติงานด้านการประกอบ,17.56,สำนักงานสถิติแห่งชาติ,37,พันคน,4) ภาคตะวันออกเฉียงเหนือ,2563
09) ผู้ประกอบอาชีพงานพื้นฐาน,46.48,สำนักงานสถิติแห่งชาติ,38,พันคน,4) ภาคตะวันออกเฉียงเหนือ,2563
01) ผู้จัดการ ข้าราชการระดับอาวุโส และผู้บัญญัติกฎหมาย,9.49,สำนักงานสถิติแห่งชาติ,39,พันคน,5) ภาคใต้,2563
02) ผู้ประกอบวิชาชีพด้านต่างๆ,7.0,สำนักงานสถิติแห่งชาติ,40,พันคน,5) ภาคใต้,2563
03) เจ้าหน้าที่เทคนิคและผู้ประกอบวิชาชีพที่เกี่ยวข้องกับด้านต่าง ๆ,3.15,สำนักงานสถิติแห่งชาติ,41,พันคน,5) ภาคใต้,2563
04) เสมียน,0.87,สำนักงานสถิติแห่งชาติ,42,พันคน,5) ภาคใต้,2563
05) พนักงานบริการ  และผู้จำหน่ายสินค้า,114.19,สำนักงานสถิติแห่งชาติ,43,พันคน,5) ภาคใต้,2563
06) ผู้ปฏิบัติงานที่มีฝีมือในด้านการเกษตร ป่าไม้ และประมง,385.86,สำนักงานสถิติแห่งชาติ,44,พันคน,5) ภาคใต้,2563
07) ช่างฝีมือและผู้ปฏิบัติงานที่เกี่ยวข้อง,46.35,สำนักงานสถิติแห่งชาติ,45,พันคน,5) ภาคใต้,2563
08) ผู้ปฏิบัติการเครื่องจักรโรงงานและเครื่องจักร  และผู้ปฏิบัติงานด้านการประกอบ,12.68,สำนักงานสถิติแห่งชาติ,46,พันคน,5) ภาคใต้,2563
09) ผู้ประกอบอาชีพงานพื้นฐาน,30.41,สำนักงานสถิติแห่งชาติ,47,พันคน,5) ภาคใต้,2563
10) คนงานซึ่งมิได้จำแนกไว้ในหมวดอื่น,0.0,สำนักงานสถิติแห่งชาติ,48,พันคน,5) ภาคใต้,2563
01) ผู้จัดการ ข้าราชการระดับอาวุโส และผู้บัญญัติกฎหมาย,29.06,สำนักงานสถิติแห่งชาติ,49,พันคน,1) กรุงเทพมหานคร,2564
02) ผู้ประกอบวิชาชีพด้านต่างๆ,10.72,สำนักงานสถิติแห่งชาติ,50,พันคน,1) กรุงเทพมหานคร,2564
03) เจ้าหน้าที่เทคนิคและผู้ประกอบวิชาชีพที่เกี่ยวข้องกับด้านต่าง ๆ,11.28,สำนักงานสถิติแห่งชาติ,51,พันคน,1) กรุงเทพมหานคร,2564
04) เสมียน,3.78,สำนักงานสถิติแห่งชาติ,52,พันคน,1) กรุงเทพมหานคร,2564
05) พนักงานบริการ  และผู้จำหน่ายสินค้า,141.99,สำนักงานสถิติแห่งชาติ,53,พันคน,1) กรุงเทพมหานคร,2564
06) ผู้ปฏิบัติงานที่มีฝีมือในด้านการเกษตร ป่าไม้ และประมง,1.93,สำนักงานสถิติแห่งชาติ,54,พันคน,1) กรุงเทพมหานคร,2564
07) ช่างฝีมือและผู้ปฏิบัติงานที่เกี่ยวข้อง,38.63,สำนักงานสถิติแห่งชาติ,55,พันคน,1) กรุงเทพมหานคร,2564
08) ผู้ปฏิบัติการเครื่องจักรโรงงานและเครื่องจักร  และผู้ปฏิบัติงานด้านการประกอบ,33.2,สำนักงานสถิติแห่งชาติ,56,พันคน,1) กรุงเทพมหานคร,2564
09) ผู้ประกอบอาชีพงานพื้นฐาน,26.98,สำนักงานสถิติแห่งชาติ,57,พันคน,1) กรุงเทพมหานคร,2564
10) คนงานซึ่งมิได้จำแนกไว้ในหมวดอื่น,0.36,สำนักงานสถิติแห่งชาติ,58,พันคน,1) กรุงเทพมหานคร,2564
01) ผู้จัดการ ข้าราชการระดับอาวุโส และผู้บัญญัติกฎหมาย,30.07,สำนักงานสถิติแห่งชาติ,59,พันคน,2) ภาคกลาง,2564
02) ผู้ประกอบวิชาชีพด้านต่างๆ,10.01,สำนักงานสถิติแห่งชาติ,60,พันคน,2) ภาคกลาง,2564
03) เจ้าหน้าที่เทคนิคและผู้ประกอบวิชาชีพที่เกี่ยวข้องกับด้านต่าง ๆ,11.48,สำนักงานสถิติแห่งชาติ,61,พันคน,2) ภาคกลาง,2564
04) เสมียน,3.44,สำนักงานสถิติแห่งชาติ,62,พันคน,2) ภาคกลาง,2564
05) พนักงานบริการ  และผู้จำหน่ายสินค้า,306.0,สำนักงานสถิติแห่งชาติ,63,พันคน,2) ภาคกลาง,2564
06) ผู้ปฏิบัติงานที่มีฝีมือในด้านการเกษตร ป่าไม้ และประมง,453.98,สำนักงานสถิติแห่งชาติ,64,พันคน,2) ภาคกลาง,2564
07) ช่างฝีมือและผู้ปฏิบัติงานที่เกี่ยวข้อง,111.6,สำนักงานสถิติแห่งชาติ,65,พันคน,2) ภาคกลาง,2564
08) ผู้ปฏิบัติการเครื่องจักรโรงงานและเครื่องจักร  และผู้ปฏิบัติงานด้านการประกอบ,54.77,สำนักงานสถิติแห่งชาติ,66,พันคน,2) ภาคกลาง,2564
09) ผู้ประกอบอาชีพงานพื้นฐาน,122.69,สำนักงานสถิติแห่งชาติ,67,พันคน,2) ภาคกลาง,2564
10) คนงานซึ่งมิได้จำแนกไว้ในหมวดอื่น,0.0,สำนักงานสถิติแห่งชาติ,68,พันคน,2) ภาคกลาง,2564
01) ผู้จัดการ ข้าราชการระดับอาวุโส และผู้บัญญัติกฎหมาย,10.96,สำนักงานสถิติแห่งชาติ,69,พันคน,3) ภาคเหนือ,2564
02) ผู้ประกอบวิชาชีพด้านต่างๆ,6.47,สำนักงานสถิติแห่งชาติ,70,พันคน,3) ภาคเหนือ,2564
03) เจ้าหน้าที่เทคนิคและผู้ประกอบวิชาชีพที่เกี่ยวข้องกับด้านต่าง ๆ,5.47,สำนักงานสถิติแห่งชาติ,71,พันคน,3) ภาคเหนือ,2564
04) เสมียน,1.44,สำนักงานสถิติแห่งชาติ,72,พันคน,3) ภาคเหนือ,2564
05) พนักงานบริการ  และผู้จำหน่ายสินค้า,163.0,สำนักงานสถิติแห่งชาติ,73,พันคน,3) ภาคเหนือ,2564
06) ผู้ปฏิบัติงานที่มีฝีมือในด้านการเกษตร ป่าไม้ และประมง,736.89,สำนักงานสถิติแห่งชาติ,74,พันคน,3) ภาคเหนือ,2564
07) ช่างฝีมือและผู้ปฏิบัติงานที่เกี่ยวข้อง,104.06,สำนักงานสถิติแห่งชาติ,75,พันคน,3) ภาคเหนือ,2564
08) ผู้ปฏิบัติการเครื่องจักรโรงงานและเครื่องจักร  และผู้ปฏิบัติงานด้านการประกอบ,16.0,สำนักงานสถิติแห่งชาติ,76,พันคน,3) ภาคเหนือ,2564
09) ผู้ประกอบอาชีพงานพื้นฐาน,84.07,สำนักงานสถิติแห่งชาติ,77,พันคน,3) ภาคเหนือ,2564
01) ผู้จัดการ ข้าราชการระดับอาวุโส และผู้บัญญัติกฎหมาย,31.28,สำนักงานสถิติแห่งชาติ,78,พันคน,4) ภาคตะวันออกเฉียงเหนือ,2564
02) ผู้ประกอบวิชาชีพด้านต่างๆ,10.81,สำนักงานสถิติแห่งชาติ,79,พันคน,4) ภาคตะวันออกเฉียงเหนือ,2564
03) เจ้าหน้าที่เทคนิคและผู้ประกอบวิชาชีพที่เกี่ยวข้องกับด้านต่าง ๆ,3.62,สำนักงานสถิติแห่งชาติ,80,พันคน,4) ภาคตะวันออกเฉียงเหนือ,2564
04) เสมียน,1.43,สำนักงานสถิติแห่งชาติ,81,พันคน,4) ภาคตะวันออกเฉียงเหนือ,2564
05) พนักงานบริการ  และผู้จำหน่ายสินค้า,167.89,สำนักงานสถิติแห่งชาติ,82,พันคน,4) ภาคตะวันออกเฉียงเหนือ,2564
06) ผู้ปฏิบัติงานที่มีฝีมือในด้านการเกษตร ป่าไม้ และประมง,1350.42,สำนักงานสถิติแห่งชาติ,83,พันคน,4) ภาคตะวันออกเฉียงเหนือ,2564
07) ช่างฝีมือและผู้ปฏิบัติงานที่เกี่ยวข้อง,80.34,สำนักงานสถิติแห่งชาติ,84,พันคน,4) ภาคตะวันออกเฉียงเหนือ,2564
08) ผู้ปฏิบัติการเครื่องจักรโรงงานและเครื่องจักร  และผู้ปฏิบัติงานด้านการประกอบ,16.48,สำนักงานสถิติแห่งชาติ,85,พันคน,4) ภาคตะวันออกเฉียงเหนือ,2564
09) ผู้ประกอบอาชีพงานพื้นฐาน,56.15,สำนักงานสถิติแห่งชาติ,86,พันคน,4) ภาคตะวันออกเฉียงเหนือ,2564
01) ผู้จัดการ ข้าราชการระดับอาวุโส และผู้บัญญัติกฎหมาย,10.01,สำนักงานสถิติแห่งชาติ,87,พันคน,5) ภาคใต้,2564
02) ผู้ประกอบวิชาชีพด้านต่างๆ,3.92,สำนักงานสถิติแห่งชาติ,88,พันคน,5) ภาคใต้,2564
03) เจ้าหน้าที่เทคนิคและผู้ประกอบวิชาชีพที่เกี่ยวข้องกับด้านต่าง ๆ,3.67,สำนักงานสถิติแห่งชาติ,89,พันคน,5) ภาคใต้,2564
04) เสมียน,1.38,สำนักงานสถิติแห่งชาติ,90,พันคน,5) ภาคใต้,2564
05) พนักงานบริการ  และผู้จำหน่ายสินค้า,110.07,สำนักงานสถิติแห่งชาติ,91,พันคน,5) ภาคใต้,2564
06) ผู้ปฏิบัติงานที่มีฝีมือในด้านการเกษตร ป่าไม้ และประมง,423.05,สำนักงานสถิติแห่งชาติ,92,พันคน,5) ภาคใต้,2564
07) ช่างฝีมือและผู้ปฏิบัติงานที่เกี่ยวข้อง,40.93,สำนักงานสถิติแห่งชาติ,93,พันคน,5) ภาคใต้,2564
08) ผู้ปฏิบัติการเครื่องจักรโรงงานและเครื่องจักร  และผู้ปฏิบัติงานด้านการประกอบ,12.81,สำนักงานสถิติแห่งชาติ,94,พันคน,5) ภาคใต้,2564
09) ผู้ประกอบอาชีพงานพื้นฐาน,27.64,สำนักงานสถิติแห่งชาติ,95,พันคน,5) ภาคใต้,2564
10) คนงานซึ่งมิได้จำแนกไว้ในหมวดอื่น,0.0,สำนักงานสถิติแห่งชาติ,96,พันคน,5) ภาคใต้,2564
01) ผู้จัดการ ข้าราชการระดับอาวุโส และผู้บัญญัติกฎหมาย,20.48,สำนักงานสถิติแห่งชาติ,97,พันคน,1) กรุงเทพมหานคร,2565
02) ผู้ประกอบวิชาชีพด้านต่างๆ,10.81,สำนักงานสถิติแห่งชาติ,98,พันคน,1) กรุงเทพมหานคร,2565
03) เจ้าหน้าที่เทคนิคและผู้ประกอบวิชาชีพที่เกี่ยวข้องกับด้านต่าง ๆ,8.75,สำนักงานสถิติแห่งชาติ,99,พันคน,1) กรุงเทพมหานคร,2565
04) เสมียน,8.03,สำนักงานสถิติแห่งชาติ,100,พันคน,1) กรุงเทพมหานคร,2565
05) พนักงานบริการ  และผู้จำหน่ายสินค้า,166.75,สำนักงานสถิติแห่งชาติ,101,พันคน,1) กรุงเทพมหานคร,2565
06) ผู้ปฏิบัติงานที่มีฝีมือในด้านการเกษตร ป่าไม้ และประมง,4.22,สำนักงานสถิติแห่งชาติ,102,พันคน,1) กรุงเทพมหานคร,2565
07) ช่างฝีมือและผู้ปฏิบัติงานที่เกี่ยวข้อง,32.64,สำนักงานสถิติแห่งชาติ,103,พันคน,1) กรุงเทพมหานคร,2565
08) ผู้ปฏิบัติการเครื่องจักรโรงงานและเครื่องจักร  และผู้ปฏิบัติงานด้านการประกอบ,40.52,สำนักงานสถิติแห่งชาติ,104,พันคน,1) กรุงเทพมหานคร,2565
09) ผู้ประกอบอาชีพงานพื้นฐาน,46.48,สำนักงานสถิติแห่งชาติ,105,พันคน,1) กรุงเทพมหานคร,2565
10) คนงานซึ่งมิได้จำแนกไว้ในหมวดอื่น,0.0,สำนักงานสถิติแห่งชาติ,106,พันคน,1) กรุงเทพมหานคร,2565
01) ผู้จัดการ ข้าราชการระดับอาวุโส และผู้บัญญัติกฎหมาย,35.49,สำนักงานสถิติแห่งชาติ,107,พันคน,2) ภาคกลาง,2565
02) ผู้ประกอบวิชาชีพด้านต่างๆ,15.78,สำนักงานสถิติแห่งชาติ,108,พันคน,2) ภาคกลาง,2565
03) เจ้าหน้าที่เทคนิคและผู้ประกอบวิชาชีพที่เกี่ยวข้องกับด้านต่าง ๆ,12.73,สำนักงานสถิติแห่งชาติ,109,พันคน,2) ภาคกลาง,2565
04) เสมียน,4.46,สำนักงานสถิติแห่งชาติ,110,พันคน,2) ภาคกลาง,2565
05) พนักงานบริการ  และผู้จำหน่ายสินค้า,290.85,สำนักงานสถิติแห่งชาติ,111,พันคน,2) ภาคกลาง,2565
06) ผู้ปฏิบัติงานที่มีฝีมือในด้านการเกษตร ป่าไม้ และประมง,427.2,สำนักงานสถิติแห่งชาติ,112,พันคน,2) ภาคกลาง,2565
07) ช่างฝีมือและผู้ปฏิบัติงานที่เกี่ยวข้อง,113.98,สำนักงานสถิติแห่งชาติ,113,พันคน,2) ภาคกลาง,2565
08) ผู้ปฏิบัติการเครื่องจักรโรงงานและเครื่องจักร  และผู้ปฏิบัติงานด้านการประกอบ,49.21,สำนักงานสถิติแห่งชาติ,114,พันคน,2) ภาคกลาง,2565
09) ผู้ประกอบอาชีพงานพื้นฐาน,133.92,สำนักงานสถิติแห่งชาติ,115,พันคน,2) ภาคกลาง,2565
10) คนงานซึ่งมิได้จำแนกไว้ในหมวดอื่น,0.0,สำนักงานสถิติแห่งชาติ,116,พันคน,2) ภาคกลาง,2565
01) ผู้จัดการ ข้าราชการระดับอาวุโส และผู้บัญญัติกฎหมาย,13.15,สำนักงานสถิติแห่งชาติ,117,พันคน,3) ภาคเหนือ,2565
02) ผู้ประกอบวิชาชีพด้านต่างๆ,8.17,สำนักงานสถิติแห่งชาติ,118,พันคน,3) ภาคเหนือ,2565
03) เจ้าหน้าที่เทคนิคและผู้ประกอบวิชาชีพที่เกี่ยวข้องกับด้านต่าง ๆ,5.86,สำนักงานสถิติแห่งชาติ,119,พันคน,3) ภาคเหนือ,2565
04) เสมียน,3.22,สำนักงานสถิติแห่งชาติ,120,พันคน,3) ภาคเหนือ,2565
05) พนักงานบริการ  และผู้จำหน่ายสินค้า,192.62,สำนักงานสถิติแห่งชาติ,121,พันคน,3) ภาคเหนือ,2565
06) ผู้ปฏิบัติงานที่มีฝีมือในด้านการเกษตร ป่าไม้ และประมง,664.29,สำนักงานสถิติแห่งชาติ,122,พันคน,3) ภาคเหนือ,2565
07) ช่างฝีมือและผู้ปฏิบัติงานที่เกี่ยวข้อง,98.54,สำนักงานสถิติแห่งชาติ,123,พันคน,3) ภาคเหนือ,2565
08) ผู้ปฏิบัติการเครื่องจักรโรงงานและเครื่องจักร  และผู้ปฏิบัติงานด้านการประกอบ,17.82,สำนักงานสถิติแห่งชาติ,124,พันคน,3) ภาคเหนือ,2565
09) ผู้ประกอบอาชีพงานพื้นฐาน,107.2,สำนักงานสถิติแห่งชาติ,125,พันคน,3) ภาคเหนือ,2565
01) ผู้จัดการ ข้าราชการระดับอาวุโส และผู้บัญญัติกฎหมาย,22.58,สำนักงานสถิติแห่งชาติ,126,พันคน,4) ภาคตะวันออกเฉียงเหนือ,2565
02) ผู้ประกอบวิชาชีพด้านต่างๆ,8.27,สำนักงานสถิติแห่งชาติ,127,พันคน,4) ภาคตะวันออกเฉียงเหนือ,2565
03) เจ้าหน้าที่เทคนิคและผู้ประกอบวิชาชีพที่เกี่ยวข้องกับด้านต่าง ๆ,5.16,สำนักงานสถิติแห่งชาติ,128,พันคน,4) ภาคตะวันออกเฉียงเหนือ,2565
04) เสมียน,0.23,สำนักงานสถิติแห่งชาติ,129,พันคน,4) ภาคตะวันออกเฉียงเหนือ,2565
05) พนักงานบริการ  และผู้จำหน่ายสินค้า,169.91,สำนักงานสถิติแห่งชาติ,130,พันคน,4) ภาคตะวันออกเฉียงเหนือ,2565
06) ผู้ปฏิบัติงานที่มีฝีมือในด้านการเกษตร ป่าไม้ และประมง,1256.62,สำนักงานสถิติแห่งชาติ,131,พันคน,4) ภาคตะวันออกเฉียงเหนือ,2565
07) ช่างฝีมือและผู้ปฏิบัติงานที่เกี่ยวข้อง,93.81,สำนักงานสถิติแห่งชาติ,132,พันคน,4) ภาคตะวันออกเฉียงเหนือ,2565
08) ผู้ปฏิบัติการเครื่องจักรโรงงานและเครื่องจักร  และผู้ปฏิบัติงานด้านการประกอบ,11.94,สำนักงานสถิติแห่งชาติ,133,พันคน,4) ภาคตะวันออกเฉียงเหนือ,2565
09) ผู้ประกอบอาชีพงานพื้นฐาน,57.65,สำนักงานสถิติแห่งชาติ,134,พันคน,4) ภาคตะวันออกเฉียงเหนือ,2565
01) ผู้จัดการ ข้าราชการระดับอาวุโส และผู้บัญญัติกฎหมาย,11.66,สำนักงานสถิติแห่งชาติ,135,พันคน,5) ภาคใต้,2565
02) ผู้ประกอบวิชาชีพด้านต่างๆ,4.92,สำนักงานสถิติแห่งชาติ,136,พันคน,5) ภาคใต้,2565
03) เจ้าหน้าที่เทคนิคและผู้ประกอบวิชาชีพที่เกี่ยวข้องกับด้านต่าง ๆ,3.76,สำนักงานสถิติแห่งชาติ,137,พันคน,5) ภาคใต้,2565
04) เสมียน,3.5,สำนักงานสถิติแห่งชาติ,138,พันคน,5) ภาคใต้,2565
05) พนักงานบริการ  และผู้จำหน่ายสินค้า,115.17,สำนักงานสถิติแห่งชาติ,139,พันคน,5) ภาคใต้,2565
06) ผู้ปฏิบัติงานที่มีฝีมือในด้านการเกษตร ป่าไม้ และประมง,357.65,สำนักงานสถิติแห่งชาติ,140,พันคน,5) ภาคใต้,2565
07) ช่างฝีมือและผู้ปฏิบัติงานที่เกี่ยวข้อง,47.69,สำนักงานสถิติแห่งชาติ,141,พันคน,5) ภาคใต้,2565
08) ผู้ปฏิบัติการเครื่องจักรโรงงานและเครื่องจักร  และผู้ปฏิบัติงานด้านการประกอบ,9.13,สำนักงานสถิติแห่งชาติ,142,พันคน,5) ภาคใต้,2565
09) ผู้ประกอบอาชีพงานพื้นฐาน,31.25,สำนักงานสถิติแห่งชาติ,143,พันคน,5) ภาคใต้,2565
01) ผู้จัดการ ข้าราชการระดับอาวุโส และผู้บัญญัติกฎหมาย,39.34,สำนักงานสถิติแห่งชาติ,144,พันคน,1) กรุงเทพมหานคร,2566
02) ผู้ประกอบวิชาชีพด้านต่างๆ,26.15,สำนักงานสถิติแห่งชาติ,145,พันคน,1) กรุงเทพมหานคร,2566
03) เจ้าหน้าที่เทคนิคและผู้ประกอบวิชาชีพที่เกี่ยวข้องกับด้านต่าง ๆ,23.13,สำนักงานสถิติแห่งชาติ,146,พันคน,1) กรุงเทพมหานคร,2566
04) เสมียน,22.19,สำนักงานสถิติแห่งชาติ,147,พันคน,1) กรุงเทพมหานคร,2566
05) พนักงานบริการ และผู้จำหน่ายสินค้า,309.61,สำนักงานสถิติแห่งชาติ,148,พันคน,1) กรุงเทพมหานคร,2566
06) ผู้ปฏิบัติงานที่มีฝีมือในด้านการเกษตร ป่าไม้ และประมง,13.11,สำนักงานสถิติแห่งชาติ,149,พันคน,1) กรุงเทพมหานคร,2566
07) ช่างฝีมือและผู้ปฏิบัติงานที่เกี่ยวข้อง,80.66,สำนักงานสถิติแห่งชาติ,150,พันคน,1) กรุงเทพมหานคร,2566
08) ผู้ปฏิบัติการเครื่องจักรโรงงานและเครื่องจักร และผู้ปฏิบัติงานด้านการประกอบ,76.23,สำนักงานสถิติแห่งชาติ,151,พันคน,1) กรุงเทพมหานคร,2566
09) ผู้ประกอบอาชีพงานพื้นฐาน,110.86,สำนักงานสถิติแห่งชาติ,152,พันคน,1) กรุงเทพมหานคร,2566
10) คนงานซึ่งมิได้จำแนกไว้ในหมวดอื่น,0.0,สำนักงานสถิติแห่งชาติ,153,พันคน,1) กรุงเทพมหานคร,2566
99) ไม่ทราบ,0.0,สำนักงานสถิติแห่งชาติ,154,พันคน,1) กรุงเทพมหานคร,2566
01) ผู้จัดการ ข้าราชการระดับอาวุโส และผู้บัญญัติกฎหมาย,71.34,สำนักงานสถิติแห่งชาติ,155,พันคน,2) ภาคกลาง,2566
02) ผู้ประกอบวิชาชีพด้านต่างๆ,21.96,สำนักงานสถิติแห่งชาติ,156,พันคน,2) ภาคกลาง,2566
03) เจ้าหน้าที่เทคนิคและผู้ประกอบวิชาชีพที่เกี่ยวข้องกับด้านต่าง ๆ,29.05,สำนักงานสถิติแห่งชาติ,157,พันคน,2) ภาคกลาง,2566
04) เสมียน,13.36,สำนักงานสถิติแห่งชาติ,158,พันคน,2) ภาคกลาง,2566
05) พนักงานบริการ และผู้จำหน่ายสินค้า,715.2,สำนักงานสถิติแห่งชาติ,159,พันคน,2) ภาคกลาง,2566
06) ผู้ปฏิบัติงานที่มีฝีมือในด้านการเกษตร ป่าไม้ และประมง,865.41,สำนักงานสถิติแห่งชาติ,160,พันคน,2) ภาคกลาง,2566
07) ช่างฝีมือและผู้ปฏิบัติงานที่เกี่ยวข้อง,267.53,สำนักงานสถิติแห่งชาติ,161,พันคน,2) ภาคกลาง,2566
08) ผู้ปฏิบัติการเครื่องจักรโรงงานและเครื่องจักร และผู้ปฏิบัติงานด้านการประกอบ,157.03,สำนักงานสถิติแห่งชาติ,162,พันคน,2) ภาคกลาง,2566
09) ผู้ประกอบอาชีพงานพื้นฐาน,276.24,สำนักงานสถิติแห่งชาติ,163,พันคน,2) ภาคกลาง,2566
