_id,ปี,โรงงาน,จำนวน,ด้าน,หน่วย,รายการสถิติทางการ
31,2567,นางสาวประไพ กันธิยะ,"23,000,000.00",ด้านการเกษตร,บาท,มูลค่าการลงทุนของอุตสาหกรรม ด้านการเกษตรและด้านอาหาร
32,2567,ทรัพย์ดวงทิพย์ค้าข้าว,"26,000,000.00",ด้านการเกษตร,บาท,มูลค่าการลงทุนของอุตสาหกรรม ด้านการเกษตรและด้านอาหาร
33,2567,บริษัท เคเค เอนเนอร์จี 1962 จำกัด,"53,000,000.00",ด้านการเกษตร,บาท,มูลค่าการลงทุนของอุตสาหกรรม ด้านการเกษตรและด้านอาหาร
34,2567,นายณัฐกาญจน์ ดวงดี,"19,000,000.00",ด้านการเกษตร,บาท,มูลค่าการลงทุนของอุตสาหกรรม ด้านการเกษตรและด้านอาหาร
35,2567,บริษัท เกิดอู่ทอง จำกัด,"85,000,000.00",ด้านการเกษตร,บาท,มูลค่าการลงทุนของอุตสาหกรรม ด้านการเกษตรและด้านอาหาร
36,2567,หน่อคำพืชผล,"6,200,000.00",ด้านการเกษตร,บาท,มูลค่าการลงทุนของอุตสาหกรรม ด้านการเกษตรและด้านอาหาร
37,2567,ลานนาการเกษตร,"7,400,000.00",ด้านการเกษตร,บาท,มูลค่าการลงทุนของอุตสาหกรรม ด้านการเกษตรและด้านอาหาร
38,2567,โรงสีข้าวสามหนึ่ง,"19,000,000.00",ด้านการเกษตร,บาท,มูลค่าการลงทุนของอุตสาหกรรม ด้านการเกษตรและด้านอาหาร
39,2567,มูลนิธิพัฒนาชาวเขาแบบผสมผสาน,"92,433,196.56",ด้านการเกษตร,บาท,มูลค่าการลงทุนของอุตสาหกรรม ด้านการเกษตรและด้านอาหาร
40,2563,บริษัท ที.เค.เค.จันทบุรี ฟู้ดส์ จำกัด ," 81,911,000	 ",ด้านอาหาร,บาท,มูลค่าการลงทุนของอุตสาหกรรม ด้านการเกษตรและด้านอาหาร
41,2563,บริษัท บูโอนิซซิโม จำกัด ,"4,000,000",ด้านอาหาร,บาท,มูลค่าการลงทุนของอุตสาหกรรม ด้านการเกษตรและด้านอาหาร
