province,Soure,ประเภทอุตสาหกรรม,_id,year,value,unit
ชัยภูมิ,สำนักงานอุตสาหกรรมจังหวัดชัยภูมิ,ยางและผลิตภัณฑ์ยาง,13,2562,3,แห่ง
ชัยภูมิ,สำนักงานอุตสาหกรรมจังหวัดชัยภูมิ,ผลิตภัณฑ์พลาสติก,14,2562,18,แห่ง
ชัยภูมิ,สำนักงานอุตสาหกรรมจังหวัดชัยภูมิ,ผลิตภัณฑ์อโลหะ,15,2562,106,แห่ง
ชัยภูมิ,สำนักงานอุตสาหกรรมจังหวัดชัยภูมิ,ผลิตภัณฑ์โลหะขั้นมูลฐาน,16,2562,0,แห่ง
ชัยภูมิ,สำนักงานอุตสาหกรรมจังหวัดชัยภูมิ,ผลิตภัณฑ์โลหะ,17,2562,64,แห่ง
ชัยภูมิ,สำนักงานอุตสาหกรรมจังหวัดชัยภูมิ,ผลิตภัณฑ์เครื่องจักร และเครื่องกล,18,2562,49,แห่ง
ชัยภูมิ,สำนักงานอุตสาหกรรมจังหวัดชัยภูมิ,ผลิตภัณฑ์เครื่องใช้ไฟฟ้าและอุปกรณ์,19,2562,1,แห่ง
ชัยภูมิ,สำนักงานอุตสาหกรรมจังหวัดชัยภูมิ,ผลิตยานพาหนะและอุปกรณ์ รวมทั้งการซ่อมยานพาหนะและอุปกรณ์,20,2562,0,แห่ง
ชัยภูมิ,สำนักงานอุตสาหกรรมจังหวัดชัยภูมิ,การผลิตอื่น ๆ,21,2562,62,แห่ง
ชัยภูมิ,สำนักงานอุตสาหกรรมจังหวัดชัยภูมิ,ผลิตภัณฑ์จากพืช,22,2563,103,แห่ง
ชัยภูมิ,สำนักงานอุตสาหกรรมจังหวัดชัยภูมิ,อุตสาหกรรมอาหาร,23,2563,30,แห่ง
ชัยภูมิ,สำนักงานอุตสาหกรรมจังหวัดชัยภูมิ,อุตสาหกรรมเครื่องดื่ม,24,2563,4,แห่ง
ชัยภูมิ,สำนักงานอุตสาหกรรมจังหวัดชัยภูมิ,สิ่งทอ,25,2563,3,แห่ง
ชัยภูมิ,สำนักงานอุตสาหกรรมจังหวัดชัยภูมิ,อุตสาหกรรมเครื่องแต่งกาย ยกเว้นรองเท้า,26,2563,8,แห่ง
ชัยภูมิ,สำนักงานอุตสาหกรรมจังหวัดชัยภูมิ,ผลิตหนังสัตว์และผลิตภัณฑ์จากหนังสัตว์,27,2563,0,แห่ง
ชัยภูมิ,สำนักงานอุตสาหกรรมจังหวัดชัยภูมิ,แปรรูปไม้และผลิตภัณฑ์จากไม้,28,2563,26,แห่ง
ชัยภูมิ,สำนักงานอุตสาหกรรมจังหวัดชัยภูมิ,เครื่องเรือนหรือเครื่องตบแต่งในอาคารจากไม้ แก้ว ยาง หรืออโลหะอื่น,29,2563,4,แห่ง
ชัยภูมิ,สำนักงานอุตสาหกรรมจังหวัดชัยภูมิ,ผลิตกระดาษและผลิตภัณฑ์กระดาษ,30,2563,3,แห่ง
ชัยภูมิ,สำนักงานอุตสาหกรรมจังหวัดชัยภูมิ,การพิมพ์ การเย็บเล่ม ทำปก หรือการทำแม่พิมพ์,31,2563,1,แห่ง
ชัยภูมิ,สำนักงานอุตสาหกรรมจังหวัดชัยภูมิ,เคมีภัณฑ์และผลิตภัณฑ์เคมี,32,2563,8,แห่ง
ชัยภูมิ,สำนักงานอุตสาหกรรมจังหวัดชัยภูมิ,ผลิตภัณฑ์จากปิโตรเลียม,33,2563,10,แห่ง
ชัยภูมิ,สำนักงานอุตสาหกรรมจังหวัดชัยภูมิ,ยางและผลิตภัณฑ์ยาง,34,2563,2,แห่ง
ชัยภูมิ,สำนักงานอุตสาหกรรมจังหวัดชัยภูมิ,ผลิตภัณฑ์พลาสติก,35,2563,14,แห่ง
ชัยภูมิ,สำนักงานอุตสาหกรรมจังหวัดชัยภูมิ,ผลิตภัณฑ์อโลหะ,36,2563,62,แห่ง
ชัยภูมิ,สำนักงานอุตสาหกรรมจังหวัดชัยภูมิ,ผลิตภัณฑ์โลหะขั้นมูลฐาน,37,2563,0,แห่ง
ชัยภูมิ,สำนักงานอุตสาหกรรมจังหวัดชัยภูมิ,ผลิตภัณฑ์โลหะ,38,2563,29,แห่ง
ชัยภูมิ,สำนักงานอุตสาหกรรมจังหวัดชัยภูมิ,ผลิตภัณฑ์เครื่องจักร และเครื่องกล,39,2563,6,แห่ง
ชัยภูมิ,สำนักงานอุตสาหกรรมจังหวัดชัยภูมิ,ผลิตภัณฑ์เครื่องใช้ไฟฟ้าและอุปกรณ์,40,2563,0,แห่ง
ชัยภูมิ,สำนักงานอุตสาหกรรมจังหวัดชัยภูมิ,ผลิตยานพาหนะและอุปกรณ์ รวมทั้งการซ่อมยานพาหนะและอุปกรณ์,41,2563,0,แห่ง
ชัยภูมิ,สำนักงานอุตสาหกรรมจังหวัดชัยภูมิ,การผลิตอื่น ๆ,42,2563,58,แห่ง
ชัยภูมิ,สำนักงานอุตสาหกรรมจังหวัดชัยภูมิ,ผลิตภัณฑ์จากพืช,43,2564,103,แห่ง
ชัยภูมิ,สำนักงานอุตสาหกรรมจังหวัดชัยภูมิ,อุตสาหกรรมอาหาร,44,2564,31,แห่ง
ชัยภูมิ,สำนักงานอุตสาหกรรมจังหวัดชัยภูมิ,อุตสาหกรรมเครื่องดื่ม,45,2564,4,แห่ง
ชัยภูมิ,สำนักงานอุตสาหกรรมจังหวัดชัยภูมิ,สิ่งทอ,46,2564,2,แห่ง
ชัยภูมิ,สำนักงานอุตสาหกรรมจังหวัดชัยภูมิ,อุตสาหกรรมเครื่องแต่งกาย ยกเว้นรองเท้า,47,2564,8,แห่ง
ชัยภูมิ,สำนักงานอุตสาหกรรมจังหวัดชัยภูมิ,ผลิตหนังสัตว์และผลิตภัณฑ์จากหนังสัตว์,48,2564,0,แห่ง
ชัยภูมิ,สำนักงานอุตสาหกรรมจังหวัดชัยภูมิ,แปรรูปไม้และผลิตภัณฑ์จากไม้,49,2564,26,แห่ง
ชัยภูมิ,สำนักงานอุตสาหกรรมจังหวัดชัยภูมิ,เครื่องเรือนหรือเครื่องตบแต่งในอาคารจากไม้ แก้ว ยาง หรืออโลหะอื่น,50,2564,4,แห่ง
ชัยภูมิ,สำนักงานอุตสาหกรรมจังหวัดชัยภูมิ,ผลิตกระดาษและผลิตภัณฑ์กระดาษ,51,2564,3,แห่ง
ชัยภูมิ,สำนักงานอุตสาหกรรมจังหวัดชัยภูมิ,การพิมพ์ การเย็บเล่ม ทำปก หรือการทำแม่พิมพ์,52,2564,0,แห่ง
ชัยภูมิ,สำนักงานอุตสาหกรรมจังหวัดชัยภูมิ,เคมีภัณฑ์และผลิตภัณฑ์เคมี,53,2564,8,แห่ง
ชัยภูมิ,สำนักงานอุตสาหกรรมจังหวัดชัยภูมิ,ผลิตภัณฑ์จากปิโตรเลียม,54,2564,10,แห่ง
ชัยภูมิ,สำนักงานอุตสาหกรรมจังหวัดชัยภูมิ,ยางและผลิตภัณฑ์ยาง,55,2564,2,แห่ง
ชัยภูมิ,สำนักงานอุตสาหกรรมจังหวัดชัยภูมิ,ผลิตภัณฑ์พลาสติก,56,2564,13,แห่ง
ชัยภูมิ,สำนักงานอุตสาหกรรมจังหวัดชัยภูมิ,ผลิตภัณฑ์อโลหะ,57,2564,69,แห่ง
ชัยภูมิ,สำนักงานอุตสาหกรรมจังหวัดชัยภูมิ,ผลิตภัณฑ์โลหะขั้นมูลฐาน,58,2564,0,แห่ง
ชัยภูมิ,สำนักงานอุตสาหกรรมจังหวัดชัยภูมิ,ผลิตภัณฑ์โลหะ,59,2564,29,แห่ง
ชัยภูมิ,สำนักงานอุตสาหกรรมจังหวัดชัยภูมิ,ผลิตภัณฑ์เครื่องจักร และเครื่องกล,60,2564,6,แห่ง
ชัยภูมิ,สำนักงานอุตสาหกรรมจังหวัดชัยภูมิ,ผลิตภัณฑ์เครื่องใช้ไฟฟ้าและอุปกรณ์,61,2564,0,แห่ง
ชัยภูมิ,สำนักงานอุตสาหกรรมจังหวัดชัยภูมิ,ผลิตยานพาหนะและอุปกรณ์ รวมทั้งการซ่อมยานพาหนะและอุปกรณ์,62,2564,24,แห่ง
ชัยภูมิ,สำนักงานอุตสาหกรรมจังหวัดชัยภูมิ,การผลิตอื่น ๆ,63,2564,63,แห่ง
ชัยภูมิ,สำนักงานอุตสาหกรรมจังหวัดชัยภูมิ,ผลิตภัณฑ์จากพืช,64,2565,100,แห่ง
ชัยภูมิ,สำนักงานอุตสาหกรรมจังหวัดชัยภูมิ,อุตสาหกรรมอาหาร,65,2565,31,แห่ง
ชัยภูมิ,สำนักงานอุตสาหกรรมจังหวัดชัยภูมิ,อุตสาหกรรมเครื่องดื่ม,66,2565,4,แห่ง
ชัยภูมิ,สำนักงานอุตสาหกรรมจังหวัดชัยภูมิ,สิ่งทอ,67,2565,1,แห่ง
ชัยภูมิ,สำนักงานอุตสาหกรรมจังหวัดชัยภูมิ,อุตสาหกรรมเครื่องแต่งกาย ยกเว้นรองเท้า,68,2565,8,แห่ง
ชัยภูมิ,สำนักงานอุตสาหกรรมจังหวัดชัยภูมิ,ผลิตหนังสัตว์และผลิตภัณฑ์จากหนังสัตว์,69,2565,0,แห่ง
ชัยภูมิ,สำนักงานอุตสาหกรรมจังหวัดชัยภูมิ,แปรรูปไม้และผลิตภัณฑ์จากไม้,70,2565,25,แห่ง
ชัยภูมิ,สำนักงานอุตสาหกรรมจังหวัดชัยภูมิ,เครื่องเรือนหรือเครื่องตบแต่งในอาคารจากไม้ แก้ว ยาง หรืออโลหะอื่น,71,2565,4,แห่ง
ชัยภูมิ,สำนักงานอุตสาหกรรมจังหวัดชัยภูมิ,ผลิตกระดาษและผลิตภัณฑ์กระดาษ,72,2565,3,แห่ง
ชัยภูมิ,สำนักงานอุตสาหกรรมจังหวัดชัยภูมิ,การพิมพ์ การเย็บเล่ม ทำปก หรือการทำแม่พิมพ์,73,2565,0,แห่ง
ชัยภูมิ,สำนักงานอุตสาหกรรมจังหวัดชัยภูมิ,เคมีภัณฑ์และผลิตภัณฑ์เคมี,74,2565,8,แห่ง
ชัยภูมิ,สำนักงานอุตสาหกรรมจังหวัดชัยภูมิ,ผลิตภัณฑ์จากปิโตรเลียม,75,2565,10,แห่ง
ชัยภูมิ,สำนักงานอุตสาหกรรมจังหวัดชัยภูมิ,ยางและผลิตภัณฑ์ยาง,76,2565,2,แห่ง
ชัยภูมิ,สำนักงานอุตสาหกรรมจังหวัดชัยภูมิ,ผลิตภัณฑ์พลาสติก,77,2565,13,แห่ง
ชัยภูมิ,สำนักงานอุตสาหกรรมจังหวัดชัยภูมิ,ผลิตภัณฑ์อโลหะ,78,2565,78,แห่ง
ชัยภูมิ,สำนักงานอุตสาหกรรมจังหวัดชัยภูมิ,ผลิตภัณฑ์โลหะขั้นมูลฐาน,79,2565,0,แห่ง
ชัยภูมิ,สำนักงานอุตสาหกรรมจังหวัดชัยภูมิ,ผลิตภัณฑ์โลหะ,80,2565,27,แห่ง
ชัยภูมิ,สำนักงานอุตสาหกรรมจังหวัดชัยภูมิ,ผลิตภัณฑ์เครื่องจักร และเครื่องกล,81,2565,6,แห่ง
ชัยภูมิ,สำนักงานอุตสาหกรรมจังหวัดชัยภูมิ,ผลิตภัณฑ์เครื่องใช้ไฟฟ้าและอุปกรณ์,82,2565,0,แห่ง
ชัยภูมิ,สำนักงานอุตสาหกรรมจังหวัดชัยภูมิ,ผลิตยานพาหนะและอุปกรณ์ รวมทั้งการซ่อมยานพาหนะและอุปกรณ์,83,2565,24,แห่ง
ชัยภูมิ,สำนักงานอุตสาหกรรมจังหวัดชัยภูมิ,การผลิตอื่น ๆ,84,2565,61,แห่ง
ชัยภูมิ,สำนักงานอุตสาหกรรมจังหวัดชัยภูมิ,ผลิตภัณฑ์จากพืช,85,2566,99,แห่ง
ชัยภูมิ,สำนักงานอุตสาหกรรมจังหวัดชัยภูมิ,อุตสาหกรรมอาหาร,86,2566,31,แห่ง
ชัยภูมิ,สำนักงานอุตสาหกรรมจังหวัดชัยภูมิ,อุตสาหกรรมเครื่องดื่ม,87,2566,4,แห่ง
ชัยภูมิ,สำนักงานอุตสาหกรรมจังหวัดชัยภูมิ,สิ่งทอ,88,2566,1,แห่ง
ชัยภูมิ,สำนักงานอุตสาหกรรมจังหวัดชัยภูมิ,อุตสาหกรรมเครื่องแต่งกาย ยกเว้นรองเท้า,89,2566,8,แห่ง
ชัยภูมิ,สำนักงานอุตสาหกรรมจังหวัดชัยภูมิ,ผลิตหนังสัตว์และผลิตภัณฑ์จากหนังสัตว์,90,2566,0,แห่ง
ชัยภูมิ,สำนักงานอุตสาหกรรมจังหวัดชัยภูมิ,แปรรูปไม้และผลิตภัณฑ์จากไม้,91,2566,25,แห่ง
ชัยภูมิ,สำนักงานอุตสาหกรรมจังหวัดชัยภูมิ,เครื่องเรือนหรือเครื่องตบแต่งในอาคารจากไม้ แก้ว ยาง หรืออโลหะอื่น,92,2566,4,แห่ง
ชัยภูมิ,สำนักงานอุตสาหกรรมจังหวัดชัยภูมิ,ผลิตกระดาษและผลิตภัณฑ์กระดาษ,93,2566,3,แห่ง
ชัยภูมิ,สำนักงานอุตสาหกรรมจังหวัดชัยภูมิ,การพิมพ์ การเย็บเล่ม ทำปก หรือการทำแม่พิมพ์,94,2566,0,แห่ง
ชัยภูมิ,สำนักงานอุตสาหกรรมจังหวัดชัยภูมิ,เคมีภัณฑ์และผลิตภัณฑ์เคมี,95,2566,6,แห่ง
ชัยภูมิ,สำนักงานอุตสาหกรรมจังหวัดชัยภูมิ,ผลิตภัณฑ์จากปิโตรเลียม,96,2566,10,แห่ง
ชัยภูมิ,สำนักงานอุตสาหกรรมจังหวัดชัยภูมิ,ยางและผลิตภัณฑ์ยาง,97,2566,2,แห่ง
ชัยภูมิ,สำนักงานอุตสาหกรรมจังหวัดชัยภูมิ,ผลิตภัณฑ์พลาสติก,98,2566,12,แห่ง
ชัยภูมิ,สำนักงานอุตสาหกรรมจังหวัดชัยภูมิ,ผลิตภัณฑ์อโลหะ,99,2566,86,แห่ง
ชัยภูมิ,สำนักงานอุตสาหกรรมจังหวัดชัยภูมิ,ผลิตภัณฑ์โลหะขั้นมูลฐาน,100,2566,0,แห่ง
ชัยภูมิ,สำนักงานอุตสาหกรรมจังหวัดชัยภูมิ,ผลิตภัณฑ์โลหะ,101,2566,26,แห่ง
ชัยภูมิ,สำนักงานอุตสาหกรรมจังหวัดชัยภูมิ,ผลิตภัณฑ์เครื่องจักร และเครื่องกล,102,2566,6,แห่ง
ชัยภูมิ,สำนักงานอุตสาหกรรมจังหวัดชัยภูมิ,ผลิตภัณฑ์เครื่องใช้ไฟฟ้าและอุปกรณ์,103,2566,0,แห่ง
ชัยภูมิ,สำนักงานอุตสาหกรรมจังหวัดชัยภูมิ,ผลิตยานพาหนะและอุปกรณ์ รวมทั้งการซ่อมยานพาหนะและอุปกรณ์,104,2566,24,แห่ง
ชัยภูมิ,สำนักงานอุตสาหกรรมจังหวัดชัยภูมิ,การผลิตอื่น ๆ,105,2566,61,แห่ง
ชัยภูมิ,สำนักงานอุตสาหกรรมจังหวัดชัยภูมิ,ผลิตภัณฑ์จากพืช,106,2567,97,แห่ง
ชัยภูมิ,สำนักงานอุตสาหกรรมจังหวัดชัยภูมิ,อุตสาหกรรมอาหาร,107,2567,31,แห่ง
ชัยภูมิ,สำนักงานอุตสาหกรรมจังหวัดชัยภูมิ,อุตสาหกรรมเครื่องดื่ม,108,2567,4,แห่ง
ชัยภูมิ,สำนักงานอุตสาหกรรมจังหวัดชัยภูมิ,สิ่งทอ,109,2567,1,แห่ง
ชัยภูมิ,สำนักงานอุตสาหกรรมจังหวัดชัยภูมิ,อุตสาหกรรมเครื่องแต่งกาย ยกเว้นรองเท้า,110,2567,8,แห่ง
ชัยภูมิ,สำนักงานอุตสาหกรรมจังหวัดชัยภูมิ,ผลิตหนังสัตว์และผลิตภัณฑ์จากหนังสัตว์,111,2567,0,แห่ง
ชัยภูมิ,สำนักงานอุตสาหกรรมจังหวัดชัยภูมิ,แปรรูปไม้และผลิตภัณฑ์จากไม้,112,2567,24,แห่ง
ชัยภูมิ,สำนักงานอุตสาหกรรมจังหวัดชัยภูมิ,เครื่องเรือนหรือเครื่องตบแต่งในอาคารจากไม้ แก้ว ยาง หรืออโลหะอื่น,113,2567,4,แห่ง
ชัยภูมิ,สำนักงานอุตสาหกรรมจังหวัดชัยภูมิ,ผลิตกระดาษและผลิตภัณฑ์กระดาษ,114,2567,3,แห่ง
ชัยภูมิ,สำนักงานอุตสาหกรรมจังหวัดชัยภูมิ,การพิมพ์ การเย็บเล่ม ทำปก หรือการทำแม่พิมพ์,115,2567,0,แห่ง
ชัยภูมิ,สำนักงานอุตสาหกรรมจังหวัดชัยภูมิ,เคมีภัณฑ์และผลิตภัณฑ์เคมี,116,2567,6,แห่ง
ชัยภูมิ,สำนักงานอุตสาหกรรมจังหวัดชัยภูมิ,ผลิตภัณฑ์จากปิโตรเลียม,117,2567,10,แห่ง
ชัยภูมิ,สำนักงานอุตสาหกรรมจังหวัดชัยภูมิ,ยางและผลิตภัณฑ์ยาง,118,2567,2,แห่ง
ชัยภูมิ,สำนักงานอุตสาหกรรมจังหวัดชัยภูมิ,ผลิตภัณฑ์พลาสติก,119,2567,12,แห่ง
ชัยภูมิ,สำนักงานอุตสาหกรรมจังหวัดชัยภูมิ,ผลิตภัณฑ์อโลหะ,120,2567,86,แห่ง
ชัยภูมิ,สำนักงานอุตสาหกรรมจังหวัดชัยภูมิ,ผลิตภัณฑ์โลหะขั้นมูลฐาน,121,2567,0,แห่ง
ชัยภูมิ,สำนักงานอุตสาหกรรมจังหวัดชัยภูมิ,ผลิตภัณฑ์โลหะ,122,2567,26,แห่ง
ชัยภูมิ,สำนักงานอุตสาหกรรมจังหวัดชัยภูมิ,ผลิตภัณฑ์เครื่องจักร และเครื่องกล,123,2567,6,แห่ง
ชัยภูมิ,สำนักงานอุตสาหกรรมจังหวัดชัยภูมิ,ผลิตภัณฑ์เครื่องใช้ไฟฟ้าและอุปกรณ์,124,2567,0,แห่ง
ชัยภูมิ,สำนักงานอุตสาหกรรมจังหวัดชัยภูมิ,ผลิตยานพาหนะและอุปกรณ์ รวมทั้งการซ่อมยานพาหนะและอุปกรณ์,125,2567,23,แห่ง
ชัยภูมิ,สำนักงานอุตสาหกรรมจังหวัดชัยภูมิ,การผลิตอื่น ๆ,126,2567,63,แห่ง
