ที่มา,_id,ปี,บ้านเลขที่,หมู่ที่,ชื่อลานเท,ค่า,อำเภอ,ตำบล,รายการ,หน่วย
สำนักงานสาขาชั่งตวงวัดเขต 3-6 กระบี่,26,2567,299,8,ตะวันปาล์ม (กบ 297),1,เขาพนม,โคกหาร,ลานเทรับซื้อปาล์มน้ำมันของจังหวัดกระบี่,แห่ง
สำนักงานสาขาชั่งตวงวัดเขต 3-6 กระบี่,27,2567,168,2,บริษัท นามหงส์น้ำมันปาล์ม จำกัด (A) (กบ 034),1,เขาพนม,พรุเตียว,ลานเทรับซื้อปาล์มน้ำมันของจังหวัดกระบี่,แห่ง
สำนักงานสาขาชั่งตวงวัดเขต 3-6 กระบี่,28,2567,211,3,ปานทองปาล์ม,1,เขาพนม,โคกหาร,ลานเทรับซื้อปาล์มน้ำมันของจังหวัดกระบี่,แห่ง
สำนักงานสาขาชั่งตวงวัดเขต 3-6 กระบี่,29,2567,4,5,บจ.ศรีเจริญปาล์มออยล์ บ้านโคกกลาง,1,เขาพนม,พรุเตียว,ลานเทรับซื้อปาล์มน้ำมันของจังหวัดกระบี่,แห่ง
สำนักงานสาขาชั่งตวงวัดเขต 3-6 กระบี่,30,2567,128,2,ธนภัทรปาล์ม (กบ 246),1,เขาพนม,เขาดิน,ลานเทรับซื้อปาล์มน้ำมันของจังหวัดกระบี่,แห่ง
สำนักงานสาขาชั่งตวงวัดเขต 3-6 กระบี่,31,2567,175,5,ช่วยบำรุงปาล์ม (บ้านทับพรุ) (กบ 360),1,เขาพนม,เขาดิน,ลานเทรับซื้อปาล์มน้ำมันของจังหวัดกระบี่,แห่ง
สำนักงานสาขาชั่งตวงวัดเขต 3-6 กระบี่,32,2567,255,4,มรกตปาล์ม 9 (กบ 064),1,เขาพนม,โคกหาร,ลานเทรับซื้อปาล์มน้ำมันของจังหวัดกระบี่,แห่ง
สำนักงานสาขาชั่งตวงวัดเขต 3-6 กระบี่,33,2567,198,7,แสงศรีปาล์ม (กบ 390),1,เขาพนม,เขาพนม,ลานเทรับซื้อปาล์มน้ำมันของจังหวัดกระบี่,แห่ง
สำนักงานสาขาชั่งตวงวัดเขต 3-6 กระบี่,34,2567,268,6,ลานปาล์มภารุ่งเรืองรับเบอร์ (กบ 368),1,เขาพนม,หน้าเขา,ลานเทรับซื้อปาล์มน้ำมันของจังหวัดกระบี่,แห่ง
สำนักงานสาขาชั่งตวงวัดเขต 3-6 กระบี่,35,2567,143,3,น้องแบ็งค์ปาล์ม,1,เขาพนม,พรุเตียว,ลานเทรับซื้อปาล์มน้ำมันของจังหวัดกระบี่,แห่ง
สำนักงานสาขาชั่งตวงวัดเขต 3-6 กระบี่,36,2567,106,10,ทองบำรุงปาล์ม ,1,เขาพนม,เขาพนม,ลานเทรับซื้อปาล์มน้ำมันของจังหวัดกระบี่,แห่ง
สำนักงานสาขาชั่งตวงวัดเขต 3-6 กระบี่,37,2567,,,ต้นพงษ์ (กบ 318),1,เขาพนม,หน้าเขา,ลานเทรับซื้อปาล์มน้ำมันของจังหวัดกระบี่,แห่ง
สำนักงานสาขาชั่งตวงวัดเขต 3-6 กระบี่,38,2567,36,1,ตะวันหลังภูผา,1,เขาพนม,หน้าเขา,ลานเทรับซื้อปาล์มน้ำมันของจังหวัดกระบี่,แห่ง
สำนักงานสาขาชั่งตวงวัดเขต 3-6 กระบี่,39,2567,135,4,ปรึกษาการยาง สาขา 7,1,เขาพนม,หน้าเขา,ลานเทรับซื้อปาล์มน้ำมันของจังหวัดกระบี่,แห่ง
สำนักงานสาขาชั่งตวงวัดเขต 3-6 กระบี่,40,2567,32/1,4,ปรึกษาการยาง สาขา 3 ,1,เขาพนม,พรุเตียว,ลานเทรับซื้อปาล์มน้ำมันของจังหวัดกระบี่,แห่ง
สำนักงานสาขาชั่งตวงวัดเขต 3-6 กระบี่,41,2567,227,8,ซื่อตรงปาล์ม (กบ 224),1,เขาพนม,เขาดิน,ลานเทรับซื้อปาล์มน้ำมันของจังหวัดกระบี่,แห่ง
สำนักงานสาขาชั่งตวงวัดเขต 3-6 กระบี่,42,2567,146,3,แสงศรีปาล์ม (กบ 023),1,เขาพนม,หน้าเขา,ลานเทรับซื้อปาล์มน้ำมันของจังหวัดกระบี่,แห่ง
สำนักงานสาขาชั่งตวงวัดเขต 3-6 กระบี่,43,2567,185,4,บริษัท ปาล์มน้ำมันธรรมชาติ จำกัด (หน่วยงานหินลูกช้าง)(กบ 028),1,เขาพนม,โคกหาร,ลานเทรับซื้อปาล์มน้ำมันของจังหวัดกระบี่,แห่ง
สำนักงานสาขาชั่งตวงวัดเขต 3-6 กระบี่,44,2567,180,1,เขาปละปาล์ม,1,เขาพนม,พรุเตียว,ลานเทรับซื้อปาล์มน้ำมันของจังหวัดกระบี่,แห่ง
สำนักงานสาขาชั่งตวงวัดเขต 3-6 กระบี่,45,2567,247,4,บุญเจริญปาล์ม,1,เขาพนม,พรุเตียว,ลานเทรับซื้อปาล์มน้ำมันของจังหวัดกระบี่,แห่ง
สำนักงานสาขาชั่งตวงวัดเขต 3-6 กระบี่,46,2567,250,6,นิยมปาล์ม (กบ 027),1,เขาพนม,โคกหาร,ลานเทรับซื้อปาล์มน้ำมันของจังหวัดกระบี่,แห่ง
สำนักงานสาขาชั่งตวงวัดเขต 3-6 กระบี่,47,2567,232,8,ปรึกษาการยาง 4,1,เขาพนม,เขาดิน,ลานเทรับซื้อปาล์มน้ำมันของจังหวัดกระบี่,แห่ง
สำนักงานสาขาชั่งตวงวัดเขต 3-6 กระบี่,48,2567,313,4,เทพประทานพรการยาง ,1,เขาพนม,เขาพนม,ลานเทรับซื้อปาล์มน้ำมันของจังหวัดกระบี่,แห่ง
สำนักงานสาขาชั่งตวงวัดเขต 3-6 กระบี่,49,2567,40,2,กลุ่มวิสาหกิจชุมชนปาล์มน้ำมันตำบลโคกหาร ,1,เขาพนม,โคกหาร,ลานเทรับซื้อปาล์มน้ำมันของจังหวัดกระบี่,แห่ง
สำนักงานสาขาชั่งตวงวัดเขต 3-6 กระบี่,50,2567,165,1,ต้นพงษ์ปาล์ม,1,เขาพนม,หน้าเขา,ลานเทรับซื้อปาล์มน้ำมันของจังหวัดกระบี่,แห่ง
สำนักงานสาขาชั่งตวงวัดเขต 3-6 กระบี่,51,2567,179,2,ลานไม้บ้านเหนือ (กบ 499),1,เขาพนม,เขาพนม,ลานเทรับซื้อปาล์มน้ำมันของจังหวัดกระบี่,แห่ง
สำนักงานสาขาชั่งตวงวัดเขต 3-6 กระบี่,52,2567,256,2,ปรึกษาการยาง,1,เขาพนม,เขาพนม,ลานเทรับซื้อปาล์มน้ำมันของจังหวัดกระบี่,แห่ง
สำนักงานสาขาชั่งตวงวัดเขต 3-6 กระบี่,53,2567,6,6,วังโสภณปาล์ม (กบ 506),1,เขาพนม,โคกหาร,ลานเทรับซื้อปาล์มน้ำมันของจังหวัดกระบี่,แห่ง
สำนักงานสาขาชั่งตวงวัดเขต 3-6 กระบี่,54,2567,215,1,ณัชชาปาล์ม,1,เขาพนม,หน้าเขา,ลานเทรับซื้อปาล์มน้ำมันของจังหวัดกระบี่,แห่ง
สำนักงานสาขาชั่งตวงวัดเขต 3-6 กระบี่,55,2567,,8,ภูมิเพชรปาล์ม (กบ 661),1,เขาพนม,หน้าเขา,ลานเทรับซื้อปาล์มน้ำมันของจังหวัดกระบี่,แห่ง
สำนักงานสาขาชั่งตวงวัดเขต 3-6 กระบี่,56,2567,59,6,ห้วยน้ำแก้ว,1,เขาพนม,หน้าเขา,ลานเทรับซื้อปาล์มน้ำมันของจังหวัดกระบี่,แห่ง
สำนักงานสาขาชั่งตวงวัดเขต 3-6 กระบี่,57,2567,135,4,ปรึกษาการยาง สาขา 7 (กบ 042),1,เขาพนม,เขาดิน,ลานเทรับซื้อปาล์มน้ำมันของจังหวัดกระบี่,แห่ง
สำนักงานสาขาชั่งตวงวัดเขต 3-6 กระบี่,58,2567,289,7,ธนภัทรปาล์ม สาขา 2,1,เขาพนม,เขาดิน,ลานเทรับซื้อปาล์มน้ำมันของจังหวัดกระบี่,แห่ง
สำนักงานสาขาชั่งตวงวัดเขต 3-6 กระบี่,59,2567,72,3,บจ.ศรีเจริญปาล์มออยล์ (จุดรับซื้อสินปุน),1,เขาพนม,สินปุน,ลานเทรับซื้อปาล์มน้ำมันของจังหวัดกระบี่,แห่ง
สำนักงานสาขาชั่งตวงวัดเขต 3-6 กระบี่,60,2567,104,4,หจก.นพเก้าปาล์ม,1,เขาพนม,โคกหาร,ลานเทรับซื้อปาล์มน้ำมันของจังหวัดกระบี่,แห่ง
สำนักงานสาขาชั่งตวงวัดเขต 3-6 กระบี่,61,2567,341,4,บจก.พิทักษ์ปาล์มออยล์ ทุ่งหนองปรือ (กบ 578),1,เขาพนม,พรุเตียว,ลานเทรับซื้อปาล์มน้ำมันของจังหวัดกระบี่,แห่ง
สำนักงานสาขาชั่งตวงวัดเขต 3-6 กระบี่,62,2567,128,3,ทรงศักดิ์ปาล์มทอง,1,เขาพนม,พรุเตียว,ลานเทรับซื้อปาล์มน้ำมันของจังหวัดกระบี่,แห่ง
สำนักงานสาขาชั่งตวงวัดเขต 3-6 กระบี่,63,2567,439,9,ช.วังน้ำเย็นปาล์ม (กบ 601),1,เขาพนม,พรุเตียว,ลานเทรับซื้อปาล์มน้ำมันของจังหวัดกระบี่,แห่ง
สำนักงานสาขาชั่งตวงวัดเขต 3-6 กระบี่,64,2567,187,4,เพชรรัตน์น้ำยางสด,1,เขาพนม,พรุเตียว,ลานเทรับซื้อปาล์มน้ำมันของจังหวัดกระบี่,แห่ง
สำนักงานสาขาชั่งตวงวัดเขต 3-6 กระบี่,65,2567,206,10,เอกเจริญปาล์ม (กบ 621),1,เขาพนม,สินปุน,ลานเทรับซื้อปาล์มน้ำมันของจังหวัดกระบี่,แห่ง
สำนักงานสาขาชั่งตวงวัดเขต 3-6 กระบี่,66,2567,364,8,ศรีผ่อง,1,เขาพนม,สินปุน,ลานเทรับซื้อปาล์มน้ำมันของจังหวัดกระบี่,แห่ง
สำนักงานสาขาชั่งตวงวัดเขต 3-6 กระบี่,67,2567,368,4,บริษัท ภัทรปาล์มออยล์ จำกัด (A) (กบ 649),1,เขาพนม,เขาพนม,ลานเทรับซื้อปาล์มน้ำมันของจังหวัดกระบี่,แห่ง
สำนักงานสาขาชั่งตวงวัดเขต 3-6 กระบี่,68,2567,406,1,บจ.ศรีเจริญปาล์มออยล์ (จุดรับซื้อกอตง),1,เขาพนม,เขาดิน,ลานเทรับซื้อปาล์มน้ำมันของจังหวัดกระบี่,แห่ง
สำนักงานสาขาชั่งตวงวัดเขต 3-6 กระบี่,69,2567,245,4,บริษัท ยูเนี่ยนปาล์มออยล์ จำกัด (B) (กบ 658),1,เขาพนม,เขาพนม,ลานเทรับซื้อปาล์มน้ำมันของจังหวัดกระบี่,แห่ง
สำนักงานสาขาชั่งตวงวัดเขต 3-6 กระบี่,70,2567,,8,ปรึกษาการยาง สาขา 2,1,เขาพนม,สินปุน,ลานเทรับซื้อปาล์มน้ำมันของจังหวัดกระบี่,แห่ง
สำนักงานสาขาชั่งตวงวัดเขต 3-6 กระบี่,71,2567,340,4,บจ.ภัทรปาล์มออยล์ (ทับนาวปาล์ม) (กบ 666),1,เขาพนม,พรุเตียว,ลานเทรับซื้อปาล์มน้ำมันของจังหวัดกระบี่,แห่ง
สำนักงานสาขาชั่งตวงวัดเขต 3-6 กระบี่,72,2567,77,5,ไสน้ำจมปาล์มทอง (กบ 705),1,เขาพนม,โคกหาร,ลานเทรับซื้อปาล์มน้ำมันของจังหวัดกระบี่,แห่ง
สำนักงานสาขาชั่งตวงวัดเขต 3-6 กระบี่,73,2567,239,3,ช่วยบำรุงปาล์ม (เขาดิน) (กบ004),1,เขาพนม,หน้าเขา,ลานเทรับซื้อปาล์มน้ำมันของจังหวัดกระบี่,แห่ง
สำนักงานสาขาชั่งตวงวัดเขต 3-6 กระบี่,74,2567,84/2,2,หจก.บุญนำสวนปาล์ม (กบ 031),1,เขาพนม,โคกหาร,ลานเทรับซื้อปาล์มน้ำมันของจังหวัดกระบี่,แห่ง
สำนักงานสาขาชั่งตวงวัดเขต 3-6 กระบี่,75,2567,252,7,เพชรเจริญปาล์ม,1,เขาพนม,สินปุน,ลานเทรับซื้อปาล์มน้ำมันของจังหวัดกระบี่,แห่ง
สำนักงานสาขาชั่งตวงวัดเขต 3-6 กระบี่,76,2567,261,6,เรืองเดชปาล์ม ,1,เขาพนม,หน้าเขา,ลานเทรับซื้อปาล์มน้ำมันของจังหวัดกระบี่,แห่ง
สำนักงานสาขาชั่งตวงวัดเขต 3-6 กระบี่,77,2567,110,3,ทรัพย์รุ่งเรืองรับเบอร์,1,เขาพนม,เขาดิน,ลานเทรับซื้อปาล์มน้ำมันของจังหวัดกระบี่,แห่ง
สำนักงานสาขาชั่งตวงวัดเขต 3-6 กระบี่,78,2567,223,5,ผู้ใหญ่ศักดิ์ปาล์ม (กบ 706),1,เขาพนม,พรุเตียว,ลานเทรับซื้อปาล์มน้ำมันของจังหวัดกระบี่,แห่ง
สำนักงานสาขาชั่งตวงวัดเขต 3-6 กระบี่,79,2567,195,8,เกียรติศักดิ์ปาล์ม,1,เขาพนม,พรุเตียว,ลานเทรับซื้อปาล์มน้ำมันของจังหวัดกระบี่,แห่ง
สำนักงานสาขาชั่งตวงวัดเขต 3-6 กระบี่,80,2567,271,8,ลานปาล์ม ส.ขันพระแสง (กบ 892),1,เขาพนม,หน้าเขา,ลานเทรับซื้อปาล์มน้ำมันของจังหวัดกระบี่,แห่ง
สำนักงานสาขาชั่งตวงวัดเขต 3-6 กระบี่,81,2567,,2,สุขเจริญปาล์ม (กบ 746),1,เขาพนม,หน้าเขา,ลานเทรับซื้อปาล์มน้ำมันของจังหวัดกระบี่,แห่ง
สำนักงานสาขาชั่งตวงวัดเขต 3-6 กระบี่,82,2567,412,2,ศรีเทพปาล์มทอง,1,เขาพนม,สินปุน,ลานเทรับซื้อปาล์มน้ำมันของจังหวัดกระบี่,แห่ง
สำนักงานสาขาชั่งตวงวัดเขต 3-6 กระบี่,83,2567,123,8,เลิศชัยปาล์ม (กบ 814),1,เขาพนม,พรุเตียว,ลานเทรับซื้อปาล์มน้ำมันของจังหวัดกระบี่,แห่ง
สำนักงานสาขาชั่งตวงวัดเขต 3-6 กระบี่,84,2567,94,7,ราษฎร์หวงแหนปาล์ม (กบ 822),1,เขาพนม,เขาดิน,ลานเทรับซื้อปาล์มน้ำมันของจังหวัดกระบี่,แห่ง
สำนักงานสาขาชั่งตวงวัดเขต 3-6 กระบี่,85,2567,168,7,เดชค้ำทับพล,1,เขาพนม,เขาพนม,ลานเทรับซื้อปาล์มน้ำมันของจังหวัดกระบี่,แห่ง
สำนักงานสาขาชั่งตวงวัดเขต 3-6 กระบี่,86,2567,223,6,เดชค้ำทับพลการปาล์ม,1,เขาพนม,เขาดิน,ลานเทรับซื้อปาล์มน้ำมันของจังหวัดกระบี่,แห่ง
สำนักงานสาขาชั่งตวงวัดเขต 3-6 กระบี่,87,2567,56/5,3,ต้นพงษ์ปาล์ม,1,เขาพนม,หน้าเขา,ลานเทรับซื้อปาล์มน้ำมันของจังหวัดกระบี่,แห่ง
สำนักงานสาขาชั่งตวงวัดเขต 3-6 กระบี่,88,2567,71,3,ทรัพย์เจริญรูป (กบ 840),1,เขาพนม,สินปุน,ลานเทรับซื้อปาล์มน้ำมันของจังหวัดกระบี่,แห่ง
สำนักงานสาขาชั่งตวงวัดเขต 3-6 กระบี่,89,2567,21,7,ทรัพย์สถิต (ใช้ในกิจการภายใน),1,เขาพนม,เขาดิน,ลานเทรับซื้อปาล์มน้ำมันของจังหวัดกระบี่,แห่ง
สำนักงานสาขาชั่งตวงวัดเขต 3-6 กระบี่,90,2567,152,8,ปรึกษาการยาง เขาปละ,1,เขาพนม,พรุเตียว,ลานเทรับซื้อปาล์มน้ำมันของจังหวัดกระบี่,แห่ง
สำนักงานสาขาชั่งตวงวัดเขต 3-6 กระบี่,91,2567,464,1,ช่องเทพปาล์ม (สาขา 2),1,เขาพนม,เขาดิน,ลานเทรับซื้อปาล์มน้ำมันของจังหวัดกระบี่,แห่ง
สำนักงานสาขาชั่งตวงวัดเขต 3-6 กระบี่,92,2567,193,7,สวนปาล์มเพชรเครือ,1,เขาพนม,เขาดิน,ลานเทรับซื้อปาล์มน้ำมันของจังหวัดกระบี่,แห่ง
สำนักงานสาขาชั่งตวงวัดเขต 3-6 กระบี่,93,2567,458,4,คทาวุธการเกษตร สาขา 2 ,1,เขาพนม,หน้าเขา,ลานเทรับซื้อปาล์มน้ำมันของจังหวัดกระบี่,แห่ง
สำนักงานสาขาชั่งตวงวัดเขต 3-6 กระบี่,94,2567,,1,ปรึกษาการยาง คลองหยิก ,1,เขาพนม,เขาดิน,ลานเทรับซื้อปาล์มน้ำมันของจังหวัดกระบี่,แห่ง
สำนักงานสาขาชั่งตวงวัดเขต 3-6 กระบี่,95,2567,,9,สุขเจริญปาล์ม,1,เขาพนม,เขาดิน,ลานเทรับซื้อปาล์มน้ำมันของจังหวัดกระบี่,แห่ง
สำนักงานสาขาชั่งตวงวัดเขต 3-6 กระบี่,96,2567,483,1,วังโสภณปาล์ม สาขา 2,1,เขาพนม,สินปุน,ลานเทรับซื้อปาล์มน้ำมันของจังหวัดกระบี่,แห่ง
สำนักงานสาขาชั่งตวงวัดเขต 3-6 กระบี่,97,2567,84,4,จิณณวัตรปาล์มออยล์,1,เขาพนม,เขาดิน,ลานเทรับซื้อปาล์มน้ำมันของจังหวัดกระบี่,แห่ง
สำนักงานสาขาชั่งตวงวัดเขต 3-6 กระบี่,98,2567,128,7,น้องแทนปาล์มทอง,1,เขาพนม,เขาดิน,ลานเทรับซื้อปาล์มน้ำมันของจังหวัดกระบี่,แห่ง
สำนักงานสาขาชั่งตวงวัดเขต 3-6 กระบี่,99,2567,117,5,บางราโพธิ์ปาล์มทอง,1,เขาพนม,สินปุน,ลานเทรับซื้อปาล์มน้ำมันของจังหวัดกระบี่,แห่ง
สำนักงานสาขาชั่งตวงวัดเขต 3-6 กระบี่,100,2567,275,2,เอกเจริญปาล์ม 2 (กบ 886),1,เขาพนม,โคกหาร,ลานเทรับซื้อปาล์มน้ำมันของจังหวัดกระบี่,แห่ง
สำนักงานสาขาชั่งตวงวัดเขต 3-6 กระบี่,101,2567,167/1,1,เอสพีปาล์ม (กบ 887),1,เขาพนม,สินปุน,ลานเทรับซื้อปาล์มน้ำมันของจังหวัดกระบี่,แห่ง
สำนักงานสาขาชั่งตวงวัดเขต 3-6 กระบี่,102,2567,383,4,ปาลินปาล์ม (กบ 888),1,เขาพนม,พรุเตียว,ลานเทรับซื้อปาล์มน้ำมันของจังหวัดกระบี่,แห่ง
สำนักงานสาขาชั่งตวงวัดเขต 3-6 กระบี่,103,2567,168,3,โกตี้ (กบ 891),1,เขาพนม,สินปุน,ลานเทรับซื้อปาล์มน้ำมันของจังหวัดกระบี่,แห่ง
สำนักงานสาขาชั่งตวงวัดเขต 3-6 กระบี่,104,2567,131,7,โรงงานภัทรปาล์มออยล์,1,เขาพนม,เขาดิน,ลานเทรับซื้อปาล์มน้ำมันของจังหวัดกระบี่,แห่ง
สำนักงานสาขาชั่งตวงวัดเขต 3-6 กระบี่,105,2567,314,1,สองพี่น้องปาล์ม (กบ 894),1,เขาพนม,พรุเตียว,ลานเทรับซื้อปาล์มน้ำมันของจังหวัดกระบี่,แห่ง
สำนักงานสาขาชั่งตวงวัดเขต 3-6 กระบี่,106,2567,,1,มนตรีสว่างเจริญทรัพย์ (กบ 903),1,เขาพนม,พรุเตียว,ลานเทรับซื้อปาล์มน้ำมันของจังหวัดกระบี่,แห่ง
สำนักงานสาขาชั่งตวงวัดเขต 3-6 กระบี่,107,2567,223,8,โชคอำนวยปาล์ม สาขา 2 (กบ 918),1,เขาพนม,หน้าเขา,ลานเทรับซื้อปาล์มน้ำมันของจังหวัดกระบี่,แห่ง
สำนักงานสาขาชั่งตวงวัดเขต 3-6 กระบี่,108,2567,510,1,ควนทังปาล์ม (กบ 919),1,เขาพนม,เขาดิน,ลานเทรับซื้อปาล์มน้ำมันของจังหวัดกระบี่,แห่ง
สำนักงานสาขาชั่งตวงวัดเขต 3-6 กระบี่,109,2567,395,4,สมพรการยางและปาล์ม,1,เขาพนม,พรุเตียว,ลานเทรับซื้อปาล์มน้ำมันของจังหวัดกระบี่,แห่ง
สำนักงานสาขาชั่งตวงวัดเขต 3-6 กระบี่,110,2567,,6,โปณะสุวรรณ,1,เขาพนม,เขาดิน,ลานเทรับซื้อปาล์มน้ำมันของจังหวัดกระบี่,แห่ง
สำนักงานสาขาชั่งตวงวัดเขต 3-6 กระบี่,111,2567,204,9, ป.การเกษตร (ควนหวายแดง) (กบ 382),1,คลองท่อม,พรุดินนา,ลานเทรับซื้อปาล์มน้ำมันของจังหวัดกระบี่,แห่ง
สำนักงานสาขาชั่งตวงวัดเขต 3-6 กระบี่,112,2567,19,2,มีชัยเพื่อนเกษตร (กบ 354),1,คลองท่อม,คลองพน,ลานเทรับซื้อปาล์มน้ำมันของจังหวัดกระบี่,แห่ง
สำนักงานสาขาชั่งตวงวัดเขต 3-6 กระบี่,113,2567,,2,กระบี่พืชผล (แผ่นดินเสมอ)(กบ 589),1,คลองท่อม,คลองท่อมเหนือ,ลานเทรับซื้อปาล์มน้ำมันของจังหวัดกระบี่,แห่ง
