TH No.,ถนน,เลขที่,จังหวัด,ชื่อ,_id,ตำบล,อำเภอ,Name,Factory Address,หมู่
1113,,71/11,สมุทรสาคร,บริษัท มหาชัยฟู้ดส์ จำกัด,16,ท่าทราย,เมืองสมุทรสาคร,Mahachai Foods Company Limited  ,"71/11 Moo 6, Tha Sai, Mueang Samut Sakhon, Samut Sakhon ",ม.6
1132,ถ.นรราชอุทิศ,1300/141,สมุทรสาคร,ห้างหุ้นส่วนจำกัด พรรณราย มารีน โปรดักส์,17,มหาชัย,เมืองสมุทรสาคร,"Punnarai Marine Product Ltd., Part","1300/141 B. Norraratutit road, Mahachai, Mueang Samut Sakhon, Samut Sakhon ",
1137,,79/8,สมุทรสาคร,บริษัท สตาร์ฟิช จำกัด,18,บางโทรัด,เมืองสมุทรสาคร,"Starfish Co., Ltd.","79/8 Moo 1, Bangtorud, Mueang Samut Sakhon, Samut Sakhon  ",ม.1
1159,ถ.วิเชียรโชฎก,1278.0,สมุทรสาคร,บริษัท บี.เอส.เอ ฟู้ดโปรดักส์ จำกัด,19,มหาชัย,เมืองสมุทรสาคร,"B.S.A. Food Products Co., Ltd.","1278 Wichienchodok Road, Maha Chai, Mueang Samut Sakhon, Samut Sakhon ",
1160,ถ.เอกชัย,69/9,สมุทรสาคร,บริษัท กู๊ดลัค โปรดักท์ จำกัด,20,ท่าจีน,เมืองสมุทรสาคร,"Good Luck Products Co., Ltd.","69/9 Moo 1, Ekachai Road, T.Thajean, Mueang Samut Sakhon, Samut Sakhon",ม.1
1161,ถ.เจษฎาวิถี,260/63,สมุทรสาคร,บริษัท อุตสาหกรรมทวีวงษ์ จำกัด,21,มหาชัย,เมืองสมุทรสาคร,"Thaveevong Industry Co., Ltd.","206/63 Jedsadavitee Road, Mahachai, Mueang Samut Sakhon, Samut Sakhon",
1163,,12/32,สมุทรสาคร,บริษัท อันดามันซูริมิ อินดัสทรีส์ จำกัด,22,บางกระเจ้า,เมืองสมุทรสาคร,"Andaman Surimi Industries Co., Ltd.","12/32 Moo3, Bang Krachao, Mueang Samut Sakhon, Samut Sakhon",ม.3
1164,ถ.ธนบุรี-ปากท่อ,63/2,สมุทรสาคร,บริษัท ลักกี้ฟู้ดส์ (ไทย) จำกัด,23,บางกระเจ้า,เมืองสมุทรสาคร,"Lucky Foods (Thai) Co., Ltd.","63/2 Moo6, Thonburi-paktho Road, Tambol Bangkrachao, Mueang Samut Sakhon, Samut Sakhon  ",ม.6
1166,ถ.เอกชัย,57/37,สมุทรสาคร,บริษัท มารีนโกลด์โปรดักส์ จำกัด,24,โคกขาม,เมืองสมุทรสาคร,Marine Gold Products Ltd.,"57/37 Mu 4 Ekkachai Road, Khok Kham, Mueang Samut Sakhon, Samut Sakhon  ",ม.4
1167,ถ.ธรรมคุณากร,80.0,สมุทรสาคร,บริษัท ซีรอเยลอาหารทะเล จำกัด,25,บางหญ้าแพรก,เมืองสมุทรสาคร,"Sea Royal Marine Food Product Co., Ltd.","80 Moo1, Thamkunakorn Road, Bang Ya Phraek, Mueang Samut Sakhon, Samut Sakhon  ",ม.1
1172,ถ.วิเชียรโชฎก,119/99,สมุทรสาคร,บริษัท ไทยรอแยลฟรอเซนฟู๊ด จำกัด,26,ท่าจีน,เมืองสมุทรสาคร,"Thai Royal Frozen Food Co., Ltd. ","119/99 Moo1, Vichienchodok Road, Tambon Tachin, Mueang Samut Sakhon, Samut Sakhon  ",ม.1
1173,,39/108 นิคมอุตสาหกรรมสมุทรสาคร,สมุทรสาคร,บริษัท ไอ.ที.ฟู้ดส์ อินดัสทรีส์ จำกัด,27,บางกระเจ้า,เมืองสมุทรสาคร,"I.T. Foods Industries Co., Ltd. ","Samut Sakhon Industrial Estate 39/108 Moo.2, Bangkrajao, Mueang Samut Sakhon, Samut Sakhon ",ม.2
1179,ถ.พระราม2,48-49 ซ.ทรัพย์มหาโชค,สมุทรสาคร,บริษัท ซีโบนันซ่า ฟู้ดส์ จำกัด,28,นาดี,เมืองสมุทรสาคร,"Sea Bonanza Foods Co., Ltd.","48-49 Soi Shapmahachock, Moo4, Rama II Road, Tambol Nadee, Mueang Samut Sakhon, Samut Sakhon ",ม.4
1180,,19/20,สมุทรสาคร,บริษัท สมายล์  ฮาร์ท ฟู้ดส์ จำกัด,29,บางกระเจ้า,เมืองสมุทรสาคร,"Smile Heart Foods Co., Ltd.","19/20 Moo8, Bang Krachao Subdistrict, Mueang Samut Sakhon, Samut Sakhon  ",ม.8
1183,,79/30,สมุทรสาคร,บริษัท สตาร์ฟู้ดส์ อินดัสตรี้ส์ จำกัด,30,บางโทรัด,เมืองสมุทรสาคร,"Starfoods Industries Co., Ltd.","79/30 Moo1, Bangtorud, Mueang Samut Sakhon, Samut Sakhon  ",ม.1
1196,,55/83,สมุทรสาคร,บริษัท ซีบอร์น ฟู้ดซัพพลาย จำกัด ,31,ท่าทราย,เมืองสมุทรสาคร,Seaborn Food Supply Company Limited ,"55/83 Moo6, Tambol Thasai, Mueang Samut Sakhon, Samut Sakhon ",ม.6
1201,ถ.เอกชัย,95.0,สมุทรสาคร,บริษัท ก้องภพ โฟรเซ่นฟู้ดส์ จำกัด,32,นาดี,เมืองสมุทรสาคร,"Kongphop Frozen Foods Co., Ltd","95 Moo 3, Ekachai Road, Na Di, Mueang Samut Sakhon, Samut Sakhon  ",ม.3
1248,,8/199,สมุทรสาคร,บริษัท โกลบอล โฟรเซ่น ฟู้ด (ประเทศไทย) จำกัด,33,บางหญ้าแพรก,เมืองสมุทรสาคร,"Global Frozen Food (Thailand) Co., Ltd.","8/199 Moo 3, Tambon Bang Ya Phraek, Mueang Samut Sakhon, Samut Sakhon ",ม.3
1251,,57/40,สมุทรสาคร,บริษัทโชคสมุทรมารีน จำกัด,34,โคกขาม,เมืองสมุทรสาคร,"Chocksamut Marine Co., Ltd.","57/40 Moo 4, Khok Kham, Mueang Samut Sakhon, Samut Sakhon  ",ม.4
1256,ถ.พระราม2,59/7,สมุทรสาคร,บริษัท อนุสรณ์มหาชัยซูริมิ จำกัด,35,ท่าทราย,เมืองสมุทรสาคร,"Anusorn Mahachai Surimi Co., Ltd.","59/7 Moo 8, Tha Sai, Mueang Samut Sakhon, Samut Sakhon  ",ม.8
1263,ถ.นิคมอุตสาหกรรมสมุทรสาคร,1/847,สมุทรสาคร,บริษัท เอชไอซี (ประเทศไทย) จำกัด  ,36,ท่าทราย,เมืองสมุทรสาคร,"HIC (Thailand) Co., Ltd.","1/87 Moo2, Samutsakhon Industrial Estate Road, Tambol Thasai, Mueang Samut Sakhon, Samut Sakhon ",ม.2
1275,ถ.เศรษฐกิจ,"71/9, 71/15 ซ.รุ่งปรีชา",สมุทรสาคร,บริษัท แพนฟู้ด จำกัด,37,ท่าทราย,เมืองสมุทรสาคร,"Pan Food Co., Ltd","71/9, 71/15 M.6 Soi Rungpreecha, Sethakit Rd., Tasai, Mueang Samut Sakhon, Samut Sakhon  ",ม.6
1276,,111/19,สมุทรสาคร,บริษัท ชิง-ฟู่ ซีโพรดักส์ ดีเวลลอปเม้นท์ จำกัด,38,บางหญ้าแพรก,เมืองสมุทรสาคร,"Shing-Fu Seaproducts Development Co., Ltd.","111/19 Moo 2, Tumbol Bang Ya Phraek, Mueang Samut Sakhon, Samut Sakhon  ",ม.2
1277,,230/1,สมุทรสาคร,บริษัท พี.ซี. ทูน่า จำกัด,39,คลองมะเดื่อ,กระทุ่มเบน,"P.C. Tuna Co., Ltd.","230/1 Moo 10, Klongmadue, Krathum Baen, Samut Sakhon  ",ม.10
1282,ถ.ธนบุรี-ปากท่อ,24.0,สมุทรสาคร,บริษัท พัฒนาโฟรเซ่นฟู้ด จำกัด,40,ชัยมงคล,เมืองสมุทรสาคร,"Phatthana Frozen Food Co., Ltd. ","24 Moo.1, Thonburi-Pakthor Road, Tambon Chaimongkon, Mueang Samut Sakhon, Samut Sakhon ",ม.1
1283,ถ.บ้านปลายคลองครุ,1.0,สมุทรสาคร,บริษัท เคเอฟฟู้ดส์ จำกัด,41,นาดี,เมืองสมุทรสาคร,KF Foods Limited,"1 Moo 4, Baanplaiklongkru Road, Nadee, Mueang Samut Sakhon, Samut Sakhon  ",ม.4
1300,ถ.วิเชียรโชฏก,1277.0,สมุทรสาคร,บริษัท โกลเด้น ซี โฟรเซ่นฟู้ดส์ จำกัด,42,มหาชัย,เมืองสมุทรสาคร,"Golden Sea Frozen Foods Co., Ltd.","1277 Wichian Chodok Road, Maha Chai, Mueang Samut Sakhon, Samut Sakhon ",
1303,,99.0,สมุทรสาคร,บริษัท รพีภัทร อินเตอร์ฟู้ดซ์ จำกัด,43,นาโคก,เมืองสมุทรสาคร,"Rapeepat Interfoods Co., Ltd.   ","99 Moo1, Nakok, Mueang Samut Sakhon, Samut Sakhon  ",ม.1
1313,,85.0,สมุทรสาคร,บริษัท โอคินอสฟู้ด จำกัด,44,นาดี,เมืองสมุทรสาคร,"Okeanos Food Co., Ltd.","85 Moo 4, Tambon Nadee, Mueang Samut Sakhon, Samut Sakhon ",ม.4
1324,,369.0,สมุทรสาคร,บริษัท ห้องเย็นท่าข้าม จำกัด,45,บางโทรัด,เมืองสมุทรสาคร,"Thakam Cold Storage Co., Ltd.","369 Moo4, T.Bangtorud, Mueang Samut Sakhon, Samut Sakhon  ",ม.4
1334,,15/23,สมุทรสาคร,บริษัท อ่าวไทย โฟรเซ่น ฟู้ดส์ จำกัด,46,บ้านบ่อ,เมืองสมุทรสาคร,"Aowthai Frozen Food Co., Ltd.","15/23, Moo1, T.Ban Bo, Mueang Samut Sakhon, Samut Sakhon  ",ม.1
1342,,85/2,สมุทรสาคร,บริษัท ไทยยูเนี่ยน กรุ๊ป จำกัด (มหาชน) (โรงกุ้ง),47,นาดี,เมืองสมุทรสาคร,"Thai Union Group Public Co., Ltd. (Shrimp Plant)","85/2 Moo 4, Na Di Sub-district, Mueang Samut Sakhon, Samut Sakhon  ",ม.4
1344,,48/100,สมุทรสาคร,บริษัท เจเอส อินเตอร์มาร์เก็ตติ้ง จำกัด,48,นาดี,เมืองสมุทรสาคร,"JS Inter Marketing Co., Ltd.","48/100 Moo4, Tambol Nadee, Mueang Samut Sakhon, Samut Sakhon  ",ม.4
1348,,148.0,สมุทรสาคร,บริษัท พี.ที. ฟู้ดส์ โพรเซสซิ่ง จำกัด,49,ท่าทราย,เมืองสมุทรสาคร,"P.T. Foods Processing Co., Ltd.","148 Moo 5, T.Tha-Sai, Mueang Samut Sakhon, Samut Sakhon",ม.5
1351,ถ.เศรษฐกิจ1,79/233,สมุทรสาคร,บริษัท ไทยยูเนี่ยน กรุ๊ป จำกัด (มหาชน) (โรง 3),50,ท่าทราย,เมืองสมุทรสาคร,"Thai Union Group Public Co., Ltd. (Plant 3)","79/233 Moo 7, Sethakit 1 Road, Tarsai Sub-district, Mueang Samut Sakhon, Samut Sakhon  ",ม.7
1354,ถ.เอกชัย,66/19,สมุทรสาคร,บริษัท บางกอก ซีฟู้ด จำกัด,51,นาดี,เมืองสมุทรสาคร,"Bangkok Seafood Co., Ltd.","66/19 Moo 3, Ekkachai Road, Nadee, Mueang Samut Sakhon, Samut Sakhon  ",ม.3
1365,,32/13,สมุทรสาคร,บริษัท โกลบอล มารีน โฟรเซ่น ฟู้ด จำกัด,52,บางหญ้าแพรก,เมืองสมุทรสาคร,"Global Marine Frozen Foods Co., Ltd.","32/13 Moo 2, Bang Ya Phraek, Mueang Samut Sakhon, Samut Sakhon  ",ม.2
1366,,67.0,สมุทรสาคร,บริษัท เฮสโก โซลูชั่น จำกัด,53,คลองมะเดื่อ,กระทุ่มแบน,"Hesco Solution Co., Ltd.","67 Moo 4 Klongmaduea, Krathum Baen, Samut Sakhon ",ม.4
1368,,8/53,สมุทรสาคร,บริษัท โฟร์เอ็นโฟรเซ่นฟู๊ด จำกัด,54,บางหญ้าแพรก,เมืองสมุทรสาคร,"Four N Frozen Food Co., Ltd.","8/53 Moo3, Tambol Bangyapreak, Mueang Samut Sakhon, Samut Sakhon ",ม.3
1370,,20/41,สมุทรสาคร,บริษัท บุญชัย ซีฟู๊ด โปรดักส์ จำกัด,55,นาดี,เมืองสมุทรสาคร,"Boonchai Seafood Products Co., Ltd.","20/41 Moo 4, Tumbon Nadee, Mueang Samut Sakhon, Samut Sakhon  ",ม.4
1371,ถ.เอกชัย,923/117,สมุทรสาคร,บริษัท อิงสิตะ จำกัด,56,มหาชัย,เมืองสมุทรสาคร,"Ingsita Co., Ltd,","923/117 Ekachai Road, Mahachai, Mueang Samut Sakhon, Samut Sakhon ",
1372,,49/1422,สมุทรสาคร,บริษัท เอส.เค.โฟรเซ่นซีฟู้ด จำกัด,57,โคกขาม,เมืองสมุทรสาคร,"S.K. Frozen Seafood Co., Ltd.","49/1422 Moo.4, Khokkham, Mueang Samut Sakhon, Samut Sakhon  ",ม.4
1373,,101.0,สมุทรสาคร,บริษัท พีซีเอ็ม ซีฟู้ด จำกัด,58,ท่าทราย,เมืองสมุทรสาคร,"PCM Seafood Co., Ltd.","101 Moo 4, Tha Sai, Mueang Samut Sakhon, Samut Sakhon",ม.4
1377,,60/3,สมุทรสาคร,บริษัท เจริญทรัพย์ โฟรเซ่น ฟู้ดส์ จำกัด,59,โคกขาม,เมืองสมุทรสาคร,"Jaroensap Frozen Foods Co., Ltd.","60/3 Moo 5, Khok Kham, Mueang Samut Sakhon, Samut Sakhon ",ม.5
1379,,70/18-19,สมุทรสาคร,บริษัท ไพลินสมุทร จำกัด,60,ท่าจีน,เมืองสมุทรสาคร,"Pailin Samut Co., Ltd.","70/18-19 Moo 7, Tha Chin, Mueang Samut Sakhon, Samut Sakhon ",ม.7
1380,,30/2,สมุทรสาคร,บริษัท ไทยยูเนี่ยน กรุ๊ป จำกัด (มหาชน) (โรงกุ้ง 2),61,นาดี,เมืองสมุทรสาคร,"Thai Union Group Public Co., Ltd. (Shrimp plant 2)","30/2 Moo4, Na Di Sub-district, Mueang Samut Sakhon, Samut Sakhon  ",ม.4
1382,ถ.เดิมบาง,207/8,สมุทรสาคร,บริษัท พัฒนาซีฟู้ดส์ จำกัด (โรงงานสมุทรสาคร),62,มหาชัย,เมืองสมุทรสาคร,"Phatthana Seafood Co., Ltd. (Samutsakorn Factory)","207/8 Doembang Road, Mahachai, Mueang Samut Sakhon, Samut Sakhon  ",
1383,ถ.เศรษฐกิจ1,78.0,สมุทรสาคร,บริษัท เอส. เค. ฟู้ดส์ (ประเทศไทย) จำกัด (มหาชน),63,ท่าไม้,กระทุ่มแบน,"S.K. Foods (Thailand) Public Co., Ltd. (Plant 1)","78 Moo 5, Sethkij  1 Road, Tha Mai, Krathum Baen, Samut Sakhon  ",ม.5
1384,,22/5,สมุทรสาคร,บริษัท เคอเร้นท์ แคร์ อินเตอร์เนชั่นแนล  จำกัด,64,ชัยมงคล,เมืองสมุทรสาคร,"Current Care International Co., Ltd.","22/5 Moo 2, Chai Mongkon, Mueang Samut Sakhon, Samut Sakhon  ",ม.2
1391,,98.0,สมุทรสาคร,บริษัท เอ็ม เอ พี ฟู้ด จำกัด,65,โคกขาม,เมืองสมุทรสาคร,M.A.P. Food Company Limited,"98 Moo 2, Tombol Khok Kham, Mueang Samut Sakhon, Samut Sakhon ",ม.2
1392,,74/10,สมุทรสาคร,บริษัท หย่งเหอร์ ดีเวลลอปเม้นท์ จำกัด,66,โคกขาม,เมืองสมุทรสาคร,"Yongher Development Co., Ltd.","74/10 Moo 5, Khok Kham, Mueang Samut Sakhon, Samut Sakhon ",ม.5
1397,,80/4,สมุทรสาคร,บริษัท อินเตอร์ สยาม กรุ๊ป จำกัด,67,พันท้ายนรสิงห์,เมืองสมุทรสาคร,"Inter Siam Group Co., Ltd.","80/4 Moo 2, Phan Thai Norasing, Mueang Samut Sakhon, Samut Sakhon  ",ม.2
1402,,44/5,สมุทรสาคร,บริษัท กาลลันท์ โอเชี่ยน (ไทยเเลนด์ ) จำกัด,68,โคกขาม,เมืองสมุทรสาคร,"Gallant Ocean (Thailand) Co., Ltd. ","44/5 Moo. 4 Khokkham, Mueang Samut Sakhon, Samut Sakhon ",ม.4
1403,ถ.เอกชัย,48/48,สมุทรสาคร,บริษัท เซ้าท์แลนด์ ฟู้ด จำกัด,69,นาดี,เมืองสมุทรสาคร,"Southland Food Co., Ltd.","48/48 Moo 4 Ekachai Road, Tambon Nadee, Mueang Samut Sakhon, Samut Sakhon      ",ม.4
1404,,55/83,สมุทรสาคร,บริษัท ห้องเย็นโชติวัฒน์หาดใหญ่ จำกัด (มหาชน) ,70,ท่าทราย,เมืองสมุทรสาคร,"Kiang Huat Sea Gull Trading Frozen Food Public Co., Ltd. ","55/83 Moo6, Tha Sai, Mueang Samut Sakhon, Samut Sakhon  ",ม.6
1406,,55/237,สมุทรสาคร,บริษัท เคียวคุโย โกลบอล ซีฟู้ดส์ จำกัด,71,ท่าทราย,เมืองสมุทรสาคร,"Kyokuyo Global Seafoods Co., Ltd. ","55/237 Moo 6, Tasai, Mueang Samut Sakhon, Samut Sakhon    ",ม.6
1409,,12/3,สมุทรสาคร,บริษัท เอ็นเอส ซีฟูดส์ จำกัด,72,พันท้ายนรสิงห์,เมืองสมุทรสาคร,"NS Seafoods Co., Ltd   ","12/3 Moo.3 Pantai Norasingh, Mueang Samut Sakhon, Samut Sakhon",ม.3
1412,,99/888,สมุทรสาคร,บริษัท พี พี เอ็น ซีฟู้ด วิชชิ่ง จำกัด,73,ท่าทราย,เมืองสมุทรสาคร,"PPN Seafood Wishing Co., Ltd.","99/888 Moo 6 Tha Sai, Mueang Samut Sakhon, Samut Sakhon",ม.6
1413,,71/14,สมุทรสาคร,บริษัท อะเมซิ่ง ทูน่า จำกัด,74,บางหญ้าแพรก,เมืองสมุทรสาคร,"Amazing tuna Co., Ltd.","71/14 Moo. 3 Bang Ya Phraek, Mueang Samut Sakhon, Samut Sakhon",ม.3
1415,ถ.วิเชียรโชฎก,1266.0,สมุทรสาคร,บริษัท แม็คริช โพรเกรส จำกัด,75,มหาชัย,เมืองสมุทรสาคร,"MAKRICH PROGRESS CO., LTD.","1266 VICHIEN CHODOK ROAD, MAHACHAI, MUEANG SAMUT SAKHON, SAMUT SAKHON",
1417,ถ.เอกชัย,48/93,สมุทรสาคร,บริษัท เอื้อศิริพัฒน์ ฟู๊ด จำกัด,76,นาดี,เมืองสมุทรสาคร,"Uasiriphat Food Co., Ltd","48/93, Moo4, Ekachai Road, Na Di, Mueang Samut Sakhon, Samut Sakhon  ",ม.4
1418,,24/458,สมุทรสาคร,บริษัท คอมมอลเวธ์ แฟคตอรี่ จำกัด,77,บางหญ้าแพรก,เมืองสมุทรสาคร,"COMMONWEALTH FACTORY CO., LTD.","24/458 MOO3, BANGYAPHRAEK, MUEANG SAMUT SAKHON, SAMUT SAKHON",ม.3
1419,,109/4,สมุทรสาคร,บริษัท เอ็นพีพี ฟู้ด เซอร์วิส จำกัด,78,บ้านบ่อ,เมืองสมุทรสาคร,"NPP Food Service Co., Ltd.","109/4 Moo1, Tumbol Banbo, Mueang Samut Sakhon, Samut Sakhon  ",ม.1
1425,ถ.เอกชัย,88/31,สมุทรสาคร,บริษัท กวาง ตู้ ฟูเทียน ฟู้ดส์ จำกัด,79,มหาชัย,เมืองสมุทรสาคร,"GWANG TU FUTIAN FOODS CO., LTD.","63/31 Ekachai Road, Mahachai, Mueang Samut Sakhon, Samut Sakhon ",
1426,,63/13,สมุทรสาคร,บริษัท เดลิก้า ฟู้ดส์ จำกัด,80,บางกระเจ้า,เมืองสมุทรสาคร,"Delica Foods Co., Ltd.","63/13 Moo.6, Bangkrajao, Mueang Samut Sakhon, Samut Sakhon ",ม.6
1428,,102/79,สมุทรสาคร,บริษัท ร. มังกรโฟรเซ่นฟู๊ด จำกัด,81,บางหญ้าแพรก,เมืองสมุทรสาคร,"R. Monkhorn Frozen Food Co., Ltd.","102/79 Moo 3, Bang Ya Phraek, Mueang Samut Sakhon, Samut Sakhon  ",ม.3
1429,,10/20,สมุทรสาคร,ห้างหุ้นส่วนจำกัด รินรดา ฟรีซ,82,โคกขาม,เมืองสมุทรสาคร,Rinrada Freeze Partnersip Limited,"10/20 Moo. 9 Khokkham, Mueang Samut Sakhon, Samut Sakhon ",ม.9
1431,,20/214-215,สมุทรสาคร,บริษัท แฮปปี้ ไท้หลิน ซีฟู้ดส์ จำกัด,83,คอกกระบือ,เมืองสมุทรสาคร,HAPPY TAILIN SEA FOODS Company Limited,"20/214-215 Moo 6,  Khok Krabue, Mueang Samut Sakhon, Samut Sakhon  ",ม.6
1432,,57/4,สมุทรสาคร,บริษัท แพ็คฟู้ด จำกัด (มหาชน),84,โคกขาม,เมืองสมุทรสาคร,Pakfood Public Company Limited,"57/4 Moo. 4 Khokkham, Mueang Samut Sakhon, Samut Sakhon ",ม.4
1433,,100/153,สมุทรสาคร,บริษัท เจ-แฟค จำกัด,85,ท่าจีน,เมืองสมุทรสาคร,"J-FAC Co.,Ltd.","100/153 Moo 1, Tha Chin, Mueang Samut Sakhon, Samut Sakhon ",ม.1
1436,,47/35,สมุทรสาคร,บริษัท พี.ซี.ทูน่า สยาม จำกัด,86,นาดี,เมืองสมุทรสาคร,PC TUNA SIAM Company Limited,"47/35 Moo 2, Tambon Nadee, Mueang Samut Sakhon, Samut Sakhon      ",ม.2
2002,,90/6,สมุทรสาคร,บริษัท พัทยาฟู้ดอินดัสตรี จำกัด,87,ท่าทราย,เมืองสมุทรสาคร,Pataya Food Industries Ltd.,"90/6 Moo 7, Tha Sai, Mueang Samut Sakhon, Samut Sakhon  ",ม.7
2005,ถ.เศรษฐกิจ1,30/2,สมุทรสาคร,บริษัท ไทยรวมสินพัฒนาอุตสาหกรรม จำกัด,88,,เมืองสมุทรสาคร,"Thai Union Manufacturing Co.,Ltd.","30/2 Sethakit 1 Road, Mueang Samut Sakhon, Samut Sakhon  ",
2010,,95.0,สมุทรสาคร,บริษัท เอส. เค. ฟู้ดส์ (ประเทศไทย) จำกัด (มหาชน),89,ชัยมงคล,เมืองสมุทรสาคร,S.K. Foods (Thailand) Public Company Limited,"95 Moo 3, Chaimongkhol, Mueang Samut Sakhon, Samut Sakhon ",ม.3
2021,,15/2,สมุทรสาคร,บริษัท พูนสินทั่งง่วนฮะ จำกัด,90,บางหญ้าแพรก,เมืองสมุทรสาคร,"Poonsin Thang Nguan Hah Co., Ltd.","15/2 Moo 1, Bangyaprack, Mueang Samut Sakhon, Samut Sakhon ",ม.1
2023,ถ.ถวาย,85/1-3,สมุทรสาคร,บริษัท เจริญอุตสาหกรรม จำกัด ,91,ท่าฉลอม,เมืองสมุทรสาคร,Chin Huay Public Company Limited  ,"85/1-3 Tawai Road, Thachalom, Mueang Samut Sakhon, Samut Sakhon  ",
