ประกอบกิจการ,หมู่,ถนน,เงินทุนรวม (ล้านบาท),เลขทะเบียนโรงงาน,FID,_id,แรงม้า,รหัสประเภท,ชื่อโรงงาน,ตำบล,ปีที่อนุญาต,ซอย,อำเภอ,เลขที่,จังหวัด,ผู้ประกอบการ,จำพวก,คนงานรวม,รหัสไปรษณีย์
"ผลิตเบาะหุ้มรถยนต์และอุปกรณ์ภายในรถยนต์,เต็นท์และเครื่องแคมปิ้ง",-,-, 45.00 ,ก2-32(1)-3/66,50100131125665,154,65.64,3201,บริษัท เซอร์วี เอเชีย จำกัด,แสมดำ,66,บางขุนเทียน 11 แยก 2 - 3 ,บางขุนเทียน,9,กรุงเทพมหานคร,บริษัท เซอร์วี เอเชีย จำกัด,2, 50 ,10150
ทำรองเท้าหนัง,,พระรามที่ 2, 4.30 ,ก2-33-2/64,50100033825644,155,29.25,3300,บริษัท สุขสวัสดิ์ ฟุตแวร์ จำกัด,แสมดำ,64,,บางขุนเทียน,528,กรุงเทพมหานคร,บริษัท สุขสวัสดิ์ ฟุตแวร์ จำกัด,2, 52 ,10150
ผลิตรองเท้า,5,พระราม 2, 4.00 ,ก2-33-1/64,50100033625648,156,68.08,3300,บริษัท สุเมธ ชูส จำกัด,แสมดำ,64,,บางขุนเทียน,4/624-6,กรุงเทพมหานคร,บริษัท สุเมธ ชูส จำกัด,2, 23 ,10150
ผลิตภัณฑ์จากไม้ หรือไม้ก๊อก,,พระราม 2, 40.00 ,ก2-36(5)-1/64,50100284625644,157,56.0,3605,บริษัท ไทยสยามนคร จำกัด,ท่าข้าม,64,,บางขุนเทียน,55,กรุงเทพมหานคร,บริษัท ไทยสยามนคร จำกัด,2, 30 ,10150
ผลิตภาชนะบรรจุจากกระดาษ เช่น จานกระดาษ,-,แสมดำ, 5.50 ,ก2-39-66/64,50100414725645,158,68.0,3900,ธนกรเปเปอร์,แสมดำ,64,-,บางขุนเทียน,128/15,กรุงเทพมหานคร,ธนกรเปเปอร์,2, 18 ,10150
ผลิตกระดาษม้วนเครื่องคำนวณและผลิตกระดาษต่อเนื่อง,,, 15.00 ,ก2-40(2)-8/64,50100264525640,159,59.0,4002,บริษัท ศรีไทยเปเปอร์ซัพพลาย จำกัด,แสมดำ,64,พระรามที่ 2 ซอย 54,บางขุนเทียน,"62,64,66,68",กรุงเทพมหานคร,บริษัท ศรีไทยเปเปอร์ซัพพลาย จำกัด,2, 55 ,10150
ผลิตแผ่นป้ายไวนิล,,กาญจนาภิเษก, 128.00 ,ก2-41(1)-7/65,50100183225652,160,74.9,4101,บริษัท บางกอก ซัพพลาย (2022) จำกัด,ท่าข้าม,65,,บางขุนเทียน,177/44-45,กรุงเทพมหานคร,บริษัท บางกอก ซัพพลาย (2022) จำกัด,2, 38 ,10150
การพิมพ์ การทำแฟ้มเก็บเอกสาร การเย็บเล่ม ทำปก หรือตกแต่งสิ่งพิมพ์,-,อนามัยงามเจริญ, 25.00 ,ก2-41(1)-2/65,50100012425655,161,74.5,4101,บริษัท บี.เบสท์ พริ้นติ้ง จำกัด,ท่าข้าม,65,อนามัยงามเจริญ 14/2,บางขุนเทียน,"320,322",กรุงเทพมหานคร,บริษัท บี.เบสท์ พริ้นติ้ง จำกัด,2, 21 ,10150
ตกแต่งสิ่งพิมพ์,5,บางขุนเทียนชายทะเล, 5.00 ,2-41(1)-4/52,10100800425528,162,21.5,4101,บริษัท วิชิต สกรีน แอนด์ ฟุตเกียร์ จำกัด,แสมดำ,52,,บางขุนเทียน,41/92,กรุงเทพมหานคร,บริษัท วิชิต สกรีน แอนด์ ฟุตเกียร์ จำกัด,2, 50 ,10150
โรงพิมพ์ การพิมพ์ การทำแฟ้มเก็บเอกสารฯ,-,อนามัยงามเจริญ, 6.50 ,ก2-41(1)-3/63,50100264625630,163,61.0,4101,บริษัท ดีครับ จำกัด,ท่าข้าม,63,-,บางขุนเทียน,24-26,กรุงเทพมหานคร,บริษัท ดีครับ จำกัด,2, 11 ,10150
พิมพ์สิ่งพิมพ์ต่าง ๆ,7,บางขุนเทียน, 14.88 ,2-41(1)-2/50,10100900225505,164,50.0,4101,บริษัท อัญญพัฒนา จำกัด,ท่าข้าม,50,เทียนทะเล 19,บางขุนเทียน,10/100,กรุงเทพมหานคร,บริษัท อัญญพัฒนา จำกัด,2, 7 ,10150
การพิมพ์ การทำแฟ้มเก็บเอกสาร การเย็บเล่ม ทำปก หรือตกแต่งสิ่งพิมพ์,-,-, 22.73 ,ก2-41(1)-9/65,50100211625659,165,61.28,4101,บริษัท วาย.เค.เอช.กราฟิค แอนด์ เพรส จำกัด,ท่าข้าม,65,พระรามที่ 2 ซอย 51,บางขุนเทียน,261/1,กรุงเทพมหานคร,บริษัท วาย.เค.เอช.กราฟิค แอนด์ เพรส จำกัด,2, 20 ,10150
	ผลิตแผ่นป้ายไวนิล,-,สะแกงาม, -   ,ก2-41(1)-70/64,50100200725643,166,70.57,4101,บริษัท โปรไลฟ์ พลัส จำกัด,แสมดำ,64,-,บางขุนเทียน,109/9 ,กรุงเทพมหานคร,บริษัท โปรไลฟ์ พลัส จำกัด,2, 5 ,10150
ผลิตเครื่องสำอาง,,	อนามัยงามเจริญ, 9.20 ,ก2-47(3)-26/64,50100255525641,167,57.5,4703,บริษัท ทิพย์สมงาม จำกัด,ท่าข้าม,64,อนามัยงามเจริญ 33 แยก 3,บางขุนเทียน,257/1,กรุงเทพมหานคร,บริษัท ทิพย์สมงาม จำกัด,2, 9 ,10150
ทำผลิตภัณฑ์ยางจากยางธรรมชาติหรือยางสังเคราะห์,,พระราม 2, 15.00 ,ก2-52(4)-15/64,50100196925645,168,67.0,5204,บริษัท เคนโต้ ฟุตแวร์ (ประเทศไทย) จำกัด,แสมดำ,64,ท่าข้าม 20 แยก 6-1-2-2-3,บางขุนเทียน,5,กรุงเทพมหานคร,บริษัท เคนโต้ ฟุตแวร์ (ประเทศไทย) จำกัด,2, 15 ,10150
ผลิตและจัดจำหน่ายบรรจุภัณฑ์พลาสติกและเครื่องครัวทุกชนิด,-,-, 2.90 ,ก2-53(1)-1/66,50100034925666,169,75.0,5301,บริษัท เอสทียู พลาสติก จำกัด,แสมดำ,66,พระรามที่ 2 ซอย 48,บางขุนเทียน,80,กรุงเทพมหานคร,บริษัท เอสทียู พลาสติก จำกัด,2, 3 ,10150
การทำเครื่องมือ เครื่องใช้ เครื่องเรือนหรือเครื่องประดับ,,สะแกงาม, 13.00 ,ก2-53(1)-8/60,50100300825608,170,50.0,5301,บริษัท เค.เอส.ที.วี. พลาสติก จำกัด,แสมดำ,60,สะแกงาม 35 แยก 2,บางขุนเทียน,1,กรุงเทพมหานคร,บริษัท เค.เอส.ที.วี. พลาสติก จำกัด,2, 10 ,10150
ผลิตและจัดจำหน่ายบรรจุภัณฑ์พลาสติกและเครื่องครัวทุกชนิด,-,-, 2.40 ,ก2-53(1)-2/66,50100035025664,171,70.0,5301,เอส.ที.มาร์เก็ตติ้ง,แสมดำ,66,พระรามที่ 2 ซอย 48,บางขุนเทียน,"134,136",กรุงเทพมหานคร,เอส.ที.มาร์เก็ตติ้ง,2, 3 ,10150
บรรจุภัณฑ์พลาสติก,-,บางขุนเทียน - ชายทะเล, 1.50 ,ก2-53(4)-1/66,50100023325662,172,52.0,5304,บริษัท เอสพี แพคเกจจิ้ง จำกัด,ท่าข้าม,66,เทียนทะเล 24,บางขุนเทียน,72/5,กรุงเทพมหานคร,บริษัท เอสพี แพคเกจจิ้ง จำกัด,2, 14 ,10150
การทำภาชนะบรรจุ เช่น ถุงหรือกระสอบ,-,บางขุนเทียน-ชายทะเล, 18.00 ,ก2-53(4)-3/65,50100170625658,173,73.5,5304,นายโสฬส จิตอัจนาบุญ,ท่าข้าม,65,เทียนทะเล 19,บางขุนเทียน,18/159-160,กรุงเทพมหานคร,นายโสฬส จิตอัจนาบุญ,2, 13 ,10150
ผลิตถุงพลาสติก,7,บางขุนเทียนชายทะเล, -   ,ข2-53(4)-7/49,91100300725494,174,32.5,5304,บริษัท เจริญศิลป์พลาสติกพริ้นติ้ง จำกัด,ท่าข้าม,49,วงแหวนชัชวาล,บางขุนเทียน,16/90,กรุงเทพมหานคร,บริษัท เจริญศิลป์พลาสติกพริ้นติ้ง จำกัด,2, 52 ,10150
ผลิตถุงพลาสติก พิมพ์,5,พระราม 2, 2.40 ,ก2-53(4)-7/64,50100034025640,175,55.0,5304,นางจันทร์ฉาย แต้เจริญวงศ์,แสมดำ,64,พระราม 271,บางขุนเทียน,4/842-843,กรุงเทพมหานคร,นางจันทร์ฉาย แต้เจริญวงศ์,2, 9 ,10150
การทำภาชนะบรรจุ เช่น ถุงหรือกระสอบ,-,บางขุนเทียน-ชายทะเล, 18.00 ,ก2-53(4)-2/65,50100170525650,176,74.0,5304,บริษัท บลู โอเชี่ยน พลัส จำกัด,ท่าข้าม,65,เทียนทะเล 19,บางขุนเทียน,18/157-158,กรุงเทพมหานคร,บริษัท บลู โอเชี่ยน พลัส จำกัด,2, 18 ,10150
ผลิตภัณฑ์พลาสติก เช่น ถุงพลาสติก,-,บางกระดี่, 6.30 ,ก2-53(4)-1/65,50100136125652,177,63.0,5304,เชี่ยวชาญพลาสติก,แสมดำ,65,บางกระดี่ 8,บางขุนเทียน,20/1,กรุงเทพมหานคร,เชี่ยวชาญพลาสติก,2, 22 ,10150
ทำใบมีดตัดขนาดต่างๆ ด้ามมีดโกนที่เป็นโลหะหรือพลาสติก,,, 17.00 ,ก2-61-3/64,50100034125648,178,55.0,6100,บริษัท ฮวง เอ็นเตอร์ไพรซ์ จำกัด,แสมดำ,64,ท่าข้าม 20 แยก 8,บางขุนเทียน,20,กรุงเทพมหานคร,บริษัท ฮวง เอ็นเตอร์ไพรซ์ จำกัด,2, 15 ,10150
ผลิตเครื่องเรือนและเครื่องตกแต่งภายในอาคารที่ทำจากเหล็ก,,บางขุนเทียน-ชายทะเล, 36.00 ,ก2-62-2/64,50100034225646,179,62.0,6200,บริษัท ฉัตรอินเตอร์ จำกัด,ท่าข้าม,64,เทียนทะเล 24,บางขุนเทียน,104,กรุงเทพมหานคร,บริษัท ฉัตรอินเตอร์ จำกัด,2, 67 ,10150
กลึงวาล์วประตูน้ำ และลูกกลิ้งเครื่องบดยาง,7,เอกชัย, 3.58 ,ก2-64(9)-10/64,50100036325642,180,54.0,6409,ไทยอวนรุ่งเรือง,แสมดำ,64,วิชัยวิทยา (เทียนทอง 7),บางขุนเทียน,"43/69, 43/76,43/236",กรุงเทพมหานคร,ไทยอวนรุ่งเรือง,2, 14 ,10150
รับขัดโลหะ,-,บางขุนเทียน-ชายทะเล, 4.10 ,ก2-64(10)-9/64,50100326525646,181,56.0,6410,ห้างหุ้นส่วนจำกัด พีเอส บาร์เรล,ท่าข้าม,64,เทียนทะเล 26 แยก 3,บางขุนเทียน,20,กรุงเทพมหานคร,ห้างหุ้นส่วนจำกัด พีเอส บาร์เรล,2, 5 ,10150
ตัด พับ โลหะ,,, 1.70 ,ก2-64(12)-2/64,50100034325644,182,52.0,6412,บริษัท หงยุ่นต๊ะสตีล จำกัด,แสมดำ,64,สะแกงาม 27,บางขุนเทียน,13,กรุงเทพมหานคร,บริษัท หงยุ่นต๊ะสตีล จำกัด,2, 5 ,10150
"กลึง เชื่อมโลหะทั่วไป กำลังการผลิต น๊อต-สกรู 6,000 ชิ้น/ปี เพลา-บู๊ช 6,000 ชิ้น/ปี ชิ้นส่วนเครื่องจักร 100,000ชิ้น/ปี",,บางขุนเทียน-ชายทะเล, 8.00 ,ก2-64(13)-26/64,50100035325643,183,61.0,6413,นายธนภัทร แซ่โค้ว,แสมดำ,64,เทียนทะเล16,บางขุนเทียน,"301,303",กรุงเทพมหานคร,นายธนภัทร แซ่โค้ว,2, 16 ,10150
รับจ้างกลึง กัด เจาะ ไส และเชื่อมโลหะ,,สะแกงาม, 30.00 ,ก2-64(13)-25/64,50100034625647,184,74.5,6413,บริษัท เอสทีดี. พาร์ทแอนด์โมลด์ จำกัด,แสมดำ,64,สะแกงาม 7,บางขุนเทียน,4/553-555,กรุงเทพมหานคร,บริษัท เอสทีดี. พาร์ทแอนด์โมลด์ จำกัด,2, 35 ,10150
กลึง เจาะ เชื่อม ไส โลหะทั่วไป,,, 5.70 ,ก2-64(13)-29/64,50100035925640,185,65.47,6413,นางจิราพร เลิศมงคลกุล,แสมดำ,64,พระรามที่ 2 ซอย 92,บางขุนเทียน,"73,75",กรุงเทพมหานคร,นางจิราพร เลิศมงคลกุล,2, 5 ,10150
กลึง เจาะและเจียนโลหะ,-,-, 19.60 ,ก2-64(13)-3/66,50100016125665,186,74.0,6413,บริษัท ซิงซันไท่ อินดัสเทรียล จำกัด,แสมดำ,66,พระรามที่ 2 ซอย 75,บางขุนเทียน,"519,521",กรุงเทพมหานคร,บริษัท ซิงซันไท่ อินดัสเทรียล จำกัด,2, 57 ,10150
กลึงโลหะและลับคมเครื่องมือต่าง ๆ เช่น ใบเลื่อย,,, 8.00 ,ก2-64(13)-28/64,50100035725644,187,56.6,6413,นายจำนงค์ ตระกูลเกิด,แสมดำ,64,พระรามที่ 2 ซอย 46,บางขุนเทียน,"81,83",กรุงเทพมหานคร,นายจำนงค์ ตระกูลเกิด,2, 21 ,10150
"ทำน๊อต สกรู อะไหล่รถยนต์,รถจักรยานยนต์",-,บางขุนเทียน-ชายทะเล, 1.00 ,ก2-64(14)-2/65,50100021125650,188,73.0,6414,บริษัท เฮง สกรู จำกัด,ท่าข้าม,65,เทียนทะเล 26 แยก 4,บางขุนเทียน,226,กรุงเทพมหานคร,บริษัท เฮง สกรู จำกัด,2, 35 ,10150
การทำชิ้นส่วนหรืออุปกรณ์ของผลิตภัณฑ์โลหะฯ เช่น หม้อแปลง ตู้คอนโทรล,-,บางกระดี่, 14.30 ,ก2-64(14)-24/64,50100471825643,189,73.0,6414,บริษัท โรงงาน ธ.แสงทอง จำกัด,แสมดำ,64,บางกระดี่ 19 แยก 9,บางขุนเทียน,99,กรุงเทพมหานคร,บริษัท โรงงาน ธ.แสงทอง จำกัด,2, 20 ,10150
งานเชื่อมโลหะและงานปั้มขึ้นรูปโลหะ,-,สะแกงาม, 7.60 ,ก2-64(14)-3/65,50100037425656,190,75.0,6414,บริษัท พรศักดิ์โลหะการทวีทรัพย์ จำกัด,แสมดำ,65,สะแกงาม 7 แยก 8,บางขุนเทียน,"96,98",กรุงเทพมหานคร,บริษัท พรศักดิ์โลหะการทวีทรัพย์ จำกัด,2, 21 ,10150
การทำชิ้นส่วนหรืออุปกรณ์ของผลิตภัณฑ์โลหะฯ เช่น หม้อแปลง ตู้คอนโทรล,-,บางกระดี่, 14.30 ,ก2-64(14)-25/64,50100472025649,191,73.0,6414,บริษัท โรงงาน ธ.แสงทอง จำกัด,แสมดำ,64,บางกระดี่ 19 แยก 9,บางขุนเทียน,9/1,กรุงเทพมหานคร,บริษัท โรงงาน ธ.แสงทอง จำกัด,2, 20 ,10150
อุปกรณ์ฝ้า,,บางขุนเทียน-ชายทะเล, 41.00 ,ก2-64(14)-17/64,50100243225643,192,64.0,6414,บริษัท ทีรกร อินดัสทรี จำกัด,ท่าข้าม,64,เทียนทะเล 24,บางขุนเทียน,134/20,กรุงเทพมหานคร,บริษัท ทีรกร อินดัสทรี จำกัด,2, 40 ,10150
ทำชิ้นส่วนหรืออุปกรณ์ของผลิตภัณฑ์โลหะ เช่น ตะขอ บานพับ,,บางขุนเทียน-ชายทะเล, 30.00 ,ก2-64(14)-16/64,50100243125645,193,70.0,6414,บริษัท ทีรกร อินดัสทรี จำกัด,ท่าข้าม,64,เทียนทะเล 24,บางขุนเทียน,134,กรุงเทพมหานคร,บริษัท ทีรกร อินดัสทรี จำกัด,2, 30 ,10150
ผลิตและจำหน่ายเครื่องจักรอัตโนมัติ,-,บางขุนเทียน-ชายทะเล, 27.00 ,ก2-64(14)-4/65,50100128125652,194,61.0,6414,บริษัท ฮาโก ออโตเมชั่น จำกัด,ท่าข้าม,65,เทียนทะเล 19,บางขุนเทียน,182,กรุงเทพมหานคร,บริษัท ฮาโก ออโตเมชั่น จำกัด,2, 32 ,10150
ผลิต/ติดตั้งเครื่องจักรในโรงงานอุตสาหกรรม,-,บางขุนเทียน-ชายทะเล, 1.20 ,ก2-64(14)-1/65,50100021025652,195,74.0,6414,บริษัท ฮาชิ เอ็นจิเนียริ่ง แอนด์ ซัพพลาย จำกัด,ท่าข้าม,65,เทียนทะเล 26 แยก 2,บางขุนเทียน,44,กรุงเทพมหานคร,บริษัท ฮาชิ เอ็นจิเนียริ่ง แอนด์ ซัพพลาย จำกัด,2, 30 ,10150
"ซ่อมเครื่องยนต์ , และอุปกรณ์เครื่องยนต์ด้วยการกลึง ,และเชื่อมโลหะ",,บางขุนเทียน-ชายทะเล, 5.60 ,ก2-65-7/64,50100037425649,196,56.0,6500,นายกำธร แซ่อุ้ย,ท่าข้าม,64,เทียนทะเล 24,บางขุนเทียน,23,กรุงเทพมหานคร,นายกำธร แซ่อุ้ย,2, 6 ,10150
ผลิตและจำหน่ายอะไหล่เครื่องยนต์,,, 18.00 ,ก2-65-1/65,50100183325650,197,74.48,6500,บริษัท บางมด เรซซิ่ง จำกัด,ท่าข้าม,65,อนามัยงามเจริญ 25 แยก 2 - 3,บางขุนเทียน,4/3,กรุงเทพมหานคร,บริษัท บางมด เรซซิ่ง จำกัด,2, 10 ,10150
ผลิตผนังสำเร็จรูป,,พระราม 2, 32.00 ,ก2-67(1)-1/64,50100284825640,198,60.0,6701,บริษัท ไทยสยามนคร จำกัด,ท่าข้าม,64,,บางขุนเทียน,55,กรุงเทพมหานคร,บริษัท ไทยสยามนคร จำกัด,2, 22 ,10150
ทำโครงเหล็กสำหรับประกอบเครื่องหล่อเย็น,6,บางขุนเทียน, 4.30 ,ก2-70-5/64,50100037725642,199,72.0,7000,,แสมดำ,64,ม่วงสกุล,บางขุนเทียน,100/12-13,กรุงเทพมหานคร,นางสุนีย์ ชุณหกิตติยานนท์,2, 12 ,10150
ผลิต ประกอบ ดัดแปลงหรือซ่อมแซมเครื่องจักร,-,บางขุนเทียน-ชายทะเล, 7.40 ,ก2-71-33/64,50100213325647,200,60.0,7100,บริษัท คณธัช อุตสาหกรรม จำกัด,แสมดำ,64,เทียนทะเล 5,บางขุนเทียน,16,กรุงเทพมหานคร,บริษัท คณธัช อุตสาหกรรม จำกัด,2, 21 ,10150
โรงงานผลิต ประกอบ ดัดแปลง หรือ ซ่อมแซมเครื่องจักร,,บางขุนเทียน-ชายทะเล, 5.26 ,ก2-71-31/64,50100212925645,201,66.5,7100,บริษัท กันตพัฒน์ เอ็นจิเนียริ่ง จำกัด,แสมดำ,64,เทียนทะเล 5,บางขุนเทียน,14,กรุงเทพมหานคร,บริษัท กันตพัฒน์ เอ็นจิเนียริ่ง จำกัด,2, 52 ,10150
ประกอบเครื่องปรับอากาศ,-,อนามัยงามเจริญ, 180.05 ,ก2-71-40/64,50100311125642,202,55.44,7100,บริษัท ทรัพย์ทองห่อ จำกัด,ท่าข้าม,64,-,บางขุนเทียน,396,กรุงเทพมหานคร,บริษัท ทรัพย์ทองห่อ จำกัด,2, 25 ,10150
ผลิต ประกอบ ดัดแปลงหรือซ่อมแซมเครื่องจักร,,บางขุนเทียน-ชายทะเล, 7.20 ,ก2-71-32/64,50100213125641,203,54.0,7100,นางสาว วรินทรทิพย์ ลิขิตธนปรีดา,แสมดำ,64,เทียนทะเล 5,บางขุนเทียน,16/1,กรุงเทพมหานคร,นางสาว วรินทรทิพย์ ลิขิตธนปรีดา,2, 22 ,10150
ทำสายไฟฟ้า,,บางขุนเทียน, 2.50 ,ก2-74(2)-1/64,50100037925648,204,61.01,7402,บริษัท ชลตะวัน อีเล็คทริค จำกัด,แสมดำ,64,บางขุนเทียน 14,บางขุนเทียน,54,กรุงเทพมหานคร,บริษัท ชลตะวัน อีเล็คทริค จำกัด,2, 12 ,10150
ผลิตและประกอบโคมไฟฟ้า,,บางกระดี่, 6.50 ,ก2-74(3)-2/64,50100038225642,205,60.11,7403,,แสมดำ,64,,บางขุนเทียน,213,กรุงเทพมหานคร,นางสาวพัชร์ณัฐ ท้วมรุ่งโรจน์,2, 12 ,10150
ทำเครื่องประดับโดยใช้เพชร พลอย ไข่มุก ทองคำ ทองขาว เงิน นาก หรืออัญมณี อย่างใดอย่างหนึ่งหรือหลายอย่าง,0,พระรามที่ 2, 23.00 ,ก2-84(1)-3/59,50100200325592,206,26.68,8401,บริษัท รอยัล ซิลเวอร์ พลัส จำกัด,แสมดำ,59,พระรามที่ 2-54แยก4,บางขุนเทียน,"5,7",กรุงเทพมหานคร,บริษัท รอยัล ซิลเวอร์ พลัส จำกัด,2, 84 ,10150
โรงงานประกอบกิจการเกี่ยวกับเพชร พลอย ทอง เงิน นาก หรืออัญมณีอย่างหนึ่งอย่างใด ,- ,-, 32.00 ,ก2-84(1)-4/63,50100261425638,207,75.0,8401,บริษัท รอยัล ซิลเวอร์ พลัส จำกัด,แสมดำ,63,พระรามที่ 2 ซอย 50 แยก 7,บางขุนเทียน,164 (ชั้น 1),กรุงเทพมหานคร,บริษัท รอยัล ซิลเวอร์ พลัส จำกัด,2, 63 ,10150
เกี่ยวกับเพชร พลอย ทอง เงิน นาก หรืออัญมณีอย่างหนึ่งอย่างใด,-,บางขุนเทียน-ชายทะเล, 32.00 ,ก2-84(1)-5/63,50100263025634,208,62.0,8401,บริษัท รอยัล ซิลเวอร์ พลัส จำกัด,ท่าข้าม,63,เทียนทะเล 19,บางขุนเทียน,166 (ชั้น 1) ,กรุงเทพมหานคร,บริษัท รอยัล ซิลเวอร์ พลัส จำกัด,2, 63 ,10150
เกี่ยวกับเพชร พลอย ทอง เงิน นาก หรืออัญมณีอย่างอื่นอย่างใด,-,บางขุนเทียน-ชายทะเล, 32.00 ,ก2-84(2)-3/63,50100263125632,209,68.0,8402,บริษัท รอยัล ซิลเวอร์ พลัส จำกัด,ท่าข้าม,63,เทียนทะเล 19,บางขุนเทียน,166 (ชั้น2),กรุงเทพมหานคร,บริษัท รอยัล ซิลเวอร์ พลัส จำกัด,2, 63 ,10150
เกี่ยวกับเพชร พลอย ทอง เงิน นาก หรืออัญมณีอย่างใดอย่างหนึ่ง,-,-, 32.00 ,ก2-84(2)-2/63,50100262025635,210,63.0,8402,บริษัท รอยัล ซิลเวอร์ พลัส จำกัด,แสมดำ,63,พระรามที่ 2 ซอย 50 แยก 7,บางขุนเทียน,164 (ชั้น2),กรุงเทพมหานคร,บริษัท รอยัล ซิลเวอร์ พลัส จำกัด,2, 63 ,10150
เกี่ยวกับ เพชร พลอย ทอง เงิน นาก หรืออัญมณีอย่างหนึ่งอย่างใด,,บางขุนเทียน-ชายทะเล, 32.00 ,ก2-84(3)-3/63,50100263225630,211,58.0,8403,บริษัท รอยัล ซิลเวอร์ พลัส จำกัด,ท่าข้าม,63,เทียนทะเล 19 ,บางขุนเทียน,166 (ชั้น 3) ,กรุงเทพมหานคร,บริษัท รอยัล ซิลเวอร์ พลัส จำกัด,2, 63 ,10150
เกี่ยวกับเพชร พลอย ทอง เงิน นาก หรืออัญมณีอย่างหนึ่งอย่างใด,-,-, 32.00 ,ก2-84(3)-2/63,50100262825638,212,58.0,8403,บริษัท รอยัล ซิลเวอร์ พลัส จำกัด,แสมดำ,63,พระรามที่ 2 ซอย 50 แยก 7,บางขุนเทียน,164 (ชั้น 3),กรุงเทพมหานคร,บริษัท รอยัล ซิลเวอร์ พลัส จำกัด,2, 63 ,10150
บรรจุสินค้า,-,พระรามที่ 2, 248.14 ,ก2-91(1)-1/66,50100101825666,213,60.0,9101,บริษัท จันวาณิชย์ ซีเคียวริตี้พริ้นท์ติ้ง จำกัด,แสมดำ,66,พระรามที่ 2 ซอย 50 แยก 2,บางขุนเทียน,"244,244/1-2",กรุงเทพมหานคร,บริษัท จันวาณิชย์ ซีเคียวริตี้พริ้นท์ติ้ง จำกัด,2, 47 ,10150
ซ่อมและทำความสะอาดกระสอบ ,-,, 16.00 ,ก2-97-4/64,50100168625645,214,62.0,9700,บริษัท ต.ยิ่งเซ้ง จำกัด,แสมดำ,64,ท่าข้าม 5,บางขุนเทียน,8,กรุงเทพมหานคร,บริษัท ต.ยิ่งเซ้ง จำกัด,2, 20 ,10150
ผลิตอาหารสำเร็จรูป เช่น กระเทียมผง สาหร่ายผงบรรจุแคปซูลหรือทำเป็นเม็ด ผลิตเครื่องสำอางค์,,แจ้งวัฒนะ, 11.50 ,ก2-9(4)-1/64,50100007625640,215,72.26,904,บริษัท โควิก เคทท์ อินเตอร์เนชั่นแนล (ประเทศไทย) จำกัด,อนุสาวรีย์,64,-,บางเขน,"76/60,62,64",กรุงเทพมหานคร,บริษัท โควิก เคทท์ อินเตอร์เนชั่นแนล (ประเทศไทย) จำกัด,2, 6 ,10220
กลึง เจาะ คว้านโลหะทั่วไป,4,รามอินทรา, 3.50 ,2-64(13)-106/36,10100110625361,216,50.0,6413,บริษัท ฮิวสตัน ออยล์เลอร์ ปิโตรเลี่ยม อิควิปเมนท์ จำกัด,อนุสาวรีย์,36,สุขาภิบาล 5,บางเขน,37/39,กรุงเทพมหานคร,บริษัท ฮิวสตัน ออยล์เลอร์ ปิโตรเลี่ยม อิควิปเมนท์ จำกัด,2, 7 ,10220
ทำไส้กรอก แฮม และเบคอนชนิดต่าง ๆ,,, 9.00 ,ก2-4(3)-1/64,50100005125643,217,57.7,403,บางกอกซอสเซ็ด แอนด์ แฮม,บางโคล่,64,,บางคอแหลม,"63,65,67,69",กรุงเทพมหานคร,บางกอกซอสเซ็ด แอนด์ แฮม,2, 7 ,10120
ตัดเย็บเสื้อผ้าสำเร็จรูป (จำนวนจักรเย็บผ้า 85 เครื่อง),,เจริญกรุง, 8.00 ,ก2-28(1)-5/64,50100003125645,218,52.58,2801,บริษัท โกลเด้นโบล์ จำกัด,วัดพระยาไกร,64,วัดราชสิงขร 2,บางคอแหลม,209/9-11,กรุงเทพมหานคร,บริษัท โกลเด้นโบล์ จำกัด,2, 67 ,10120
ตัดและพับเหล็กเพื่อใช้ในงานอุตสาหกรรมและการก่อสร้าง,,, 4.55 ,ก2-63(2)-4/64,50100002925649,219,62.5,6302,นางสาวมะลิวัลย์ พัฒนะชัยสิริ,บางโคล่,64,สาธุประดิษฐ์16 (ฝั่งขวา),บางคอแหลม,80,กรุงเทพมหานคร,นางสาวมะลิวัลย์ พัฒนะชัยสิริ,2, 13 ,10120
ทำแบบพิมพ์โลหะสำหรับอัดพลาสติกและยาง,,เจริญกรุง, 0.48 ,ก2-64(9)-2/64,50100007025643,220,50.5,6409,ส.เจริญการช่าง,บางคอแหลม,64,ต้นโพธิ์,บางคอแหลม,498/8-9,กรุงเทพมหานคร,ส.เจริญการช่าง,2, 4 ,10120
กลึง ไส กัด เจาะโลหะ,,พระราม 3, 1.35 ,ก2-64(13)-6/64,50100006925645,221,68.0,6413,นายไพศาล ฟักไพโรจน์,บางโคล่,64,อยู่ดี,บางคอแหลม,599/61,กรุงเทพมหานคร,นายไพศาล ฟักไพโรจน์,2, 5 ,10120
กลึง และเชื่อมโลหะ,,วัดไผ่เงิน, 0.80 ,ก2-64(13)-5/64,50100006725649,222,61.75,6413,ไทยเจริญการช่าง,บางโคล่,64,อยู่ดีพูลผล,บางคอแหลม,3769/83,กรุงเทพมหานคร,ไทยเจริญการช่าง,2, 4 ,10120
