มาตรา 39,มาตรา 40,_id,ปี,มาตรา 33,รวม,รายการ,จังหวัด,หน่วย
284,345,29,2565,82,711,ผู้สูงอายุที่เป็นผู้ประกันตนในระบบประกันสังคม,ปทุมธานี,ราย
9,141,30,2565,3,153,ผู้สูงอายุที่เป็นผู้ประกันตนในระบบประกันสังคม,ประจวบคีรีขันธ์,ราย
14,116,31,2565,11,141,ผู้สูงอายุที่เป็นผู้ประกันตนในระบบประกันสังคม,ปราจีนบุรี,ราย
3,116,32,2565,6,125,ผู้สูงอายุที่เป็นผู้ประกันตนในระบบประกันสังคม,ปัตตานี,ราย
77,201,33,2565,,278,ผู้สูงอายุที่เป็นผู้ประกันตนในระบบประกันสังคม,พระนครศรีอยุธยา,ราย
6,"1,463",34,2565,3,"1,472",ผู้สูงอายุที่เป็นผู้ประกันตนในระบบประกันสังคม,พะเยา,ราย
3,247,35,2565,3,253,ผู้สูงอายุที่เป็นผู้ประกันตนในระบบประกันสังคม,พังงา,ราย
1,325,36,2565,1,327,ผู้สูงอายุที่เป็นผู้ประกันตนในระบบประกันสังคม,พัทลุง,ราย
10,259,37,2565,2,271,ผู้สูงอายุที่เป็นผู้ประกันตนในระบบประกันสังคม,พิจิตร,ราย
16,453,38,2565,7,476,ผู้สูงอายุที่เป็นผู้ประกันตนในระบบประกันสังคม,พิษณุโลก,ราย
12,136,39,2565,6,154,ผู้สูงอายุที่เป็นผู้ประกันตนในระบบประกันสังคม,เพชรบุรี,ราย
12,252,40,2565,10,274,ผู้สูงอายุที่เป็นผู้ประกันตนในระบบประกันสังคม,เพชรบูรณ์,ราย
8,364,41,2565,4,376,ผู้สูงอายุที่เป็นผู้ประกันตนในระบบประกันสังคม,แพร่,ราย
40,217,42,2565,28,285,ผู้สูงอายุที่เป็นผู้ประกันตนในระบบประกันสังคม,ภูเก็ต,ราย
7,210,43,2565,2,219,ผู้สูงอายุที่เป็นผู้ประกันตนในระบบประกันสังคม,มหาสารคาม,ราย
2,234,44,2565,5,241,ผู้สูงอายุที่เป็นผู้ประกันตนในระบบประกันสังคม,มุกดาหาร,ราย
4,167,45,2565,0,171,ผู้สูงอายุที่เป็นผู้ประกันตนในระบบประกันสังคม,แม่ฮ่องสอน,ราย
3,353,46,2565,0,356,ผู้สูงอายุที่เป็นผู้ประกันตนในระบบประกันสังคม,ยโสธร,ราย
3,93,47,2565,2,98,ผู้สูงอายุที่เป็นผู้ประกันตนในระบบประกันสังคม,ยะลา,ราย
13,248,48,2565,6,267,ผู้สูงอายุที่เป็นผู้ประกันตนในระบบประกันสังคม,ร้อยเอ็ด,ราย
1,170,49,2565,1,172,ผู้สูงอายุที่เป็นผู้ประกันตนในระบบประกันสังคม,ระนอง,ราย
72,218,50,2565,58,348,ผู้สูงอายุที่เป็นผู้ประกันตนในระบบประกันสังคม,ระยอง,ราย
33,274,51,2565,13,320,ผู้สูงอายุที่เป็นผู้ประกันตนในระบบประกันสังคม,ราชบุรี,ราย
18,189,52,2565,4,211,ผู้สูงอายุที่เป็นผู้ประกันตนในระบบประกันสังคม,ลพบุรี,ราย
22,418,53,2565,7,447,ผู้สูงอายุที่เป็นผู้ประกันตนในระบบประกันสังคม,ลำปาง,ราย
47,510,54,2565,9,566,ผู้สูงอายุที่เป็นผู้ประกันตนในระบบประกันสังคม,ลำพูน,ราย
6,385,55,2565,4,395,ผู้สูงอายุที่เป็นผู้ประกันตนในระบบประกันสังคม,เลย,ราย
6,413,56,2565,7,426,ผู้สูงอายุที่เป็นผู้ประกันตนในระบบประกันสังคม,ศรีสะเกษ,ราย
8,314,57,2565,4,326,ผู้สูงอายุที่เป็นผู้ประกันตนในระบบประกันสังคม,สกลนคร,ราย
49,257,58,2565,20,326,ผู้สูงอายุที่เป็นผู้ประกันตนในระบบประกันสังคม,สงขลา,ราย
0,145,59,2565,3,148,ผู้สูงอายุที่เป็นผู้ประกันตนในระบบประกันสังคม,สตูล,ราย
272,431,60,2565,104,807,ผู้สูงอายุที่เป็นผู้ประกันตนในระบบประกันสังคม,สมุทรปราการ,ราย
7,119,61,2565,9,135,ผู้สูงอายุที่เป็นผู้ประกันตนในระบบประกันสังคม,สมุทรสงคราม,ราย
81,207,62,2565,52,340,ผู้สูงอายุที่เป็นผู้ประกันตนในระบบประกันสังคม,สมุทรสาคร,ราย
5,183,63,2565,3,191,ผู้สูงอายุที่เป็นผู้ประกันตนในระบบประกันสังคม,สระแก้ว,ราย
31,251,64,2565,27,309,ผู้สูงอายุที่เป็นผู้ประกันตนในระบบประกันสังคม,สระบุรี,ราย
8,145,65,2565,2,155,ผู้สูงอายุที่เป็นผู้ประกันตนในระบบประกันสังคม,สิงห์บุรี,ราย
10,342,66,2565,3,355,ผู้สูงอายุที่เป็นผู้ประกันตนในระบบประกันสังคม,สุโขทัย,ราย
12,230,67,2565,7,249,ผู้สูงอายุที่เป็นผู้ประกันตนในระบบประกันสังคม,สุพรรณบุรี,ราย
20,320,68,2565,13,353,ผู้สูงอายุที่เป็นผู้ประกันตนในระบบประกันสังคม,สุราษฎร์ธานี,ราย
9,342,69,2565,3,354,ผู้สูงอายุที่เป็นผู้ประกันตนในระบบประกันสังคม,สุรินทร์,ราย
8,169,70,2565,2,179,ผู้สูงอายุที่เป็นผู้ประกันตนในระบบประกันสังคม,หนองคาย,ราย
4,192,71,2565,0,196,ผู้สูงอายุที่เป็นผู้ประกันตนในระบบประกันสังคม,หนองบัวลำภู,ราย
10,108,72,2565,2,120,ผู้สูงอายุที่เป็นผู้ประกันตนในระบบประกันสังคม,อ่างทอง,ราย
7,158,73,2565,2,167,ผู้สูงอายุที่เป็นผู้ประกันตนในระบบประกันสังคม,อำนาจเจริญ,ราย
15,527,74,2565,13,555,ผู้สูงอายุที่เป็นผู้ประกันตนในระบบประกันสังคม,อุดรธานี,ราย
6,347,75,2565,2,355,ผู้สูงอายุที่เป็นผู้ประกันตนในระบบประกันสังคม,อุตรดิตถ์,ราย
9,202,76,2565,0,211,ผู้สูงอายุที่เป็นผู้ประกันตนในระบบประกันสังคม,อุทัยธานี,ราย
20,345,77,2565,7,372,ผู้สูงอายุที่เป็นผู้ประกันตนในระบบประกันสังคม,อุบลราชธานี,ราย
