เดือน,สาขา,ที่มา,จำนวนผู้ประกันตน,_id,ปี,หน่วย
มีนาคม,เพชรบูรณ์,สำนักงานประกันสังคมจังหวัดเพชรบูรณ์,7118,39,2566,คน
เมษายน,เพชรบูรณ์,สำนักงานประกันสังคมจังหวัดเพชรบูรณ์,7075,40,2566,คน
พฤษภาคม,เพชรบูรณ์,สำนักงานประกันสังคมจังหวัดเพชรบูรณ์,7031,41,2566,คน
มิถุนายน,เพชรบูรณ์,สำนักงานประกันสังคมจังหวัดเพชรบูรณ์,6980,42,2566,คน
กรกฎาคม,เพชรบูรณ์,สำนักงานประกันสังคมจังหวัดเพชรบูรณ์,6980,43,2566,คน
สิงหาคม,เพชรบูรณ์,สำนักงานประกันสังคมจังหวัดเพชรบูรณ์,6896,44,2566,คน
กันยายน,เพชรบูรณ์,สำนักงานประกันสังคมจังหวัดเพชรบูรณ์,6806,45,2566,คน
ตุลาคม,เพชรบูรณ์,สำนักงานประกันสังคมจังหวัดเพชรบูรณ์,6762,46,2566,คน
พฤศจิกายน,เพชรบูรณ์,สำนักงานประกันสังคมจังหวัดเพชรบูรณ์,6689,47,2566,คน
ธันวาคม,เพชรบูรณ์,สำนักงานประกันสังคมจังหวัดเพชรบูรณ์,6685,48,2566,คน
มกราคม,เพชรบูรณ์,สำนักงานประกันสังคมจังหวัดเพชรบูรณ์,6620,49,2567,คน
กุมภาพันธ์,เพชรบูรณ์,สำนักงานประกันสังคมจังหวัดเพชรบูรณ์,6571,50,2567,คน
มีนาคม,เพชรบูรณ์,สำนักงานประกันสังคมจังหวัดเพชรบูรณ์,6511,51,2567,คน
เมษายน,เพชรบูรณ์,สำนักงานประกันสังคมจังหวัดเพชรบูรณ์,6477,52,2567,คน
พฤษภาคม,เพชรบูรณ์,สำนักงานประกันสังคมจังหวัดเพชรบูรณ์,6387,53,2567,คน
มิถุนายน,เพชรบูรณ์,สำนักงานประกันสังคมจังหวัดเพชรบูรณ์,6294,54,2567,คน
กรกฎาคม,เพชรบูรณ์,สำนักงานประกันสังคมจังหวัดเพชรบูรณ์,6205,55,2567,คน
สิงหาคม,เพชรบูรณ์,สำนักงานประกันสังคมจังหวัดเพชรบูรณ์,6112,56,2567,คน
กันยายน,เพชรบูรณ์,สำนักงานประกันสังคมจังหวัดเพชรบูรณ์,6085,57,2567,คน
ตุลาคม,เพชรบูรณ์,สำนักงานประกันสังคมจังหวัดเพชรบูรณ์,6140,58,2567,คน
พฤศจิกายน,เพชรบูรณ์,สำนักงานประกันสังคมจังหวัดเพชรบูรณ์,6169,59,2567,คน
ธันวาคม,เพชรบูรณ์,สำนักงานประกันสังคมจังหวัดเพชรบูรณ์,6217,60,2567,คน
มกราคม,หล่มสัก,สำนักงานประกันสังคมจังหวัดเพชรบูรณ์,2488,61,2563,คน
กุมภาพันธ์,หล่มสัก,สำนักงานประกันสังคมจังหวัดเพชรบูรณ์,2462,62,2563,คน
มีนาคม,หล่มสัก,สำนักงานประกันสังคมจังหวัดเพชรบูรณ์,2512,63,2563,คน
เมษายน,หล่มสัก,สำนักงานประกันสังคมจังหวัดเพชรบูรณ์,2542,64,2563,คน
พฤษภาคม,หล่มสัก,สำนักงานประกันสังคมจังหวัดเพชรบูรณ์,2609,65,2563,คน
มิถุนายน,หล่มสัก,สำนักงานประกันสังคมจังหวัดเพชรบูรณ์,2653,66,2563,คน
กรกฎาคม,หล่มสัก,สำนักงานประกันสังคมจังหวัดเพชรบูรณ์,2679,67,2563,คน
สิงหาคม,หล่มสัก,สำนักงานประกันสังคมจังหวัดเพชรบูรณ์,2704,68,2563,คน
กันยายน,หล่มสัก,สำนักงานประกันสังคมจังหวัดเพชรบูรณ์,2636,69,2563,คน
ตุลาคม,หล่มสัก,สำนักงานประกันสังคมจังหวัดเพชรบูรณ์,2654,70,2563,คน
พฤศจิกายน,หล่มสัก,สำนักงานประกันสังคมจังหวัดเพชรบูรณ์,2665,71,2563,คน
ธันวาคม,หล่มสัก,สำนักงานประกันสังคมจังหวัดเพชรบูรณ์,2696,72,2563,คน
มกราคม,หล่มสัก,สำนักงานประกันสังคมจังหวัดเพชรบูรณ์,2772,73,2564,คน
กุมภาพันธ์,หล่มสัก,สำนักงานประกันสังคมจังหวัดเพชรบูรณ์,2827,74,2564,คน
มีนาคม,หล่มสัก,สำนักงานประกันสังคมจังหวัดเพชรบูรณ์,2845,75,2564,คน
เมษายน,หล่มสัก,สำนักงานประกันสังคมจังหวัดเพชรบูรณ์,2891,76,2564,คน
