VALUE,QUARTER,SOURCE,_id,SEX,UNIT,YEAR,LAVEL_EDUCATIONAL
66.47,ไตรมาส 1,สำนักงานสถิติแห่งชาติ,99,หญิง,ร้อยละ,2568,มัธยมศึกษาตอนปลาย สายวิชาการศึกษา
66.04,ไตรมาส 1,สำนักงานสถิติแห่งชาติ,100,หญิง,ร้อยละ,2568,มัธยมศึกษาตอนปลาย สายอาชีวศึกษา
97.56,ไตรมาส 1,สำนักงานสถิติแห่งชาติ,101,ชาย,ร้อยละ,2568,การศึกษาอื่นๆ
66.37,ไตรมาส 1,สำนักงานสถิติแห่งชาติ,102,ชาย,ร้อยละ,2568,ไม่มีการศึกษา
72.57,ไตรมาส 1,สำนักงานสถิติแห่งชาติ,103,ชาย,ร้อยละ,2568,มัธยมศึกษาตอนต้น
57.85,ไตรมาส 1,สำนักงานสถิติแห่งชาติ,104,ชาย,ร้อยละ,2568,ต่ำกว่าประถมศึกษา
84.6,ไตรมาส 1,สำนักงานสถิติแห่งชาติ,105,ชาย,ร้อยละ,2568,อุดมศึกษา สายวิชาการ
89.73,ไตรมาส 1,สำนักงานสถิติแห่งชาติ,106,ชาย,ร้อยละ,2568,อุดมศึกษา สายวิชาชีพ
60.66,ไตรมาส 1,สำนักงานสถิติแห่งชาติ,107,ชาย,ร้อยละ,2568,อุดมศึกษา สายวิชาการศึกษา
79.31,ไตรมาส 1,สำนักงานสถิติแห่งชาติ,108,ชาย,ร้อยละ,2568,มัธยมศึกษาตอนปลาย สายสามัญ
77.13,ไตรมาส 1,สำนักงานสถิติแห่งชาติ,109,ชาย,ร้อยละ,2568,มัธยมศึกษาตอนปลาย สายอาชีวศึกษา
63.68,ไตรมาส 1,สำนักงานสถิติแห่งชาติ,110,ชาย,ร้อยละ,2568,มัธยมศึกษาตอนปลาย สายวิชาการศึกษา
79.09,ไตรมาส 1,สำนักงานสถิติแห่งชาติ,111,หญิง,ร้อยละ,2568,ไม่ทราบ
