จำนวน,ประเภท,หมวด,_id,สถานะ,ปี พ.ศ.,ไตรมาส,หน่วย
"1,971",กำลังแรงงานรวม,กำลังแรงงานปัจจุบัน,26,ผู้ว่างงาน,2565,ไตรมาสที่ 1,คน
-,กำลังแรงงานรวม,กำลังแรงงานที่รอฤดูกาล,27,-,2565,ไตรมาสที่ 1,คน
"19,701",ผู้ไม่อยู่ในกำลังแรงงาน,ทำงานบ้าน,28,-,2565,ไตรมาสที่ 1,คน
"24,726",ผู้ไม่อยู่ในกำลังแรงงาน,เรียนหนังสือ,29,-,2565,ไตรมาสที่ 1,คน
"55,844",ผู้ไม่อยู่ในกำลังแรงงาน,อื่นๆ,30,-,2565,ไตรมาสที่ 1,คน
"224,558",กำลังแรงงานรวม,กำลังแรงงานปัจจุบัน,31,ผู้มีงานทำ,2565,ไตรมาสที่ 2,คน
"2,381",กำลังแรงงานรวม,กำลังแรงงานปัจจุบัน,32,ผู้ว่างงาน,2565,ไตรมาสที่ 2,คน
-,กำลังแรงงานรวม,กำลังแรงงานที่รอฤดูกาล,33,-,2565,ไตรมาสที่ 2,คน
"22,797",ผู้ไม่อยู่ในกำลังแรงงาน,ทำงานบ้าน,34,-,2565,ไตรมาสที่ 2,คน
"24,712",ผู้ไม่อยู่ในกำลังแรงงาน,เรียนหนังสือ,35,-,2565,ไตรมาสที่ 2,คน
"54,970",ผู้ไม่อยู่ในกำลังแรงงาน,อื่นๆ,36,-,2565,ไตรมาสที่ 2,คน
"232,192",กำลังแรงงานรวม,กำลังแรงงานปัจจุบัน,37,ผู้มีงานทำ,2565,ไตรมาสที่ 3,คน
"2,443",กำลังแรงงานรวม,กำลังแรงงานปัจจุบัน,38,ผู้ว่างงาน,2565,ไตรมาสที่ 3,คน
-,กำลังแรงงานรวม,กำลังแรงงานที่รอฤดูกาล,39,-,2565,ไตรมาสที่ 3,คน
"23,107",ผู้ไม่อยู่ในกำลังแรงงาน,ทำงานบ้าน,40,-,2565,ไตรมาสที่ 3,คน
"23,000",ผู้ไม่อยู่ในกำลังแรงงาน,เรียนหนังสือ,41,-,2565,ไตรมาสที่ 3,คน
"48,438",ผู้ไม่อยู่ในกำลังแรงงาน,อื่นๆ,42,-,2565,ไตรมาสที่ 3,คน
"225,577",กำลังแรงงานรวม,กำลังแรงงานปัจจุบัน,43,ผู้มีงานทำ,2565,ไตรมาสที่ 4,คน
"2,688",กำลังแรงงานรวม,กำลังแรงงานปัจจุบัน,44,ผู้ว่างงาน,2565,ไตรมาสที่ 4,คน
-,กำลังแรงงานรวม,กำลังแรงงานที่รอฤดูกาล,45,-,2565,ไตรมาสที่ 4,คน
"19,966",ผู้ไม่อยู่ในกำลังแรงงาน,ทำงานบ้าน,46,-,2565,ไตรมาสที่ 4,คน
"24,635",ผู้ไม่อยู่ในกำลังแรงงาน,เรียนหนังสือ,47,-,2565,ไตรมาสที่ 4,คน
"56,147",ผู้ไม่อยู่ในกำลังแรงงาน,อื่นๆ,48,-,2565,ไตรมาสที่ 4,คน
"229,304",กำลังแรงงานรวม,กำลังแรงงานปัจจุบัน,49,ผู้มีงานทำ,2566,ไตรมาสที่ 1,คน
"2,416",กำลังแรงงานรวม,กำลังแรงงานปัจจุบัน,50,ผู้ว่างงาน,2566,ไตรมาสที่ 1,คน
-,กำลังแรงงานรวม,กำลังแรงงานที่รอฤดูกาล,51,-,2566,ไตรมาสที่ 1,คน
"20,604",ผู้ไม่อยู่ในกำลังแรงงาน,ทำงานบ้าน,52,-,2566,ไตรมาสที่ 1,คน
"21,707",ผู้ไม่อยู่ในกำลังแรงงาน,เรียนหนังสือ,53,-,2566,ไตรมาสที่ 1,คน
"54,829",ผู้ไม่อยู่ในกำลังแรงงาน,อื่นๆ,54,-,2566,ไตรมาสที่ 1,คน
"232,158",กำลังแรงงานรวม,กำลังแรงงานปัจจุบัน,55,ผู้มีงานทำ,2566,ไตรมาสที่ 2,คน
"1,856",กำลังแรงงานรวม,กำลังแรงงานปัจจุบัน,56,ผู้ว่างงาน,2566,ไตรมาสที่ 2,คน
-,กำลังแรงงานรวม,กำลังแรงงานที่รอฤดูกาล,57,-,2566,ไตรมาสที่ 2,คน
"23,646",ผู้ไม่อยู่ในกำลังแรงงาน,ทำงานบ้าน,58,-,2566,ไตรมาสที่ 2,คน
"21,653",ผู้ไม่อยู่ในกำลังแรงงาน,เรียนหนังสือ,59,-,2566,ไตรมาสที่ 2,คน
"49,424",ผู้ไม่อยู่ในกำลังแรงงาน,อื่นๆ,60,-,2566,ไตรมาสที่ 2,คน
"232,643",กำลังแรงงานรวม,กำลังแรงงานปัจจุบัน,61,ผู้มีงานทำ,2566,ไตรมาสที่ 3,คน
"2,504",กำลังแรงงานรวม,กำลังแรงงานปัจจุบัน,62,ผู้ว่างงาน,2566,ไตรมาสที่ 3,คน
-,กำลังแรงงานรวม,กำลังแรงงานที่รอฤดูกาล,63,-,2566,ไตรมาสที่ 3,คน
"19,339",ผู้ไม่อยู่ในกำลังแรงงาน,ทำงานบ้าน,64,-,2566,ไตรมาสที่ 3,คน
"24,619",ผู้ไม่อยู่ในกำลังแรงงาน,เรียนหนังสือ,65,-,2566,ไตรมาสที่ 3,คน
"49,486",ผู้ไม่อยู่ในกำลังแรงงาน,อื่นๆ,66,-,2566,ไตรมาสที่ 3,คน
"231,941",กำลังแรงงานรวม,กำลังแรงงานปัจจุบัน,67,ผู้มีงานทำ,2566,ไตรมาสที่ 4,คน
"1,751",กำลังแรงงานรวม,กำลังแรงงานปัจจุบัน,68,ผู้ว่างงาน,2566,ไตรมาสที่ 4,คน
-,กำลังแรงงานรวม,กำลังแรงงานที่รอฤดูกาล,69,-,2566,ไตรมาสที่ 4,คน
"18,271",ผู้ไม่อยู่ในกำลังแรงงาน,ทำงานบ้าน,70,-,2566,ไตรมาสที่ 4,คน
"23,599",ผู้ไม่อยู่ในกำลังแรงงาน,เรียนหนังสือ,71,-,2566,ไตรมาสที่ 4,คน
"52,836",ผู้ไม่อยู่ในกำลังแรงงาน,อื่นๆ,72,-,2566,ไตรมาสที่ 4,คน
"235,700",กำลังแรงงานรวม,กำลังแรงงานปัจจุบัน,73,ผู้มีงานทำ,2567,ไตรมาสที่ 1,คน
154,กำลังแรงงานรวม,กำลังแรงงานปัจจุบัน,74,ผู้ว่างงาน,2567,ไตรมาสที่ 1,คน
-,กำลังแรงงานรวม,กำลังแรงงานที่รอฤดูกาล,75,-,2567,ไตรมาสที่ 1,คน
"14,263",ผู้ไม่อยู่ในกำลังแรงงาน,ทำงานบ้าน,76,-,2567,ไตรมาสที่ 1,คน
"22,034",ผู้ไม่อยู่ในกำลังแรงงาน,เรียนหนังสือ,77,-,2567,ไตรมาสที่ 1,คน
"53,444",ผู้ไม่อยู่ในกำลังแรงงาน,อื่นๆ,78,-,2567,ไตรมาสที่ 1,คน
