long,เงินทุนรวม,ประกอบกิจการ,อำเภอ,lat,ถนน,ซอย,คนงานรวม,จังหวัด,หมู่,เลขที่,แรงม้า,ตำบล,ผู้ประกอบการ,คนงานชาย,_id,ชื่อโรงงาน,แรงม้าตรวจพบ,คนงานหญิง
100.260044,,นึ่งและอบข้าวเปลือก,บางกระทุ่ม,16.575395,-,-,20000000,พิษณุโลก,4,เลขที่ 46/1,7,โคกสลุด,บริษัท ธนารัตน์ธัญญะกิจ จำกัด,0,14,บริษัท ธนารัตน์ธัญญะกิจ จำกัด,0,98000000
100.31075,,ทำไม้ปาร์เก้-โมเสด วงกบ ประตู-หน้าต่าง และเครื่องเรือนจากไม้,เมืองพิษณุโลก,16.81651,พิษณุโลก-หล่มสัก,,585000,พิษณุโลก,3,เลขที่ 365,8,สมอแข,นายสุรพันธ์ ชลประทิน,0,15,งานไม้ให้เรา,0,0
100.22748,,แปรรูปไม้ยางพาราและไม้ที่ปลูกขึ้นโดยเฉพาะ 13 ชนิดตามมติคณะรัฐมนตรีเพื่อจำหน่าย และกลึงไม้,เมืองพิษณุโลก,16.75956,เลี่ยงเมืองด้านใต้,-,800000,พิษณุโลก,1,เลขที่ 147/1,6,ท่าโพธิ์,นายเอนก คงไขยกุล,200000,16,นายเอนก คงไขยกุล,0,1000000
100.327291,,แปรรูปไม้ยางพาราและไม้ที่ปลูกขึ้นโดยเฉพาะ 13 ชนิด ตามมติคณะรัฐมนตรีเพื่อจำหน่าย,วัดโบสถ์,16.984664,พิษณุโลก-เด่นชัย,-,700000,พิษณุโลก,4,เลขที่ 589,6,วัดโบสถ์,นายวัศพล เพชรเนียม,1200000,17,วัดโบสถ์ทำไม้,0,400000
100.5281241,,ผลิตชิ้นไม้สับจากไม้ยางพาราและไม้ที่ปลูกขึ้นโดยเฉพาะ 13 ชนิดตามมติคณะรัฐมนตรีเพื่อจำหน่าย,วังทอง,16.6896311,กกไม้แดง-เนินมะปราง,,900000,พิษณุโลก,6,เลขที่ 17,5,ท่าหมื่นราม,บริษัท พิษณุโลก วู๊ดชิพ จำกัด,0,18,บริษัท พิษณุโลก วู๊ดชิพ จำกัด,5,5000000
100.280468,,ผลิตชิ้นไม้สับจากไม้ยางพาราและไม้ที่ปลูกขึ้นโดยเฉพาะ 13 ชนิด ตามมติคณะรัฐมนตรีเพื่อจำหน่าย,พรหมพิราม,17.166242,,,1000000,พิษณุโลก,5,เลขที่ 243,6,ดงประคำ,บริษัท โคลเวอร์ พิษณุโลก จำกัด ,0,19,บริษัท โคลเวอร์ พิษณุโลก จำกัด ,0,15200000
,2200000,ผลิตชิ้นไม้สับจากไม้ยางพาราและไม้ที่ปลูกขึ้นโดยเฉพาะ 13 ชนิดตามมติคณะรัฐมนตรีเพื่อจำหน่าย,พรหมพิราม,,,,4,พิษณุโลก,6,เลขที่ โฉนดที่ดินเลขที่ 13470,334.5,หอกลอง,ประเนตร ประทุมทอง,3,20,ประเนตร ประทุมทอง,334.5,1
,,ผลิตชิ้นไม้สับจากไม้ยางพาราและไม้ที่ปลูกขึ้นโดยเฉพาะ 13 ชนิด ตามมาตริคณะรัฐมนตรีเพื่อจำหน่าย,วังทอง,,,,500000,พิษณุโลก,9,เลขที่ โฉนดที่ดิน 61894 และ 58099,3,ดินทอง,นายสราวุธ ภูมิผล,0,21,นายสราวุธ ภูมิผล,1,1200000
100.4153667,,ผลิตชิ้นไม้สับจากไม้ยางพาราและไม้ที่ปลูกขึ้นโดยเฉพาะ 13 ชนิด ตามมติคณะรัฐมนตรีเพื่อจำหน่าย,วังทอง,16.7408965,,,1000000,พิษณุโลก,9,เลขที่ โฉนดที่ดินเลขที่  13616,6,ดินทอง,นายสราวุฒิ ภูมิพล,770000,22,นายสราวุฒิ ภูมิพล,4,2400000
100.1783537,33000000,ผลิตชิ้นไม้สับจากไม้ยางพาราและไม้ที่ปลูกขึ้นโดยเฉพาะ 13 ชนิด ตามมติคณะรัฐมนตรี,เมืองพิษณุโลก,16.8953074,,,4,พิษณุโลก,3,เลขที่ โฉนดที่ดินเลขที่ 191486,1103,ไผ่ขอดอน,บริษัท  มุ่ยเฮง กรุ๊ป จำกัด,3,23,บริษัท มุ่ยเฮง กรุ๊ป จำกัด,1103,1
100.24016,,ฆ่าสัตว์,เมืองพิษณุโลก,16.81859,สิงหราชเดโชชัย,โรงฆ่าสัตว์,0,พิษณุโลก,,เลขที่ 330,34,ในเมือง,เทศบาลนครพิษณุโลก,498500,24,โรงงานฆ่าสัตว์เทศบาลนครพิษณุโลก,0,396000
100.1626123,1527000000,โรงฆ่าและชำแหละชิ้นส่วนไก่,เมืองพิษณุโลก,16.8789224,,,3060,พิษณุโลก,6,เลขที่ 19/2,5924.1,บ้านกร่าง,บริษัท ไพโรจน์ โพลทรีย์ ฟู้ด พิษณุโลก จำกัด,1252,25,บริษัท ไพโรจน์ โพลทรีย์ ฟู้ด พิษณุโลก จำกัด,5924.1,1808
100.22791,,ทำผลิตภัณฑ์สำเร็จรูปจากเนื้อสัตว์ เช่น ไส้กรอก หมูยอ แหนมและกุนเชียง,เมืองพิษณุโลก,16.79893,บรมไตรโลกนารถ 2,,2000000,พิษณุโลก,,เลขที่ 1062/1,10,ในเมือง,ห้างหุ้นส่วนจำกัด ผลิตภัณฑ์สุพัตรา,1200000,26,โรงงานผลิตภัณฑ์สุพัตรา,20,7000000
100.1204632,155011480,"ผลิตยางมะตอยน้ำ(แอสฟัลท์อิมัลชั่น),คัดแยกแอสฟัลท์ โพลีเมอร์โมดิฟายแอสฟัลท์พรีมิกซ์และนำผลิตภัณฑ์อุตสาหกรรมที่ไม่ใช้แล้วหรือของเสียจากโรงงานมาผลิตเป็นวัตถุดิบหรือผลิตภัณฑ์ใหม่",บางระกำ,16.7498611,สายพิษณุโลก-บางระกำ,บ้านวังกุ่ม,141,พิษณุโลก,15,เลขที่ 271,1625.86,บางระกำ,บริษัท ทิปโก้แอสฟัลท์ จำกัด (มหาชน),122,27,บริษัท ทิปโก้แอสฟัลท์ จำกัด (มหาชน),,19
100.443433,,"ผลิตยางเครป, ยางแท่ง, เอสทีอาร์ 20, ยางผสม",วังทอง,16.718188,-,-,10000000,พิษณุโลก,11,เลขที่ 28,148,หนองพระ,บริษัท ศรีตรังแอโกรอินดัสทรี จำกัด (มหาชน),35800350,28,บริษัท ศรีตรังแอโกรอินดัสทรี จำกัด (มหาชน),45,145166000
100.453432,,ผลิตยางแท่ง STR 20 และยางคอมปาวด์,วังทอง,16.740731,วังทอง-เนินมะปราง,,462000000,พิษณุโลก,4,เลขที่ 168/1,344,ดินทอง,บริษัท ไทยฮั้วยางพารา จำกัด (มหาชน),42665400,29,บริษัท ไทยฮั้วยางพารา จำกัด (มหาชน),172,185400000
100.2161,,ผลิตคอนกรีตผสมเสร็จ,เมืองพิษณุโลก,16.80301,สีหราชเดโชชัย,,600000,พิษณุโลก,7,เลขที่ 78/1,3,วัดจันทร์,บริษัท ปูนซีเมนต์ไทย (ลำปาง) จำกัด,1500000,30,โรงงานคอนกรีตผสมเสร็จพิษณุโลก,0,2000000
100.21437,,"ทำท่อระบายน้ำ,เสาเข็ม,แผ่นพื้น,ชิ้นส่วนคอนกรีตหล่อสำเร็จ,คอนกรีตบล๊อกและผลิตภัณฑ์คอนกรีตต่าง ๆ",เมืองพิษณุโลก,16.80171,พิษณุโลก-บางระกำ,,3000000,พิษณุโลก,6,เลขที่ 59/2,42,ท่าทอง,บริษัท ซี.พี.แอล จำกัด,12000000,31,บริษัท ซี.พี.แอล. จำกัด,0,5000000
100.3499558,11000000,กลึง เจาะ คว้าน ไส กัด เจียน และเชื่อมโลหะ ได้เดือนละ 250 ชิ้น และประกอบเครื่องทำลูกชิ้น ได้เดือนละ 3 เครื่อง,เมืองพิษณุโลก,16.8622361,ทางหลวงหมายเลข 11,,15,พิษณุโลก,6,เลขที่ 152,344.4,ดอนทอง,นายสุนทร วิริยะไชยกุล,15,32,พิษณุโลกวิศวจักรกล,,0
100.27985,,ซ่อมอุปกรณ์ชิ้นส่วนเครื่องยนต์,เมืองพิษณุโลก,16.81503,พิชัยสงคราม,,100000,พิษณุโลก,,เลขที่ 195/7,2,ในเมือง,นายยุทธชัย วงศ์วีรเดชขจร,300000,33,เนี้ยวอั่งการช่าง 2,0,500000
100.270195,,ซ่อมชิ้นส่วนของเครื่องยนต์,เมืองพิษณุโลก,16.802741,สนามบิน,,250000,พิษณุโลก,,เลขที่ 18/2-3,11,ในเมือง,นายนิมิตร ชำนาญช่าง,1400000,34,ชำนาญการช่าง,0,4500000
100.2717546,7400000,ซ่อมเครื่องยนต์และต่อตัวถังรถบรรทุก,เมืองพิษณุโลก,16.8142124,พิชัยสงคราม,,20,พิษณุโลก,,เลขที่ 746/4-7,231.92,ในเมือง,นายสัมพันธ์ เศวตนภานนท์,20,35,อู่ตี๋สัมพันธ์การช่าง,,0
100.3501779,5650000,ผลิต-ซ่อมอุปกรณ์เครื่องจักรสำหรับใช้ในการกสิกรรม ซ่อม-ต่อตัวถังรถบรรทุก รถพ่วงบรรทุก และรถยนต์โดยสาร,เมืองพิษณุโลก,16.8680243,พิษณุโลก-เด่นชัย,,183,พิษณุโลก,1,เลขที่ 259,1997.5,ดอนทอง,บริษัท เครื่องจักรกลเกษตรไทย จำกัด,153,36,บริษัท เครื่องจักรกลเกษตรไทย จำกัด,,30
100.366802,,ผลิตเครื่องมืออุปกรณ์การเกษตร,เมืองพิษณุโลก,16.832487,พิษณุโลก-หล่มสัก,,900000,พิษณุโลก,1,เลขที่ 126,32,สมอแข,บริษัท เกษตรพัฒนาอุตสาหกรรม จำกัด,250000,37,เกษตรพัฒนาอุตสาหกรรม,0,3600000
100.25235,,ประกอบเครื่องมือการเกษตร และผลิตรถเพื่อใช้ในการเกตร,เมืองพิษณุโลก,16.82846,สิงหวัฒน์,,2000000,พิษณุโลก,,เลขที่ 29/78-80,6,ในเมือง,ห้างหุ้นส่วนจำกัด พิษณุโลกด่านสว่างการเกษตร,1200000,38,ห้างหุ้นส่วนจำกัด พิษณุโลกด่านสว่างการเกษตร,4,800000
100.22429,,ซ่อมเครื่องมือ เครื่องใช้อิเล็กทรอนิกส์ในการสำรวจเจาะปิโตเลียม,เมืองพิษณุโลก,16.80802,พิษณุโลก-บางระกำ,-,200000,พิษณุโลก,7,เลขที่ 27/3,18,วัดจันทร์,บริษัท พิษณุโลก ช.วิรวัฒน์ จำกัด,0,39,บริษัท พิษณุโลก ช.วิรวัฒน์ จำกัด,4,11067000
100.34791,,"ซ่อมและต่อตัวถังบรรทุก ซ่อมเครื่องยนต์ , กลึง-เชื่อมโลหะ",เมืองพิษณุโลก,16.85234,พิษณุโลก-เด่นชัย,,1000000,พิษณุโลก,5,เลขที่ 192,14,ดอนทอง,นางวราภรณ์ วงศ์วีรเดชขจร,2437500,40,เอ็น.วี.ซี. เอ็นจิเนียร์ริ่ง,0,471000
100.22951,,ซ่อม-ประกอบตัวถังรถบรรทุก และซ่อมเครื่องจักรสำหรับการสร้างทาง,เมืองพิษณุโลก,16.84442,,,120000,พิษณุโลก,4,เลขที่ 106,10,พลายชุมพล,บริษัท ธนะสินพัฒนา (1999) จำกัด,500000,41,บริษัท ธนะสินพัฒนา(1999) จำกัด,10,400000
100.28627,,ผลิตชุดสายไฟฟ้าภายในรถยนต์,เมืองพิษณุโลก,16.8894,สายเต็งหนาม-กระบัง,,600000,พิษณุโลก,7,เลขที่ 230,231,หัวรอ,บริษัท ไทยแอโรว์ จำกัด,30000000,42,บริษัท ไทยแอโรว์ จำกัด,2527,700000
100.625255,,ผลิตน้ำสับปะรดเข้มข้น,วังทอง,16.919561,-,-,7000000,พิษณุโลก,5,เลขที่ 365,25,แก่งโสภา,บริษัท โอเอส อินเตอร์ ฟู้ดส์ จำกัด,3289000,43,บริษัท โอเอส อินเตอร์ ฟู้ดส์ จำกัด,3,24600000
100.121697,,ผลิตพลังงานไฟฟ้า ใช้พลังงานแสงอาทิตย์เป็นต้นกำลัง กำลังการผลิต 45.2538 เมกะวัตต์,พรหมพิราม,17.075761,,,170259000,พิษณุโลก,11,เลขที่ ตามโฉนดที่แนบ 61 แปลง,9,มะต้อง,บริษัท อีเอ โซล่า พิษณุโลก จำกัด,111100000,44,บริษัท อีเอ โซล่า พิษณุโลก จำกัด (โครงการ 1),8,2199292000
100.114273,,ผลิตพลังงานไฟฟ้า ใช้พลังงานแสงอาทิตย์เป็นต้นกำลัง กำลังการผลิต 80.1164 เมกะวัตต์,พรหมพิราม,17.068951,,,302072000,พิษณุโลก,"3,11",เลขที่ โฉนดที่ดิน (จำนวน 101 แปลง),2,มะต้อง,บริษัท อีเอ โซล่า พิษณุโลก จำกัด,229270000,45,บริษัท อีเอ โซล่า พิษณุโลก จำกัด (โครงการ 2),0,3937777000
100.108264,,ผลิตพลังงานไฟฟ้า ใช้พลังงานแสงอาทิตย์เป็นต้นกำลัง ขนาดกำลังการผลิต 8.153 เมกะวัตต์,พรหมพิราม,17.071577,,,21969000,พิษณุโลก,11,เลขที่ -,4,มะต้อง,บริษัท อีเอ โซล่า พิษณุโลก จำกัด,19630000,46,บริษัท อีเอ โซล่า พิษณุโลก จำกัด (โครงการ 3),0,429946500
,,ผลิตไฟฟ้าโดยใช้แสงอาทิตย์แบบติดตั้งบนพื้นดินจากเทคโนโลยีแผงไฟโตโวลเทอิก กำลังการผลิต 9.06 เมกะวัตต์,วังทอง,,,,3000000,พิษณุโลก,5,เลขที่ 195,4,แก่งโสภา,บริษัท พลังงานหมุนเวียน (ตะวันออกเฉียงหนือ) จำกัด,0,47,บริษัท  พลังงานหมุนเวียน (ตะวันออกเฉียงเหนือ) จำกัด ,0,197420000
,,ผลิตไฟฟ้าโดยใช้แสงอาทิตย์แบบติดตั้งบนพืื้นดินจากเทคโนโลยีแผงไฟโตโวลเทอิก กำลังการผลิตติดตั้ง 16.09 เมกะวัตต์,วัดโบสถ์,,,,6000000,พิษณุโลก,8,"เลขที่ โฉนดที่ดินเลขที่ 5036,25483,5037,5035,20493,8842,9126",4,บ้านยาง,บริษัท โรงไฟฟ้าชุมชนพิษณุโลก จำกัด,0,48,บริษัท โรงไฟฟ้าชุมชนพิษณุโลก จำกัด,0,314740000
100.279679,,ผลิตและจำหน่ายพลังงานไฟฟ้า กำลังผลิต 4.9 เมกะวัตต์,พรหมพิราม,17.165883,พิษณุโลก-เด่นชัย,,30000000,พิษณุโลก,5,เลขที่ 243,24,ดงประคำ,บริษัท โคลเวอร์ พิษณุโลก จำกัด,47000000,49,โคลเวอร์ พิษณุโลก,4,185000000
100.4092948,,ผลิตพลังงานไฟฟ้าจากพลังน้ำ กำลังการผลิต 30 เมกะวัตต์,วัดโบสถ์,17.1859117,,,0,พิษณุโลก,1,เลขที่ 9/9,9,วัดโบสถ์,การไฟฟ้าฝ่ายผลิตแห่งประเทศไทย,0,50,โรงไฟฟ้าพลังน้ำเขื่อนแควน้อยบำรุงแดน,1,257920000
100.356876,,ผลิตและจำหน่ายไฟฟ้า กำลังการผลิต 20 MW (88)/ผลิตและจำหน่ายไอน้ำ 120T/hr.(102),บางกระทุ่ม,16.574948,,,10000000,พิษณุโลก,8,เลขที่ 8/88,33,ไผ่ล้อม,บริษัท พิษณุโลกผลิตไฟฟ้า จำกัด,50000,51,บริษัท พิษณุโลกผลิตไฟฟ้า จำกัด,4,238000000
100.22242,,สีข้าว และสีข้าวนึ่ง กำลังสีสูงสุดของร้านสีข้าว 400 เกวียน/วัน,เมืองพิษณุโลก,16.80776,สีหราชเดโชชัย,,10000000,พิษณุโลก,7,เลขที่ 27/5,15,วัดจันทร์,บริษัท โรงสีเกียงเงี๊ยบ จำกัด ,3000000,52,บริษัท โรงสีเกียงเงี๊ยบ จำกัด,10,2000000
,65000000,สีข้าว กำลังการผลิตสูงสุดของร้านสีข้าว 800 ตันต่อวัน นึ่ง และอบข้าวเปลือก เก็บรักษาลำเลียงในไซโล และโกดัง,เมืองพิษณุโลก,,,,20,พิษณุโลก,7,เลขที่ 9,6965.8,วังน้ำคู้,ห้างหุ้นส่วนจำกัด ลิ้มเจริญธัญญกิจ,20,53,ห้างหุ้นส่วนจำกัด ลิ้มเจริญธัญญกิจ,,0
100.313146,,สีข้าว กำลังสีสูงสุดของร้านสีข้าว 400 เกวียน/วัน และอบข้าวเปลือก,บางกระทุ่ม,16.690191,-,-,10000000,พิษณุโลก,7,เลขที่ 57,15,ท่าตาล,ห้างหุ้นส่วนจำกัด ลิ้มเจริญธัญญกิจ,5000000,54,ห้างหุ้นส่วนจำกัด ลิ้มเจริญธัญญกิจ,5,30000000
100.1918061,196500000,สีข้าวชนิดแยกแกลบแยกรำ กำลังสีสูงสุดของร้านสีข้าว 700 เกวียน/วัน,พรหมพิราม,17.0372002,-,-,60,พิษณุโลก,11,เลขที่ 66,2616.79,มะต้อง,ห้างหุ้นส่วนจำกัด พรหมพิรามชัยศิริ,40,55,ห้างหุ้นส่วนจำกัด พรหมพิรามชัยศิริ,,20
100.4447,,สีข้าว กำลังสีสูงสุดของร้านสีข้าว 600 ตัน/วัน และอบข้าวเปลือก,วังทอง,16.63822,-,-,10000000,พิษณุโลก,7,เลขที่ 555,15,หนองพระ,บริษัท โรงสีเกาะแก้วเจริญธัญญา 2 จำกัด,10000000,56,บริษัท โรงสีเกาะแก้วเจริญธัญญา 2 จำกัด,5,50000000
100.259153,,"สีข้าว ชนิดแยกแกลบแยกรำ กำลังสีสูงสุดของร้านสีข้าว 1,000 เกวียน/วัน",บางกระทุ่ม,16.575169,,,70000000,พิษณุโลก,4,เลขที่ 46/1,8,โคกสลุด,บริษัท ธนารัตน์ธัญญะกิจ จำกัด,500000,57,บริษัท ธนารัตน์ธัญญะกิจ จำกัด,2,100000000
100.1622,,สีข้าว กำลังสีสูงสุดของร้านสีข้าว 300 เกวียน/วัน,พรหมพิราม,17.10123,-,-,2000000,พิษณุโลก,1,เลขที่ 104/1,14,วงฆ้อง,บริษัท โรงสีไฟโชครุ่งเรือง จำกัด,1000000,58,บริษัท โรงสีไฟโชครุ่งเรือง จำกัด,4,1000000
100.1336858,30000000,สีข้าว สีข้าวนึ่ง กำลังสีสูงสุดของร้านสีข้าว 500 เกวียน/วัน และอบเมล้ดพืช,พรหมพิราม,17.087935,-,-,35,พิษณุโลก,3,เลขที่ 7,6429.82,วงฆ้อง,ห้างหุ้นส่วนจำกัด พรหมพิรามชัยศิริ,21,59,ห้างหุ้นส่วนจำกัด พรหมพิรามชัยศิริ,,14
100.338129,,"สีข้าว (กำลังสีสูงสุดของร้านสีข้าว 1,300 เกวียน/วัน) และอบเมล็ดพืช เช่น ข้าวเปลือก",วัดโบสถ์,16.974755,,,5000000,พิษณุโลก,1,เลขที่ 99/1,20,วัดโบสถ์,บริษัท ที.เอส.พี.ไรซ์ จำกัด,0,60,บริษัท ที.เอส.พี.ไรซ์ จำกัด,0,70000000
100.2572,,ซ่อมและพ่นสีรถยนต์,เมืองพิษณุโลก,16.80809,บรมไตรโลกนารถ,,50000,พิษณุโลก,,เลขที่ 228/4,10,ในเมือง,บริษัท พิษณุโลกเอกการช่าง จำกัด,300000,61,เอกการช่าง,3,100000
100.27301,,ซ่อมจักรยานยนต์,เมืองพิษณุโลก,16.81522,พระองค์ดำ,,100000,พิษณุโลก,,เลขที่ 132/13,5,ในเมือง,นายพงศธร ศรีธรรมศิริ,0,62,โชคชัยมอเตอร์,0,60000
100.3142723,,โรงฟักไข่ โดย ตู้ฟักระบบปิด,วัดโบสถ์,17.0484573,,,13000000,พิษณุโลก,5,เลขที่ 279,70,ท่างาม,บริษัท ฟาร์ม 9 ไก่ฟู้ดส์ จำกัด,7500000,63,บริษัท ฟาร์ม 9 ไก่ฟู้ดส์ จำกัด (โรงฟักไข่),3,65000000
100.1620034,3550000,ผลิตน้ำแข็งก้อนเล็กได้วันละ 8 ตัน,พรหมพิราม,17.0979722,,,4,พิษณุโลก,8,เลขที่ 493,59,มะต้อง,นางเพียงใจ ประดิษฐ์,3,64,โรงงานน้ำแข็งเหน่งหนองตม,59,1
100.427142,850000,การบด ปั่น หรือย่อยส่วนต่างๆ ของพืช เมล็ดพืชหรือหัวพืช,วังทอง,16.7124785,,,5,พิษณุโลก,11,เลขที่ 442,64,หนองพระ,ห้างหุ้นส่วนจำกัด ป.ปรา พานิช,3,65,ห้างหุ้นส่วนจำกัด ป.ปราพานิช,64,2
100.3840311,0,ตัดเย็บเสื้อผ้าสำเร็จรูป,วังทอง,16.8416877,พิษณุโลก-หล่มสัก,,80,พิษณุโลก,8,เลขที่ 801,19.26,วังทอง,ทัณฑสถานหญิงพิษณุโลก,0,66,ทัณฑสถานหญิงพิษณุโลก,,80
100.2577803,21000000,ทำเครื่องสำอาง หรือสิ่งปรุงแต่งร่างกาย และทำอาหารเสริมจากสัตว์น้ำ หนัง หรือไขมันสัตว์น้ำ และจากพืช,เมืองพิษณุโลก,16.8553868,,,20,พิษณุโลก,2,เลขที่ 261,50.8,ดอนทอง,บริษัท ณัฐธรา บิสสิเนส จำกัด,2,67,บริษัท ณัฐธรา บิสสิเนส จำกัด,50.8,18
100.0295673,3200000,ผลิตคอนกรีตผสมสำเร็จและผลิตภัณฑ์คอนกรีตสำเร็จรูป,บางระกำ,16.7146679,ลานกระบือ-บางระกำ,,8,พิษณุโลก,4,เลขที่ 332/1,68.5,บึงกอก,ห้างหุ้นส่วนจำกัด ส.สุนทร,8,68,ห้างหุ้นส่วนจำกัด ส.สุนทร,0,0
,5500000,ผลิตคอนเรีตผสมเสร็จ,เมืองพิษณุโลก,,,,4,พิษณุโลก,4,เลขที่ 385,67.92,บึงพระ,นายจตุรงค์ ผิวอ่อนดี,4,69,นายจตุรงค์ ผิวอ่อนดี,0,0
100.1942531,7000000,ผลิตคอนกรีตผสมเสร็จ,วังทอง,16.7667641,,,5,พิษณุโลก,5,"เลขที่ โฉนดที่ดินเลขที่ 28466,28467,28468",72,วังทอง,ห้างหุ้นส่วนจำกัด ช.วัสดุคอนกรีต,4,70,ห้างหุ้นส่วนจำกัด ช.วัสดุคอนกรีต,72,1
100.2986933,8000000,ทำผลิตภัณฑ์อาหารสำเร็จรูป เช่น ไส้กรอกปลา เต้าหู้ปลา,วังทอง,16.8155366,พิษณุโลก-หล่มสัก,,40,พิษณุโลก,14,เลขที่ 649/2,73,วังทอง,บริษัท เอ-วัน ฟู้ดโปรดักส์ จำกัด,20,71,บริษัท เอ-วัน ฟู้ดส์ โปรดักส์ จำกัด,73,20
,11000000,ทำหลังคาเหล็กรีดลอน,เมืองพิษณุโลก,,,,4,พิษณุโลก,1,เลขที่ 242,67,บ้านกร่าง,ห้างหุ้นส่วนจำกัด พี.พี.เมทัลชีต. ยูพีโฟม,4,72,ห้างหุ้นส่วนจำกัด พี.พี.เมทัลชีต.พียูโฟม,0,0
