เลขที่,ที่มา,ชื่อ,_id,ปี,หน่วย,ค่า,ระดับ,อำเภอ,รายการ,ตำบล,หมู่
145,สำนักงานอุตสาหกรรมจังหวัดกระบี่,บริษัท ไทยอินโด ปาล์ม ออยล์ แฟคทอรี่ จำกัด,22,2566,แห่ง,1,ระดับ 2 ปฏิบัติการสีเขียว,ลำทับ,โรงานสกัดน้ำมันปาล์มที่เข้าร่วมอุตสาหกรรมสีเขียว,ลำทับ,2
39,สำนักงานอุตสาหกรรมจังหวัดกระบี่,ชุมนุมสหกรณ์ชาวสวนปาล์มน้ำมันกระบี่ จำกัด,23,2566,แห่ง,1,ระดับ 2 ปฏิบัติการสีเขียว,อ่าวลึก,โรงานสกัดน้ำมันปาล์มที่เข้าร่วมอุตสาหกรรมสีเขียว,คลองยา,1
368,สำนักงานอุตสาหกรรมจังหวัดกระบี่,บริษัท กลุ่มภัทร จำกัด,24,2566,แห่ง,1,ระดับ 2 ปฏิบัติการสีเขียว,เขาพนม,โรงานสกัดน้ำมันปาล์มที่เข้าร่วมอุตสาหกรรมสีเขียว,เขาพนม,4
168,สำนักงานอุตสาหกรรมจังหวัดกระบี่,บริษัท นามหงส์น้ำมันปาล์ม จำกัด,25,2566,แห่ง,1,ระดับ 2 ปฏิบัติการสีเขียว,เขาพนม,โรงานสกัดน้ำมันปาล์มที่เข้าร่วมอุตสาหกรรมสีเขียว,พรุเตียว,2
142,สำนักงานอุตสาหกรรมจังหวัดกระบี่,บริษัท ยูนิวานิชน้ำมันปาล์ม จำกัด (มหาชน) ,26,2566,แห่ง,1,ระดับ 2 ปฏิบัติการสีเขียว,ลำทับ,โรงานสกัดน้ำมันปาล์มที่เข้าร่วมอุตสาหกรรมสีเขียว,ทุ่งไทรทอง,1
592,สำนักงานอุตสาหกรรมจังหวัดกระบี่,บริษัท ยูนิวานิชน้ำมันปาล์ม จำกัด (มหาชน),27,2566,แห่ง,1,ระดับ 2 ปฏิบัติการสีเขียว,ปลายพระยา,โรงานสกัดน้ำมันปาล์มที่เข้าร่วมอุตสาหกรรมสีเขียว,ปลายพระยา,
258,สำนักงานอุตสาหกรรมจังหวัดกระบี่,บริษัท ยูนิวานิชน้ำมันปาล์ม จำกัด (มหาชน) ,28,2566,แห่ง,1,ระดับ 2 ปฏิบัติการสีเขียว,อ่าวลึก,โรงานสกัดน้ำมันปาล์มที่เข้าร่วมอุตสาหกรรมสีเขียว,อ่าวลึกใต้,2
82,สำนักงานอุตสาหกรรมจังหวัดกระบี่,บริษัท ไบโอเทคออยล์ จำกัด,29,2566,แห่ง,1,ระดับ 2 ปฏิบัติการสีเขียว,เขาพนม,โรงานสกัดน้ำมันปาล์มที่เข้าร่วมอุตสาหกรรมสีเขียว,เขาพนม,6
99,สำนักงานอุตสาหกรรมจังหวัดกระบี่,บริษัท เอเซี่ยนน้ำมันปาล์ม จำกัด,30,2566,แห่ง,1,ระดับ 3 ระบบสีเขียว,อ่าวลึก,โรงานสกัดน้ำมันปาล์มที่เข้าร่วมอุตสาหกรรมสีเขียว,อ่าวลึกใต้,2
325,สำนักงานอุตสาหกรรมจังหวัดกระบี่,บริษัท ป.พานิชรุ่งเรืองปาล์มออยล์ 2 จำกัด,31,2566,แห่ง,1,ระดับ 3 ระบบสีเขียว,เมืองกระบี่,โรงานสกัดน้ำมันปาล์มที่เข้าร่วมอุตสาหกรรมสีเขียว,ทับปริก,5
98,สำนักงานอุตสาหกรรมจังหวัดกระบี่,บริษัท สหอุตสาหกรรมน้ำมันปาล์ม จำกัด (มหาชน),32,2566,แห่ง,1,ระดับ 4 วัฒนธรรมสีเขียว,เหนือคลอง,โรงานสกัดน้ำมันปาล์มที่เข้าร่วมอุตสาหกรรมสีเขียว,ห้วยยูง,6
250,สำนักงานอุตสาหกรรมจังหวัดกระบี่,บริษัท ป.พานิชรุ่งเรืองปาล์มออยล์ 5 จำกัด,33,2567,แห่ง,1,ระดับที่ 1 ความมุ่งมั่นสีเขียว,ปลายพระยา,โรงานสกัดน้ำมันปาล์มที่เข้าร่วมอุตสาหกรรมสีเขียว,เขาเขน,3
33/4,สำนักงานอุตสาหกรรมจังหวัดกระบี่,บริษัท สยามโมเดิร์น จำกัด,34,2567,แห่ง,1,ระดับที่ 1 ความมุ่งมั่นสีเขียว,อ่าวลึก,โรงานสกัดน้ำมันปาล์มที่เข้าร่วมอุตสาหกรรมสีเขียว,นาเหนือ,2
88,สำนักงานอุตสาหกรรมจังหวัดกระบี่,บริษัท กระบี่วิเศษน้ำมันปาล์ม จำกัด,35,2567,แห่ง,1,ระดับที่ 1 ความมุ่งมั่นสีเขียว,คลองท่อม,โรงานสกัดน้ำมันปาล์มที่เข้าร่วมอุตสาหกรรมสีเขียว,คลองท่อมเหนือ,5
99,สำนักงานอุตสาหกรรมจังหวัดกระบี่,บริษัท ศรีเจริญ ปาล์ม ออยล์ จำกัด,36,2567,แห่ง,1,ระดับ 2 ปฏิบัติการสีเขียว,เขาพนม,โรงานสกัดน้ำมันปาล์มที่เข้าร่วมอุตสาหกรรมสีเขียว,เขาดิน,3
99/9,สำนักงานอุตสาหกรรมจังหวัดกระบี่,บริษัท ปาล์มพันล้าน จำกัด,37,2567,แห่ง,1,ระดับ 2 ปฏิบัติการสีเขียว,คลองท่อม,โรงานสกัดน้ำมันปาล์มที่เข้าร่วมอุตสาหกรรมสีเขียว,เพหลา,2
145,สำนักงานอุตสาหกรรมจังหวัดกระบี่,บริษัท ไทยอินโด ปาล์ม ออยล์ แฟคทอรี่ จำกัด,38,2567,แห่ง,1,ระดับ 2 ปฏิบัติการสีเขียว,ลำทับ,โรงานสกัดน้ำมันปาล์มที่เข้าร่วมอุตสาหกรรมสีเขียว,ลำทับ,2
39,สำนักงานอุตสาหกรรมจังหวัดกระบี่,ชุมนุมสหกรณ์ชาวสวนปาล์มน้ำมันกระบี่ จำกัด,39,2567,แห่ง,1,ระดับ 2 ปฏิบัติการสีเขียว,อ่าวลึก,โรงานสกัดน้ำมันปาล์มที่เข้าร่วมอุตสาหกรรมสีเขียว,คลองยา,1
368,สำนักงานอุตสาหกรรมจังหวัดกระบี่,บริษัท กลุ่มภัทร จำกัด,40,2567,แห่ง,1,ระดับ 2 ปฏิบัติการสีเขียว,เขาพนม,โรงานสกัดน้ำมันปาล์มที่เข้าร่วมอุตสาหกรรมสีเขียว,เขาพนม,4
168,สำนักงานอุตสาหกรรมจังหวัดกระบี่,บริษัท นามหงส์น้ำมันปาล์ม จำกัด,41,2567,แห่ง,1,ระดับ 2 ปฏิบัติการสีเขียว,เขาพนม,โรงานสกัดน้ำมันปาล์มที่เข้าร่วมอุตสาหกรรมสีเขียว,พรุเตียว,2
142,สำนักงานอุตสาหกรรมจังหวัดกระบี่,บริษัท ยูนิวานิชน้ำมันปาล์ม จำกัด (มหาชน) ,42,2567,แห่ง,1,ระดับ 2 ปฏิบัติการสีเขียว,ลำทับ,โรงานสกัดน้ำมันปาล์มที่เข้าร่วมอุตสาหกรรมสีเขียว,ทุ่งไทรทอง,1
592,สำนักงานอุตสาหกรรมจังหวัดกระบี่,บริษัท ยูนิวานิชน้ำมันปาล์ม จำกัด (มหาชน) ,43,2567,แห่ง,1,ระดับ 2 ปฏิบัติการสีเขียว,ปลายพระยา,โรงานสกัดน้ำมันปาล์มที่เข้าร่วมอุตสาหกรรมสีเขียว,ปลายพระยา,
258,สำนักงานอุตสาหกรรมจังหวัดกระบี่,บริษัท ยูนิวานิชน้ำมันปาล์ม จำกัด (มหาชน) ,44,2567,แห่ง,1,ระดับ 2 ปฏิบัติการสีเขียว,อ่าวลึก,โรงานสกัดน้ำมันปาล์มที่เข้าร่วมอุตสาหกรรมสีเขียว,อ่าวลึกใต้,2
82,สำนักงานอุตสาหกรรมจังหวัดกระบี่,บริษัท ไบโอเทคออยล์ จำกัด,45,2567,แห่ง,1,ระดับ 2 ปฏิบัติการสีเขียว,เขาพนม,โรงานสกัดน้ำมันปาล์มที่เข้าร่วมอุตสาหกรรมสีเขียว,เขาพนม,6
99,สำนักงานอุตสาหกรรมจังหวัดกระบี่,บริษัท เอเซี่ยนน้ำมันปาล์ม จำกัด,46,2567,แห่ง,1,ระดับ 3 ระบบสีเขียว,อ่าวลึก,โรงานสกัดน้ำมันปาล์มที่เข้าร่วมอุตสาหกรรมสีเขียว,อ่าวลึกใต้,2
325,สำนักงานอุตสาหกรรมจังหวัดกระบี่,บริษัท ป.พานิชรุ่งเรืองปาล์มออยล์ 2 จำกัด,47,2567,แห่ง,1,ระดับ 3 ระบบสีเขียว,เมืองกระบี่,โรงานสกัดน้ำมันปาล์มที่เข้าร่วมอุตสาหกรรมสีเขียว,ทับปริก,5
98,สำนักงานอุตสาหกรรมจังหวัดกระบี่,บริษัท สหอุตสาหกรรมน้ำมันปาล์ม จำกัด (มหาชน),48,2567,แห่ง,1,ระดับ 4 วัฒนธรรมสีเขียว,เหนือคลอง,โรงานสกัดน้ำมันปาล์มที่เข้าร่วมอุตสาหกรรมสีเขียว,ห้วยยูง,6
