VALUE,SOURCE,_id,UNIT,YEAR,LF_STATUS
1154568,สำนักงานสถิติแห่งชาติ,46,คน,2566,กำลังแรงงานดิจิทัล (Digital Workforce)
644232,สำนักงานสถิติแห่งชาติ,47,คน,2566,ผู้มีงานทำที่ประกอบอาชีพด้านดิจิทัล
494568,สำนักงานสถิติแห่งชาติ,48,คน,2566,ผู้มีงานทำที่ไม่ได้ประกอบอาชีพด้านดิจิทัล แต่จบการศึกษาด้านดิจิทัล
12615,สำนักงานสถิติแห่งชาติ,49,คน,2566,ผู้ว่างงานที่จบการศึกษาด้านดิจิทัล
3153,สำนักงานสถิติแห่งชาติ,50,คน,2566,ผู้ว่างงานที่ไม่ได้จบการศึกษาด้านดิจิทัล แต่เคยประกอบอาชีพด้านดิจิทัล
1160488,สำนักงานสถิติแห่งชาติ,51,คน,2567,กำลังแรงงานดิจิทัล (Digital Workforce)
643397,สำนักงานสถิติแห่งชาติ,52,คน,2567,ผู้มีงานทำที่ประกอบอาชีพด้านดิจิทัล
496514,สำนักงานสถิติแห่งชาติ,53,คน,2567,ผู้มีงานทำที่ไม่ได้ประกอบอาชีพด้านดิจิทัล แต่จบการศึกษาด้านดิจิทัล
17962,สำนักงานสถิติแห่งชาติ,54,คน,2567,ผู้ว่างงานที่จบการศึกษาด้านดิจิทัล
2615,สำนักงานสถิติแห่งชาติ,55,คน,2567,ผู้ว่างงานที่ไม่ได้จบการศึกษาด้านดิจิทัล แต่เคยประกอบอาชีพด้านดิจิทัล
1116257,สำนักงานสถิติแห่งชาติ,56,คน,2568,กำลังแรงงานดิจิทัล (Digital Workforce)
615512,สำนักงานสถิติแห่งชาติ,57,คน,2568,ผู้มีงานทำที่ประกอบอาชีพด้านดิจิทัล
485875,สำนักงานสถิติแห่งชาติ,58,คน,2568,ผู้มีงานทำที่ไม่ได้ประกอบอาชีพด้านดิจิทัล แต่จบการศึกษาด้านดิจิทัล
12763,สำนักงานสถิติแห่งชาติ,59,คน,2568,ผู้ว่างงานที่จบการศึกษาด้านดิจิทัล
2107,สำนักงานสถิติแห่งชาติ,60,คน,2568,ผู้ว่างงานที่ไม่ได้จบการศึกษาด้านดิจิทัล แต่เคยประกอบอาชีพด้านดิจิทัล
