ประเภทโรงงาน,ค่าข้อมูล,ที่มา,_id,อำเภอ,รายการ,หน่วย
โรงงานผลิตคอนกรีตผสมเสร็จ,7,สำนักงานอุตสาหกรรมจังหวัดเชียงราย,16,เวียงเชียงรุ้ง,โรงงานอุตสาหกรรม,โรงงาน
โรงงานผลิตอิฐมอญ,3,สำนักงานอุตสาหกรรมจังหวัดเชียงราย,17,แม่จัน,โรงงานอุตสาหกรรม,โรงงาน
โรงงานผลิตอิฐมอญ,1,สำนักงานอุตสาหกรรมจังหวัดเชียงราย,18,แม่สาย,โรงงานอุตสาหกรรม,โรงงาน
	โรงงานผลิตแอสฟัลท์ติกคอนกรีต,5,สำนักงานอุตสาหกรรมจังหวัดเชียงราย,19,เมือง,โรงงานอุตสาหกรรม,โรงงาน
	โรงงานผลิตแอสฟัลท์ติกคอนกรีต,2,สำนักงานอุตสาหกรรมจังหวัดเชียงราย,20,เวียงชัย,โรงงานอุตสาหกรรม,โรงงาน
	โรงงานผลิตแอสฟัลท์ติกคอนกรีต,1,สำนักงานอุตสาหกรรมจังหวัดเชียงราย,21,เทิง,โรงงานอุตสาหกรรม,โรงงาน
	โรงงานผลิตแอสฟัลท์ติกคอนกรีต,2,สำนักงานอุตสาหกรรมจังหวัดเชียงราย,22,พาน,โรงงานอุตสาหกรรม,โรงงาน
	โรงงานผลิตแอสฟัลท์ติกคอนกรีต,1,สำนักงานอุตสาหกรรมจังหวัดเชียงราย,23,แม่จัน,โรงงานอุตสาหกรรม,โรงงาน
	โรงงานผลิตแอสฟัลท์ติกคอนกรีต,1,สำนักงานอุตสาหกรรมจังหวัดเชียงราย,24,แม่สาย,โรงงานอุตสาหกรรม,โรงงาน
	โรงงานผลิตแอสฟัลท์ติกคอนกรีต,1,สำนักงานอุตสาหกรรมจังหวัดเชียงราย,25,เวียงป่าเป้า,โรงงานอุตสาหกรรม,โรงงาน
	โรงงานผลิตแอสฟัลท์ติกคอนกรีต,1,สำนักงานอุตสาหกรรมจังหวัดเชียงราย,26,พญาเม็งราย,โรงงานอุตสาหกรรม,โรงงาน
	โรงงานผลิตแอสฟัลท์ติกคอนกรีต,1,สำนักงานอุตสาหกรรมจังหวัดเชียงราย,27,แม่ลาว,โรงงานอุตสาหกรรม,โรงงาน
อื่นๆ เช่น โรงงานอบพืชผลทางการเกษตร ,13,สำนักงานอุตสาหกรรมจังหวัดเชียงราย,28,เมืองเชียงราย,โรงงานอุตสาหกรรม,โรงงาน
อื่นๆ เช่น โรงงานอบพืชผลทางการเกษตร ,4,สำนักงานอุตสาหกรรมจังหวัดเชียงราย,29,เวียงชัย,โรงงานอุตสาหกรรม,โรงงาน
อื่นๆ เช่น โรงงานอบพืชผลทางการเกษตร ,4,สำนักงานอุตสาหกรรมจังหวัดเชียงราย,30,เชียงของ,โรงงานอุตสาหกรรม,โรงงาน
อื่นๆ เช่น โรงงานอบพืชผลทางการเกษตร ,10,สำนักงานอุตสาหกรรมจังหวัดเชียงราย,31,เทิง,โรงงานอุตสาหกรรม,โรงงาน
อื่นๆ เช่น โรงงานอบพืชผลทางการเกษตร ,11,สำนักงานอุตสาหกรรมจังหวัดเชียงราย,32,พาน,โรงงานอุตสาหกรรม,โรงงาน
อื่นๆ เช่น โรงงานอบพืชผลทางการเกษตร ,4,สำนักงานอุตสาหกรรมจังหวัดเชียงราย,33,ป่าแดด,โรงงานอุตสาหกรรม,โรงงาน
อื่นๆ เช่น โรงงานอบพืชผลทางการเกษตร ,4,สำนักงานอุตสาหกรรมจังหวัดเชียงราย,34,แม่จัน,โรงงานอุตสาหกรรม,โรงงาน
อื่นๆ เช่น โรงงานอบพืชผลทางการเกษตร ,4,สำนักงานอุตสาหกรรมจังหวัดเชียงราย,35,เชียงแสน,โรงงานอุตสาหกรรม,โรงงาน
อื่นๆ เช่น โรงงานอบพืชผลทางการเกษตร ,5,สำนักงานอุตสาหกรรมจังหวัดเชียงราย,36,แม่สาย,โรงงานอุตสาหกรรม,โรงงาน
อื่นๆ เช่น โรงงานอบพืชผลทางการเกษตร ,9,สำนักงานอุตสาหกรรมจังหวัดเชียงราย,37,แม่สรวย,โรงงานอุตสาหกรรม,โรงงาน
อื่นๆ เช่น โรงงานอบพืชผลทางการเกษตร ,9,สำนักงานอุตสาหกรรมจังหวัดเชียงราย,38,เวียงป่าเป้า,โรงงานอุตสาหกรรม,โรงงาน
อื่นๆ เช่น โรงงานอบพืชผลทางการเกษตร ,3,สำนักงานอุตสาหกรรมจังหวัดเชียงราย,39,พญาเม็งราย,โรงงานอุตสาหกรรม,โรงงาน
อื่นๆ เช่น โรงงานอบพืชผลทางการเกษตร ,1,สำนักงานอุตสาหกรรมจังหวัดเชียงราย,40,ขุนตาล,โรงงานอุตสาหกรรม,โรงงาน
อื่นๆ เช่น โรงงานอบพืชผลทางการเกษตร ,1,สำนักงานอุตสาหกรรมจังหวัดเชียงราย,41,แม่ลาว,โรงงานอุตสาหกรรม,โรงงาน
อื่นๆ เช่น โรงงานอบพืชผลทางการเกษตร ,2,สำนักงานอุตสาหกรรมจังหวัดเชียงราย,42,เวียงเชียงรุ้ง,โรงงานอุตสาหกรรม,โรงงาน
อื่นๆ เช่น โรงงานอบพืชผลทางการเกษตร ,1,สำนักงานอุตสาหกรรมจังหวัดเชียงราย,43,ดอยหลวง,โรงงานอุตสาหกรรม,โรงงาน
