จำนวนโรงงาน,_id,ปี,กลุ่มอุตสาหกรรม,จังหวัด
22,31,2567,การพิมพ์ การเย็บเล่ม ทำปกหรือการทำแม่พิมพ์ ,ระยอง
102,32,2567,เคมีภัณฑ์และผลิตภัณฑ์เคมี ,ระยอง
23,33,2567,ผลิตภัณฑ์จากปิโตรเลียม ,ระยอง
86,34,2567,ยางและผลิตภัณฑ์ยาง ,ระยอง
206,35,2567,ผลิตภัณฑ์พลาสติก ,ระยอง
134,36,2567,ผลิตภัณฑ์อโลหะ ,ระยอง
36,37,2567,ผลิตโลหะขั้นมูลฐาน ,ระยอง
299,38,2567,ผลิตภัณฑ์โลหะ ,ระยอง
97,39,2567,ผลิตเครื่องจักรและเครื่องกล,ระยอง
65,40,2567,ผลิตเครื่องใช้ไฟฟ้าและอุปกรณ์ ,ระยอง
135,41,2567,ผลิตยานพาหนะและอุปกรณ์รวมทั้งการซ่อมยานพาหนะและอุปกรณ์,ระยอง
528,42,2567,การผลิตอื่นๆ ,ระยอง
20,43,2566,ผลิตภัณฑ์จากพืช ,ระยอง
106,44,2566,อุตสาหกรรมอาหาร ,ระยอง
7,45,2566,อุตสาหกรรมเครื่องดื่ม ,ระยอง
11,46,2566,สิ่งทอ ,ระยอง
1,47,2566,อุตสาหกรรมเครื่องแต่งกายยกเว้นรองเท้า,ระยอง
3,48,2566,ผลิตหนังสัตว์และผลิตภัณฑ์จากหนังสัตว์ ,ระยอง
135,49,2566,แปรรูปไม้และผลิตภัณฑ์จากไม้ ,ระยอง
31,50,2566,เครื่องเรือนหรือเครื่องตบแต่งในอาคารจากไม้ แก้ว ยาง หรือโลหะอื่นๆ,ระยอง
20,51,2566,ผลิตกระดาษและผลิตภัณฑ์กระดาษ ,ระยอง
21,52,2566,การพิมพ์ การเย็บเล่ม ทำปกหรือการทำแม่พิมพ์ ,ระยอง
96,53,2566,เคมีภัณฑ์และผลิตภัณฑ์เคมี ,ระยอง
22,54,2566,ผลิตภัณฑ์จากปิโตรเลียม ,ระยอง
85,55,2566,ยางและผลิตภัณฑ์ยาง ,ระยอง
193,56,2566,ผลิตภัณฑ์พลาสติก ,ระยอง
122,57,2566,ผลิตภัณฑ์อโลหะ ,ระยอง
32,58,2566,ผลิตโลหะขั้นมูลฐาน ,ระยอง
273,59,2566,ผลิตภัณฑ์โลหะ ,ระยอง
85,60,2566,ผลิตเครื่องจักรและเครื่องกล,ระยอง
60,61,2566,ผลิตเครื่องใช้ไฟฟ้าและอุปกรณ์ ,ระยอง
124,62,2566,ผลิตยานพาหนะและอุปกรณ์รวมทั้งการซ่อมยานพาหนะและอุปกรณ์,ระยอง
487,63,2566,การผลิตอื่นๆ ,ระยอง
20,64,2565,ผลิตภัณฑ์จากพืช ,ระยอง
104,65,2565,อุตสาหกรรมอาหาร ,ระยอง
7,66,2565,อุตสาหกรรมเครื่องดื่ม ,ระยอง
11,67,2565,สิ่งทอ ,ระยอง
1,68,2565,อุตสาหกรรมเครื่องแต่งกายยกเว้นรองเท้า,ระยอง
3,69,2565,ผลิตหนังสัตว์และผลิตภัณฑ์จากหนังสัตว์ ,ระยอง
129,70,2565,แปรรูปไม้และผลิตภัณฑ์จากไม้ ,ระยอง
28,71,2565,เครื่องเรือนหรือเครื่องตบแต่งในอาคารจากไม้ แก้ว ยาง หรือโลหะอื่นๆ,ระยอง
19,72,2565,ผลิตกระดาษและผลิตภัณฑ์กระดาษ ,ระยอง
20,73,2565,การพิมพ์ การเย็บเล่ม ทำปกหรือการทำแม่พิมพ์ ,ระยอง
95,74,2565,เคมีภัณฑ์และผลิตภัณฑ์เคมี ,ระยอง
21,75,2565,ผลิตภัณฑ์จากปิโตรเลียม ,ระยอง
85,76,2565,ยางและผลิตภัณฑ์ยาง ,ระยอง
179,77,2565,ผลิตภัณฑ์พลาสติก ,ระยอง
111,78,2565,ผลิตภัณฑ์อโลหะ ,ระยอง
27,79,2565,ผลิตโลหะขั้นมูลฐาน ,ระยอง
253,80,2565,ผลิตภัณฑ์โลหะ ,ระยอง
83,81,2565,ผลิตเครื่องจักรและเครื่องกล,ระยอง
49,82,2565,ผลิตเครื่องใช้ไฟฟ้าและอุปกรณ์ ,ระยอง
117,83,2565,ผลิตยานพาหนะและอุปกรณ์รวมทั้งการซ่อมยานพาหนะและอุปกรณ์,ระยอง
464,84,2565,การผลิตอื่นๆ ,ระยอง
20,85,2564,ผลิตภัณฑ์จากพืช ,ระยอง
101,86,2564,อุตสาหกรรมอาหาร ,ระยอง
7,87,2564,อุตสาหกรรมเครื่องดื่ม ,ระยอง
11,88,2564,สิ่งทอ ,ระยอง
1,89,2564,อุตสาหกรรมเครื่องแต่งกายยกเว้นรองเท้า,ระยอง
3,90,2564,ผลิตหนังสัตว์และผลิตภัณฑ์จากหนังสัตว์ ,ระยอง
125,91,2564,แปรรูปไม้และผลิตภัณฑ์จากไม้ ,ระยอง
27,92,2564,เครื่องเรือนหรือเครื่องตบแต่งในอาคารจากไม้ แก้ว ยาง หรือโลหะอื่นๆ,ระยอง
19,93,2564,ผลิตกระดาษและผลิตภัณฑ์กระดาษ ,ระยอง
17,94,2564,การพิมพ์ การเย็บเล่ม ทำปกหรือการทำแม่พิมพ์ ,ระยอง
86,95,2564,เคมีภัณฑ์และผลิตภัณฑ์เคมี ,ระยอง
21,96,2564,ผลิตภัณฑ์จากปิโตรเลียม ,ระยอง
81,97,2564,ยางและผลิตภัณฑ์ยาง ,ระยอง
170,98,2564,ผลิตภัณฑ์พลาสติก ,ระยอง
105,99,2564,ผลิตภัณฑ์อโลหะ ,ระยอง
26,100,2564,ผลิตโลหะขั้นมูลฐาน ,ระยอง
240,101,2564,ผลิตภัณฑ์โลหะ ,ระยอง
79,102,2564,ผลิตเครื่องจักรและเครื่องกล,ระยอง
46,103,2564,ผลิตเครื่องใช้ไฟฟ้าและอุปกรณ์ ,ระยอง
112,104,2564,ผลิตยานพาหนะและอุปกรณ์รวมทั้งการซ่อมยานพาหนะและอุปกรณ์,ระยอง
436,105,2564,การผลิตอื่นๆ ,ระยอง
