_id,ลำดับ,ประกอบกิจการ,เลขทะเบียนเดิม,ผู้ประกอบการ,เงินทุนรวม
12,12,ผลิตน้ำแข็งหลอดเล็ก และน้ำแข็งหลอดใหญ่,3-14-16/63ขก,บริษัท ธัชกร บ้านไผ่ จำกัด,"16,000,000.00"
13,13,ผลิตน้ำแข็งก้อนเล็ก (กำลังการผลิต 350 เมตริกตัน/วัน),3-14-18/67ขก,บริษัท วารินทิพย์ ขอนแก่น จำกัด,"18,000,000.00"
14,14,ผลิตน้ำแข็งก้อนเล็ก (กำลังการผลิต 250เมตริกตัน/วัน),3-14-20/67ขก,บริษัท ตะวันโต ยิ่งเจริญ พลัส จำกัด,"100,000,000.00"
15,15,ทำน้ำแข็ง หรือ ตัด ซอย บด หรือย่อยน้ำแข็ง กำลังการผลิต 130 ตันต่อวัน,3-14-26/67ขก,บริษัท กิมชุนไอซ์ หนองสองห้อง จำกัด,"36,500,000.00"
16,16,ผลิตน้ำแข็งก้อนเล็ก (กำลังการผลิต 250 เมตริกตัน/วัน),3-14-40/64ขก,บริษัท พิมลพงศ์ ไอซ์ 2021 จำกัด,"16,000,000.00"
17,17,ผลิตน้ำแข็งก้อนเล็ก (กำลังการผลิต 190 เมตริกตัน/วัน),3-14-47/64ขก,นางนวรัตน์ ศรีสมุดคำ,"12,000,000.00"
18,18,ผลิตและจำหน่ายน้ำแข็งหลอด,3-14-48/57ขก,บริษัท ซันนี่ 10 ขอนแก่น จำกัด,"52,900,000.00"
19,19,ทำน้ำแข็งก้อนเล็ก,3-14-5/65ขก,นายณรงค์ ภูหลาบ,"21,000,000.00"
20,20,ผลิตน้ำแข็งก้อนเล็ก,3-14-53/60ขก,บริษัท ธาราทิพย์ บ้านไผ่ จำกัด,"26,000,000.00"
21,21,ทำน้ำแข็งก้อนเล็ก,3-14-64/59ขก,ห้างหุ้นส่วนจำกัด ประสงค์ทรัพย์ ขอนแก่น,"24,000,000.00"
22,22,ผลิตน้ำแข็ง,3-14-65/63ขก,บริษัท ยิ่งเจริญ ไอซ์ ขอนแก่น จำกัด,"32,000,000.00"
23,23,ผลิตน้ำแข็งก้อนเล็ก (กำลังการผลิต 225 เมตริกตัน/วัน),3-14-8/64ขก,บริษัท มุกนที ไอซ์ จำกัด,"55,000,000.00"
24,24,ผลิตน้ำแข็ง,3-14-81/58ขก,บริษัท กรเดช หนองเรือ จำกัด,"8,000,000.00"
25,25,ทำน้ำแข็งก้อนเล็ก,3-14-9/55ขก,บริษัท กรเดช ชุมแพ จำกัด,"31,000,000.00"
26,26,ผลิตอาหารสัตว์,3-15(1)-6/57ขก,บริษัท ซีพีเอฟ (ประเทศไทย) จำกัด (มหาชน),"1,267,398,444.69"
27,27,ทำกระดูกเม็ด และกระดูกป่นจากกระดูกสัตว์,3-15(2)-1/30ขก,บริษัท อุตสาหกรรมกระดูกสัตว์ จำกัด,"7,000,000.00"
28,28,ฆ่า ชำแหละเนื้อไก่และแปรรูปชิ้นส่วนไก่เนื้อเพื่อการส่งออก,3-4(1)-13/63ขก,บริษัท พีแอนด์พี โปรดิวส์ จำกัด,"472,000,000.00"
29,29,"ฆ่า, ชำแหละ, ตัดแต่ง, แปรรูปสุกรและ    ทำผลิตภัณฑ์อาหารสำเร็จรูป ",3-4(1)-16/65ขก,บริษัท ซีพีเอฟ (ประเทศไทย) จำกัด (มหาชน),"560,000,000.00"
30,30,ฆ่าและชำแหละสุกร,3-4(1)-17/57ขก,บริษัท เบทาโกรเกษตรอุตสาหกรรม จำกัด,"168,200,000.00"
31,31,ทำนมสดพาสเจอไรส์,3-5(1)-1/31ขก,บริษัท ขอนแก่น แดรี่ส์ จำกัด,"5,660,000.00"
32,32,ผลิตภัณฑ์นมพร้อมดื่ม ,3-5(1)-1/40ขก,องค์การส่งเสริมกิจการโคนมแห่งประเทศไทย,"640,000,000.00"
33,33,อาหารสำเร็จรูปพร้อมบริโภคทันที,3-8(1)-28/60ขก,บริษัท ซีพีแรม จำกัด,"777,822,000.00"
34,34,แปรรูปผลผลิตทางการเกษตร อาหารและน้ำดื่ม,3-8(1)-8/63ขก,มหาวิทยาลัยขอนแก่น,"57,506,410.00"
35,35,ผลิตอาหารจากแป้ง เช่น ขนมปัง คุกกี้ ขนมเค็ก,จ3-10(1)-1/50ขก,บริษัท ซีพีแรม จำกัด,"1,875,191,524.00"
36,36,ทำขนมปัง เบเกอรี่,จ3-10(1)-13/61ขก,บริษัท แกรนด์ อินเตอร์ ฟูดส์ จำกัด,"25,000,000.00"
37,37,ทำขนมปัง ขนมเค้ก เบเกอรี่,จ3-10(1)-2/64ขก,บริษัท แกรนด์ อินเตอร์ ฟูดส์ จำกัด,"29,000,000.00"
38,38,ผลิตอาหารจากแป้ง เช่น ขนมปัง ขนมเค้ก เป็นต้น,จ3-10(1)-3/62ขก,บริษัท โออิชิ ฟู้ด จำกัด,"60,000,000.00"
39,39,ผลิตขนมขบเคี้ยว เช่น ข้าวเกรียบกุ้ง ข้าวโพดแท่งอบ,จ3-10(2)-2/66ขก,ห้างหุ้นส่วนจำกัด สแน็บฟู๊ดส์,"7,650,000.00"
40,40,ทำเส้นขนมจีนอบแห้งและเส้นหมี่อบแห้ง,จ3-10(3)-12/47ขก,ห้างหุ้นส่วนจำกัด โรงงานผลิตแป้งทำขนมจีน กวางคู่,"9,920,000.00"
41,41,ทำผลิตภัณฑ์อาหารจากแป้ง เช่น เส้นก๋วยจั๊บ,จ3-10(3)-3/50ขก,นางเจียมจิรา ทรงชัยภัทร,"1,000,000.00"
42,42,ผลิตเส้นหมี่,จ3-10(3)-4/52ขก,นางสาวอรวรรณ์ ทองเทียม,"1,450,000.00"
43,43,ผลิตไอศกรีม,จ3-12(11)-3/57ขก,บริษัท เพอร์เฟค คอมพาเนียน กรุ๊ป จำกัด,"2,000,000.00"
44,44,ผลิตซอสปลาร้าบรรจุปี๊บและบรรจุขวด,จ3-13(2)-6/61ขก,บริษัท โรงงานปลาร้าแม่ประกาศ จำกัด,"8,000,000.00"
45,45,"ผลิตซอสอเนกประสงค์สไตล์ญี่ปุ่น, ผลิตอาหารและแปรรูปผลิตภัณฑ์อาหารทุกชนิด",จ3-13(2)-6/65ขก,บริษัท ฮารุมิ ฮานะ จำกัด,"20,000,000.00"
46,46,ทำน้ำแข็งก้อนเล็กวันละ30ตัน,จ3-14-1/37ขก,นายเรืองพจน์ โนนใหม่,"7,700,000.00"
47,47,ทำน้ำแข็งก้อนเล็ก กำลังการผลิต 63 ตัน/วัน และทำน้ำดื่ม,จ3-14-1/39ขก,ห้างหุ้นส่วนจำกัด โรงน้ำแข็งหลอดศรีนวล,"56,500,000.00"
48,48,ทำน้ำแข็งก้อนเล็ก,จ3-14-1/53ขก,บริษัท จารุธนิตกุล (2009) จำกัด,"14,000,000.00"
49,49,ผลิตน้ำแข็งก้อน 100 ตัน/วัน,จ3-14-11/50ขก,ห้างหุ้นส่วนจำกัด ตั้งสุรเสียง ไอซ์ หนองสองห้อง,"17,300,000.00"
50,50,ทำน้ำแข็งก้อนเล็ก,จ3-14-14/61ขก,บริษัท โรงงานน้ำแข็งและเครื่องดื่ม เคเอสไอ จำกัด ,"3,300,000.00"
51,51,ผลิตน้ำแข็ง,จ3-14-18/59ขก,บริษัท กรเดช เมืองพล จำกัด,"12,000,000.00"
52,52,ทำน้ำแข็งก้อนเล็ก กำลังการผลิต 40 ตัน/วัน รวมเป็น 110 ตัน/วัน,จ3-14-19/48ขก,นางนวรัตน์ ศรีสมุดคำ ,"4,050,000.00"
53,53,ทำน้ำแข็งก้อนเล็ก,จ3-14-2/53ขก,ห้างหุ้นส่วนจำกัด ประสงค์ทรัพย์,"24,500,000.00"
54,54,ทำน้ำแข็งก้อนเล็ก,จ3-14-20/51ขก,ห้างหุ้นส่วนจำกัด คิงส์น้ำพอง,"2,000,000.00"
55,55,ทำน้ำแข็งก้อนเล็กและทำน้ำดื่ม,จ3-14-20/56ขก,นายวิสิทธิ์ ตันติบัญชาชัย,"5,300,000.00"
56,56,ผลิตน้ำแข็งหลอด,จ3-14-20/58ขก,นายอภิสิทธิ์ เกาะลอย,"3,450,000.00"
57,57,ผลิตน้ำแข็งก้อนเล็ก กำลังการผลิต 50 ตันต่อวัน,จ3-14-22/48ขก,นายกริชดา ดวงเตชะ,"6,000,000.00"
58,58,ผลิตน้ำแข็งก้อนเล็ก,จ3-14-23/63ขก,นายสุพจน์ แดนไก่แก้ว,"2,500,000.00"
59,59,ทำน้ำแข็งก้อนเล็กและน้ำดื่ม,จ3-14-25/51ขก,นายเรืองศักดิ์ รุ่งไมตรี,"11,000,000.00"
60,60,ทำน้ำแข็งก้อนเล็ก,จ3-14-26/51ขก,ห้างหุ้นส่วนจำกัด โรงน้ำแข็ง เอสซีขอนแก่น,"4,640,000.00"
61,61,ทำน้ำแข็งก้อนเล็ก,จ3-14-28/56ขก,บริษัท ธาราทิพย์ โนนเพ็ก จำกัด,"4,000,000.00"
62,62,ผลิตและจำหน่ายน้ำแข็งหลอด น้ำดื่ม,จ3-14-3/46ขก,นางนวรัตน์ ศรีสมุดคำ,"3,000,000.00"
63,63,ทำน้ำแข็งก้อนเล็ก,จ3-14-3/51ขก,ห้างหุ้นส่วนจำกัด โรงน้ำแข็งหลอดศรีนวล,"35,000,000.00"
64,64,ทำน้าแข็งซอง,จ3-14-3/53ขก,ห้างหุ้นส่วนจำกัด สมชัยพานิช ชุมแพ,"7,000,000.00"
65,65,ทำน้ำแข็งก้อนเล็ก,จ3-14-3/57ขก,นางตุ๊ ฐิตรัตน์สกุล,"6,000,000.00"
66,66,ผลิตน้ำแข็งหลอด กำลังการผลิต 60 ตันต่อวัน,จ3-14-3/63ขก,นายอภิชา ชาญเมธีกิติกุล,"16,600,000.00"
67,67,ทำน้ำแข็งก้อนเล็ก,จ3-14-31/56ขก,ห้างหุ้นส่วนจำกัด ซำสูงน้ำทิพย์,"5,500,000.00"
68,68,ทำน้ำแข็งก้อนเล็ก กำลังการผลิต 100 ตัน/วัน,จ3-14-36/62ขก,บริษัท กิจวารีท่าพระ จำกัด,"40,400,000.00"
69,69,ทำน้ำแข็งก้อนเล็ก,จ3-14-37/56ขก,ห้างหุ้นส่วนจำกัด ส.สยามไอซ์,"6,600,000.00"
70,70,ผลิตน้ำแข็งก้อนเล็ก,จ3-14-38/47ขก,บริษัท ธาราทิพย์ ขอนแก่น จำกัด,"2,000,000.00"
71,71,ทำน้ำแข็งก้อนเล็ก,จ3-14-39/49ขก,บริษัท โรงน้ำแข็งสุขสมนึก จำกัด,"7,200,000.00"
72,72,ทำน้ำแข็งก้อนเล็ก,จ3-14-40/51ขก,ห้างหุ้นส่วนจำกัด น้ำแข็ง พูนทรัพย์,"7,800,000.00"
73,73,ทำน้ำแข็งก้อนเล็ก,จ3-14-43/56ขก,นายอนนท์ ธงศิลา,"10,450,000.00"
74,74,ทำน้ำแข็งก้อนเล็ก วันละ 20 ตัน,จ3-14-46/48ขก,นายวีระศักดิ์ สรรพทรัพย์,"2,350,000.00"
75,75,ผลิตน้ำแข็งก้อนเล็ก,จ3-14-49/53ขก,บริษัท โรงน้ำแข็งขอนแก่นกิจวารี (หนองเรือ) จำกัด,"8,100,000.00"
76,76,ทำน้ำแข็งก้อนเล็ก,จ3-14-51/53ขก,ห้างหุ้นส่วนจำกัด ซันนี่ขอนแก่น,"11,000,000.00"
77,77,ทำน้ำแข็งก้อนเล็ก,จ3-14-52/55ขก,ห้างหุ้นส่วนจำกัด ซันนี่ขอนแก่น,"11,000,000.00"
78,78,ทำน้ำแข็งก้อนเล็ก,จ3-14-53/51ขก,ห้างหุ้นส่วนจำกัด ธาราทิพย์ เมืองพล,"4,000,000.00"
79,79,ผลิตน้ำแข็งก้อนเล็ก,จ3-14-58/53ขก,บริษัท โรงน้ำแข็ง อ.ลักขณาชุมแพ จำกัด,"4,000,000.00"
80,80,ผลิตและจำหน่ายน้ำแข็งหลอด,จ3-14-6/46ขก,นายอนุชา นิมพิศุทธิ์,"6,000,000.00"
81,81,ทำน้ำแข็งก้อนเล็ก,จ3-14-63/53ขก,ห้างหุ้นส่วนจำกัด น้ำแข็งซันนี่ 2010,"11,300,000.00"
82,82,ทำน้ำแข็งก้อนเล็ก,จ3-14-65/56ขก,นายเรืองศักดิ์ รุ่งไมตรี,"16,000,000.00"
83,83,ทำน้ำแข็งก้อนเล็ก,จ3-14-68/64ขก,นายเรืองศักดิ์ รุ่งไมตรี,"14,000,000.00"
84,84,ทำน้ำแข็ง และน้ำดื่ม,จ3-14-7/63ขก,นางสุภาพร แก้วสิงห์,"1,410,000.00"
85,85,ทำน้ำแข็งก้อนเล็ก,จ3-14-82/47ขก,ห้างหุ้นส่วนจำกัด พิศมัย น้ำแข็ง-น้ำดื่ม,"5,000,000.00"
86,86,ผลิตอาหารสัตว์,จ3-15(1)-17/60ขก,บริษัท พาราไดซ์ กรีนเอนเนอยี่ จำกัด,"47,500,000.00"
87,87,ทำอาหารผสมสำหรับเลี้ยงสัตว์และป่น บดผลิตผลทางการเกษตร,จ3-15(1)-2/65ขก,บริษัท ขอนแก่น ครอพ จำกัด,"9,600,000.00"
88,88,ตากกากข้าวมอลท์เพื่อทำเป็นอาหารสัตว์,จ3-15(2)-4/49ขก,ห้างหุ้นส่วนจำกัด ญาณมารี,"3,500,000.00"
89,89,บดและผสมอาหารสัตว์,จ3-15(2)-5/39ขก,นายสุจินต์ เรืองชยจตุพร,"7,700,000.00"
90,90,ฆ่าสัตว์,จ3-4(1)-11/50ขก,บริษัท ไทย ฟู้ดส์ สไวน อินเตอร์เนชั่นแนล จำกัด,"127,000,000.00"
91,91,ฆ่าสัตว์ การล้าง ชำแหละ แกะ ต้มไก่,จ3-4(1)-4/57ขก,นางสาวทองขันธ์ อินอุ่นโชติ,"7,000,000.00"
92,92,ฆ่าสัตว์,จ3-4(1)-8/47ขก,นายธีระยุทธ์ พันธุ์ต่วน,"4,500,000.00"
93,93,ทำกุนเชียงหมูหยอง,จ3-4(2)-1/37ขก,บริษัท บ้านไผ่ลิ้มซินเฮียง จำกัด,"6,300,000.00"
94,94,ล้าง ชำแหละ หรือบดสัตว์ แปรรูปอาหารจากเนื้อสัตว์ เช่น ไส้กรอก แหนม หมูยอ เป็นต้น,จ3-4(2)-1/66ขก,บริษัท ไทย เกรทเนส กรุ๊ป จำกัด,"31,000,000.00"
95,95,ผลิต ตัดแต่ง แปรรูปเนื้อสัตว์,จ3-4(2)-3/68ขก,บริษัท อีอ้วน ฟู้ด จำกัด,"31,500,000.00"
96,96,ผลิตกุนเชียง หมูหยอง หมูยอ แหนม ไส้กรอก,จ3-4(3)-1/45ขก,นางสาวอาภรณ์ ลิ้มธีระกุล,"4,550,000.00"
97,97,ผลิตอาหารสำเร็จรูปที่ทำจากเนื้อสัตว์ แป้ง ผัก และวัตถุเจือปนในอาหาร หรือผลิตภัณฑ์ที่คล้ายคลึงกัน,จ3-4(3)-1/65ขก,บริษัท เตี๋ยวตุ๋นหม้อไฟอินดี้ จำกัด,"8,000,000.00"
98,98,ทำครั่งเม็ด,จ3-4(6)-1/35ขก,ห้างหุ้นส่วนจำกัด น้ำพองซีดแล็ค,"7,300,000.00"
99,99,ตัดแต่งและแปรรูปผลิตภัณฑ์จากเนื้อสัตว์,จ3-4(6)-4/61ขก,บริษัท ซีพีเอฟ (ประเทศไทย) จำกัด (มหาชน),"276,200,000.00"
100,100,ผลิตเต้าหู้ไข่,จ3-4(7)-1/66ขก,บริษัท เบทาโกรเกษตรอุตสาหกรรม จำกัด,"55,653,316.52"
101,101,แปรรูปน้ำนมดิบเป็นผลิตภัณฑ์นมพลาสเจอร์ไรส์ เพื่อจำหน่าย,จ3-5(1)-1/52ขก,สหกรณ์โคนมขอนแก่น จำกัด,"84,567,295.00"
102,102,ผลิตและจำหน่ายนมสด นมเปรี้ยว  โยเกิร์ต ผลิตภัณฑ์แปรรูปจากนมทุกประเภท,จ3-5(1)-25/63ขก,บริษัท กาฬสินธุ์แดรี่ฟูด จำกัด,"19,000,000.00"
103,103,ผลิตนมพาสเจอร์ไรส์,จ3-5(1)-4/53ขก,วิทยาลัยเกษตรและเทคโนโลยีขอนแก่น,"61,940,000.00"
104,104,ถนอมและแปรรูปน้ำนมดิบ,จ3-5(1)-5/63ขก,บริษัท เทียนขำ แดรี่ คอร์ปอร์เรชั่น จำกัด,"15,500,000.00"
105,105,การทำอาหารจากสัตว์น้ำและบรรจุในภาชนะที่ผนึกและอากาศเข้าไม่ได้  เช่น ปลาร้าบรรจุขวด,จ3-6(1)-3/66ขก,บริษัท ปลาร้าเชฟไพรฑูรย์ ฟู้ดโปรดักส์ จำกัด,"31,785,000.00"
106,106,สกัดน้ำมันและผลิตชิ้นไม้จากไม้กฤษณา,จ3-7(1)-1/60ขก,ห้างหุ้นส่วนจำกัด เค.เค อะกร้า วู๊ด,"10,200,000.00"
107,107,ทำน้ำแข็งก้อนเล็ก ได้วันละ 36.5 ตัน,ศ3-14-1/37ขก,นายเรืองศักดิ์ รุ่งเรืองไมตรี,"400,000.00"
108,108,ทำหน่อไม้ปี๊ป,ศ3-8(1)-1/34ขก,นางสมบูรณ์ อ้วนภักดี,"5,280,000.00"
109,109,"ทำขนมปัง,ขนมเค็กและอื่นๆ",อ2-10(1)-178/64ขก,โรงแรม โซฟิเทล ราชาออคิด,"4,000,000.00"
110,110,ผลิตขนมปังปอนด์,อ2-10(1)-179/64ขก,นายฉลอง ไวยบุรี,"4,900,000.00"
111,111,ทำน้ำแข็งก้อนเล็ก,อ2-14-10/64ขก,นายปริญญา แซ่ผุง,"1,850,000.00"
112,112,ทำน้ำแข็งก้อนเล็ก,อ2-14-24/64ขก,บริษัท โรงแรมราชาออคิด จำกัด,"3,000,000.00"
113,113,ผลิตน้ำแข็งก้อนเล็ก กำลังผลิต 8 ตัน/วัน,อ2-14-26/64ขก,นายสมจิตร พลทะอินทร์,"1,170,000.00"
114,114,ผสมและบดอาหารสตว์,อ2-15(1)-19/64ขก,วิสาหกิจชุมชนเกษตรกรผู้เลี้ยงโคนมทรัพย์เจริญ,"850,000.00"
115,115,ทำลูกชิ้น,อ2-4(3)-27/64ขก,บริษัท ลูกชิ้นตราเพชร จำกัด,"2,850,000.00"
116,116,ผลิตกะทิสดสำเร็จ,อ2-8(1)-23/64ขก,ห้างหุ้นส่วนจำกัด ดอกคูณกะทิสด,"1,500,000.00"
117,,,,,"10,625,777,803.21"
