VALUE,ST_GRADUATE,SOURCE,_id,SEX,UNIT,YEAR,LABOUR_STATUS
1693332,รวม,สำนักงานสถิติแห่งชาติ,49,ชาย,คน,2559,ทำงานด้านวิทยาศาสตร์และเทคโนโลยี
2406943,รวม,สำนักงานสถิติแห่งชาติ,50,รวม,คน,2559,ทำงานด้านวิทยาศาสตร์และเทคโนโลยี
713611,รวม,สำนักงานสถิติแห่งชาติ,51,หญิง,คน,2559,ทำงานด้านวิทยาศาสตร์และเทคโนโลยี
284832,ไม่สำเร็จการศึกษาด้านวิทยาศาสตร์และเทคโนโลยี,สำนักงานสถิติแห่งชาติ,52,ชาย,คน,2559,ทำงานด้านวิทยาศาสตร์และเทคโนโลยี
611569,ไม่สำเร็จการศึกษาด้านวิทยาศาสตร์และเทคโนโลยี,สำนักงานสถิติแห่งชาติ,53,รวม,คน,2559,ทำงานด้านวิทยาศาสตร์และเทคโนโลยี
326737,ไม่สำเร็จการศึกษาด้านวิทยาศาสตร์และเทคโนโลยี,สำนักงานสถิติแห่งชาติ,54,หญิง,คน,2559,ทำงานด้านวิทยาศาสตร์และเทคโนโลยี
2847654,รวม,สำนักงานสถิติแห่งชาติ,55,ชาย,คน,2560,รวม
4092734,รวม,สำนักงานสถิติแห่งชาติ,56,รวม,คน,2560,รวม
1245080,รวม,สำนักงานสถิติแห่งชาติ,57,หญิง,คน,2560,รวม
60191,สำเร็จการศึกษาด้านวิทยาศาสตร์และเทคโนโลยี,สำนักงานสถิติแห่งชาติ,58,ชาย,คน,2560,ผู้ว่างงาน
80706,สำเร็จการศึกษาด้านวิทยาศาสตร์และเทคโนโลยี,สำนักงานสถิติแห่งชาติ,59,รวม,คน,2560,ผู้ว่างงาน
20515,สำเร็จการศึกษาด้านวิทยาศาสตร์และเทคโนโลยี,สำนักงานสถิติแห่งชาติ,60,หญิง,คน,2560,ผู้ว่างงาน
1103392,สำเร็จการศึกษาด้านวิทยาศาสตร์และเทคโนโลยี,สำนักงานสถิติแห่งชาติ,61,ชาย,คน,2560,ทำงานด้านอื่น
1594447,สำเร็จการศึกษาด้านวิทยาศาสตร์และเทคโนโลยี,สำนักงานสถิติแห่งชาติ,62,รวม,คน,2560,ทำงานด้านอื่น
491055,สำเร็จการศึกษาด้านวิทยาศาสตร์และเทคโนโลยี,สำนักงานสถิติแห่งชาติ,63,หญิง,คน,2560,ทำงานด้านอื่น
1391595,สำเร็จการศึกษาด้านวิทยาศาสตร์และเทคโนโลยี,สำนักงานสถิติแห่งชาติ,64,ชาย,คน,2560,ทำงานด้านวิทยาศาสตร์และเทคโนโลยี
1788292,สำเร็จการศึกษาด้านวิทยาศาสตร์และเทคโนโลยี,สำนักงานสถิติแห่งชาติ,65,รวม,คน,2560,ทำงานด้านวิทยาศาสตร์และเทคโนโลยี
396697,สำเร็จการศึกษาด้านวิทยาศาสตร์และเทคโนโลยี,สำนักงานสถิติแห่งชาติ,66,หญิง,คน,2560,ทำงานด้านวิทยาศาสตร์และเทคโนโลยี
1684071,รวม,สำนักงานสถิติแห่งชาติ,67,ชาย,คน,2560,ทำงานด้านวิทยาศาสตร์และเทคโนโลยี
2417581,รวม,สำนักงานสถิติแห่งชาติ,68,รวม,คน,2560,ทำงานด้านวิทยาศาสตร์และเทคโนโลยี
733510,รวม,สำนักงานสถิติแห่งชาติ,69,หญิง,คน,2560,ทำงานด้านวิทยาศาสตร์และเทคโนโลยี
292476,ไม่สำเร็จการศึกษาด้านวิทยาศาสตร์และเทคโนโลยี,สำนักงานสถิติแห่งชาติ,70,ชาย,คน,2560,ทำงานด้านวิทยาศาสตร์และเทคโนโลยี
629289,ไม่สำเร็จการศึกษาด้านวิทยาศาสตร์และเทคโนโลยี,สำนักงานสถิติแห่งชาติ,71,รวม,คน,2560,ทำงานด้านวิทยาศาสตร์และเทคโนโลยี
336813,ไม่สำเร็จการศึกษาด้านวิทยาศาสตร์และเทคโนโลยี,สำนักงานสถิติแห่งชาติ,72,หญิง,คน,2560,ทำงานด้านวิทยาศาสตร์และเทคโนโลยี
2843054,รวม,สำนักงานสถิติแห่งชาติ,73,ชาย,คน,2561,รวม
4091397,รวม,สำนักงานสถิติแห่งชาติ,74,รวม,คน,2561,รวม
1248343,รวม,สำนักงานสถิติแห่งชาติ,75,หญิง,คน,2561,รวม
49760,สำเร็จการศึกษาด้านวิทยาศาสตร์และเทคโนโลยี,สำนักงานสถิติแห่งชาติ,76,ชาย,คน,2561,ผู้ว่างงาน
71345,สำเร็จการศึกษาด้านวิทยาศาสตร์และเทคโนโลยี,สำนักงานสถิติแห่งชาติ,77,รวม,คน,2561,ผู้ว่างงาน
21585,สำเร็จการศึกษาด้านวิทยาศาสตร์และเทคโนโลยี,สำนักงานสถิติแห่งชาติ,78,หญิง,คน,2561,ผู้ว่างงาน
1078194,สำเร็จการศึกษาด้านวิทยาศาสตร์และเทคโนโลยี,สำนักงานสถิติแห่งชาติ,79,ชาย,คน,2561,ทำงานด้านอื่น
1559418,สำเร็จการศึกษาด้านวิทยาศาสตร์และเทคโนโลยี,สำนักงานสถิติแห่งชาติ,80,รวม,คน,2561,ทำงานด้านอื่น
481224,สำเร็จการศึกษาด้านวิทยาศาสตร์และเทคโนโลยี,สำนักงานสถิติแห่งชาติ,81,หญิง,คน,2561,ทำงานด้านอื่น
1418847,สำเร็จการศึกษาด้านวิทยาศาสตร์และเทคโนโลยี,สำนักงานสถิติแห่งชาติ,82,ชาย,คน,2561,ทำงานด้านวิทยาศาสตร์และเทคโนโลยี
1822252,สำเร็จการศึกษาด้านวิทยาศาสตร์และเทคโนโลยี,สำนักงานสถิติแห่งชาติ,83,รวม,คน,2561,ทำงานด้านวิทยาศาสตร์และเทคโนโลยี
403405,สำเร็จการศึกษาด้านวิทยาศาสตร์และเทคโนโลยี,สำนักงานสถิติแห่งชาติ,84,หญิง,คน,2561,ทำงานด้านวิทยาศาสตร์และเทคโนโลยี
1715100,รวม,สำนักงานสถิติแห่งชาติ,85,ชาย,คน,2561,ทำงานด้านวิทยาศาสตร์และเทคโนโลยี
2460634,รวม,สำนักงานสถิติแห่งชาติ,86,รวม,คน,2561,ทำงานด้านวิทยาศาสตร์และเทคโนโลยี
745534,รวม,สำนักงานสถิติแห่งชาติ,87,หญิง,คน,2561,ทำงานด้านวิทยาศาสตร์และเทคโนโลยี
296253,ไม่สำเร็จการศึกษาด้านวิทยาศาสตร์และเทคโนโลยี,สำนักงานสถิติแห่งชาติ,88,ชาย,คน,2561,ทำงานด้านวิทยาศาสตร์และเทคโนโลยี
638382,ไม่สำเร็จการศึกษาด้านวิทยาศาสตร์และเทคโนโลยี,สำนักงานสถิติแห่งชาติ,89,รวม,คน,2561,ทำงานด้านวิทยาศาสตร์และเทคโนโลยี
342129,ไม่สำเร็จการศึกษาด้านวิทยาศาสตร์และเทคโนโลยี,สำนักงานสถิติแห่งชาติ,90,หญิง,คน,2561,ทำงานด้านวิทยาศาสตร์และเทคโนโลยี
2874101,รวม,สำนักงานสถิติแห่งชาติ,91,ชาย,คน,2562,รวม
4115457,รวม,สำนักงานสถิติแห่งชาติ,92,รวม,คน,2562,รวม
1241356,รวม,สำนักงานสถิติแห่งชาติ,93,หญิง,คน,2562,รวม
46232,สำเร็จการศึกษาด้านวิทยาศาสตร์และเทคโนโลยี,สำนักงานสถิติแห่งชาติ,94,ชาย,คน,2562,ผู้ว่างงาน
64729,สำเร็จการศึกษาด้านวิทยาศาสตร์และเทคโนโลยี,สำนักงานสถิติแห่งชาติ,95,รวม,คน,2562,ผู้ว่างงาน
18497,สำเร็จการศึกษาด้านวิทยาศาสตร์และเทคโนโลยี,สำนักงานสถิติแห่งชาติ,96,หญิง,คน,2562,ผู้ว่างงาน
1099094,สำเร็จการศึกษาด้านวิทยาศาสตร์และเทคโนโลยี,สำนักงานสถิติแห่งชาติ,97,ชาย,คน,2562,ทำงานด้านอื่น
1590181,สำเร็จการศึกษาด้านวิทยาศาสตร์และเทคโนโลยี,สำนักงานสถิติแห่งชาติ,98,รวม,คน,2562,ทำงานด้านอื่น
491087,สำเร็จการศึกษาด้านวิทยาศาสตร์และเทคโนโลยี,สำนักงานสถิติแห่งชาติ,99,หญิง,คน,2562,ทำงานด้านอื่น
1448855,สำเร็จการศึกษาด้านวิทยาศาสตร์และเทคโนโลยี,สำนักงานสถิติแห่งชาติ,100,ชาย,คน,2562,ทำงานด้านวิทยาศาสตร์และเทคโนโลยี
1850870,สำเร็จการศึกษาด้านวิทยาศาสตร์และเทคโนโลยี,สำนักงานสถิติแห่งชาติ,101,รวม,คน,2562,ทำงานด้านวิทยาศาสตร์และเทคโนโลยี
402015,สำเร็จการศึกษาด้านวิทยาศาสตร์และเทคโนโลยี,สำนักงานสถิติแห่งชาติ,102,หญิง,คน,2562,ทำงานด้านวิทยาศาสตร์และเทคโนโลยี
1728775,รวม,สำนักงานสถิติแห่งชาติ,103,ชาย,คน,2562,ทำงานด้านวิทยาศาสตร์และเทคโนโลยี
2460547,รวม,สำนักงานสถิติแห่งชาติ,104,รวม,คน,2562,ทำงานด้านวิทยาศาสตร์และเทคโนโลยี
731772,รวม,สำนักงานสถิติแห่งชาติ,105,หญิง,คน,2562,ทำงานด้านวิทยาศาสตร์และเทคโนโลยี
279920,ไม่สำเร็จการศึกษาด้านวิทยาศาสตร์และเทคโนโลยี,สำนักงานสถิติแห่งชาติ,106,ชาย,คน,2562,ทำงานด้านวิทยาศาสตร์และเทคโนโลยี
609677,ไม่สำเร็จการศึกษาด้านวิทยาศาสตร์และเทคโนโลยี,สำนักงานสถิติแห่งชาติ,107,รวม,คน,2562,ทำงานด้านวิทยาศาสตร์และเทคโนโลยี
329757,ไม่สำเร็จการศึกษาด้านวิทยาศาสตร์และเทคโนโลยี,สำนักงานสถิติแห่งชาติ,108,หญิง,คน,2562,ทำงานด้านวิทยาศาสตร์และเทคโนโลยี
3110911,รวม,สำนักงานสถิติแห่งชาติ,109,ชาย,คน,2563,รวม
4487099,รวม,สำนักงานสถิติแห่งชาติ,110,รวม,คน,2563,รวม
1376188,รวม,สำนักงานสถิติแห่งชาติ,111,หญิง,คน,2563,รวม
70681,สำเร็จการศึกษาด้านวิทยาศาสตร์และเทคโนโลยี,สำนักงานสถิติแห่งชาติ,112,ชาย,คน,2563,ผู้ว่างงาน
108537,สำเร็จการศึกษาด้านวิทยาศาสตร์และเทคโนโลยี,สำนักงานสถิติแห่งชาติ,113,รวม,คน,2563,ผู้ว่างงาน
37856,สำเร็จการศึกษาด้านวิทยาศาสตร์และเทคโนโลยี,สำนักงานสถิติแห่งชาติ,114,หญิง,คน,2563,ผู้ว่างงาน
1182811,สำเร็จการศึกษาด้านวิทยาศาสตร์และเทคโนโลยี,สำนักงานสถิติแห่งชาติ,115,ชาย,คน,2563,ทำงานด้านอื่น
1725740,สำเร็จการศึกษาด้านวิทยาศาสตร์และเทคโนโลยี,สำนักงานสถิติแห่งชาติ,116,รวม,คน,2563,ทำงานด้านอื่น
542929,สำเร็จการศึกษาด้านวิทยาศาสตร์และเทคโนโลยี,สำนักงานสถิติแห่งชาติ,117,หญิง,คน,2563,ทำงานด้านอื่น
1574246,สำเร็จการศึกษาด้านวิทยาศาสตร์และเทคโนโลยี,สำนักงานสถิติแห่งชาติ,118,ชาย,คน,2563,ทำงานด้านวิทยาศาสตร์และเทคโนโลยี
2011316,สำเร็จการศึกษาด้านวิทยาศาสตร์และเทคโนโลยี,สำนักงานสถิติแห่งชาติ,119,รวม,คน,2563,ทำงานด้านวิทยาศาสตร์และเทคโนโลยี
437070,สำเร็จการศึกษาด้านวิทยาศาสตร์และเทคโนโลยี,สำนักงานสถิติแห่งชาติ,120,หญิง,คน,2563,ทำงานด้านวิทยาศาสตร์และเทคโนโลยี
1857419,รวม,สำนักงานสถิติแห่งชาติ,121,ชาย,คน,2563,ทำงานด้านวิทยาศาสตร์และเทคโนโลยี
2652822,รวม,สำนักงานสถิติแห่งชาติ,122,รวม,คน,2563,ทำงานด้านวิทยาศาสตร์และเทคโนโลยี
795403,รวม,สำนักงานสถิติแห่งชาติ,123,หญิง,คน,2563,ทำงานด้านวิทยาศาสตร์และเทคโนโลยี
283173,ไม่สำเร็จการศึกษาด้านวิทยาศาสตร์และเทคโนโลยี,สำนักงานสถิติแห่งชาติ,124,ชาย,คน,2563,ทำงานด้านวิทยาศาสตร์และเทคโนโลยี
641506,ไม่สำเร็จการศึกษาด้านวิทยาศาสตร์และเทคโนโลยี,สำนักงานสถิติแห่งชาติ,125,รวม,คน,2563,ทำงานด้านวิทยาศาสตร์และเทคโนโลยี
358333,ไม่สำเร็จการศึกษาด้านวิทยาศาสตร์และเทคโนโลยี,สำนักงานสถิติแห่งชาติ,126,หญิง,คน,2563,ทำงานด้านวิทยาศาสตร์และเทคโนโลยี
3197113,รวม,สำนักงานสถิติแห่งชาติ,127,ชาย,คน,2564,รวม
4639782,รวม,สำนักงานสถิติแห่งชาติ,128,รวม,คน,2564,รวม
1442669,รวม,สำนักงานสถิติแห่งชาติ,129,หญิง,คน,2564,รวม
77160,สำเร็จการศึกษาด้านวิทยาศาสตร์และเทคโนโลยี,สำนักงานสถิติแห่งชาติ,130,ชาย,คน,2564,ผู้ว่างงาน
115902,สำเร็จการศึกษาด้านวิทยาศาสตร์และเทคโนโลยี,สำนักงานสถิติแห่งชาติ,131,รวม,คน,2564,ผู้ว่างงาน
38742,สำเร็จการศึกษาด้านวิทยาศาสตร์และเทคโนโลยี,สำนักงานสถิติแห่งชาติ,132,หญิง,คน,2564,ผู้ว่างงาน
1188921,สำเร็จการศึกษาด้านวิทยาศาสตร์และเทคโนโลยี,สำนักงานสถิติแห่งชาติ,133,ชาย,คน,2564,ทำงานด้านอื่น
1749835,สำเร็จการศึกษาด้านวิทยาศาสตร์และเทคโนโลยี,สำนักงานสถิติแห่งชาติ,134,รวม,คน,2564,ทำงานด้านอื่น
560914,สำเร็จการศึกษาด้านวิทยาศาสตร์และเทคโนโลยี,สำนักงานสถิติแห่งชาติ,135,หญิง,คน,2564,ทำงานด้านอื่น
1931032,รวม,สำนักงานสถิติแห่งชาติ,136,ชาย,คน,2564,ทำงานด้านวิทยาศาสตร์และเทคโนโลยี
843013,รวม,สำนักงานสถิติแห่งชาติ,137,รวม,คน,2564,ทำงานด้านวิทยาศาสตร์และเทคโนโลยี
2774045,รวม,สำนักงานสถิติแห่งชาติ,138,หญิง,คน,2564,ทำงานด้านวิทยาศาสตร์และเทคโนโลยี
1617690,สำเร็จการศึกษาด้านวิทยาศาสตร์และเทคโนโลยี,สำนักงานสถิติแห่งชาติ,139,ชาย,คน,2564,ทำงานด้านวิทยาศาสตร์และเทคโนโลยี
2067658,สำเร็จการศึกษาด้านวิทยาศาสตร์และเทคโนโลยี,สำนักงานสถิติแห่งชาติ,140,รวม,คน,2564,ทำงานด้านวิทยาศาสตร์และเทคโนโลยี
449968,สำเร็จการศึกษาด้านวิทยาศาสตร์และเทคโนโลยี,สำนักงานสถิติแห่งชาติ,141,หญิง,คน,2564,ทำงานด้านวิทยาศาสตร์และเทคโนโลยี
313342,ไม่สำเร็จการศึกษาด้านวิทยาศาสตร์และเทคโนโลยี,สำนักงานสถิติแห่งชาติ,142,ชาย,คน,2564,ทำงานด้านวิทยาศาสตร์และเทคโนโลยี
706387,ไม่สำเร็จการศึกษาด้านวิทยาศาสตร์และเทคโนโลยี,สำนักงานสถิติแห่งชาติ,143,รวม,คน,2564,ทำงานด้านวิทยาศาสตร์และเทคโนโลยี
393045,ไม่สำเร็จการศึกษาด้านวิทยาศาสตร์และเทคโนโลยี,สำนักงานสถิติแห่งชาติ,144,หญิง,คน,2564,ทำงานด้านวิทยาศาสตร์และเทคโนโลยี
3438068,รวม,สำนักงานสถิติแห่งชาติ,145,ชาย,คน,2565,รวม
1617454,รวม,สำนักงานสถิติแห่งชาติ,146,หญิง,คน,2565,รวม
5055522,รวม,สำนักงานสถิติแห่งชาติ,147,รวม,คน,2565,รวม
2110674,รวม,สำนักงานสถิติแห่งชาติ,148,ชาย,คน,2565,ทำงานด้านวิทยาศาสตร์และเทคโนโลยี
971646,รวม,สำนักงานสถิติแห่งชาติ,149,หญิง,คน,2565,ทำงานด้านวิทยาศาสตร์และเทคโนโลยี
3082320,รวม,สำนักงานสถิติแห่งชาติ,150,รวม,คน,2565,ทำงานด้านวิทยาศาสตร์และเทคโนโลยี
1781488,สำเร็จการศึกษาด้านวิทยาศาสตร์และเทคโนโลยี,สำนักงานสถิติแห่งชาติ,151,ชาย,คน,2565,ทำงานด้านวิทยาศาสตร์และเทคโนโลยี
529562,สำเร็จการศึกษาด้านวิทยาศาสตร์และเทคโนโลยี,สำนักงานสถิติแห่งชาติ,152,หญิง,คน,2565,ทำงานด้านวิทยาศาสตร์และเทคโนโลยี
2311050,สำเร็จการศึกษาด้านวิทยาศาสตร์และเทคโนโลยี,สำนักงานสถิติแห่งชาติ,153,รวม,คน,2565,ทำงานด้านวิทยาศาสตร์และเทคโนโลยี
329186,ไม่สำเร็จการศึกษาด้านวิทยาศาสตร์และเทคโนโลยี,สำนักงานสถิติแห่งชาติ,154,ชาย,คน,2565,ทำงานด้านวิทยาศาสตร์และเทคโนโลยี
442084,ไม่สำเร็จการศึกษาด้านวิทยาศาสตร์และเทคโนโลยี,สำนักงานสถิติแห่งชาติ,155,หญิง,คน,2565,ทำงานด้านวิทยาศาสตร์และเทคโนโลยี
771270,ไม่สำเร็จการศึกษาด้านวิทยาศาสตร์และเทคโนโลยี,สำนักงานสถิติแห่งชาติ,156,รวม,คน,2565,ทำงานด้านวิทยาศาสตร์และเทคโนโลยี
1266337,สำเร็จการศึกษาด้านวิทยาศาสตร์และเทคโนโลยี,สำนักงานสถิติแห่งชาติ,157,ชาย,คน,2565,ทำงานด้านอื่น
613428,สำเร็จการศึกษาด้านวิทยาศาสตร์และเทคโนโลยี,สำนักงานสถิติแห่งชาติ,158,หญิง,คน,2565,ทำงานด้านอื่น
1879765,สำเร็จการศึกษาด้านวิทยาศาสตร์และเทคโนโลยี,สำนักงานสถิติแห่งชาติ,159,รวม,คน,2565,ทำงานด้านอื่น
61057,สำเร็จการศึกษาด้านวิทยาศาสตร์และเทคโนโลยี,สำนักงานสถิติแห่งชาติ,160,ชาย,คน,2565,ผู้ว่างงาน
32380,สำเร็จการศึกษาด้านวิทยาศาสตร์และเทคโนโลยี,สำนักงานสถิติแห่งชาติ,161,หญิง,คน,2565,ผู้ว่างงาน
93437,สำเร็จการศึกษาด้านวิทยาศาสตร์และเทคโนโลยี,สำนักงานสถิติแห่งชาติ,162,รวม,คน,2565,ผู้ว่างงาน
3494917,รวม,สำนักงานสถิติแห่งชาติ,163,ชาย,คน,2566,รวม
1657511,รวม,สำนักงานสถิติแห่งชาติ,164,หญิง,คน,2566,รวม
5152428,รวม,สำนักงานสถิติแห่งชาติ,165,รวม,คน,2566,รวม
2143876,รวม,สำนักงานสถิติแห่งชาติ,166,ชาย,คน,2566,ทำงานด้านวิทยาศาสตร์และเทคโนโลยี
982925,รวม,สำนักงานสถิติแห่งชาติ,167,หญิง,คน,2566,ทำงานด้านวิทยาศาสตร์และเทคโนโลยี
3126801,รวม,สำนักงานสถิติแห่งชาติ,168,รวม,คน,2566,ทำงานด้านวิทยาศาสตร์และเทคโนโลยี
1802354,สำเร็จการศึกษาด้านวิทยาศาสตร์และเทคโนโลยี,สำนักงานสถิติแห่งชาติ,169,ชาย,คน,2566,ทำงานด้านวิทยาศาสตร์และเทคโนโลยี
508519,สำเร็จการศึกษาด้านวิทยาศาสตร์และเทคโนโลยี,สำนักงานสถิติแห่งชาติ,170,หญิง,คน,2566,ทำงานด้านวิทยาศาสตร์และเทคโนโลยี
2310873,สำเร็จการศึกษาด้านวิทยาศาสตร์และเทคโนโลยี,สำนักงานสถิติแห่งชาติ,171,รวม,คน,2566,ทำงานด้านวิทยาศาสตร์และเทคโนโลยี
