จำนวน,_id,ปี,ไตรมาส,อาชีพ
84607,90,2566,12566,ผู้ประกอบอาชีพงานพื้นฐาน
942066,91,2566,22566,รวม
18468,92,2566,22566,ผู้จัดการ ข้าราชการระดับอาวุโส และผู้บัญญัติกฎหมาย
40448,93,2566,22566,ผู้ประกอบวิชาชีพด้านต่าง ๆ
27229,94,2566,22566,เจ้าหน้าที่เทคนิคและผู้ประกอบวิขาชีพที่เกี่ยวข้องกับด้านต่างๆ
22502,95,2566,22566,เสมียน
252996,96,2566,22566,พนักงานบริการและผู้จำหน่ายสินค้า
372549,97,2566,22566,ผู้ปฏิบัติงานที่มีฝีมือในด้านการเกษตร ป่าไม้  และประมง
89437,98,2566,22566,ช่างฝีมือ และผู้ปฏิบัติงานที่เกี่ยวข้อง
46567,99,2566,22566,ผู้ควบคุมเครื่องจักรโรงงานและเครื่องจักร และผู้ปฏิบัติงานด้านการประกอบ
71869,100,2566,22566,ผู้ประกอบอาชีพงานพื้นฐาน
961207,101,2566,32566,รวม
16728,102,2566,32566,ผู้จัดการ ข้าราชการระดับอาวุโส และผู้บัญญัติกฎหมาย
30892,103,2566,32566,ผู้ประกอบวิชาชีพด้านต่าง ๆ
22238,104,2566,32566,เจ้าหน้าที่เทคนิคและผู้ประกอบวิขาชีพที่เกี่ยวข้องกับด้านต่างๆ
17853,105,2566,32566,เสมียน
279809,106,2566,32566,พนักงานบริการและผู้จำหน่ายสินค้า
410140,107,2566,32566,ผู้ปฏิบัติงานที่มีฝีมือในด้านการเกษตร ป่าไม้  และประมง
82284,108,2566,32566,ช่างฝีมือ และผู้ปฏิบัติงานที่เกี่ยวข้อง
37484,109,2566,32566,ผู้ควบคุมเครื่องจักรโรงงานและเครื่องจักร และผู้ปฏิบัติงานด้านการประกอบ
63780,110,2566,32566,ผู้ประกอบอาชีพงานพื้นฐาน
945593,111,2566,42566,รวม
12189,112,2566,42566,ผู้จัดการ ข้าราชการระดับอาวุโส และผู้บัญญัติกฎหมาย
31620,113,2566,42566,ผู้ประกอบวิชาชีพด้านต่าง ๆ
24812,114,2566,42566,เจ้าหน้าที่เทคนิคและผู้ประกอบวิขาชีพที่เกี่ยวข้องกับด้านต่างๆ
21336,115,2566,42566,เสมียน
273549,116,2566,42566,พนักงานบริการและผู้จำหน่ายสินค้า
390295,117,2566,42566,ผู้ปฏิบัติงานที่มีฝีมือในด้านการเกษตร ป่าไม้  และประมง
87006,118,2566,42566,ช่างฝีมือ และผู้ปฏิบัติงานที่เกี่ยวข้อง
29968,119,2566,42566,ผู้ควบคุมเครื่องจักรโรงงานและเครื่องจักร และผู้ปฏิบัติงานด้านการประกอบ
74820,120,2566,42566,ผู้ประกอบอาชีพงานพื้นฐาน
