ประเภท,ชื่อ มอก. ภาษาไทย,_id,ลำดับ,ชื่อโรงงาน,ที่อยู่โรงงาน,เลข มอก.,ทะเบียนโรงงาน,เลขที่ใบอนุญาต,วันที่ออกใบอนุญาต,เลขภาษี,จังหวัด,ผู้รับใบอนุญาต
แสดง,หน้ากากใช้ครั้งเดียวชนิด N95 ลดความเสี่ยงการติดเชื้อทางการแพทย์,11,11,บริษัท ทีพีซีเอส จำกัด (มหาชน),600/49 หมู่ที่11 ตรอก/ซอย- ถนนสุขาภิบาล 8 ตำบลหนองขาม อำเภอศรีราชา จังหวัดชลบุรี,2480-2562,20200300725563,5650-2/2480,2021-12-20T00:00:00,107537001447,ชลบุรี,บริษัท ทีพีซีเอส จำกัด (มหาชน)
แสดง,หน้ากากอนามัยใช้ครั้งเดียว,12,12,ห้างหุ้นส่วนจำกัด ธวัชแมชชีนเทค,228 หมู่10 ตำบลบ้านกลาง อำเภอเมืองลำพูน จังหวัดลำพูน,2424-2562,,5788-10/2424,2022-02-09T00:00:00,513548000482,ลำพูน,ห้างหุ้นส่วนจำกัด ธวัชแมชชีนเทค
แสดง,หน้ากากอนามัยใช้ครั้งเดียว,13,13,บริษัท เคเอส โกลเด้น จำกัด,89/9 หมู่ 1 ตำบลพระยาบันลือ อำเภอลาดบัวหลวง จังหวัดพระนครศรีอยุธยา,2424-2562,-,5811-13/2424,2022-02-17T00:00:00,135559012997,พระนครศรีอยุธยา,บริษัท เคเอส โกลเด้น จำกัด
แสดง,หน้ากากอนามัยใช้ครั้งเดียว,14,14,บริษัท ดี.เอ. แพ็คเกจจิ้ง จำกัด,2/1 หมู่2 ตำบลท่าตูม อำเภอศรีมหาโพธิ จังหวัดปราจีนบุรี,2424-2562,20250097625633,5807-12/2424,2022-02-17T00:00:00,255550000430,ปราจีนบุรี,บริษัท ดี.เอ. แพ็คเกจจิ้ง จำกัด
แสดง,หน้ากากอนามัยใช้ครั้งเดียว,15,15,บริษัท เลิฟ แมสค์ จำกัด,12/1 หมู่6 ตำบลพิมลราช อำเภอบางบัวทอง จังหวัดนนทบุรี,2424-2562,-,5806-11/2424,2022-02-17T00:00:00,125564021001,นนทบุรี,บริษัท เลิฟ แมสค์ จำกัด
แสดง,หน้ากากอนามัยใช้ครั้งเดียว,16,16,บริษัท เกตุคำ เทรดดิ้ง จำกัด,87/2 หมู่3 ซอย- ถนน- ตำบลสมอแข อำเภอเมืองพิษณุโลก จังหวัดพิษณุโลก,2424-2562,,5840-14/2424,2022-02-24T00:00:00,655562000746,พิษณุโลก,บริษัท เกตุคำ เทรดดิ้ง จำกัด
แสดง,หน้ากากอนามัยใช้ครั้งเดียว,17,17,บริษัท ทรู ไลน์ เมด จำกัด,80 หมู่4 ซอย- ถนน- ตำบลปากน้ำกระแส อำเภอแกลง จังหวัดระยอง,2424-2562,10210105925641,5893-15/2424,2022-03-14T00:00:00,105545064477,ระยอง,บริษัท ทรู ไลน์ เมด จำกัด
แสดง,หน้ากากอนามัยใช้ครั้งเดียว,18,18,บริษัท เมดิเมท เอเชีย จำกัด,37/2 หมู่4 ตำบลท้ายเกาะ อำเภอสามโคก จังหวัดปทุมธานี,2424-2562,,5898-16/2424,2022-03-18T00:00:00,125563009571,ปทุมธานี,บริษัท เมดิเมท เอเชีย จำกัด
แสดง,หน้ากากอนามัยใช้ครั้งเดียว,19,19,บริษัท เอ็มเมอรัลด์ นอนวูเว่น อินเตอร์เนชั่นแนล จำกัด,"88,88/1 หมู่2 ซอย- ถนน- ตำบลหนองชุมพลเหนือ อำเภอเขาย้อย จังหวัดเพชรบุรี",2424-2562,20760000425574,5903-17/2424,2022-03-21T00:00:00,735544000844,เพชรบุรี,บริษัท เอ็มเมอรัลด์ นอนวูเว่น อินเตอร์เนชั่นแนล จำกัด
แสดง,หน้ากากอนามัยใช้ครั้งเดียว,20,20,องค์การเภสัชกรรม,138 หมู่4 ถนนรังสิต-นครนายก ตำบลบึงสนั่น อำเภอธัญบุรี จังหวัดปทุมธานี,2424-2562,-,5930-18/2424,2022-03-25T00:00:00,994000165315,ปทุมธานี,องค์การเภสัชกรรม
แสดง,หน้ากากอนามัยใช้ครั้งเดียว,21,21,บริษัท จูปิเตอร์ เมดิคัล ซัพพลาย จำกัด,"18/35, 18/36 หมู่5 ตำบลหนองดินแดง อำเภอเมืองนครปฐม จังหวัดนครปฐม",2424-2562,-,5934-19/2424,2022-03-29T00:00:00,105557058787,นครปฐม,บริษัท จูปิเตอร์ เมดิคัล ซัพพลาย จำกัด
แสดง,หน้ากากอนามัยใช้ครั้งเดียว,22,22,บริษัท เอส พี เค ไทย ลาเท็กซ์ จำกัด,41/6 หมู่4 ตำบลท้ายเกาะ อำเภอสามโคก จังหวัดปทุมธานี,2424-2562,-,5953-20/2424,2022-04-04T00:00:00,135558011393,ปทุมธานี,บริษัท เอส พี เค ไทย ลาเท็กซ์ จำกัด
แสดง,หน้ากากอนามัยใช้ครั้งเดียว,23,23,บริษัท ชิน แด อุน ไทย จำกัด,43 หมู่4 ตำบลบางเสาธง อำเภอบางเสาธง จังหวัดสมุทรปราการ,2424-2562,20110154225638,5955-21/2424,2022-04-05T00:00:00,115552001183,สมุทรปราการ,บริษัท ชิน แด อุน ไทย จำกัด
แสดง,หน้ากากอนามัยใช้ครั้งเดียว,24,24,บริษัท เมด-คอน (ประเทศไทย) จำกัด,47 หมู่5 ถนนบางกรวย-ไทรน้อย ตำบลไทรน้อย อำเภอไทรน้อย จังหวัดนนทบุรี,2424-2562,20121700125453,5971-22/2424,2022-04-20T00:00:00,105536057463,นนทบุรี,บริษัท เมด-คอน (ประเทศไทย) จำกัด
แสดง,หน้ากากอนามัยใช้ครั้งเดียว,25,25,บริษัท เอสเซลอินเตอร์แนชั่นแนล จำกัด,729/160-165 ถนนรัชดาภิเษก แขวงบางโพงพาง เขตยานนาวา จังหวัดกรุงเทพมหานคร,2424-2562,,6003-23/2424,2022-04-29T00:00:00,105529039064,กรุงเทพมหานคร,บริษัท เอสเซลอินเตอร์แนชั่นแนล จำกัด
แสดง,หน้ากากอนามัยใช้ครั้งเดียว,26,26,บริษัท ที.พี.พี ซัพพลาย เอ็นจิเนียริ่ง จำกัด,73/343 และ 31 ซอยสามัคคี 32 ถนนสามัคคี ตำบลท่าทราย อำเภอเมืองนนทบุรี จังหวัดนนทบุรี,2424-2562,,6102-25/2424,2022-06-20T00:00:00,125556022835,นนทบุรี,บริษัท ที.พี.พี ซัพพลาย เอ็นจิเนียริ่ง จำกัด
แสดง,หน้ากากอนามัยใช้ครั้งเดียว,27,27,บริษัท ไทยฮอสพิทอลโปรดักส์ จำกัด,"45/2,45/3 หมู่2 ซอยวัดกู้ ถนนสุขาประชาสรรค์ 2 ตำบลบางพูด อำเภอปากเกร็ด จังหวัดนนทบุรี",2424-2562,20120300125368,6101-24/2424,2022-06-30T00:00:00,105537103116,นนทบุรี,บริษัท ไทยฮอสพิทอล โปรดักส์ จำกัด
แสดง,หน้ากากอนามัยใช้ครั้งเดียว,28,28,บริษัท คลีนสแตท (ประเทศไทย) จำกัด,207 หมู่1 ซอย- ถนน- ตำบลบ้านเลน อำเภอบางปะอิน จังหวัดพระนครศรีอยุธยา,2424-2562,82120000125507,6232-26/2424,2022-08-11T00:00:00,135546000049,พระนครศรีอยุธยา,บริษัท คลีนสแตท(ประเทศไทย) จำกัด
แสดง,หน้ากากอนามัยใช้ครั้งเดียว,29,29,บริษัท เอชไอพี ไบโอเทค จำกัด,999/53 หมู่15 ตำบลบางเสาธง อำเภอบางเสาธง จังหวัดสมุทรปราการ,2424-2562,91590439325648,6303-27/2424,2022-09-09T00:00:00,115564011073,สมุทรปราการ,บริษัท เอชไอพี ไบโอเทค จำกัด
แสดง,หน้ากากอนามัยใช้ครั้งเดียว,30,30,บริษัท ซาแวนท์เอ็นจิเนียริ่ง จำกัด,115/11 หมู่1 ตำบลบึงยี่โถ อำเภอธัญบุรี จังหวัดปทุมธานี,2424-2562,,6388-28/2424,2022-10-25T00:00:00,135545002781,ปทุมธานี,บริษัท ซาแวนท์เอ็นจิเนียริ่ง จำกัด
แสดง,หน้ากากอนามัยใช้ครั้งเดียว,31,31,บริษัท เค.เอส.โกลฟ จำกัด,182/1 หมู่1 ถนนลำพูน-เชียงใหม่ ตำบลเหมืองง่า อำเภอเมืองลำพูน จังหวัดลำพูน,2424-2562,60510014625656,6484-29/2424,2022-12-02T00:00:00,125534003765,ลำพูน,บริษัท เค.เอส.โกลฟ จำกัด
แสดง,หน้ากากอนามัยใช้ครั้งเดียว,32,32,ห้างหุ้นส่วนจำกัด ยูโฟเรีย อินเตอร์เทรด,300/202 หมู่10 ตำบลแม่เหียะ อำเภอเมืองเชียงใหม่ จังหวัดเชียงใหม่,2424-2562,,6534-31/2424,2022-12-28T00:00:00,503563002369,เชียงใหม่ ,ห้างหุ้นส่วนจำกัด ยูโฟเรีย อินเตอร์เทรด
แสดง,หน้ากากอนามัยใช้ครั้งเดียว,33,33,บริษัท ศุภโชค เมท เมดิคอล จำกัด,909 หมู่15 ตำบลศิลา อำเภอเมืองขอนแก่น จังหวัดขอนแก่น,2424-2562,,6599-32/2424,2023-01-26T00:00:00,405557002096,ขอนแก่น,บริษัท ศุภโชค เมท เมดิคอล จำกัด
แสดง,หน้ากากอนามัยใช้ครั้งเดียว,34,34,บริษัท เจ คอส แลบอราทอรีส์ จำกัด,140/1 หมู่4 ตำบลมาบยางพร อำเภอปลวกแดง จังหวัดระยอง,2424-2562,,6602-33/2424,2023-02-06T00:00:00,105556047358,ระยอง,บริษัท เจ คอส แลบอราทอรีส์ จำกัด
แสดง,หน้ากากอนามัยใช้ครั้งเดียว,35,35,บริษัท ซีพี โซเชียลอิมแพคท์ จำกัด,100 หมู่9 ตำบลบางจาก อำเภอพระประแดง จังหวัดสมุทรปราการ,2424-2565,20110064325635,6825-34/2424,2023-05-11T00:00:00,105560204560,สมุทรปราการ,บริษัท ซีพี โซเชียลอิมแพคท์ จำกัด
แสดง,หน้ากากอนามัยใช้ครั้งเดียว,36,36,บริษัท เอ็น.เอ็น.สกายเทรด จำกัด,55/45 หมู่4 ตำบลบึงคำพร้อย อำเภอลำลูกกา จังหวัดปทุมธานี,2424-2565,20130201325587,6827-35/2424,2023-05-11T00:00:00,105550062401,ปทุมธานี,บริษัท เอ็น.เอ็น.สกายเทรด จำกัด
แสดง,หน้ากากอนามัยใช้ครั้งเดียว,37,37,บริษัท ทีพีซีเอส จำกัด (มหาชน),624/5-8 หมู่11 ถนนสุขาภิบาล 8 ตำบลหนองขาม อำเภอศรีราชา จังหวัดชลบุรี,2424-2565,10200600125342,6829-37/2424,2023-05-11T00:00:00,107537001447,ชลบุรี,บริษัท ทีพีซีเอส จำกัด (มหาชน)
แสดง,หน้ากากอนามัยใช้ครั้งเดียว,38,38,บริษัท เคเอส โกลเด้น จำกัด,89/9 หมู่1 ตำบลพระยาบันลือ อำเภอลาดบัวหลวง จังหวัดพระนครศรีอยุธยา,2424-2565, ,6832-40/2424,2023-05-11T00:00:00,135559012997,พระนครศรีอยุธยา,บริษัท เคเอส โกลเด้น จำกัด
แสดง,หน้ากากอนามัยใช้ครั้งเดียว,39,39,บริษัท ที.พี.พี ซัพพลาย เอ็นจิเนียริ่ง จำกัด,73/343 และ 31 ซอยสามัคคี 32 ถนนสามัคคี ตำบลท่าทราย อำเภอเมืองนนทบุรี จังหวัดนนทบุรี,2424-2565, ,6830-38/2424,2023-05-15T00:00:00,125556022835,นนทบุรี,บริษัท ที.พี.พี ซัพพลาย เอ็นจิเนียริ่ง จำกัด
