ละติดจูด,วิธีการกำจัด,ชื่อสถานที่,ปริมาณขยะ,_id,ปี,ลองติจูด,ที่ตั้ง,อำเภอ,ขนาดพื้นที่ (ตารางวา)
13.185008,เทกอง,บ่อขยะอบต.บ่อทอง,15,11,2566,101.499763,ต.บ่อทอง อ.บ่อทอง จ.ชลบุรี 20270,บ่อทอง,800
13.343267,เทกอง,บ่อขยะอบต.บ่อกวางทอง,5,12,2566,101.325486,บ้านโปร่งไม้ไร่ ต.บ่อกวางทอง อ.บ่อทอง จ.ชลบุรี 20270,บ่อทอง,7600
13.136892,ฝังกลบ,บ่อขยะเทศบาลตำบลหนองใหญ่,25,13,2566,101.132251,ชุมชนอ่างแก้ว ต.หนองใหญ่ จ.ชลบุรี 20190,หนองใหญ่,4032
13.132664,เทกอง,บ่อขยะเทศบาลตำบลเกาะสีชัง,15,14,2566,100.811388,ต.ท่าเทววงษ์ อ.เกาะสีชัง จ.ชลบุรี 20120,เกาะสีชัง,10400
12.76938,เทกอง,บ่อขยะเทศบาลตำบลบางเสร่,30,15,2566,100.91413,ต.บางเสร่ อ.สัตหีบ จ.ชลบุรี 20180,สัตหีบ,10000
12.700403,เทกอง,บ่อขยะเทศบาลตำบลเขตรอุดมศักดิ์,40,16,2566,100.900789,เขาเพชร ต.สัตหีบ จ.ชลบุรี 20180,สัตหีบ,3728
12.629041,เทกอง,บ่อขยะอบต.แสมสาร,5,17,2566,100.959106,หนองกระจง ต.แสมสาร อ.สัตหีบ จ.ชลบุรี 20180,สัตหีบ,1800
13.340332,เทกอง,บ่อขยะเทศบาลตำบลหมอนนาง,15,18,2566,101.213076,ต.หมอนนาง อ.พนัสนิคม จ.ชลบุรี 20140,พนัสนิคม,5600
13.321048,เทกอง,บ่อขยะอบต.หนองรี,16,19,2566,101.04364,ต.หนองรี อ.เมืองชลบุรี จ.ชลบุรี 20000,เมืองชลบุรี,6562
13.031754,สถานีขนถ่ายขยะมูลฝอย,สถานีขนถ่ายขยะมูลฝอยเทศบาลตำบลตะเคียนเตี้ย,0,20,2566,101.010315,บ้านนาวัง ต.ตะเคียนเตี้ย อ.บางละมุง จ.ชลบุรี 20150,บางละมุง,3076
13.251959,ฝังกลบ,บ่อขยะเทศบาลเมืองแสนสุข,118,21,2567,101.009821,146/9 ต.บางพระ อ.ศรีราชา จ.ชลบุรี 20110,ศรีราชา,78600
13.133938,เทกอง,บ่อขยะเทศบาลเมืองศรีราชา,30,22,2567,100.984152,ต.หนองขาม อ.ศรีราชา จ.ชลบุรี 20110,ศรีราชา,45798
13.063117,ฝังกลบ,บ่อขยะเทศบาลนครแหลมฉบัง,850,23,2567,101.027448,หมู่ 8 ต.บึง อ.ศรีราชา จ.ชลบุรี 20110,ศรีราชา,91600
13.289644,เทกอง + RDF,บ่อขยะบจ.ชวสิงห์ (อบต.หนองอิรุณ),200,24,2567,101.210435,78 ต.หนองอิรุณ อ.บ้านบึง จ.ชลบุรี 20170,ศรีราชา,16000
13.08733,ฝังกลบ,บ่อขยะบจ.อีสเทิร์นซีบอร์ดฯ เอนไวรอนเมนทอล คอมเพล็กซ์ (เทศบาลนครเจ้าพระยาสุรศักดิ์),500,25,2567,101.0907,88 ต.บ่อวิน อ.ศรีราชา จ.ชลบุรี 20110,ศรีราชา,45272
13.06072,เทกอง + RDF,บ่อขยะบจ.คลีน ซิตี้ (อบต.เขาคันทรง),330,26,2567,101.13368,669 ต.เขาคันทรง อ.ศรีราชา จ.ชลบุรี 20110,ศรีราชา,34000
12.900798,เทกอง,บ่อขยะเทศบาลเมืองหนองปรือ,90,27,2567,100.957938,บ้านทุ่งกลม ต.หนองปรือ อ.บางละมุง จ.ชลบุรี 20150,บางละมุง,11822
13.249351,เทกอง,บ่อขยะเทศบาลตำบลหัวกุญแจ,4,28,2567,101.176732,บ้านกลางดอน หมู่ 9 ต.คลองกิ่ว อ.บ้านบึง จ.ชลบุรี 20170,บ้านบึง,4000
13.311783,เทกอง,บ่อขยะเทศบาลตำบลบ่อทอง,10,29,2567,101.422428,บ้านหนองลำพุก ต.บ่อทอง จ.ชลบุรี 20270,บ่อทอง,17600
13.136892,RDF+หมักทำปุ๋ย+MBT,บ่อขยะเทศบาลตำบลหนองใหญ่,32,30,2567,101.132251,ชุมชนอ่างแก้ว ต.หนองใหญ่ จ.ชลบุรี 20190,หนองใหญ่,4032
13.132664,เทกอง,บ่อขยะเทศบาลตำบลเกาะสีชัง,15,31,2567,100.811388,ต.ท่าเทววงษ์ อ.เกาะสีชัง จ.ชลบุรี 20120,เกาะสีชัง,10400
12.76938,เทกอง,บ่อขยะเทศบาลตำบลบางเสร่,25,32,2567,100.91413,ต.บางเสร่ อ.สัตหีบ จ.ชลบุรี 20180,สัตหีบ,10000
12.700403,เทกอง,บ่อขยะเทศบาลตำบลเขตรอุดมศักดิ์,30,33,2567,100.900789,เขาเพชร ต.สัตหีบ จ.ชลบุรี 20180,สัตหีบ,3728
12.629041,เทกอง,บ่อขยะอบต.แสมสาร,5,34,2567,100.959106,หนองกระจง ต.แสมสาร อ.สัตหีบ จ.ชลบุรี 20180,สัตหีบ,1800
13.340332,เทกอง,บ่อขยะเทศบาลตำบลหมอนนาง,10,35,2567,101.213076,ต.หมอนนาง อ.พนัสนิคม จ.ชลบุรี 20140,พนัสนิคม,5600
13.321048,เทกอง,บ่อขยะอบต.หนองรี,23.3,36,2567,101.04364,ต.หนองรี อ.เมืองชลบุรี จ.ชลบุรี 20000,เมืองชลบุรี,6562
13.031754,สถานีขนถ่ายขยะมูลฝอย,สถานีขนถ่ายขยะมูลฝอยเทศบาลตำบลตะเคียนเตี้ย,42,37,2567,101.010315,บ้านนาวัง ต.ตะเคียนเตี้ย อ.บางละมุง จ.ชลบุรี 20150,บางละมุง,3076
13.5077,เทกอง,สถานที่กำจัดขยะมูลฝอย อบต.เกาะลอยบางหัก,1,38,2567,101.0787,หมู่ 2 ต.เกาะลอย อ.พานทอง จ.ชลบุรี,พานทอง,715
12.9131,เทกอง,สถานที่กำจัดขยะมูลฝอย เมืองพัทยา (เกาะล้าน),20,39,2567,100.7753,หมู่ 7 ต.นาเกลือ อ.บางละมุง จ.ชลบุรี,บางละมุง,4895
12.9895,สถานีขนถ่ายขยะมูลฝอย,สถานีขนถ่ายขยะมูลฝอย เมืองพัทยา,460,40,2567,100.9295,17/46 หมู่ 8 ต.หนองปลาไหล อ.บางละมุง จ.ชลบุรี,บางละมุง,2000
12.8236,สถานีขนถ่ายขยะมูลฝอย,สถานีขนถ่ายขยะมูลฝอย ทต.ห้วยใหญ่,35,41,2567,100.9855,357/11 หมู่ 10 ต.ห้วยใหญ่ อ.บางละมุง จ.ชลบุรี,บางละมุง,2500
13.06072,ฝังกลบ,บ่อขยะบจ.คลีน ซิตี้ (อบต.เขาคันทรง),250,42,2567,101.13368,669 ต.เขาคันทรง อ.ศรีราชา จ.ชลบุรี 20110,ศรีราชา,34000
13.505187,ฝังกลบ,บ่อขยะอบต.เกาะลอย,1,43,2567,101.081963,ต.เกาะลอย อ.พานทอง จ.ชลบุรี 20160,พานทอง,715
13.343267,เทกอง,บ่อขยะอบต.บ่อกวางทอง,5,44,2567,101.325486,บ้านโปร่งไม้ไร่ ต.บ่อกวางทอง อ.บ่อทอง จ.ชลบุรี 20270,บ่อทอง,7600
13.136892,ฝังกลบ,บ่อขยะเทศบาลตำบลหนองใหญ่,25,45,2567,101.132251,ชุมชนอ่างแก้ว ต.หนองใหญ่ จ.ชลบุรี 20190,หนองใหญ่,4032
