จำนวน,_id,หน่วยงานเจ้าของ,หน่วย,ชื่อโรงงาน,ประกอบกิจการ,ปีที่ได้รับอนุญาต,เพศ,ตำบล,อำเภอ,TSIC,รหัสประเภท
6,30,สำนักงานอุตสาหกรรมจังหวัด,คน,บริษัท พรีเมียร์โมดิไฟด์สตาร์ช จำกัด,ผลิตแป้งมันสำปะหลังดัดแปร,2559,หญิง,คำป่าหลาย,เมืองมุกดาหาร,10612,902
6,31,สำนักงานอุตสาหกรรมจังหวัด,คน,บริษัท พรีเมียร์ควอลิตี้สตาร์ช จำกัด (มหาชน),ทำมันเส้น,2551,ชาย,คำป่าหลาย,เมืองมุกดาหาร,10621,906
0,32,สำนักงานอุตสาหกรรมจังหวัด,คน,บริษัท พรีเมียร์ควอลิตี้สตาร์ช จำกัด (มหาชน),ทำมันเส้น,2551,หญิง,คำป่าหลาย,เมืองมุกดาหาร,10621,906
132,33,สำนักงานอุตสาหกรรมจังหวัด,คน,บริษัท สหเรือง จำกัด,ผลิตน้ำตาลทรายดิบและน้ำตาลทรายขาว กำลังผลิต 5992 ตันอ้อย/วัน,2536,ชาย,บางทรายใหญ่,เมืองมุกดาหาร,10721,1103
2,34,สำนักงานอุตสาหกรรมจังหวัด,คน,บริษัท สหเรือง จำกัด,ผลิตน้ำตาลทรายดิบและน้ำตาลทรายขาว กำลังผลิต 5992 ตันอ้อย/วัน,2536,หญิง,บางทรายใหญ่,เมืองมุกดาหาร,10721,1103
5,35,สำนักงานอุตสาหกรรมจังหวัด,คน,ห้างหุ้นส่วนจำกัด ชื่นชนก,ผลิตน้ำแข็งก้อนเล็ก ได้วันละ 37 ตัน,2545,ชาย,บางทรายใหญ่,เมืองมุกดาหาร,10795,1400
0,36,สำนักงานอุตสาหกรรมจังหวัด,คน,ห้างหุ้นส่วนจำกัด ชื่นชนก,ผลิตน้ำแข็งก้อนเล็ก ได้วันละ 37 ตัน,2545,หญิง,บางทรายใหญ่,เมืองมุกดาหาร,10795,1400
5,37,สำนักงานอุตสาหกรรมจังหวัด,คน,บริษัท กิมชุนไอซ์ มุกดาหาร จำกัด,ผลิตน้ำแข็งก้อนเล็ก,2559,ชาย,กุดแข้,เมืองมุกดาหาร,10795,1400
0,38,สำนักงานอุตสาหกรรมจังหวัด,คน,บริษัท กิมชุนไอซ์ มุกดาหาร จำกัด,ผลิตน้ำแข็งก้อนเล็ก,2559,หญิง,กุดแข้,เมืองมุกดาหาร,10795,1400
20,39,สำนักงานอุตสาหกรรมจังหวัด,คน,บริษัท เกียรติมุกดา พรีเมี่ยมไอซ์ จำกัด,ทำน้ำแข็ง,2560,ชาย,คำอาฮวน,เมืองมุกดาหาร,10795,1400
5,40,สำนักงานอุตสาหกรรมจังหวัด,คน,บริษัท เกียรติมุกดา พรีเมี่ยมไอซ์ จำกัด,ทำน้ำแข็ง,2560,หญิง,คำอาฮวน,เมืองมุกดาหาร,10795,1400
19,41,สำนักงานอุตสาหกรรมจังหวัด,คน,ห้างหุ้นส่วนจำกัด กรเดชมุกดาหาร,ทำน้ำแข็งก้อนเล็ก กำลังการผลิตสูงสุด 220 ตัน/วัน,2553,ชาย,บางทรายใหญ่,เมืองมุกดาหาร,10795,1400
0,42,สำนักงานอุตสาหกรรมจังหวัด,คน,ห้างหุ้นส่วนจำกัด กรเดชมุกดาหาร,ทำน้ำแข็งก้อนเล็ก กำลังการผลิตสูงสุด 220 ตัน/วัน,2553,หญิง,บางทรายใหญ่,เมืองมุกดาหาร,10795,1400
13,43,สำนักงานอุตสาหกรรมจังหวัด,คน,โรงน้ำแข็งเกียรติมุกดา,ผลิตน้ำแข็งก้อนเล็ก,2535,ชาย,มุกดาหาร,เมืองมุกดาหาร,10795,1400
0,44,สำนักงานอุตสาหกรรมจังหวัด,คน,โรงน้ำแข็งเกียรติมุกดา,ผลิตน้ำแข็งก้อนเล็ก,2535,หญิง,มุกดาหาร,เมืองมุกดาหาร,10795,1400
4,45,สำนักงานอุตสาหกรรมจังหวัด,คน,โรงน้ำแข็งพีทีเอ็ม,ทำน้ำแข็งก้อนเล็กและผลิตน้ำดื่มในภาชนะปิดผนึก,2562,ชาย,บางทรายใหญ่,เมืองมุกดาหาร,10795,1400
1,46,สำนักงานอุตสาหกรรมจังหวัด,คน,โรงน้ำแข็งพีทีเอ็ม,ทำน้ำแข็งก้อนเล็กและผลิตน้ำดื่มในภาชนะปิดผนึก,2562,หญิง,บางทรายใหญ่,เมืองมุกดาหาร,10795,1400
10,47,สำนักงานอุตสาหกรรมจังหวัด,คน,บริษัท ชัยวัฒนาธร จำกัด,ซอยไม้แปรรูป,2542,ชาย,มุกดาหาร,เมืองมุกดาหาร,16101,3401
0,48,สำนักงานอุตสาหกรรมจังหวัด,คน,บริษัท ชัยวัฒนาธร จำกัด,ซอยไม้แปรรูป,2542,หญิง,มุกดาหาร,เมืองมุกดาหาร,16101,3401
5,49,สำนักงานอุตสาหกรรมจังหวัด,คน,บริษัท ฟ้ารุ่งค้าไม้ จำกัด,ทำวงกบประตู ขอบหน้าต่าง บานประตู บานหน้าต่างหรือส่วนประกอบที่ทำด้วยไม้ของอาคาร,2555,ชาย,บางทรายใหญ่,เมืองมุกดาหาร,16220,3402
0,50,สำนักงานอุตสาหกรรมจังหวัด,คน,บริษัท ฟ้ารุ่งค้าไม้ จำกัด,ทำวงกบประตู ขอบหน้าต่าง บานประตู บานหน้าต่างหรือส่วนประกอบที่ทำด้วยไม้ของอาคาร,2555,หญิง,บางทรายใหญ่,เมืองมุกดาหาร,16220,3402
13,51,สำนักงานอุตสาหกรรมจังหวัด,คน,ห้างหุ้นส่วนจำกัด ประทุมมาประดิษฐกรรมเฟอร์นิเจอร์,ผลิตและจำหน่ายวงกบ ประตู หน้าต่าง,2548,ชาย,นาสีนวน,เมืองมุกดาหาร,16220,3402
0,52,สำนักงานอุตสาหกรรมจังหวัด,คน,ห้างหุ้นส่วนจำกัด ประทุมมาประดิษฐกรรมเฟอร์นิเจอร์,ผลิตและจำหน่ายวงกบ ประตู หน้าต่าง,2548,หญิง,นาสีนวน,เมืองมุกดาหาร,16220,3402
4,53,สำนักงานอุตสาหกรรมจังหวัด,คน,บริษัท มหาอนันต์ วู๊ดชิพ จำกัด,ผลิตชิ้นไม้สับจากไม้ยางพาราและไม้ที่ปลูกขึ้นโดยเฉพาะ 13 ชนิด ตามมติคณะรัฐมนตรี เพื่อจำหน่าย,2566,ชาย,กุดแข้,เมืองมุกดาหาร,16299,3404
1,54,สำนักงานอุตสาหกรรมจังหวัด,คน,บริษัท มหาอนันต์ วู๊ดชิพ จำกัด,ผลิตชิ้นไม้สับจากไม้ยางพาราและไม้ที่ปลูกขึ้นโดยเฉพาะ 13 ชนิด ตามมติคณะรัฐมนตรี เพื่อจำหน่าย,2566,หญิง,กุดแข้,เมืองมุกดาหาร,16299,3404
10,55,สำนักงานอุตสาหกรรมจังหวัด,คน,บริษัท มุกดาหาร วู๊ดชิพ จำกัด,ผลิตชิ้นไม้สับจากไม้ยางพาราและไม้ที่ปลูกขึ้นโดยเฉพาะ 13 ชนิด ตามมติคณะรัฐมนตรี เพื่อจำหน่าย,2565,ชาย,คำป่าหลาย,เมืองมุกดาหาร,16299,3404
0,56,สำนักงานอุตสาหกรรมจังหวัด,คน,บริษัท มุกดาหาร วู๊ดชิพ จำกัด,ผลิตชิ้นไม้สับจากไม้ยางพาราและไม้ที่ปลูกขึ้นโดยเฉพาะ 13 ชนิด ตามมติคณะรัฐมนตรี เพื่อจำหน่าย,2565,หญิง,คำป่าหลาย,เมืองมุกดาหาร,16299,3404
0,57,สำนักงานอุตสาหกรรมจังหวัด,คน,บริษัท อิสาน ทิมเบอร์ จำกัด,ผลิตชิ้นไม้สับที่ปลูกขึ้นโดยเฉพาะ 13 ชนิด ตามมติคณะรัฐมนตรี และไม้ยางพารา เพื่อจำหน่าย,2566,ชาย,คำป่าหลาย,เมืองมุกดาหาร,16299,3404
0,58,สำนักงานอุตสาหกรรมจังหวัด,คน,บริษัท อิสาน ทิมเบอร์ จำกัด,ผลิตชิ้นไม้สับที่ปลูกขึ้นโดยเฉพาะ 13 ชนิด ตามมติคณะรัฐมนตรี และไม้ยางพารา เพื่อจำหน่าย,2566,หญิง,คำป่าหลาย,เมืองมุกดาหาร,16299,3404
3,59,สำนักงานอุตสาหกรรมจังหวัด,คน,ไม้งาม,ผลิตผลิตภัณฑ์จากไม้ เช่น แจกันไม้ แก้วไม้ พานไม้ เป็นต้น,2562,ชาย,ดงเย็น,เมืองมุกดาหาร,16230,3601
1,60,สำนักงานอุตสาหกรรมจังหวัด,คน,ไม้งาม,ผลิตผลิตภัณฑ์จากไม้ เช่น แจกันไม้ แก้วไม้ พานไม้ เป็นต้น,2562,หญิง,ดงเย็น,เมืองมุกดาหาร,16230,3601
2,61,สำนักงานอุตสาหกรรมจังหวัด,คน,ห้างหุ้นส่วนจำกัด ว่านใหญ่การเกษตร,อัดเศษกระดาษ และเศษโลหะ,2560,ชาย,คำป่าหลาย,เมืองมุกดาหาร,23991,4001
2,62,สำนักงานอุตสาหกรรมจังหวัด,คน,ห้างหุ้นส่วนจำกัด ว่านใหญ่การเกษตร,อัดเศษกระดาษ และเศษโลหะ,2560,หญิง,คำป่าหลาย,เมืองมุกดาหาร,23991,4001
8,63,สำนักงานอุตสาหกรรมจังหวัด,คน,เมืองโขงการเกษตร,ทำหรือผลิตปุ๋ยอินทรีย์อัดเม็ด,2554,ชาย,คำอาฮวน,เมืองมุกดาหาร,20121,4301
0,64,สำนักงานอุตสาหกรรมจังหวัด,คน,เมืองโขงการเกษตร,ทำหรือผลิตปุ๋ยอินทรีย์อัดเม็ด,2554,หญิง,คำอาฮวน,เมืองมุกดาหาร,20121,4301
10,65,สำนักงานอุตสาหกรรมจังหวัด,คน,บริษัท ดนุสิริกำพลการโยธา จำกัด,ผลิตแอสฟัลท์ติดคอนกรีต,2554,ชาย,มุกดาหาร,เมืองมุกดาหาร,19209,5004
0,66,สำนักงานอุตสาหกรรมจังหวัด,คน,บริษัท ดนุสิริกำพลการโยธา จำกัด,ผลิตแอสฟัลท์ติดคอนกรีต,2554,หญิง,มุกดาหาร,เมืองมุกดาหาร,19209,5004
6,67,สำนักงานอุตสาหกรรมจังหวัด,คน,ห้างหุ้นส่วนจำกัดชัยมงคลมุกดาหาร,ผสมผลิตภัณฑ์จากปิโตรเลี่ยมกับหินเพื่อใช้ในงานก่อสร้างผิวถนน,2549,ชาย,ศรีบุญเรือง,เมืองมุกดาหาร,19209,5004
2,68,สำนักงานอุตสาหกรรมจังหวัด,คน,ห้างหุ้นส่วนจำกัดชัยมงคลมุกดาหาร,ผสมผลิตภัณฑ์จากปิโตรเลี่ยมกับหินเพื่อใช้ในงานก่อสร้างผิวถนน,2549,หญิง,ศรีบุญเรือง,เมืองมุกดาหาร,19209,5004
0,69,สำนักงานอุตสาหกรรมจังหวัด,คน,บริษัท รับเบอร์แลนด์โปรดักส์ จำกัด,ผลิตยางเครปและยางสับ,2566,ชาย,บางทรายใหญ่,เมืองมุกดาหาร,22191,5202
0,70,สำนักงานอุตสาหกรรมจังหวัด,คน,บริษัท รับเบอร์แลนด์โปรดักส์ จำกัด,ผลิตยางเครปและยางสับ,2566,หญิง,บางทรายใหญ่,เมืองมุกดาหาร,22191,5202
30,71,สำนักงานอุตสาหกรรมจังหวัด,คน,บริษัท รับเบอร์แลนด์ โปรดักส์ จำกัด,"ผลิตยางเครป, ยางแท่ง เอสทีอาร์ 20, ยางผสม",2554,ชาย,บางทรายใหญ่,เมืองมุกดาหาร,22191,5203
20,72,สำนักงานอุตสาหกรรมจังหวัด,คน,บริษัท รับเบอร์แลนด์ โปรดักส์ จำกัด,"ผลิตยางเครป, ยางแท่ง เอสทีอาร์ 20, ยางผสม",2554,หญิง,บางทรายใหญ่,เมืองมุกดาหาร,22191,5203
94,73,สำนักงานอุตสาหกรรมจังหวัด,คน,บริษัท ธงทอง รับเบอร์ จำกัด,"การทำยางเครป, ยางเครปอบแห้ง, ยางผสม (Compound Rubber) , ยางแท่ง",2556,ชาย,โพนทราย,เมืองมุกดาหาร,22191,5203
28,74,สำนักงานอุตสาหกรรมจังหวัด,คน,บริษัท ธงทอง รับเบอร์ จำกัด,"การทำยางเครป, ยางเครปอบแห้ง, ยางผสม (Compound Rubber) , ยางแท่ง",2556,หญิง,โพนทราย,เมืองมุกดาหาร,22191,5203
2,75,สำนักงานอุตสาหกรรมจังหวัด,คน,ห้างหุ้นส่วนจำกัด ว่านใหญ่การเกษตร,ทำยางเครป,2561,ชาย,คำป่าหลาย,เมืองมุกดาหาร,22191,5203
2,76,สำนักงานอุตสาหกรรมจังหวัด,คน,ห้างหุ้นส่วนจำกัด ว่านใหญ่การเกษตร,ทำยางเครป,2561,หญิง,คำป่าหลาย,เมืองมุกดาหาร,22191,5203
38,77,สำนักงานอุตสาหกรรมจังหวัด,คน,บริษัท นาคิเทค จำกัด,ผลิตผลิตภัณฑ์จากยางธรรมชาติ และส่งออกผลิตภัณฑ์ยางพารา,2560,ชาย,คำป่าหลาย,เมืองมุกดาหาร,22191,5203
17,78,สำนักงานอุตสาหกรรมจังหวัด,คน,บริษัท นาคิเทค จำกัด,ผลิตผลิตภัณฑ์จากยางธรรมชาติ และส่งออกผลิตภัณฑ์ยางพารา,2560,หญิง,คำป่าหลาย,เมืองมุกดาหาร,22191,5203
271,79,สำนักงานอุตสาหกรรมจังหวัด,คน,บริษัท เอ็นเทคโพลิเมอร์ จำกัด,"ผลิตยางแท่ง STR, Mixture Rubber (ยางผสมสารเคมี) Block Rubber",2554,ชาย,คำป่าหลาย,เมืองมุกดาหาร,22191,5203
119,80,สำนักงานอุตสาหกรรมจังหวัด,คน,บริษัท เอ็นเทคโพลิเมอร์ จำกัด,"ผลิตยางแท่ง STR, Mixture Rubber (ยางผสมสารเคมี) Block Rubber",2554,หญิง,คำป่าหลาย,เมืองมุกดาหาร,22191,5203
15,81,สำนักงานอุตสาหกรรมจังหวัด,คน,บริษัท มุกดาหาร พลาสติก จำกัด,การทำภาชนะบรรจุภัณฑ์จากพลาสติก,2559,ชาย,คำป่าหลาย,เมืองมุกดาหาร,22220,5304
11,82,สำนักงานอุตสาหกรรมจังหวัด,คน,บริษัท มุกดาหาร พลาสติก จำกัด,การทำภาชนะบรรจุภัณฑ์จากพลาสติก,2559,หญิง,คำป่าหลาย,เมืองมุกดาหาร,22220,5304
5,83,สำนักงานอุตสาหกรรมจังหวัด,คน,พาวเวอร์พี แอนด์รีไซเคิล,ทำถุงพลาสติก,2536,ชาย,คำอาฮวน,เมืองมุกดาหาร,22220,5304
3,84,สำนักงานอุตสาหกรรมจังหวัด,คน,พาวเวอร์พี แอนด์รีไซเคิล,ทำถุงพลาสติก,2536,หญิง,คำอาฮวน,เมืองมุกดาหาร,22220,5304
6,85,สำนักงานอุตสาหกรรมจังหวัด,คน,บริษัท ว่านใหญ่เอ็นเตอร์ไพรส์ จำกัด,ทำเม็ดพลาสติก,2564,ชาย,คำป่าหลาย,เมืองมุกดาหาร,22230,5305
4,86,สำนักงานอุตสาหกรรมจังหวัด,คน,บริษัท ว่านใหญ่เอ็นเตอร์ไพรส์ จำกัด,ทำเม็ดพลาสติก,2564,หญิง,คำป่าหลาย,เมืองมุกดาหาร,22230,5305
3,87,สำนักงานอุตสาหกรรมจังหวัด,คน,เจริญอิฐแดง,ผลิตอิฐดินเผา,2564,ชาย,มุกดาหาร,เมืองมุกดาหาร,23921,5600
3,88,สำนักงานอุตสาหกรรมจังหวัด,คน,เจริญอิฐแดง,ผลิตอิฐดินเผา,2564,หญิง,มุกดาหาร,เมืองมุกดาหาร,23921,5600
5,89,สำนักงานอุตสาหกรรมจังหวัด,คน,ห้างหุ้นส่วนจำกัด มุกดาหาร บีเอ็มซี คอนกรีต,ผลิตคอนกรีตผสมเสร็จ,2558,ชาย,คำอาฮวน,เมืองมุกดาหาร,23953,5801
0,90,สำนักงานอุตสาหกรรมจังหวัด,คน,ห้างหุ้นส่วนจำกัด มุกดาหาร บีเอ็มซี คอนกรีต,ผลิตคอนกรีตผสมเสร็จ,2558,หญิง,คำอาฮวน,เมืองมุกดาหาร,23953,5801
3,91,สำนักงานอุตสาหกรรมจังหวัด,คน,บริษัท สามน้ำวิศวกรรม จำกัด,ผลิตคอนกรีตผสมเสร็จ,2564,ชาย,มุกดาหาร,เมืองมุกดาหาร,23953,5801
0,92,สำนักงานอุตสาหกรรมจังหวัด,คน,บริษัท สามน้ำวิศวกรรม จำกัด,ผลิตคอนกรีตผสมเสร็จ,2564,หญิง,มุกดาหาร,เมืองมุกดาหาร,23953,5801
5,93,สำนักงานอุตสาหกรรมจังหวัด,คน,บริษัท ดีโฮมคอนกรีตมุกดาหาร จำกัด,ผลิตคอนกรีตผสมเสร็จ,2558,ชาย,มุกดาหาร,เมืองมุกดาหาร,23951,5801
0,94,สำนักงานอุตสาหกรรมจังหวัด,คน,บริษัท ดีโฮมคอนกรีตมุกดาหาร จำกัด,ผลิตคอนกรีตผสมเสร็จ,2558,หญิง,มุกดาหาร,เมืองมุกดาหาร,23951,5801
5,95,สำนักงานอุตสาหกรรมจังหวัด,คน,ห้างหุ้นส่วนจำกัด เอส.พี. คอนกรีตมุกดาหาร,ผลิตคอนกรีตผสมเสร็จ,2558,ชาย,มุกดาหาร,เมืองมุกดาหาร,23953,5801
0,96,สำนักงานอุตสาหกรรมจังหวัด,คน,ห้างหุ้นส่วนจำกัด เอส.พี. คอนกรีตมุกดาหาร,ผลิตคอนกรีตผสมเสร็จ,2558,หญิง,มุกดาหาร,เมืองมุกดาหาร,23953,5801
5,97,สำนักงานอุตสาหกรรมจังหวัด,คน,ห้างหุ้นส่วนจำกัด เค เค มุกดาหารก่อสร้าง,ผลิตภัณฑ์คอนกรีตสำเร็จรูป,2554,ชาย,กุดแข้,เมืองมุกดาหาร,23953,5801
0,98,สำนักงานอุตสาหกรรมจังหวัด,คน,ห้างหุ้นส่วนจำกัด เค เค มุกดาหารก่อสร้าง,ผลิตภัณฑ์คอนกรีตสำเร็จรูป,2554,หญิง,กุดแข้,เมืองมุกดาหาร,23953,5801
5,99,สำนักงานอุตสาหกรรมจังหวัด,คน,บริษัท คิงส์ คอนกรีต มุกดาหาร จำกัด,ผลิตคอนกรีตผสมเสร็จ,2559,ชาย,คำอาฮวน,เมืองมุกดาหาร,23951,5801
0,100,สำนักงานอุตสาหกรรมจังหวัด,คน,บริษัท คิงส์ คอนกรีต มุกดาหาร จำกัด,ผลิตคอนกรีตผสมเสร็จ,2559,หญิง,คำอาฮวน,เมืองมุกดาหาร,23951,5801
3,101,สำนักงานอุตสาหกรรมจังหวัด,คน,คอนกรีตผสมเสร็จ มุกดาหาร 3,ผลิตคอนกรีตผสมเสร็จ,2554,ชาย,มุกดาหาร,เมืองมุกดาหาร,23953,5801
0,102,สำนักงานอุตสาหกรรมจังหวัด,คน,คอนกรีตผสมเสร็จ มุกดาหาร 3,ผลิตคอนกรีตผสมเสร็จ,2554,หญิง,มุกดาหาร,เมืองมุกดาหาร,23953,5801
4,103,สำนักงานอุตสาหกรรมจังหวัด,คน,บริษัท กู๊ด บิวดิ้ง ดีไซน์ จำกัด,ทำผลิตภัณฑ์คอนกรีตผสม,2565,ชาย,บางทรายใหญ่,เมืองมุกดาหาร,23951,5801
0,104,สำนักงานอุตสาหกรรมจังหวัด,คน,บริษัท กู๊ด บิวดิ้ง ดีไซน์ จำกัด,ทำผลิตภัณฑ์คอนกรีตผสม,2565,หญิง,บางทรายใหญ่,เมืองมุกดาหาร,23951,5801
3,105,สำนักงานอุตสาหกรรมจังหวัด,คน,บริษัท ป.วัสดุ มุกดาหาร จำกัด,ทำผลิตภัณฑ์คอนกรีตผสม,2565,ชาย,มุกดาหาร,เมืองมุกดาหาร,23951,5801
0,106,สำนักงานอุตสาหกรรมจังหวัด,คน,บริษัท ป.วัสดุ มุกดาหาร จำกัด,ทำผลิตภัณฑ์คอนกรีตผสม,2565,หญิง,มุกดาหาร,เมืองมุกดาหาร,23951,5801
