VALUE,QUARTER,SOURCE,_id,SEX,UNIT,REGION,YEAR,LAVEL_EDUCATIONAL
149.17,ไตรมาส 3,สำนักงานสถิติแห่งชาติ,76,หญิง,พันคน,ภาคตะวันออกเฉียงเหนือ,2564,อุดมศึกษา สายวิชาชีพ
135.57,ไตรมาส 3,สำนักงานสถิติแห่งชาติ,77,หญิง,พันคน,ภาคตะวันออกเฉียงเหนือ,2564,อุดมศึกษา สายวิชาการศึกษา
0.0,ไตรมาส 3,สำนักงานสถิติแห่งชาติ,78,หญิง,พันคน,ภาคตะวันออกเฉียงเหนือ,2564,การศึกษาอื่น ๆ
1.28,ไตรมาส 3,สำนักงานสถิติแห่งชาติ,79,หญิง,พันคน,ภาคตะวันออกเฉียงเหนือ,2564,ไม่ทราบ
72.84,ไตรมาส 3,สำนักงานสถิติแห่งชาติ,80,ชาย,พันคน,ภาคใต้,2564,ไม่มีการศึกษา
392.65,ไตรมาส 3,สำนักงานสถิติแห่งชาติ,81,ชาย,พันคน,ภาคใต้,2564,ต่ำกว่าประถมศึกษา
742.02,ไตรมาส 3,สำนักงานสถิติแห่งชาติ,82,ชาย,พันคน,ภาคใต้,2564,ประถมศึกษา
545.55,ไตรมาส 3,สำนักงานสถิติแห่งชาติ,83,ชาย,พันคน,ภาคใต้,2564,มัธยมศึกษาตอนต้น
437.15,ไตรมาส 3,สำนักงานสถิติแห่งชาติ,84,ชาย,พันคน,ภาคใต้,2564,มัธยมศึกษาตอนปลาย สายสามัญ
123.35,ไตรมาส 3,สำนักงานสถิติแห่งชาติ,85,ชาย,พันคน,ภาคใต้,2564,มัธยมศึกษาตอนปลาย สายอาชีวศึกษา
0.54,ไตรมาส 3,สำนักงานสถิติแห่งชาติ,86,ชาย,พันคน,ภาคใต้,2564,มัธยมศึกษาตอนปลาย สายวิชาการศึกษา
279.76,ไตรมาส 3,สำนักงานสถิติแห่งชาติ,87,ชาย,พันคน,ภาคใต้,2564,อุดมศึกษา สายวิชาการ
154.93,ไตรมาส 3,สำนักงานสถิติแห่งชาติ,88,ชาย,พันคน,ภาคใต้,2564,อุดมศึกษา สายวิชาชีพ
37.31,ไตรมาส 3,สำนักงานสถิติแห่งชาติ,89,ชาย,พันคน,ภาคใต้,2564,อุดมศึกษา สายวิชาการศึกษา
1.41,ไตรมาส 3,สำนักงานสถิติแห่งชาติ,90,ชาย,พันคน,ภาคใต้,2564,การศึกษาอื่น ๆ
15.7,ไตรมาส 3,สำนักงานสถิติแห่งชาติ,91,ชาย,พันคน,ภาคใต้,2564,ไม่ทราบ
66.16,ไตรมาส 3,สำนักงานสถิติแห่งชาติ,92,หญิง,พันคน,ภาคใต้,2564,ไม่มีการศึกษา
347.21,ไตรมาส 3,สำนักงานสถิติแห่งชาติ,93,หญิง,พันคน,ภาคใต้,2564,ต่ำกว่าประถมศึกษา
495.37,ไตรมาส 3,สำนักงานสถิติแห่งชาติ,94,หญิง,พันคน,ภาคใต้,2564,ประถมศึกษา
319.82,ไตรมาส 3,สำนักงานสถิติแห่งชาติ,95,หญิง,พันคน,ภาคใต้,2564,มัธยมศึกษาตอนต้น
318.78,ไตรมาส 3,สำนักงานสถิติแห่งชาติ,96,หญิง,พันคน,ภาคใต้,2564,มัธยมศึกษาตอนปลาย สายสามัญ
76.71,ไตรมาส 3,สำนักงานสถิติแห่งชาติ,97,หญิง,พันคน,ภาคใต้,2564,มัธยมศึกษาตอนปลาย สายอาชีวศึกษา
1.59,ไตรมาส 3,สำนักงานสถิติแห่งชาติ,98,หญิง,พันคน,ภาคใต้,2564,มัธยมศึกษาตอนปลาย สายวิชาการศึกษา
387.38,ไตรมาส 3,สำนักงานสถิติแห่งชาติ,99,หญิง,พันคน,ภาคใต้,2564,อุดมศึกษา สายวิชาการ
123.61,ไตรมาส 3,สำนักงานสถิติแห่งชาติ,100,หญิง,พันคน,ภาคใต้,2564,อุดมศึกษา สายวิชาชีพ
96.3,ไตรมาส 3,สำนักงานสถิติแห่งชาติ,101,หญิง,พันคน,ภาคใต้,2564,อุดมศึกษา สายวิชาการศึกษา
0.98,ไตรมาส 3,สำนักงานสถิติแห่งชาติ,102,หญิง,พันคน,ภาคใต้,2564,การศึกษาอื่น ๆ
8.38,ไตรมาส 3,สำนักงานสถิติแห่งชาติ,103,หญิง,พันคน,ภาคใต้,2564,ไม่ทราบ
49.28,ไตรมาส 4,สำนักงานสถิติแห่งชาติ,104,ชาย,พันคน,กรุงเทพมหานคร,2564,ไม่มีการศึกษา
151.3,ไตรมาส 4,สำนักงานสถิติแห่งชาติ,105,ชาย,พันคน,กรุงเทพมหานคร,2564,ต่ำกว่าประถมศึกษา
561.83,ไตรมาส 4,สำนักงานสถิติแห่งชาติ,106,ชาย,พันคน,กรุงเทพมหานคร,2564,ประถมศึกษา
494.46,ไตรมาส 4,สำนักงานสถิติแห่งชาติ,107,ชาย,พันคน,กรุงเทพมหานคร,2564,มัธยมศึกษาตอนต้น
407.3,ไตรมาส 4,สำนักงานสถิติแห่งชาติ,108,ชาย,พันคน,กรุงเทพมหานคร,2564,มัธยมศึกษาตอนปลาย สายสามัญ
152.16,ไตรมาส 4,สำนักงานสถิติแห่งชาติ,109,ชาย,พันคน,กรุงเทพมหานคร,2564,มัธยมศึกษาตอนปลาย สายอาชีวศึกษา
1.39,ไตรมาส 4,สำนักงานสถิติแห่งชาติ,110,ชาย,พันคน,กรุงเทพมหานคร,2564,มัธยมศึกษาตอนปลาย สายวิชาการศึกษา
737.6,ไตรมาส 4,สำนักงานสถิติแห่งชาติ,111,ชาย,พันคน,กรุงเทพมหานคร,2564,อุดมศึกษา สายวิชาการ
183.72,ไตรมาส 4,สำนักงานสถิติแห่งชาติ,112,ชาย,พันคน,กรุงเทพมหานคร,2564,อุดมศึกษา สายวิชาชีพ
23.51,ไตรมาส 4,สำนักงานสถิติแห่งชาติ,113,ชาย,พันคน,กรุงเทพมหานคร,2564,อุดมศึกษา สายวิชาการศึกษา
2.04,ไตรมาส 4,สำนักงานสถิติแห่งชาติ,114,ชาย,พันคน,กรุงเทพมหานคร,2564,การศึกษาอื่น ๆ
12.55,ไตรมาส 4,สำนักงานสถิติแห่งชาติ,115,ชาย,พันคน,กรุงเทพมหานคร,2564,ไม่ทราบ
73.32,ไตรมาส 4,สำนักงานสถิติแห่งชาติ,116,หญิง,พันคน,กรุงเทพมหานคร,2564,ไม่มีการศึกษา
187.79,ไตรมาส 4,สำนักงานสถิติแห่งชาติ,117,หญิง,พันคน,กรุงเทพมหานคร,2564,ต่ำกว่าประถมศึกษา
385.99,ไตรมาส 4,สำนักงานสถิติแห่งชาติ,118,หญิง,พันคน,กรุงเทพมหานคร,2564,ประถมศึกษา
354.1,ไตรมาส 4,สำนักงานสถิติแห่งชาติ,119,หญิง,พันคน,กรุงเทพมหานคร,2564,มัธยมศึกษาตอนต้น
317.2,ไตรมาส 4,สำนักงานสถิติแห่งชาติ,120,หญิง,พันคน,กรุงเทพมหานคร,2564,มัธยมศึกษาตอนปลาย สายสามัญ
135.88,ไตรมาส 4,สำนักงานสถิติแห่งชาติ,121,หญิง,พันคน,กรุงเทพมหานคร,2564,มัธยมศึกษาตอนปลาย สายอาชีวศึกษา
0.0,ไตรมาส 4,สำนักงานสถิติแห่งชาติ,122,หญิง,พันคน,กรุงเทพมหานคร,2564,มัธยมศึกษาตอนปลาย สายวิชาการศึกษา
955.39,ไตรมาส 4,สำนักงานสถิติแห่งชาติ,123,หญิง,พันคน,กรุงเทพมหานคร,2564,อุดมศึกษา สายวิชาการ
119.12,ไตรมาส 4,สำนักงานสถิติแห่งชาติ,124,หญิง,พันคน,กรุงเทพมหานคร,2564,อุดมศึกษา สายวิชาชีพ
57.44,ไตรมาส 4,สำนักงานสถิติแห่งชาติ,125,หญิง,พันคน,กรุงเทพมหานคร,2564,อุดมศึกษา สายวิชาการศึกษา
3.61,ไตรมาส 4,สำนักงานสถิติแห่งชาติ,126,หญิง,พันคน,กรุงเทพมหานคร,2564,การศึกษาอื่น ๆ
11.13,ไตรมาส 4,สำนักงานสถิติแห่งชาติ,127,หญิง,พันคน,กรุงเทพมหานคร,2564,ไม่ทราบ
162.74,ไตรมาส 4,สำนักงานสถิติแห่งชาติ,128,ชาย,พันคน,ภาคกลาง,2564,ไม่มีการศึกษา
729.32,ไตรมาส 4,สำนักงานสถิติแห่งชาติ,129,ชาย,พันคน,ภาคกลาง,2564,ต่ำกว่าประถมศึกษา
1363.13,ไตรมาส 4,สำนักงานสถิติแห่งชาติ,130,ชาย,พันคน,ภาคกลาง,2564,ประถมศึกษา
1372.14,ไตรมาส 4,สำนักงานสถิติแห่งชาติ,131,ชาย,พันคน,ภาคกลาง,2564,มัธยมศึกษาตอนต้น
972.98,ไตรมาส 4,สำนักงานสถิติแห่งชาติ,132,ชาย,พันคน,ภาคกลาง,2564,มัธยมศึกษาตอนปลาย สายสามัญ
360.29,ไตรมาส 4,สำนักงานสถิติแห่งชาติ,133,ชาย,พันคน,ภาคกลาง,2564,มัธยมศึกษาตอนปลาย สายอาชีวศึกษา
1.24,ไตรมาส 4,สำนักงานสถิติแห่งชาติ,134,ชาย,พันคน,ภาคกลาง,2564,มัธยมศึกษาตอนปลาย สายวิชาการศึกษา
796.67,ไตรมาส 4,สำนักงานสถิติแห่งชาติ,135,ชาย,พันคน,ภาคกลาง,2564,อุดมศึกษา สายวิชาการ
530.48,ไตรมาส 4,สำนักงานสถิติแห่งชาติ,136,ชาย,พันคน,ภาคกลาง,2564,อุดมศึกษา สายวิชาชีพ
65.28,ไตรมาส 4,สำนักงานสถิติแห่งชาติ,137,ชาย,พันคน,ภาคกลาง,2564,อุดมศึกษา สายวิชาการศึกษา
99.73,ไตรมาส 4,สำนักงานสถิติแห่งชาติ,138,ชาย,พันคน,ภาคกลาง,2564,การศึกษาอื่น ๆ
57.56,ไตรมาส 4,สำนักงานสถิติแห่งชาติ,139,ชาย,พันคน,ภาคกลาง,2564,ไม่ทราบ
145.39,ไตรมาส 4,สำนักงานสถิติแห่งชาติ,140,หญิง,พันคน,ภาคกลาง,2564,ไม่มีการศึกษา
696.87,ไตรมาส 4,สำนักงานสถิติแห่งชาติ,141,หญิง,พันคน,ภาคกลาง,2564,ต่ำกว่าประถมศึกษา
940.51,ไตรมาส 4,สำนักงานสถิติแห่งชาติ,142,หญิง,พันคน,ภาคกลาง,2564,ประถมศึกษา
860.33,ไตรมาส 4,สำนักงานสถิติแห่งชาติ,143,หญิง,พันคน,ภาคกลาง,2564,มัธยมศึกษาตอนต้น
834.64,ไตรมาส 4,สำนักงานสถิติแห่งชาติ,144,หญิง,พันคน,ภาคกลาง,2564,มัธยมศึกษาตอนปลาย สายสามัญ
228.42,ไตรมาส 4,สำนักงานสถิติแห่งชาติ,145,หญิง,พันคน,ภาคกลาง,2564,มัธยมศึกษาตอนปลาย สายอาชีวศึกษา
304.29,ไตรมาส 4,สำนักงานสถิติแห่งชาติ,146,ชาย,พันคน,ภาคใต้,2564,อุดมศึกษา สายวิชาการ
0.18,ไตรมาส 2,สำนักงานสถิติแห่งชาติ,147,ชาย,พันคน,ภาคตะวันออกเฉียงเหนือ,2565,ไม่ทราบ
31.28,ไตรมาส 2,สำนักงานสถิติแห่งชาติ,148,หญิง,พันคน,ภาคตะวันออกเฉียงเหนือ,2565,ไม่มีการศึกษา
898.99,ไตรมาส 2,สำนักงานสถิติแห่งชาติ,149,หญิง,พันคน,ภาคตะวันออกเฉียงเหนือ,2565,ต่ำกว่าประถมศึกษา
1086.87,ไตรมาส 2,สำนักงานสถิติแห่งชาติ,150,หญิง,พันคน,ภาคตะวันออกเฉียงเหนือ,2565,ประถมศึกษา
591.49,ไตรมาส 2,สำนักงานสถิติแห่งชาติ,151,หญิง,พันคน,ภาคตะวันออกเฉียงเหนือ,2565,มัธยมศึกษาตอนต้น
682.83,ไตรมาส 2,สำนักงานสถิติแห่งชาติ,152,หญิง,พันคน,ภาคตะวันออกเฉียงเหนือ,2565,มัธยมศึกษาตอนปลาย สายสามัญ
83.62,ไตรมาส 2,สำนักงานสถิติแห่งชาติ,153,หญิง,พันคน,ภาคตะวันออกเฉียงเหนือ,2565,มัธยมศึกษาตอนปลาย สายอาชีวศึกษา
0.0,ไตรมาส 2,สำนักงานสถิติแห่งชาติ,154,หญิง,พันคน,ภาคตะวันออกเฉียงเหนือ,2565,มัธยมศึกษาตอนปลาย สายวิชาการศึกษา
502.92,ไตรมาส 2,สำนักงานสถิติแห่งชาติ,155,หญิง,พันคน,ภาคตะวันออกเฉียงเหนือ,2565,อุดมศึกษา สายวิชาการ
151.35,ไตรมาส 2,สำนักงานสถิติแห่งชาติ,156,หญิง,พันคน,ภาคตะวันออกเฉียงเหนือ,2565,อุดมศึกษา สายวิชาชีพ
177.59,ไตรมาส 2,สำนักงานสถิติแห่งชาติ,157,หญิง,พันคน,ภาคตะวันออกเฉียงเหนือ,2565,อุดมศึกษา สายวิชาการศึกษา
0.0,ไตรมาส 2,สำนักงานสถิติแห่งชาติ,158,หญิง,พันคน,ภาคตะวันออกเฉียงเหนือ,2565,การศึกษาอื่น ๆ
0.3,ไตรมาส 2,สำนักงานสถิติแห่งชาติ,159,หญิง,พันคน,ภาคตะวันออกเฉียงเหนือ,2565,ไม่ทราบ
88.08,ไตรมาส 2,สำนักงานสถิติแห่งชาติ,160,ชาย,พันคน,ภาคใต้,2565,ไม่มีการศึกษา
313.23,ไตรมาส 2,สำนักงานสถิติแห่งชาติ,161,ชาย,พันคน,ภาคใต้,2565,ต่ำกว่าประถมศึกษา
750.48,ไตรมาส 2,สำนักงานสถิติแห่งชาติ,162,ชาย,พันคน,ภาคใต้,2565,ประถมศึกษา
538.79,ไตรมาส 2,สำนักงานสถิติแห่งชาติ,163,ชาย,พันคน,ภาคใต้,2565,มัธยมศึกษาตอนต้น
482.5,ไตรมาส 2,สำนักงานสถิติแห่งชาติ,164,ชาย,พันคน,ภาคใต้,2565,มัธยมศึกษาตอนปลาย สายสามัญ
111.59,ไตรมาส 2,สำนักงานสถิติแห่งชาติ,165,ชาย,พันคน,ภาคใต้,2565,มัธยมศึกษาตอนปลาย สายอาชีวศึกษา
0.7,ไตรมาส 2,สำนักงานสถิติแห่งชาติ,166,ชาย,พันคน,ภาคใต้,2565,มัธยมศึกษาตอนปลาย สายวิชาการศึกษา
341.63,ไตรมาส 2,สำนักงานสถิติแห่งชาติ,167,ชาย,พันคน,ภาคใต้,2565,อุดมศึกษา สายวิชาการ
186.59,ไตรมาส 2,สำนักงานสถิติแห่งชาติ,168,ชาย,พันคน,ภาคใต้,2565,อุดมศึกษา สายวิชาชีพ
36.15,ไตรมาส 2,สำนักงานสถิติแห่งชาติ,169,ชาย,พันคน,ภาคใต้,2565,อุดมศึกษา สายวิชาการศึกษา
6.01,ไตรมาส 2,สำนักงานสถิติแห่งชาติ,170,ชาย,พันคน,ภาคใต้,2565,การศึกษาอื่น ๆ
21.58,ไตรมาส 2,สำนักงานสถิติแห่งชาติ,171,ชาย,พันคน,ภาคใต้,2565,ไม่ทราบ
78.77,ไตรมาส 2,สำนักงานสถิติแห่งชาติ,172,หญิง,พันคน,ภาคใต้,2565,ไม่มีการศึกษา
323.66,ไตรมาส 2,สำนักงานสถิติแห่งชาติ,173,หญิง,พันคน,ภาคใต้,2565,ต่ำกว่าประถมศึกษา
501.05,ไตรมาส 2,สำนักงานสถิติแห่งชาติ,174,หญิง,พันคน,ภาคใต้,2565,ประถมศึกษา
