WORK_STATUS,QUARTER,VALUE,SOURCE,_id,SEX,UNIT,REGION,YEAR
ลูกจ้างเอกชน,ไตรมาสที่ 2,3711.56,สำนักงานสถิติแห่งชาติ,33,ชาย,พันคน,ภาคกลาง,2566
ทำงานส่วนตัว,ไตรมาสที่ 2,1940.64,สำนักงานสถิติแห่งชาติ,34,ชาย,พันคน,ภาคกลาง,2566
ช่วยธุรกิจครอบครัว,ไตรมาสที่ 2,622.43,สำนักงานสถิติแห่งชาติ,35,ชาย,พันคน,ภาคกลาง,2566
การรวมกลุ่ม,ไตรมาสที่ 2,0.0,สำนักงานสถิติแห่งชาติ,36,ชาย,พันคน,ภาคกลาง,2566
นายจ้าง,ไตรมาสที่ 2,96.73,สำนักงานสถิติแห่งชาติ,37,หญิง,พันคน,ภาคกลาง,2566
ลูกจ้างรัฐบาล,ไตรมาสที่ 2,600.24,สำนักงานสถิติแห่งชาติ,38,หญิง,พันคน,ภาคกลาง,2566
ลูกจ้างเอกชน,ไตรมาสที่ 2,3115.35,สำนักงานสถิติแห่งชาติ,39,หญิง,พันคน,ภาคกลาง,2566
ทำงานส่วนตัว,ไตรมาสที่ 2,1497.39,สำนักงานสถิติแห่งชาติ,40,หญิง,พันคน,ภาคกลาง,2566
ช่วยธุรกิจครอบครัว,ไตรมาสที่ 2,835.05,สำนักงานสถิติแห่งชาติ,41,หญิง,พันคน,ภาคกลาง,2566
การรวมกลุ่ม,ไตรมาสที่ 2,0.16,สำนักงานสถิติแห่งชาติ,42,หญิง,พันคน,ภาคกลาง,2566
นายจ้าง,ไตรมาสที่ 2,71.08,สำนักงานสถิติแห่งชาติ,43,ชาย,พันคน,ภาคเหนือ,2566
ลูกจ้างรัฐบาล,ไตรมาสที่ 2,287.59,สำนักงานสถิติแห่งชาติ,44,ชาย,พันคน,ภาคเหนือ,2566
ลูกจ้างเอกชน,ไตรมาสที่ 2,744.48,สำนักงานสถิติแห่งชาติ,45,ชาย,พันคน,ภาคเหนือ,2566
ทำงานส่วนตัว,ไตรมาสที่ 2,1690.2,สำนักงานสถิติแห่งชาติ,46,ชาย,พันคน,ภาคเหนือ,2566
ช่วยธุรกิจครอบครัว,ไตรมาสที่ 2,491.75,สำนักงานสถิติแห่งชาติ,47,ชาย,พันคน,ภาคเหนือ,2566
การรวมกลุ่ม,ไตรมาสที่ 2,2.05,สำนักงานสถิติแห่งชาติ,48,ชาย,พันคน,ภาคเหนือ,2566
นายจ้าง,ไตรมาสที่ 2,23.84,สำนักงานสถิติแห่งชาติ,49,หญิง,พันคน,ภาคเหนือ,2566
ลูกจ้างรัฐบาล,ไตรมาสที่ 2,318.21,สำนักงานสถิติแห่งชาติ,50,หญิง,พันคน,ภาคเหนือ,2566
ลูกจ้างเอกชน,ไตรมาสที่ 2,628.39,สำนักงานสถิติแห่งชาติ,51,หญิง,พันคน,ภาคเหนือ,2566
ทำงานส่วนตัว,ไตรมาสที่ 2,1028.25,สำนักงานสถิติแห่งชาติ,52,หญิง,พันคน,ภาคเหนือ,2566
ช่วยธุรกิจครอบครัว,ไตรมาสที่ 2,850.19,สำนักงานสถิติแห่งชาติ,53,หญิง,พันคน,ภาคเหนือ,2566
การรวมกลุ่ม,ไตรมาสที่ 2,0.04,สำนักงานสถิติแห่งชาติ,54,หญิง,พันคน,ภาคเหนือ,2566
นายจ้าง,ไตรมาสที่ 2,78.98,สำนักงานสถิติแห่งชาติ,55,ชาย,พันคน,ภาคตะวันออกเฉียงเหนือ,2566
ลูกจ้างรัฐบาล,ไตรมาสที่ 2,425.6,สำนักงานสถิติแห่งชาติ,56,ชาย,พันคน,ภาคตะวันออกเฉียงเหนือ,2566
ลูกจ้างเอกชน,ไตรมาสที่ 2,1072.74,สำนักงานสถิติแห่งชาติ,57,ชาย,พันคน,ภาคตะวันออกเฉียงเหนือ,2566
ทำงานส่วนตัว,ไตรมาสที่ 2,2576.63,สำนักงานสถิติแห่งชาติ,58,ชาย,พันคน,ภาคตะวันออกเฉียงเหนือ,2566
ช่วยธุรกิจครอบครัว,ไตรมาสที่ 2,867.15,สำนักงานสถิติแห่งชาติ,59,ชาย,พันคน,ภาคตะวันออกเฉียงเหนือ,2566
การรวมกลุ่ม,ไตรมาสที่ 2,35.86,สำนักงานสถิติแห่งชาติ,60,ชาย,พันคน,ภาคตะวันออกเฉียงเหนือ,2566
นายจ้าง,ไตรมาสที่ 2,27.05,สำนักงานสถิติแห่งชาติ,61,หญิง,พันคน,ภาคตะวันออกเฉียงเหนือ,2566
ลูกจ้างรัฐบาล,ไตรมาสที่ 2,506.38,สำนักงานสถิติแห่งชาติ,62,หญิง,พันคน,ภาคตะวันออกเฉียงเหนือ,2566
ลูกจ้างเอกชน,ไตรมาสที่ 2,733.76,สำนักงานสถิติแห่งชาติ,63,หญิง,พันคน,ภาคตะวันออกเฉียงเหนือ,2566
ทำงานส่วนตัว,ไตรมาสที่ 2,1644.59,สำนักงานสถิติแห่งชาติ,64,หญิง,พันคน,ภาคตะวันออกเฉียงเหนือ,2566
ช่วยธุรกิจครอบครัว,ไตรมาสที่ 2,1338.32,สำนักงานสถิติแห่งชาติ,65,หญิง,พันคน,ภาคตะวันออกเฉียงเหนือ,2566
การรวมกลุ่ม,ไตรมาสที่ 2,1.82,สำนักงานสถิติแห่งชาติ,66,หญิง,พันคน,ภาคตะวันออกเฉียงเหนือ,2566
นายจ้าง,ไตรมาสที่ 2,142.75,สำนักงานสถิติแห่งชาติ,67,ชาย,พันคน,ภาคใต้,2566
ลูกจ้างรัฐบาล,ไตรมาสที่ 2,245.72,สำนักงานสถิติแห่งชาติ,68,ชาย,พันคน,ภาคใต้,2566
ลูกจ้างเอกชน,ไตรมาสที่ 2,1089.32,สำนักงานสถิติแห่งชาติ,69,ชาย,พันคน,ภาคใต้,2566
ทำงานส่วนตัว,ไตรมาสที่ 2,1091.45,สำนักงานสถิติแห่งชาติ,70,ชาย,พันคน,ภาคใต้,2566
ช่วยธุรกิจครอบครัว,ไตรมาสที่ 2,345.34,สำนักงานสถิติแห่งชาติ,71,ชาย,พันคน,ภาคใต้,2566
การรวมกลุ่ม,ไตรมาสที่ 2,2.51,สำนักงานสถิติแห่งชาติ,72,ชาย,พันคน,ภาคใต้,2566
นายจ้าง,ไตรมาสที่ 2,55.67,สำนักงานสถิติแห่งชาติ,73,หญิง,พันคน,ภาคใต้,2566
ลูกจ้างรัฐบาล,ไตรมาสที่ 2,275.3,สำนักงานสถิติแห่งชาติ,74,หญิง,พันคน,ภาคใต้,2566
ลูกจ้างเอกชน,ไตรมาสที่ 2,820.61,สำนักงานสถิติแห่งชาติ,75,หญิง,พันคน,ภาคใต้,2566
ทำงานส่วนตัว,ไตรมาสที่ 2,784.97,สำนักงานสถิติแห่งชาติ,76,หญิง,พันคน,ภาคใต้,2566
ช่วยธุรกิจครอบครัว,ไตรมาสที่ 2,456.29,สำนักงานสถิติแห่งชาติ,77,หญิง,พันคน,ภาคใต้,2566
การรวมกลุ่ม,ไตรมาสที่ 2,2.01,สำนักงานสถิติแห่งชาติ,78,หญิง,พันคน,ภาคใต้,2566
นายจ้าง,ไตรมาสที่ 3,114.94,สำนักงานสถิติแห่งชาติ,79,ชาย,พันคน,กรุงเทพมหานคร,2566
ลูกจ้างรัฐบาล,ไตรมาสที่ 3,243.33,สำนักงานสถิติแห่งชาติ,80,ชาย,พันคน,กรุงเทพมหานคร,2566
ลูกจ้างเอกชน,ไตรมาสที่ 3,1699.56,สำนักงานสถิติแห่งชาติ,81,ชาย,พันคน,กรุงเทพมหานคร,2566
ทำงานส่วนตัว,ไตรมาสที่ 3,768.77,สำนักงานสถิติแห่งชาติ,82,ชาย,พันคน,กรุงเทพมหานคร,2566
ช่วยธุรกิจครอบครัว,ไตรมาสที่ 3,107.0,สำนักงานสถิติแห่งชาติ,83,ชาย,พันคน,กรุงเทพมหานคร,2566
การรวมกลุ่ม,ไตรมาสที่ 3,0.0,สำนักงานสถิติแห่งชาติ,84,ชาย,พันคน,กรุงเทพมหานคร,2566
นายจ้าง,ไตรมาสที่ 3,57.81,สำนักงานสถิติแห่งชาติ,85,หญิง,พันคน,กรุงเทพมหานคร,2566
ลูกจ้างรัฐบาล,ไตรมาสที่ 3,244.39,สำนักงานสถิติแห่งชาติ,86,หญิง,พันคน,กรุงเทพมหานคร,2566
ลูกจ้างเอกชน,ไตรมาสที่ 3,1727.73,สำนักงานสถิติแห่งชาติ,87,หญิง,พันคน,กรุงเทพมหานคร,2566
ทำงานส่วนตัว,ไตรมาสที่ 3,502.59,สำนักงานสถิติแห่งชาติ,88,หญิง,พันคน,กรุงเทพมหานคร,2566
ช่วยธุรกิจครอบครัว,ไตรมาสที่ 3,186.15,สำนักงานสถิติแห่งชาติ,89,หญิง,พันคน,กรุงเทพมหานคร,2566
การรวมกลุ่ม,ไตรมาสที่ 3,0.0,สำนักงานสถิติแห่งชาติ,90,หญิง,พันคน,กรุงเทพมหานคร,2566
นายจ้าง,ไตรมาสที่ 3,238.71,สำนักงานสถิติแห่งชาติ,91,ชาย,พันคน,ภาคกลาง,2566
ลูกจ้างรัฐบาล,ไตรมาสที่ 3,477.2,สำนักงานสถิติแห่งชาติ,92,ชาย,พันคน,ภาคกลาง,2566
ลูกจ้างเอกชน,ไตรมาสที่ 3,3805.62,สำนักงานสถิติแห่งชาติ,93,ชาย,พันคน,ภาคกลาง,2566
ทำงานส่วนตัว,ไตรมาสที่ 3,1930.53,สำนักงานสถิติแห่งชาติ,94,ชาย,พันคน,ภาคกลาง,2566
ช่วยธุรกิจครอบครัว,ไตรมาสที่ 3,599.7,สำนักงานสถิติแห่งชาติ,95,ชาย,พันคน,ภาคกลาง,2566
การรวมกลุ่ม,ไตรมาสที่ 3,1.16,สำนักงานสถิติแห่งชาติ,96,ชาย,พันคน,ภาคกลาง,2566
นายจ้าง,ไตรมาสที่ 3,85.02,สำนักงานสถิติแห่งชาติ,97,หญิง,พันคน,ภาคกลาง,2566
ลูกจ้างรัฐบาล,ไตรมาสที่ 3,575.06,สำนักงานสถิติแห่งชาติ,98,หญิง,พันคน,ภาคกลาง,2566
ลูกจ้างเอกชน,ไตรมาสที่ 3,3208.91,สำนักงานสถิติแห่งชาติ,99,หญิง,พันคน,ภาคกลาง,2566
ทำงานส่วนตัว,ไตรมาสที่ 3,1518.52,สำนักงานสถิติแห่งชาติ,100,หญิง,พันคน,ภาคกลาง,2566
ช่วยธุรกิจครอบครัว,ไตรมาสที่ 3,767.45,สำนักงานสถิติแห่งชาติ,101,หญิง,พันคน,ภาคกลาง,2566
การรวมกลุ่ม,ไตรมาสที่ 3,0.61,สำนักงานสถิติแห่งชาติ,102,หญิง,พันคน,ภาคกลาง,2566
นายจ้าง,ไตรมาสที่ 3,76.89,สำนักงานสถิติแห่งชาติ,103,ชาย,พันคน,ภาคเหนือ,2566
ลูกจ้างรัฐบาล,ไตรมาสที่ 3,299.41,สำนักงานสถิติแห่งชาติ,104,ชาย,พันคน,ภาคเหนือ,2566
ลูกจ้างเอกชน,ไตรมาสที่ 3,740.21,สำนักงานสถิติแห่งชาติ,105,ชาย,พันคน,ภาคเหนือ,2566
ทำงานส่วนตัว,ไตรมาสที่ 3,1715.17,สำนักงานสถิติแห่งชาติ,106,ชาย,พันคน,ภาคเหนือ,2566
ช่วยธุรกิจครอบครัว,ไตรมาสที่ 3,512.58,สำนักงานสถิติแห่งชาติ,107,ชาย,พันคน,ภาคเหนือ,2566
การรวมกลุ่ม,ไตรมาสที่ 3,0.94,สำนักงานสถิติแห่งชาติ,108,ชาย,พันคน,ภาคเหนือ,2566
นายจ้าง,ไตรมาสที่ 3,25.37,สำนักงานสถิติแห่งชาติ,109,หญิง,พันคน,ภาคเหนือ,2566
ลูกจ้างรัฐบาล,ไตรมาสที่ 3,324.88,สำนักงานสถิติแห่งชาติ,110,หญิง,พันคน,ภาคเหนือ,2566
ลูกจ้างเอกชน,ไตรมาสที่ 3,591.76,สำนักงานสถิติแห่งชาติ,111,หญิง,พันคน,ภาคเหนือ,2566
ทำงานส่วนตัว,ไตรมาสที่ 3,1049.63,สำนักงานสถิติแห่งชาติ,112,หญิง,พันคน,ภาคเหนือ,2566
ช่วยธุรกิจครอบครัว,ไตรมาสที่ 3,884.55,สำนักงานสถิติแห่งชาติ,113,หญิง,พันคน,ภาคเหนือ,2566
การรวมกลุ่ม,ไตรมาสที่ 3,0.42,สำนักงานสถิติแห่งชาติ,114,หญิง,พันคน,ภาคเหนือ,2566
นายจ้าง,ไตรมาสที่ 3,70.11,สำนักงานสถิติแห่งชาติ,115,ชาย,พันคน,ภาคตะวันออกเฉียงเหนือ,2566
ลูกจ้างรัฐบาล,ไตรมาสที่ 3,387.94,สำนักงานสถิติแห่งชาติ,116,ชาย,พันคน,ภาคตะวันออกเฉียงเหนือ,2566
ลูกจ้างเอกชน,ไตรมาสที่ 3,915.78,สำนักงานสถิติแห่งชาติ,117,ชาย,พันคน,ภาคตะวันออกเฉียงเหนือ,2566
ทำงานส่วนตัว,ไตรมาสที่ 3,2820.86,สำนักงานสถิติแห่งชาติ,118,ชาย,พันคน,ภาคตะวันออกเฉียงเหนือ,2566
ช่วยธุรกิจครอบครัว,ไตรมาสที่ 3,1006.33,สำนักงานสถิติแห่งชาติ,119,ชาย,พันคน,ภาคตะวันออกเฉียงเหนือ,2566
การรวมกลุ่ม,ไตรมาสที่ 3,12.67,สำนักงานสถิติแห่งชาติ,120,ชาย,พันคน,ภาคตะวันออกเฉียงเหนือ,2566
นายจ้าง,ไตรมาสที่ 3,21.91,สำนักงานสถิติแห่งชาติ,121,หญิง,พันคน,ภาคตะวันออกเฉียงเหนือ,2566
ลูกจ้างรัฐบาล,ไตรมาสที่ 3,473.24,สำนักงานสถิติแห่งชาติ,122,หญิง,พันคน,ภาคตะวันออกเฉียงเหนือ,2566
ลูกจ้างเอกชน,ไตรมาสที่ 3,687.18,สำนักงานสถิติแห่งชาติ,123,หญิง,พันคน,ภาคตะวันออกเฉียงเหนือ,2566
ทำงานส่วนตัว,ไตรมาสที่ 3,1678.15,สำนักงานสถิติแห่งชาติ,124,หญิง,พันคน,ภาคตะวันออกเฉียงเหนือ,2566
ช่วยธุรกิจครอบครัว,ไตรมาสที่ 3,1634.87,สำนักงานสถิติแห่งชาติ,125,หญิง,พันคน,ภาคตะวันออกเฉียงเหนือ,2566
การรวมกลุ่ม,ไตรมาสที่ 3,3.22,สำนักงานสถิติแห่งชาติ,126,หญิง,พันคน,ภาคตะวันออกเฉียงเหนือ,2566
นายจ้าง,ไตรมาสที่ 3,153.25,สำนักงานสถิติแห่งชาติ,127,ชาย,พันคน,ภาคใต้,2566
ลูกจ้างรัฐบาล,ไตรมาสที่ 3,231.77,สำนักงานสถิติแห่งชาติ,128,ชาย,พันคน,ภาคใต้,2566
ลูกจ้างเอกชน,ไตรมาสที่ 3,1094.48,สำนักงานสถิติแห่งชาติ,129,ชาย,พันคน,ภาคใต้,2566
ทำงานส่วนตัว,ไตรมาสที่ 3,1107.58,สำนักงานสถิติแห่งชาติ,130,ชาย,พันคน,ภาคใต้,2566
ช่วยธุรกิจครอบครัว,ไตรมาสที่ 3,336.13,สำนักงานสถิติแห่งชาติ,131,ชาย,พันคน,ภาคใต้,2566
การรวมกลุ่ม,ไตรมาสที่ 3,1.66,สำนักงานสถิติแห่งชาติ,132,ชาย,พันคน,ภาคใต้,2566
นายจ้าง,ไตรมาสที่ 3,60.65,สำนักงานสถิติแห่งชาติ,133,หญิง,พันคน,ภาคใต้,2566
ลูกจ้างรัฐบาล,ไตรมาสที่ 3,276.21,สำนักงานสถิติแห่งชาติ,134,หญิง,พันคน,ภาคใต้,2566
ลูกจ้างเอกชน,ไตรมาสที่ 3,809.34,สำนักงานสถิติแห่งชาติ,135,หญิง,พันคน,ภาคใต้,2566
ทำงานส่วนตัว,ไตรมาสที่ 3,747.89,สำนักงานสถิติแห่งชาติ,136,หญิง,พันคน,ภาคใต้,2566
ช่วยธุรกิจครอบครัว,ไตรมาสที่ 3,476.27,สำนักงานสถิติแห่งชาติ,137,หญิง,พันคน,ภาคใต้,2566
การรวมกลุ่ม,ไตรมาสที่ 3,1.27,สำนักงานสถิติแห่งชาติ,138,หญิง,พันคน,ภาคใต้,2566
นายจ้าง,ไตรมาสที่ 4,136.34,สำนักงานสถิติแห่งชาติ,139,ชาย,พันคน,กรุงเทพมหานคร,2566
ลูกจ้างรัฐบาล,ไตรมาสที่ 4,256.75,สำนักงานสถิติแห่งชาติ,140,ชาย,พันคน,กรุงเทพมหานคร,2566
ลูกจ้างเอกชน,ไตรมาสที่ 4,1720.4,สำนักงานสถิติแห่งชาติ,141,ชาย,พันคน,กรุงเทพมหานคร,2566
ทำงานส่วนตัว,ไตรมาสที่ 4,751.74,สำนักงานสถิติแห่งชาติ,142,ชาย,พันคน,กรุงเทพมหานคร,2566
ช่วยธุรกิจครอบครัว,ไตรมาสที่ 4,102.54,สำนักงานสถิติแห่งชาติ,143,ชาย,พันคน,กรุงเทพมหานคร,2566
การรวมกลุ่ม,ไตรมาสที่ 4,0.0,สำนักงานสถิติแห่งชาติ,144,ชาย,พันคน,กรุงเทพมหานคร,2566
นายจ้าง,ไตรมาสที่ 4,48.11,สำนักงานสถิติแห่งชาติ,145,หญิง,พันคน,กรุงเทพมหานคร,2566
ลูกจ้างรัฐบาล,ไตรมาสที่ 4,253.82,สำนักงานสถิติแห่งชาติ,146,หญิง,พันคน,กรุงเทพมหานคร,2566
ลูกจ้างเอกชน,ไตรมาสที่ 4,1764.95,สำนักงานสถิติแห่งชาติ,147,หญิง,พันคน,กรุงเทพมหานคร,2566
ทำงานส่วนตัว,ไตรมาสที่ 4,503.3,สำนักงานสถิติแห่งชาติ,148,หญิง,พันคน,กรุงเทพมหานคร,2566
ช่วยธุรกิจครอบครัว,ไตรมาสที่ 4,182.07,สำนักงานสถิติแห่งชาติ,149,หญิง,พันคน,กรุงเทพมหานคร,2566
การรวมกลุ่ม,ไตรมาสที่ 4,1.16,สำนักงานสถิติแห่งชาติ,150,หญิง,พันคน,กรุงเทพมหานคร,2566
นายจ้าง,ไตรมาสที่ 4,249.18,สำนักงานสถิติแห่งชาติ,151,ชาย,พันคน,ภาคกลาง,2566
ลูกจ้างรัฐบาล,ไตรมาสที่ 4,509.25,สำนักงานสถิติแห่งชาติ,152,ชาย,พันคน,ภาคกลาง,2566
ลูกจ้างเอกชน,ไตรมาสที่ 4,3776.43,สำนักงานสถิติแห่งชาติ,153,ชาย,พันคน,ภาคกลาง,2566
ทำงานส่วนตัว,ไตรมาสที่ 4,1974.89,สำนักงานสถิติแห่งชาติ,154,ชาย,พันคน,ภาคกลาง,2566
ช่วยธุรกิจครอบครัว,ไตรมาสที่ 4,596.61,สำนักงานสถิติแห่งชาติ,155,ชาย,พันคน,ภาคกลาง,2566
การรวมกลุ่ม,ไตรมาสที่ 4,0.0,สำนักงานสถิติแห่งชาติ,156,ชาย,พันคน,ภาคกลาง,2566
นายจ้าง,ไตรมาสที่ 4,83.24,สำนักงานสถิติแห่งชาติ,157,หญิง,พันคน,ภาคกลาง,2566
ลูกจ้างรัฐบาล,ไตรมาสที่ 4,606.44,สำนักงานสถิติแห่งชาติ,158,หญิง,พันคน,ภาคกลาง,2566
ลูกจ้างเอกชน,ไตรมาสที่ 4,3139.21,สำนักงานสถิติแห่งชาติ,159,หญิง,พันคน,ภาคกลาง,2566
ทำงานส่วนตัว,ไตรมาสที่ 4,1560.55,สำนักงานสถิติแห่งชาติ,160,หญิง,พันคน,ภาคกลาง,2566
ช่วยธุรกิจครอบครัว,ไตรมาสที่ 4,833.98,สำนักงานสถิติแห่งชาติ,161,หญิง,พันคน,ภาคกลาง,2566
การรวมกลุ่ม,ไตรมาสที่ 4,0.19,สำนักงานสถิติแห่งชาติ,162,หญิง,พันคน,ภาคกลาง,2566
นายจ้าง,ไตรมาสที่ 4,75.78,สำนักงานสถิติแห่งชาติ,163,ชาย,พันคน,ภาคเหนือ,2566
ลูกจ้างรัฐบาล,ไตรมาสที่ 4,300.53,สำนักงานสถิติแห่งชาติ,164,ชาย,พันคน,ภาคเหนือ,2566
ลูกจ้างเอกชน,ไตรมาสที่ 4,724.0,สำนักงานสถิติแห่งชาติ,165,ชาย,พันคน,ภาคเหนือ,2566
ทำงานส่วนตัว,ไตรมาสที่ 4,1682.45,สำนักงานสถิติแห่งชาติ,166,ชาย,พันคน,ภาคเหนือ,2566
ช่วยธุรกิจครอบครัว,ไตรมาสที่ 4,539.59,สำนักงานสถิติแห่งชาติ,167,ชาย,พันคน,ภาคเหนือ,2566
การรวมกลุ่ม,ไตรมาสที่ 4,0.62,สำนักงานสถิติแห่งชาติ,168,ชาย,พันคน,ภาคเหนือ,2566
นายจ้าง,ไตรมาสที่ 4,34.92,สำนักงานสถิติแห่งชาติ,169,หญิง,พันคน,ภาคเหนือ,2566
ลูกจ้างรัฐบาล,ไตรมาสที่ 4,326.98,สำนักงานสถิติแห่งชาติ,170,หญิง,พันคน,ภาคเหนือ,2566
ลูกจ้างเอกชน,ไตรมาสที่ 4,589.82,สำนักงานสถิติแห่งชาติ,171,หญิง,พันคน,ภาคเหนือ,2566
ทำงานส่วนตัว,ไตรมาสที่ 4,1071.52,สำนักงานสถิติแห่งชาติ,172,หญิง,พันคน,ภาคเหนือ,2566
ช่วยธุรกิจครอบครัว,ไตรมาสที่ 4,861.57,สำนักงานสถิติแห่งชาติ,173,หญิง,พันคน,ภาคเหนือ,2566
การรวมกลุ่ม,ไตรมาสที่ 4,0.59,สำนักงานสถิติแห่งชาติ,174,หญิง,พันคน,ภาคเหนือ,2566
นายจ้าง,ไตรมาสที่ 4,83.22,สำนักงานสถิติแห่งชาติ,175,ชาย,พันคน,ภาคตะวันออกเฉียงเหนือ,2566
ลูกจ้างรัฐบาล,ไตรมาสที่ 4,404.79,สำนักงานสถิติแห่งชาติ,176,ชาย,พันคน,ภาคตะวันออกเฉียงเหนือ,2566
ลูกจ้างเอกชน,ไตรมาสที่ 4,1049.4,สำนักงานสถิติแห่งชาติ,177,ชาย,พันคน,ภาคตะวันออกเฉียงเหนือ,2566
ทำงานส่วนตัว,ไตรมาสที่ 4,2702.73,สำนักงานสถิติแห่งชาติ,178,ชาย,พันคน,ภาคตะวันออกเฉียงเหนือ,2566
ช่วยธุรกิจครอบครัว,ไตรมาสที่ 4,955.37,สำนักงานสถิติแห่งชาติ,179,ชาย,พันคน,ภาคตะวันออกเฉียงเหนือ,2566
การรวมกลุ่ม,ไตรมาสที่ 4,16.53,สำนักงานสถิติแห่งชาติ,180,ชาย,พันคน,ภาคตะวันออกเฉียงเหนือ,2566
