VALUE,AREA,SOURCE,_id,UNIT,REGION,YEAR
363.65,1) ในเขตเทศบาล,สำนักงานสถิติแห่งชาติ,36,พันคน,5) ภาคใต้,2566
896.68,2) นอกเขตเทศบาล,สำนักงานสถิติแห่งชาติ,37,พันคน,5) ภาคใต้,2566
422.5,ในเขตเทศบาล,สำนักงานสถิติแห่งชาติ,38,พันคน,กรุงเทพมหานคร,2567
512.09,ในเขตเทศบาล,สำนักงานสถิติแห่งชาติ,39,พันคน,ภาคกลาง,2567
754.83,นอกเขตเทศบาล,สำนักงานสถิติแห่งชาติ,40,พันคน,ภาคกลาง,2567
374.84,ในเขตเทศบาล,สำนักงานสถิติแห่งชาติ,41,พันคน,ภาคเหนือ,2567
822.74,นอกเขตเทศบาล,สำนักงานสถิติแห่งชาติ,42,พันคน,ภาคเหนือ,2567
443.18,ในเขตเทศบาล,สำนักงานสถิติแห่งชาติ,43,พันคน,ภาคตะวันออกเฉียงเหนือ,2567
1264.16,นอกเขตเทศบาล,สำนักงานสถิติแห่งชาติ,44,พันคน,ภาคตะวันออกเฉียงเหนือ,2567
200.47,ในเขตเทศบาล,สำนักงานสถิติแห่งชาติ,45,พันคน,ภาคใต้,2567
469.38,นอกเขตเทศบาล,สำนักงานสถิติแห่งชาติ,46,พันคน,ภาคใต้,2567
