เดือน,ที่มา,จำนวนคนงาน,_id,ปี,อำเภอ,จังหวัด,หน่วย
พฤษภาคม,สนง.อุตสาหกรรมจังหวัดนราธิวาส,14,87,2567,ยี่งอ,นราธิวาส,คน
พฤษภาคม,สนง.อุตสาหกรรมจังหวัดนราธิวาส,17,88,2567,ระแงะ,นราธิวาส,คน
พฤษภาคม,สนง.อุตสาหกรรมจังหวัดนราธิวาส,13,89,2567,รือเสาะ,นราธิวาส,คน
พฤษภาคม,สนง.อุตสาหกรรมจังหวัดนราธิวาส,7,90,2567,ศรีสาคร,นราธิวาส,คน
พฤษภาคม,สนง.อุตสาหกรรมจังหวัดนราธิวาส,0,91,2567,สุคีริน,นราธิวาส,คน
พฤษภาคม,สนง.อุตสาหกรรมจังหวัดนราธิวาส,10,92,2567,แว้ง,นราธิวาส,คน
พฤษภาคม,สนง.อุตสาหกรรมจังหวัดนราธิวาส,28,93,2567,สุไหงโก-ลก,นราธิวาส,คน
พฤษภาคม,สนง.อุตสาหกรรมจังหวัดนราธิวาส,5,94,2567,สุไหงปาดี,นราธิวาส,คน
พฤษภาคม,สนง.อุตสาหกรรมจังหวัดนราธิวาส,5,95,2567,จะแนะ,นราธิวาส,คน
พฤษภาคม,สนง.อุตสาหกรรมจังหวัดนราธิวาส,4,96,2567,เจาะไอร้อง,นราธิวาส,คน
มิถุนายน,สนง.อุตสาหกรรมจังหวัดนราธิวาส,54,97,2567,เมือง,นราธิวาส,คน
มิถุนายน,สนง.อุตสาหกรรมจังหวัดนราธิวาส,17,98,2567,ตากใบ,นราธิวาส,คน
มิถุนายน,สนง.อุตสาหกรรมจังหวัดนราธิวาส,2,99,2567,บาเจาะ,นราธิวาส,คน
มิถุนายน,สนง.อุตสาหกรรมจังหวัดนราธิวาส,14,100,2567,ยี่งอ,นราธิวาส,คน
มิถุนายน,สนง.อุตสาหกรรมจังหวัดนราธิวาส,18,101,2567,ระแงะ,นราธิวาส,คน
มิถุนายน,สนง.อุตสาหกรรมจังหวัดนราธิวาส,13,102,2567,รือเสาะ,นราธิวาส,คน
มิถุนายน,สนง.อุตสาหกรรมจังหวัดนราธิวาส,7,103,2567,ศรีสาคร,นราธิวาส,คน
มิถุนายน,สนง.อุตสาหกรรมจังหวัดนราธิวาส,0,104,2567,สุคีริน,นราธิวาส,คน
มิถุนายน,สนง.อุตสาหกรรมจังหวัดนราธิวาส,10,105,2567,แว้ง,นราธิวาส,คน
มิถุนายน,สนง.อุตสาหกรรมจังหวัดนราธิวาส,28,106,2567,สุไหงโก-ลก,นราธิวาส,คน
มิถุนายน,สนง.อุตสาหกรรมจังหวัดนราธิวาส,5,107,2567,สุไหงปาดี,นราธิวาส,คน
มิถุนายน,สนง.อุตสาหกรรมจังหวัดนราธิวาส,5,108,2567,จะแนะ,นราธิวาส,คน
มิถุนายน,สนง.อุตสาหกรรมจังหวัดนราธิวาส,4,109,2567,เจาะไอร้อง,นราธิวาส,คน
กรกฎาคม,สนง.อุตสาหกรรมจังหวัดนราธิวาส,54,110,2567,เมือง,นราธิวาส,คน
กรกฎาคม,สนง.อุตสาหกรรมจังหวัดนราธิวาส,18,111,2567,ตากใบ,นราธิวาส,คน
กรกฎาคม,สนง.อุตสาหกรรมจังหวัดนราธิวาส,2,112,2567,บาเจาะ,นราธิวาส,คน
กรกฎาคม,สนง.อุตสาหกรรมจังหวัดนราธิวาส,14,113,2567,ยี่งอ,นราธิวาส,คน
กรกฎาคม,สนง.อุตสาหกรรมจังหวัดนราธิวาส,17,114,2567,ระแงะ,นราธิวาส,คน
กรกฎาคม,สนง.อุตสาหกรรมจังหวัดนราธิวาส,13,115,2567,รือเสาะ,นราธิวาส,คน
กรกฎาคม,สนง.อุตสาหกรรมจังหวัดนราธิวาส,7,116,2567,ศรีสาคร,นราธิวาส,คน
กรกฎาคม,สนง.อุตสาหกรรมจังหวัดนราธิวาส,0,117,2567,สุคีริน,นราธิวาส,คน
กรกฎาคม,สนง.อุตสาหกรรมจังหวัดนราธิวาส,10,118,2567,แว้ง,นราธิวาส,คน
กรกฎาคม,สนง.อุตสาหกรรมจังหวัดนราธิวาส,28,119,2567,สุไหงโก-ลก,นราธิวาส,คน
กรกฎาคม,สนง.อุตสาหกรรมจังหวัดนราธิวาส,5,120,2567,สุไหงปาดี,นราธิวาส,คน
กรกฎาคม,สนง.อุตสาหกรรมจังหวัดนราธิวาส,5,121,2567,จะแนะ,นราธิวาส,คน
กรกฎาคม,สนง.อุตสาหกรรมจังหวัดนราธิวาส,4,122,2567,เจาะไอร้อง,นราธิวาส,คน
สิงหาคม,สนง.อุตสาหกรรมจังหวัดนราธิวาส,54,123,2567,เมือง,นราธิวาส,คน
สิงหาคม,สนง.อุตสาหกรรมจังหวัดนราธิวาส,18,124,2567,ตากใบ,นราธิวาส,คน
สิงหาคม,สนง.อุตสาหกรรมจังหวัดนราธิวาส,2,125,2567,บาเจาะ,นราธิวาส,คน
สิงหาคม,สนง.อุตสาหกรรมจังหวัดนราธิวาส,14,126,2567,ยี่งอ,นราธิวาส,คน
สิงหาคม,สนง.อุตสาหกรรมจังหวัดนราธิวาส,17,127,2567,ระแงะ,นราธิวาส,คน
สิงหาคม,สนง.อุตสาหกรรมจังหวัดนราธิวาส,13,128,2567,รือเสาะ,นราธิวาส,คน
สิงหาคม,สนง.อุตสาหกรรมจังหวัดนราธิวาส,7,129,2567,ศรีสาคร,นราธิวาส,คน
สิงหาคม,สนง.อุตสาหกรรมจังหวัดนราธิวาส,0,130,2567,สุคีริน,นราธิวาส,คน
สิงหาคม,สนง.อุตสาหกรรมจังหวัดนราธิวาส,10,131,2567,แว้ง,นราธิวาส,คน
สิงหาคม,สนง.อุตสาหกรรมจังหวัดนราธิวาส,28,132,2567,สุไหงโก-ลก,นราธิวาส,คน
สิงหาคม,สนง.อุตสาหกรรมจังหวัดนราธิวาส,5,133,2567,สุไหงปาดี,นราธิวาส,คน
สิงหาคม,สนง.อุตสาหกรรมจังหวัดนราธิวาส,5,134,2567,จะแนะ,นราธิวาส,คน
สิงหาคม,สนง.อุตสาหกรรมจังหวัดนราธิวาส,4,135,2567,เจาะไอร้อง,นราธิวาส,คน
กันยายน,สนง.อุตสาหกรรมจังหวัดนราธิวาส,54,136,2567,เมือง,นราธิวาส,คน
กันยายน,สนง.อุตสาหกรรมจังหวัดนราธิวาส,18,137,2567,ตากใบ,นราธิวาส,คน
กันยายน,สนง.อุตสาหกรรมจังหวัดนราธิวาส,2,138,2567,บาเจาะ,นราธิวาส,คน
กันยายน,สนง.อุตสาหกรรมจังหวัดนราธิวาส,14,139,2567,ยี่งอ,นราธิวาส,คน
กันยายน,สนง.อุตสาหกรรมจังหวัดนราธิวาส,17,140,2567,ระแงะ,นราธิวาส,คน
กันยายน,สนง.อุตสาหกรรมจังหวัดนราธิวาส,13,141,2567,รือเสาะ,นราธิวาส,คน
กันยายน,สนง.อุตสาหกรรมจังหวัดนราธิวาส,7,142,2567,ศรีสาคร,นราธิวาส,คน
กันยายน,สนง.อุตสาหกรรมจังหวัดนราธิวาส,0,143,2567,สุคีริน,นราธิวาส,คน
กันยายน,สนง.อุตสาหกรรมจังหวัดนราธิวาส,10,144,2567,แว้ง,นราธิวาส,คน
กันยายน,สนง.อุตสาหกรรมจังหวัดนราธิวาส,28,145,2567,สุไหงโก-ลก,นราธิวาส,คน
กันยายน,สนง.อุตสาหกรรมจังหวัดนราธิวาส,5,146,2567,สุไหงปาดี,นราธิวาส,คน
กันยายน,สนง.อุตสาหกรรมจังหวัดนราธิวาส,5,147,2567,จะแนะ,นราธิวาส,คน
กันยายน,สนง.อุตสาหกรรมจังหวัดนราธิวาส,4,148,2567,เจาะไอร้อง,นราธิวาส,คน
ตุลาคม,สนง.อุตสาหกรรมจังหวัดนราธิวาส,54,149,2567,เมือง,นราธิวาส,คน
ตุลาคม,สนง.อุตสาหกรรมจังหวัดนราธิวาส,18,150,2567,ตากใบ,นราธิวาส,คน
ตุลาคม,สนง.อุตสาหกรรมจังหวัดนราธิวาส,2,151,2567,บาเจาะ,นราธิวาส,คน
ตุลาคม,สนง.อุตสาหกรรมจังหวัดนราธิวาส,14,152,2567,ยี่งอ,นราธิวาส,คน
ตุลาคม,สนง.อุตสาหกรรมจังหวัดนราธิวาส,17,153,2567,ระแงะ,นราธิวาส,คน
ตุลาคม,สนง.อุตสาหกรรมจังหวัดนราธิวาส,13,154,2567,รือเสาะ,นราธิวาส,คน
ตุลาคม,สนง.อุตสาหกรรมจังหวัดนราธิวาส,7,155,2567,ศรีสาคร,นราธิวาส,คน
ตุลาคม,สนง.อุตสาหกรรมจังหวัดนราธิวาส,0,156,2567,สุคีริน,นราธิวาส,คน
ตุลาคม,สนง.อุตสาหกรรมจังหวัดนราธิวาส,10,157,2567,แว้ง,นราธิวาส,คน
ตุลาคม,สนง.อุตสาหกรรมจังหวัดนราธิวาส,28,158,2567,สุไหงโก-ลก,นราธิวาส,คน
ตุลาคม,สนง.อุตสาหกรรมจังหวัดนราธิวาส,5,159,2567,สุไหงปาดี,นราธิวาส,คน
ตุลาคม,สนง.อุตสาหกรรมจังหวัดนราธิวาส,5,160,2567,จะแนะ,นราธิวาส,คน
ตุลาคม,สนง.อุตสาหกรรมจังหวัดนราธิวาส,4,161,2567,เจาะไอร้อง,นราธิวาส,คน
พฤศจิกายน,สนง.อุตสาหกรรมจังหวัดนราธิวาส,54,162,2567,เมือง,นราธิวาส,คน
พฤศจิกายน,สนง.อุตสาหกรรมจังหวัดนราธิวาส,18,163,2567,ตากใบ,นราธิวาส,คน
พฤศจิกายน,สนง.อุตสาหกรรมจังหวัดนราธิวาส,2,164,2567,บาเจาะ,นราธิวาส,คน
พฤศจิกายน,สนง.อุตสาหกรรมจังหวัดนราธิวาส,14,165,2567,ยี่งอ,นราธิวาส,คน
พฤศจิกายน,สนง.อุตสาหกรรมจังหวัดนราธิวาส,17,166,2567,ระแงะ,นราธิวาส,คน
พฤศจิกายน,สนง.อุตสาหกรรมจังหวัดนราธิวาส,13,167,2567,รือเสาะ,นราธิวาส,คน
พฤศจิกายน,สนง.อุตสาหกรรมจังหวัดนราธิวาส,7,168,2567,ศรีสาคร,นราธิวาส,คน
พฤศจิกายน,สนง.อุตสาหกรรมจังหวัดนราธิวาส,0,169,2567,สุคีริน,นราธิวาส,คน
พฤศจิกายน,สนง.อุตสาหกรรมจังหวัดนราธิวาส,10,170,2567,แว้ง,นราธิวาส,คน
พฤศจิกายน,สนง.อุตสาหกรรมจังหวัดนราธิวาส,28,171,2567,สุไหงโก-ลก,นราธิวาส,คน
พฤศจิกายน,สนง.อุตสาหกรรมจังหวัดนราธิวาส,5,172,2567,สุไหงปาดี,นราธิวาส,คน
พฤศจิกายน,สนง.อุตสาหกรรมจังหวัดนราธิวาส,5,173,2567,จะแนะ,นราธิวาส,คน
พฤศจิกายน,สนง.อุตสาหกรรมจังหวัดนราธิวาส,4,174,2567,เจาะไอร้อง,นราธิวาส,คน
ธันวาคม,สนง.อุตสาหกรรมจังหวัดนราธิวาส,54,175,2567,เมือง,นราธิวาส,คน
ธันวาคม,สนง.อุตสาหกรรมจังหวัดนราธิวาส,18,176,2567,ตากใบ,นราธิวาส,คน
ธันวาคม,สนง.อุตสาหกรรมจังหวัดนราธิวาส,2,177,2567,บาเจาะ,นราธิวาส,คน
ธันวาคม,สนง.อุตสาหกรรมจังหวัดนราธิวาส,14,178,2567,ยี่งอ,นราธิวาส,คน
ธันวาคม,สนง.อุตสาหกรรมจังหวัดนราธิวาส,17,179,2567,ระแงะ,นราธิวาส,คน
ธันวาคม,สนง.อุตสาหกรรมจังหวัดนราธิวาส,13,180,2567,รือเสาะ,นราธิวาส,คน
ธันวาคม,สนง.อุตสาหกรรมจังหวัดนราธิวาส,7,181,2567,ศรีสาคร,นราธิวาส,คน
ธันวาคม,สนง.อุตสาหกรรมจังหวัดนราธิวาส,0,182,2567,สุคีริน,นราธิวาส,คน
ธันวาคม,สนง.อุตสาหกรรมจังหวัดนราธิวาส,10,183,2567,แว้ง,นราธิวาส,คน
ธันวาคม,สนง.อุตสาหกรรมจังหวัดนราธิวาส,28,184,2567,สุไหงโก-ลก,นราธิวาส,คน
ธันวาคม,สนง.อุตสาหกรรมจังหวัดนราธิวาส,5,185,2567,สุไหงปาดี,นราธิวาส,คน
ธันวาคม,สนง.อุตสาหกรรมจังหวัดนราธิวาส,5,186,2567,จะแนะ,นราธิวาส,คน
ธันวาคม,สนง.อุตสาหกรรมจังหวัดนราธิวาส,4,187,2567,เจาะไอร้อง,นราธิวาส,คน
มกราคม,สนง.อุตสาหกรรมจังหวัดนราธิวาส,88,188,2568,เมือง,นราธิวาส,คน
มกราคม,สนง.อุตสาหกรรมจังหวัดนราธิวาส,18,189,2568,ตากใบ,นราธิวาส,คน
มกราคม,สนง.อุตสาหกรรมจังหวัดนราธิวาส,2,190,2568,บาเจาะ,นราธิวาส,คน
มกราคม,สนง.อุตสาหกรรมจังหวัดนราธิวาส,15,191,2568,ยี่งอ,นราธิวาส,คน
มกราคม,สนง.อุตสาหกรรมจังหวัดนราธิวาส,17,192,2568,ระแงะ,นราธิวาส,คน
มกราคม,สนง.อุตสาหกรรมจังหวัดนราธิวาส,13,193,2568,รือเสาะ,นราธิวาส,คน
มกราคม,สนง.อุตสาหกรรมจังหวัดนราธิวาส,7,194,2568,ศรีสาคร,นราธิวาส,คน
มกราคม,สนง.อุตสาหกรรมจังหวัดนราธิวาส,0,195,2568,สุคีริน,นราธิวาส,คน
มกราคม,สนง.อุตสาหกรรมจังหวัดนราธิวาส,10,196,2568,แว้ง,นราธิวาส,คน
มกราคม,สนง.อุตสาหกรรมจังหวัดนราธิวาส,28,197,2568,สุไหงโก-ลก,นราธิวาส,คน
มกราคม,สนง.อุตสาหกรรมจังหวัดนราธิวาส,5,198,2568,สุไหงปาดี,นราธิวาส,คน
มกราคม,สนง.อุตสาหกรรมจังหวัดนราธิวาส,5,199,2568,จะแนะ,นราธิวาส,คน
มกราคม,สนง.อุตสาหกรรมจังหวัดนราธิวาส,4,200,2568,เจาะไอร้อง,นราธิวาส,คน
กุมภาพันธ์,สนง.อุตสาหกรรมจังหวัดนราธิวาส,55,201,2568,เมือง,นราธิวาส,คน
กุมภาพันธ์,สนง.อุตสาหกรรมจังหวัดนราธิวาส,18,202,2568,ตากใบ,นราธิวาส,คน
กุมภาพันธ์,สนง.อุตสาหกรรมจังหวัดนราธิวาส,2,203,2568,บาเจาะ,นราธิวาส,คน
กุมภาพันธ์,สนง.อุตสาหกรรมจังหวัดนราธิวาส,15,204,2568,ยี่งอ,นราธิวาส,คน
กุมภาพันธ์,สนง.อุตสาหกรรมจังหวัดนราธิวาส,17,205,2568,ระแงะ,นราธิวาส,คน
กุมภาพันธ์,สนง.อุตสาหกรรมจังหวัดนราธิวาส,14,206,2568,รือเสาะ,นราธิวาส,คน
กุมภาพันธ์,สนง.อุตสาหกรรมจังหวัดนราธิวาส,7,207,2568,ศรีสาคร,นราธิวาส,คน
กุมภาพันธ์,สนง.อุตสาหกรรมจังหวัดนราธิวาส,0,208,2568,สุคีริน,นราธิวาส,คน
กุมภาพันธ์,สนง.อุตสาหกรรมจังหวัดนราธิวาส,10,209,2568,แว้ง,นราธิวาส,คน
กุมภาพันธ์,สนง.อุตสาหกรรมจังหวัดนราธิวาส,28,210,2568,สุไหงโก-ลก,นราธิวาส,คน
กุมภาพันธ์,สนง.อุตสาหกรรมจังหวัดนราธิวาส,5,211,2568,สุไหงปาดี,นราธิวาส,คน
กุมภาพันธ์,สนง.อุตสาหกรรมจังหวัดนราธิวาส,5,212,2568,จะแนะ,นราธิวาส,คน
กุมภาพันธ์,สนง.อุตสาหกรรมจังหวัดนราธิวาส,4,213,2568,เจาะไอร้อง,นราธิวาส,คน
มีนาคม,สนง.อุตสาหกรรมจังหวัดนราธิวาส,55,214,2568,เมือง,นราธิวาส,คน
มีนาคม,สนง.อุตสาหกรรมจังหวัดนราธิวาส,18,215,2568,ตากใบ,นราธิวาส,คน
มีนาคม,สนง.อุตสาหกรรมจังหวัดนราธิวาส,2,216,2568,บาเจาะ,นราธิวาส,คน
มีนาคม,สนง.อุตสาหกรรมจังหวัดนราธิวาส,14,217,2568,ยี่งอ,นราธิวาส,คน
มีนาคม,สนง.อุตสาหกรรมจังหวัดนราธิวาส,17,218,2568,ระแงะ,นราธิวาส,คน
มีนาคม,สนง.อุตสาหกรรมจังหวัดนราธิวาส,14,219,2568,รือเสาะ,นราธิวาส,คน
มีนาคม,สนง.อุตสาหกรรมจังหวัดนราธิวาส,7,220,2568,ศรีสาคร,นราธิวาส,คน
มีนาคม,สนง.อุตสาหกรรมจังหวัดนราธิวาส,0,221,2568,สุคีริน,นราธิวาส,คน
มีนาคม,สนง.อุตสาหกรรมจังหวัดนราธิวาส,10,222,2568,แว้ง,นราธิวาส,คน
มีนาคม,สนง.อุตสาหกรรมจังหวัดนราธิวาส,28,223,2568,สุไหงโก-ลก,นราธิวาส,คน
มีนาคม,สนง.อุตสาหกรรมจังหวัดนราธิวาส,5,224,2568,สุไหงปาดี,นราธิวาส,คน
มีนาคม,สนง.อุตสาหกรรมจังหวัดนราธิวาส,5,225,2568,จะแนะ,นราธิวาส,คน
มีนาคม,สนง.อุตสาหกรรมจังหวัดนราธิวาส,4,226,2568,เจาะไอร้อง,นราธิวาส,คน
เมษายน,สนง.อุตสาหกรรมจังหวัดนราธิวาส,57,227,2568,เมือง,นราธิวาส,คน
เมษายน,สนง.อุตสาหกรรมจังหวัดนราธิวาส,21,228,2568,ตากใบ,นราธิวาส,คน
