﻿year,level_of_edu,quarter,_id,area,region,value,unit,source
2567,09. อุดมศึกษา สายวิชาชีพ,ไตรมาส 1,36,2) นอกเขตเทศบาล,ทั่วราชอาณาจักร,84.24,ร้อยละ,สำนักงานสถิติแห่งชาติ
2567,06. มัธยมศึกษาตอนปลาย สายอาชีวศึกษา,ไตรมาส 1,37,รวม,2) ภาคกลาง,70.84,ร้อยละ,สำนักงานสถิติแห่งชาติ
2567,07. มัธยมศึกษาตอนปลาย สายวิชาการศึกษา,ไตรมาส 1,38,รวม,2) ภาคกลาง,80.0,ร้อยละ,สำนักงานสถิติแห่งชาติ
2567,08. อุดมศึกษา สายวิชาการ,ไตรมาส 1,39,รวม,2) ภาคกลาง,81.79,ร้อยละ,สำนักงานสถิติแห่งชาติ
2567,09. อุดมศึกษา สายวิชาชีพ,ไตรมาส 1,40,รวม,2) ภาคกลาง,84.7,ร้อยละ,สำนักงานสถิติแห่งชาติ
2567,10. อุดมศึกษา สายวิชาการศึกษา,ไตรมาส 1,41,รวม,2) ภาคกลาง,64.52,ร้อยละ,สำนักงานสถิติแห่งชาติ
2567,11. อื่น ๆ,ไตรมาส 1,42,รวม,2) ภาคกลาง,95.79,ร้อยละ,สำนักงานสถิติแห่งชาติ
2567,12. ไม่ทราบ,ไตรมาส 1,43,รวม,2) ภาคกลาง,90.78,ร้อยละ,สำนักงานสถิติแห่งชาติ
2567,รวม,ไตรมาส 1,44,1) ในเขตเทศบาล,2) ภาคกลาง,70.36,ร้อยละ,สำนักงานสถิติแห่งชาติ
2567,01. ไม่มีการศึกษา,ไตรมาส 1,45,1) ในเขตเทศบาล,2) ภาคกลาง,59.66,ร้อยละ,สำนักงานสถิติแห่งชาติ
2567,02. ต่ำกว่าประถมศึกษา,ไตรมาส 1,46,1) ในเขตเทศบาล,2) ภาคกลาง,41.96,ร้อยละ,สำนักงานสถิติแห่งชาติ
2567,03. ประถมศึกษา,ไตรมาส 1,47,1) ในเขตเทศบาล,2) ภาคกลาง,75.39,ร้อยละ,สำนักงานสถิติแห่งชาติ
2567,04. มัธยมศึกษาตอนต้น,ไตรมาส 1,48,1) ในเขตเทศบาล,2) ภาคกลาง,68.55,ร้อยละ,สำนักงานสถิติแห่งชาติ
2567,05. มัธยมศึกษาตอนปลาย สายสามัญ,ไตรมาส 1,49,1) ในเขตเทศบาล,2) ภาคกลาง,73.57,ร้อยละ,สำนักงานสถิติแห่งชาติ
2567,06. มัธยมศึกษาตอนปลาย สายอาชีวศึกษา,ไตรมาส 1,50,1) ในเขตเทศบาล,2) ภาคกลาง,67.55,ร้อยละ,สำนักงานสถิติแห่งชาติ
2567,07. มัธยมศึกษาตอนปลาย สายวิชาการศึกษา,ไตรมาส 1,51,1) ในเขตเทศบาล,2) ภาคกลาง,88.46,ร้อยละ,สำนักงานสถิติแห่งชาติ
2567,08. อุดมศึกษา สายวิชาการ,ไตรมาส 1,52,1) ในเขตเทศบาล,2) ภาคกลาง,79.6,ร้อยละ,สำนักงานสถิติแห่งชาติ
2567,09. อุดมศึกษา สายวิชาชีพ,ไตรมาส 1,53,1) ในเขตเทศบาล,2) ภาคกลาง,82.81,ร้อยละ,สำนักงานสถิติแห่งชาติ
2567,10. อุดมศึกษา สายวิชาการศึกษา,ไตรมาส 1,54,1) ในเขตเทศบาล,2) ภาคกลาง,57.66,ร้อยละ,สำนักงานสถิติแห่งชาติ
2567,11. อื่น ๆ,ไตรมาส 1,55,1) ในเขตเทศบาล,2) ภาคกลาง,94.54,ร้อยละ,สำนักงานสถิติแห่งชาติ
2567,12. ไม่ทราบ,ไตรมาส 1,56,1) ในเขตเทศบาล,2) ภาคกลาง,89.66,ร้อยละ,สำนักงานสถิติแห่งชาติ
2567,รวม,ไตรมาส 1,57,2) นอกเขตเทศบาล,2) ภาคกลาง,70.87,ร้อยละ,สำนักงานสถิติแห่งชาติ
2567,01. ไม่มีการศึกษา,ไตรมาส 1,58,2) นอกเขตเทศบาล,2) ภาคกลาง,53.59,ร้อยละ,สำนักงานสถิติแห่งชาติ
2567,02. ต่ำกว่าประถมศึกษา,ไตรมาส 1,59,2) นอกเขตเทศบาล,2) ภาคกลาง,45.34,ร้อยละ,สำนักงานสถิติแห่งชาติ
2567,03. ประถมศึกษา,ไตรมาส 1,60,2) นอกเขตเทศบาล,2) ภาคกลาง,75.74,ร้อยละ,สำนักงานสถิติแห่งชาติ
2567,04. มัธยมศึกษาตอนต้น,ไตรมาส 1,61,2) นอกเขตเทศบาล,2) ภาคกลาง,69.38,ร้อยละ,สำนักงานสถิติแห่งชาติ
2567,05. มัธยมศึกษาตอนปลาย สายสามัญ,ไตรมาส 1,62,2) นอกเขตเทศบาล,2) ภาคกลาง,75.58,ร้อยละ,สำนักงานสถิติแห่งชาติ
2567,06. มัธยมศึกษาตอนปลาย สายอาชีวศึกษา,ไตรมาส 1,63,2) นอกเขตเทศบาล,2) ภาคกลาง,74.46,ร้อยละ,สำนักงานสถิติแห่งชาติ
2567,07. มัธยมศึกษาตอนปลาย สายวิชาการศึกษา,ไตรมาส 1,64,2) นอกเขตเทศบาล,2) ภาคกลาง,70.83,ร้อยละ,สำนักงานสถิติแห่งชาติ
2567,08. อุดมศึกษา สายวิชาการ,ไตรมาส 1,65,2) นอกเขตเทศบาล,2) ภาคกลาง,84.47,ร้อยละ,สำนักงานสถิติแห่งชาติ
2567,09. อุดมศึกษา สายวิชาชีพ,ไตรมาส 1,66,2) นอกเขตเทศบาล,2) ภาคกลาง,86.45,ร้อยละ,สำนักงานสถิติแห่งชาติ
2567,10. อุดมศึกษา สายวิชาการศึกษา,ไตรมาส 1,67,2) นอกเขตเทศบาล,2) ภาคกลาง,72.32,ร้อยละ,สำนักงานสถิติแห่งชาติ
2567,11. อื่น ๆ,ไตรมาส 1,68,2) นอกเขตเทศบาล,2) ภาคกลาง,96.79,ร้อยละ,สำนักงานสถิติแห่งชาติ
2567,12. ไม่ทราบ,ไตรมาส 1,69,2) นอกเขตเทศบาล,2) ภาคกลาง,93.54,ร้อยละ,สำนักงานสถิติแห่งชาติ
2567,รวม,ไตรมาส 1,70,รวม,3) ภาคเหนือ,65.06,ร้อยละ,สำนักงานสถิติแห่งชาติ
2567,01. ไม่มีการศึกษา,ไตรมาส 1,71,รวม,3) ภาคเหนือ,51.02,ร้อยละ,สำนักงานสถิติแห่งชาติ
2567,02. ต่ำกว่าประถมศึกษา,ไตรมาส 1,72,รวม,3) ภาคเหนือ,50.39,ร้อยละ,สำนักงานสถิติแห่งชาติ
2567,03. ประถมศึกษา,ไตรมาส 1,73,รวม,3) ภาคเหนือ,74.17,ร้อยละ,สำนักงานสถิติแห่งชาติ
2567,04. มัธยมศึกษาตอนต้น,ไตรมาส 1,74,รวม,3) ภาคเหนือ,62.33,ร้อยละ,สำนักงานสถิติแห่งชาติ
2567,05. มัธยมศึกษาตอนปลาย สายสามัญ,ไตรมาส 1,75,รวม,3) ภาคเหนือ,72.59,ร้อยละ,สำนักงานสถิติแห่งชาติ
2567,06. มัธยมศึกษาตอนปลาย สายอาชีวศึกษา,ไตรมาส 1,76,รวม,3) ภาคเหนือ,65.86,ร้อยละ,สำนักงานสถิติแห่งชาติ
2567,07. มัธยมศึกษาตอนปลาย สายวิชาการศึกษา,ไตรมาส 1,77,รวม,3) ภาคเหนือ,89.47,ร้อยละ,สำนักงานสถิติแห่งชาติ
2567,08. อุดมศึกษา สายวิชาการ,ไตรมาส 1,78,รวม,3) ภาคเหนือ,81.35,ร้อยละ,สำนักงานสถิติแห่งชาติ
2567,09. อุดมศึกษา สายวิชาชีพ,ไตรมาส 1,79,รวม,3) ภาคเหนือ,83.98,ร้อยละ,สำนักงานสถิติแห่งชาติ
2567,10. อุดมศึกษา สายวิชาการศึกษา,ไตรมาส 1,80,รวม,3) ภาคเหนือ,69.64,ร้อยละ,สำนักงานสถิติแห่งชาติ
2567,11. อื่น ๆ,ไตรมาส 1,81,รวม,3) ภาคเหนือ,60.0,ร้อยละ,สำนักงานสถิติแห่งชาติ
2567,12. ไม่ทราบ,ไตรมาส 1,82,รวม,3) ภาคเหนือ,68.89,ร้อยละ,สำนักงานสถิติแห่งชาติ
2567,รวม,ไตรมาส 1,83,1) ในเขตเทศบาล,3) ภาคเหนือ,64.05,ร้อยละ,สำนักงานสถิติแห่งชาติ
2567,01. ไม่มีการศึกษา,ไตรมาส 1,84,1) ในเขตเทศบาล,3) ภาคเหนือ,55.59,ร้อยละ,สำนักงานสถิติแห่งชาติ
2567,02. ต่ำกว่าประถมศึกษา,ไตรมาส 1,85,1) ในเขตเทศบาล,3) ภาคเหนือ,48.46,ร้อยละ,สำนักงานสถิติแห่งชาติ
2567,03. ประถมศึกษา,ไตรมาส 1,86,1) ในเขตเทศบาล,3) ภาคเหนือ,69.95,ร้อยละ,สำนักงานสถิติแห่งชาติ
2567,04. มัธยมศึกษาตอนต้น,ไตรมาส 1,87,1) ในเขตเทศบาล,3) ภาคเหนือ,59.7,ร้อยละ,สำนักงานสถิติแห่งชาติ
2567,05. มัธยมศึกษาตอนปลาย สายสามัญ,ไตรมาส 1,88,1) ในเขตเทศบาล,3) ภาคเหนือ,64.28,ร้อยละ,สำนักงานสถิติแห่งชาติ
2567,06. มัธยมศึกษาตอนปลาย สายอาชีวศึกษา,ไตรมาส 1,89,1) ในเขตเทศบาล,3) ภาคเหนือ,66.44,ร้อยละ,สำนักงานสถิติแห่งชาติ
2567,07. มัธยมศึกษาตอนปลาย สายวิชาการศึกษา,ไตรมาส 1,90,1) ในเขตเทศบาล,3) ภาคเหนือ,90.91,ร้อยละ,สำนักงานสถิติแห่งชาติ
2567,08. อุดมศึกษา สายวิชาการ,ไตรมาส 1,91,1) ในเขตเทศบาล,3) ภาคเหนือ,79.94,ร้อยละ,สำนักงานสถิติแห่งชาติ
2567,09. อุดมศึกษา สายวิชาชีพ,ไตรมาส 1,92,1) ในเขตเทศบาล,3) ภาคเหนือ,83.53,ร้อยละ,สำนักงานสถิติแห่งชาติ
2567,10. อุดมศึกษา สายวิชาการศึกษา,ไตรมาส 1,93,1) ในเขตเทศบาล,3) ภาคเหนือ,66.9,ร้อยละ,สำนักงานสถิติแห่งชาติ
2567,11. อื่น ๆ,ไตรมาส 1,94,1) ในเขตเทศบาล,3) ภาคเหนือ,60.0,ร้อยละ,สำนักงานสถิติแห่งชาติ
2567,12. ไม่ทราบ,ไตรมาส 1,95,1) ในเขตเทศบาล,3) ภาคเหนือ,69.7,ร้อยละ,สำนักงานสถิติแห่งชาติ
2567,รวม,ไตรมาส 1,96,2) นอกเขตเทศบาล,3) ภาคเหนือ,65.6,ร้อยละ,สำนักงานสถิติแห่งชาติ
2567,01. ไม่มีการศึกษา,ไตรมาส 1,97,2) นอกเขตเทศบาล,3) ภาคเหนือ,49.44,ร้อยละ,สำนักงานสถิติแห่งชาติ
2567,02. ต่ำกว่าประถมศึกษา,ไตรมาส 1,98,2) นอกเขตเทศบาล,3) ภาคเหนือ,51.23,ร้อยละ,สำนักงานสถิติแห่งชาติ
2567,03. ประถมศึกษา,ไตรมาส 1,99,2) นอกเขตเทศบาล,3) ภาคเหนือ,75.92,ร้อยละ,สำนักงานสถิติแห่งชาติ
2567,04. มัธยมศึกษาตอนต้น,ไตรมาส 1,100,2) นอกเขตเทศบาล,3) ภาคเหนือ,63.64,ร้อยละ,สำนักงานสถิติแห่งชาติ
2567,05. มัธยมศึกษาตอนปลาย สายสามัญ,ไตรมาส 1,101,2) นอกเขตเทศบาล,3) ภาคเหนือ,77.63,ร้อยละ,สำนักงานสถิติแห่งชาติ
2567,06. มัธยมศึกษาตอนปลาย สายอาชีวศึกษา,ไตรมาส 1,102,2) นอกเขตเทศบาล,3) ภาคเหนือ,65.4,ร้อยละ,สำนักงานสถิติแห่งชาติ
2567,07. มัธยมศึกษาตอนปลาย สายวิชาการศึกษา,ไตรมาส 1,103,2) นอกเขตเทศบาล,3) ภาคเหนือ,100.0,ร้อยละ,สำนักงานสถิติแห่งชาติ
2567,08. อุดมศึกษา สายวิชาการ,ไตรมาส 1,104,2) นอกเขตเทศบาล,3) ภาคเหนือ,83.01,ร้อยละ,สำนักงานสถิติแห่งชาติ
2567,09. อุดมศึกษา สายวิชาชีพ,ไตรมาส 1,105,2) นอกเขตเทศบาล,3) ภาคเหนือ,84.28,ร้อยละ,สำนักงานสถิติแห่งชาติ
2567,10. อุดมศึกษา สายวิชาการศึกษา,ไตรมาส 1,106,2) นอกเขตเทศบาล,3) ภาคเหนือ,72.35,ร้อยละ,สำนักงานสถิติแห่งชาติ
2567,12. ไม่ทราบ,ไตรมาส 1,107,2) นอกเขตเทศบาล,3) ภาคเหนือ,68.42,ร้อยละ,สำนักงานสถิติแห่งชาติ
2567,รวม,ไตรมาส 1,108,รวม,4) ภาคตะวันออกเฉียงเหนือ,59.65,ร้อยละ,สำนักงานสถิติแห่งชาติ
2567,01. ไม่มีการศึกษา,ไตรมาส 1,109,รวม,4) ภาคตะวันออกเฉียงเหนือ,26.08,ร้อยละ,สำนักงานสถิติแห่งชาติ
2567,02. ต่ำกว่าประถมศึกษา,ไตรมาส 1,110,รวม,4) ภาคตะวันออกเฉียงเหนือ,38.67,ร้อยละ,สำนักงานสถิติแห่งชาติ
2567,03. ประถมศึกษา,ไตรมาส 1,111,รวม,4) ภาคตะวันออกเฉียงเหนือ,70.66,ร้อยละ,สำนักงานสถิติแห่งชาติ
2567,04. มัธยมศึกษาตอนต้น,ไตรมาส 1,112,รวม,4) ภาคตะวันออกเฉียงเหนือ,56.49,ร้อยละ,สำนักงานสถิติแห่งชาติ
2567,05. มัธยมศึกษาตอนปลาย สายสามัญ,ไตรมาส 1,113,รวม,4) ภาคตะวันออกเฉียงเหนือ,68.61,ร้อยละ,สำนักงานสถิติแห่งชาติ
2567,06. มัธยมศึกษาตอนปลาย สายอาชีวศึกษา,ไตรมาส 1,114,รวม,4) ภาคตะวันออกเฉียงเหนือ,60.91,ร้อยละ,สำนักงานสถิติแห่งชาติ
2567,07. มัธยมศึกษาตอนปลาย สายวิชาการศึกษา,ไตรมาส 1,115,รวม,4) ภาคตะวันออกเฉียงเหนือ,46.15,ร้อยละ,สำนักงานสถิติแห่งชาติ
2567,08. อุดมศึกษา สายวิชาการ,ไตรมาส 1,116,รวม,4) ภาคตะวันออกเฉียงเหนือ,82.34,ร้อยละ,สำนักงานสถิติแห่งชาติ
2567,09. อุดมศึกษา สายวิชาชีพ,ไตรมาส 1,117,รวม,4) ภาคตะวันออกเฉียงเหนือ,81.26,ร้อยละ,สำนักงานสถิติแห่งชาติ
2567,10. อุดมศึกษา สายวิชาการศึกษา,ไตรมาส 1,118,รวม,4) ภาคตะวันออกเฉียงเหนือ,61.51,ร้อยละ,สำนักงานสถิติแห่งชาติ
2567,12. ไม่ทราบ,ไตรมาส 1,119,รวม,4) ภาคตะวันออกเฉียงเหนือ,11.11,ร้อยละ,สำนักงานสถิติแห่งชาติ
2567,รวม,ไตรมาส 1,120,1) ในเขตเทศบาล,4) ภาคตะวันออกเฉียงเหนือ,59.07,ร้อยละ,สำนักงานสถิติแห่งชาติ
2567,01. ไม่มีการศึกษา,ไตรมาส 1,121,1) ในเขตเทศบาล,4) ภาคตะวันออกเฉียงเหนือ,21.48,ร้อยละ,สำนักงานสถิติแห่งชาติ
2567,02. ต่ำกว่าประถมศึกษา,ไตรมาส 1,122,1) ในเขตเทศบาล,4) ภาคตะวันออกเฉียงเหนือ,36.55,ร้อยละ,สำนักงานสถิติแห่งชาติ
2567,03. ประถมศึกษา,ไตรมาส 1,123,1) ในเขตเทศบาล,4) ภาคตะวันออกเฉียงเหนือ,68.75,ร้อยละ,สำนักงานสถิติแห่งชาติ
2567,04. มัธยมศึกษาตอนต้น,ไตรมาส 1,124,1) ในเขตเทศบาล,4) ภาคตะวันออกเฉียงเหนือ,55.9,ร้อยละ,สำนักงานสถิติแห่งชาติ
2567,05. มัธยมศึกษาตอนปลาย สายสามัญ,ไตรมาส 1,125,1) ในเขตเทศบาล,4) ภาคตะวันออกเฉียงเหนือ,64.13,ร้อยละ,สำนักงานสถิติแห่งชาติ
2567,06. มัธยมศึกษาตอนปลาย สายอาชีวศึกษา,ไตรมาส 1,126,1) ในเขตเทศบาล,4) ภาคตะวันออกเฉียงเหนือ,58.75,ร้อยละ,สำนักงานสถิติแห่งชาติ
2567,07. มัธยมศึกษาตอนปลาย สายวิชาการศึกษา,ไตรมาส 1,127,1) ในเขตเทศบาล,4) ภาคตะวันออกเฉียงเหนือ,100.0,ร้อยละ,สำนักงานสถิติแห่งชาติ
2567,08. อุดมศึกษา สายวิชาการ,ไตรมาส 1,128,1) ในเขตเทศบาล,4) ภาคตะวันออกเฉียงเหนือ,81.84,ร้อยละ,สำนักงานสถิติแห่งชาติ
2567,09. อุดมศึกษา สายวิชาชีพ,ไตรมาส 1,129,1) ในเขตเทศบาล,4) ภาคตะวันออกเฉียงเหนือ,81.63,ร้อยละ,สำนักงานสถิติแห่งชาติ
2567,10. อุดมศึกษา สายวิชาการศึกษา,ไตรมาส 1,130,1) ในเขตเทศบาล,4) ภาคตะวันออกเฉียงเหนือ,54.67,ร้อยละ,สำนักงานสถิติแห่งชาติ
2567,12. ไม่ทราบ,ไตรมาส 1,131,1) ในเขตเทศบาล,4) ภาคตะวันออกเฉียงเหนือ,0.0,ร้อยละ,สำนักงานสถิติแห่งชาติ
2567,รวม,ไตรมาส 1,132,2) นอกเขตเทศบาล,4) ภาคตะวันออกเฉียงเหนือ,59.9,ร้อยละ,สำนักงานสถิติแห่งชาติ
2567,01. ไม่มีการศึกษา,ไตรมาส 1,133,2) นอกเขตเทศบาล,4) ภาคตะวันออกเฉียงเหนือ,27.72,ร้อยละ,สำนักงานสถิติแห่งชาติ
2567,02. ต่ำกว่าประถมศึกษา,ไตรมาส 1,134,2) นอกเขตเทศบาล,4) ภาคตะวันออกเฉียงเหนือ,39.43,ร้อยละ,สำนักงานสถิติแห่งชาติ
2567,03. ประถมศึกษา,ไตรมาส 1,135,2) นอกเขตเทศบาล,4) ภาคตะวันออกเฉียงเหนือ,71.33,ร้อยละ,สำนักงานสถิติแห่งชาติ
2567,04. มัธยมศึกษาตอนต้น,ไตรมาส 1,136,2) นอกเขตเทศบาล,4) ภาคตะวันออกเฉียงเหนือ,56.71,ร้อยละ,สำนักงานสถิติแห่งชาติ
2567,05. มัธยมศึกษาตอนปลาย สายสามัญ,ไตรมาส 1,137,2) นอกเขตเทศบาล,4) ภาคตะวันออกเฉียงเหนือ,70.89,ร้อยละ,สำนักงานสถิติแห่งชาติ
2567,06. มัธยมศึกษาตอนปลาย สายอาชีวศึกษา,ไตรมาส 1,138,2) นอกเขตเทศบาล,4) ภาคตะวันออกเฉียงเหนือ,61.96,ร้อยละ,สำนักงานสถิติแห่งชาติ
2567,07. มัธยมศึกษาตอนปลาย สายวิชาการศึกษา,ไตรมาส 1,139,2) นอกเขตเทศบาล,4) ภาคตะวันออกเฉียงเหนือ,33.33,ร้อยละ,สำนักงานสถิติแห่งชาติ
2567,08. อุดมศึกษา สายวิชาการ,ไตรมาส 1,140,2) นอกเขตเทศบาล,4) ภาคตะวันออกเฉียงเหนือ,82.76,ร้อยละ,สำนักงานสถิติแห่งชาติ
2567,09. อุดมศึกษา สายวิชาชีพ,ไตรมาส 1,141,2) นอกเขตเทศบาล,4) ภาคตะวันออกเฉียงเหนือ,81.05,ร้อยละ,สำนักงานสถิติแห่งชาติ
2567,10. อุดมศึกษา สายวิชาการศึกษา,ไตรมาส 1,142,2) นอกเขตเทศบาล,4) ภาคตะวันออกเฉียงเหนือ,66.29,ร้อยละ,สำนักงานสถิติแห่งชาติ
2567,12. ไม่ทราบ,ไตรมาส 1,143,2) นอกเขตเทศบาล,4) ภาคตะวันออกเฉียงเหนือ,22.22,ร้อยละ,สำนักงานสถิติแห่งชาติ
2567,รวม,ไตรมาส 1,144,รวม,5) ภาคใต้,68.15,ร้อยละ,สำนักงานสถิติแห่งชาติ
2567,01. ไม่มีการศึกษา,ไตรมาส 1,145,รวม,5) ภาคใต้,44.84,ร้อยละ,สำนักงานสถิติแห่งชาติ
2567,02. ต่ำกว่าประถมศึกษา,ไตรมาส 1,146,รวม,5) ภาคใต้,50.57,ร้อยละ,สำนักงานสถิติแห่งชาติ
2567,03. ประถมศึกษา,ไตรมาส 1,147,รวม,5) ภาคใต้,74.02,ร้อยละ,สำนักงานสถิติแห่งชาติ
2567,04. มัธยมศึกษาตอนต้น,ไตรมาส 1,148,รวม,5) ภาคใต้,61.6,ร้อยละ,สำนักงานสถิติแห่งชาติ
2567,05. มัธยมศึกษาตอนปลาย สายสามัญ,ไตรมาส 1,149,รวม,5) ภาคใต้,71.78,ร้อยละ,สำนักงานสถิติแห่งชาติ
2567,06. มัธยมศึกษาตอนปลาย สายอาชีวศึกษา,ไตรมาส 1,150,รวม,5) ภาคใต้,73.47,ร้อยละ,สำนักงานสถิติแห่งชาติ
2567,07. มัธยมศึกษาตอนปลาย สายวิชาการศึกษา,ไตรมาส 1,151,รวม,5) ภาคใต้,75.0,ร้อยละ,สำนักงานสถิติแห่งชาติ
2567,08. อุดมศึกษา สายวิชาการ,ไตรมาส 1,152,รวม,5) ภาคใต้,83.13,ร้อยละ,สำนักงานสถิติแห่งชาติ
