เดือน,จำนวน,_id,ปี,ผู้มาเยี่ยมเยือน,หน่วย
5," 29,153 ",81,2564,ผู้เยี่ยมเยือนชาวไทย,คน
5, 707 ,82,2564,ผู้เยี่ยมเยือนชาวต่างชาติ,คน
6," 40,719 ",83,2564,ผู้เยี่ยมเยือนชาวไทย,คน
6, 722 ,84,2564,ผู้เยี่ยมเยือนชาวต่างชาติ,คน
7," 34,021 ",85,2564,ผู้เยี่ยมเยือนชาวไทย,คน
7, 598 ,86,2564,ผู้เยี่ยมเยือนชาวต่างชาติ,คน
8," 29,695 ",87,2564,ผู้เยี่ยมเยือนชาวไทย,คน
8, 575 ,88,2564,ผู้เยี่ยมเยือนชาวต่างชาติ,คน
9," 119,059 ",89,2564,ผู้เยี่ยมเยือนชาวไทย,คน
9, 811 ,90,2564,ผู้เยี่ยมเยือนชาวต่างชาติ,คน
10," 223,216 ",91,2564,ผู้เยี่ยมเยือนชาวไทย,คน
10, 887 ,92,2564,ผู้เยี่ยมเยือนชาวต่างชาติ,คน
11," 920,898 ",93,2564,ผู้เยี่ยมเยือนชาวไทย,คน
11," 8,357 ",94,2564,ผู้เยี่ยมเยือนชาวต่างชาติ,คน
12," 964,356 ",95,2564,ผู้เยี่ยมเยือนชาวไทย,คน
12," 11,178 ",96,2564,ผู้เยี่ยมเยือนชาวต่างชาติ,คน
1," 917,069 ",97,2565,ผู้เยี่ยมเยือนชาวไทย,คน
1," 63,553 ",98,2565,ผู้เยี่ยมเยือนชาวต่างชาติ,คน
2," 911,339 ",99,2565,ผู้เยี่ยมเยือนชาวไทย,คน
2," 50,140 ",100,2565,ผู้เยี่ยมเยือนชาวต่างชาติ,คน
3," 962,989 ",101,2565,ผู้เยี่ยมเยือนชาวไทย,คน
3," 35,382 ",102,2565,ผู้เยี่ยมเยือนชาวต่างชาติ,คน
4," 1,012,390 ",103,2565,ผู้เยี่ยมเยือนชาวไทย,คน
4," 36,853 ",104,2565,ผู้เยี่ยมเยือนชาวต่างชาติ,คน
5," 967,234 ",105,2565,ผู้เยี่ยมเยือนชาวไทย,คน
5," 57,030 ",106,2565,ผู้เยี่ยมเยือนชาวต่างชาติ,คน
6," 971,266 ",107,2565,ผู้เยี่ยมเยือนชาวไทย,คน
6," 90,031 ",108,2565,ผู้เยี่ยมเยือนชาวต่างชาติ,คน
7," 1,021,745 ",109,2565,ผู้เยี่ยมเยือนชาวไทย,คน
7," 120,493 ",110,2565,ผู้เยี่ยมเยือนชาวต่างชาติ,คน
8," 1,034,326 ",111,2565,ผู้เยี่ยมเยือนชาวไทย,คน
8," 153,329 ",112,2565,ผู้เยี่ยมเยือนชาวต่างชาติ,คน
9," 938,336 ",113,2565,ผู้เยี่ยมเยือนชาวไทย,คน
9," 145,029 ",114,2565,ผู้เยี่ยมเยือนชาวต่างชาติ,คน
10," 1,087,644 ",115,2565,ผู้เยี่ยมเยือนชาวไทย,คน
10," 223,186 ",116,2565,ผู้เยี่ยมเยือนชาวต่างชาติ,คน
11," 1,348,886 ",117,2565,ผู้เยี่ยมเยือนชาวไทย,คน
11," 377,512 ",118,2565,ผู้เยี่ยมเยือนชาวต่างชาติ,คน
12," 1,654,689 ",119,2565,ผู้เยี่ยมเยือนชาวไทย,คน
12," 504,518 ",120,2565,ผู้เยี่ยมเยือนชาวต่างชาติ,คน
1," 1,388,394 ",121,2566,ผู้เยี่ยมเยือนชาวไทย,คน
1," 747,470 ",122,2566,ผู้เยี่ยมเยือนชาวต่างชาติ,คน
2," 1,095,770 ",123,2566,ผู้เยี่ยมเยือนชาวไทย,คน
2," 749,518 ",124,2566,ผู้เยี่ยมเยือนชาวต่างชาติ,คน
3," 1,129,687 ",125,2566,ผู้เยี่ยมเยือนชาวไทย,คน
3," 832,148 ",126,2566,ผู้เยี่ยมเยือนชาวต่างชาติ,คน
4," 1,152,479 ",127,2566,ผู้เยี่ยมเยือนชาวไทย,คน
4," 812,494 ",128,2566,ผู้เยี่ยมเยือนชาวต่างชาติ,คน
5," 1,184,150 ",129,2566,ผู้เยี่ยมเยือนชาวไทย,คน
5," 761,697 ",130,2566,ผู้เยี่ยมเยือนชาวต่างชาติ,คน
6," 1,170,560 ",131,2566,ผู้เยี่ยมเยือนชาวไทย,คน
6," 794,999 ",132,2566,ผู้เยี่ยมเยือนชาวต่างชาติ,คน
7," 899,703 ",133,2566,ผู้เยี่ยมเยือนชาวไทย,คน
7," 1,031,825 ",134,2566,ผู้เยี่ยมเยือนชาวต่างชาติ,คน
8," 974,054 ",135,2566,ผู้เยี่ยมเยือนชาวไทย,คน
8," 939,379 ",136,2566,ผู้เยี่ยมเยือนชาวต่างชาติ,คน
9," 1,187,341 ",137,2566,ผู้เยี่ยมเยือนชาวไทย,คน
9," 762,788 ",138,2566,ผู้เยี่ยมเยือนชาวต่างชาติ,คน
10," 1,187,341 ",139,2566,ผู้เยี่ยมเยือนชาวไทย,คน
10," 762,788 ",140,2566,ผู้เยี่ยมเยือนชาวต่างชาติ,คน
11," 1,369,478 ",141,2566,ผู้เยี่ยมเยือนชาวไทย,คน
11," 818,354 ",142,2566,ผู้เยี่ยมเยือนชาวต่างชาติ,คน
12," 1,534,753 ",143,2566,ผู้เยี่ยมเยือนชาวไทย,คน
12," 918,609 ",144,2566,ผู้เยี่ยมเยือนชาวต่างชาติ,คน
1," 1,143,640 ",145,2567,ผู้เยี่ยมเยือนชาวไทย,คน
1," 1,019,426 ",146,2567,ผู้เยี่ยมเยือนชาวต่างชาติ,คน
2," 1,038,036 ",147,2567,ผู้เยี่ยมเยือนชาวไทย,คน
2," 1,097,956 ",148,2567,ผู้เยี่ยมเยือนชาวต่างชาติ,คน
3," 1,230,795 ",149,2567,ผู้เยี่ยมเยือนชาวไทย,คน
3," 1,044,241 ",150,2567,ผู้เยี่ยมเยือนชาวต่างชาติ,คน
4," 1,443,464 ",151,2567,ผู้เยี่ยมเยือนชาวไทย,คน
4," 880,745 ",152,2567,ผู้เยี่ยมเยือนชาวต่างชาติ,คน
5," 1,401,545 ",153,2567,ผู้เยี่ยมเยือนชาวไทย,คน
5," 816,441 ",154,2567,ผู้เยี่ยมเยือนชาวต่างชาติ,คน
6," 1,278,713 ",155,2567,ผู้เยี่ยมเยือนชาวไทย,คน
6," 829,258 ",156,2567,ผู้เยี่ยมเยือนชาวต่างชาติ,คน
7," 1,360,885 ",157,2567,ผู้เยี่ยมเยือนชาวไทย,คน
7," 971,349 ",158,2567,ผู้เยี่ยมเยือนชาวต่างชาติ,คน
8," 1,191,948 ",159,2567,ผู้เยี่ยมเยือนชาวไทย,คน
8," 1,003,753 ",160,2567,ผู้เยี่ยมเยือนชาวต่างชาติ,คน
9," 1,321,227 ",161,2567,ผู้เยี่ยมเยือนชาวไทย,คน
9," 1,011,159 ",162,2567,ผู้เยี่ยมเยือนชาวต่างชาติ,คน
10," 1,576,626 ",163,2567,ผู้เยี่ยมเยือนชาวไทย,คน
10," 974,798 ",164,2567,ผู้เยี่ยมเยือนชาวต่างชาติ,คน
11," 1,683,442 ",165,2567,ผู้เยี่ยมเยือนชาวไทย,คน
11," 990,670 ",166,2567,ผู้เยี่ยมเยือนชาวต่างชาติ,คน
12," 1,809,511 ",167,2567,ผู้เยี่ยมเยือนชาวไทย,คน
12," 1,036,674 ",168,2567,ผู้เยี่ยมเยือนชาวต่างชาติ,คน
