_id,เลขทะเบียนเดิม,ปริมาณการใช้น้ำ (ลบ.ม.),ชื่อผู้ประกอบการ
90,จ3-3(4)-1/42พล,0.5,ห้างหุ้นส่วนจำกัด นิคมบางระกำก่อสร้าง
91,จ3-3(4)-13/56พล,0.5,นางสาวจิรนุช ขุนศรี
92,จ3-3(4)-54/55พล,0.5,นางสมศรี ชัยเชย
93,จ3-3(4)-79/51พล,0.5,นายประมวล ขุนศรี
94,จ3-3(4)-88/48พล,0.5,นายประมวล ขุนศรี
95,จ3-3(4)-89/48พล,0.5,นางสาวอัจฉรา อินทร์พิมพ์
96,3-4(1)-1/35พล,50.0,เทศบาลนครพิษณุโลก
97,3-4(1)-23/61พล,500.0,บริษัท ไพโรจน์ โพลทรีย์ ฟู้ด พิษณุโลก จำกัด
98,จ3-4(1)-15/56พล,50.0,นางสาวสัตตบงกช สิริวราพาณิช
99,จ3-4(1)-2/50พล,50.0,นางระเบียบ สิงห์เรือง
100,จ3-4(1)-26/62พล,200.0,บริษัท เมืองพลการเกษตร จำกัด
101,จ3-4(1)-6/58พล,200.0,บริษัท ฟาร์ม 9 ไก่ฟู้ดส์ จำกัด
102,3-4(3)-1/32พล,50.0,ห้างหุ้นส่วนจำกัด ผลิตภัณฑ์สุพัตรา
103,จ3-4(3)-11/53พล,40.0,นางสิริเพ็ญ พงษ์โอภาส
104,จ3-4(3)-29/59พล,20.0,ห้างหุ้นส่วนจำกัด ฟาร์มอดุลย์ วังมะด่าน
105,จ3-4(6)-5/64พล,50.0,บริษัท เบทาโกร เกษตรอุตสาหกรรม จำกัด 
106,จ3-4(7)-4/60พล,100.0,บริษัท ซีพีเอฟ (ประเทศไทย) จำกัด (มหาชน)
107,จ3-5(1)-2/52พล,20.0,บริษัท พิษณุโลกโกลด์มิลค์ จำกัด
108,จ2-6(3)-1/63พล,20.0,บริษัท เอ-วัน ฟู้ดโปรดักส์ จำกัด
109,จ3-7(1)-9/50พล,5.0,นายธนวิน ธนเศรษฐ์ภูมิไพศาล
110,3-8(1)-4/54พล,50.0,บริษัท โอเอส อินเตอร์ ฟู้ดส์ จำกัด
111,3-8(1)-9/60พล,50.0,บริษัท สยาม พีนา แอนด์ ฟรุ๊ตส์ จำกัด
112,จ3-8(1)-30/60พล,2.5,บริษัท บานาน่าโซไซตี้ จำกัด
113,จ3-8(1)-33/60พล,3.5,บริษัท จิราพรฟู๊ด จำกัด
114,จ3-8(2)-1/45พล,50.0,บริษัท ไทยนิปปอนฟู้ดส์ จำกัด
115,จ3-8(2)-14/59พล,5.0,นางสุภาภรณ์ จูด้วง
116,จ3-8(2)-6/63พล,50.0,บริษัท เอ็กโซติค ฟู้ด จำกัด (มหาชน)
117,ศ3-8(2)-1/34พล,500.0,บริษัท วังทองผลพืช จำกัด
118,3-9(1)-1/32พล,2.0,บริษัท โรงสีเจริญพาณิชย์ จำกัด
119,3-9(1)-15/57พล,2.0,ห้างหุ้นส่วนจำกัด ลิ้มเจริญธัญญกิจ
120,3-9(1)-19/50พล,2.0,ห้างหุ้นส่วนจำกัด ลิ้มเจริญธัญญกิจ
121,3-9(1)-31/52พล,6.0,ห้างหุ้นส่วนจำกัด พรหมพิรามชัยศิริ
122,3-9(1)-31/55พล,2.0,บริษัท โรงสีเกาะแก้วเจริญธัญญา 2 จำกัด
123,3-9(1)-48/56พล,1.0,บริษัท ธนารัตน์ธัญญะกิจ จำกัด
124,3-9(1)-63/21พล,1.8,บริษัท โรงสีไฟโชครุ่งเรือง จำกัด
125,3-9(1)-67/52พล,3.5,ห้างหุ้นส่วนจำกัด พรหมพิรามชัยศิริ
126,3-9(1)-71/56พล,50.0,บริษัท ที.เอส.พี.ไรซ์ จำกัด
127,จ3-9(1)-1/45พล,0.3,นายบุญชู วงษ์นิยม
128,จ3-9(1)-13/55พล,1.0,นายฉัตรชัย วิชชุปัญญาพาณิชย์
129,จ3-9(1)-3/26พล,0.6,นางอมรพร มานะกิจศิริสุทธิ์
130,จ3-9(1)-34/20พล,0.4,นายเปี่ยมศักดิ์ พลอยกิติกูล
131,จ3-9(1)-46/47พล,0.2,นางอินทธิรา ลี้ชัยมงคล
132,จ3-9(1)-5/37พล,0.2,นางมนทิรา ตันพิศมัย
133,จ3-9(1)-5/42พล,0.4,"นายนิรันดร์,เบ็ญจา ลิ้มศิริวงษ์"
134,จ3-9(1)-53/47พล,2.4,ห้างหุ้นส่วนจำกัด โรงสีศรีคงเจริญ
135,จ3-9(1)-6/46พล,0.4,ห้างหุ้นส่วนจำกัด มุ่ยเฮงรุ่งเรือง
136,จ3-9(1)-61/52พล,0.4,ห้างหุ้นส่วนจำกัด โชคสันติ
137,จ3-9(1)-69/48พล,0.2,บริษัท ส.ธนวัฒน์พืชผล จำกัด
138,จ3-9(1)-7/46พล,3.2,บริษัท ธนารัตน์ธัญญะกิจ จำกัด
139,จ3-9(1)-80/55พล,1.0,ห้างหุ้นส่วนจำกัด ลิ้มเจริญธัญญกิจ
140,จ3-9(4)-3/64พล,5.0,นางสาวบุศรา บุญขำ
141,จ3-9(4)-9/54พล,2.0,นายอัคฤทธิ์ เชี่ยวชาญทวีกุล
142,จ3-9(6)-36/54พล,#VALUE!,นายสุชลธพร แก่ข้างพลู
143,จ3-9(6)-76/55พล,#VALUE!,ห้างหุ้นส่วนจำกัด สหณรงค์ชัย 2009
144,3-10(3)-1/30พล,50.0,ห้างหุ้นส่วนจำกัด เส้นหมี่เรืองสิน
145,3-10(3)-1/41พล,10.0,นายวิชัย มัตยะสุวรรณ
146,3-10(3)-2/61พล,40.0,บริษัท หงษ์ทองคู่ จำกัด
147,จ3-10(3)-1/45พล,5.0,บริษัท ศิริวานิช (เอส แอนด์ ดับเบิ้ลยู) จำกัด
148,3-11(3)-1/37พล,1000.0,บริษัท น้ำตาลพิษณุโลก จำกัด
149,จ3-13(8)-1/64พล,45.0,บริษัท เค.อาร์.เอส.สไปร์ซี่ ฟู้ดส์ จำกัด
150,3-14-19/61พล,100.0,บริษัท พิษณุโลกบ่อทอง จำกัด
151,3-14-2/52พล,100.0,บริษัท พิษณุโลก มหาทรัพย์ จำกัด
152,3-14-34/65พล,100.0,บริษัท วารีเทพ วังทอง จำกัด
153,3-14-41/50พล,100.0,บริษัท ไทยสมบูรณ์วังทอง จำกัด
154,3-14-79/60พล,100.0,บริษัท คิงไอซ์ จำกัด
155,จ2-14-22/64พล,5.0,นางเพียงใจ ประดิษฐ์
156,จ3-14-1/14พล,100.0,บริษัท โกลไอซ์ จำกัด
157,จ3-14-1/39พล,10.0,บริษัท ส.ทรงกรด จำกัด
158,จ3-14-1/41พล,10.0,นายชูเกียรติ ดีไพบูลย์
159,จ3-14-1/42พล,100.0,บริษัท โรงน้ำแข็งหลอดวิรัตน์ 1999 จำกัด
160,จ3-14-1/45พล,100.0,บริษัท พิษณุโลก วารีเทพ จำกัด
161,จ3-14-15/61พล,30.0,นายเลิศวัส โตสิน
162,จ3-14-19/51พล,80.0,นายลภชัย นิรัติศัย
163,จ3-14-2/44พล,40.0,นายวิรัตน์ เจริญศรี
164,จ3-14-26/55พล,30.0,นายไพรัช นาคมอญ
165,จ3-14-33/47พล,40.0,นางศีตลา โพธิสุวรรณ
166,จ3-14-35/53พล,20.0,ห้างหุ้นส่วนจำกัด มีบุญ ไอซ์
167,จ3-14-35/55พล,20.0,บริษัท โรงน้ำแข็งกิจวารี-ทิพย์วารี (พิษณุโลก) จำกัด
168,จ3-14-37/58พล,50.0,นางสาวปิยะพร คำขอด
169,จ3-14-4/45พล,60.0,บริษัท โรงน้ำแข็งวังน้ำทิพย์ จำกัด
170,จ3-14-47/63พล,30.0,นางกองแก้ว บุญล้ำ
171,จ3-14-82/60พล,10.0,บริษัท ฟาร์ม 9 ไก่ฟู้ดส์ จำกัด
172,ศ3-14-1/35พล,50.0,ห้างหุ้นส่วนจำกัด นิธิวิบูลย์ 1981 กรุ๊ป
173,ศ3-15(1)-1/39พล,20.0,บริษัท คาร์กิลล์สยาม จำกัด
174,ส3-15(1)-1/30พล,20.0,บริษัท ซีพีเอฟ (ประะทศไทย) จำกัด (มหาชน)
175,จ3-20(1)-3/56พล,10.0,ห้างหุ้นส่วนจำกัด สิริภัทร พลาสติก
176,จ3-20(1)-4/54พล,10.0,นางสาววนิดา โพธิ์คำ
177,จ2-28(1)-22/50พล,8.0,ทัณฑสถานหญิงพิษณุโลก
178,จ3-28(1)-10/63พล,8.0,บริษัท ฐานะภัณฑ์ จำกัด
179,อ2-28(1)-75/64พล,6.5,บริษัท ฐานะภัณฑ์ จำกัด
180,3-34(1)-1/45พล,0.8,นายสุรกิต ภูมิผล
181,3-34(1)-2/30พล,0.8,นางสาวพนมพร บุญญพันธ์โสภณ
182,3-34(1)-44/47พล,0.6,นายเอนก คงไขยกุล
183,3-34(1)-64/54พล,0.6,นายวัศพล เพชรเนียม
184,จ3-34(1)-16/60พล,4.0,นายธนาวุทธ เรียงแรง
185,จ3-34(1)-51/54พล,2.0,นางสาวอัปสร ฤกดิ์ดี
186,จ3-34(2)-104/52พล,2.0,นางชมบุญ เพชรทอง
187,จ3-34(2)-16/62พล,1.5,นางสีนวล น้อยมา
188,จ3-34(2)-51/51พล,2.0,นายศุภวัฒน์ ธาราวัชรศวสตร์
189,3-34(4)-24/61พล,0.5,บริษัท โคลเวอร์ เชื้อเพลิงทดแทน จำกัด
190,3-34(4)-44/64พล,0.4,นายสราวุฒิ ภูมิพล
191,จ3-34(4)-13/49พล,1.1,บริษัท พิษณุโลก วู๊ดชิพ จำกัด
192,จ3-36(4)-1/55พล,3.0,นางสาวพิกุล  มาอุ่น
193,จ3-36(4)-2/55พล,5.0,นายสุรินทร์ ยรรยง
194,จ3-37-201/50พล,1.0,นางลัดดา โกเมศมุนีบริรักษ์
195,จ3-37-271/48พล,3.0,บริษัท เคแอนด์เค พาราวู้ด จำกัด
196,จ3-37-273/49พล,1.0,นางกชกร ตันติวงศ์กานต์
197,จ3-37-4/48พล,28.0,กรมราชทัณฑ์
198,จ3-37-83/62พล,1.0,ห้างหุ้นส่วนจำกัด มีดี เฟอร์นิเจอร์ น็อคดาวน์
199,จ3-42(1)-17/61พล,6.0,ชลัมเบอร์เจอร์ โอเวอร์ซีส์ เอส.เอ.
200,จ3-43(1)-18/60พล,2.0,บริษัท ดินเน็ทเวิร์ค(ประเทศไทย) จำกัด
201,จ3-43(1)-76/51พล,2.5,บริษัท เพิซ โปรเทคชั่นกรุ๊ป จำกัด
202,จ3-43(3)-1/52พล,2.0,ห้างหุ้นส่วนจำกัด ทิพย์พรรณนาเพื่อนเกษตร
203,จ2-47(3)-24/64พล,7.0,บริษัท ณัฐธรา บิสสิเนส จำกัด
204,3-50(1)-1/36พล,20.0,บริษัท ทิปโก้แอสฟัลท์ จำกัด (มหาชน)
205,จ3-50(4)-27/47พล,20.0,บริษัท พี.เค.เอส.37 ยูเนี่ยนคอนสตรัคชั่น จำกัด
206,จ3-50(4)-27/51พล,21.0,ห้างหุ้นส่วนจำกัด ใบบริบาล
207,จ3-50(4)-40/54พล,20.2,ห้างหุ้นส่วนจำกัด สมควรการโยธา
208,จ3-50(4)-5/62พล,20.5,ห้างหุ้นส่วนจำกัด นิคมบางระกำก่อสร้าง
209,จ3-50(4)-77/59พล,20.5,ห้างหุ้นส่วนจำกัด พิษณุโลกวิวัฒน์พัฒนา
210,จ3-52(1)-1/56พล,26.0,บริษัท ทีทีเอ็น รับเบอร์ จำกัด
211,3-52(3)-23/55พล,218.0,บริษัท ศรีตรังแอโกรอินดัสทรี จำกัด (มหาชน)
212,3-52(3)-25/56พล,118.0,บริษัท ไทยฮั้วยางพารา จำกัด (มหาชน)
213,จ3-53(4)-19/61พล,4.6,บริษัท จอย สปอร์ต จำกัด
214,จ3-53(4)-68/60พล,3.6,ห้างหุ้นส่วนจำกัด จีพี พรีฟอร์ม แอนด์ พลาสติก
215,จ3-53(5)-1/39พล,7.5,บริษัท วงษ์พาณิชย์ อินเตอร์เนชั่นแนล จำกัด
216,จ3-53(9)-1/40พล,3.7,นายชัยฤกษ์ วงษ์เจริญ
217,จ3-53(9)-22/62พล,3.0,บริษัท ทรัพย์ ส.ประทีป รีไซเคิล จำกัด
218,จ3-53(9)-26/61พล,2.7,บริษัท อำนาจพลาสติก จำกัด
219,จ3-56-3/65พล,1.5,นายดิเรก สีดาว
220,จ3-56-4/60พล,1.5,นายสมเกียรติ นาชอน
221,จ3-56-5/60พล,1.5,นายชลอ พยัฆษี
222,จ3-56-6/38พล,1.5,นายชิง คำเจริญคุณ
223,3-57(2)-1/39พล,0.6,บริษัท ทีพีไอ โพลีน จำกัด (มหาชน)
224,จ3-57(2)-2/56พล,0.2,ชลัมเบอร์เจอร์ โอเวอร์ซีส์ เอส.เอ.
225,จ3-57(3)-1/45พล,5.4,ห้างหุ้นส่วนจำกัด พิษณุโลกวิวัฒน์พัฒนา
226,3-58(1)-5/33พล,5.3,บริษัท ปูนซีเมนต์ไทย (ลำปาง) จำกัด
227,3-58(1)-9/22พล,9.2,บริษัท ซี.พี.แอล จำกัด
228,จ2-58(1)-137/64พล,2.8,ห้างหุ้นส่วนจำกัด ส.สุนทร
229,จ2-58(1)-146/64พล,2.6,บริษัท เนรมิตบล็อก จำกัด
230,จ2-58(1)-147/64พล,2.4,นางสาววรรณภา สุมารุ
231,จ2-58(1)-149/64พล,2.4,นายจตุรงค์ ผิวอ่อนดี
232,จ3-58(1)-109/56พล,4.0,บริษัท คมพิศิษฐ์ พี.เอส.ที.คอนกรีต จำด
233,จ3-58(1)-120/56พล,2.3,บริษัท ปธังกรณ์คอนกรีต จำกัด
234,จ3-58(1)-122/60พล,3.7,ห้างหุ้นส่วนจำกัด อุ้ยเซ็งผลิตภัณฑ์คอนกรีต
235,จ3-58(1)-133/53พล,2.8,บริษัท ซี.พี.ซี คอนกรีตอัดแรง จำกัด
236,จ3-58(1)-133/61พล,9.0,บริษัท ท๊อปแลนด์ คอนกรีต จำกัด
237,จ3-58(1)-145/53พล,2.8,บริษัท ซี.พี.ซี. คอนกรีตอัดแรง จำกัด
238,จ3-58(1)-159/60พล,3.3,นายวิทยา เสนานุช
239,จ3-58(1)-181/62พล,3.5,บริษัท เพาเวอร์แพค คอนกรีต จำกัด
240,จ3-58(1)-184/60พล,6.4,ห้างหุ้นส่วนจำกัด ชัยประเสริฐคอนกรีตอัดแรง
241,จ3-58(1)-188/55พล,3.4,บริษัท ซี.พี.ซี.คอนกรีตอัดแรง จำกัด
242,จ3-58(1)-192/63พล,3.5,บริษัท เพาเวอร์แพค เทคคอน จำกัด
243,จ3-58(1)-196/60พล,2.7,นายมานะ ภูมิผล
244,จ3-58(1)-2/22พล,16.0,บริษัท ซี.พี.ซี.คอนกรีตอัดแรง จำกัด
245,จ3-58(1)-2/44พล,6.1,บริษัท รุ่งวิชัยคอนกรีต จำกัด
246,จ3-58(1)-2/51พล,3.4,ห้างหุ้นส่วนจำกัด ณัฐชูพงศ์คอนกรีต
247,จ3-58(1)-21/53พล,3.4,ห้างหุ้นส่วนจำกัด อุ้ยเซ้งผลิตภัณฑ์คอนกรีต
248,จ3-58(1)-23/51พล,4.0,นางสาววรรณพร เตชะพันธ์รัตนกุล
249,จ3-58(1)-256/56พล,5.6,ห้างหุ้นส่วนจำกัด สินรุ่งเรือง คอนกรีต
250,จ3-58(1)-27/47พล,5.8,ห้างหุ้นส่วนจำกัด ชญานินคอนกรีตอัดแรง
251,จ3-58(1)-275/56พล,5.3,บริษัท ปูนซีเมนต์ไทย (ลำปาง) จำกัด
252,จ3-58(1)-290/57พล,4.5,ห้างหุ้นส่วนจำกัด ถนอมชัยค้าไม้
253,จ3-58(1)-3/65พล,2.4,บริษัท ที เจ คอนกรีต จำกัด
254,จ3-58(1)-38/55พล,2.6,ห้างหุ้นส่วนจำกัด จรูญคอนกรีต
255,จ3-58(1)-39/56พล,11.0,บริษัท เอส-คอน คอนกรีต จำกัด
256,จ3-58(1)-4/39พล,10.5,บริษัท สิงหวัฒน์คอนกรีต จำกัด
257,จ3-58(1)-43/61พล,2.5,นายศราวุธ ด่านกิตติไกรลาศ
258,จ3-58(1)-44/55พล,2.4,บริษัท อุตรดิตถ์พิชัย จำกัด
259,จ3-58(1)-49/62พล,3.8,บริษัท พีเอ็นซี คอนกรีต กรุ๊ป จำกัด
260,จ3-58(1)-5/40พล,6.7,บริษัท ซี.พี.แอล. จำกัด
261,จ3-58(1)-56/63พล,2.6,ห้างหุ้นส่วนจำกัด บุญเลี้ยงคอนกรีตและวัสดุก่อสร้าง
262,จ3-58(1)-69/56พล,6.0,บริษัท มั่นภักดี จำกัด
263,จ3-58(1)-7/39พล,5.2,บริษัท รุ่งวิชัยคอนกรีต จำกัด
264,จ3-58(1)-83/56พล,3.3,บริษัท ปูนซิเมนต์ไทย (ลำปาง) จำกัด
265,จ3-58(1)-85/54พล,3.7,บริษัท ซี.พี.ซี.คอนกรีตอัดแรง จำกัด
266,จ3-58(1)-85/56พล,3.5,บริษัท ชัยประเสริฐคอนกรีต จำกัด 
267,จ3-58(1)-88/63พล,3.0,บริษัท บิวดิ้ง อินเตอร์เนชั่นแนล จำกัด
268,จ3-58(1)-9/50พล,3.3,บริษัท ปูนซิเมนต์ไทย (ลำปาง) จำกัด
269,จ3-58(1)-90/47พล,3.3,บริษัท ปูนซีเมนต์ไทย (ลำปาง) จำกัด
270,จ3-58(1)-91/58พล,2.8,ห้างหุ้นส่วนจำกัด กิจเจริญคอนกรีต ( 2558 )
271,จ3-58(1)-98/54พล,2.3,บริษัท ปูนซิเมนต์ไทย (ลำปาง) จำกัด
272,จ3-60-1/41พล,2.1,นายธวัชชัย กลิ่นรอด
273,จ3-60-4/38พล,2.8,นางพัชรภรณ์ วัฒนกุลชัย
274,จ3-60-5/38พล,1.8,นางสาวบุญยืน ศรีสอาด
275,จ2-63(2)-121/64พล,0.4,ห้างหุ้นส่วนจำกัด พี.พี.เมทัลชีต. ยูพีโฟม
276,จ2-63(2)-127/64พล,0.9,นายปิโยวัฒน์ โรจน์คำลือ
277,จ2-63(2)-128/64พล,1.3,นายสุรัติ หล่อวงศ์กมล
278,จ2-63(2)-129/64พล,0.6,นายปิโยวัฒน์ โรจน์คำลือ
279,จ2-63(2)-130/64พล,0.3,บริษัท พงษ์เพชร ซัพพลาย จำกัด
280,จ3-63(2)-13/55พล,0.6,บริษัท ชัยประเสริฐเมทัลชีท จำกัด
281,จ3-63(2)-14/52พล,0.8,บริษัท ที-วัน เม็ททอลลิค จำกัด
282,จ3-63(2)-23/60พล,0.8,บริษัท เมทัลครีเอท จำกัด
283,จ3-63(2)-38/58พล,2.5,นายชัชวรินทร์ ศรีสุภะ
284,จ3-63(2)-48/61พล,1.0,บริษัท ทรัพย์ทวีพานิช จำกัด
285,จ3-63(2)-49/61พล,1.5,บริษัท วงศ์ชัย จำกัด
286,อ2-63(2)-131/64พล,0.3,นางอรัญญา ล้อมวงษ์พานิช
287,อ2-63(2)-132/64พล,0.6,นายปิโยวัฒน์ โรจน์คำลือ
288,อ2-63(2)-133/64พล,0.9,ห้างหุ้นส่วนจำกัด จรรยา เมทัลชีท
289,อ2-63(2)-134/64พล,0.5,บริษัท รุ่งวิชัย เมทัลลิค จำกัด
290,อ2-63(2)-135/64พล,0.3,บริษัท โตโยแมชชีนเนอรี่ จำกัด
291,อ2-63(2)-136/64พล,0.3,นางสล่าย ถิ่นวันดี
292,จ3-64(1)-3/61พล,2.5,บริษัท ก.อัครพลสตีลแอนด์ซัพพลาย จำกัด
293,จ2-64(9)-1/63พล,1.5,บริษัท คัทแมกซ์ จำกัด
294,จ2-64(11)-9/64พล,0.7,นายชัยฤกษ์ วงศ์เจริญ
