ค่าข้อมูล,_id,ปี,อำเภอ,รายการ,จังหวัด,หน่วย
0,70,2567,เสลภูมิ,พื้นที่เก็บเกี่ยวอ้อยโรงงาน,ร้อยเอ็ด,ไร่
,71,2567,สุวรรณภูมิ,พื้นที่เก็บเกี่ยวอ้อยโรงงาน,ร้อยเอ็ด,ไร่
,72,2567,เมืองสรวง,พื้นที่เก็บเกี่ยวอ้อยโรงงาน,ร้อยเอ็ด,ไร่
,73,2567,โพนทราย,พื้นที่เก็บเกี่ยวอ้อยโรงงาน,ร้อยเอ็ด,ไร่
,74,2567,อาจสามารถ,พื้นที่เก็บเกี่ยวอ้อยโรงงาน,ร้อยเอ็ด,ไร่
3539,75,2567,เมยวดี,พื้นที่เก็บเกี่ยวอ้อยโรงงาน,ร้อยเอ็ด,ไร่
,76,2567,ศรีสมเด็จ,พื้นที่เก็บเกี่ยวอ้อยโรงงาน,ร้อยเอ็ด,ไร่
,77,2567,จังหาร,พื้นที่เก็บเกี่ยวอ้อยโรงงาน,ร้อยเอ็ด,ไร่
,78,2567,เชียงขวัญ,พื้นที่เก็บเกี่ยวอ้อยโรงงาน,ร้อยเอ็ด,ไร่
,79,2567,หนองฮี,พื้นที่เก็บเกี่ยวอ้อยโรงงาน,ร้อยเอ็ด,ไร่
0,80,2567,ทุ่งเขาหลวง,พื้นที่เก็บเกี่ยวอ้อยโรงงาน,ร้อยเอ็ด,ไร่
,81,2568,เมืองร้อยเอ็ด,พื้นที่เก็บเกี่ยวอ้อยโรงงาน,ร้อยเอ็ด,ไร่
1345,82,2568,เกษตรวิสัย,พื้นที่เก็บเกี่ยวอ้อยโรงงาน,ร้อยเอ็ด,ไร่
192.75,83,2568,ปทุมรัตต์,พื้นที่เก็บเกี่ยวอ้อยโรงงาน,ร้อยเอ็ด,ไร่
390.5,84,2568,จตุรพักตรพิมาน,พื้นที่เก็บเกี่ยวอ้อยโรงงาน,ร้อยเอ็ด,ไร่
0,85,2568,ธวัชบุรี,พื้นที่เก็บเกี่ยวอ้อยโรงงาน,ร้อยเอ็ด,ไร่
,86,2568,พนมไพร,พื้นที่เก็บเกี่ยวอ้อยโรงงาน,ร้อยเอ็ด,ไร่
19698,87,2568,โพนทอง,พื้นที่เก็บเกี่ยวอ้อยโรงงาน,ร้อยเอ็ด,ไร่
1992,88,2568,โพธิ์ชัย,พื้นที่เก็บเกี่ยวอ้อยโรงงาน,ร้อยเอ็ด,ไร่
25501,89,2568,หนองพอก,พื้นที่เก็บเกี่ยวอ้อยโรงงาน,ร้อยเอ็ด,ไร่
0,90,2568,เสลภูมิ,พื้นที่เก็บเกี่ยวอ้อยโรงงาน,ร้อยเอ็ด,ไร่
,91,2568,สุวรรณภูมิ,พื้นที่เก็บเกี่ยวอ้อยโรงงาน,ร้อยเอ็ด,ไร่
,92,2568,เมืองสรวง,พื้นที่เก็บเกี่ยวอ้อยโรงงาน,ร้อยเอ็ด,ไร่
,93,2568,โพนทราย,พื้นที่เก็บเกี่ยวอ้อยโรงงาน,ร้อยเอ็ด,ไร่
,94,2568,อาจสามารถ,พื้นที่เก็บเกี่ยวอ้อยโรงงาน,ร้อยเอ็ด,ไร่
14164,95,2568,เมยวดี,พื้นที่เก็บเกี่ยวอ้อยโรงงาน,ร้อยเอ็ด,ไร่
,96,2568,ศรีสมเด็จ,พื้นที่เก็บเกี่ยวอ้อยโรงงาน,ร้อยเอ็ด,ไร่
,97,2568,จังหาร,พื้นที่เก็บเกี่ยวอ้อยโรงงาน,ร้อยเอ็ด,ไร่
,98,2568,เชียงขวัญ,พื้นที่เก็บเกี่ยวอ้อยโรงงาน,ร้อยเอ็ด,ไร่
,99,2568,หนองฮี,พื้นที่เก็บเกี่ยวอ้อยโรงงาน,ร้อยเอ็ด,ไร่
0,100,2568,ทุ่งเขาหลวง,พื้นที่เก็บเกี่ยวอ้อยโรงงาน,ร้อยเอ็ด,ไร่
