_id,ปี,ช่วงเกิดภัย,ชนิดพืช,พื้นที่เสียหาย,จำนวนเกษตรกร,หน่วยราย,ประเภทภัย,วงเงินช่วยเหลือ,หน่วยไร่,อำเภอ,หน่วยบาท
52,2563,24 ส.ค. - 5 ต.ค. 2563,ข้าวโพดเลี้ยงสัตว์,34,4,ราย,ฝนแล้ง,"39,032.00",ไร่,หนองขาหย่าง,บาท
53,2566,22 พ.ค. - 1 ก.ย. 2566,ข้าวโพดเลี้ยงสัตว์,62,6,ราย,ฝนแล้ง,"122,760.00",ไร่,ทัพทัน,บาท
54,2566,22 พ.ค. - 1 ก.ย. 2566,ข้าวโพดเลี้ยงสัตว์,"4,560.82",224,ราย,ฝนแล้ง,"9,030,423.60",ไร่,สว่างอารมณ์,บาท
55,2566,22 พ.ค. - 1 ก.ย. 2566,ข้าวโพดเลี้ยงสัตว์,117.5,10,ราย,ฝนแล้ง,"232,650.00",ไร่,ลานสัก,บาท
56,2567,3 ก.ย.66 - 15 มี.ค.67,ข้าวโพดเลี้ยงสัตว์,"3,470.00",351,ราย,ฝนแล้ง,"6,870,600.00",ไร่,ทัพทัน,บาท
57,2561,1-ก.ค.-61,มันสำปะหลัง,0,0,ราย,ฝนทิ้งช่วง,0,ไร่,ทัพทัน,บาท
58,2561,1-ก.ค.-61,มันสำปะหลัง,2,1,ราย,ฝนทิ้งช่วง,"2,296.00",ไร่,ลานสัก,บาท
59,2561,1-ก.ค.-61,มันสำปะหลัง,0,0,ราย,ฝนทิ้งช่วง,0,ไร่,สว่างอารมณ์,บาท
60,2561,15-ก.ย.-61,มันสำปะหลัง,5,1,ราย,ฝนแล้ง,"5,740.00",ไร่,สว่างอารมณ์,บาท
61,2562,15-ก.ค.-62,มันสำปะหลัง,333.5,43,ราย,ฝนแล้ง,"382,858.00",ไร่,ทัพทัน,บาท
62,2562,15-ก.ค.-62,มันสำปะหลัง,372.75,55,ราย,ฝนแล้ง,"427,917.00",ไร่,บ้านไร่,บาท
63,2562,15-ก.ค.-62,มันสำปะหลัง,0,0,ราย,ฝนแล้ง,0,ไร่,เมือง,บาท
64,2562,15-ก.ค.-62,มันสำปะหลัง,4788.5,691,ราย,ฝนแล้ง,"5,497,198.00",ไร่,ลานสัก,บาท
65,2562,15-ก.ค.-62,มันสำปะหลัง,4318,496,ราย,ฝนแล้ง,"4,957,064.00",ไร่,สว่างอารมณ์,บาท
66,2562,15-ก.ค.-62,มันสำปะหลัง,17,5,ราย,ฝนแล้ง,"19,516.00",ไร่,หนองขาหย่าง,บาท
67,2562,15-ก.ค.-62,มันสำปะหลัง,115,18,ราย,ฝนแล้ง,"132,020.00",ไร่,หนองฉาง,บาท
68,2562,15-ก.ค.-62,มันสำปะหลัง,516.25,96,ราย,ฝนแล้ง,"592,655.00",ไร่,ห้วยคต,บาท
69,2562,25-ต.ค.-62,มันสำปะหลัง,629,62,ราย,ภัยแล้ง,"722,092.00",ไร่,ทัพทัน,บาท
70,2562,25-ต.ค.-62,มันสำปะหลัง,15.5,4,ราย,ภัยแล้ง,"17,794.00",ไร่,บ้านไร่,บาท
71,2562,25-ต.ค.-62,มันสำปะหลัง,10,1,ราย,ภัยแล้ง,"11,480.00",ไร่,เมือง,บาท
72,2562,25-ต.ค.-62,มันสำปะหลัง,292,47,ราย,ภัยแล้ง,"335,216.00",ไร่,ลานสัก,บาท
73,2562,25-ต.ค.-62,มันสำปะหลัง,0,0,ราย,ภัยแล้ง,0,ไร่,สว่างอารมณ์,บาท
74,2562,25-ต.ค.-62,มันสำปะหลัง,0,0,ราย,ภัยแล้ง,0,ไร่,หนองขาหย่าง,บาท
75,2562,25-ต.ค.-62,มันสำปะหลัง,0,0,ราย,ภัยแล้ง,0,ไร่,หนองฉาง,บาท
76,2562,25-ต.ค.-62,มันสำปะหลัง,0,0,ราย,ภัยแล้ง,0,ไร่,ห้วยคต,บาท
77,2563,24 ส.ค. - 5 ต.ค. 2563,มันสำปะหลัง,1537,154,ราย,ฝนแล้ง,"1,764,476.00",ไร่,ทัพทัน,บาท
78,2563,24 ส.ค. - 5 ต.ค. 2563,มันสำปะหลัง,8445,734,ราย,ฝนแล้ง,"9,694,860.00",ไร่,สว่างอารมณ์,บาท
79,2563,24 ส.ค. - 5 ต.ค. 2563,มันสำปะหลัง,104,16,ราย,ฝนแล้ง,"119,392.00",ไร่,หนองฉาง,บาท
80,2566,22 พ.ค. - 1 ก.ย. 2566,มันสำปะหลัง,6124,529,ราย,ฝนแล้ง,"12,125,520.00",ไร่,ทัพทัน,บาท
81,2566,22 พ.ค. - 1 ก.ย. 2566,มันสำปะหลัง,29875,"1,879.00",ราย,ฝนแล้ง,"59,152,500.00",ไร่,สว่างอารมณ์,บาท
82,2566,22 พ.ค. - 1 ก.ย. 2566,มันสำปะหลัง,652.25,179,ราย,ฝนแล้ง,"1,291,455.00",ไร่,บ้านไร่,บาท
83,2566,22 พ.ค. - 1 ก.ย. 2566,มันสำปะหลัง,20898.75,"2,176.00",ราย,ฝนแล้ง,"41,379,525.00",ไร่,ลานสัก,บาท
84,2566,22 พ.ค. - 1 ก.ย. 2566,มันสำปะหลัง,380,103,ราย,ฝนแล้ง,"752,400.00",ไร่,ห้วยคต,บาท
85,2567,3 ก.ย.66 - 15 มี.ค.67,มันสำปะหลัง,2809,269,ราย,ฝนแล้ง,"5,561,820.00",ไร่,ทัพทัน,บาท
86,2567,20 เม.ย. - 22 พ.ค.67,มันสำปะหลัง,1864.5,337,ราย,ภัยแล้ง,"3,691,710.00",ไร่,บ้านไร่,บาท
87,2567,20 เม.ย. - 22 พ.ค.67,มันสำปะหลัง,857.5,170,ราย,ภัยแล้ง,"1,697,850.00",ไร่,ห้วยคต,บาท
88,2561,1-ก.ค.-61,อ้อยโรงงาน,0,0,ราย,ฝนทิ้งช่วง,0,ไร่,ทัพทัน,บาท
89,2561,1-ก.ค.-61,อ้อยโรงงาน,2,1,ราย,ฝนทิ้งช่วง,"2,296.00",ไร่,ลานสัก,บาท
90,2561,1-ก.ค.-61,อ้อยโรงงาน,60,8,ราย,ฝนทิ้งช่วง,"68,880.00",ไร่,สว่างอารมณ์,บาท
91,2561,15-ก.ย.-61,อ้อยโรงงาน,0,0,ราย,ฝนแล้ง,0,ไร่,สว่างอารมณ์,บาท
92,2562,15-ก.ค.-62,อ้อยโรงงาน,320.5,49,ราย,ฝนแล้ง,"367,934.00",ไร่,ทัพทัน,บาท
93,2562,15-ก.ค.-62,อ้อยโรงงาน,"2,404.00",270,ราย,ฝนแล้ง,"2,759,792.00",ไร่,บ้านไร่,บาท
94,2562,15-ก.ค.-62,อ้อยโรงงาน,0,0,ราย,ฝนแล้ง,0,ไร่,เมือง,บาท
95,2562,15-ก.ค.-62,อ้อยโรงงาน,"2,602.50",258,ราย,ฝนแล้ง,"2,987,670.00",ไร่,ลานสัก,บาท
96,2562,15-ก.ค.-62,อ้อยโรงงาน,"3,209.00",286,ราย,ฝนแล้ง,"3,683,932.00",ไร่,สว่างอารมณ์,บาท
97,2562,15-ก.ค.-62,อ้อยโรงงาน,42,5,ราย,ฝนแล้ง,"48,216.00",ไร่,หนองขาหย่าง,บาท
98,2562,15-ก.ค.-62,อ้อยโรงงาน,625,74,ราย,ฝนแล้ง,"717,500.00",ไร่,หนองฉาง,บาท
99,2562,15-ก.ค.-62,อ้อยโรงงาน,780.25,109,ราย,ฝนแล้ง,"895,727.00",ไร่,ห้วยคต,บาท
100,2562,25-ต.ค.-62,อ้อยโรงงาน,676.5,76,ราย,ภัยแล้ง,"776,622.00",ไร่,ทัพทัน,บาท
101,2562,25-ต.ค.-62,อ้อยโรงงาน,"1,544.25",176,ราย,ภัยแล้ง,"1,772,799.00",ไร่,บ้านไร่,บาท
102,2562,25-ต.ค.-62,อ้อยโรงงาน,0,0,ราย,ภัยแล้ง,0,ไร่,เมือง,บาท
103,2562,25-ต.ค.-62,อ้อยโรงงาน,"3,831.50",328,ราย,ภัยแล้ง,"4,398,562.00",ไร่,ลานสัก,บาท
104,2562,25-ต.ค.-62,อ้อยโรงงาน,0,0,ราย,ภัยแล้ง,0,ไร่,สว่างอารมณ์,บาท
105,2562,25-ต.ค.-62,อ้อยโรงงาน,0,0,ราย,ภัยแล้ง,0,ไร่,หนองขาหย่าง,บาท
106,2562,25-ต.ค.-62,อ้อยโรงงาน,0,0,ราย,ภัยแล้ง,0,ไร่,หนองฉาง,บาท
107,2562,25-ต.ค.-62,อ้อยโรงงาน,0,0,ราย,ภัยแล้ง,0,ไร่,ห้วยคต,บาท
108,2563,24 ส.ค. - 5 ต.ค. 2563,อ้อยโรงงาน,367,52,ราย,ฝนแล้ง,"421,316.00",ไร่,ทัพทัน,บาท
109,2563,24 ส.ค. - 5 ต.ค. 2563,อ้อยโรงงาน,"3,107.00",269,ราย,ฝนแล้ง,"3,566,836.00",ไร่,สว่างอารมณ์,บาท
110,2563,24 ส.ค. - 5 ต.ค. 2563,อ้อยโรงงาน,262,34,ราย,ฝนแล้ง,"300,776.00",ไร่,หนองฉาง,บาท
111,2563,24 ส.ค. - 5 ต.ค. 2563,อ้อยโรงงาน,0,0,ราย,ฝนแล้ง,0,ไร่,หนองขาหย่าง,บาท
112,2566,22 พ.ค. - 1 ก.ย. 2566,อ้อยโรงงาน,462.5,47,ราย,ฝนแล้ง,"915,750.00",ไร่,ทัพทัน,บาท
113,2566,22 พ.ค. - 1 ก.ย. 2566,อ้อยโรงงาน,"5,198.00",347,ราย,ฝนแล้ง,"10,292,040.00",ไร่,สว่างอารมณ์,บาท
114,2566,22 พ.ค. - 1 ก.ย. 2566,อ้อยโรงงาน,"2,040.75",228,ราย,ฝนแล้ง,"4,040,685.00",ไร่,บ้านไร่,บาท
115,2566,22 พ.ค. - 1 ก.ย. 2566,อ้อยโรงงาน,"1,087.00",136,ราย,ฝนแล้ง,"2,152,260.00",ไร่,ลานสัก,บาท
116,2566,22 พ.ค. - 1 ก.ย. 2566,อ้อยโรงงาน,69,15,ราย,ฝนแล้ง,"136,620.00",ไร่,ห้วยคต,บาท
117,2567,3 ก.ย. 2566 - 15 มี.ค. 2567,อ้อยโรงงาน,237.5,23,ราย,ฝนแล้ง,"470,250.00",ไร่,ทัพทัน,บาท
118,2567,20 เม.ย. - 22 พ.ค. 2567,อ้อยโรงงาน,697.5,121,ราย,ภัยแล้ง,"1,381,050.00",ไร่,บ้านไร่,บาท
119,2567,20 เม.ย. - 22 พ.ค. 2567,อ้อยโรงงาน,122,28,ราย,ภัยแล้ง,"241,560.00",ไร่,ห้วยคต,บาท
