VALUE,SOURCE,_id,INDUSTRY,SEX,UNIT,REGION,YEAR
13866,สำนักงานสถิติแห่งชาติ,23,03) ภาคการบริการและการค้า,รวม,บาท,2) ภาคกลาง,2564
11915,สำนักงานสถิติแห่งชาติ,24,รวม,รวม,บาท,2) ภาคกลาง,2564
7266,สำนักงานสถิติแห่งชาติ,25,01) ภาคเกษตรกรรม,1. ชาย,บาท,3) ภาคเหนือ,2564
7884,สำนักงานสถิติแห่งชาติ,26,02) ภาคการผลิต,1. ชาย,บาท,3) ภาคเหนือ,2564
14254,สำนักงานสถิติแห่งชาติ,27,03) ภาคการบริการและการค้า,1. ชาย,บาท,3) ภาคเหนือ,2564
10719,สำนักงานสถิติแห่งชาติ,28,รวม,1. ชาย,บาท,3) ภาคเหนือ,2564
3710,สำนักงานสถิติแห่งชาติ,29,01) ภาคเกษตรกรรม,2. หญิง,บาท,3) ภาคเหนือ,2564
6636,สำนักงานสถิติแห่งชาติ,30,02) ภาคการผลิต,2. หญิง,บาท,3) ภาคเหนือ,2564
10934,สำนักงานสถิติแห่งชาติ,31,03) ภาคการบริการและการค้า,2. หญิง,บาท,3) ภาคเหนือ,2564
8094,สำนักงานสถิติแห่งชาติ,32,รวม,2. หญิง,บาท,3) ภาคเหนือ,2564
5666,สำนักงานสถิติแห่งชาติ,33,01) ภาคเกษตรกรรม,รวม,บาท,3) ภาคเหนือ,2564
7504,สำนักงานสถิติแห่งชาติ,34,02) ภาคการผลิต,รวม,บาท,3) ภาคเหนือ,2564
12985,สำนักงานสถิติแห่งชาติ,35,03) ภาคการบริการและการค้า,รวม,บาท,3) ภาคเหนือ,2564
9754,สำนักงานสถิติแห่งชาติ,36,รวม,รวม,บาท,3) ภาคเหนือ,2564
4691,สำนักงานสถิติแห่งชาติ,37,01) ภาคเกษตรกรรม,1. ชาย,บาท,4) ภาคตะวันออกเฉียงเหนือ,2564
9917,สำนักงานสถิติแห่งชาติ,38,02) ภาคการผลิต,1. ชาย,บาท,4) ภาคตะวันออกเฉียงเหนือ,2564
14786,สำนักงานสถิติแห่งชาติ,39,03) ภาคการบริการและการค้า,1. ชาย,บาท,4) ภาคตะวันออกเฉียงเหนือ,2564
12288,สำนักงานสถิติแห่งชาติ,40,รวม,1. ชาย,บาท,4) ภาคตะวันออกเฉียงเหนือ,2564
5320,สำนักงานสถิติแห่งชาติ,41,01) ภาคเกษตรกรรม,2. หญิง,บาท,4) ภาคตะวันออกเฉียงเหนือ,2564
4390,สำนักงานสถิติแห่งชาติ,42,02) ภาคการผลิต,2. หญิง,บาท,4) ภาคตะวันออกเฉียงเหนือ,2564
15466,สำนักงานสถิติแห่งชาติ,43,03) ภาคการบริการและการค้า,2. หญิง,บาท,4) ภาคตะวันออกเฉียงเหนือ,2564
10914,สำนักงานสถิติแห่งชาติ,44,รวม,2. หญิง,บาท,4) ภาคตะวันออกเฉียงเหนือ,2564
5022,สำนักงานสถิติแห่งชาติ,45,01) ภาคเกษตรกรรม,รวม,บาท,4) ภาคตะวันออกเฉียงเหนือ,2564
8134,สำนักงานสถิติแห่งชาติ,46,02) ภาคการผลิต,รวม,บาท,4) ภาคตะวันออกเฉียงเหนือ,2564
15024,สำนักงานสถิติแห่งชาติ,47,03) ภาคการบริการและการค้า,รวม,บาท,4) ภาคตะวันออกเฉียงเหนือ,2564
11770,สำนักงานสถิติแห่งชาติ,48,รวม,รวม,บาท,4) ภาคตะวันออกเฉียงเหนือ,2564
4287,สำนักงานสถิติแห่งชาติ,49,01) ภาคเกษตรกรรม,1. ชาย,บาท,5) ภาคใต้,2564
9415,สำนักงานสถิติแห่งชาติ,50,02) ภาคการผลิต,1. ชาย,บาท,5) ภาคใต้,2564
13972,สำนักงานสถิติแห่งชาติ,51,03) ภาคการบริการและการค้า,1. ชาย,บาท,5) ภาคใต้,2564
7765,สำนักงานสถิติแห่งชาติ,52,รวม,1. ชาย,บาท,5) ภาคใต้,2564
3846,สำนักงานสถิติแห่งชาติ,53,01) ภาคเกษตรกรรม,2. หญิง,บาท,5) ภาคใต้,2564
5957,สำนักงานสถิติแห่งชาติ,54,02) ภาคการผลิต,2. หญิง,บาท,5) ภาคใต้,2564
20664,สำนักงานสถิติแห่งชาติ,55,03) ภาคการบริการและการค้า,2. หญิง,บาท,5) ภาคใต้,2564
10620,สำนักงานสถิติแห่งชาติ,56,รวม,2. หญิง,บาท,5) ภาคใต้,2564
4117,สำนักงานสถิติแห่งชาติ,57,01) ภาคเกษตรกรรม,รวม,บาท,5) ภาคใต้,2564
9096,สำนักงานสถิติแห่งชาติ,58,02) ภาคการผลิต,รวม,บาท,5) ภาคใต้,2564
17336,สำนักงานสถิติแห่งชาติ,59,03) ภาคการบริการและการค้า,รวม,บาท,5) ภาคใต้,2564
8827,สำนักงานสถิติแห่งชาติ,60,รวม,รวม,บาท,5) ภาคใต้,2564
0,สำนักงานสถิติแห่งชาติ,61,01) ภาคเกษตรกรรม,1. ชาย,บาท,1) กรุงเทพมหานคร,2565
37166,สำนักงานสถิติแห่งชาติ,62,02) ภาคการผลิต,1. ชาย,บาท,1) กรุงเทพมหานคร,2565
19055,สำนักงานสถิติแห่งชาติ,63,03) ภาคการบริการและการค้า,1. ชาย,บาท,1) กรุงเทพมหานคร,2565
24242,สำนักงานสถิติแห่งชาติ,64,รวม,1. ชาย,บาท,1) กรุงเทพมหานคร,2565
0,สำนักงานสถิติแห่งชาติ,65,01) ภาคเกษตรกรรม,2. หญิง,บาท,1) กรุงเทพมหานคร,2565
21906,สำนักงานสถิติแห่งชาติ,66,02) ภาคการผลิต,2. หญิง,บาท,1) กรุงเทพมหานคร,2565
12263,สำนักงานสถิติแห่งชาติ,67,03) ภาคการบริการและการค้า,2. หญิง,บาท,1) กรุงเทพมหานคร,2565
13464,สำนักงานสถิติแห่งชาติ,68,รวม,2. หญิง,บาท,1) กรุงเทพมหานคร,2565
0,สำนักงานสถิติแห่งชาติ,69,01) ภาคเกษตรกรรม,รวม,บาท,1) กรุงเทพมหานคร,2565
32680,สำนักงานสถิติแห่งชาติ,70,02) ภาคการผลิต,รวม,บาท,1) กรุงเทพมหานคร,2565
15387,สำนักงานสถิติแห่งชาติ,71,03) ภาคการบริการและการค้า,รวม,บาท,1) กรุงเทพมหานคร,2565
18972,สำนักงานสถิติแห่งชาติ,72,รวม,รวม,บาท,1) กรุงเทพมหานคร,2565
7346,สำนักงานสถิติแห่งชาติ,73,01) ภาคเกษตรกรรม,1. ชาย,บาท,2) ภาคกลาง,2565
11712,สำนักงานสถิติแห่งชาติ,74,02) ภาคการผลิต,1. ชาย,บาท,2) ภาคกลาง,2565
12996,สำนักงานสถิติแห่งชาติ,75,03) ภาคการบริการและการค้า,1. ชาย,บาท,2) ภาคกลาง,2565
11686,สำนักงานสถิติแห่งชาติ,76,รวม,1. ชาย,บาท,2) ภาคกลาง,2565
5760,สำนักงานสถิติแห่งชาติ,77,01) ภาคเกษตรกรรม,2. หญิง,บาท,2) ภาคกลาง,2565
11635,สำนักงานสถิติแห่งชาติ,78,02) ภาคการผลิต,2. หญิง,บาท,2) ภาคกลาง,2565
12638,สำนักงานสถิติแห่งชาติ,79,03) ภาคการบริการและการค้า,2. หญิง,บาท,2) ภาคกลาง,2565
11242,สำนักงานสถิติแห่งชาติ,80,รวม,2. หญิง,บาท,2) ภาคกลาง,2565
6572,สำนักงานสถิติแห่งชาติ,81,01) ภาคเกษตรกรรม,รวม,บาท,2) ภาคกลาง,2565
11686,สำนักงานสถิติแห่งชาติ,82,02) ภาคการผลิต,รวม,บาท,2) ภาคกลาง,2565
12816,สำนักงานสถิติแห่งชาติ,83,03) ภาคการบริการและการค้า,รวม,บาท,2) ภาคกลาง,2565
11488,สำนักงานสถิติแห่งชาติ,84,รวม,รวม,บาท,2) ภาคกลาง,2565
5876,สำนักงานสถิติแห่งชาติ,85,01) ภาคเกษตรกรรม,1. ชาย,บาท,3) ภาคเหนือ,2565
8485,สำนักงานสถิติแห่งชาติ,86,02) ภาคการผลิต,1. ชาย,บาท,3) ภาคเหนือ,2565
12328,สำนักงานสถิติแห่งชาติ,87,03) ภาคการบริการและการค้า,1. ชาย,บาท,3) ภาคเหนือ,2565
9913,สำนักงานสถิติแห่งชาติ,88,รวม,1. ชาย,บาท,3) ภาคเหนือ,2565
4757,สำนักงานสถิติแห่งชาติ,89,01) ภาคเกษตรกรรม,2. หญิง,บาท,3) ภาคเหนือ,2565
5510,สำนักงานสถิติแห่งชาติ,90,02) ภาคการผลิต,2. หญิง,บาท,3) ภาคเหนือ,2565
11082,สำนักงานสถิติแห่งชาติ,91,03) ภาคการบริการและการค้า,2. หญิง,บาท,3) ภาคเหนือ,2565
8681,สำนักงานสถิติแห่งชาติ,92,รวม,2. หญิง,บาท,3) ภาคเหนือ,2565
5202,สำนักงานสถิติแห่งชาติ,93,01) ภาคเกษตรกรรม,รวม,บาท,3) ภาคเหนือ,2565
7775,สำนักงานสถิติแห่งชาติ,94,02) ภาคการผลิต,รวม,บาท,3) ภาคเหนือ,2565
11717,สำนักงานสถิติแห่งชาติ,95,03) ภาคการบริการและการค้า,รวม,บาท,3) ภาคเหนือ,2565
9407,สำนักงานสถิติแห่งชาติ,96,รวม,รวม,บาท,3) ภาคเหนือ,2565
5111,สำนักงานสถิติแห่งชาติ,97,01) ภาคเกษตรกรรม,1. ชาย,บาท,4) ภาคตะวันออกเฉียงเหนือ,2565
7807,สำนักงานสถิติแห่งชาติ,98,02) ภาคการผลิต,1. ชาย,บาท,4) ภาคตะวันออกเฉียงเหนือ,2565
13063,สำนักงานสถิติแห่งชาติ,99,03) ภาคการบริการและการค้า,1. ชาย,บาท,4) ภาคตะวันออกเฉียงเหนือ,2565
9762,สำนักงานสถิติแห่งชาติ,100,รวม,1. ชาย,บาท,4) ภาคตะวันออกเฉียงเหนือ,2565
4186,สำนักงานสถิติแห่งชาติ,101,01) ภาคเกษตรกรรม,2. หญิง,บาท,4) ภาคตะวันออกเฉียงเหนือ,2565
5303,สำนักงานสถิติแห่งชาติ,102,02) ภาคการผลิต,2. หญิง,บาท,4) ภาคตะวันออกเฉียงเหนือ,2565
16472,สำนักงานสถิติแห่งชาติ,103,03) ภาคการบริการและการค้า,2. หญิง,บาท,4) ภาคตะวันออกเฉียงเหนือ,2565
11303,สำนักงานสถิติแห่งชาติ,104,รวม,2. หญิง,บาท,4) ภาคตะวันออกเฉียงเหนือ,2565
4785,สำนักงานสถิติแห่งชาติ,105,01) ภาคเกษตรกรรม,รวม,บาท,4) ภาคตะวันออกเฉียงเหนือ,2565
7091,สำนักงานสถิติแห่งชาติ,106,02) ภาคการผลิต,รวม,บาท,4) ภาคตะวันออกเฉียงเหนือ,2565
14375,สำนักงานสถิติแห่งชาติ,107,03) ภาคการบริการและการค้า,รวม,บาท,4) ภาคตะวันออกเฉียงเหนือ,2565
10302,สำนักงานสถิติแห่งชาติ,108,รวม,รวม,บาท,4) ภาคตะวันออกเฉียงเหนือ,2565
5319,สำนักงานสถิติแห่งชาติ,109,01) ภาคเกษตรกรรม,1. ชาย,บาท,5) ภาคใต้,2565
13319,สำนักงานสถิติแห่งชาติ,110,02) ภาคการผลิต,1. ชาย,บาท,5) ภาคใต้,2565
15145,สำนักงานสถิติแห่งชาติ,111,03) ภาคการบริการและการค้า,1. ชาย,บาท,5) ภาคใต้,2565
10017,สำนักงานสถิติแห่งชาติ,112,รวม,1. ชาย,บาท,5) ภาคใต้,2565
4211,สำนักงานสถิติแห่งชาติ,113,01) ภาคเกษตรกรรม,2. หญิง,บาท,5) ภาคใต้,2565
10272,สำนักงานสถิติแห่งชาติ,114,02) ภาคการผลิต,2. หญิง,บาท,5) ภาคใต้,2565
11042,สำนักงานสถิติแห่งชาติ,115,03) ภาคการบริการและการค้า,2. หญิง,บาท,5) ภาคใต้,2565
8051,สำนักงานสถิติแห่งชาติ,116,รวม,2. หญิง,บาท,5) ภาคใต้,2565
4914,สำนักงานสถิติแห่งชาติ,117,01) ภาคเกษตรกรรม,รวม,บาท,5) ภาคใต้,2565
12403,สำนักงานสถิติแห่งชาติ,118,02) ภาคการผลิต,รวม,บาท,5) ภาคใต้,2565
13156,สำนักงานสถิติแห่งชาติ,119,03) ภาคการบริการและการค้า,รวม,บาท,5) ภาคใต้,2565
9236,สำนักงานสถิติแห่งชาติ,120,รวม,รวม,บาท,5) ภาคใต้,2565
