จำนวน,_id,ปี,เพศ,จังหวัด,อุตสาหกรรม,ประเภทแรงงาน,หน่วย
2251,144,2561,ชาย,ปทุมธานี,ไม่ทราบ,แรงงานในระบบ,คน
897,145,2561,หญิง,ปทุมธานี,เหมืองแร่เหมืองหิน,แรงงานในระบบ,คน
119949,146,2561,หญิง,ปทุมธานี,การผลิต,แรงงานในระบบ,คน
9381,147,2561,หญิง,ปทุมธานี,การก่อสร้าง,แรงงานในระบบ,คน
59396,148,2561,หญิง,ปทุมธานี,การขายส่งการขายปลีก,แรงงานในระบบ,คน
8780,149,2561,หญิง,ปทุมธานี,การขนส่ง,แรงงานในระบบ,คน
15561,150,2561,หญิง,ปทุมธานี,ที่พักแรมและบริการด้านอาหาร,แรงงานในระบบ,คน
2925,151,2561,หญิง,ปทุมธานี,ข้อมูลข่าวสารการสื่อสาร,แรงงานในระบบ,คน
9664,152,2561,หญิง,ปทุมธานี,กิจกรรมด้านการเงิน,แรงงานในระบบ,คน
4915,153,2561,หญิง,ปทุมธานี,อสังหาริมทรัพย์,แรงงานในระบบ,คน
7064,154,2561,หญิง,ปทุมธานี,กิจกรรมทางวิชาชีพ,แรงงานในระบบ,คน
8577,155,2561,หญิง,ปทุมธานี,กิจกรรมการบริหาร,แรงงานในระบบ,คน
15348,156,2561,หญิง,ปทุมธานี,บริหารราชการและป้องกันประเทศ,แรงงานในระบบ,คน
12941,157,2561,หญิง,ปทุมธานี,การศึกษา,แรงงานในระบบ,คน
6896,158,2561,หญิง,ปทุมธานี,ด้านสุขภาพและสังคมสงเคราะห์,แรงงานในระบบ,คน
6891,159,2561,หญิง,ปทุมธานี,ศิลปะบันเทิง,แรงงานในระบบ,คน
3356,160,2561,หญิง,ปทุมธานี,กิจกรรมบริการอื่นๆ,แรงงานในระบบ,คน
5330,161,2561,หญิง,ปทุมธานี,การจ้างงานในครัวเรือนส่วนบุคคล,แรงงานในระบบ,คน
33954,162,2561,ชาย,ปทุมธานี,เกษตรกรรม,แรงงานนอกระบบ,คน
16504,163,2561,ชาย,ปทุมธานี,การผลิต,แรงงานนอกระบบ,คน
20269,164,2561,ชาย,ปทุมธานี,การก่อสร้าง,แรงงานนอกระบบ,คน
59739,165,2561,ชาย,ปทุมธานี,การขายส่งการขายปลีก,แรงงานนอกระบบ,คน
19268,166,2561,ชาย,ปทุมธานี,การขนส่ง,แรงงานนอกระบบ,คน
18839,167,2561,ชาย,ปทุมธานี,ที่พักแรมและบริการด้านอาหาร,แรงงานนอกระบบ,คน
542,168,2561,ชาย,ปทุมธานี,ข้อมูลข่าวสารการสื่อสาร,แรงงานนอกระบบ,คน
3689,169,2561,ชาย,ปทุมธานี,กิจกรรมทางวิชาชีพ,แรงงานนอกระบบ,คน
645,170,2561,ชาย,ปทุมธานี,การศึกษา,แรงงานนอกระบบ,คน
350,171,2561,ชาย,ปทุมธานี,ด้านสุขภาพและสังคมสงเคราะห์,แรงงานนอกระบบ,คน
432,172,2561,ชาย,ปทุมธานี,ศิลปะบันเทิง,แรงงานนอกระบบ,คน
3959,173,2561,ชาย,ปทุมธานี,กิจกรรมบริการอื่นๆ,แรงงานนอกระบบ,คน
14409,174,2561,หญิง,ปทุมธานี,เกษตรกรรม,แรงงานนอกระบบ,คน
13131,175,2561,หญิง,ปทุมธานี,การผลิต,แรงงานนอกระบบ,คน
3966,176,2561,หญิง,ปทุมธานี,การก่อสร้าง,แรงงานนอกระบบ,คน
58144,177,2561,หญิง,ปทุมธานี,การขายส่งการขายปลีก,แรงงานนอกระบบ,คน
23523,178,2561,หญิง,ปทุมธานี,ที่พักแรมและบริการด้านอาหาร,แรงงานนอกระบบ,คน
922,179,2561,หญิง,ปทุมธานี,กิจกรรมด้านการเงิน,แรงงานนอกระบบ,คน
325,180,2561,หญิง,ปทุมธานี,อสังหาริมทรัพย์,แรงงานนอกระบบ,คน
421,181,2561,หญิง,ปทุมธานี,กิจกรรมทางวิชาชีพ,แรงงานนอกระบบ,คน
281,182,2561,หญิง,ปทุมธานี,กิจกรรมการบริหาร,แรงงานนอกระบบ,คน
345,183,2561,หญิง,ปทุมธานี,การศึกษา,แรงงานนอกระบบ,คน
1550,184,2561,หญิง,ปทุมธานี,ด้านสุขภาพและสังคมสงเคราะห์,แรงงานนอกระบบ,คน
1227,185,2561,หญิง,ปทุมธานี,ศิลปะบันเทิง,แรงงานนอกระบบ,คน
7343,186,2561,หญิง,ปทุมธานี,กิจกรรมบริการอื่นๆ,แรงงานนอกระบบ,คน
728,187,2561,หญิง,ปทุมธานี,การจ้างงานในครัวเรือนส่วนบุคคล,แรงงานนอกระบบ,คน
2029,188,2561,ชาย,พระนครศรีอยุธยา,เกษตรกรรม,แรงงานในระบบ,คน
3580,189,2561,ชาย,พระนครศรีอยุธยา,เหมืองแร่เหมืองหิน,แรงงานในระบบ,คน
81522,190,2561,ชาย,พระนครศรีอยุธยา,การผลิต,แรงงานในระบบ,คน
1022,191,2561,ชาย,พระนครศรีอยุธยา,ไฟฟ้าก๊าซและประปา,แรงงานในระบบ,คน
533,192,2561,ชาย,พระนครศรีอยุธยา,การจัดหาน้ำการบำบัดน้ำเสีย,แรงงานในระบบ,คน
10303,193,2561,ชาย,พระนครศรีอยุธยา,การก่อสร้าง,แรงงานในระบบ,คน
15667,194,2561,ชาย,พระนครศรีอยุธยา,การขายส่งการขายปลีก,แรงงานในระบบ,คน
14032,195,2561,ชาย,พระนครศรีอยุธยา,การขนส่ง,แรงงานในระบบ,คน
1014,196,2561,ชาย,พระนครศรีอยุธยา,ที่พักแรมและบริการด้านอาหาร,แรงงานในระบบ,คน
394,197,2561,ชาย,พระนครศรีอยุธยา,ข้อมูลข่าวสารการสื่อสาร,แรงงานในระบบ,คน
5473,198,2561,ชาย,พระนครศรีอยุธยา,กิจกรรมด้านการเงิน,แรงงานในระบบ,คน
731,199,2561,ชาย,พระนครศรีอยุธยา,กิจกรรมทางวิชาชีพ,แรงงานในระบบ,คน
3292,200,2561,ชาย,พระนครศรีอยุธยา,กิจกรรมการบริหาร,แรงงานในระบบ,คน
20572,201,2561,ชาย,พระนครศรีอยุธยา,บริหารราชการและป้องกันประเทศ,แรงงานในระบบ,คน
4134,202,2561,ชาย,พระนครศรีอยุธยา,การศึกษา,แรงงานในระบบ,คน
951,203,2561,ชาย,พระนครศรีอยุธยา,ด้านสุขภาพและสังคมสงเคราะห์,แรงงานในระบบ,คน
595,204,2561,ชาย,พระนครศรีอยุธยา,ศิลปะบันเทิง,แรงงานในระบบ,คน
536,205,2561,ชาย,พระนครศรีอยุธยา,กิจกรรมบริการอื่นๆ,แรงงานในระบบ,คน
1331,206,2561,หญิง,พระนครศรีอยุธยา,เกษตรกรรม,แรงงานในระบบ,คน
78691,207,2561,หญิง,พระนครศรีอยุธยา,การผลิต,แรงงานในระบบ,คน
461,208,2561,หญิง,พระนครศรีอยุธยา,การจัดหาน้ำการบำบัดน้ำเสีย,แรงงานในระบบ,คน
3153,209,2561,หญิง,พระนครศรีอยุธยา,การก่อสร้าง,แรงงานในระบบ,คน
12638,210,2561,หญิง,พระนครศรีอยุธยา,การขายส่งการขายปลีก,แรงงานในระบบ,คน
2216,211,2561,หญิง,พระนครศรีอยุธยา,การขนส่ง,แรงงานในระบบ,คน
8599,212,2561,หญิง,พระนครศรีอยุธยา,ที่พักแรมและบริการด้านอาหาร,แรงงานในระบบ,คน
833,213,2561,หญิง,พระนครศรีอยุธยา,ข้อมูลข่าวสารการสื่อสาร,แรงงานในระบบ,คน
4084,214,2561,หญิง,พระนครศรีอยุธยา,กิจกรรมด้านการเงิน,แรงงานในระบบ,คน
