จำนวน,_id,ปี,อำเภอ,หน่วยวัด
0,103,2565,คีรีรัฐนิคม,แห่ง
0,104,2565,บ้านตาขุน,แห่ง
2,105,2565,พนม,แห่ง
4,106,2565,ท่าฉาง,แห่ง
0,107,2565,บ้านนาสาร,แห่ง
0,108,2565,บ้านนาเดิม,แห่ง
1,109,2565,เคียนซา,แห่ง
0,110,2565,เวียงสระ,แห่ง
13,111,2565,พระแสง,แห่ง
4,112,2565,พุนพิน,แห่ง
1,113,2565,ชัยบุรี,แห่ง
0,114,2565,วิภาวดี,แห่ง
1,115,2566,เมืองสุราษฎร์ธานี,แห่ง
3,116,2566,กาญจนดิษฐ์,แห่ง
1,117,2566,ดอนสัก,แห่ง
0,118,2566,เกาะสมุย,แห่ง
0,119,2566,เกาะพะงัน,แห่ง
0,120,2566,ไชยา,แห่ง
5,121,2566,ท่าชนะ,แห่ง
0,122,2566,คีรีรัฐนิคม,แห่ง
0,123,2566,บ้านตาขุน,แห่ง
2,124,2566,พนม,แห่ง
4,125,2566,ท่าฉาง,แห่ง
0,126,2566,บ้านนาสาร,แห่ง
0,127,2566,บ้านนาเดิม,แห่ง
1,128,2566,เคียนซา,แห่ง
0,129,2566,เวียงสระ,แห่ง
13,130,2566,พระแสง,แห่ง
4,131,2566,พุนพิน,แห่ง
1,132,2566,ชัยบุรี,แห่ง
0,133,2566,วิภาวดี,แห่ง
1,134,2567,เมืองสุราษฎร์ธานี,แห่ง
3,135,2567,กาญจนดิษฐ์,แห่ง
1,136,2567,ดอนสัก,แห่ง
0,137,2567,เกาะสมุย,แห่ง
0,138,2567,เกาะพะงัน,แห่ง
0,139,2567,ไชยา,แห่ง
5,140,2567,ท่าชนะ,แห่ง
0,141,2567,คีรีรัฐนิคม,แห่ง
0,142,2567,บ้านตาขุน,แห่ง
2,143,2567,พนม,แห่ง
4,144,2567,ท่าฉาง,แห่ง
0,145,2567,บ้านนาสาร,แห่ง
0,146,2567,บ้านนาเดิม,แห่ง
1,147,2567,เคียนซา,แห่ง
0,148,2567,เวียงสระ,แห่ง
13,149,2567,พระแสง,แห่ง
4,150,2567,พุนพิน,แห่ง
1,151,2567,ชัยบุรี,แห่ง
0,152,2567,วิภาวดี,แห่ง
0,153,2568,เมืองสุราษฎร์ธานี,แห่ง
2,154,2568,กาญจนดิษฐ์,แห่ง
1,155,2568,ดอนสัก,แห่ง
0,156,2568,เกาะสมุย,แห่ง
0,157,2568,เกาะพะงัน,แห่ง
0,158,2568,ไชยา,แห่ง
5,159,2568,ท่าชนะ,แห่ง
0,160,2568,คีรีรัฐนิคม,แห่ง
1,161,2568,บ้านตาขุน,แห่ง
2,162,2568,พนม,แห่ง
4,163,2568,ท่าฉาง,แห่ง
0,164,2568,บ้านนาสาร,แห่ง
0,165,2568,บ้านนาเดิม,แห่ง
1,166,2568,เคียนซา,แห่ง
0,167,2568,เวียงสระ,แห่ง
12,168,2568,พระแสง,แห่ง
5,169,2568,พุนพิน,แห่ง
1,170,2568,ชัยบุรี,แห่ง
0,171,2568,วิภาวดี,แห่ง
