PROVINCE,VALUE,QUARTER,SOURCE,_id,SEX,UNIT,REGION,YEAR
บึงกาฬ,138.2,ไตรมาส 1,สำนักงานสถิติแห่งชาติ,16,หญิง,พันคน,ภาคตะวันออกเฉียงเหนือ,2563
บุรีรัมย์,465.8,ไตรมาส 1,สำนักงานสถิติแห่งชาติ,17,ชาย,พันคน,ภาคตะวันออกเฉียงเหนือ,2563
บุรีรัมย์,511.2,ไตรมาส 1,สำนักงานสถิติแห่งชาติ,18,หญิง,พันคน,ภาคตะวันออกเฉียงเหนือ,2563
มหาสารคาม,319.5,ไตรมาส 1,สำนักงานสถิติแห่งชาติ,19,ชาย,พันคน,ภาคตะวันออกเฉียงเหนือ,2563
มหาสารคาม,360.9,ไตรมาส 1,สำนักงานสถิติแห่งชาติ,20,หญิง,พันคน,ภาคตะวันออกเฉียงเหนือ,2563
มุกดาหาร,135.0,ไตรมาส 1,สำนักงานสถิติแห่งชาติ,21,ชาย,พันคน,ภาคตะวันออกเฉียงเหนือ,2563
มุกดาหาร,140.3,ไตรมาส 1,สำนักงานสถิติแห่งชาติ,22,หญิง,พันคน,ภาคตะวันออกเฉียงเหนือ,2563
ยโสธร,187.4,ไตรมาส 1,สำนักงานสถิติแห่งชาติ,23,ชาย,พันคน,ภาคตะวันออกเฉียงเหนือ,2563
ยโสธร,199.9,ไตรมาส 1,สำนักงานสถิติแห่งชาติ,24,หญิง,พันคน,ภาคตะวันออกเฉียงเหนือ,2563
ร้อยเอ็ด,411.2,ไตรมาส 1,สำนักงานสถิติแห่งชาติ,25,ชาย,พันคน,ภาคตะวันออกเฉียงเหนือ,2563
ร้อยเอ็ด,446.2,ไตรมาส 1,สำนักงานสถิติแห่งชาติ,26,หญิง,พันคน,ภาคตะวันออกเฉียงเหนือ,2563
ศรีสะเกษ,386.1,ไตรมาส 1,สำนักงานสถิติแห่งชาติ,27,ชาย,พันคน,ภาคตะวันออกเฉียงเหนือ,2563
ศรีสะเกษ,424.8,ไตรมาส 1,สำนักงานสถิติแห่งชาติ,28,หญิง,พันคน,ภาคตะวันออกเฉียงเหนือ,2563
สกลนคร,351.1,ไตรมาส 1,สำนักงานสถิติแห่งชาติ,29,ชาย,พันคน,ภาคตะวันออกเฉียงเหนือ,2563
สกลนคร,379.4,ไตรมาส 1,สำนักงานสถิติแห่งชาติ,30,หญิง,พันคน,ภาคตะวันออกเฉียงเหนือ,2563
สุรินทร์,410.8,ไตรมาส 1,สำนักงานสถิติแห่งชาติ,31,ชาย,พันคน,ภาคตะวันออกเฉียงเหนือ,2563
สุรินทร์,455.6,ไตรมาส 1,สำนักงานสถิติแห่งชาติ,32,หญิง,พันคน,ภาคตะวันออกเฉียงเหนือ,2563
หนองคาย,168.0,ไตรมาส 1,สำนักงานสถิติแห่งชาติ,33,ชาย,พันคน,ภาคตะวันออกเฉียงเหนือ,2563
หนองคาย,185.0,ไตรมาส 1,สำนักงานสถิติแห่งชาติ,34,หญิง,พันคน,ภาคตะวันออกเฉียงเหนือ,2563
หนองบัวลำภู,175.9,ไตรมาส 1,สำนักงานสถิติแห่งชาติ,35,ชาย,พันคน,ภาคตะวันออกเฉียงเหนือ,2563
หนองบัวลำภู,193.1,ไตรมาส 1,สำนักงานสถิติแห่งชาติ,36,หญิง,พันคน,ภาคตะวันออกเฉียงเหนือ,2563
อำนาจเจริญ,106.3,ไตรมาส 1,สำนักงานสถิติแห่งชาติ,37,ชาย,พันคน,ภาคตะวันออกเฉียงเหนือ,2563
อำนาจเจริญ,113.5,ไตรมาส 1,สำนักงานสถิติแห่งชาติ,38,หญิง,พันคน,ภาคตะวันออกเฉียงเหนือ,2563
อุดรธานี,485.7,ไตรมาส 1,สำนักงานสถิติแห่งชาติ,39,ชาย,พันคน,ภาคตะวันออกเฉียงเหนือ,2563
อุดรธานี,523.5,ไตรมาส 1,สำนักงานสถิติแห่งชาติ,40,หญิง,พันคน,ภาคตะวันออกเฉียงเหนือ,2563
อุบลราชธานี,660.1,ไตรมาส 1,สำนักงานสถิติแห่งชาติ,41,ชาย,พันคน,ภาคตะวันออกเฉียงเหนือ,2563
อุบลราชธานี,702.3,ไตรมาส 1,สำนักงานสถิติแห่งชาติ,42,หญิง,พันคน,ภาคตะวันออกเฉียงเหนือ,2563
เลย,220.0,ไตรมาส 1,สำนักงานสถิติแห่งชาติ,43,ชาย,พันคน,ภาคตะวันออกเฉียงเหนือ,2563
เลย,226.1,ไตรมาส 1,สำนักงานสถิติแห่งชาติ,44,หญิง,พันคน,ภาคตะวันออกเฉียงเหนือ,2563
กระบี่,146.6,ไตรมาส 1,สำนักงานสถิติแห่งชาติ,45,ชาย,พันคน,ภาคใต้,2563
กระบี่,150.1,ไตรมาส 1,สำนักงานสถิติแห่งชาติ,46,หญิง,พันคน,ภาคใต้,2563
ชุมพร,206.6,ไตรมาส 1,สำนักงานสถิติแห่งชาติ,47,ชาย,พันคน,ภาคใต้,2563
ชุมพร,204.6,ไตรมาส 1,สำนักงานสถิติแห่งชาติ,48,หญิง,พันคน,ภาคใต้,2563
ตรัง,245.6,ไตรมาส 1,สำนักงานสถิติแห่งชาติ,49,ชาย,พันคน,ภาคใต้,2563
ตรัง,267.2,ไตรมาส 1,สำนักงานสถิติแห่งชาติ,50,หญิง,พันคน,ภาคใต้,2563
นครศรีธรรมราช,612.7,ไตรมาส 1,สำนักงานสถิติแห่งชาติ,51,ชาย,พันคน,ภาคใต้,2563
นครศรีธรรมราช,655.4,ไตรมาส 1,สำนักงานสถิติแห่งชาติ,52,หญิง,พันคน,ภาคใต้,2563
นราธิวาส,253.3,ไตรมาส 1,สำนักงานสถิติแห่งชาติ,53,ชาย,พันคน,ภาคใต้,2563
นราธิวาส,264.4,ไตรมาส 1,สำนักงานสถิติแห่งชาติ,54,หญิง,พันคน,ภาคใต้,2563
ปัตตานี,225.8,ไตรมาส 1,สำนักงานสถิติแห่งชาติ,55,ชาย,พันคน,ภาคใต้,2563
ปัตตานี,244.8,ไตรมาส 1,สำนักงานสถิติแห่งชาติ,56,หญิง,พันคน,ภาคใต้,2563
พังงา,110.7,ไตรมาส 1,สำนักงานสถิติแห่งชาติ,57,ชาย,พันคน,ภาคใต้,2563
พังงา,107.8,ไตรมาส 1,สำนักงานสถิติแห่งชาติ,58,หญิง,พันคน,ภาคใต้,2563
พัทลุง,198.8,ไตรมาส 1,สำนักงานสถิติแห่งชาติ,59,ชาย,พันคน,ภาคใต้,2563
พัทลุง,221.2,ไตรมาส 1,สำนักงานสถิติแห่งชาติ,60,หญิง,พันคน,ภาคใต้,2563
ภูเก็ต,225.6,ไตรมาส 1,สำนักงานสถิติแห่งชาติ,61,ชาย,พันคน,ภาคใต้,2563
ภูเก็ต,227.2,ไตรมาส 1,สำนักงานสถิติแห่งชาติ,62,หญิง,พันคน,ภาคใต้,2563
ยะลา,164.4,ไตรมาส 1,สำนักงานสถิติแห่งชาติ,63,ชาย,พันคน,ภาคใต้,2563
ยะลา,171.6,ไตรมาส 1,สำนักงานสถิติแห่งชาติ,64,หญิง,พันคน,ภาคใต้,2563
ระนอง,103.1,ไตรมาส 1,สำนักงานสถิติแห่งชาติ,65,ชาย,พันคน,ภาคใต้,2563
ระนอง,101.6,ไตรมาส 1,สำนักงานสถิติแห่งชาติ,66,หญิง,พันคน,ภาคใต้,2563
สงขลา,605.3,ไตรมาส 1,สำนักงานสถิติแห่งชาติ,67,ชาย,พันคน,ภาคใต้,2563
สงขลา,660.3,ไตรมาส 1,สำนักงานสถิติแห่งชาติ,68,หญิง,พันคน,ภาคใต้,2563
สตูล,109.1,ไตรมาส 1,สำนักงานสถิติแห่งชาติ,69,ชาย,พันคน,ภาคใต้,2563
สตูล,108.1,ไตรมาส 1,สำนักงานสถิติแห่งชาติ,70,หญิง,พันคน,ภาคใต้,2563
สุราษฎร์ธานี,426.7,ไตรมาส 1,สำนักงานสถิติแห่งชาติ,71,ชาย,พันคน,ภาคใต้,2563
สุราษฎร์ธานี,450.7,ไตรมาส 1,สำนักงานสถิติแห่งชาติ,72,หญิง,พันคน,ภาคใต้,2563
กรุงเทพมหานคร,3668.0,ไตรมาส 2,สำนักงานสถิติแห่งชาติ,73,ชาย,พันคน,กรุงเทพมหานคร,2563
กรุงเทพมหานคร,3977.4,ไตรมาส 2,สำนักงานสถิติแห่งชาติ,74,หญิง,พันคน,กรุงเทพมหานคร,2563
กาญจนบุรี,322.0,ไตรมาส 2,สำนักงานสถิติแห่งชาติ,75,ชาย,พันคน,ภาคกลาง,2563
กาญจนบุรี,326.2,ไตรมาส 2,สำนักงานสถิติแห่งชาติ,76,หญิง,พันคน,ภาคกลาง,2563
จันทบุรี,227.3,ไตรมาส 2,สำนักงานสถิติแห่งชาติ,77,ชาย,พันคน,ภาคกลาง,2563
ขอนแก่น,694.0,ไตรมาส 2,สำนักงานสถิติแห่งชาติ,78,ชาย,พันคน,ภาคตะวันออกเฉียงเหนือ,2563
ขอนแก่น,764.8,ไตรมาส 2,สำนักงานสถิติแห่งชาติ,79,หญิง,พันคน,ภาคตะวันออกเฉียงเหนือ,2563
ชัยภูมิ,374.0,ไตรมาส 2,สำนักงานสถิติแห่งชาติ,80,ชาย,พันคน,ภาคตะวันออกเฉียงเหนือ,2563
ชัยภูมิ,405.6,ไตรมาส 2,สำนักงานสถิติแห่งชาติ,81,หญิง,พันคน,ภาคตะวันออกเฉียงเหนือ,2563
นครพนม,211.7,ไตรมาส 2,สำนักงานสถิติแห่งชาติ,82,ชาย,พันคน,ภาคตะวันออกเฉียงเหนือ,2563
นครพนม,230.5,ไตรมาส 2,สำนักงานสถิติแห่งชาติ,83,หญิง,พันคน,ภาคตะวันออกเฉียงเหนือ,2563
นครราชสีมา,992.0,ไตรมาส 2,สำนักงานสถิติแห่งชาติ,84,ชาย,พันคน,ภาคตะวันออกเฉียงเหนือ,2563
นครราชสีมา,1062.9,ไตรมาส 2,สำนักงานสถิติแห่งชาติ,85,หญิง,พันคน,ภาคตะวันออกเฉียงเหนือ,2563
บึงกาฬ,131.1,ไตรมาส 2,สำนักงานสถิติแห่งชาติ,86,ชาย,พันคน,ภาคตะวันออกเฉียงเหนือ,2563
บึงกาฬ,138.3,ไตรมาส 2,สำนักงานสถิติแห่งชาติ,87,หญิง,พันคน,ภาคตะวันออกเฉียงเหนือ,2563
บุรีรัมย์,465.9,ไตรมาส 2,สำนักงานสถิติแห่งชาติ,88,ชาย,พันคน,ภาคตะวันออกเฉียงเหนือ,2563
บุรีรัมย์,511.5,ไตรมาส 2,สำนักงานสถิติแห่งชาติ,89,หญิง,พันคน,ภาคตะวันออกเฉียงเหนือ,2563
มหาสารคาม,319.4,ไตรมาส 2,สำนักงานสถิติแห่งชาติ,90,ชาย,พันคน,ภาคตะวันออกเฉียงเหนือ,2563
มหาสารคาม,360.9,ไตรมาส 2,สำนักงานสถิติแห่งชาติ,91,หญิง,พันคน,ภาคตะวันออกเฉียงเหนือ,2563
มุกดาหาร,135.0,ไตรมาส 2,สำนักงานสถิติแห่งชาติ,92,ชาย,พันคน,ภาคตะวันออกเฉียงเหนือ,2563
มุกดาหาร,140.3,ไตรมาส 2,สำนักงานสถิติแห่งชาติ,93,หญิง,พันคน,ภาคตะวันออกเฉียงเหนือ,2563
ยโสธร,187.4,ไตรมาส 2,สำนักงานสถิติแห่งชาติ,94,ชาย,พันคน,ภาคตะวันออกเฉียงเหนือ,2563
ยโสธร,200.0,ไตรมาส 2,สำนักงานสถิติแห่งชาติ,95,หญิง,พันคน,ภาคตะวันออกเฉียงเหนือ,2563
ร้อยเอ็ด,411.3,ไตรมาส 2,สำนักงานสถิติแห่งชาติ,96,ชาย,พันคน,ภาคตะวันออกเฉียงเหนือ,2563
ร้อยเอ็ด,446.5,ไตรมาส 2,สำนักงานสถิติแห่งชาติ,97,หญิง,พันคน,ภาคตะวันออกเฉียงเหนือ,2563
ศรีสะเกษ,386.1,ไตรมาส 2,สำนักงานสถิติแห่งชาติ,98,ชาย,พันคน,ภาคตะวันออกเฉียงเหนือ,2563
ศรีสะเกษ,425.1,ไตรมาส 2,สำนักงานสถิติแห่งชาติ,99,หญิง,พันคน,ภาคตะวันออกเฉียงเหนือ,2563
สกลนคร,351.0,ไตรมาส 2,สำนักงานสถิติแห่งชาติ,100,ชาย,พันคน,ภาคตะวันออกเฉียงเหนือ,2563
สกลนคร,379.4,ไตรมาส 2,สำนักงานสถิติแห่งชาติ,101,หญิง,พันคน,ภาคตะวันออกเฉียงเหนือ,2563
สุรินทร์,411.0,ไตรมาส 2,สำนักงานสถิติแห่งชาติ,102,ชาย,พันคน,ภาคตะวันออกเฉียงเหนือ,2563
สุรินทร์,456.0,ไตรมาส 2,สำนักงานสถิติแห่งชาติ,103,หญิง,พันคน,ภาคตะวันออกเฉียงเหนือ,2563
หนองคาย,168.0,ไตรมาส 2,สำนักงานสถิติแห่งชาติ,104,ชาย,พันคน,ภาคตะวันออกเฉียงเหนือ,2563
หนองคาย,185.0,ไตรมาส 2,สำนักงานสถิติแห่งชาติ,105,หญิง,พันคน,ภาคตะวันออกเฉียงเหนือ,2563
หนองบัวลำภู,175.8,ไตรมาส 2,สำนักงานสถิติแห่งชาติ,106,ชาย,พันคน,ภาคตะวันออกเฉียงเหนือ,2563
หนองบัวลำภู,193.1,ไตรมาส 2,สำนักงานสถิติแห่งชาติ,107,หญิง,พันคน,ภาคตะวันออกเฉียงเหนือ,2563
อำนาจเจริญ,106.3,ไตรมาส 2,สำนักงานสถิติแห่งชาติ,108,ชาย,พันคน,ภาคตะวันออกเฉียงเหนือ,2563
อำนาจเจริญ,113.5,ไตรมาส 2,สำนักงานสถิติแห่งชาติ,109,หญิง,พันคน,ภาคตะวันออกเฉียงเหนือ,2563
อุดรธานี,485.6,ไตรมาส 2,สำนักงานสถิติแห่งชาติ,110,ชาย,พันคน,ภาคตะวันออกเฉียงเหนือ,2563
อุดรธานี,523.6,ไตรมาส 2,สำนักงานสถิติแห่งชาติ,111,หญิง,พันคน,ภาคตะวันออกเฉียงเหนือ,2563
อุบลราชธานี,660.1,ไตรมาส 2,สำนักงานสถิติแห่งชาติ,112,ชาย,พันคน,ภาคตะวันออกเฉียงเหนือ,2563
อุบลราชธานี,702.5,ไตรมาส 2,สำนักงานสถิติแห่งชาติ,113,หญิง,พันคน,ภาคตะวันออกเฉียงเหนือ,2563
เลย,220.0,ไตรมาส 2,สำนักงานสถิติแห่งชาติ,114,ชาย,พันคน,ภาคตะวันออกเฉียงเหนือ,2563
เลย,226.1,ไตรมาส 2,สำนักงานสถิติแห่งชาติ,115,หญิง,พันคน,ภาคตะวันออกเฉียงเหนือ,2563
กระบี่,146.8,ไตรมาส 2,สำนักงานสถิติแห่งชาติ,116,ชาย,พันคน,ภาคใต้,2563
กระบี่,150.3,ไตรมาส 2,สำนักงานสถิติแห่งชาติ,117,หญิง,พันคน,ภาคใต้,2563
ชุมพร,207.0,ไตรมาส 2,สำนักงานสถิติแห่งชาติ,118,ชาย,พันคน,ภาคใต้,2563
ชุมพร,205.0,ไตรมาส 2,สำนักงานสถิติแห่งชาติ,119,หญิง,พันคน,ภาคใต้,2563
ตรัง,246.0,ไตรมาส 2,สำนักงานสถิติแห่งชาติ,120,ชาย,พันคน,ภาคใต้,2563
ตรัง,267.8,ไตรมาส 2,สำนักงานสถิติแห่งชาติ,121,หญิง,พันคน,ภาคใต้,2563
นครศรีธรรมราช,613.9,ไตรมาส 2,สำนักงานสถิติแห่งชาติ,122,ชาย,พันคน,ภาคใต้,2563
นครศรีธรรมราช,657.1,ไตรมาส 2,สำนักงานสถิติแห่งชาติ,123,หญิง,พันคน,ภาคใต้,2563
นราธิวาส,253.6,ไตรมาส 2,สำนักงานสถิติแห่งชาติ,124,ชาย,พันคน,ภาคใต้,2563
นราธิวาส,264.8,ไตรมาส 2,สำนักงานสถิติแห่งชาติ,125,หญิง,พันคน,ภาคใต้,2563
ปัตตานี,226.1,ไตรมาส 2,สำนักงานสถิติแห่งชาติ,126,ชาย,พันคน,ภาคใต้,2563
ปัตตานี,245.2,ไตรมาส 2,สำนักงานสถิติแห่งชาติ,127,หญิง,พันคน,ภาคใต้,2563
พังงา,110.9,ไตรมาส 2,สำนักงานสถิติแห่งชาติ,128,ชาย,พันคน,ภาคใต้,2563
พังงา,108.0,ไตรมาส 2,สำนักงานสถิติแห่งชาติ,129,หญิง,พันคน,ภาคใต้,2563
พัทลุง,199.2,ไตรมาส 2,สำนักงานสถิติแห่งชาติ,130,ชาย,พันคน,ภาคใต้,2563
พัทลุง,221.8,ไตรมาส 2,สำนักงานสถิติแห่งชาติ,131,หญิง,พันคน,ภาคใต้,2563
ภูเก็ต,225.7,ไตรมาส 2,สำนักงานสถิติแห่งชาติ,132,ชาย,พันคน,ภาคใต้,2563
ภูเก็ต,227.5,ไตรมาส 2,สำนักงานสถิติแห่งชาติ,133,หญิง,พันคน,ภาคใต้,2563
ยะลา,164.6,ไตรมาส 2,สำนักงานสถิติแห่งชาติ,134,ชาย,พันคน,ภาคใต้,2563
ยะลา,171.8,ไตรมาส 2,สำนักงานสถิติแห่งชาติ,135,หญิง,พันคน,ภาคใต้,2563
ระนอง,103.2,ไตรมาส 2,สำนักงานสถิติแห่งชาติ,136,ชาย,พันคน,ภาคใต้,2563
ระนอง,101.7,ไตรมาส 2,สำนักงานสถิติแห่งชาติ,137,หญิง,พันคน,ภาคใต้,2563
สงขลา,606.3,ไตรมาส 2,สำนักงานสถิติแห่งชาติ,138,ชาย,พันคน,ภาคใต้,2563
สงขลา,661.6,ไตรมาส 2,สำนักงานสถิติแห่งชาติ,139,หญิง,พันคน,ภาคใต้,2563
สตูล,109.2,ไตรมาส 2,สำนักงานสถิติแห่งชาติ,140,ชาย,พันคน,ภาคใต้,2563
สตูล,108.2,ไตรมาส 2,สำนักงานสถิติแห่งชาติ,141,หญิง,พันคน,ภาคใต้,2563
สุราษฎร์ธานี,427.3,ไตรมาส 2,สำนักงานสถิติแห่งชาติ,142,ชาย,พันคน,ภาคใต้,2563
สุราษฎร์ธานี,451.5,ไตรมาส 2,สำนักงานสถิติแห่งชาติ,143,หญิง,พันคน,ภาคใต้,2563
กรุงเทพมหานคร,3670.8,ไตรมาส 3,สำนักงานสถิติแห่งชาติ,144,ชาย,พันคน,กรุงเทพมหานคร,2563
กรุงเทพมหานคร,3980.6,ไตรมาส 3,สำนักงานสถิติแห่งชาติ,145,หญิง,พันคน,กรุงเทพมหานคร,2563
กาญจนบุรี,322.2,ไตรมาส 3,สำนักงานสถิติแห่งชาติ,146,ชาย,พันคน,ภาคกลาง,2563
กาญจนบุรี,326.2,ไตรมาส 3,สำนักงานสถิติแห่งชาติ,147,หญิง,พันคน,ภาคกลาง,2563
จันทบุรี,228.1,ไตรมาส 3,สำนักงานสถิติแห่งชาติ,148,ชาย,พันคน,ภาคกลาง,2563
จันทบุรี,242.0,ไตรมาส 3,สำนักงานสถิติแห่งชาติ,149,หญิง,พันคน,ภาคกลาง,2563
ฉะเชิงเทรา,335.4,ไตรมาส 3,สำนักงานสถิติแห่งชาติ,150,ชาย,พันคน,ภาคกลาง,2563
ฉะเชิงเทรา,353.5,ไตรมาส 3,สำนักงานสถิติแห่งชาติ,151,หญิง,พันคน,ภาคกลาง,2563
ชลบุรี,749.7,ไตรมาส 3,สำนักงานสถิติแห่งชาติ,152,ชาย,พันคน,ภาคกลาง,2563
ชลบุรี,758.5,ไตรมาส 3,สำนักงานสถิติแห่งชาติ,153,หญิง,พันคน,ภาคกลาง,2563
ชัยนาท,126.2,ไตรมาส 3,สำนักงานสถิติแห่งชาติ,154,ชาย,พันคน,ภาคกลาง,2563
ชัยนาท,141.4,ไตรมาส 3,สำนักงานสถิติแห่งชาติ,155,หญิง,พันคน,ภาคกลาง,2563
นครราชสีมา,992.2,ไตรมาส 3,สำนักงานสถิติแห่งชาติ,156,ชาย,พันคน,ภาคตะวันออกเฉียงเหนือ,2563
นครราชสีมา,1063.4,ไตรมาส 3,สำนักงานสถิติแห่งชาติ,157,หญิง,พันคน,ภาคตะวันออกเฉียงเหนือ,2563
บึงกาฬ,131.1,ไตรมาส 3,สำนักงานสถิติแห่งชาติ,158,ชาย,พันคน,ภาคตะวันออกเฉียงเหนือ,2563
บึงกาฬ,138.3,ไตรมาส 3,สำนักงานสถิติแห่งชาติ,159,หญิง,พันคน,ภาคตะวันออกเฉียงเหนือ,2563
บุรีรัมย์,466.0,ไตรมาส 3,สำนักงานสถิติแห่งชาติ,160,ชาย,พันคน,ภาคตะวันออกเฉียงเหนือ,2563
บุรีรัมย์,511.7,ไตรมาส 3,สำนักงานสถิติแห่งชาติ,161,หญิง,พันคน,ภาคตะวันออกเฉียงเหนือ,2563
มหาสารคาม,319.3,ไตรมาส 3,สำนักงานสถิติแห่งชาติ,162,ชาย,พันคน,ภาคตะวันออกเฉียงเหนือ,2563
มหาสารคาม,360.9,ไตรมาส 3,สำนักงานสถิติแห่งชาติ,163,หญิง,พันคน,ภาคตะวันออกเฉียงเหนือ,2563
มุกดาหาร,135.0,ไตรมาส 3,สำนักงานสถิติแห่งชาติ,164,ชาย,พันคน,ภาคตะวันออกเฉียงเหนือ,2563
มุกดาหาร,140.3,ไตรมาส 3,สำนักงานสถิติแห่งชาติ,165,หญิง,พันคน,ภาคตะวันออกเฉียงเหนือ,2563
ยโสธร,187.4,ไตรมาส 3,สำนักงานสถิติแห่งชาติ,166,ชาย,พันคน,ภาคตะวันออกเฉียงเหนือ,2563
ยโสธร,200.1,ไตรมาส 3,สำนักงานสถิติแห่งชาติ,167,หญิง,พันคน,ภาคตะวันออกเฉียงเหนือ,2563
ร้อยเอ็ด,411.3,ไตรมาส 3,สำนักงานสถิติแห่งชาติ,168,ชาย,พันคน,ภาคตะวันออกเฉียงเหนือ,2563
ร้อยเอ็ด,446.6,ไตรมาส 3,สำนักงานสถิติแห่งชาติ,169,หญิง,พันคน,ภาคตะวันออกเฉียงเหนือ,2563
ศรีสะเกษ,386.1,ไตรมาส 3,สำนักงานสถิติแห่งชาติ,170,ชาย,พันคน,ภาคตะวันออกเฉียงเหนือ,2563
ศรีสะเกษ,425.3,ไตรมาส 3,สำนักงานสถิติแห่งชาติ,171,หญิง,พันคน,ภาคตะวันออกเฉียงเหนือ,2563
สกลนคร,350.9,ไตรมาส 3,สำนักงานสถิติแห่งชาติ,172,ชาย,พันคน,ภาคตะวันออกเฉียงเหนือ,2563
สกลนคร,379.4,ไตรมาส 3,สำนักงานสถิติแห่งชาติ,173,หญิง,พันคน,ภาคตะวันออกเฉียงเหนือ,2563
สุรินทร์,411.1,ไตรมาส 3,สำนักงานสถิติแห่งชาติ,174,ชาย,พันคน,ภาคตะวันออกเฉียงเหนือ,2563
สุรินทร์,456.3,ไตรมาส 3,สำนักงานสถิติแห่งชาติ,175,หญิง,พันคน,ภาคตะวันออกเฉียงเหนือ,2563
หนองคาย,167.9,ไตรมาส 3,สำนักงานสถิติแห่งชาติ,176,ชาย,พันคน,ภาคตะวันออกเฉียงเหนือ,2563
หนองคาย,185.0,ไตรมาส 3,สำนักงานสถิติแห่งชาติ,177,หญิง,พันคน,ภาคตะวันออกเฉียงเหนือ,2563
หนองบัวลำภู,175.8,ไตรมาส 3,สำนักงานสถิติแห่งชาติ,178,ชาย,พันคน,ภาคตะวันออกเฉียงเหนือ,2563
หนองบัวลำภู,193.1,ไตรมาส 3,สำนักงานสถิติแห่งชาติ,179,หญิง,พันคน,ภาคตะวันออกเฉียงเหนือ,2563
อำนาจเจริญ,106.3,ไตรมาส 3,สำนักงานสถิติแห่งชาติ,180,ชาย,พันคน,ภาคตะวันออกเฉียงเหนือ,2563
อำนาจเจริญ,113.5,ไตรมาส 3,สำนักงานสถิติแห่งชาติ,181,หญิง,พันคน,ภาคตะวันออกเฉียงเหนือ,2563
อุดรธานี,485.4,ไตรมาส 3,สำนักงานสถิติแห่งชาติ,182,ชาย,พันคน,ภาคตะวันออกเฉียงเหนือ,2563
อุดรธานี,523.6,ไตรมาส 3,สำนักงานสถิติแห่งชาติ,183,หญิง,พันคน,ภาคตะวันออกเฉียงเหนือ,2563
อุบลราชธานี,660.1,ไตรมาส 3,สำนักงานสถิติแห่งชาติ,184,ชาย,พันคน,ภาคตะวันออกเฉียงเหนือ,2563
อุบลราชธานี,702.6,ไตรมาส 3,สำนักงานสถิติแห่งชาติ,185,หญิง,พันคน,ภาคตะวันออกเฉียงเหนือ,2563
เลย,220.1,ไตรมาส 3,สำนักงานสถิติแห่งชาติ,186,ชาย,พันคน,ภาคตะวันออกเฉียงเหนือ,2563
เลย,226.2,ไตรมาส 3,สำนักงานสถิติแห่งชาติ,187,หญิง,พันคน,ภาคตะวันออกเฉียงเหนือ,2563
กระบี่,147.0,ไตรมาส 3,สำนักงานสถิติแห่งชาติ,188,ชาย,พันคน,ภาคใต้,2563
กระบี่,150.5,ไตรมาส 3,สำนักงานสถิติแห่งชาติ,189,หญิง,พันคน,ภาคใต้,2563
ชุมพร,207.3,ไตรมาส 3,สำนักงานสถิติแห่งชาติ,190,ชาย,พันคน,ภาคใต้,2563
ชุมพร,205.4,ไตรมาส 3,สำนักงานสถิติแห่งชาติ,191,หญิง,พันคน,ภาคใต้,2563
ตรัง,246.4,ไตรมาส 3,สำนักงานสถิติแห่งชาติ,192,ชาย,พันคน,ภาคใต้,2563
