VALUE,SOURCE,_id,UNIT,REGION,YEAR,EDUCATIONAL
0.0,สำนักงานสถิติแห่งชาติ,87,พันคน,1) กรุงเทพมหานคร,2565,07) การศึกษาอื่นๆ
0.0,สำนักงานสถิติแห่งชาติ,88,พันคน,1) กรุงเทพมหานคร,2565,08) ไม่ทราบ
42.17,สำนักงานสถิติแห่งชาติ,89,พันคน,2) ภาคกลาง,2565,01) ไม่มีการศึกษา
697.01,สำนักงานสถิติแห่งชาติ,90,พันคน,2) ภาคกลาง,2565,02) ต่ำกว่าประถมศึกษา
152.11,สำนักงานสถิติแห่งชาติ,91,พันคน,2) ภาคกลาง,2565,03) ประถมศึกษา
67.13,สำนักงานสถิติแห่งชาติ,92,พันคน,2) ภาคกลาง,2565,04) มัธยมศึกษาตอนต้น
52.76,สำนักงานสถิติแห่งชาติ,93,พันคน,2) ภาคกลาง,2565,05) มัธยมศึกษาตอนปลาย
71.97,สำนักงานสถิติแห่งชาติ,94,พันคน,2) ภาคกลาง,2565,06) อุดมศึกษา
0.0,สำนักงานสถิติแห่งชาติ,95,พันคน,2) ภาคกลาง,2565,07) การศึกษาอื่นๆ
0.47,สำนักงานสถิติแห่งชาติ,96,พันคน,2) ภาคกลาง,2565,08) ไม่ทราบ
107.0,สำนักงานสถิติแห่งชาติ,97,พันคน,3) ภาคเหนือ,2565,01) ไม่มีการศึกษา
779.65,สำนักงานสถิติแห่งชาติ,98,พันคน,3) ภาคเหนือ,2565,02) ต่ำกว่าประถมศึกษา
91.37,สำนักงานสถิติแห่งชาติ,99,พันคน,3) ภาคเหนือ,2565,03) ประถมศึกษา
41.99,สำนักงานสถิติแห่งชาติ,100,พันคน,3) ภาคเหนือ,2565,04) มัธยมศึกษาตอนต้น
49.19,สำนักงานสถิติแห่งชาติ,101,พันคน,3) ภาคเหนือ,2565,05) มัธยมศึกษาตอนปลาย
40.78,สำนักงานสถิติแห่งชาติ,102,พันคน,3) ภาคเหนือ,2565,06) อุดมศึกษา
0.9,สำนักงานสถิติแห่งชาติ,103,พันคน,3) ภาคเหนือ,2565,07) การศึกษาอื่นๆ
0.0,สำนักงานสถิติแห่งชาติ,104,พันคน,3) ภาคเหนือ,2565,08) ไม่ทราบ
22.68,สำนักงานสถิติแห่งชาติ,105,พันคน,4) ภาคตะวันออกเฉียงเหนือ,2565,01) ไม่มีการศึกษา
1320.06,สำนักงานสถิติแห่งชาติ,106,พันคน,4) ภาคตะวันออกเฉียงเหนือ,2565,02) ต่ำกว่าประถมศึกษา
148.61,สำนักงานสถิติแห่งชาติ,107,พันคน,4) ภาคตะวันออกเฉียงเหนือ,2565,03) ประถมศึกษา
48.47,สำนักงานสถิติแห่งชาติ,108,พันคน,4) ภาคตะวันออกเฉียงเหนือ,2565,04) มัธยมศึกษาตอนต้น
55.46,สำนักงานสถิติแห่งชาติ,109,พันคน,4) ภาคตะวันออกเฉียงเหนือ,2565,05) มัธยมศึกษาตอนปลาย
30.89,สำนักงานสถิติแห่งชาติ,110,พันคน,4) ภาคตะวันออกเฉียงเหนือ,2565,06) อุดมศึกษา
0.0,สำนักงานสถิติแห่งชาติ,111,พันคน,4) ภาคตะวันออกเฉียงเหนือ,2565,07) การศึกษาอื่นๆ
0.0,สำนักงานสถิติแห่งชาติ,112,พันคน,4) ภาคตะวันออกเฉียงเหนือ,2565,08) ไม่ทราบ
37.74,สำนักงานสถิติแห่งชาติ,113,พันคน,5) ภาคใต้,2565,01) ไม่มีการศึกษา
342.62,สำนักงานสถิติแห่งชาติ,114,พันคน,5) ภาคใต้,2565,02) ต่ำกว่าประถมศึกษา
90.52,สำนักงานสถิติแห่งชาติ,115,พันคน,5) ภาคใต้,2565,03) ประถมศึกษา
36.1,สำนักงานสถิติแห่งชาติ,116,พันคน,5) ภาคใต้,2565,04) มัธยมศึกษาตอนต้น
36.08,สำนักงานสถิติแห่งชาติ,117,พันคน,5) ภาคใต้,2565,05) มัธยมศึกษาตอนปลาย
39.97,สำนักงานสถิติแห่งชาติ,118,พันคน,5) ภาคใต้,2565,06) อุดมศึกษา
0.51,สำนักงานสถิติแห่งชาติ,119,พันคน,5) ภาคใต้,2565,07) การศึกษาอื่นๆ
1.18,สำนักงานสถิติแห่งชาติ,120,พันคน,5) ภาคใต้,2565,08) ไม่ทราบ
15.06,สำนักงานสถิติแห่งชาติ,121,พันคน,1) กรุงเทพมหานคร,2566,01) ไม่มีการศึกษา
214.69,สำนักงานสถิติแห่งชาติ,122,พันคน,1) กรุงเทพมหานคร,2566,02) ต่ำกว่าประถมศึกษา
154.46,สำนักงานสถิติแห่งชาติ,123,พันคน,1) กรุงเทพมหานคร,2566,03) ประถมศึกษา
84.72,สำนักงานสถิติแห่งชาติ,124,พันคน,1) กรุงเทพมหานคร,2566,04) มัธยมศึกษาตอนต้น
98.81,สำนักงานสถิติแห่งชาติ,125,พันคน,1) กรุงเทพมหานคร,2566,05) มัธยมศึกษาตอนปลาย
125.26,สำนักงานสถิติแห่งชาติ,126,พันคน,1) กรุงเทพมหานคร,2566,06) อุดมศึกษา
0.0,สำนักงานสถิติแห่งชาติ,127,พันคน,1) กรุงเทพมหานคร,2566,07) การศึกษาอื่นๆ
8.27,สำนักงานสถิติแห่งชาติ,128,พันคน,1) กรุงเทพมหานคร,2566,08) ไม่ทราบ
56.98,สำนักงานสถิติแห่งชาติ,129,พันคน,2) ภาคกลาง,2566,01) ไม่มีการศึกษา
1454.76,สำนักงานสถิติแห่งชาติ,130,พันคน,2) ภาคกลาง,2566,02) ต่ำกว่าประถมศึกษา
446.05,สำนักงานสถิติแห่งชาติ,131,พันคน,2) ภาคกลาง,2566,03) ประถมศึกษา
181.9,สำนักงานสถิติแห่งชาติ,132,พันคน,2) ภาคกลาง,2566,04) มัธยมศึกษาตอนต้น
142.3,สำนักงานสถิติแห่งชาติ,133,พันคน,2) ภาคกลาง,2566,05) มัธยมศึกษาตอนปลาย
131.09,สำนักงานสถิติแห่งชาติ,134,พันคน,2) ภาคกลาง,2566,06) อุดมศึกษา
0.0,สำนักงานสถิติแห่งชาติ,135,พันคน,2) ภาคกลาง,2566,07) การศึกษาอื่นๆ
4.05,สำนักงานสถิติแห่งชาติ,136,พันคน,2) ภาคกลาง,2566,08) ไม่ทราบ
218.79,สำนักงานสถิติแห่งชาติ,137,พันคน,3) ภาคเหนือ,2566,01) ไม่มีการศึกษา
1592.4,สำนักงานสถิติแห่งชาติ,138,พันคน,3) ภาคเหนือ,2566,02) ต่ำกว่าประถมศึกษา
242.01,สำนักงานสถิติแห่งชาติ,139,พันคน,3) ภาคเหนือ,2566,03) ประถมศึกษา
96.52,สำนักงานสถิติแห่งชาติ,140,พันคน,3) ภาคเหนือ,2566,04) มัธยมศึกษาตอนต้น
113.07,สำนักงานสถิติแห่งชาติ,141,พันคน,3) ภาคเหนือ,2566,05) มัธยมศึกษาตอนปลาย
84.25,สำนักงานสถิติแห่งชาติ,142,พันคน,3) ภาคเหนือ,2566,06) อุดมศึกษา
0.0,สำนักงานสถิติแห่งชาติ,143,พันคน,3) ภาคเหนือ,2566,07) การศึกษาอื่นๆ
2.33,สำนักงานสถิติแห่งชาติ,144,พันคน,3) ภาคเหนือ,2566,08) ไม่ทราบ
30.64,สำนักงานสถิติแห่งชาติ,145,พันคน,4) ภาคตะวันออกเฉียงเหนือ,2566,01) ไม่มีการศึกษา
2651.04,สำนักงานสถิติแห่งชาติ,146,พันคน,4) ภาคตะวันออกเฉียงเหนือ,2566,02) ต่ำกว่าประถมศึกษา
479.67,สำนักงานสถิติแห่งชาติ,147,พันคน,4) ภาคตะวันออกเฉียงเหนือ,2566,03) ประถมศึกษา
109.32,สำนักงานสถิติแห่งชาติ,148,พันคน,4) ภาคตะวันออกเฉียงเหนือ,2566,04) มัธยมศึกษาตอนต้น
145.07,สำนักงานสถิติแห่งชาติ,149,พันคน,4) ภาคตะวันออกเฉียงเหนือ,2566,05) มัธยมศึกษาตอนปลาย
75.08,สำนักงานสถิติแห่งชาติ,150,พันคน,4) ภาคตะวันออกเฉียงเหนือ,2566,06) อุดมศึกษา
0.0,สำนักงานสถิติแห่งชาติ,151,พันคน,4) ภาคตะวันออกเฉียงเหนือ,2566,07) การศึกษาอื่นๆ
