ประกอบกิจการ,อำเภอ,รหัสประเภท,ประเภทโรงงาน,ถนน,ซอย,FID,เงินทุนรวม(ล้านบาท),คนงานรวม,DESCR,SCURVE,จังหวัด,หมู่,เลขที่,แรงม้า,ปีที่อนุญาต,ตำบล,เลขทะเบียนโรงงานเดิม,ผู้ประกอบการ,_id,ชื่อโรงงาน,จำพวก,รหัสไปรษณีย์
บดพริก พริกไทย เครื่องเทศ น้ำพริกแกง,บางนา,903,การป่นหรือบดเมล็ดพืชหรือหัวพืช,สุขุมวิท,สุขุมวิท 66/1,100000000000,6,30,5,อุตสาหกรรมแปรรูปอาหาร,กรุงเทพมหานคร,,247,85.36,2536,บางนา,ศ3-9(3)-1/36,บริษัท อาหารสากลกรุงศรีอยุธยา จำกัด,32,บริษัท อาหารสากลกรุงศรีอยุธยา จำกัด,3,10260
ทำน้ำแข็งก้อนเล็ก ได้วันละ 25.43 ตัน,ภาษีเจริญ,1400,โรงงานประกอบกิจการเกี่ยวกับการทำ ตัด ซอย บด หรือย่อยน้ำแข็ง,เพชรเกษม,เพชรเกษม 58,100000000000,1,9,5,อุตสาหกรรมแปรรูปอาหาร,กรุงเทพมหานคร,,256,1058.5,2534,บางด้วน,ศ3-14-2/34,บริษัท โรงน้ำแข็งหลอดเกษมสุข จำกัด,33,บริษัท โรงน้ำแข็งหลอดเกษมสุข จำกัด,3,10160
ทำลูกอมและลูกกวาด,บางแค,1210,การทำลูกกวาดหรือทอฟฟี่,,กาญจนาภิเษก 005,100000000000,7.5,43,5,อุตสาหกรรมแปรรูปอาหาร,กรุงเทพมหานคร,,185,1948.1,2536,หลักสอง,ศ3-12(10)-1/36,บริษัท บอลลูน คอนเฟคชั่นเนอรี่ จำกัด,34,บริษัท บอลลูน คอนเฟคชั่นเนอรี่ จำกัด,3,10160
ทำน้ำแข็งก้อนเล็ก ได้วันละ 25 ตัน,ลาดพร้าว,1400,โรงงานประกอบกิจการเกี่ยวกับการทำ ตัด ซอย บด หรือย่อยน้ำแข็ง,,รามอินทรา 8,100000000000,14.5,23,5,อุตสาหกรรมแปรรูปอาหาร,กรุงเทพมหานคร,,9,2150,2535,จรเข้บัว,ศ3-14-6/35,บริษัท ทิพย์อินทรา น้ำแข็งหลอด จำกัด,35,บริษัท ทิพย์อินทรา น้ำแข็งหลอด จำกัด,3,10230
ทำน้ำแข็งก้อนเล็ก ได้วันละ 96.4 ตัน,ดุสิต,1400,โรงงานประกอบกิจการเกี่ยวกับการทำ ตัด ซอย บด หรือย่อยน้ำแข็ง,,องค์รักษ์,100000000000,7.03,5,5,อุตสาหกรรมแปรรูปอาหาร,กรุงเทพมหานคร,,42,579,2532,ถนนนครไชยศรี,ศ3-14-1/32,บริษัท พัชระ (2559) จำกัด,36,พัชระน้ำแข็งหลอด,3,10300
"ทำหมากฝรั่ง, ลูกกวาด, ถั่วลิสงเคลือบ, เยลลี่, ช๊อคโกแลต และขนมปังกรอบ และอาหารในภาชนะบรรจุปิดสนิท",บางขุนเทียน,1204,การทำช็อกโกเลต ช็อกโกเลตผง หรือขนมจากช็อกโกเลต,,บางกระดี่ 32,100000000000,55,254,5,อุตสาหกรรมแปรรูปอาหาร,กรุงเทพมหานคร,,72/1,7518.8,2533,แสมดำ,ศ3-12(4)-1/33,บริษัท เฟิรสท์ คอนเฟคชั่นเนอรี่ จำกัด,37,บริษัท เฟิรสท์ คอนเฟคชั่นเนอรี่ จำกัด,3,10150
ทำเครื่องดื่มเกลือแร่ และแบ่งบรรจุอาหาร,ราษฎร์บูรณะ,2002,การทำเครื่องดื่มที่ไม่มีแอลกอฮอล์,สุขสวัสดิ์,สุขสวัสดิ์ 7,100000000000,5,9,5,อุตสาหกรรมแปรรูปอาหาร,กรุงเทพมหานคร,11,409,302.81,2535,บางปะกอก,ศ3-20(2)-2/35,บริษัท ไบร์วู๊ดฟู้ดแอนด์คอสเมติค จำกัด,38,บริษัท ไบร์วู๊ดฟู้ดแอนด์คอสเมติค จำกัด,3,10140
ทำเครื่องสำอาง และภาชนะบรรจุจากพลาสติก,บางขุนเทียน,4703,การทำเครื่องสำอาง หรือสิ่งปรุงแต่งร่างกาย,,ท่าข้าม5,100000000000,13,200,10,อุตสาหกรรมท่องเที่ยวสุขภาพ,กรุงเทพมหานคร,,2,699.53,2537,แสมดำ,ศ3-47(3)-2/37,บริษัท ไทย-มีโก้ จำกัด,39,บริษัท ไทย-มีโก้ จำกัด,3,10150
ทำน้ำแข็งก้อนเล็ก ได้วันละ 140 ตัน,บางบ่อ,1400,โรงงานประกอบกิจการเกี่ยวกับการทำ ตัด ซอย บด หรือย่อยน้ำแข็ง,สุขุมวิท,สาธารณะประโยชน์,110000000000,10.4,18,5,อุตสาหกรรมแปรรูปอาหาร,สมุทรปราการ,7,46229,774,2539,คลองด่าน,ศ3-14-2/39สป,ห้างหุ้นส่วนจำกัด ศรีเจริญลาภน้ำแข็งหลอด,40,ห้างหุ้นส่วนจำกัด ศรีเจริญลาภน้ำแข็งหลอด,3,10550
ทำน้ำแข็ง ได้วันละ 862 ซอง,บางบ่อ,1400,โรงงานประกอบกิจการเกี่ยวกับการทำ ตัด ซอย บด หรือย่อยน้ำแข็ง,ปานวิถี,,110000000000,27,18,5,อุตสาหกรรมแปรรูปอาหาร,สมุทรปราการ,2,204,2617.2,2537,บางเพรียง,ศ3-14-3/37สป,บริษัท โรงน้ำแข็งอัศวมาศ จำกัด,41,บริษัท โรงน้ำแข็งอัศวมาศ จำกัด,3,10560
ผลิตแป้งสาลี,พระประแดง,902,การทำแป้ง,ปู่เจ้าสมิงพราย,วัดมหาวงศ์,110000000000,130,70,5,อุตสาหกรรมแปรรูปอาหาร,สมุทรปราการ,7,48/1,2973.75,2534,สำโรงใต้,ศ3-9(2)-1/34สป,บริษัท บางกอกฟลาวมิลล์ จำกัด,42,บริษัท บางกอกฟลาวมิลล์ จำกัด,3,10130
ทำอาหารผสม อาหารสำเร็จรูป สำหรับสัตว์เลี้ยง,บางเสาธง,1501,การทำอาหารผสมหรืออาหารสำเร็จรูปสำหรับเลี้ยงสัตว์,เทพารักษ์,อุตสาหกรรมเทพารักษ์,110000000000,1104.608312,2737,5,อุตสาหกรรมแปรรูปอาหาร,สมุทรปราการ,16,169-172,35309.89,2537,บางเสาธง,ศ3-15(1)-1/37สป,บริษัท เพอร์เฟค คอมพาเนียน กรุ๊ป จำกัด,43,บริษัท เพอร์เฟค คอมพาเนียน กรุ๊ป จำกัด,3,10570
คัดคุณภาพและเก็บรักษาผลิตผลทางการเกษตร,พระสมุทรเจดีย์,205,การเก็บรักษาหรือลำเลียงพืช เมล็ดพืช หรือผลิตผลจากพืชในไซโล โกดังหรือคลังสินค้า,สุขสวัสดิ์,วัดแค,110000000000,515,47,8,อุตสาหกรรมเกษตรเทคโนชีวภาพ,สมุทรปราการ,2,120,3031.8,2532,ปากคลองบางปลากด,ส3-2(5)-1/32สป,บริษัท ซี.อาร์.ซี. การท่าเรือ จำกัด,44,บริษัท ซี.อาร์.ซี. การท่าเรือ จำกัด,3,10290
ผลิตกาแฟสำเร็จรูปและกาแฟผง,บางพลี,1202,การคั่ว บด หรือป่นกาแฟ หรือการทำกาแฟผง,กิ่งแก้ว,,110000000000,306,87,5,อุตสาหกรรมแปรรูปอาหาร,สมุทรปราการ,15,44,36059.31,2533,ราชาเทวะ,ศ3-12(2)-1/33สป,บริษัท เขาช่องอุตสาหกรรม 1979 จำกัด,45,บริษัท เขาช่องอุตสาหกรรม 1979 จำกัด,3,10540
