ประกอบกิจการ,อำเภอ,รหัสประเภท,ประเภทโรงงาน,ถนน,ซอย,FID,เงินทุนรวม(ล้านบาท),คนงานรวม,DESCR,SCURVE,จังหวัด,หมู่,เลขที่,แรงม้า,ปีที่อนุญาต,ตำบล,เลขทะเบียนโรงงานเดิม,ผู้ประกอบการ,_id,ชื่อโรงงาน,จำพวก,รหัสไปรษณีย์
เก็บรักษาหรือลำเลียงเมล็ดพืช หรือผลิตผลจากพืชในไซโล โกดัง หรือคลังสินค้า และทำมันเส้น,เนินมะปราง,205,การเก็บรักษาหรือลำเลียงพืช เมล็ดพืช หรือผลิตผลจากพืชในไซโล โกดังหรือคลังสินค้า,-,-,20700000000000,7.14,2,8,อุตสาหกรรมเกษตรเทคโนชีวภาพ,พิษณุโลก,2,325,295,2556,วังยาง,จ3-2(5)-5/56พล,นายประจักร์ คำจำปา,10287,ประจักร์การเกษตร,3,65190
ซ่อมแซมและทดสอบไดชาร์จและไดสตาร์ท,เมืองพิษณุโลก,6500,โรงงานผลิต ประกอบ ดัดแปลง หรือซ่อมแซมเครื่องยนต์ เครื่องกังหัน และรวมถึงส่วนประกอบ,,,20700000000000,23.8,3,1,อุตสาหกรรมหุ่นยนต์และแขนกล,พิษณุโลก,1,63/8,238,2561,สมอแข,จ3-65-5/61พล,ห้างหุ้นส่วนจำกัด พี.อี.ออโต้เทรด,10288,ห้างหุ้นส่วนจำกัด พี.อี.ออโต้เทรด,3,65000
"การเก็บรักษาหรือลำเลียงพืช, เมล็ดพืชหรือผลิตผลจากพืชไซโล โกดังหรือคลงสินค้า",วัดโบสถ์,205,การเก็บรักษาหรือลำเลียงพืช เมล็ดพืช หรือผลิตผลจากพืชในไซโล โกดังหรือคลังสินค้า,วัดโบสถ์-โป่งแค,-,20700000000000,0.39,3,8,อุตสาหกรรมเกษตรเทคโนชีวภาพ,พิษณุโลก,4,-,75,2546,ท่างาม,จ3-2(5)-6/46พล,นายบุญส่ง แตงอ่ำ,10289,วิชิตรุ่งกิจ,3,65160
อบเมล็ดพันธุ์ และปรับปรุงคุณภาพเมล็ดพันธุ์ข้าวเปลือก,บางระกำ,201,การต้ม นึ่ง หรืออบพืชหรือเมล็ดพืช,-,-,20700000000000,8.75,4,5,อุตสาหกรรมแปรรูปอาหาร,พิษณุโลก,2,160/1,333.17,2556,บางระกำ,จ3-2(1)-7/56พล,นายเชาว์ ยาประเสริฐ,10290,วังเป็ดเกษตรยนต์,3,65140
เก็บรักษา หรือลำเลียงพืชเมล็ดพืช หรือผลิตผลจากพืชในโกดัง,วังทอง,205,การเก็บรักษาหรือลำเลียงพืช เมล็ดพืช หรือผลิตผลจากพืชในไซโล โกดังหรือคลังสินค้า,,,20700000000000,17.4,2,8,อุตสาหกรรมเกษตรเทคโนชีวภาพ,พิษณุโลก,13,278,180,2551,แม่ระกา,จ3-2(5)-10/51พล,นางพิมพ์ฉวี พัฒนพงษ์,10291,ท่าข้าวพิมพ์ฉวี,3,65130
การเก็บรักษาหรือลำเลียงเมล็ดพืช หรือผลิตผลจากพืชในไซโล โกดังหรือคลังสินค้า และทำมันเส้น,เนินมะปราง,205,การเก็บรักษาหรือลำเลียงพืช เมล็ดพืช หรือผลิตผลจากพืชในไซโล โกดังหรือคลังสินค้า,สายกกไม้แดง-เนินมะปราง,,20700000000000,20,6,8,อุตสาหกรรมเกษตรเทคโนชีวภาพ,พิษณุโลก,4,186/1,295,2556,ชมพู,จ3-2(5)-10/56พล,นางสาวอำพร แก่นท่าตาล,10292,ท่าข้าวลุงแจง 2,3,65190
ถนอมผลไม้โดยทำให้เยือกแข็ง การเคลือบผลไม้หรือเปลือกผลไม้ด้วยน้ำตาล,บางกระทุ่ม,802,การถนอมผัก พืช หรือผลไม้โดยวิธีกวน ตากแห้ง ดอง หรือทำให้เยือกแข็งโดยฉับพลันหรือแห้ง,,,20700000000000,18.5,15,5,อุตสาหกรรมแปรรูปอาหาร,พิษณุโลก,3,46104,231.02,2559,บางกระทุ่ม,จ3-8(2)-14/59พล,นางสุภาภรณ์ จูด้วง,10293,-,3,65110
เก็บรักษาหรือลำเลียงพืช เมล็ดพืช หรือผลิตผลจากพืช ในไซโล โกดังหรือคลังสินค้า,พรหมพิราม,205,การเก็บรักษาหรือลำเลียงพืช เมล็ดพืช หรือผลิตผลจากพืชในไซโล โกดังหรือคลังสินค้า,,,20700000000000,5.5,3,8,อุตสาหกรรมเกษตรเทคโนชีวภาพ,พิษณุโลก,7,222,170,2557,มะต้อง,จ3-2(5)-21/57พล,นางสาวตรีรัตน์ สังสีแก้ว,10294,ท่าข้าวโชคช่วย,3,65180
อบเมล็ดพืช,วังทอง,201,การต้ม นึ่ง หรืออบพืชหรือเมล็ดพืช,-,-,20700000000000,13,5,5,อุตสาหกรรมแปรรูปอาหาร,พิษณุโลก,5,136/1,273.5,2550,แก่งโสภา,จ3-2(1)-30/50พล,นายศุภรัตน์ ศักรนันท์,10295,กิจไพศาล,3,65220
สีข้าว กำลังสีสูงสุดของร้านสีข้าว 198 เกวียน/วัน,บางระกำ,901,การสี ฝัด หรือขัดข้าว,พิษณุโลก-นครสวรรค์,,20700000000000,4,4,5,อุตสาหกรรมแปรรูปอาหาร,พิษณุโลก,2,46073,582,2552,บ่อทอง,จ3-9(1)-61/52พล,ห้างหุ้นส่วนจำกัด โชคสันติ,10296,ห้างหุ้นส่วนจำกัด โชคสันติ,3,65140
อบเมล็ดธัญพืช เช่น ข้าวโพด ข้าวเปลือก,เมืองพิษณุโลก,201,การต้ม นึ่ง หรืออบพืชหรือเมล็ดพืช,-,-,20700000000000,32,7,5,อุตสาหกรรมแปรรูปอาหาร,พิษณุโลก,2,272/1,271.56,2555,ดอนทอง,จ3-2(1)-64/55พล,บริษัท วิเศษพานิช ไซโล จำกัด,10297,บริษัท วิเศษพานิช ไซโล จำกัด,3,65000
ทำมันเส้น,ชนแดน,906,การปอกหัวพืช หรือทำหัวพืชให้เป็นเส้น แว่น หรือแท่ง,ดงขุย-วังงิ้ว,,20700000000000,16.9,2,5,อุตสาหกรรมแปรรูปอาหาร,เพชรบูรณ์,14,246,173,2555,ดงขุย,จ3-9(6)-68/55พช,นายอำพัน ปิระกะ,10298,,3,67190
ทำมันเส้น,ศรีเทพ,906,การปอกหัวพืช หรือทำหัวพืชให้เป็นเส้น แว่น หรือแท่ง,ศรีเทพ-โคกเจริญ,,20700000000000,17.97,4,5,อุตสาหกรรมแปรรูปอาหาร,เพชรบูรณ์,4,78,488,2552,ประดู่งาม,จ3-9(6)-72/52พช,นางสาวรัสรินทร์ จิระสิทธิวัชร์,10299,ตั้งเจริญ,3,67170
ทำมันเส้น,ศรีเทพ,906,การปอกหัวพืช หรือทำหัวพืชให้เป็นเส้น แว่น หรือแท่ง,ศรีเทพ-โคกจริญ,,20700000000000,7.5,4,5,อุตสาหกรรมแปรรูปอาหาร,เพชรบูรณ์,4,45,195,2556,ศรีเทพ,จ3-9(6)-129/56พช,นางสาวพัทธิ์สินี เปี่ยมสุทธิธรรม,10300,ร้านรุ่งโรจน์,3,67170
สีข้าว ขัดขาว ขัดมัน กำลังการผลิต 200 ตัน/วัน และอบลดความชื้นข้าวเปลือก,ม่วงสามสิบ,901,การสี ฝัด หรือขัดข้าว,,,20300000000000,61,13,5,อุตสาหกรรมแปรรูปอาหาร,อุบลราชธานี,9,122,487,2558,หนองฮาง,จ3-9(1)-35/58อบ,บริษัท โรงสีข้าวทวีธัญญาอุบล จำกัด (โดยนายทวี ศรีสะอาด),10301,บริษัท โรงสีข้าวทวีธัญญาอุบล จำกัด,3,34140
การผลิต หรือ การทำชิ้นส่วนพิเศษ หรือ อุปกรณ์ สำหรับรถยนต์หรือรถพ่วง,เมืองอุบลราชธานี,7702,การทำชิ้นส่วนพิเศษหรืออุปกรณ์สำหรับรถยนต์ หรือรถพ่วง,,,20300000000000,3.7,8,3,อุตสาหกรรมยานยนต์,อุบลราชธานี,3,316,68,2556,ขามใหญ่,จ3-77(2)-46/56อบ,นายการุณ โกมลวิชญ์,10302,โรงกลึง ต.สแตนด์ดาร์ด เซอร์วิส,3,34000
ทำมันเส้น,น้ำยืน,906,การปอกหัวพืช หรือทำหัวพืชให้เป็นเส้น แว่น หรือแท่ง,น้ำยืน - บุเปือย,,20300000000000,4.7,5,5,อุตสาหกรรมแปรรูปอาหาร,อุบลราชธานี,9,35,185,2556,สีวิเชียร,จ3-9(6)-47/56อบ,นางสาวสุนทรี กมลรัตน์,10303,จัตรุพรพืชผล,3,34260
ผลิตน้ำดื่ม,เมืองอุบลราชธานี,2001,การทำน้ำดื่ม,,,20300000000000,19,35,5,อุตสาหกรรมแปรรูปอาหาร,อุบลราชธานี,10,192194,568.29,2563,ขามใหญ่,จ3-20(1)-7/63อบ,บริษัท ทีเอ็น คอร์ปอเรชั่น จำกัด ,10304,บริษัท ทีเอ็น คอร์ปอเรชั่น จำกัด ,3,34000
ดัดแปลง ซ่อมแซม เครื่องกำเนิดไฟฟ้า,เมืองพิษณุโลก,7100,โรงงานผลิต ประกอบหรือซ่อมแซมเครื่องจักรหรือผลิตภัณฑ์ที่ระบุไว้ในลำดับที่ 70 เฉพาะที่ใช้ไฟฟ้า,,,20700000000000,75.5,17,4,อุตสาหกรรมอิเล็กทรอนิกส์,พิษณุโลก,5,333,217,2556,วัดพริก,จ3-71-17/56พล,บริษัท เซาเออร์ จำกัด,10305,บริษัท อินนิโอ เซาเออร์ จำกัด,3,65230
ลานตากพืชไร่ เช่น ข้าวโพด และทำมันเส้น,วัดโบสถ์,205,การเก็บรักษาหรือลำเลียงพืช เมล็ดพืช หรือผลิตผลจากพืชในไซโล โกดังหรือคลังสินค้า,,,20700000000000,11,2,8,อุตสาหกรรมเกษตรเทคโนชีวภาพ,พิษณุโลก,3,"โฉนดที่ดินเลขที่ 750,16035,19338",350,2565,วัดโบสถ์,จ3-2(5)-6/65พล,นางสาวธันย์ชนก ฟักคง,10306,กรวิทย์พืชผล 3,3,65160
ผลิตภัณฑ์จากโลหะ ทำส่วนประกอบสำหรับใช้กับทุ่น เรือ การตัด พับ หรือม้วนโลหะ การกลึง เจาะ คว้าน ไส เจียน หรือเชื่อมโลหะทั่วไป,ท่ามะกา,6303,การทำส่วนประกอบสำหรับใช้ในการต่อเรือ,,,20700000000000,0.45,5,2,อุตสาหกรรมโลจิสติกส์,กาญจนบุรี,1,46167,76.5,2560,ดอนชะเอม,จ3-63(3)-3/60กจ,นายสมบัติ จูทารี,10307,อู่สมบัติการช่าง,3,71130
ผลิต ประกอบ ดัดแปลง และซ่อมแซมเครื่องจักรสำหรับอุตสาหกรรมอาหาร ,ท่ามะกา,6800,โรงงานผลิต ประกอบ ดัดแปลง หรือซ่อมแซมเครื่องจักร สำหรับอุตสาหกรรมกระดาษ เคมี อาห,,,20700000000000,12.5,8,1,อุตสาหกรรมหุ่นยนต์และแขนกล,กาญจนบุรี,5,130,230.22,2560,ดอนขมิ้น,จ3-68-12/60กจ,บริษัท รุจิรดา จำกัด ,10308,บริษัท รุจิรดา จำกัด,3,71120
ทำมันเส้น,วิเชียรบุรี,906,การปอกหัวพืช หรือทำหัวพืชให้เป็นเส้น แว่น หรือแท่ง,สระบุรี-หล่มสัก,,20700000000000,20,9,5,อุตสาหกรรมแปรรูปอาหาร,เพชรบูรณ์,7,111,183,2555,สระประดู่,จ3-9(6)-168/55พช,บริษัท ไทยอะกริ บิสิเนส จำกัด,10309,บริษัท ไทยอะกริ บิสิเนส จำกัด,3,67130
ล้าง คัดแยกคุณภาพของผลิตผลเกษตรกรรม เช่น ขิง และห้องเย็นเก็บรักษาผลิตผลเกษตรกรรม,หล่มสัก,209,การร่อน ล้าง คัด หรือแยกขนาดหรือคุณภาพของผลิตผลเกษตรกรรม,,,20700000000000,11.1,8,8,อุตสาหกรรมเกษตรเทคโนชีวภาพ,เพชรบูรณ์,13,"โฉนดที่ดินเลขที่ 56877,56878,56879",156,2563,หนองไขว่,จ3-2(9)-2/63พช,นายธเนศ มาตวงษ์,10310,บริษัท นอร์ทเทิร์น เวนเจอร์ จำกัด,3,67110
ผลิตน้ำพืชผักผลไม้บรรจุกล่อง ยู.เอช.ที ,ท่ามะกา,801,การทำอาหารหรือเครื่องดื่มจากผัก พืช หรือผลไม้ และบรรจุในภาชนะที่ผนึกและอากาศเข้าไม่ได้,,,20700000000000,260,33,5,อุตสาหกรรมแปรรูปอาหาร,กาญจนบุรี,7,40/4,495.75,2562,แสนตอ,จ3-8(1)-10/62กจ,บริษัท ไทย โคคอน ฟู้ด จำกัด ,10311,บริษัท ไทย โคคอน ฟู้ด จำกัด,3,71130
ทำผลิตภัณฑ์แปรรูปจากมะพร้าว,ท่าม่วง,801,การทำอาหารหรือเครื่องดื่มจากผัก พืช หรือผลไม้ และบรรจุในภาชนะที่ผนึกและอากาศเข้าไม่ได้,,,20700000000000,10,50,5,อุตสาหกรรมแปรรูปอาหาร,กาญจนบุรี,7,6,366,2567,พังตรุ,จ3-8(1)-15/67กจ,บริษัท เอสแอนด์เอ็น โคโค่นัท ซัพพลาย จำกัด,10312,บริษัท เอสแอนด์เอ็น โคโค่นัท ซัพพลาย จำกัด,3,71110
ผลิตภัณฑ์จากโลหะ ทำส่วนประกอบสำหรับใช้กับทุ่น เรือ การตัด พับ หรือม้วนโลหะ การกลึง เจาะ คว้าน ไส เจียน หรือเชื่อมโลหะทั่วไป และซ่อมเครื่องยนต์ ,พนมทวน,6303,การทำส่วนประกอบสำหรับใช้ในการต่อเรือ,,,20700000000000,3.5,14,2,อุตสาหกรรมโลจิสติกส์,กาญจนบุรี,1,105,195,2560,หนองสาหร่าย,จ3-63(3)-5/60กจ,บริษัท รุ่งเจริญการช่าง แอนด์ เซอร์วิส จำกัด,10313,บริษัท รุ่งเจริญการช่าง แอนด์ เซอร์วิส จำกัด,3,71140
"ทำผลิตภัณฑ์อาหารสำเร็จรูปจากเนื้อสัตว์ เช่น หมูยอ, ลูกชิ้น",เมืองอุบลราชธานี,403,การทำผลิตภัณฑ์อาหารสำเร็จรูปจากเนื้อสัตว์ มันสัตว์ หนังสัตว์ หรือสารที่สกัดจากไขสัตว์,,,20300000000000,6,14,5,อุตสาหกรรมแปรรูปอาหาร,อุบลราชธานี,5,184,113.97,2565,แจระแม,จ3-4(3)-9/65อบ,บริษัท ช่อลัดดา ฟู้ดโปรดักส์ จำกัด,10314,บริษัท ช่อลัดดา ฟู้ดโปรดักส์ จำกัด,3,34000
ผลิตเส้นก๋วยจั๊บกึ่งสำเร็จรูป,วารินชำราบ,1003,การทำผลิตภัณฑ์อาหารจากแป้ง เป็นเส้น เม็ด หรือชิ้น,-,-,20300000000000,9,20,5,อุตสาหกรรมแปรรูปอาหาร,อุบลราชธานี,13,67,329,2565,แสนสุข,จ3-10(3)-5/65อบ,บริษัท ดีไลท์ 88 จำกัด,10315,บริษัท ดีไลท์ 88 จำกัด,3,34190
ผลิตกาแฟคั่ว บด ชนิดผงและชนิดเม็ด,เมืองอุบลราชธานี,1202,การคั่ว บด หรือป่นกาแฟ หรือการทำกาแฟผง,-,-,20300000000000,5.5,2,5,อุตสาหกรรมแปรรูปอาหาร,อุบลราชธานี,5,โฉนดที่ดินเลขที่ 159160 เลขที่ดิน 629,93,2568,กระโสบ,จ3-12(2)-3/68อบ,บริษัท สมไชย คอฟฟี่ โรสเตอร์ จำกัด,10316,บริษัท สมไชย คอฟฟี่ โรสเตอร์ จำกัด,3,34000
ผลิตน้ำแข็งหลอดเล็ก น้ำแข็งหลอดใหญ่ และน้ำดื่ม,น้ำยืน,1400,โรงงานประกอบกิจการเกี่ยวกับการทำ ตัด ซอย บด หรือย่อยน้ำแข็ง,-,-,20300000000000,11,5,5,อุตสาหกรรมแปรรูปอาหาร,อุบลราชธานี,2,76,803,2543,สีวิเชียร,จ3-14-1/43อบ,ห้างหุ้นส่วนจำกัด น้ำยืนกิจวารี,10317,ห้างหุ้นส่วนจำกัด น้ำยืน กิจวารี,3,34260
อบลดความชื้นข้าวเปลือก,เดชอุดม,201,การต้ม นึ่ง หรืออบพืชหรือเมล็ดพืช,-,-,20300000000000,36.8,6,5,อุตสาหกรรมแปรรูปอาหาร,อุบลราชธานี,15,124,430,2568,กลาง,จ3-2(1)-20/68อบ,ห้างหุ้นส่วนจำกัด โรงสีกิจไพบูลย์อุบล,10318,ห้างหุ้นส่วนจำกัด โรงสีกิจไพบูลย์อุบล,3,34160
ผลิตภัณฑ์เกี่ยวกับโลหะสำหรับใช้ในการก่อสร้าง หรือติดตั้ง การทำส่วนประกอบสำหรับใช้ในการต่อเรือ,สามโคก,6303,การทำส่วนประกอบสำหรับใช้ในการต่อเรือ,,,20100000000000,68.5,92,2,อุตสาหกรรมโลจิสติกส์,ปทุมธานี,4,,470.8,2560,เชียงรากน้อย,จ3-63(3)-2/60ปท,บริษัท ไชยเจริญ อีควิปเม้นท์ จำกัด,10319,บริษัท ไชยเจริญ อีควิปเม้นท์ จำกัด,3,12160
การสร้าง ประกอบ ดัดแปลง และเปลี่ยนแปลงสภาพรถยนต์ รถบรรทุกหรือรถพ่วง การทำ ชิ้นส่วนพิเศษหรืออุปกรณ์สำหรับรถยนต์ รถบรรทุกหรือรถพ่วง,เมืองปทุมธานี,7701,การสร้าง ประกอบ ดัดแปลง หรือเปลี่ยนแปลงสภาพรถยนต์หรือรถพ่วง,รังสิต-ปทุมธานี,,20100000000000,1529.407774,69,3,อุตสาหกรรมยานยนต์,ปทุมธานี,1,59,495.1,2560,บ้านกลาง,จ3-77(1)-3/60ปท,บริษัท นิสสัน ดีเซล (ประเทศไทย) จำกัด,10320,บริษัท นิสสันดีเซล (ประเทศไทย) จำกัด,3,12000
ผลิตอุปกรณ์และอะไหล่เครื่องไฮดรอเท็ค จำกัด,ธัญบุรี,7000,โรงงานผลิต ประกอบหรือซ่อมแซมเครื่องสูบน้ำ เครื่องอัดอากาศ เครื่องปรับอากาศ ตู้เย็น เครื่องซักผ้า,,,20100000000000,6.5,20,4,อุตสาหกรรมอิเล็กทรอนิกส์,ปทุมธานี,1,169/4,121.5,2539,ลำผักกูด,จ3-70-2/39ปท,บริษัท แอโร กร๊ป (1992) จำกัด,10321,บริษัท แอโร กรุ๊ป (1992)จำกัด,3,12110
ผลิตแผงวงจร อิเล็กโทรนิค รวมทั้งอะไหล่ชิ้นส่วน,คลองหลวง,7200,โรงงานผลิต ประกอบหรือซ่อมแซมเครื่องรับวิทยุ เครื่องรับโทรทัศน์ ผลิตภัณฑ์ที่เป็นตัวกึ่งนำ,พหลโยธิน,,20100000000000,205.1,209,4,อุตสาหกรรมอิเล็กทรอนิกส์,ปทุมธานี,19,60/82,498.34,2558,คลองหนึ่ง,จ3-72-4/58ปท,บริษัท ดี เอ็ม ซี คอร์ป(154) จำกัด,10322,บริษัท ดี เอ็ม ซี คอร์ป (154) จำกัด,3,12120
ล้างชำแหละ แกะ ต้ม นึ่งทอด หรือบดเนื้อสัตว์ ส่วนหนึ่งส่วนใดของสัตว์,เมืองพิษณุโลก,406,การล้าง ชำแหละ แกะ ต้ม นึ่ง ทอด หรือบดสัตว์ หรือส่วนหนึ่งส่วนใดของสัตว์,,,20700000000000,84.7,160,5,อุตสาหกรรมแปรรูปอาหาร,พิษณุโลก,2,123,569.34,2564,ปากโทก,จ3-4(6)-5/64พล,บริษัท เบทาโกร เกษตรอุตสาหกรรม จำกัด ,10323,บริษัท เบทาโกร เกษตรอุตสาหกรรม จำกัด โรงงานตัดแต่งชิ้นส่วนสุกร,3,65000
เก็บรักษาหรือลำเลียงเมล็ดพืชในโกดังและคลังสินค้า,วชิรบารมี,205,การเก็บรักษาหรือลำเลียงพืช เมล็ดพืช หรือผลิตผลจากพืชในไซโล โกดังหรือคลังสินค้า,พิจิตร-กำแพงเพชร,,20700000000000,3.8,2,8,อุตสาหกรรมเกษตรเทคโนชีวภาพ,พิจิตร,11,65,74,2544,บึงบัว,จ3-2(5)-1/44พจ,สหกรณ์ชาวนาวชิรบารมี จำกัด,10324,สหกรณ์ชาวนาวชิรบารมี,3,66140
เพาะเชื้อเห็ด,วชิรบารมี,208,การเพาะเชื้อเห็ด กล้วยไม้ หรือถั่วงอก,กำแพงเพชร-พิจิตร,,20700000000000,5.82,40,8,อุตสาหกรรมเกษตรเทคโนชีวภาพ,พิจิตร,11,152,351.47,2556,บ้านนา,จ3-2(8)-1/56พจ,นางสาววิจิตรา ตั้งใจ,10325,วิจิตราการเกษตร,3,66140
อบลดความชิ้นข้าวเปลือก,เมืองอุบลราชธานี,201,การต้ม นึ่ง หรืออบพืชหรือเมล็ดพืช,แจ้งสนิท,-,20300000000000,44.375,3,5,อุตสาหกรรมแปรรูปอาหาร,อุบลราชธานี,3,-,210,2562,หนองขอน,จ3-2(1)-23/62อบ,นายพรชัย ปรีชานนท์,10326,ธัญอรุณ,3,34000
ผลิตแป้งขนมจีน,บึงสามพัน,902,การทำแป้ง,,-,20700000000000,29,67,5,อุตสาหกรรมแปรรูปอาหาร,เพชรบูรณ์,10,610/1,110.5,2558,กันจุ,จ3-9(2)-1/58พช,ห้างหุ้นส่วนจำกัด โชคเจริญทรัพย์ 2515,10327,โชคเจริญทรัพย์,3,67160
เก็บรักษาหรือลำเลียงพืช เมล็ดพืช หรือผลิตผลจากพืชในไซโล โกดัง หรือคลังสินค้า และสีข้าวโพด,เมืองเพชรบูรณ์,205,การเก็บรักษาหรือลำเลียงพืช เมล็ดพืช หรือผลิตผลจากพืชในไซโล โกดังหรือคลังสินค้า,,,20700000000000,7,2,8,อุตสาหกรรมเกษตรเทคโนชีวภาพ,เพชรบูรณ์,11,-,250,2559,ดงมูลเหล็ก,จ3-2(5)-5/59พช,นางทิวาวรรณ ชิว,10328,ไผ่ ๙ เกษตร,3,67000
ทำมันเส้น,ชนแดน,906,การปอกหัวพืช หรือทำหัวพืชให้เป็นเส้น แว่น หรือแท่ง,ท่าข้าม-ลาดแค,,20700000000000,8.15,2,5,อุตสาหกรรมแปรรูปอาหาร,เพชรบูรณ์,7,46191,165,2554,ลาดแค,จ3-9(6)-12/54พช,นายพิษณุ อินสุธา,10329,พิษณุพืชผล,3,67150
ล้าง คัดแยกคุณภาพของผลิตผลเกษตรกรรม เช่น ขิง และห้องเย็นเก็บรักษาผลิตผลเกษตรกรรม,หล่มเก่า,209,การร่อน ล้าง คัด หรือแยกขนาดหรือคุณภาพของผลิตผลเกษตรกรรม,,,20700000000000,8,7,8,อุตสาหกรรมเกษตรเทคโนชีวภาพ,เพชรบูรณ์,5,142,108,2562,นาแซง,จ3-2(9)-4/62พช,ห้างหุ้นส่วนจำกัด จีอาร์เอเค 2019,10330,ห้างหุ้นส่วนจำกัด จีอาร์เอเค 2019,3,67120
ผลิตนมพาสเจอร์ไรส์ ,ท่ามะกา,501,การทำนมสดให้ไร้เชื้อ หรือฆ่าเชื้อ โดยวิธีการใดวิธีการหนึ่ง เช่น การพาสเจอร์ไรส์,,,20700000000000,54.819577,7,5,อุตสาหกรรมแปรรูปอาหาร,กาญจนบุรี,2,99/1,186.25,2563,สนามแย้,จ3-5(1)-24/63กจ,สหกรณ์โคนมกำแพงแสน จำกัด ,10331,สหกรณ์โคนมกำแพงแสน จำกัด สาขากาญจนบุรี,3,70190
ผลิตอาหารสัตว์และส่วนประกอบของอาหารสัตว์,เลาขวัญ,1502,การป่นหรือบดพืช เมล็ดพืช กากพืช เนื้อสัตว์ กระดูกสัตว์ ขนสัตว์ หรือเปลือกหอย,,,20700000000000,4.5,6,5,อุตสาหกรรมแปรรูปอาหาร,กาญจนบุรี,4,242,270.5,2562,เลาขวัญ,จ3-15(2)-6/62กจ,ห้างหุ้นส่วนจำกัด อิทธิชัยเลิศทวี,10332,ห้างหุ้นส่วนจำกัด อิทธิชัยเลิศทวี,3,71210
ผลิตชิ้นส่วนพิเศษหรืออุปกรณ์รถยนต์ เช่น กันชนรถยนต์หน้า-หลัง โครงกันยุบหลังคา,ท่ามะกา,7702,การทำชิ้นส่วนพิเศษหรืออุปกรณ์สำหรับรถยนต์ หรือรถพ่วง,แสงชูโต (สายเก่า 323),,20700000000000,12.5,18,3,อุตสาหกรรมยานยนต์,กาญจนบุรี,10,46235,253.8,2564,ท่ามะกา,จ3-77(2)-3/64กจ,บริษัท เอาท์แลนเดอร์ จำกัด,10333,บริษัท เอาท์แลนเดอร์ จำกัด,3,71120
ผลิตขนมปัง เบเกอรี่ ขนมอบแห้ง,ท่าม่วง,1002,การทำขนมปังกรอบ หรือขนมอบแห้ง,แสงชูโตสายใหม่,,20700000000000,77.1,170,5,อุตสาหกรรมแปรรูปอาหาร,กาญจนบุรี,3,208-209,583.9,2562,วังขนาย,จ3-10(2)-3/62กจ,บริษัท ศรีฟ้าโฟรเซนฟู้ด จำกัด,10334,บริษัท ศรีฟ้าโฟรเซนฟู้ด จำกัด,3,71110
ผลิตเครื่องสำอาง LUBRICANT GEL และยาสีฟัน,ลาดหลุมแก้ว,4703,การทำเครื่องสำอาง หรือสิ่งปรุงแต่งร่างกาย,,,20100000000000,612.6267452,140,10,อุตสาหกรรมท่องเที่ยวสุขภาพ,ปทุมธานี,4,222,2145.87,2538,ระแหง,จ3-47(3)-1/38ปท,บริษัท นีโอคอสเมด จำกัด,10335,บริษัท นีโอคอสเมด จำกัด,3,12140
ทำน้ำพริก,คลองหลวง,1308,การทำพริกป่น พริกไทยป่น หรือเครื่องแกง,,,20100000000000,403.224168,633,5,อุตสาหกรรมแปรรูปอาหาร,ปทุมธานี,1,18/13,4852.52,2546,คลองสาม,จ3-13(8)-1/46ปท,บริษัท เค.อาร์.เอส.สไปร์ซี่ ฟู้ดส์ จำกัด,10336,บริษัท เค.อาร์.เอส.สไปร์ซี่ ฟู้ดส์ จำกัด,3,12120
ผลิตชิ้นส่วนอีเลคโทรนิคและเครื่องใช้ไฟฟ้า,ลำลูกกา,7200,โรงงานผลิต ประกอบหรือซ่อมแซมเครื่องรับวิทยุ เครื่องรับโทรทัศน์ ผลิตภัณฑ์ที่เป็นตัวกึ่งนำ,,,20100000000000,30,46,4,อุตสาหกรรมอิเล็กทรอนิกส์,ปทุมธานี,13,29,540.59,2537,ลำลูกกา,จ3-72-2/37ปท,บริษิท ไทยดงรงเอ็นเตอร์ไพรส์ จำกัด,10337,บริษัท ไทยดงรงเอ็นเตอร์ไพรส์ จำกัด,3,12150
ซ่อมแซมเครื่องใช้ไฟฟ้า เช่น เครื่องฉีดน้ำแรงดันสูง เครื่องดูดฝ่นอุตสาหกรรม เป็นต้น,ลำลูกกา,7100,โรงงานผลิต ประกอบหรือซ่อมแซมเครื่องจักรหรือผลิตภัณฑ์ที่ระบุไว้ในลำดับที่ 70 เฉพาะที่ใช้ไฟฟ้า,,,20100000000000,19.7,12,4,อุตสาหกรรมอิเล็กทรอนิกส์,ปทุมธานี,3,55/57,57.1,2561,ลำลูกกา,จ3-71-4/61ปท,บริษัท นีโอแมค อินเตอร์ แอดวานซ์ จำกัด ,10338,บริษัท นีโอแมค อินเตอร์ แอดวานซ์ จำกัด,3,12150
"การเก็บรักษาหรือลำเลียงพืช เมล็ดพืช หรือผลิตผลจากพืชใน โกดังหรือคลังสินค้า, อบข้าวเปลือก",ตะพานหิน,201,การต้ม นึ่ง หรืออบพืชหรือเมล็ดพืช,,,20700000000000,23.85,6,5,อุตสาหกรรมแปรรูปอาหาร,พิจิตร,5,178,359,2567,ทับหมัน,จ3-2(1)-7/67พจ,นางสาวกมลวรรณ สุวรรณโชติ,10339,-,3,66110
