_id,ค่าของข้อมูล,ปี,ที่มา,อำเภอ,หน่วย,จังหวัด,รายการ
24,"25,341",2561,สำนักงานเกษตรจังหวัดชุมพร,ทุ่งตะโก,ไร่,ชุมพร,จำนวนเนื้อที่เพาะปลูกทุเรียน 
25,"25,365",2562,สำนักงานเกษตรจังหวัดชุมพร,เมืองชุมพร,ไร่,ชุมพร,จำนวนเนื้อที่เพาะปลูกทุเรียน 
26,"50,437",2562,สำนักงานเกษตรจังหวัดชุมพร,ท่าแซะ,ไร่,ชุมพร,จำนวนเนื้อที่เพาะปลูกทุเรียน 
27,"4,877",2562,สำนักงานเกษตรจังหวัดชุมพร,ปะทิว,ไร่,ชุมพร,จำนวนเนื้อที่เพาะปลูกทุเรียน 
28,"29,786",2562,สำนักงานเกษตรจังหวัดชุมพร,หลังสวน,ไร่,ชุมพร,จำนวนเนื้อที่เพาะปลูกทุเรียน 
29,"55,429",2562,สำนักงานเกษตรจังหวัดชุมพร,ละแม,ไร่,ชุมพร,จำนวนเนื้อที่เพาะปลูกทุเรียน 
30,"25,791",2562,สำนักงานเกษตรจังหวัดชุมพร,พะโต๊ะ,ไร่,ชุมพร,จำนวนเนื้อที่เพาะปลูกทุเรียน 
31,"6,627",2562,สำนักงานเกษตรจังหวัดชุมพร,สวี,ไร่,ชุมพร,จำนวนเนื้อที่เพาะปลูกทุเรียน 
32,"25,574",2562,สำนักงานเกษตรจังหวัดชุมพร,ทุ่งตะโก,ไร่,ชุมพร,จำนวนเนื้อที่เพาะปลูกทุเรียน 
33,"26,486",2563,สำนักงานเกษตรจังหวัดชุมพร,เมืองชุมพร,ไร่,ชุมพร,จำนวนเนื้อที่เพาะปลูกทุเรียน 
34,"50,941",2563,สำนักงานเกษตรจังหวัดชุมพร,ท่าแซะ,ไร่,ชุมพร,จำนวนเนื้อที่เพาะปลูกทุเรียน 
35,"5,556",2563,สำนักงานเกษตรจังหวัดชุมพร,ปะทิว,ไร่,ชุมพร,จำนวนเนื้อที่เพาะปลูกทุเรียน 
36,"32,532",2563,สำนักงานเกษตรจังหวัดชุมพร,หลังสวน,ไร่,ชุมพร,จำนวนเนื้อที่เพาะปลูกทุเรียน 
37,"56,976",2563,สำนักงานเกษตรจังหวัดชุมพร,ละแม,ไร่,ชุมพร,จำนวนเนื้อที่เพาะปลูกทุเรียน 
38,"27,266",2563,สำนักงานเกษตรจังหวัดชุมพร,พะโต๊ะ,ไร่,ชุมพร,จำนวนเนื้อที่เพาะปลูกทุเรียน 
39,"6,680",2563,สำนักงานเกษตรจังหวัดชุมพร,สวี,ไร่,ชุมพร,จำนวนเนื้อที่เพาะปลูกทุเรียน 
40,"25,574",2563,สำนักงานเกษตรจังหวัดชุมพร,ทุ่งตะโก,ไร่,ชุมพร,จำนวนเนื้อที่เพาะปลูกทุเรียน 
41,"27,614",2564,สำนักงานเกษตรจังหวัดชุมพร,เมืองชุมพร,ไร่,ชุมพร,จำนวนเนื้อที่เพาะปลูกทุเรียน 
42,"51,289",2564,สำนักงานเกษตรจังหวัดชุมพร,ท่าแซะ,ไร่,ชุมพร,จำนวนเนื้อที่เพาะปลูกทุเรียน 
43,"6,393",2564,สำนักงานเกษตรจังหวัดชุมพร,ปะทิว,ไร่,ชุมพร,จำนวนเนื้อที่เพาะปลูกทุเรียน 
44,"32,750",2564,สำนักงานเกษตรจังหวัดชุมพร,หลังสวน,ไร่,ชุมพร,จำนวนเนื้อที่เพาะปลูกทุเรียน 
45,"58,802",2564,สำนักงานเกษตรจังหวัดชุมพร,ละแม,ไร่,ชุมพร,จำนวนเนื้อที่เพาะปลูกทุเรียน 
46,"32,466",2564,สำนักงานเกษตรจังหวัดชุมพร,พะโต๊ะ,ไร่,ชุมพร,จำนวนเนื้อที่เพาะปลูกทุเรียน 
47,"7,652",2564,สำนักงานเกษตรจังหวัดชุมพร,สวี,ไร่,ชุมพร,จำนวนเนื้อที่เพาะปลูกทุเรียน 
48,"29,614",2564,สำนักงานเกษตรจังหวัดชุมพร,ทุ่งตะโก,ไร่,ชุมพร,จำนวนเนื้อที่เพาะปลูกทุเรียน 
49,"27,890",2565,สำนักงานเกษตรจังหวัดชุมพร,เมืองชุมพร,ไร่,ชุมพร,จำนวนเนื้อที่เพาะปลูกทุเรียน 
50,"56,627",2565,สำนักงานเกษตรจังหวัดชุมพร,ท่าแซะ,ไร่,ชุมพร,จำนวนเนื้อที่เพาะปลูกทุเรียน 
51,"6,751",2565,สำนักงานเกษตรจังหวัดชุมพร,ปะทิว,ไร่,ชุมพร,จำนวนเนื้อที่เพาะปลูกทุเรียน 
52,"35,477",2565,สำนักงานเกษตรจังหวัดชุมพร,หลังสวน,ไร่,ชุมพร,จำนวนเนื้อที่เพาะปลูกทุเรียน 
53,"62,367",2565,สำนักงานเกษตรจังหวัดชุมพร,ละแม,ไร่,ชุมพร,จำนวนเนื้อที่เพาะปลูกทุเรียน 
54,"32,846",2565,สำนักงานเกษตรจังหวัดชุมพร,พะโต๊ะ,ไร่,ชุมพร,จำนวนเนื้อที่เพาะปลูกทุเรียน 
55,"8,202",2565,สำนักงานเกษตรจังหวัดชุมพร,สวี,ไร่,ชุมพร,จำนวนเนื้อที่เพาะปลูกทุเรียน 
56,"30,608",2565,สำนักงานเกษตรจังหวัดชุมพร,ทุ่งตะโก,ไร่,ชุมพร,จำนวนเนื้อที่เพาะปลูกทุเรียน 
57,"30,007",2566,สำนักงานเกษตรจังหวัดชุมพร,เมืองชุมพร,ไร่,ชุมพร,จำนวนเนื้อที่เพาะปลูกทุเรียน 
58,"61,723",2566,สำนักงานเกษตรจังหวัดชุมพร,ท่าแซะ,ไร่,ชุมพร,จำนวนเนื้อที่เพาะปลูกทุเรียน 
59,"7,861",2566,สำนักงานเกษตรจังหวัดชุมพร,ปะทิว,ไร่,ชุมพร,จำนวนเนื้อที่เพาะปลูกทุเรียน 
60,"35,790",2566,สำนักงานเกษตรจังหวัดชุมพร,หลังสวน,ไร่,ชุมพร,จำนวนเนื้อที่เพาะปลูกทุเรียน 
61,"9,077",2566,สำนักงานเกษตรจังหวัดชุมพร,ละแม,ไร่,ชุมพร,จำนวนเนื้อที่เพาะปลูกทุเรียน 
62,"40,174",2566,สำนักงานเกษตรจังหวัดชุมพร,พะโต๊ะ,ไร่,ชุมพร,จำนวนเนื้อที่เพาะปลูกทุเรียน 
63,"63,550",2566,สำนักงานเกษตรจังหวัดชุมพร,สวี,ไร่,ชุมพร,จำนวนเนื้อที่เพาะปลูกทุเรียน 
64,"31,072",2566,สำนักงานเกษตรจังหวัดชุมพร,ทุ่งตะโก,ไร่,ชุมพร,จำนวนเนื้อที่เพาะปลูกทุเรียน 
65,"33,676",2567,สำนักงานเกษตรจังหวัดชุมพร,เมืองชุมพร,ไร่,ชุมพร,จำนวนเนื้อที่เพาะปลูกทุเรียน 
66,"87,458",2567,สำนักงานเกษตรจังหวัดชุมพร,ท่าแซะ,ไร่,ชุมพร,จำนวนเนื้อที่เพาะปลูกทุเรียน 
67,"10,115",2567,สำนักงานเกษตรจังหวัดชุมพร,ปะทิว,ไร่,ชุมพร,จำนวนเนื้อที่เพาะปลูกทุเรียน 
68,"43,033",2567,สำนักงานเกษตรจังหวัดชุมพร,หลังสวน,ไร่,ชุมพร,จำนวนเนื้อที่เพาะปลูกทุเรียน 
69,"9,117",2567,สำนักงานเกษตรจังหวัดชุมพร,ละแม,ไร่,ชุมพร,จำนวนเนื้อที่เพาะปลูกทุเรียน 
70,"42,069",2567,สำนักงานเกษตรจังหวัดชุมพร,พะโต๊ะ,ไร่,ชุมพร,จำนวนเนื้อที่เพาะปลูกทุเรียน 
71,"65,762",2567,สำนักงานเกษตรจังหวัดชุมพร,สวี,ไร่,ชุมพร,จำนวนเนื้อที่เพาะปลูกทุเรียน 
72,"36,563",2567,สำนักงานเกษตรจังหวัดชุมพร,ทุ่งตะโก,ไร่,ชุมพร,จำนวนเนื้อที่เพาะปลูกทุเรียน 
73,"34,886",2568,สำนักงานเกษตรจังหวัดชุมพร,เมืองชุมพร,ไร่,ชุมพร,จำนวนเนื้อที่เพาะปลูกทุเรียน 
74,"88,081",2568,สำนักงานเกษตรจังหวัดชุมพร,ท่าแซะ,ไร่,ชุมพร,จำนวนเนื้อที่เพาะปลูกทุเรียน 
75,"10,793",2568,สำนักงานเกษตรจังหวัดชุมพร,ปะทิว,ไร่,ชุมพร,จำนวนเนื้อที่เพาะปลูกทุเรียน 
76,"45,030",2568,สำนักงานเกษตรจังหวัดชุมพร,หลังสวน,ไร่,ชุมพร,จำนวนเนื้อที่เพาะปลูกทุเรียน 
77,"9,143",2568,สำนักงานเกษตรจังหวัดชุมพร,ละแม,ไร่,ชุมพร,จำนวนเนื้อที่เพาะปลูกทุเรียน 
78,"43,329",2568,สำนักงานเกษตรจังหวัดชุมพร,พะโต๊ะ,ไร่,ชุมพร,จำนวนเนื้อที่เพาะปลูกทุเรียน 
79,"66,357",2568,สำนักงานเกษตรจังหวัดชุมพร,สวี,ไร่,ชุมพร,จำนวนเนื้อที่เพาะปลูกทุเรียน 
80,"36,957",2568,สำนักงานเกษตรจังหวัดชุมพร,ทุ่งตะโก,ไร่,ชุมพร,จำนวนเนื้อที่เพาะปลูกทุเรียน 
