จำนวน,_id,ปี,ผู้เยี่ยมเยือน,จังหวัด,หน่วย
"1,971",36,2565,จำนวนผู้เยี่ยมเยือนชาวต่างชาติ (คน),นครนายก,คน
"1,040,554",37,2565,จำนวนผู้เยี่ยมเยือนคนไทย (คน),ปราจีนบุรี,คน
"2,527",38,2565,จำนวนผู้เยี่ยมเยือนชาวต่างชาติ (คน),ปราจีนบุรี,คน
"2,641,153",39,2565,จำนวนผู้เยี่ยมเยือนคนไทย (คน),ระยอง,คน
"111,407",40,2565,จำนวนผู้เยี่ยมเยือนชาวต่างชาติ (คน),ระยอง,คน
"1,119,620",41,2565,จำนวนผู้เยี่ยมเยือนคนไทย (คน),สระแก้ว,คน
"8,271",42,2565,จำนวนผู้เยี่ยมเยือนชาวต่างชาติ (คน),สระแก้ว,คน
"2,784,642",43,2564,จำนวนผู้เยี่ยมเยือนคนไทย (คน),ชลบุรี,คน
"29,101",44,2564,จำนวนผู้เยี่ยมเยือนชาวต่างชาติ (คน),ชลบุรี,คน
"699,017",45,2564,จำนวนผู้เยี่ยมเยือนคนไทย (คน),จันทบุรี,คน
"1,219",46,2564,จำนวนผู้เยี่ยมเยือนชาวต่างชาติ (คน),จันทบุรี,คน
"697,577",47,2564,จำนวนผู้เยี่ยมเยือนคนไทย (คน),ตราด,คน
"7,057",48,2564,จำนวนผู้เยี่ยมเยือนชาวต่างชาติ (คน),ตราด,คน
"667,730",49,2564,จำนวนผู้เยี่ยมเยือนคนไทย (คน),นครนายก,คน
151,50,2564,จำนวนผู้เยี่ยมเยือนชาวต่างชาติ (คน),นครนายก,คน
"516,965",51,2564,จำนวนผู้เยี่ยมเยือนคนไทย (คน),ปราจีนบุรี,คน
296,52,2564,จำนวนผู้เยี่ยมเยือนชาวต่างชาติ (คน),ปราจีนบุรี,คน
"1,352,699",53,2564,จำนวนผู้เยี่ยมเยือนคนไทย (คน),ระยอง,คน
"7,379",54,2564,จำนวนผู้เยี่ยมเยือนชาวต่างชาติ (คน),ระยอง,คน
"328,506",55,2564,จำนวนผู้เยี่ยมเยือนคนไทย (คน),สระแก้ว,คน
"2,181",56,2564,จำนวนผู้เยี่ยมเยือนชาวต่างชาติ (คน),สระแก้ว,คน
"5,506,407",57,2563,จำนวนผู้เยี่ยมเยือนคนไทย (คน),ชลบุรี,คน
"1,458,336",58,2563,จำนวนผู้เยี่ยมเยือนชาวต่างชาติ (คน),ชลบุรี,คน
"1,408,356",59,2563,จำนวนผู้เยี่ยมเยือนคนไทย (คน),จันทบุรี,คน
"13,199",60,2563,จำนวนผู้เยี่ยมเยือนชาวต่างชาติ (คน),จันทบุรี,คน
"938,547",61,2563,จำนวนผู้เยี่ยมเยือนคนไทย (คน),ตราด,คน
"151,707",62,2563,จำนวนผู้เยี่ยมเยือนชาวต่างชาติ (คน),ตราด,คน
"1,889,853",63,2563,จำนวนผู้เยี่ยมเยือนคนไทย (คน),นครนายก,คน
"5,245",64,2563,จำนวนผู้เยี่ยมเยือนชาวต่างชาติ (คน),นครนายก,คน
"922,278",65,2563,จำนวนผู้เยี่ยมเยือนคนไทย (คน),ปราจีนบุรี,คน
"19,108",66,2563,จำนวนผู้เยี่ยมเยือนชาวต่างชาติ (คน),ปราจีนบุรี,คน
"3,002,189",67,2563,จำนวนผู้เยี่ยมเยือนคนไทย (คน),ระยอง,คน
"121,594",68,2563,จำนวนผู้เยี่ยมเยือนชาวต่างชาติ (คน),ระยอง,คน
"977,772",69,2563,จำนวนผู้เยี่ยมเยือนคนไทย (คน),สระแก้ว,คน
"36,394",70,2563,จำนวนผู้เยี่ยมเยือนชาวต่างชาติ (คน),สระแก้ว,คน
"8,636,346",71,2562,จำนวนผู้เยี่ยมเยือนคนไทย (คน),ชลบุรี,คน
"9,966,574",72,2562,จำนวนผู้เยี่ยมเยือนชาวต่างชาติ (คน),ชลบุรี,คน
"2,390,150",73,2562,จำนวนผู้เยี่ยมเยือนคนไทย (คน),จันทบุรี,คน
"94,330",74,2562,จำนวนผู้เยี่ยมเยือนชาวต่างชาติ (คน),จันทบุรี,คน
"1,724,793",75,2562,จำนวนผู้เยี่ยมเยือนคนไทย (คน),ตราด,คน
"553,458",76,2562,จำนวนผู้เยี่ยมเยือนชาวต่างชาติ (คน),ตราด,คน
"3,046,158",77,2562,จำนวนผู้เยี่ยมเยือนคนไทย (คน),นครนายก,คน
"28,373",78,2562,จำนวนผู้เยี่ยมเยือนชาวต่างชาติ (คน),นครนายก,คน
"1,642,865",79,2562,จำนวนผู้เยี่ยมเยือนคนไทย (คน),ปราจีนบุรี,คน
"109,714",80,2562,จำนวนผู้เยี่ยมเยือนชาวต่างชาติ (คน),ปราจีนบุรี,คน
"7,310,599",81,2562,จำนวนผู้เยี่ยมเยือนคนไทย (คน),ระยอง,คน
"566,780",82,2562,จำนวนผู้เยี่ยมเยือนชาวต่างชาติ (คน),ระยอง,คน
"1,941,037",83,2562,จำนวนผู้เยี่ยมเยือนคนไทย (คน),สระแก้ว,คน
"283,907",84,2562,จำนวนผู้เยี่ยมเยือนชาวต่างชาติ (คน),สระแก้ว,คน
"8,569,217",85,2561,จำนวนผู้เยี่ยมเยือนคนไทย (คน),ชลบุรี,คน
"9,642,322",86,2561,จำนวนผู้เยี่ยมเยือนชาวต่างชาติ (คน),ชลบุรี,คน
"2,374,026",87,2561,จำนวนผู้เยี่ยมเยือนคนไทย (คน),จันทบุรี,คน
"94,188",88,2561,จำนวนผู้เยี่ยมเยือนชาวต่างชาติ (คน),จันทบุรี,คน
"1,650,140",89,2561,จำนวนผู้เยี่ยมเยือนคนไทย (คน),ตราด,คน
"528,564",90,2561,จำนวนผู้เยี่ยมเยือนชาวต่างชาติ (คน),ตราด,คน
"3,004,063",91,2561,จำนวนผู้เยี่ยมเยือนคนไทย (คน),นครนายก,คน
"28,790",92,2561,จำนวนผู้เยี่ยมเยือนชาวต่างชาติ (คน),นครนายก,คน
"1,563,340",93,2561,จำนวนผู้เยี่ยมเยือนคนไทย (คน),ปราจีนบุรี,คน
"104,469",94,2561,จำนวนผู้เยี่ยมเยือนชาวต่างชาติ (คน),ปราจีนบุรี,คน
"7,208,733",95,2561,จำนวนผู้เยี่ยมเยือนคนไทย (คน),ระยอง,คน
"552,929",96,2561,จำนวนผู้เยี่ยมเยือนชาวต่างชาติ (คน),ระยอง,คน
"1,968,794",97,2561,จำนวนผู้เยี่ยมเยือนคนไทย (คน),สระแก้ว,คน
"283,812",98,2561,จำนวนผู้เยี่ยมเยือนชาวต่างชาติ (คน),สระแก้ว,คน
