AGE_GROUP,VALUE,QUARTER,SOURCE,_id,UNIT,YEAR
50-59 ปี,0.4,ไตรมาส 3,สำนักงานสถิติแห่งชาติ,205,ร้อยละ,2568
60 ปีขึ้นไป,0.25,ไตรมาส 3,สำนักงานสถิติแห่งชาติ,206,ร้อยละ,2568
รวม,0.44,ไตรมาส 3,สำนักงานสถิติแห่งชาติ,207,ร้อยละ,2568
15-19 ปี,1.42,ไตรมาส 4,สำนักงานสถิติแห่งชาติ,208,ร้อยละ,2568
20-24 ปี,0.61,ไตรมาส 4,สำนักงานสถิติแห่งชาติ,209,ร้อยละ,2568
25-29 ปี,0.36,ไตรมาส 4,สำนักงานสถิติแห่งชาติ,210,ร้อยละ,2568
30-34 ปี,0.32,ไตรมาส 4,สำนักงานสถิติแห่งชาติ,211,ร้อยละ,2568
35-39 ปี,0.36,ไตรมาส 4,สำนักงานสถิติแห่งชาติ,212,ร้อยละ,2568
40-49 ปี,0.35,ไตรมาส 4,สำนักงานสถิติแห่งชาติ,213,ร้อยละ,2568
50-59 ปี,0.31,ไตรมาส 4,สำนักงานสถิติแห่งชาติ,214,ร้อยละ,2568
60 ปีขึ้นไป,0.34,ไตรมาส 4,สำนักงานสถิติแห่งชาติ,215,ร้อยละ,2568
รวม,0.37,ไตรมาส 4,สำนักงานสถิติแห่งชาติ,216,ร้อยละ,2568
15-19 ปี,0.7,ไตรมาส 1,สำนักงานสถิติแห่งชาติ,217,ร้อยละ,2569
20-24 ปี,0.35,ไตรมาส 1,สำนักงานสถิติแห่งชาติ,218,ร้อยละ,2569
25-29 ปี,0.32,ไตรมาส 1,สำนักงานสถิติแห่งชาติ,219,ร้อยละ,2569
30-34 ปี,0.44,ไตรมาส 1,สำนักงานสถิติแห่งชาติ,220,ร้อยละ,2569
35-39 ปี,0.41,ไตรมาส 1,สำนักงานสถิติแห่งชาติ,221,ร้อยละ,2569
40-49 ปี,0.4,ไตรมาส 1,สำนักงานสถิติแห่งชาติ,222,ร้อยละ,2569
50-59 ปี,0.59,ไตรมาส 1,สำนักงานสถิติแห่งชาติ,223,ร้อยละ,2569
60 ปีขึ้นไป,0.48,ไตรมาส 1,สำนักงานสถิติแห่งชาติ,224,ร้อยละ,2569
รวม,0.45,ไตรมาส 1,สำนักงานสถิติแห่งชาติ,225,ร้อยละ,2569
