จังหวัด,_id,ปี,ประกอบกิจการ,ตำบล,อำเภอ,รายชื่อสถานประกอบการ
ปทุมธานี,19,2566,คัดแยกสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้ว ที่ไม่เป็นของเสียอันตราย อัดเศษโลหะ นำน้ำมันหล่อลื่นที่ใช้แล้วหรือสารทำละลาย มาผ่านกรรมวิธีทางอุตสาหกรรม เพื่อผลิตเป็นเชื้อเพลิงทดแทน น้ำมันทาแบบ น้ำมันกันสนิม ซ่อมและล้างบรรจุภัณฑ์ด้วยตัวทำละลาย เก็บรวบรวมแบตเตอรี่โดยไม่มีการแปรสภาพ รีไซเคิลไส้กรองน้ำมัน ทำเชื้อเพลิงผสม (Blending) จากเศษผ้าปนเปื้อนน้ำมัน วัสดุดูดซับกากตะกอนน้ำมัน เศษไส้กรองน้ำมัน,คลองสอง,คลองหลวง,บริษัท คิงออยล์ แอนด์ ปิโตรเลียม จำกัด
ปทุมธานี,20,2566,คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,หลักหก,เมืองปทุมธานี,บริษัท มิชชั่นไลน์รีไซเคิล จำกัด
ปทุมธานี,21,2566,คัดแยกสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย เช่น ทองเหลือง ทองแดง เหล็ก อลูมิเนียม เศษกระดาษ เศษพลาสติก,บางหลวง,เมืองปทุมธานี,บริษัท ศิริรัตน์ โลหะกิจ จำกัด
ปทุมธานี,22,2566,คัดแยกสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แแล้วที่ไม่เป็นของเสียอันตราย หลอมพลาสติกเป็นเม็ด,เชียงรากใหญ่,สามโคก,บริษัท อุดมสุข พลาสติก รีไซเคิล จำกัด
ปทุมธานี,23,2566,คัดแยกวัสดุที่ไม่ใช้แล้วเฉพาะที่กำหนดในหมวด 1 ข้อ 1 ของภาคผนวกที่ 1 บัญชีสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้ว ท้ายประกาศกระทรวงอุตสาหกรรม ฉบับที่ 1 (พ.ศ.2541) และซ่อมแซม ดัดแปลง ปรับปรุงเครื่องใช้ไฟฟ้าอิเล็กทรอนิกส์ อัดเศษโลหะ อัดเศษกระดาษ และบดย่อยพลาสติก,คลองเจ็ด,คลองหลวง,ห้างหุ้นส่วนจำกัด ชินฟา
ปทุมธานี,24,2566,คัดแยกสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้ว เฉพาะที่กำหนดไว้ในหมวด 1 ข้อ 1 ในภาคผนวกที่ 1 บัญชีสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้ว ท้ายประกาศกระทรวงอุตสาหกรรม ฉบับที่ 1 (พ.ศ.2541) อัดเศษโลหะและเศษกระดาษ,สวนพริกไทย,เมืองปทุมธานี,บริษัท สหธนาชัย ค้าเหล็ก จำกัด
ปทุมธานี,25,2566,คัดแยกสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้วที่ไม่อันตราย,คูบางหลวง,ลาดหลุมแก้ว,ห้างหุ่นส่วนจำกัด ต.กิจบำรุง
ปทุมธานี,26,2566,คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,คลองสอง,คลองหลวง,บริษัท โฟว์เอเวอร์วัน จำกัด
ปทุมธานี,27,2566,คัดแยกวัสดุไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,คลองสี่,คลองหลวง,นางพรฤดี พิรุณวัฒนา
ปทุมธานี,28,2566,คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,คลองห้า,คลองหลวง,บริษัท ไทย ซังเกียว รีไซเคิล จำกัด
ปทุมธานี,29,2566,คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,บางกะดี,เมืองปทุมธานี,บริษัท รัตนทรัพย์ รีไซเคิล จำกัด
ปทุมธานี,30,2566,"คัดแยกเศษวัสดุเหลือใช้ เช่น กระดาษ, พลาสติก, โลหะและบดพลาสติก",คลองสี่,คลองหลวง,บริษัท กัน รีไซเคิล จำกัด
ปทุมธานี,31,2566,คัดแยกสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,บึงคำพร้อย,ลำลูกกา,บริษัท ดับเบิ้ลยูเอ็น แอสโซซิเอท จำกัด
ปทุมธานี,32,2566,คัดแยกสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย บดย่อยชิ้นส่วนอิเล็กทรอนิกส์ บดย่อยและขัดผิวพลาสติกที่เคลือบสี เคลือบโครเมี่ยม,คลองหนึ่ง,คลองหลวง,บริษัท ภูริชกานต์ โพลิเมอร์ จำกัด
ปทุมธานี,33,2566,คัดแยกวัสดุที่ไม่ใช้แล้ว ที่ไม่เป็นขยะอันตราย เช่น ทองเหลือง ทองแดง เหล็ก อลูมิเนียม เศษกระดาษ เศษพลาสติก,คูบางหลวง,ลาดหลุมแก้ว,บริษัท พรประเสริฐ รีบิ้ว จำกัด
ปทุมธานี,34,2566,คัดแยกสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,สวนพริกไทย,เมืองปทุมธานี,บริษัท ปัณณธร โลหะกิจ จำกัด
ปทุมธานี,35,2566,คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,บึงคำพร้อย,ลำลูกกา,บริษัท บีพีเอส รีไซเคิล จำกัด
ปทุมธานี,36,2566,คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย ,คลองสอง,คลองหลวง,ห้างหุ้นส่วนจำกัด วิชัยสยาม เทคโนโลยี แอนด์ เอ็นไวรอนเมนท์ 
ปทุมธานี,37,2566,คัดแยกสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,บ้านปทุม,สามโคก,บริษัท ซันสตีลเซอร์วิสเซส จำกัด
ปทุมธานี,38,2566,คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,คลองสาม,คลองหลวง,นายปัญญา อำไพ
ปทุมธานี,39,2566,คัดแยกสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,คลองสาม,คลองหลวง,บริษัท วี.รินทร์ สตีลกรุ๊ป กำกัด
ปทุมธานี,40,2566,คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,คูบางหลวง,ลาดหลุมแก้ว,นางสาวกัญญาณัฐ แซ่เล้า
ปทุมธานี,41,2566,คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,คลองเจ็ด,คลองหลวง,บริษัท ฟ้าสยาม อินเตอร์กรุ๊ป จำกัด
ปทุมธานี,42,2566,คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย ,บางกระบือ,สามโคก,บริษัท วิทิต กรุ๊ป จำกัด
ปทุมธานี,43,2566,คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,คลองสาม,คลองหลวง,บริษัท พี ที แอนด์ โอ รีไซเคิล จำกัด
ปทุมธานี,44,2566,คัดแยกสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้ว ที่ไม่เป็นของเสียอันตราย ตามประกาศกระทรวงอุตสาหกรรม เรื่องการกำจัดสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้ว พ.ศ.2548 และบดย่อยพลาสติก,คูบางหลวง,ลาดหลุมแก้ว,บริษัท พี.ที. รีไซเคิล จำกัด
ปทุมธานี,45,2566,คัดแยกสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,สามโคก,สามโคก,บริษัท ไทรทองโลหะ จำกัด
ปทุมธานี,46,2566,คัดแยกสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,หน้าไม้,ลาดหลุมแก้ว,บริษัท วันไนน์ กรุ๊ป 19 จำกัด 
ปทุมธานี,47,2566,คัดแยกวัสดุที่ไม่ใช้แล้วเฉพาะที่กำหนดไว้ในหมวด 1 ข้อ 1 ของภาคผนวกที่ 1 บัญชีสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้วท้ายประกาศกระทรวงอุตสาหกรรม ฉบับที่ 1 (พ.ศ.2541) และอัดเศษโลหะและกระดาษ,ลำลูกกา,ลำลูกกา,บริษัท ไทยพัฒนา อินนกอต จำกัด
ปทุมธานี,48,2566,คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,คลองสาม,คลองหลวง,บริษัท พี ที แอนด์ โอ รีไซเคิล จำกัด
ปทุมธานี,49,2566,คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,คลองสาม,คลองหลวง,บริษัท ต.คิดดี โปรดักส์ จำกัด
ปทุมธานี,50,2566,คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,คลองสอง,คลองหลวง,บริษัท เรณูยา จำกัด
ปทุมธานี,51,2566,คัดแยกสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,บางพูน,เมืองปทุมธานี,บริษัท สหลิ้มอุ่งเส็งค้าของเก่า จำกัด
ปทุมธานี,52,2566,คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย ,กระแชง,สามโคก,บริษัท ซุปเปอร์บ๊อกซ์ จำกัด
ปทุมธานี,53,2566,คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,คลองหนึ่ง,คลองหลวง,ห้างหุ้นส่วนจำกัด สหกิตติไพศาล เปเปอร์
ปทุมธานี,54,2566,คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,นพรัตน์,หนองเสือ,บริษัท เอ็ม ที เกษตรแปรรูป จำกัด
ปทุมธานี,55,2566,คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,คลองควาย,สามโคก,บริษัท วิทิต กรุ๊ป จำกัด
ปทุมธานี,56,2566,คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,ระแหง,ลาดหลุมแก้ว,ห้างหุ้นส่วนจำกัด ประนอม รีไซเคิล
ปทุมธานี,57,2566,คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,บ้านปทุม,สามโคก,บริษัท จึงเจริญ เมททัล จำกัด
ปทุมธานี,58,2566,คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,บ้านปทุม,สามโคก,บริษัท ชัยปราการ เม็ททัล จำกัด
ปทุมธานี,59,2566,คัดแยกวัสดุที่ไม่ใช้แล้วเฉพาะที่กำหนดในหมวด 1 ข้อ 1 ของภาคผนวกที่ 1 บัญชีสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้ว ท้ายประกาศกระทรวงอุตสาหกรรม ฉบับที่ 1 (พ.ศ.2541) บดพลาสติกและอัดเศษกระดาษ,คลองสอง,คลองหลวง,ห้างหุ้นส่วนจำกัด เอ็ม. ดี. เค. เอ็นจิเนียริ่ง แอนด์ ซัพพลาย
ปทุมธานี,60,2566,คัดแยกสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,บางเดื่อ,เมืองปทุมธานี,บริษัท เกียร์ คอนเอ็นจิเนียริ่ง จำกัด
ปทุมธานี,61,2566,คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,คลองสี่,คลองหลวง,นางสาวหทัยรัตน์ เกตุณรงค์
ปทุมธานี,62,2566,คัดแยกวัสดุที่ไม่ใช้แล้วที่เป็นของเสียอันตราย,คลองสอง,คลองหลวง,บริษัท สยาม ชิน-เอ เมทัล จำกัด
ปทุมธานี,63,2566,คัดแยกวัสดุที่ไม่ใช้แล้วเฉพาะที่กำหนดในหมวด 1 ข้อ 1 ของภาคผนวกที่ 1 บัญชีสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้ว ท้ายประกาศกระทรวงอุตสาหกรรม ฉบับที่ 1 (พ.ศ. 2541) และบดย่อยพลาสติก,คลองสาม,คลองหลวง,บริษัท ชัดเจน พลาสติก แอนด์ รีไซเคิ้ล จำกัด
ปทุมธานี,64,2566,คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,คลองพระอุดม,ลาดหลุมแก้ว,นางกันยาวีร์ คำตา
ปทุมธานี,65,2566,คัดแยกวัสดุที่ไม่ใช้แล้วเฉพาะที่กำหนดไว้ในหมวด 1 ข้อ 1,คลองสอง,คลองหลวง,บริษัท สยามโพลี (ไทยแลนด์) จำกัด
ปทุมธานี,66,2566,คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย เช่น เหล็ก กระดาษ พลาสติก ไม้ และโลหะต่างๆ,บางคูวัด,เมืองปทุมธานี,ห้างหุ้นส่วนจำกัด คูศรีก่อสร้างและรื้อถอน
ปทุมธานี,67,2566,คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย เช่น กระดาษ พลาสติก โลหะ,บึงคำพร้อย,ลำลูกกา,บริษัท พี พี ซอร์ทติ้ง จำกัด
ปทุมธานี,68,2566,คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,คลองเจ็ด,คลองหลวง,บริษัท เอ็นดีพีเอส พลาสติก จำกัด
ปทุมธานี,69,2566,คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,พืชอุดม,ลำลูกกา,บริษัท อภิวัฒนกรณ์ จำกัด
ปทุมธานี,70,2566,คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,ลำไทร,ลำลูกกา,บริษัท ส.บุญมา รีไซเคิล จำกัด
ปทุมธานี,71,2566,คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,นพรัตน์,หนองเสือ,บริษัท บุญชู รีไซเคิล จำกัด
ปทุมธานี,72,2566,คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย ตามประกาศกระทรวงอุตสาหกรรมว่าด้วยเรื่อง การกำจัดสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้วจำพวกโลหะ กระดาษ แก้ว ไม้ พลาสติก และบดย่อยพลาสติกชนิดต่าง ๆ,บึงคำพร้อย,ลำลูกกา,ห้างหุ้นส่วนจำกัด มารวย รีไซเคิล
ปทุมธานี,73,2566,"คัดแยกวัสดุที่ไม่ใช้แล้ว (ขยะไม่อันตราย) บดย่อยและอัดพลาสติก, อัดเศษโลหะและอัดกระดาษ",คลองสาม,คลองหลวง,บริษัท พี เค เอเซีย (ประเทศไทย) จำกัด
ปทุมธานี,74,2566,คัดแยกสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย เช่น เหล็ก กระดาษ พลาสติก เป็นต้น,บึงทองหลาง,ลำลูกกา,ห้างหุ้นส่วนจำกัด ป.ปรีชา รีไซเคิล
ปทุมธานี,75,2566,คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,ประชาธิปัตย์,ธัญบุรี,บริษัท พี.ริชพอยท์ จำกัด
ปทุมธานี,76,2566,คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,คลองสอง,คลองหลวง,ห้างหุ้นส่วนจำกัด สมชายการค้ารีไซเคิล
ปทุมธานี,77,2566,คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,พืชอุดม,ลำลูกกา,บริษัท ธีภพ กรุ๊ป จำกัด
ปทุมธานี,78,2566,คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,คลองสี่,คลองหลวง,บริษัท เอ็มบีพี คอร์ปอเรชั่น จำกัด
ปทุมธานี,79,2566,คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,คลองสาม,คลองหลวง,บริษัท ต.ร่วมพัฒนา รีไซเคิล จำกัด
ปทุมธานี,80,2566,คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,บางกะดี,เมืองปทุมธานี,บริษัท คันไซ เคมิคัล (ประเทศไทย) จำกัด
ปทุมธานี,81,2566,คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,บึงบอน,หนองเสือ,บริษัท รวยต่อไป เก้า เก้า เก้า จำกัด
ปทุมธานี,82,2566,คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,คลองสาม,คลองหลวง,บริษัท มิตรไมตรี รีไซเคิล จำกัด
ปทุมธานี,83,2566,คัดแยกสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้วที่ไม่เป็นอันตราย อัดเศษโลหะ เศษกระดาษ บดย่อยพลาสติก,คลองสี่,คลองหลวง,บริษัท โอเค 760 จำกัด
ปทุมธานี,84,2566,คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,คลองควาย,สามโคก,บริษัท จ.เกียรติเจริญกิจ อุตสาหกรรม จำกัด
ปทุมธานี,85,2566,คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,คลองสาม,คลองหลวง,บริษัท ซัฟฟูล โกลบอล จำกัด
ปทุมธานี,86,2566,คัดแยกสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,คลองหนึ่ง,คลองหลวง,บริษัท สยามคราฟท์อุตสาหกรรม จำกัด
ปทุมธานี,87,2566,คัดแยกวัสดุที่ไม่ใช้แล้วเฉพาะที่กำหนดในหมวด 1 ข้อ 1 ของภาคผนวกที่ 1 บัญชีสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้ว ท้ายประกาศกระทรวงอุตสาหกรรม ฉบับที่ 1 (พ.ศ.2541) ล้างขวดแก้ว บดล้างพลาสติกและอัดเศษโลหะ,คูบางหลวง,ลาดหลุมแก้ว,บริษัท ปทุมรีไซเคิล จำกัด
ปทุมธานี,88,2566,คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย และบดย่อยเศษพลาสติก,ลำไทร,ลำลูกกา,นางสาวประภาพรรณ กิมยงค์
ปทุมธานี,89,2566,คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,คูคต,ลำลูกกา,บริษัท บานาน่า ชัวร์ จำกัด
ปทุมธานี,90,2566,คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นขยะอันตราย เช่น ทองเหลือง ทองแดง เหล็ก อลูมิเนียม เศษกระดาษ เศษพลาสติก,คลองหนึ่ง,คลองหลวง,บริษัท ดับเบิลยู.เอ็ม.อิคสปอร์ท 2010 (ประเทศไทย) จำกัด
ปทุมธานี,91,2566,คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,คลองเจ็ด,คลองหลวง,บริษัท ฟ้าสยาม สตีล รีไซเคิ้ล เซ็นเตอร์ จำกัด
ปทุมธานี,92,2566,คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,ลำลูกกา,ลำลูกกา,บริษัท 888 ไลอ้อน จำกัด
ปทุมธานี,93,2566,คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,ท้ายเกาะ,สามโคก,บริษัท จรรยา ไซเคิล เทรน จำกัด
ปทุมธานี,94,2566,คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,คลองเจ็ด,คลองหลวง,ห้างหุ้นส่วนจำกัด ก. ธนาทิพย์
ปทุมธานี,95,2566,คัดแยกสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย เช่น ทองแดง ทองเหลือง อลูมิเนียม เหล็ก สแตนเลส เป็นต้น,คลองหนึ่ง,คลองหลวง,บริษัท ฟูเกน (ประเทศไทย) จำกัด
ปทุมธานี,96,2566,คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,บางกะดี,เมืองปทุมธานี,ห้างหุ้นส่วนจำกัด วี แอนด์ เอ เซอร์วิส
ปทุมธานี,97,2566,คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,คลองสาม,คลองหลวง,บริษัท ชัยยะ นารา จำกัด
ปทุมธานี,98,2566,คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นอันตราย บดพลาสติกและผลิตอิฐบล็อคปูพื้น โดยใช้ทรายจากแบบหล่อโลหะ,นพรัตน์,หนองเสือ,นางสาวปรารถนา ทุ่งลาด
ปทุมธานี,99,2566,คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,ลำผักกูด,ธัญบุรี,นางสาววลัชณัฏฐ์ อัคริมาสุปวีณ์
ปทุมธานี,100,2566,คัดแยกสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,คลองสี่,คลองหลวง,บริษัท สยาม เอ็นไวรอนเม้นท์ สแค็พส์ จำกัด
ปทุมธานี,101,2566,คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,หนองสามวัง,หนองเสือ,นายปิยะมิตร ศรีสว่าง
ปทุมธานี,102,2566,"คัดแยกสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้วที่ไม่เป็นอันตราย สกัดโลหะมีค่าจากแผงวงจร, ตะกรันโลหะมีค่า, ตะกอนจากระบบบำบัดน้ำเสีย, เศษผ้าปนเปื้อน Silver Epoxy, โลหะที่มีทองคำเคลือบผิวอยู่, Lead Free, ผลิตเชื้อเพลิงทดแทนจากน้ำมันหล่อลื่นและน้ำมันพืชใช้แล้ว, บดย่อยอุปกรณ์อีเล็คทรอนิคส์ ล้างถังด้วย Sovent",บางกะดี,เมืองปทุมธานี,บริษัท สหการบางกะดี่เซอร์วิส จำกัด
ปทุมธานี,103,2566,คัดแยกสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,สวนพริกไทย,เมืองปทุมธานี,บริษัท จ.ชัยเจริญรีไซเคิล จำกัด
ปทุมธานี,104,2566,คัดแยกขนาดหรือคุณภาพของผลิตผลเกษตรกรรม และบรรจุใส่ถาดพลาสติก,คลองสี่,คลองหลวง,บริษัท ศิลามั่นคง 2012 จำกัด
ปทุมธานี,105,2566,คัดแยก บรรจุผักผลไม้,คลองห้า,คลองหลวง,บริษัท โพรเกรส เวิลดิ์ จำกัด
