ถนน,คนงานชาย,เลขที่,ซอย,แรงม้า,คนงานรวม,เงินทุนรวม,_id,ลำดับ,ชื่อโรงงาน,ประกอบกิจการ,แรงม้าตรวจพบ,ตำบล,อำเภอ,คนงานหญิง,จังหวัด,ผู้ประกอบการ,หมู่
,22,เลขที่ 109,,400.71,82,129000000,199,199,บริษัท อาร์ที อะกริเทค จำกัด ,ฆ่าไก่ ล้างชำแหละไก่ และห้องเย็น,400.71,พลายชุมพล,เมืองพิษณุโลก,60,พิษณุโลก,บริษัท อาร์ที อะกริเทค จำกัด ,1.0
,4200000,เลขที่ 17/9,,198,33000000,,200,200,บริษัท ฟาร์ม 9 ไก่ฟู้ดส์ จำกัด,ฆ่าและชำแหละไก่,208,ทับยายเชียง,พรหมพิราม,40835839,พิษณุโลก,บริษัท ฟาร์ม 9 ไก่ฟู้ดส์ จำกัด,6.0
,200000,เลขที่ 907/1,,4,100000,,201,201,ลูกชิ้นหัวเราะ,ทำลูกชิ้น,8,พรหมพิราม,พรหมพิราม,170000,พิษณุโลก,นางสิริเพ็ญ พงษ์โอภาส,1.0
,400000,เลขที่ 68,,4,500000,,202,202,ห้างหุ้นส่วนจำกัด ฟาร์มอดุลย์ วังมะด่าน,"แปรรูปเนื้อสัตว์,แปรรูปไข่ เช่น ลูกชิ้น หมูยอ กุนเชียง เต้าหู้ไข่",7,วงฆ้อง,พรหมพิราม,2000000,พิษณุโลก,ห้างหุ้นส่วนจำกัด ฟาร์มอดุลย์ วังมะด่าน,9.0
,6,เลขที่ 70/4,,81,15,14790000,203,203,บริษัท กิจธนาทรัพย์ เฟรช มีท จำกัด ,ชำแหละ เนื้อสัตว์ และเก็บรักษาในห้องเย็น,81,ดินทอง,วังทอง,9,พิษณุโลก,บริษัท กิจธนาทรัพย์ เฟรช มีท จำกัด,3.0
,3900000,เลขที่ 123,,60,0,,204,204,บริษัท เบทาโกร เกษตรอุตสาหกรรม จำกัด โรงงานตัดแต่งชิ้นส่วนสุกร,ล้างชำแหละ แกะ ต้ม นึ่งทอด หรือบดเนื้อสัตว์ ส่วนหนึ่งส่วนใดของสัตว์,100,ปากโทก,เมืองพิษณุโลก,38800000,พิษณุโลก,บริษัท เบทาโกร เกษตรอุตสาหกรรม จำกัด ,2.0
,6,เลขที่ 80,,454.39,11,200000000,205,205,บริษัท ซีพีเอฟ (ประเทศไทย) จำกัด (มหาชน),"แปรรูปผลิตภัณฑ์จากไข่,คัดแยกบรรจุไข่",,ดินทอง,วังทอง,5,พิษณุโลก,บริษัท ซีพีเอฟ (ประเทศไทย) จำกัด (มหาชน),4.0
สาบบางระกำ-ลานกระบือ,0,เลขที่ 198/2,,9,14000000,,206,206,ชลัมเบอร์เจอร์ โอเวอร์ซีส์ เอส.เอ.,ทำการผสมน้ำมันโคลน (Versatorl Muds) และเก็บรักษาสารเคมี ที่ใช้ในงานสำรวจขุดเจาะปิโตรเลี่ยม,0,บางระกำ,บางระกำ,6000000,พิษณุโลก,ชลัมเบอร์เจอร์ โอเวอร์ซีส์ เอส.เอ.,17.0
,40000,เลขที่ 88/8,,10,10000000,,207,207,เพชรพิษณุ,ผลิตปุ๋ยอินทรีย์ ผลิตปุ๋ยอินทรีย์-เคมี ผสมปุ๋ยอินทรีย์-เคมี แบ่งบรรจุปุ๋ยเคมี,7,ไผ่ล้อม,บางกระทุ่ม,4000000,พิษณุโลก,บริษัท ดินเน็ทเวิร์ค(ประเทศไทย) จำกัด,8.0
พิษณุโลก - หล่มสัก,0,เลขที่ 647,,15,5000000,,208,208,บริษัท เพิซโปรเทคชั่นกรุ๊ป จำกัด,ผลิตปุ๋ยเคมีชนิดเม็ด โดยวิธีการกวนผสม และจำหน่ายปุ๋ยอินทรีย์ เคมี,0,วังทอง,วังทอง,500000,พิษณุโลก,บริษัท เพิซ โปรเทคชั่นกรุ๊ป จำกัด,14.0
,1,เลขที่ 222,,287.75,6,39500000,209,209,บริษัท ดาริน แล็บบอราทอรี่ส์ จำกัด,ทำผลิตภัณฑ์เครื่องสำอาง,287.75,วังพิกุล,วังทอง,5,พิษณุโลก,บริษัท ดาริน แล็บบอราทอรี่ส์ จำกัด,9.0
0.0,0,เลขที่ 334/29,สามัคคี,3,1000000,,210,210,บริษัท พิษณุโลกโกลด์มิลค์ จำกัด,ผลิตนมสดพลาสเจอร์ไรส์,0,อรัญญิก,เมืองพิษณุโลก,4500000,พิษณุโลก,บริษัท พิษณุโลกโกลด์มิลค์ จำกัด,9.0
,0,เลขที่ 151/1,,15,5000000,,211,211,บริษัท พี.เค.เอส.37 ยูเนี่ยนคอนสตรัคชั่น จำกัด,โรงงานผลิตยางแอสฟัลท์ติกคอนกรีต,3,สมอแข,เมืองพิษณุโลก,10000000,พิษณุโลก,บริษัท พี.เค.เอส.37 ยูเนี่ยนคอนสตรัคชั่น จำกัด,1.0
,1000000,เลขที่ 189,,8,1000000,,212,212,ห้างหุ้นส่วจำกัด ใบบริบาล,ผลิตแอสฟัลท์ติกคอนกรีต,2,หินลาด,วัดโบสถ์,6000000,พิษณุโลก,ห้างหุ้นส่วนจำกัด ใบบริบาล,1.0
,400000,เลขที่ 289,,2,17000000,,213,213,ห้างหุ้นส่วนจำกัด สมควรการโยธา,ผลิตแอสฟัลติกคอนกรีต,0,ไผ่ขอดอน,เมืองพิษณุโลก,7500000,พิษณุโลก,ห้างหุ้นส่วนจำกัด สมควรการโยธา,3.0
,0,เลขที่ -,,5,5000000,,214,214,ห้างหุ้นส่วนจำกัด สุรศักดิ์คัชมาตย์การโยธา,ผลิตแอสฟัลต์ติกคอนกรีต,0,ปากโทก,เมืองพิษณุโลก,15000000,พิษณุโลก,ห้างหุ้นส่วนจำกัด สุรศักดิ์คัชมาตย์การโยธา ,2.0
,7000000,เลขที่ โฉนดที่ดิน 11209 ,,5,1700000,,215,215,ห้างหุ้นส่วนจำกัด นิคมบางระกำก่อสร้าง,ผลิตแอสฟัลท์ติกคอนกรีต,0,แม่ระกา,วังทอง,8000000,พิษณุโลก,ห้างหุ้นส่วนจำกัด นิคมบางระกำก่อสร้าง,15.0
,5,เลขที่ โฉนดที่ดินเลขที่ 46900,,497.08,7,38000000,216,216,บริษัท เอกมงคลพัฒน์ จำกัด,ผลิตแอสฟัลท์ติกคอนกรีต,497.08,ทับยายเชียง,พรหมพิราม,2,พิษณุโลก,บริษัท เอกมงคลพัฒน์ จำกัด,6.0
พิษณุโลก-เด่นชัย,15000000,เลขที่ โฉนดที่ดินเลขที่ 58918,,5,10000000,,217,217,ห้างหุ้นส่วนจำกัด พิษณุโลกวิวัฒน์พัฒนา,ผลิตแอสฟัลท์คอนกรีต,0,ดงประคำ,พรหมพิราม,15000000,พิษณุโลก,ห้างหุ้นส่วนจำกัด พิษณุโลกวิวัฒน์พัฒนา,5.0
,6000000,เลขที่ 28/1,,30,41000000,,218,218,บริษัท ทีทีเอ็น รับเบอร์ จำกัด,ผลิตยางแผ่นและรีดเศษยาง,30,วังนกแอ่น,วังทอง,18400000,พิษณุโลก,บริษัท ทีทีเอ็น รับเบอร์ จำกัด,3.0
,5125500,เลขที่ 670,,11,0,,219,219,บริษัท จอย สปอร์ต จำกัด,"ผลิต กระเป๋า ,ถุงกันน้ำ จากพลาสติก หรือผ้าใบ และผลิตอุปกรณ์ที่ใช้ร่วมกันกับกีฬาหรือการท่องเที่ยวทางน้ำ เช่น ถุงหรือกระเป๋า,อุปกรณ์ประกอบกระเป๋า",35,เนินมะปราง,เนินมะปราง,3422000,พิษณุโลก,บริษัท จอย สปอร์ต จำกัด,4.0
,3200000,เลขที่ 888,,10,500000,,220,220,ห้างหุ้นส่วนจำกัด จีพี พรีฟอร์ม แอนด์ พลาสติก,ทำผลิตภัณฑ์พลาสติก เช่น พรีฟอร์ม ขวดน้ำพลาสติก,6,วังทอง,วังทอง,10000000,พิษณุโลก,ห้างหุ้นส่วนจำกัด จีพี พรีฟอร์ม แอนด์ พลาสติก,14.0
พิษณุโลก-บางกระทุ่ม,15,เลขที่ 19/9,,400,25,22257600,221,221,บริษัท วงษ์พาณิชย์ อินเตอร์เนชั่นแนล จำกัด,"คัดแยกสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้ว เฉพาะหมวด 1 ข้อ 1 ของภาคผนวกที่ 1 บัญชีสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้วท้ายประกาศกระทรวงอุตสาหกรรม ฉบับที่ 1 (พ.ศ. 2541) บดย่อยพลาสติกเก่า,อัดกระดาษเป็นก้อน และตัดเศษโลหะ",,ท่าทอง,เมืองพิษณุโลก,10,พิษณุโลก,บริษัท วงษ์พาณิชย์ อินเตอร์เนชั่นแนล จำกัด,3.0
,25000000,เลขที่ 89/2 ,,22,30000000,,222,222,บริษัท เตยหอมเพ็ท จำกัด,ทำพลาสติกเป็นชิ้นหรือขึ้นรูปทรงต่าง ๆ,10,ท่าช้าง,พรหมพิราม,160000000,พิษณุโลก,บริษัท เตยหอมเพ็ท จำกัด,1.0
,250000,เลขที่ 9/6,,6,300000,,223,223,ซี ดับบลิว พลาสติก,ล้าง บด หรือย่อยพลาสติก,11,หัวรอ,เมืองพิษณุโลก,550000,พิษณุโลก,นายชัยฤกษ์ วงษ์เจริญ,9.0
,5,เลขที่ 86,,229.5,10,6200000,224,224,บริษัท ทรัพย์ ส.ประทีป รีไซเคิล จำกัด,ล้าง บด ย่อย พลาสติก อัดเศษโลหะ และเศษกระดาษ,229.5,บ่อทอง,บางระกำ,5,พิษณุโลก,บริษัท ทรัพย์ ส.ประทีป รีไซเคิล จำกัด,1.0
,5,เลขที่ 99,,80,7,5200000,225,225,บริษัท อำนาจพลาสติก จำกัด,บด ย่อย ล้างพลาสติก,,วัดโบสถ์,วัดโบสถ์,2,พิษณุโลก,บริษัท อำนาจพลาสติก จำกัด,8.0
,3000000,เลขที่ 97,,3,2000000,,226,226,-,ทำอิฐดินเผา,2,ท่าช้าง,พรหมพิราม,300000,พิษณุโลก,นายดิเรก สีดาว,11.0
,1600000,"เลขที่ 46,46/1",,5,200000,,227,227,บุญมีอิฐแดง,ทำอิฐดินเผา,0,ท่าตาล,บางกระทุ่ม,200000,พิษณุโลก,นายสมเกียรติ นาชอน,8.0
,2000000,เลขที่ 53/1,,5,200000,,228,228,สิริวิมลอิฐแดง,ทำอิฐดินเผา,0,ท่าตาล,บางกระทุ่ม,200000,พิษณุโลก,นายชลอ พยัฆษี,8.0
,0,เลขที่ 198/2,,2,2000000,,229,229,ชลัมเบอร์เจอร์ โอเวอร์ เอส.เอ.,ขนถ่ายลำเลียงซีเมนต์โดยระบบท่อเก็บลมไว้ในไซโล และผสมซีเมนต์ เพื่อใช้ในการบริการรับจ้างเจาะสำรวจปิโตเลียม,0,หนองกุลา,บางระกำ,3000000,พิษณุโลก,ชลัมเบอร์เจอร์ โอเวอร์ซีส์ เอส.เอ.,17.0
บายพาส,5000000,เลขที่ 151,,4,500000,,230,230,โชควิวัฒน์คอนกรีต,ผลิตและจำหน่ายคอนกรีตผสมเสร็จ,0,สมอแข,เมืองพิษณุโลก,2000000,พิษณุโลก,ห้างหุ้นส่วนจำกัด พิษณุโลกวิวัฒน์พัฒนา,1.0
สายพิษณุโลก-เด่นชัย,3500000,เลขที่ 1/2,,10,1000000,,231,231,บริษัท คมพิศิษฐ์ พี.เอส.ที.คอนกรีต จำกัด,ทำผลิตภัณฑ์คอนกรีตสำเร็จรูป เช่น แผ่นพื้นคอนกรีต เสาเข็มคอนกรีต,10,ทับยายเชียง,พรหมพิราม,2000000,พิษณุโลก,บริษัท คมพิศิษฐ์ พี.เอส.ที.คอนกรีต จำด,3.0
วังทอง-สากเหล็ก,3000000,เลขที่ 92/2,,2,1000000,,232,232,บริษัท ปธังกรณ์คอนกรีต จำกัด,ทำผลิตภัณฑ์คอนกรีตผสมเสร็จ,1,วัดตายม,บางกระทุ่ม,2400000,พิษณุโลก,บริษัท ปธังกรณ์คอนกรีต จำกัด,8.0
นครไทย-ชาติตระการ,2000000,เลขที่ 36/3,,7,700000,,233,233,ห้างหุ้นส่วนจำกัด อุ้ยเซ้งผลิตภัณฑ์คอนกรีต,ผลิตคอนกรีตผสมเสร็จ,0,ท่าสะแก,ชาติตระการ,4650000,พิษณุโลก,ห้างหุ้นส่วนจำกัด อุ้ยเซ็งผลิตภัณฑ์คอนกรีต,3.0
,1000000,เลขที่ โฉนดที่ดินเลขที่ 24967,,8,2000000,,234,234,ห้างหุ้นส่วนจำกัด ฟลุ๊ควัสดุก่อสร้าง,ผลิตคอนกรีตผสมเสร็จ,0,มะต้อง,พรหมพิราม,4000000,พิษณุโลก,ห้างหุ้นส่วนจำกัด ฟลุ๊ควัสดุก่อสร้าง,2.0
,8,เลขที่ 99/9,,81.7,8,8500000,235,235,โรงงานผลิตภัณฑ์คอนกรีตอัดแรง ซี.พี.ซี (สาขาพรหมพิราม),ผลิตคอนกรีตผสมเสร็จ,,มะต้อง,พรหมพิราม,0,พิษณุโลก,บริษัท ซี.พี.ซี คอนกรีตอัดแรง จำกัด,12.0
,10000000,เลขที่ ,,28,10000000,,236,236,บริษัท ท๊อปแลนด์ คอนกรีต จำกัด,ทำผลิตภัณฑ์คอนกรีตอัดแรง เช่น เสาไฟฟ้า เสาเข็ม แผ่นพื้น คานคอนกรีต,12,ดอนทอง,เมืองพิษณุโลก,15000000,พิษณุโลก,บริษัท ท๊อปแลนด์ คอนกรีต จำกัด,2.0
บางระกำ-ลานกระบือ,8,เลขที่ 101,,81.7,8,6200000,237,237,โรงงานผลิตภัณฑ์คอนกรีตอัดแรง ซี.พี.ซี.(สาขาบางระกำ),ผลิตคอนกรีตผสมเสร็จ,,บางระกำ,บางระกำ,0,พิษณุโลก,บริษัท ซี.พี.ซี. คอนกรีตอัดแรง จำกัด,13.0
สายนครไทย-ชาติตระการ,1000000,เลขที่ 367,,3,500000,,238,238,ห้างหุ้นส่วนจำกัด ซีเค 2024 คอนกรีต,ผลิตคอนกรีตผสมเสร็จ,0,ป่าแดง,ชาติตระการ,3500000,พิษณุโลก,ห้างหุ้นส่วนจำกัด ซีเค 2024 คอนกรีต,4.0
-,0,เลขที่ โฉนดที่ดินเลขที่ 19097 เลขที่ดิน 210,-,10,10000000,,239,239,บริษัท น้องเล็กสถาปัตย์ จำกัด,ผลิตคอนกรีตผสมเสร็จ,0,บ่อทอง,บางระกำ,6000000,พิษณุโลก,บริษัท น้องเล็กสถาปัตย์ จำกัด,2.0
,5,เลขที่ ,,161.83,5,10000000,240,240,บริษัท เพาเวอร์แพค คอนกรีต จำกัด,ผลิตคอนกรีตผสมเสร็จ,161.83,ท่าโพธิ์,เมืองพิษณุโลก,0,พิษณุโลก,บริษัท เพาเวอร์แพค คอนกรีต จำกัด,4.0
,10,เลขที่ 319/1,,377.84,14,25690000,241,241,ห้างหุ้นส่วนจำกัด ชัยประเสริฐคอนกรีตอัดแรง,ผลิตคอนกรีตผสมเสร็จ แผ่นพื้นสำเร็จรูป,510.01,บึงกอก,บางระกำ,4,พิษณุโลก,ห้างหุ้นส่วนจำกัด ชัยประเสริฐคอนกรีตอัดแรง,4.0
-,7500000,เลขที่ โฉนดที่ดินเลขที่ 9417,-,3,1000000,,242,242,บริษัท ซี.พี.ซี.คอนกรีตอัดแรง จำกัด,ผลิตและจำหน่ายคอนกรีตผสมเสร็จ,1,วัดพริก,เมืองพิษณุโลก,3500000,พิษณุโลก,บริษัท ซี.พี.ซี.คอนกรีตอัดแรง จำกัด,5.0
,0,เลขที่ 199/2,,5,2000000,,243,243,บริษัท เพาเวอร์แพค เทคคอน จำกัด,ทำผลิตภัณฑ์คอนกรีต เช่น เสาเข็มคอนกรีต รางน้ำคอนกรีต,0,ท่าโพธิ์,เมืองพิษณุโลก,5000000,พิษณุโลก,บริษัท เพาเวอร์แพค เทคคอน จำกัด,4.0
,5,เลขที่ 9/3,,85,7,3600000,244,244,ร้านมานะคอนกรีต,ทำผลิตภัณฑ์คอนกรีต เช่น อิฐบล็อก คอนกรีตผสมเสร็จ เสาคอนกรีต,,บ้านไร่,บางกระทุ่ม,2,พิษณุโลก,นายมานะ ภูมิผล,9.0
สิงหวัฒน์,5000000,เลขที่ 225,,60,1200000,,245,245,บริษัท ซี.พี.ซี.คอนกรีตอัดแรง จำกัด,ทำผลิตภัณฑ์คอนกรีตอัดแรง,50,บ้านกร่าง,เมืองพิษณุโลก,5343777,พิษณุโลก,บริษัท ซี.พี.ซี.คอนกรีตอัดแรง จำกัด,1.0
บางระกำ-ลานกระบือ,0,เลขที่ 169,,9,3000000,,246,246,บริษัท รุ่งวิชัยคอนกรีต จำกัด,ผลิตคอนกรีตผสมเสร็จ ผลิตภัณฑ์คอนกรีตอัดแรงทุกชนิด,2,บางระกำ,บางระกำ,15800000,พิษณุโลก,บริษัท รุ่งวิชัยคอนกรีต จำกัด,12.0
,3000000,เลขที่ 181,,4,500000,,247,247,ห้างหุ้นส่วนจำกัด ณัฐชูพงศ์คอนกรีต,ทำผลิตภัณฑ์คอนกรีตผสมเสร็จ,0,นครไทย,นครไทย,2600000,พิษณุโลก,ห้างหุ้นส่วนจำกัด ณัฐชูพงศ์คอนกรีต,3.0
นครไทย-ด่านซ้าย,300000,เลขที่ 185,,4,200000,,248,248,ห้างหุ้นส่วนจำกัด อุ้ยเซ้งผลิตภัณฑ์คอนกรีต,ผลิตคอนกรีตผสมเสร็จ,0,เนินเพิ่ม,นครไทย,4000000,พิษณุโลก,ห้างหุ้นส่วนจำกัด อุ้ยเซ้งผลิตภัณฑ์คอนกรีต,11.0
พิษณุโลก-หล่มสัก,5000000,เลขที่ 13/1,,10,6000000,,249,249,ส.ซีเมนต์บล๊อก,ทำผลิตภัณฑ์จากคอนกรีต,10,แก่งโสภา,วังทอง,2500000,พิษณุโลก,นางสาววรรณพร เตชะพันธ์รัตนกุล,3.0
-,200000,"เลขที่ โฉนดที่ดินเลขที่ 19389,41222,37274, เลขที่ 87,134,107",-,10,500000,,250,250,ห้างหุ้นส่วนจำกัด พิษณุดีพร้อม,ผลิตคอนกรีตผสมเสร็จ,0,บึงกอก,บางระกำ,8000000,พิษณุโลก,ห้างหุ้นส่วนจำกัด  พิษณุดีพร้อม,10.0
,500000,เลขที่ 46/2,,5,5000000,,251,251,ห้างหุ้นส่วนจำกัด สินรุ่งเรือง คอนกรีต,ผลิตคอนกรีผสมเสร็จ,1,บางระกำ,บางระกำ,6000000,พิษณุโลก,ห้างหุ้นส่วนจำกัด สินรุ่งเรือง คอนกรีต,1.0
สิงหวัฒน์,0,เลขที่ 225/2,,5,500000,,252,252,ห้างหุ้นส่วนจำกัด ชญานินคอนกรีตอัดแรง,ผลิตและจำหน่ายผลิตภัณฑ์คอนกรีตอัดแรง คอนกรีตอัดแรงเสริมเหล็ก,3,บ้านกร่าง,เมืองพิษณุโลก,2000000,พิษณุโลก,ห้างหุ้นส่วนจำกัด ชญานินคอนกรีตอัดแรง,1.0
,0,เลขที่ 147,,3,600000,,253,253,โรงงานคอนกรีตผสมเสร็จ พิษณุโลก-แสงดาว,ผลิตคอนกรีตผสมเสร็จ,0,ปากโทก,เมืองพิษณุโลก,2000000,พิษณุโลก,บริษัท ผลิตภัณฑ์และวัตถุก่อสร้าง จำกัด,4.0
,2500000,เลขที่ โฉนดที่ดินเลขที่ 16974 16980 16981 16983,,4,1000000,,254,254,ห้างหุ้นส่วนจำกัด เซิงหวายวัสดุก่อสร้าง,ทำผลิตภัณฑ์คอนกรีต เช่น คอนกรีตบล็อก คอนกรีตผสมเสร็จ,0,ตลุกเทียม,พรหมพิราม,1500000,พิษณุโลก,ห้างหุ้นส่วนจำกัด เซิงหวายวัสดุก่อสร้าง,3.0
,1000000,เลขที่ 19/6,,10,3000000,,255,255,ถนอมชัยค้าไม้,ผลิตคอนกรีตผสมเสร็จ และทำผลิตภัณฑ์คอนกรีต เช่น คอนกรีตบล็อก ท่อ เสา,5,ไผ่ล้อม,บางกระทุ่ม,7000000,พิษณุโลก,ห้างหุ้นส่วนจำกัด ถนอมชัยค้าไม้,11.0
,0,เลขที่ 72/5,,4,2500000,,256,256,บริษัท ที เจ คอนกรีต จำกัด,ผลิตคอนกรีตผสมเสร็จ,0,ท่าโพธิ์,เมืองพิษณุโลก,500000,พิษณุโลก,บริษัท ที เจ คอนกรีต จำกัด,11.0
,0,เลขที่ 236,,5,1000000,,257,257,บริษัท ที เจ คอนกรีต จำกัด,ผลิตคอนกรีตผสมเสร็จ,0,ท่าโพธิ์,เมืองพิษณุโลก,5000000,พิษณุโลก,บริษัท ที เจ คอนกรีต จำกัด,11.0
,3500000,เลขที่ -,,2,400000,,258,258,จรูญคอนกรีต,ผลิตคอนกรีตผสมเสร็จ,4,แก่งโสภา,วังทอง,2000000,พิษณุโลก,ห้างหุ้นส่วนจำกัด จรูญคอนกรีต,7.0
-,6150000,เลขที่ 99/9,-,40,5000000,,259,259,บริษัท เอส-คอน คอนกรีต จำกัด,ผลิตคอนกรีตผสมเสร็จ แผ่นพื้นคอนกีตสำเร็จรูป เสาเข็มคอนกรีตอัดแรง,20,ทับยายเชียง,พรหมพิราม,20000000,พิษณุโลก,บริษัท เอส-คอน คอนกรีต จำกัด,4.0
สิงหวัฒน์,8000000,เลขที่ 161/1,,30,3000000,,260,260,ห้างหุ้นส่วนจำกัด สิงหวัฒน์คอนกรีต,"ทำคอนกรีตผสมเสร็จ และผลิตภัณฑ์คอนกรีตอัดแรงทุกชนิด และคอน   กรีตบล็อค(คาน,เสาเข็ม,แผ่นพื้นสำเร็จรูป,ท่อระบายน้ำ,เสาไฟฟ้า,บล๊อกคอนเวิร์ส)",25,พลายชุมพล,เมืองพิษณุโลก,10000000,พิษณุโลก,บริษัท สิงหวัฒน์คอนกรีต จำกัด,3.0
,120000,เลขที่ ,,5,500000,,261,261,บุญเลี้ยงคอนกรีต,ผลิตคอนกรีตผสมเสร็จ,0,บางระกำ,บางระกำ,2675000,พิษณุโลก,นายศราวุธ ด่านกิตติไกรลาศ,15.0
,0,เลขที่ 135/5,,3,200000,,262,262,บริษัท อุตรดิตถ์พิชัย จำกัด,ผลิตคอนกรีตผสมเสร็จ,1,มะต้อง,พรหมพิราม,2000000,พิษณุโลก,บริษัท อุตรดิตถ์พิชัย จำกัด,12.0
,7500000,เลขที่ 112/1,,7,5000000,,263,263,บริษัท พีเอ็นซี คอนกรีต กรุ๊ป จำกัด,ผลิตคอนกรีตผสมเสร็จ,1,บ้านกร่าง,เมืองพิษณุโลก,4000000,พิษณุโลก,บริษัท พีเอ็นซี คอนกรีต กรุ๊ป จำกัด,11.0
,10000000,เลขที่ 59/2,,26,1000000,,264,264,บริษัท ซี.พี.แอล. จำกัด,ทำผลิตภัณฑ์คอนกรีต,11,ท่าทอง,เมืองพิษณุโลก,6000000,พิษณุโลก,บริษัท ซี.พี.แอล. จำกัด,6.0
,6000000,เลขที่ 188,,6,1000000,,265,265,บุญเลี้ยงคอนกรีต,ผลิตคอนกรีตผสมเสร็จ,0,หัวรอ,เมืองพิษณุโลก,2000000,พิษณุโลก,ห้างหุ้นส่วนจำกัด บุญเลี้ยงคอนกรีตและวัสดุก่อสร้าง,7.0
,2,เลขที่ โฉนดที่ดินเลขที่ 5859,,143.5,2,9580000,266,266,บริษัท เพาเวอร์แพค คอนกรีต จำกัด,ผลิตคอนกรีตผสมเสร็จ,143.5,ดอนทอง,เมืองพิษณุโลก,0,พิษณุโลก,บริษัท เพาเวอร์แพค คอนกรีต จำกัด,6.0
ทางหลวงชนบท(สายบ้านดอนทอง-บ้านน้ำคำ),4000000,เลขที่ 299,-,21,10000000,,267,267,บริษัท มั่นภักดี จำกัด,"ทำผลิตภัณฑ์คอนกรีต ผลิตคอนกรีตผสมเสร็จ,ผลิตภัณฑ์คอนกรีตผสมเสร็จ,เสาเข็ม,แผ่นพื้น,ขอบถนน,คอน,เสาไฟฟ้า และอื่นๆ",9,ดอนทอง,เมืองพิษณุโลก,7500000,พิษณุโลก,บริษัท มั่นภักดี จำกัด,2.0
สายบางระกำ-ลานกระบือ,4750000,เลขที่ 169,,11,4500000,,268,268,เซี้ยงซีเมนต์บล๊อก,ทำผลิตภัณฑ์คอนกรีต เช่น ซีเมนต์บล๊อก วงบ่อ ท่อระบายน้ำ เสาคอนกรีต ฯลฯ,11,บางระกำ,บางระกำ,1000000,พิษณุโลก,บริษัท รุ่งวิชัยคอนกรีต จำกัด,12.0
สายวังทอง-เขาทราย,0,เลขที่ 31/1,,3,600000,,269,269,โรงงานผลิตคอนกรีตผสมเสร็จ พิษณุโลก-วังทอง,ผลิตคอนกรีตผสมเสร็จ,0,ดินทอง,วังทอง,2000000,พิษณุโลก,บริษัท ปูนซิเมนต์ไทย (ลำปาง) จำกัด,5.0
พิษณุโลก-วัดโบสถ์,5000000,เลขที่ 149/1,,7,1000000,,270,270,โรงงานผลิตภัณฑ์คอนกรีตอัดแรง ซี.พี.ซี (สาขาดอนทอง),ผลิตคอนกรีตผสมเสร็จ,0,ดอนทอง,เมืองพิษณุโลก,4000000,พิษณุโลก,บริษัท ซี.พี.ซี.คอนกรีตอัดแรง จำกัด,6.0
สายลานกระบือ-บางระกำ,5000,เลขที่ ,,5,1000000,,271,271,ชัยประเสริฐเก้าคอนกรีต,ผลิตคอนกรีตผสมเสร็จ,0,บึงกอก,บางระกำ,4500000,พิษณุโลก,บริษัท ชัยประเสริฐคอนกรีต จำกัด ,7.0
,2000000,เลขที่ 34/4,,5,1000000,,272,272,บริษัท บิวดิ้ง อินเตอร์เนชั่นแนล จำกัด,ทำผลิตภัณฑ์คอนกรีต เช่น เสาเข็มคอนกรีต แผ่นคอนกรีต,5,บางกระทุ่ม,บางกระทุ่ม,4000000,พิษณุโลก,บริษัท บิวดิ้ง อินเตอร์เนชั่นแนล จำกัด,2.0
พิษณุโลก-เด่นชัย,3,เลขที่ 99,,264.41,3,3000000,273,273,โรงงานคอนกรีตผสมเสร็จ,ผลิตคอนกรีตผสมเสร็จ,,วัดโบสถ์,วัดโบสถ์,0,พิษณุโลก,บริษัท ปูนซิเมนต์ไทย (ลำปาง) จำกัด,6.0
,3000000,เลขที่ โฉนดที่ดิน เลขที่ 5003,,8,2000000,,274,274,ห้างหุ้นส่วนจำกัด กิจเจริญคอนกรีต ( 2558 ),ผลิตคอนกรีตผสมเสร็จ,0,บ้านน้อยซุ้มขี้เหล็ก,เนินมะปราง,5500000,พิษณุโลก,ห้างหุ้นส่วนจำกัด กิจเจริญคอนกรีต ( 2558 ),3.0
,5000000,เลขที่ 99/4,,4,3000000,,275,275,ช.วัสดุคอนกรีต,ผลิตท่อคอนกรีตผสมเสร็จ,4,ท่านางงาม,บางระกำ,4000000,พิษณุโลก,ห้างหุ้นส่วนจำกัด ช.วัสดุคอนกรีต,4.0
,0,เลขที่ 122,,3,600000,,276,276,โรงงานคอนกรีตผสมเสร็จ พิษณุโลก-นเรศวร,ผลิตคอนกรีตผสมเสร็จ,0,วัดพริก,เมืองพิษณุโลก,2000000,พิษณุโลก,บริษัท ปูนซิเมนต์ไทย (ลำปาง) จำกัด,5.0
เต็งหนาม-บึงถัง,180000,เลขที่ -,บ้านบึงถัง,8,50000,,277,277,โรงหล่อบึงถังปฎิมากรรม,หล่อพระพุทธรูป,3,ดอนทอง,เมืองพิษณุโลก,20000,พิษณุโลก,นายธวัชชัย กลิ่นรอด,3.0
,300000,เลขที่ 50/1,บ้านบางพยอม,18,200000,,278,278,โรงหล่ออนุรักษ์ไทย,หล่อโลหะ และชุบ ขัดผิวโลหะ,0,หัวรอ,เมืองพิษณุโลก,1000000,พิษณุโลก,นางพัชรภรณ์ วัฒนกุลชัย,1.0
