ถนน,คนงานชาย,เลขที่,ซอย,แรงม้า,คนงานรวม,เงินทุนรวม,_id,ลำดับ,ชื่อโรงงาน,ประกอบกิจการ,แรงม้าตรวจพบ,ตำบล,อำเภอ,คนงานหญิง,จังหวัด,ผู้ประกอบการ,หมู่
วังทอง-เนินมะปราง,42665400,เลขที่ 168/1,,344,462000000,,29,29,บริษัท ไทยฮั้วยางพารา จำกัด (มหาชน),ผลิตยางแท่ง STR 20 และยางคอมปาวด์,172,ดินทอง,วังทอง,185400000,พิษณุโลก,บริษัท ไทยฮั้วยางพารา จำกัด (มหาชน),4.0
สีหราชเดโชชัย,1500000,เลขที่ 78/1,,3,600000,,30,30,โรงงานคอนกรีตผสมเสร็จพิษณุโลก,ผลิตคอนกรีตผสมเสร็จ,0,วัดจันทร์,เมืองพิษณุโลก,2000000,พิษณุโลก,บริษัท ปูนซีเมนต์ไทย (ลำปาง) จำกัด,7.0
พิษณุโลก-บางระกำ,12000000,เลขที่ 59/2,,42,3000000,,31,31,บริษัท ซี.พี.แอล. จำกัด,"ทำท่อระบายน้ำ,เสาเข็ม,แผ่นพื้น,ชิ้นส่วนคอนกรีตหล่อสำเร็จ,คอนกรีตบล๊อกและผลิตภัณฑ์คอนกรีตต่าง ๆ",0,ท่าทอง,เมืองพิษณุโลก,5000000,พิษณุโลก,บริษัท ซี.พี.แอล จำกัด,6.0
ทางหลวงหมายเลข 11,15,เลขที่ 152,,344.4,15,11000000,32,32,พิษณุโลกวิศวจักรกล,กลึง เจาะ คว้าน ไส กัด เจียน และเชื่อมโลหะ ได้เดือนละ 250 ชิ้น และประกอบเครื่องทำลูกชิ้น ได้เดือนละ 3 เครื่อง,,ดอนทอง,เมืองพิษณุโลก,0,พิษณุโลก,นายสุนทร วิริยะไชยกุล,6.0
พิชัยสงคราม,300000,เลขที่ 195/7,,2,100000,,33,33,เนี้ยวอั่งการช่าง 2,ซ่อมอุปกรณ์ชิ้นส่วนเครื่องยนต์,0,ในเมือง,เมืองพิษณุโลก,500000,พิษณุโลก,นายยุทธชัย วงศ์วีรเดชขจร,
สนามบิน,1400000,เลขที่ 18/2-3,,11,250000,,34,34,ชำนาญการช่าง,ซ่อมชิ้นส่วนของเครื่องยนต์,0,ในเมือง,เมืองพิษณุโลก,4500000,พิษณุโลก,นายนิมิตร ชำนาญช่าง,
พิชัยสงคราม,20,เลขที่ 746/4-7,,231.92,20,7400000,35,35,อู่ตี๋สัมพันธ์การช่าง,ซ่อมเครื่องยนต์และต่อตัวถังรถบรรทุก,,ในเมือง,เมืองพิษณุโลก,0,พิษณุโลก,นายสัมพันธ์ เศวตนภานนท์,
พิษณุโลก-เด่นชัย,153,เลขที่ 259,,1997.5,183,5650000,36,36,บริษัท เครื่องจักรกลเกษตรไทย จำกัด,ผลิต-ซ่อมอุปกรณ์เครื่องจักรสำหรับใช้ในการกสิกรรม ซ่อม-ต่อตัวถังรถบรรทุก รถพ่วงบรรทุก และรถยนต์โดยสาร,,ดอนทอง,เมืองพิษณุโลก,30,พิษณุโลก,บริษัท เครื่องจักรกลเกษตรไทย จำกัด,1.0
พิษณุโลก-หล่มสัก,250000,เลขที่ 126,,32,900000,,37,37,เกษตรพัฒนาอุตสาหกรรม,ผลิตเครื่องมืออุปกรณ์การเกษตร,0,สมอแข,เมืองพิษณุโลก,3600000,พิษณุโลก,บริษัท เกษตรพัฒนาอุตสาหกรรม จำกัด,1.0
สิงหวัฒน์,1200000,เลขที่ 29/78-80,,6,2000000,,38,38,ห้างหุ้นส่วนจำกัด พิษณุโลกด่านสว่างการเกษตร,ประกอบเครื่องมือการเกษตร และผลิตรถเพื่อใช้ในการเกตร,4,ในเมือง,เมืองพิษณุโลก,800000,พิษณุโลก,ห้างหุ้นส่วนจำกัด พิษณุโลกด่านสว่างการเกษตร,
พิษณุโลก-บางระกำ,0,เลขที่ 27/3,-,18,200000,,39,39,บริษัท พิษณุโลก ช.วิรวัฒน์ จำกัด,ซ่อมเครื่องมือ เครื่องใช้อิเล็กทรอนิกส์ในการสำรวจเจาะปิโตเลียม,4,วัดจันทร์,เมืองพิษณุโลก,11067000,พิษณุโลก,บริษัท พิษณุโลก ช.วิรวัฒน์ จำกัด,7.0
พิษณุโลก-เด่นชัย,2437500,เลขที่ 192,,14,1000000,,40,40,เอ็น.วี.ซี. เอ็นจิเนียร์ริ่ง,"ซ่อมและต่อตัวถังบรรทุก ซ่อมเครื่องยนต์ , กลึง-เชื่อมโลหะ",0,ดอนทอง,เมืองพิษณุโลก,471000,พิษณุโลก,นางวราภรณ์ วงศ์วีรเดชขจร,5.0
,500000,เลขที่ 106,,10,120000,,41,41,บริษัท ธนะสินพัฒนา(1999) จำกัด,ซ่อม-ประกอบตัวถังรถบรรทุก และซ่อมเครื่องจักรสำหรับการสร้างทาง,10,พลายชุมพล,เมืองพิษณุโลก,400000,พิษณุโลก,บริษัท ธนะสินพัฒนา (1999) จำกัด,4.0
สายเต็งหนาม-กระบัง,30000000,เลขที่ 230,,231,600000,,42,42,บริษัท ไทยแอโรว์ จำกัด,ผลิตชุดสายไฟฟ้าภายในรถยนต์,2527,หัวรอ,เมืองพิษณุโลก,700000,พิษณุโลก,บริษัท ไทยแอโรว์ จำกัด,7.0
-,3289000,เลขที่ 365,-,25,7000000,,43,43,บริษัท โอเอส อินเตอร์ ฟู้ดส์ จำกัด,ผลิตน้ำสับปะรดเข้มข้น,3,แก่งโสภา,วังทอง,24600000,พิษณุโลก,บริษัท โอเอส อินเตอร์ ฟู้ดส์ จำกัด,5.0
,111100000,เลขที่ ตามโฉนดที่แนบ 61 แปลง,,9,170259000,,44,44,บริษัท อีเอ โซล่า พิษณุโลก จำกัด (โครงการ 1),ผลิตพลังงานไฟฟ้า ใช้พลังงานแสงอาทิตย์เป็นต้นกำลัง กำลังการผลิต 45.2538 เมกะวัตต์,8,มะต้อง,พรหมพิราม,2199292000,พิษณุโลก,บริษัท อีเอ โซล่า พิษณุโลก จำกัด,11.0
,229270000,เลขที่ โฉนดที่ดิน (จำนวน 101 แปลง),,2,302072000,,45,45,บริษัท อีเอ โซล่า พิษณุโลก จำกัด (โครงการ 2),ผลิตพลังงานไฟฟ้า ใช้พลังงานแสงอาทิตย์เป็นต้นกำลัง กำลังการผลิต 80.1164 เมกะวัตต์,0,มะต้อง,พรหมพิราม,3937777000,พิษณุโลก,บริษัท อีเอ โซล่า พิษณุโลก จำกัด,"3,11"
,19630000,เลขที่ -,,4,21969000,,46,46,บริษัท อีเอ โซล่า พิษณุโลก จำกัด (โครงการ 3),ผลิตพลังงานไฟฟ้า ใช้พลังงานแสงอาทิตย์เป็นต้นกำลัง ขนาดกำลังการผลิต 8.153 เมกะวัตต์,0,มะต้อง,พรหมพิราม,429946500,พิษณุโลก,บริษัท อีเอ โซล่า พิษณุโลก จำกัด,11.0
,0,เลขที่ 195,,4,3000000,,47,47,บริษัท  พลังงานหมุนเวียน (ตะวันออกเฉียงเหนือ) จำกัด ,ผลิตไฟฟ้าโดยใช้แสงอาทิตย์แบบติดตั้งบนพื้นดินจากเทคโนโลยีแผงไฟโตโวลเทอิก กำลังการผลิต 9.06 เมกะวัตต์,0,แก่งโสภา,วังทอง,197420000,พิษณุโลก,บริษัท พลังงานหมุนเวียน (ตะวันออกเฉียงหนือ) จำกัด,5.0
,0,"เลขที่ โฉนดที่ดินเลขที่ 5036,25483,5037,5035,20493,8842,9126",,4,6000000,,48,48,บริษัท โรงไฟฟ้าชุมชนพิษณุโลก จำกัด,ผลิตไฟฟ้าโดยใช้แสงอาทิตย์แบบติดตั้งบนพืื้นดินจากเทคโนโลยีแผงไฟโตโวลเทอิก กำลังการผลิตติดตั้ง 16.09 เมกะวัตต์,0,บ้านยาง,วัดโบสถ์,314740000,พิษณุโลก,บริษัท โรงไฟฟ้าชุมชนพิษณุโลก จำกัด,8.0
พิษณุโลก-เด่นชัย,47000000,เลขที่ 243,,24,30000000,,49,49,โคลเวอร์ พิษณุโลก,ผลิตและจำหน่ายพลังงานไฟฟ้า กำลังผลิต 4.9 เมกะวัตต์,4,ดงประคำ,พรหมพิราม,185000000,พิษณุโลก,บริษัท โคลเวอร์ พิษณุโลก จำกัด,5.0
,0,เลขที่ 9/9,,9,0,,50,50,โรงไฟฟ้าพลังน้ำเขื่อนแควน้อยบำรุงแดน,ผลิตพลังงานไฟฟ้าจากพลังน้ำ กำลังการผลิต 30 เมกะวัตต์,1,วัดโบสถ์,วัดโบสถ์,257920000,พิษณุโลก,การไฟฟ้าฝ่ายผลิตแห่งประเทศไทย,1.0
,50000,เลขที่ 8/88,,33,10000000,,51,51,บริษัท พิษณุโลกผลิตไฟฟ้า จำกัด,ผลิตและจำหน่ายไฟฟ้า กำลังการผลิต 20 MW (88)/ผลิตและจำหน่ายไอน้ำ 120T/hr.(102),4,ไผ่ล้อม,บางกระทุ่ม,238000000,พิษณุโลก,บริษัท พิษณุโลกผลิตไฟฟ้า จำกัด,8.0
สีหราชเดโชชัย,3000000,เลขที่ 27/5,,15,10000000,,52,52,บริษัท โรงสีเกียงเงี๊ยบ จำกัด,สีข้าว และสีข้าวนึ่ง กำลังสีสูงสุดของร้านสีข้าว 400 เกวียน/วัน,10,วัดจันทร์,เมืองพิษณุโลก,2000000,พิษณุโลก,บริษัท โรงสีเกียงเงี๊ยบ จำกัด ,7.0
,20,เลขที่ 9,,6965.8,20,65000000,53,53,ห้างหุ้นส่วนจำกัด ลิ้มเจริญธัญญกิจ,สีข้าว กำลังการผลิตสูงสุดของร้านสีข้าว 800 ตันต่อวัน นึ่ง และอบข้าวเปลือก เก็บรักษาลำเลียงในไซโล และโกดัง,,วังน้ำคู้,เมืองพิษณุโลก,0,พิษณุโลก,ห้างหุ้นส่วนจำกัด ลิ้มเจริญธัญญกิจ,7.0
-,5000000,เลขที่ 57,-,15,10000000,,54,54,ห้างหุ้นส่วนจำกัด ลิ้มเจริญธัญญกิจ,สีข้าว กำลังสีสูงสุดของร้านสีข้าว 400 เกวียน/วัน และอบข้าวเปลือก,5,ท่าตาล,บางกระทุ่ม,30000000,พิษณุโลก,ห้างหุ้นส่วนจำกัด ลิ้มเจริญธัญญกิจ,7.0
-,40,เลขที่ 66,-,2616.79,60,196500000,55,55,ห้างหุ้นส่วนจำกัด พรหมพิรามชัยศิริ,สีข้าวชนิดแยกแกลบแยกรำ กำลังสีสูงสุดของร้านสีข้าว 700 เกวียน/วัน,,มะต้อง,พรหมพิราม,20,พิษณุโลก,ห้างหุ้นส่วนจำกัด พรหมพิรามชัยศิริ,11.0
-,10000000,เลขที่ 555,-,15,10000000,,56,56,บริษัท โรงสีเกาะแก้วเจริญธัญญา 2 จำกัด,สีข้าว กำลังสีสูงสุดของร้านสีข้าว 600 ตัน/วัน และอบข้าวเปลือก,5,หนองพระ,วังทอง,50000000,พิษณุโลก,บริษัท โรงสีเกาะแก้วเจริญธัญญา 2 จำกัด,7.0
,500000,เลขที่ 46/1,,8,70000000,,57,57,บริษัท ธนารัตน์ธัญญะกิจ จำกัด,"สีข้าว ชนิดแยกแกลบแยกรำ กำลังสีสูงสุดของร้านสีข้าว 1,000 เกวียน/วัน",2,โคกสลุด,บางกระทุ่ม,100000000,พิษณุโลก,บริษัท ธนารัตน์ธัญญะกิจ จำกัด,4.0
-,1000000,เลขที่ 104/1,-,14,2000000,,58,58,บริษัท โรงสีไฟโชครุ่งเรือง จำกัด,สีข้าว กำลังสีสูงสุดของร้านสีข้าว 300 เกวียน/วัน,4,วงฆ้อง,พรหมพิราม,1000000,พิษณุโลก,บริษัท โรงสีไฟโชครุ่งเรือง จำกัด,1.0
-,21,เลขที่ 7,-,6429.82,35,30000000,59,59,ห้างหุ้นส่วนจำกัด พรหมพิรามชัยศิริ,สีข้าว สีข้าวนึ่ง กำลังสีสูงสุดของร้านสีข้าว 500 เกวียน/วัน และอบเมล้ดพืช,,วงฆ้อง,พรหมพิราม,14,พิษณุโลก,ห้างหุ้นส่วนจำกัด พรหมพิรามชัยศิริ,3.0
,0,เลขที่ 99/1,,20,5000000,,60,60,บริษัท ที.เอส.พี.ไรซ์ จำกัด,"สีข้าว (กำลังสีสูงสุดของร้านสีข้าว 1,300 เกวียน/วัน) และอบเมล็ดพืช เช่น ข้าวเปลือก",0,วัดโบสถ์,วัดโบสถ์,70000000,พิษณุโลก,บริษัท ที.เอส.พี.ไรซ์ จำกัด,1.0
บรมไตรโลกนารถ,300000,เลขที่ 228/4,,10,50000,,61,61,เอกการช่าง,ซ่อมและพ่นสีรถยนต์,3,ในเมือง,เมืองพิษณุโลก,100000,พิษณุโลก,บริษัท พิษณุโลกเอกการช่าง จำกัด,
พระองค์ดำ,0,เลขที่ 132/13,,5,100000,,62,62,โชคชัยมอเตอร์,ซ่อมจักรยานยนต์,0,ในเมือง,เมืองพิษณุโลก,60000,พิษณุโลก,นายพงศธร ศรีธรรมศิริ,
,7500000,เลขที่ 279,,70,13000000,,63,63,บริษัท ฟาร์ม 9 ไก่ฟู้ดส์ จำกัด (โรงฟักไข่),โรงฟักไข่ โดย ตู้ฟักระบบปิด,3,ท่างาม,วัดโบสถ์,65000000,พิษณุโลก,บริษัท ฟาร์ม 9 ไก่ฟู้ดส์ จำกัด,5.0
,3,เลขที่ 493,,59,4,3550000,64,64,โรงงานน้ำแข็งเหน่งหนองตม,ผลิตน้ำแข็งก้อนเล็กได้วันละ 8 ตัน,59,มะต้อง,พรหมพิราม,1,พิษณุโลก,นางเพียงใจ ประดิษฐ์,8.0
,3,เลขที่ 442,,64,5,850000,65,65,ห้างหุ้นส่วนจำกัด ป.ปราพานิช,การบด ปั่น หรือย่อยส่วนต่างๆ ของพืช เมล็ดพืชหรือหัวพืช,64,หนองพระ,วังทอง,2,พิษณุโลก,ห้างหุ้นส่วนจำกัด ป.ปรา พานิช,11.0
พิษณุโลก-หล่มสัก,0,เลขที่ 801,,19.26,80,0,66,66,ทัณฑสถานหญิงพิษณุโลก,ตัดเย็บเสื้อผ้าสำเร็จรูป,,วังทอง,วังทอง,80,พิษณุโลก,ทัณฑสถานหญิงพิษณุโลก,8.0
,2,เลขที่ 261,,50.8,20,21000000,67,67,บริษัท ณัฐธรา บิสสิเนส จำกัด,ทำเครื่องสำอาง หรือสิ่งปรุงแต่งร่างกาย และทำอาหารเสริมจากสัตว์น้ำ หนัง หรือไขมันสัตว์น้ำ และจากพืช,50.8,ดอนทอง,เมืองพิษณุโลก,18,พิษณุโลก,บริษัท ณัฐธรา บิสสิเนส จำกัด,2.0
ลานกระบือ-บางระกำ,8,เลขที่ 332/1,,68.5,8,3200000,68,68,ห้างหุ้นส่วนจำกัด ส.สุนทร,ผลิตคอนกรีตผสมสำเร็จและผลิตภัณฑ์คอนกรีตสำเร็จรูป,0,บึงกอก,บางระกำ,0,พิษณุโลก,ห้างหุ้นส่วนจำกัด ส.สุนทร,4.0
,4,เลขที่ 385,,67.92,4,5500000,69,69,,ผลิตคอนเรีตผสมเสร็จ,0,บึงพระ,เมืองพิษณุโลก,0,พิษณุโลก,นายจตุรงค์ ผิวอ่อนดี,4.0
,4,"เลขที่ โฉนดที่ดินเลขที่ 28466,28467,28468",,72,5,7000000,70,70,ห้างหุ้นส่วนจำกัด ช.วัสดุคอนกรีต,ผลิตคอนกรีตผสมเสร็จ,72,วังทอง,วังทอง,1,พิษณุโลก,ห้างหุ้นส่วนจำกัด ช.วัสดุคอนกรีต,5.0
พิษณุโลก-หล่มสัก,20,เลขที่ 649/2,,73,40,8000000,71,71,บริษัท เอ-วัน ฟู้ดส์ โปรดักส์ จำกัด,ทำผลิตภัณฑ์อาหารสำเร็จรูป เช่น ไส้กรอกปลา เต้าหู้ปลา,73,วังทอง,วังทอง,20,พิษณุโลก,บริษัท เอ-วัน ฟู้ดโปรดักส์ จำกัด,14.0
,4,เลขที่ 242,,67,4,11000000,72,72,ห้างหุ้นส่วนจำกัด พี.พี.เมทัลชีต.พียูโฟม,ทำหลังคาเหล็กรีดลอน,0,บ้านกร่าง,เมืองพิษณุโลก,0,พิษณุโลก,ห้างหุ้นส่วนจำกัด พี.พี.เมทัลชีต. ยูพีโฟม,1.0
นครไทย-ชาติตระการ,7,เลขที่ 27,,65,9,14000000,73,73,บี.เค เม็ททอลชีท (นครไทย),ทำผลิตภัณฑ์จากโลหะสำหรับใช้ในการก่อสร้าง เช่น ผลิตหลังคารีดลอน,0,บ้านพร้าว,นครไทย,2,พิษณุโลก,นายปิโยวัฒน์ โรจน์คำลือ,9.0
,13,เลขที่ 13/2,,54.05,13,9500000,74,74,ห้างหุ้นส่วนจำกัด กระจกฮั้วเซียงล้ง,ทำผลิตภัณฑ์โลหะสำหรับใช้ในการก่อสร้างอาคารหรือติดตั้ง เช่น รีดโลหะแผ่นเป็นหลังคาและทำผลิตภัณฑ์พลาสติก เช่น วงกบประตู หน้าต่าง,0,วัดจันทร์,เมืองพิษณุโลก,0,พิษณุโลก,นายสุรัติ หล่อวงศ์กมล,7.0
