PROD_TYPE,PRICE,_id,WEEK_C,YEAR,MONTH_C
ข้าวเปลือกเจ้านาปีพันธุ์ขาวดอกมะลิ105ความชื้น 24-25% ,7800,41,1,2561,11
ข้าวเปลือกนาปรังพันธุ์หอมปทุม คช. 14-15%  ,8817.24,42,1,2561,11
ข้าวเปลือกนาาปรังพันธุ์หอมปทุม คช. 24-25% ,7779.92,43,1,2561,11
ข้าวเปลือกนาาปรังพันธุ์หอมปทุม คช. >25%   ,7520.52,44,1,2561,11
ลำไยสดทั้งช่อพันธุ์อีดอเกรด B,20.96,45,1,2561,11
ลำไยร่วงเกรด AA,15.5,46,1,2561,11
ลำไยร่วงเกรด A,6.96,47,1,2561,11
ลำไยร่วงเกรด B,3.23,48,1,2561,11
ลำไยอบแห้งเกรด AA,85,49,1,2561,11
ลำไยอบแห้งเกรด A,67.46,50,1,2561,11
ลำไยอบแห้งเกรด B,45.92,51,1,2561,11
ลำไยอบแห้งเกรด C,35,52,1,2561,11
มันสำปะหลังสดเชื้อแป้ง 25%,2.75,53,1,2561,11
มันสำปะหลังสดเชื้อแป้ง 30%,3.14,54,1,2561,11
ข้าวเปลือกเจ้าหอมมะลิ,15770.27,55,2,2561,11
ข้าวเหนียวนาปียาว,9334.55,56,2,2561,11
ข้าวเหนียวนาปีสั้น,8711.85,57,2,2561,11
ข้าวเปลือกเจ้าความชื้น  15 %,8140.5,58,2,2561,11
ข้าวเปลือกเจ้าความชื้น  25 %,6552.33,59,2,2561,11
ข้าวโพดเมล็ดความชื้นเกิน 14 %,6.39,60,2,2561,11
ข้าวโพดเมล็ดความชื้น 14.5%,8.25,61,2,2561,11
มันสำปะหลังสด,2.44,62,2,2561,11
มันเส้น,5.71,63,2,2561,11
ถั่วเหลืองชนิดคละ,16.21,64,2,2561,11
ถั่วลิสงเปลือกแห้ง,50.5,65,2,2561,11
ถั่วลิสงเปลือกสด,20.39,66,2,2561,11
มะพร้าวแห้ง ใหญ่ ,554.74,67,2,2561,11
มะพร้าวแห้ง รอง,384.72,68,2,2561,11
มะพร้าวแห้ง เล็ก,237.79,69,2,2561,11
มะพร้าวแห้ง คละ,343.61,70,2,2561,11
เนื้อมะพร้าวแห้ง C,8.39,71,2,2561,11
ปาล์มร่วง ,3.48,72,2,2561,11
ปาล์มทะลาย 3-6,2.1,73,2,2561,11
ปาล์มทะลาย 7-10,2.3,74,2,2561,11
ปาล์มทะลาย11-15,2.5,75,2,2561,11
ปาล์มทะลาย > 15,2.7,76,2,2561,11
ยางแผ่นดิบ ชั้น 1,38.5,77,2,2561,11
ยางแผ่นดิบ ชั้น 2,38,78,2,2561,11
ยางแผ่นดิบ ชั้น 3,37.45,79,2,2561,11
ยางก้อน ,18.66,80,2,2561,11
เศษยาง,15.64,81,2,2561,11
น้ำยางสด,32.82,82,2,2561,11
ส้มเขียวหวาน ใหญ่,21.1,83,2,2561,11
ส้มเขียวหวาน รอง,10,84,2,2561,11
ส้มเขียวหวาน เล็ก,6,85,2,2561,11
ส้มเขียวหวาน คละ,18,86,2,2561,11
เงาะโรงเรียน,30,87,2,2561,11
ลำไยสดทั้งช่อพันธุ์อีดอเกรด AA,37.33,88,2,2561,11
ลำไยสดทั้งช่อพันธุ์อีดอเกรด A,31.17,89,2,2561,11
ลองกอง,20,90,2,2561,11
สับปะรดบริโภค,5.53,91,2,2561,11
สับปะรดโรงงาน,2.85,92,2,2561,11
ข้าวเปลือกเจ้านาปีความชื้น 22-23%,6813.49,93,2,2561,11
ข้าวเปลือกเจ้านาปีความชื้น >25%  ,6660.59,94,2,2561,11
ข้าวเปลือกเจ้านาปีพันธุ์ขาวดอกมะลิ105ความชื้น 24-25% ,11001,95,2,2561,11
ข้าวเปลือกนาปรังพันธุ์หอมปทุม คช. 14-15%  ,9454.74,96,2,2561,11
ข้าวเปลือกนาาปรังพันธุ์หอมปทุม คช. 24-25% ,8342.42,97,2,2561,11
ข้าวเปลือกนาาปรังพันธุ์หอมปทุม คช. >25%   ,8064.16,98,2,2561,11
ลำไยสดทั้งช่อพันธุ์อีดอเกรด B,20.94,99,2,2561,11
ลำไยร่วงเกรด AA,15.5,100,2,2561,11
ลำไยร่วงเกรด A,6.94,101,2,2561,11
ลำไยร่วงเกรด B,3.22,102,2,2561,11
ลำไยอบแห้งเกรด AA,85,103,2,2561,11
ลำไยอบแห้งเกรด A,67.44,104,2,2561,11
ลำไยอบแห้งเกรด B,45.87,105,2,2561,11
ลำไยอบแห้งเกรด C,35,106,2,2561,11
มันสำปะหลังสดเชื้อแป้ง 25%,2.72,107,2,2561,11
มันสำปะหลังสดเชื้อแป้ง 30%,2.98,108,2,2561,11
ข้าวเปลือกเจ้าหอมมะลิ,15243.8,109,3,2561,11
ข้าวเหนียวนาปียาว,9438.23,110,3,2561,11
ข้าวเหนียวนาปีสั้น,8753.8,111,3,2561,11
ข้าวเปลือกเจ้าความชื้น  15 %,8001.79,112,3,2561,11
ข้าวเปลือกเจ้าความชื้น  25 %,6512.73,113,3,2561,11
ข้าวโพดเมล็ดความชื้นเกิน 14 %,6.65,114,3,2561,11
ข้าวโพดเมล็ดความชื้น 14.5%,8.37,115,3,2561,11
มันสำปะหลังสด,2.42,116,3,2561,11
มันเส้น,5.67,117,3,2561,11
ถั่วเหลืองชนิดคละ,16.05,118,3,2561,11
ถั่วลิสงเปลือกแห้ง,47.17,119,3,2561,11
ถั่วลิสงเปลือกสด,20.15,120,3,2561,11
มะพร้าวแห้ง ใหญ่ ,511.81,121,3,2561,11
มะพร้าวแห้ง รอง,391.67,122,3,2561,11
มะพร้าวแห้ง เล็ก,260.23,123,3,2561,11
มะพร้าวแห้ง คละ,333.13,124,3,2561,11
เนื้อมะพร้าวแห้ง C,8.41,125,3,2561,11
ปาล์มร่วง ,3.32,126,3,2561,11
ปาล์มทะลาย 3-6,1.9,127,3,2561,11
ปาล์มทะลาย 7-10,2.1,128,3,2561,11
ปาล์มทะลาย11-15,2.3,129,3,2561,11
ปาล์มทะลาย > 15,2.5,130,3,2561,11
ยางแผ่นดิบ ชั้น 1,37.58,131,3,2561,11
ยางแผ่นดิบ ชั้น 2,37.08,132,3,2561,11
ยางแผ่นดิบ ชั้น 3,36.54,133,3,2561,11
ยางก้อน ,17.65,134,3,2561,11
เศษยาง,14.75,135,3,2561,11
น้ำยางสด,31.79,136,3,2561,11
ส้มเขียวหวาน ใหญ่,20.19,137,3,2561,11
ส้มเขียวหวาน รอง,9.7,138,3,2561,11
ส้มเขียวหวาน เล็ก,5.7,139,3,2561,11
ส้มเขียวหวาน คละ,20,140,3,2561,11
เงาะโรงเรียน,25,141,3,2561,11
ลำไยสดทั้งช่อพันธุ์อีดอเกรด AA,37.07,142,3,2561,11
ลำไยสดทั้งช่อพันธุ์อีดอเกรด A,30.17,143,3,2561,11
สารกาแฟ คละ (โรบัสต้า),65.94,144,3,2561,11
ลองกอง,32.5,145,3,2561,11
สับปะรดบริโภค,5.5,146,3,2561,11
สับปะรดโรงงาน,2.76,147,3,2561,11
ข้าวเปลือกเจ้านาปีความชื้น 22-23%,6844,148,3,2561,11
ข้าวเปลือกเจ้านาปีความชื้น >25%  ,6562.82,149,3,2561,11
ข้าวเปลือกเจ้านาปีพันธุ์ขาวดอกมะลิ105ความชื้น 24-25% ,11783.18,150,3,2561,11
ข้าวเปลือกนาปรังพันธุ์หอมปทุม คช. 14-15%  ,9574.74,151,3,2561,11
ข้าวเปลือกนาาปรังพันธุ์หอมปทุม คช. 24-25% ,8448.29,152,3,2561,11
ข้าวเปลือกนาาปรังพันธุ์หอมปทุม คช. >25%   ,8166.68,153,3,2561,11
ผลกาแฟโรบัสต้าสดคละ        ,10.11,154,3,2561,11
ลำไยสดทั้งช่อพันธุ์อีดอเกรด B,19.5,155,3,2561,11
ลำไยร่วงเกรด AA,15.94,156,3,2561,11
ลำไยร่วงเกรด A,6.94,157,3,2561,11
ลำไยร่วงเกรด B,3.22,158,3,2561,11
ลำไยอบแห้งเกรด AA,85,159,3,2561,11
ลำไยอบแห้งเกรด A,67.44,160,3,2561,11
ลำไยอบแห้งเกรด B,45,161,3,2561,11
ลำไยอบแห้งเกรด C,34.56,162,3,2561,11
มันสำปะหลังสดเชื้อแป้ง 25%,2.7,163,3,2561,11
มันสำปะหลังสดเชื้อแป้ง 30%,2.96,164,3,2561,11
ข้าวเปลือกเจ้าหอมมะลิ,15163.89,165,4,2561,11
ข้าวเหนียวนาปียาว,10287.47,166,4,2561,11
ข้าวเหนียวนาปีสั้น,8899.55,167,4,2561,11
ข้าวเปลือกเจ้าความชื้น  15 %,8043.98,168,4,2561,11
ข้าวเปลือกเจ้าความชื้น  25 %,6545.22,169,4,2561,11
ข้าวโพดเมล็ดความชื้นเกิน 14 %,6.87,170,4,2561,11
ข้าวโพดเมล็ดความชื้น 14.5%,8.39,171,4,2561,11
มันสำปะหลังสด,2.35,172,4,2561,11
มันเส้น,5.67,173,4,2561,11
อ้อยโรงงาน,621,174,4,2561,11
ถั่วเหลืองชนิดคละ,18,175,4,2561,11
ถั่วลิสงเปลือกแห้ง,47.83,176,4,2561,11
ถั่วลิสงเปลือกสด,20.24,177,4,2561,11
มะพร้าวแห้ง ใหญ่ ,489.03,178,4,2561,11
มะพร้าวแห้ง รอง,386.64,179,4,2561,11
มะพร้าวแห้ง เล็ก,248.04,180,4,2561,11
มะพร้าวแห้ง คละ,321.8,181,4,2561,11
เนื้อมะพร้าวแห้ง C,8.39,182,4,2561,11
ปาล์มร่วง ,2.87,183,4,2561,11
ปาล์มทะลาย 3-6,1.62,184,4,2561,11
ปาล์มทะลาย 7-10,1.82,185,4,2561,11
ปาล์มทะลาย11-15,2.02,186,4,2561,11
ปาล์มทะลาย > 15,2.23,187,4,2561,11
ยางแผ่นดิบ ชั้น 1,37.02,188,4,2561,11
ยางแผ่นดิบ ชั้น 2,36.52,189,4,2561,11
ยางแผ่นดิบ ชั้น 3,36,190,4,2561,11
ยางก้อน ,17.51,191,4,2561,11
เศษยาง,14.72,192,4,2561,11
น้ำยางสด,30.74,193,4,2561,11
ส้มเขียวหวาน ใหญ่,18.19,194,4,2561,11
ส้มเขียวหวาน รอง,9.7,195,4,2561,11
ส้มเขียวหวาน เล็ก,5,196,4,2561,11
ส้มเขียวหวาน คละ,20,197,4,2561,11
เงาะโรงเรียน,28,198,4,2561,11
ลำไยสดทั้งช่อพันธุ์อีดอเกรด AA,37.96,199,4,2561,11
ลำไยสดทั้งช่อพันธุ์อีดอเกรด A,30.17,200,4,2561,11
สารกาแฟ คละ (โรบัสต้า),62.89,201,4,2561,11
ลองกอง,25,202,4,2561,11
สับปะรดบริโภค,5.51,203,4,2561,11
สับปะรดโรงงาน,2.75,204,4,2561,11
ข้าวเปลือกเจ้านาปีความชื้น 22-23%,6864.93,205,4,2561,11
ข้าวเปลือกเจ้านาปีความชื้น >25%  ,6577.27,206,4,2561,11
ข้าวเปลือกเจ้านาปีพันธุ์ขาวดอกมะลิ105ความชื้น 24-25% ,12393.15,207,4,2561,11
ข้าวเปลือกนาปรังพันธุ์หอมปทุม คช. 14-15%  ,9669.86,208,4,2561,11
ข้าวเปลือกนาาปรังพันธุ์หอมปทุม คช. 24-25% ,8532.23,209,4,2561,11
ข้าวเปลือกนาาปรังพันธุ์หอมปทุม คช. >25%   ,8247.02,210,4,2561,11
ผลกาแฟโรบัสต้าสดคละ        ,10.11,211,4,2561,11
ลำไยสดทั้งช่อพันธุ์อีดอเกรด B,21.5,212,4,2561,11
ลำไยร่วงเกรด AA,16.5,213,4,2561,11
ลำไยร่วงเกรด A,10.5,214,4,2561,11
ลำไยร่วงเกรด B,6.5,215,4,2561,11
ลำไยอบแห้งเกรด AA,85,216,4,2561,11
ลำไยอบแห้งเกรด A,67.44,217,4,2561,11
ลำไยอบแห้งเกรด B,45,218,4,2561,11
ลำไยอบแห้งเกรด C,34.56,219,4,2561,11
มันสำปะหลังสดเชื้อแป้ง 25%,2.63,220,4,2561,11
มันสำปะหลังสดเชื้อแป้ง 30%,2.87,221,4,2561,11
ข้าวเปลือกเจ้าหอมมะลิ,15032,222,5,2561,11
ข้าวเหนียวนาปียาว,10452.77,223,5,2561,11
ข้าวเหนียวนาปีสั้น,8813.45,224,5,2561,11
ข้าวเปลือกเจ้าความชื้น  15 %,8067.75,225,5,2561,11
ข้าวเปลือกเจ้าความชื้น  25 %,6494.76,226,5,2561,11
ข้าวโพดเมล็ดความชื้นเกิน 14 %,6.96,227,5,2561,11
ข้าวโพดเมล็ดความชื้น 14.5%,8.69,228,5,2561,11
มันสำปะหลังสด,2.34,229,5,2561,11
มันเส้น,5.44,230,5,2561,11
อ้อยโรงงาน,611.69,231,5,2561,11
ถั่วเหลืองชนิดคละ,17.45,232,5,2561,11
ถั่วลิสงเปลือกแห้ง,38.75,233,5,2561,11
ถั่วลิสงเปลือกสด,20.3,234,5,2561,11
มะพร้าวแห้ง ใหญ่ ,482,235,5,2561,11
มะพร้าวแห้ง รอง,432.13,236,5,2561,11
มะพร้าวแห้ง เล็ก,262.47,237,5,2561,11
มะพร้าวแห้ง คละ,319.8,238,5,2561,11
เนื้อมะพร้าวแห้ง C,8.39,239,5,2561,11
ปาล์มร่วง ,2.92,240,5,2561,11
ปาล์มทะลาย 3-6,1.68,241,5,2561,11
ปาล์มทะลาย 7-10,1.88,242,5,2561,11
ปาล์มทะลาย11-15,2.08,243,5,2561,11
ปาล์มทะลาย > 15,2.28,244,5,2561,11
ยางแผ่นดิบ ชั้น 1,36.95,245,5,2561,11
ยางแผ่นดิบ ชั้น 2,36.45,246,5,2561,11
ยางแผ่นดิบ ชั้น 3,35.94,247,5,2561,11
ยางก้อน ,17.79,248,5,2561,11
เศษยาง,14.99,249,5,2561,11
น้ำยางสด,29.71,250,5,2561,11
ส้มเขียวหวาน ใหญ่,18.5,251,5,2561,11
ส้มเขียวหวาน รอง,9.7,252,5,2561,11
ส้มเขียวหวาน เล็ก,5,253,5,2561,11
ส้มเขียวหวาน คละ,20,254,5,2561,11
ลำไยสดทั้งช่อพันธุ์อีดอเกรด AA,38.4,255,5,2561,11
ลำไยสดทั้งช่อพันธุ์อีดอเกรด A,30.17,256,5,2561,11
สารกาแฟ คละ (โรบัสต้า),63,257,5,2561,11
สับปะรดบริโภค,5.3,258,5,2561,11
สับปะรดโรงงาน,2.71,259,5,2561,11
ข้าวเปลือกเจ้านาปีความชื้น 22-23%,6864.93,260,5,2561,11
ข้าวเปลือกเจ้านาปีความชื้น >25%  ,6633.29,261,5,2561,11
ข้าวเปลือกเจ้านาปีพันธุ์ขาวดอกมะลิ105ความชื้น 24-25% ,12081.42,262,5,2561,11
ข้าวเปลือกนาปรังพันธุ์หอมปทุม คช. 14-15%  ,9411.01,263,5,2561,11
ข้าวเปลือกนาาปรังพันธุ์หอมปทุม คช. 24-25% ,9025,264,5,2561,11
ข้าวเปลือกนาาปรังพันธุ์หอมปทุม คช. >25%   ,8694.6,265,5,2561,11
ผลกาแฟโรบัสต้าสดคละ        ,10,266,5,2561,11
ลำไยสดทั้งช่อพันธุ์อีดอเกรด B,21.5,267,5,2561,11
ลำไยร่วงเกรด AA,16.5,268,5,2561,11
ลำไยร่วงเกรด A,10.5,269,5,2561,11
ลำไยร่วงเกรด B,6.5,270,5,2561,11
ลำไยอบแห้งเกรด AA,85,271,5,2561,11
ลำไยอบแห้งเกรด A,67.44,272,5,2561,11
ลำไยอบแห้งเกรด B,45,273,5,2561,11
ลำไยอบแห้งเกรด C,34.56,274,5,2561,11
มันสำปะหลังสดเชื้อแป้ง 25%,2.6,275,5,2561,11
มันสำปะหลังสดเชื้อแป้ง 30%,2.85,276,5,2561,11
ข้าวเปลือกเจ้าหอมมะลิ,15214.51,277,1,2561,12
ข้าวเหนียวนาปียาว,10599.15,278,1,2561,12
ข้าวเหนียวนาปีสั้น,8851,279,1,2561,12
ข้าวเปลือกเจ้าความชื้น  15 %,8049.4,280,1,2561,12
ข้าวเปลือกเจ้าความชื้น  25 %,6579.17,281,1,2561,12
ข้าวโพดเมล็ดความชื้นเกิน 14 %,7.17,282,1,2561,12
ข้าวโพดเมล็ดความชื้น 14.5%,8.7,283,1,2561,12
มันสำปะหลังสด,2.33,284,1,2561,12
มันเส้น,5.37,285,1,2561,12
อ้อยโรงงาน,639.71,286,1,2561,12
ถั่วเหลืองชนิดคละ,19.08,287,1,2561,12
ถั่วลิสงเปลือกแห้ง,37.75,288,1,2561,12
ถั่วลิสงเปลือกสด,20.18,289,1,2561,12
มะพร้าวแห้ง ใหญ่ ,504.61,290,1,2561,12
มะพร้าวแห้ง รอง,415.73,291,1,2561,12
มะพร้าวแห้ง เล็ก,240.95,292,1,2561,12
มะพร้าวแห้ง คละ,318.83,293,1,2561,12
เนื้อมะพร้าวแห้ง C,8.38,294,1,2561,12
ปาล์มร่วง ,3.03,295,1,2561,12
ปาล์มทะลาย 3-6,1.77,296,1,2561,12
ปาล์มทะลาย 7-10,1.97,297,1,2561,12
ปาล์มทะลาย11-15,2.17,298,1,2561,12
ปาล์มทะลาย > 15,2.37,299,1,2561,12
ยางแผ่นดิบ ชั้น 1,37,300,1,2561,12
ยางแผ่นดิบ ชั้น 2,36.5,301,1,2561,12
ยางแผ่นดิบ ชั้น 3,36,302,1,2561,12
ยางก้อน ,17.98,303,1,2561,12
เศษยาง,15.14,304,1,2561,12
น้ำยางสด,31.06,305,1,2561,12
ส้มเขียวหวาน ใหญ่,17.1,306,1,2561,12
ส้มเขียวหวาน รอง,9.7,307,1,2561,12
ส้มเขียวหวาน เล็ก,5,308,1,2561,12
ลำไยสดทั้งช่อพันธุ์อีดอเกรด AA,38.93,309,1,2561,12
ลำไยสดทั้งช่อพันธุ์อีดอเกรด A,30.85,310,1,2561,12
สารกาแฟ คละ (โรบัสต้า),65,311,1,2561,12
ลองกอง,30,312,1,2561,12
สับปะรดบริโภค,5.29,313,1,2561,12
สับปะรดโรงงาน,2.82,314,1,2561,12
ข้าวเปลือกเจ้านาปีความชื้น 22-23%,6886.25,315,1,2561,12
ข้าวเปลือกเจ้านาปีความชื้น >25%  ,6575.28,316,1,2561,12
ข้าวเปลือกเจ้านาปีพันธุ์ขาวดอกมะลิ105ความชื้น 24-25% ,11967.8,317,1,2561,12
ข้าวเปลือกนาปรังพันธุ์หอมปทุม คช. 14-15%  ,9348.15,318,1,2561,12
ข้าวเปลือกนาาปรังพันธุ์หอมปทุม คช. 24-25% ,8706.3,319,1,2561,12
ข้าวเปลือกนาาปรังพันธุ์หอมปทุม คช. >25%   ,8339.58,320,1,2561,12
ผลกาแฟโรบัสต้าสดคละ        ,10,321,1,2561,12
ผลกาแฟโรบัสต้าแห้งคละ   ,30,322,1,2561,12
ผลกาแฟอราบิก้า สด          ,18,323,1,2561,12
ลำไยสดทั้งช่อพันธุ์อีดอเกรด B,21.5,324,1,2561,12
ลำไยร่วงเกรด AA,16.5,325,1,2561,12
ลำไยร่วงเกรด A,10.5,326,1,2561,12
ลำไยร่วงเกรด B,6.5,327,1,2561,12
ลำไยอบแห้งเกรด AA,85,328,1,2561,12
ลำไยอบแห้งเกรด A,67.44,329,1,2561,12
ลำไยอบแห้งเกรด B,45,330,1,2561,12
ลำไยอบแห้งเกรด C,34.56,331,1,2561,12
มันสำปะหลังสดเชื้อแป้ง 25%,2.59,332,1,2561,12
มันสำปะหลังสดเชื้อแป้ง 30%,2.83,333,1,2561,12
ข้าวเปลือกเจ้าหอมมะลิ,15192.69,334,2,2561,12
ข้าวเหนียวนาปียาว,10384.41,335,2,2561,12
ข้าวเหนียวนาปีสั้น,8725.65,336,2,2561,12
ข้าวเปลือกเจ้าความชื้น  15 %,8060.64,337,2,2561,12
ข้าวเปลือกเจ้าความชื้น  25 %,6559.9,338,2,2561,12
ข้าวโพดเมล็ดความชื้นเกิน 14 %,7.61,339,2,2561,12
ข้าวโพดเมล็ดความชื้น 14.5%,8.83,340,2,2561,12
มันสำปะหลังสด,2.29,341,2,2561,12
มันเส้น,5.57,342,2,2561,12
อ้อยโรงงาน,592.31,343,2,2561,12
ถั่วเหลืองชนิดคละ,19.2,344,2,2561,12
ถั่วลิสงเปลือกแห้ง,36.25,345,2,2561,12
ถั่วลิสงเปลือกสด,21.24,346,2,2561,12
มะพร้าวแห้ง ใหญ่ ,496.34,347,2,2561,12
มะพร้าวแห้ง รอง,374.74,348,2,2561,12
มะพร้าวแห้ง เล็ก,216.78,349,2,2561,12
มะพร้าวแห้ง คละ,311.17,350,2,2561,12
เนื้อมะพร้าวแห้ง C,8.41,351,2,2561,12
ปาล์มร่วง ,3.26,352,2,2561,12
ปาล์มทะลาย 3-6,1.92,353,2,2561,12
ปาล์มทะลาย 7-10,2.12,354,2,2561,12
ปาล์มทะลาย11-15,2.32,355,2,2561,12
ปาล์มทะลาย > 15,2.52,356,2,2561,12
ยางแผ่นดิบ ชั้น 1,37.33,357,2,2561,12
ยางแผ่นดิบ ชั้น 2,36.83,358,2,2561,12
ยางแผ่นดิบ ชั้น 3,36.33,359,2,2561,12
ยางก้อน ,18.48,360,2,2561,12
เศษยาง,15.36,361,2,2561,12
น้ำยางสด,31.97,362,2,2561,12
ส้มเขียวหวาน ใหญ่,16.75,363,2,2561,12
ส้มเขียวหวาน รอง,9.69,364,2,2561,12
ส้มเขียวหวาน เล็ก,5,365,2,2561,12
ลำไยสดทั้งช่อพันธุ์อีดอเกรด AA,39.7,366,2,2561,12
ลำไยสดทั้งช่อพันธุ์อีดอเกรด A,30.68,367,2,2561,12
สารกาแฟ คละ (โรบัสต้า),65.6,368,2,2561,12
สับปะรดบริโภค,5.3,369,2,2561,12
สับปะรดโรงงาน,2.85,370,2,2561,12
ข้าวเปลือกเจ้านาปีความชื้น 22-23%,6862.44,371,2,2561,12
ข้าวเปลือกเจ้านาปีความชื้น >25%  ,6478,372,2,2561,12
ข้าวเปลือกเจ้านาปีพันธุ์ขาวดอกมะลิ105ความชื้น 24-25% ,12089.79,373,2,2561,12
ข้าวเปลือกนาปรังพันธุ์หอมปทุม คช. 14-15%  ,9351.51,374,2,2561,12
ข้าวเปลือกนาาปรังพันธุ์หอมปทุม คช. 24-25% ,8710.53,375,2,2561,12
ข้าวเปลือกนาาปรังพันธุ์หอมปทุม คช. >25%   ,8363.47,376,2,2561,12
ผลกาแฟโรบัสต้าสดคละ        ,11,377,2,2561,12
ผลกาแฟโรบัสต้าแห้งคละ   ,31,378,2,2561,12
ผลกาแฟอราบิก้า สด          ,18,379,2,2561,12
ลำไยสดทั้งช่อพันธุ์อีดอเกรด B,21.5,380,2,2561,12
ลำไยร่วงเกรด AA,16.5,381,2,2561,12
ลำไยร่วงเกรด A,10.5,382,2,2561,12
ลำไยร่วงเกรด B,6.5,383,2,2561,12
ลำไยอบแห้งเกรด AA,85,384,2,2561,12
ลำไยอบแห้งเกรด A,67.42,385,2,2561,12
ลำไยอบแห้งเกรด B,45,386,2,2561,12
ลำไยอบแห้งเกรด C,34.58,387,2,2561,12
มันสำปะหลังสดเชื้อแป้ง 25%,2.58,388,2,2561,12
มันสำปะหลังสดเชื้อแป้ง 30%,2.9,389,2,2561,12
ข้าวเปลือกเจ้าหอมมะลิ,15324.94,390,3,2561,12
ส้มเขียวหวาน คละ,20,391,2,2561,12
ข้าวเหนียวนาปียาว,10307.41,392,3,2561,12
ข้าวเหนียวนาปีสั้น,8797.18,393,3,2561,12
ข้าวเปลือกเจ้าความชื้น  15 %,8017.12,394,3,2561,12
ข้าวเปลือกเจ้าความชื้น  25 %,6619.25,395,3,2561,12
ข้าวโพดเมล็ดความชื้นเกิน 14 %,6.77,396,3,2561,12
ข้าวโพดเมล็ดความชื้น 14.5%,8.8,397,3,2561,12
มันสำปะหลังสด,2.29,398,3,2561,12
มันเส้น,5.64,399,3,2561,12
อ้อยโรงงาน,582.13,400,3,2561,12
ถั่วเหลืองชนิดคละ,19.2,401,3,2561,12
ถั่วลิสงเปลือกแห้ง,38.9,402,3,2561,12
ถั่วลิสงเปลือกสด,21.24,403,3,2561,12
มะพร้าวแห้ง ใหญ่ ,504.59,404,3,2561,12
มะพร้าวแห้ง รอง,347.3,405,3,2561,12
มะพร้าวแห้ง เล็ก,198.45,406,3,2561,12
มะพร้าวแห้ง คละ,320.59,407,3,2561,12
เนื้อมะพร้าวแห้ง C,8.67,408,3,2561,12
ปาล์มร่วง ,3.29,409,3,2561,12
ปาล์มทะลาย 3-6,1.99,410,3,2561,12
ปาล์มทะลาย 7-10,2.19,411,3,2561,12
ปาล์มทะลาย11-15,2.39,412,3,2561,12
ปาล์มทะลาย > 15,2.59,413,3,2561,12
ยางแผ่นดิบ ชั้น 1,38.91,414,3,2561,12
ยางแผ่นดิบ ชั้น 2,38.41,415,3,2561,12
ยางแผ่นดิบ ชั้น 3,37.91,416,3,2561,12
ยางก้อน ,19.8,417,3,2561,12
เศษยาง,16.42,418,3,2561,12
น้ำยางสด,33.45,419,3,2561,12
ส้มเขียวหวาน ใหญ่,16.75,420,3,2561,12
ส้มเขียวหวาน รอง,9.69,421,3,2561,12
ส้มเขียวหวาน เล็ก,5,422,3,2561,12
ส้มเขียวหวาน คละ,25,423,3,2561,12
ลำไยสดทั้งช่อพันธุ์อีดอเกรด AA,38.67,424,3,2561,12
