จำนวน,_id,ปี,หัวข้อ,เพศ,ไตรมาส,จังหวัด
445419,247,2563,ผู้มีงานทำ,หญิง,2,ชลบุรี
9392,248,2563,ผู้ว่างงาน,หญิง,2,ชลบุรี
489,249,2563,กำลังแรงงานที่รอฤดูกาล,หญิง,2,ชลบุรี
133986,250,2563,ทำงานบ้าน,หญิง,2,ชลบุรี
59477,251,2563,เรียนหนังสือ,หญิง,2,ชลบุรี
107838,252,2563,อื่น ๆ,หญิง,2,ชลบุรี
749670,253,2563,ประชากรอายุ 15 ปีขึ้นไป,ชาย,3,ชลบุรี
580403,254,2563,ผู้มีงานทำ,ชาย,3,ชลบุรี
4790,255,2563,ผู้ว่างงาน,ชาย,3,ชลบุรี
0,256,2563,กำลังแรงงานที่รอฤดูกาล,ชาย,3,ชลบุรี
9821,257,2563,ทำงานบ้าน,ชาย,3,ชลบุรี
41214,258,2563,เรียนหนังสือ,ชาย,3,ชลบุรี
113443,259,2563,อื่น ๆ,ชาย,3,ชลบุรี
758509,260,2563,ประชากรอายุ 15 ปีขึ้นไป,หญิง,3,ชลบุรี
439111,261,2563,ผู้มีงานทำ,หญิง,3,ชลบุรี
2703,262,2563,ผู้ว่างงาน,หญิง,3,ชลบุรี
0,263,2563,กำลังแรงงานที่รอฤดูกาล,หญิง,3,ชลบุรี
143940,264,2563,ทำงานบ้าน,หญิง,3,ชลบุรี
63429,265,2563,เรียนหนังสือ,หญิง,3,ชลบุรี
109325,266,2563,อื่น ๆ,หญิง,3,ชลบุรี
751329,267,2563,ประชากรอายุ 15 ปีขึ้นไป,ชาย,4,ชลบุรี
597352,268,2563,ผู้มีงานทำ,ชาย,4,ชลบุรี
5772,269,2563,ผู้ว่างงาน,ชาย,4,ชลบุรี
0,270,2563,กำลังแรงงานที่รอฤดูกาล,ชาย,4,ชลบุรี
7008,271,2563,ทำงานบ้าน,ชาย,4,ชลบุรี
41196,272,2563,เรียนหนังสือ,ชาย,4,ชลบุรี
100000,273,2563,อื่น ๆ,ชาย,4,ชลบุรี
760215,274,2563,ประชากรอายุ 15 ปีขึ้นไป,หญิง,4,ชลบุรี
449670,275,2563,ผู้มีงานทำ,หญิง,4,ชลบุรี
7214,276,2563,ผู้ว่างงาน,หญิง,4,ชลบุรี
0,277,2563,กำลังแรงงานที่รอฤดูกาล,หญิง,4,ชลบุรี
145269,278,2563,ทำงานบ้าน,หญิง,4,ชลบุรี
56600,279,2563,เรียนหนังสือ,หญิง,4,ชลบุรี
101461,280,2563,อื่น ๆ,หญิง,4,ชลบุรี
753004,281,2564,ประชากรอายุ 15 ปีขึ้นไป,ชาย,1,ชลบุรี
588129,282,2564,ผู้มีงานทำ,ชาย,1,ชลบุรี
7242,283,2564,ผู้ว่างงาน,ชาย,1,ชลบุรี
1004,284,2564,กำลังแรงงานที่รอฤดูกาล,ชาย,1,ชลบุรี
6877,285,2564,ทำงานบ้าน,ชาย,1,ชลบุรี
46516,286,2564,เรียนหนังสือ,ชาย,1,ชลบุรี
103236,287,2564,อื่น ๆ,ชาย,1,ชลบุรี
761937,288,2564,ประชากรอายุ 15 ปีขึ้นไป,หญิง,1,ชลบุรี
474017,289,2564,ผู้มีงานทำ,หญิง,1,ชลบุรี
4107,290,2564,ผู้ว่างงาน,หญิง,1,ชลบุรี
0,291,2564,กำลังแรงงานที่รอฤดูกาล,หญิง,1,ชลบุรี
127390,292,2564,ทำงานบ้าน,หญิง,1,ชลบุรี
62842,293,2564,เรียนหนังสือ,หญิง,1,ชลบุรี
93581,294,2564,อื่น ๆ,หญิง,1,ชลบุรี
754687,295,2564,ประชากรอายุ 15 ปีขึ้นไป,ชาย,2,ชลบุรี
582461,296,2564,ผู้มีงานทำ,ชาย,2,ชลบุรี
8825,297,2564,ผู้ว่างงาน,ชาย,2,ชลบุรี
0,298,2564,กำลังแรงงานที่รอฤดูกาล,ชาย,2,ชลบุรี
5524,299,2564,ทำงานบ้าน,ชาย,2,ชลบุรี
45428,300,2564,เรียนหนังสือ,ชาย,2,ชลบุรี
112450,301,2564,อื่น ๆ,ชาย,2,ชลบุรี
763683,302,2564,ประชากรอายุ 15 ปีขึ้นไป,หญิง,2,ชลบุรี
486018,303,2564,ผู้มีงานทำ,หญิง,2,ชลบุรี
6306,304,2564,ผู้ว่างงาน,หญิง,2,ชลบุรี
0,305,2564,กำลังแรงงานที่รอฤดูกาล,หญิง,2,ชลบุรี
124917,306,2564,ทำงานบ้าน,หญิง,2,ชลบุรี
54774,307,2564,เรียนหนังสือ,หญิง,2,ชลบุรี
91667,308,2564,อื่น ๆ,หญิง,2,ชลบุรี
756356,309,2564,ประชากรอายุ 15 ปีขึ้นไป,ชาย,3,ชลบุรี
587103,310,2564,ผู้มีงานทำ,ชาย,3,ชลบุรี
14369,311,2564,ผู้ว่างงาน,ชาย,3,ชลบุรี
0,312,2564,กำลังแรงงานที่รอฤดูกาล,ชาย,3,ชลบุรี
9499,313,2564,ทำงานบ้าน,ชาย,3,ชลบุรี
